* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -5,4 dBFS, measurement signal peak level -5,6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 01.01.2024 21:11:51
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0179 ms (-6,2 mm, -0,24 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: 7Hz Timeless
* Smoothing: 1/3 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 115.240 -117.2414
20.333664 115.252 -117.3899
20.481010 115.265 -117.5679
20.629424 115.281 -117.7738
20.778913 115.299 -118.0057
20.929486 115.319 -118.2616
21.081150 115.341 -118.5394
21.233912 115.364 -118.8371
21.387782 115.389 -119.1525
21.542767 115.415 -119.4836
21.698874 115.443 -119.8285
21.856113 115.471 -120.1854
22.014492 115.500 -120.5528
22.174018 115.530 -120.9291
22.334700 115.560 -121.3134
22.496546 115.590 -121.7046
22.659566 115.620 -122.1022
22.823766 115.651 -122.5056
22.989157 115.681 -122.9148
23.155745 115.712 -123.3297
23.323542 115.742 -123.7503
23.492554 115.771 -124.1768
23.662790 115.801 -124.6094
23.834261 115.831 -125.0483
24.006973 115.860 -125.4936
24.180938 115.889 -125.9451
24.356163 115.918 -126.4026
24.532658 115.947 -126.8656
24.710431 115.977 -127.3334
24.889493 116.006 -127.8052
25.069853 116.036 -128.2798
25.251519 116.066 -128.7559
25.434502 116.096 -129.2321
25.618811 116.127 -129.7071
25.804456 116.159 -130.1792
25.991445 116.190 -130.6472
26.179790 116.222 -131.1096
26.369500 116.254 -131.5653
26.560584 116.286 -132.0133
26.753053 116.318 -132.4531
26.946917 116.349 -132.8840
27.142185 116.380 -133.3061
27.338869 116.411 -133.7194
27.536977 116.440 -134.1243
27.736522 116.469 -134.5216
27.937512 116.496 -134.9120
28.139959 116.522 -135.2967
28.343872 116.547 -135.6768
28.549264 116.571 -136.0535
28.756143 116.593 -136.4279
28.964522 116.615 -136.8013
29.174411 116.635 -137.1747
29.385821 116.654 -137.5490
29.598763 116.673 -137.9249
29.813248 116.690 -138.3031
30.029287 116.707 -138.6839
30.246891 116.723 -139.0676
30.466073 116.739 -139.4543
30.686842 116.754 -139.8439
30.909212 116.769 -140.2361
31.133193 116.783 -140.6308
31.358797 116.798 -141.0276
31.586035 116.812 -141.4261
31.814921 116.826 -141.8259
32.045465 116.840 -142.2268
32.277680 116.854 -142.6282
32.511577 116.867 -143.0300
32.747169 116.880 -143.4316
32.984469 116.894 -143.8329
33.223488 116.907 -144.2337
33.464239 116.919 -144.6336
33.706735 116.932 -145.0324
33.950987 116.944 -145.4302
34.197010 116.957 -145.8266
34.444816 116.968 -146.2217
34.694417 116.980 -146.6154
34.945827 116.991 -147.0077
35.199059 117.002 -147.3985
35.454126 117.013 -147.7880
35.711041 117.024 -148.1762
35.969818 117.034 -148.5630
36.230470 117.044 -148.9486
36.493011 117.053 -149.3329
36.757455 117.063 -149.7159
37.023814 117.072 -150.0976
37.292104 117.080 -150.4780
37.562338 117.089 -150.8571
37.834530 117.097 -151.2347
38.108695 117.105 -151.6109
38.384846 117.113 -151.9856
38.662999 117.120 -152.3588
38.943167 117.127 -152.7305
39.225365 117.134 -153.1007
39.509608 117.140 -153.4695
39.795911 117.146 -153.8370
40.084289 117.151 -154.2031
40.374756 117.156 -154.5681
40.667328 117.161 -154.9318
40.962020 117.165 -155.2945
41.258848 117.169 -155.6560
41.557827 117.172 -156.0164
41.858972 117.175 -156.3758
42.162299 117.178 -156.7341
42.467824 117.180 -157.0912
42.775564 117.182 -157.4471
43.085533 117.184 -157.8019
43.397749 117.185 -158.1556
43.712227 117.186 -158.5080
44.028983 117.187 -158.8593
44.348036 117.187 -159.2095
44.669400 117.187 -159.5585
44.993093 117.186 -159.9065
45.319131 117.186 -160.2534
45.647532 117.185 -160.5992
45.978313 117.184 -160.9440
46.311491 117.182 -161.2878
46.647083 117.180 -161.6307
46.985107 117.178 -161.9725
47.325581 117.176 -162.3135
47.668521 117.174 -162.6536
48.013947 117.171 -162.9927
48.361876 117.168 -163.3310
48.712326 117.165 -163.6683
49.065315 117.162 -164.0047
49.420863 117.158 -164.3401
49.778987 117.154 -164.6744
50.139706 117.150 -165.0074
50.503039 117.146 -165.3392
50.869005 117.142 -165.6695
51.237623 117.137 -165.9982
51.608912 117.132 -166.3253
51.982891 117.127 -166.6505
52.359580 117.121 -166.9740
52.739000 117.115 -167.2955
53.121168 117.109 -167.6152
53.506106 117.102 -167.9328
53.893833 117.096 -168.2486
54.284370 117.088 -168.5625
54.677737 117.081 -168.8745
55.073955 117.074 -169.1847
55.473043 117.066 -169.4932
55.875024 117.058 -169.7999
56.279917 117.049 -170.1050
56.687745 117.041 -170.4086
57.098527 117.032 -170.7108
57.512287 117.023 -171.0115
57.929045 117.013 -171.3110
58.348822 117.004 -171.6092
58.771642 116.994 -171.9063
59.197525 116.984 -172.2022
59.626495 116.974 -172.4971
60.058573 116.964 -172.7910
60.493782 116.953 -173.0838
60.932145 116.943 -173.3756
61.373685 116.932 -173.6664
61.818424 116.920 -173.9561
62.266386 116.909 -174.2446
62.717593 116.897 -174.5320
63.172071 116.885 -174.8182
63.629842 116.872 -175.1031
64.090930 116.860 -175.3867
64.555359 116.847 -175.6690
65.023154 116.833 -175.9500
65.494339 116.820 -176.2295
65.968938 116.806 -176.5077
66.446976 116.792 -176.7844
66.928478 116.777 -177.0597
67.413469 116.763 -177.3336
67.901975 116.748 -177.6060
68.394021 116.732 -177.8769
68.889632 116.717 -178.1463
69.388835 116.701 -178.4142
69.891655 116.685 -178.6805
70.398118 116.668 -178.9452
70.908252 116.651 -179.2082
71.422083 116.634 -179.4697
71.939636 116.617 -179.7294
72.460941 116.599 -179.9874
72.986023 116.581 179.7562
73.514909 116.563 179.5016
74.047629 116.544 179.2487
74.584208 116.526 178.9976
75.124676 116.507 178.7483
75.669061 116.487 178.5007
76.217390 116.468 178.2548
76.769692 116.448 178.0108
77.325997 116.428 177.7685
77.886333 116.408 177.5280
78.450730 116.388 177.2894
79.019216 116.367 177.0524
79.591822 116.346 176.8173
80.168577 116.325 176.5840
80.749512 116.304 176.3524
81.334656 116.282 176.1225
81.924040 116.261 175.8943
82.517696 116.239 175.6678
83.115653 116.217 175.4430
83.717943 116.195 175.2198
84.324598 116.172 174.9982
84.935649 116.149 174.7783
85.551128 116.127 174.5600
86.171066 116.103 174.3433
86.795497 116.080 174.1283
87.424453 116.056 173.9149
88.057967 116.032 173.7032
88.696071 116.008 173.4933
89.338800 115.984 173.2852
89.986185 115.959 173.0789
90.638262 115.934 172.8746
91.295065 115.909 172.6722
91.956626 115.883 172.4719
92.622982 115.857 172.2737
93.294166 115.831 172.0778
93.970214 115.804 171.8840
94.651161 115.778 171.6926
95.337042 115.751 171.5036
96.027894 115.723 171.3170
96.723752 115.695 171.1329
97.424652 115.667 170.9514
98.130631 115.639 170.7726
98.841726 115.611 170.5963
99.557974 115.582 170.4228
100.279412 115.553 170.2521
101.006078 115.523 170.0841
101.738010 115.494 169.9190
102.475245 115.464 169.7568
103.217823 115.433 169.5976
103.965782 115.403 169.4413
104.719161 115.372 169.2881
105.477999 115.341 169.1379
106.242336 115.310 168.9909
107.012212 115.279 168.8471
107.787666 115.248 168.7066
108.568740 115.216 168.5694
109.355474 115.185 168.4356
110.147909 115.153 168.3054
110.946086 115.122 168.1787
111.750047 115.090 168.0557
112.559834 115.058 167.9365
113.375489 115.027 167.8210
114.197055 114.995 167.7095
115.024574 114.963 167.6019
115.858089 114.932 167.4982
116.697645 114.901 167.3984
117.543284 114.870 167.3026
118.395051 114.839 167.2105
119.252990 114.809 167.1222
120.117147 114.778 167.0375
120.987565 114.749 166.9562
121.864291 114.719 166.8781
122.747370 114.690 166.8029
123.636848 114.662 166.7303
124.532771 114.634 166.6599
125.435187 114.607 166.5913
126.344142 114.580 166.5241
127.259684 114.553 166.4578
128.181860 114.527 166.3917
129.110718 114.502 166.3254
130.046308 114.476 166.2584
130.988677 114.451 166.1902
131.937875 114.427 166.1204
132.893951 114.403 166.0486
133.856956 114.378 165.9746
134.826938 114.354 165.8982
135.803950 114.330 165.8192
136.788041 114.306 165.7376
137.779264 114.281 165.6537
138.777669 114.257 165.5674
139.783309 114.232 165.4790
140.796237 114.206 165.3888
141.816504 114.181 165.2971
142.844165 114.155 165.2043
143.879273 114.128 165.1108
144.921881 114.101 165.0170
145.972045 114.073 164.9234
147.029819 114.045 164.8303
148.095257 114.016 164.7382
149.168417 113.986 164.6474
150.249353 113.956 164.5585
151.338121 113.925 164.4716
152.434780 113.894 164.3873
153.539385 113.862 164.3058
154.651995 113.830 164.2274
155.772667 113.797 164.1525
156.901460 113.764 164.0811
158.038432 113.730 164.0137
159.183644 113.696 163.9503
160.337154 113.662 163.8912
161.499023 113.627 163.8365
162.669312 113.592 163.7865
163.848081 113.556 163.7411
165.035392 113.521 163.7007
166.231306 113.485 163.6652
167.435887 113.449 163.6348
168.649196 113.413 163.6096
169.871298 113.377 163.5896
171.102255 113.340 163.5749
172.342133 113.304 163.5656
173.590995 113.268 163.5616
174.848907 113.232 163.5630
176.115934 113.196 163.5697
177.392143 113.161 163.5817
178.677599 113.125 163.5989
179.972371 113.090 163.6212
181.276525 113.056 163.6483
182.590129 113.022 163.6800
183.913252 112.988 163.7161
185.245964 112.955 163.7562
186.588332 112.922 163.8000
187.940428 112.890 163.8469
189.302322 112.859 163.8966
190.674085 112.828 163.9485
192.055788 112.798 164.0022
193.447503 112.769 164.0569
194.849303 112.741 164.1124
196.261262 112.713 164.1678
197.683452 112.686 164.2228
199.115948 112.659 164.2769
200.558824 112.633 164.3298
202.012156 112.607 164.3810
203.476019 112.582 164.4304
204.950490 112.557 164.4778
206.435646 112.532 164.5231
207.931564 112.508 164.5664
209.438322 112.483 164.6078
210.955998 112.458 164.6474
212.484672 112.434 164.6855
214.024424 112.409 164.7225
215.575333 112.384 164.7586
217.137481 112.359 164.7943
218.710948 112.334 164.8299
220.295818 112.308 164.8658
221.892172 112.282 164.9025
223.500094 112.256 164.9401
225.119668 112.230 164.9789
226.750978 112.204 165.0193
228.394109 112.177 165.0614
230.049147 112.150 165.1053
231.716178 112.124 165.1512
233.395289 112.097 165.1989
235.086567 112.070 165.2485
236.790102 112.043 165.3000
238.505980 112.016 165.3531
240.234293 111.990 165.4078
241.975130 111.963 165.4639
243.728581 111.936 165.5212
245.494739 111.910 165.5796
247.273695 111.884 165.6389
249.065542 111.857 165.6989
250.870374 111.831 165.7597
252.688284 111.805 165.8211
254.519367 111.778 165.8831
256.363720 111.752 165.9459
258.221437 111.726 166.0094
260.092616 111.699 166.0738
261.977354 111.673 166.1392
263.875750 111.646 166.2058
265.787903 111.619 166.2737
267.713911 111.592 166.3433
269.653877 111.565 166.4146
271.607900 111.538 166.4878
273.576083 111.510 166.5632
275.558528 111.483 166.6408
277.555338 111.455 166.7208
279.566619 111.428 166.8033
281.592474 111.400 166.8885
283.633009 111.372 166.9764
285.688331 111.344 167.0670
287.758546 111.316 167.1605
289.843763 111.289 167.2567
291.944090 111.261 167.3557
294.059638 111.233 167.4574
296.190515 111.205 167.5620
298.336833 111.178 167.6691
300.498705 111.150 167.7790
302.676243 111.123 167.8915
304.869559 111.096 168.0065
307.078770 111.069 168.1240
309.303989 111.042 168.2440
311.545334 111.015 168.3663
313.802919 110.989 168.4909
316.076865 110.962 168.6179
318.367288 110.936 168.7470
320.674309 110.910 168.8784
322.998047 110.884 169.0119
325.338624 110.858 169.1476
327.696162 110.832 169.2853
330.070783 110.806 169.4252
332.462612 110.781 169.5672
334.871773 110.756 169.7112
337.298392 110.731 169.8573
339.742595 110.706 170.0054
342.204510 110.681 170.1556
344.684265 110.656 170.3079
347.181989 110.632 170.4622
349.697813 110.608 170.6186
352.231868 110.584 170.7769
354.784285 110.560 170.9373
357.355198 110.536 171.0997
359.944741 110.512 171.2642
362.553049 110.489 171.4306
