* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -10,8 dBFS, measurement signal peak level -10,8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 01.01.2024 21:09:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0190 ms (-6,5 mm, -0,26 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: ARTTI T10
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 116.500 -135.4872
20.333664 116.521 -135.8763
20.481010 116.546 -136.2713
20.629424 116.571 -136.6771
20.778913 116.596 -137.0932
20.929486 116.619 -137.5210
21.081150 116.640 -137.9613
21.233912 116.660 -138.4104
21.387782 116.678 -138.8693
21.542767 116.697 -139.3330
21.698874 116.715 -139.7995
21.856113 116.734 -140.2669
22.014492 116.755 -140.7311
22.174018 116.777 -141.1930
22.334700 116.801 -141.6507
22.496546 116.829 -142.1054
22.659566 116.858 -142.5595
22.823766 116.890 -143.0132
22.989157 116.924 -143.4711
23.155745 116.959 -143.9328
23.323542 116.993 -144.4005
23.492554 117.025 -144.8736
23.662790 117.054 -145.3488
23.834261 117.080 -145.8253
24.006973 117.101 -146.2943
24.180938 117.116 -146.7548
24.356163 117.126 -147.1960
24.532658 117.130 -147.6172
24.710431 117.131 -148.0100
24.889493 117.128 -148.3760
25.069853 117.124 -148.7121
25.251519 117.120 -149.0245
25.434502 117.118 -149.3149
25.618811 117.118 -149.5964
25.804456 117.123 -149.8723
25.991445 117.133 -150.1603
26.179790 117.147 -150.4632
26.369500 117.165 -150.7961
26.560584 117.187 -151.1597
26.753053 117.210 -151.5610
26.946917 117.234 -151.9947
27.142185 117.256 -152.4609
27.338869 117.276 -152.9450
27.536977 117.293 -153.4436
27.736522 117.305 -153.9374
27.937512 117.314 -154.4205
28.139959 117.319 -154.8806
28.343872 117.322 -155.3132
28.549264 117.325 -155.7160
28.756143 117.328 -156.0936
28.964522 117.333 -156.4532
29.174411 117.340 -156.8026
29.385821 117.349 -157.1555
29.598763 117.359 -157.5160
29.813248 117.369 -157.8919
30.029287 117.378 -158.2805
30.246891 117.386 -158.6809
30.466073 117.392 -159.0851
30.686842 117.396 -159.4882
30.909212 117.400 -159.8862
31.133193 117.403 -160.2771
31.358797 117.407 -160.6637
31.586035 117.412 -161.0485
31.814921 117.417 -161.4376
32.045465 117.423 -161.8328
32.277680 117.427 -162.2358
32.511577 117.429 -162.6451
32.747169 117.429 -163.0577
32.984469 117.427 -163.4714
33.223488 117.422 -163.8831
33.464239 117.415 -164.2910
33.706735 117.406 -164.6927
33.950987 117.395 -165.0856
34.197010 117.382 -165.4639
34.444816 117.370 -165.8231
34.694417 117.359 -166.1617
34.945827 117.350 -166.4801
35.199059 117.346 -166.7899
35.454126 117.346 -167.1059
35.711041 117.350 -167.4412
35.969818 117.355 -167.8076
36.230470 117.357 -168.2050
36.493011 117.355 -168.6181
36.757455 117.347 -169.0286
37.023814 117.335 -169.4174
37.292104 117.322 -169.7711
37.562338 117.312 -170.0965
37.834530 117.307 -170.4131
38.108695 117.307 -170.7410
38.384846 117.309 -171.0945
38.662999 117.311 -171.4731
38.943167 117.309 -171.8536
39.225365 117.304 -172.2090
39.509608 117.298 -172.5256
39.795911 117.295 -172.8099
40.084289 117.296 -173.0894
40.374756 117.299 -173.4044
40.667328 117.299 -173.7849
40.962020 117.291 -174.2251
41.258848 117.271 -174.6866
41.557827 117.240 -175.1189
41.858972 117.207 -175.4844
42.162299 117.178 -175.7787
42.467824 117.162 -176.0357
42.775564 117.159 -176.3106
43.085533 117.163 -176.6451
43.397749 117.164 -177.0390
43.712227 117.156 -177.4472
44.028983 117.137 -177.8105
44.348036 117.113 -178.0946
44.669400 117.091 -178.3143
44.993093 117.075 -178.5250
45.319131 117.063 -178.7883
45.647532 117.050 -179.1314
45.978313 117.031 -179.5307
46.311491 117.003 -179.9297
46.647083 116.972 179.7215
46.985107 116.946 179.4314
47.325581 116.929 179.1619
47.668521 116.918 178.8591
48.013947 116.905 178.4958
48.361876 116.883 178.0945
48.712326 116.849 177.7131
49.065315 116.809 177.4051
49.420863 116.772 177.1813
49.778987 116.747 177.0015
50.139706 116.735 176.8016
50.503039 116.731 176.5361
50.869005 116.728 176.2032
51.237623 116.718 175.8399
51.608912 116.700 175.4937
51.982891 116.676 175.1937
52.359580 116.650 174.9392
52.739000 116.626 174.7076
53.121168 116.604 174.4704
53.506106 116.585 174.2053
53.893833 116.567 173.9019
54.284370 116.549 173.5637
54.677737 116.527 173.2100
55.073955 116.500 172.8740
55.473043 116.469 172.5882
55.875024 116.439 172.3637
56.279917 116.413 172.1783
56.687745 116.393 171.9839
57.098527 116.376 171.7357
57.512287 116.356 171.4257
57.929045 116.329 171.0894
58.348822 116.296 170.7793
58.771642 116.260 170.5309
59.197525 116.228 170.3355
59.626495 116.201 170.1514
60.058573 116.177 169.9380
60.493782 116.152 169.6831
60.932145 116.124 169.4082
61.373685 116.092 169.1437
61.818424 116.060 168.9059
62.266386 116.032 168.6851
62.717593 116.007 168.4586
63.172071 115.983 168.2101
63.629842 115.956 167.9445
64.090930 115.924 167.6836
64.555359 115.890 167.4496
65.023154 115.857 167.2466
65.494339 115.827 167.0585
65.968938 115.801 166.8607
66.446976 115.776 166.6415
66.928478 115.748 166.4079
67.413469 115.715 166.1769
67.901975 115.679 165.9608
68.394021 115.641 165.7601
68.889632 115.605 165.5666
69.388835 115.571 165.3679
69.891655 115.540 165.1561
70.398118 115.512 164.9321
70.908252 115.484 164.7067
71.422083 115.454 164.4938
71.939636 115.424 164.2983
72.460941 115.392 164.1120
72.986023 115.358 163.9240
73.514909 115.322 163.7330
74.047629 115.284 163.5482
74.584208 115.246 163.3770
75.124676 115.210 163.2132
75.669061 115.175 163.0428
76.217390 115.141 162.8582
76.769692 115.105 162.6666
77.325997 115.068 162.4851
77.886333 115.029 162.3282
78.450730 114.990 162.1970
79.019216 114.954 162.0787
79.591822 114.919 161.9523
80.168577 114.886 161.8036
80.749512 114.853 161.6321
81.334656 114.820 161.4492
81.924040 114.785 161.2678
82.517696 114.749 161.0964
83.115653 114.712 160.9393
83.717943 114.672 160.7999
84.324598 114.629 160.6826
84.935649 114.585 160.5898
85.551128 114.542 160.5185
86.171066 114.506 160.4579
86.795497 114.478 160.3885
87.424453 114.456 160.2819
88.057967 114.436 160.1169
88.696071 114.408 159.9070
89.338800 114.369 159.7004
89.986185 114.324 159.5374
90.638262 114.277 159.4146
91.295065 114.230 159.3076
91.956626 114.184 159.2100
92.622982 114.141 159.1267
93.294166 114.101 159.0500
93.970214 114.065 158.9724
94.651161 114.031 158.8892
95.337042 113.999 158.7735
96.027894 113.963 158.6085
96.723752 113.919 158.4477
97.424652 113.874 158.3492
98.130631 113.832 158.2729
98.841726 113.789 158.1556
99.557974 113.745 158.0219
100.279412 113.703 157.9230
101.006078 113.668 157.8789
101.738010 113.639 157.9049
102.475245 113.611 157.9569
103.217823 113.578 157.9218
103.965782 113.534 157.7946
104.719161 113.486 157.6958
105.477999 113.441 157.6484
106.242336 113.397 157.5596
107.012212 113.345 157.4438
107.787666 113.292 157.4145
108.568740 113.254 157.4719
109.355474 113.225 157.5162
110.147909 113.190 157.5101
110.946086 113.144 157.4315
111.750047 113.097 157.2620
112.559834 113.058 157.1284
113.375489 113.027 157.1724
114.197055 112.996 157.3219
115.024574 112.954 157.4356
115.858089 112.903 157.4890
116.697645 112.853 157.5211
117.543284 112.806 157.5302
118.395051 112.763 157.4888
119.252990 112.726 157.4389
120.117147 112.699 157.4279
120.987565 112.666 157.4660
121.864291 112.619 157.5670
122.747370 112.568 157.6098
123.636848 112.523 157.5339
124.532771 112.486 157.5757
125.435187 112.455 157.7747
126.344142 112.426 157.8640
127.259684 112.397 157.8537
128.181860 112.370 157.9716
129.110718 112.341 158.1960
130.046308 112.303 158.3042
130.988677 112.264 158.2090
131.937875 112.235 158.0728
132.893951 112.212 158.0312
133.856956 112.185 158.0094
134.826938 112.158 158.0516
135.803950 112.146 158.1917
136.788041 112.137 158.2946
137.779264 112.110 158.3411
138.777669 112.072 158.3350
139.783309 112.038 158.2751
140.796237 112.013 158.1920
141.816504 111.991 158.1704
142.844165 111.963 158.2609
143.879273 111.928 158.3541
144.921881 111.890 158.3666
145.972045 111.858 158.3351
147.029819 111.829 158.3616
148.095257 111.793 158.4992
149.168417 111.750 158.6606
150.249353 111.712 158.7403
151.338121 111.683 158.8036
152.434780 111.656 158.9043
153.539385 111.629 159.0042
154.651995 111.603 159.1204
155.772667 111.582 159.2432
156.901460 111.567 159.3328
158.038432 111.556 159.4083
159.183644 111.545 159.4814
160.337154 111.532 159.5333
161.499023 111.514 159.5712
162.669312 111.494 159.6108
163.848081 111.476 159.6137
165.035392 111.463 159.5744
166.231306 111.451 159.5919
167.435887 111.438 159.6426
168.649196 111.423 159.5969
169.871298 111.402 159.5277
171.102255 111.377 159.5057
172.342133 111.347 159.4818
173.590995 111.318 159.4296
174.848907 111.290 159.3876
176.115934 111.264 159.3417
177.392143 111.236 159.2806
178.677599 111.205 159.2577
179.972371 111.171 159.2711
181.276525 111.135 159.2499
182.590129 111.097 159.2163
183.913252 111.061 159.2224
185.245964 111.027 159.2370
186.588332 110.992 159.2405
187.940428 110.956 159.2451
189.302322 110.918 159.2809
190.674085 110.880 159.3212
192.055788 110.841 159.3571
193.447503 110.802 159.4059
194.849303 110.764 159.4620
196.261262 110.726 159.5065
197.683452 110.689 159.5739
199.115948 110.652 159.6680
200.558824 110.616 159.7571
202.012156 110.579 159.8404
203.476019 110.543 159.9198
204.950490 110.508 160.0054
206.435646 110.472 160.1021
207.931564 110.435 160.2033
209.438322 110.402 160.3127
210.955998 110.374 160.3971
212.484672 110.348 160.4620
214.024424 110.312 160.6019
215.575333 110.270 160.7844
217.137481 110.231 160.9315
218.710948 110.197 161.0738
220.295818 110.165 161.2103
221.892172 110.135 161.3640
223.500094 110.105 161.5274
225.119668 110.075 161.6811
226.750978 110.046 161.8426
228.394109 110.020 162.0109
230.049147 109.997 162.1760
231.716178 109.976 162.3411
233.395289 109.953 162.4929
235.086567 109.930 162.6375
236.790102 109.908 162.7875
238.505980 109.887 162.9352
240.234293 109.867 163.0706
241.975130 109.848 163.1932
243.728581 109.829 163.3083
245.494739 109.811 163.4221
247.273695 109.793 163.5195
249.065542 109.775 163.5869
250.870374 109.754 163.6926
252.688284 109.731 163.8166
254.519367 109.708 163.9153
256.363720 109.685 164.0068
258.221437 109.662 164.0999
260.092616 109.637 164.2050
261.977354 109.611 164.3084
263.875750 109.583 164.4082
265.787903 109.555 164.5157
267.713911 109.527 164.6436
269.653877 109.499 164.7787
271.607900 109.473 164.8989
273.576083 109.446 165.0253
275.558528 109.420 165.1597
277.555338 109.392 165.2899
279.566619 109.365 165.4202
281.592474 109.338 165.5514
283.633009 109.312 165.6968
285.688331 109.286 165.8554
287.758546 109.260 166.0114
289.843763 109.235 166.1589
291.944090 109.210 166.3051
294.059638 109.186 166.4732
296.190515 109.161 166.6382
298.336833 109.136 166.7977
300.498705 109.110 166.9626
302.676243 109.086 167.1197
304.869559 109.062 167.2799
307.078770 109.040 167.4521
309.303989 109.018 167.6278
311.545334 108.992 167.8097
313.802919 108.966 167.9919
316.076865 108.943 168.1697
318.367288 108.922 168.3556
320.674309 108.900 168.5497
322.998047 108.877 168.7343
325.338624 108.854 168.9082
327.696162 108.831 169.0854
330.070783 108.809 169.2736
332.462612 108.788 169.4631
334.871773 108.767 169.6557
337.298392 108.747 169.8537
339.742595 108.726 170.0449
342.204510 108.706 170.2358
344.684265 108.686 170.4399
347.181989 108.666 170.6550
349.697813 108.646 170.8665
352.231868 108.627 171.0547
354.784285 108.609 171.2479
357.355198 108.591 171.4465
359.944741 108.573 171.6464
362.553049 108.555 171.8481
365.180258 108.535 172.0501
367.826505 108.516 172.2550
370.491927 108.497 172.4678
373.176665 108.480 172.6798
