* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -41,7 dBFS, measurement signal peak level -5,4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 28.02.2023 19:56:54
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0,0137 ms (4,7 mm, 0,19 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: T800 L
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 122.577 26.6897
20.287556 122.586 26.4904
20.434568 122.600 26.2011
20.582645 122.616 25.8537
20.731796 122.634 25.4755
20.882027 122.651 25.0864
21.033346 122.670 24.6987
21.185763 122.689 24.3182
21.339284 122.708 23.9461
21.493917 122.730 23.5802
21.649671 122.753 23.2158
21.806553 122.779 22.8469
21.964572 122.806 22.4673
22.123737 122.834 22.0714
22.284054 122.863 21.6555
22.445534 122.890 21.2178
22.608183 122.916 20.7596
22.772012 122.938 20.2850
22.937027 122.957 19.8007
23.103238 122.971 19.3150
23.270654 122.982 18.8374
23.439282 122.989 18.3771
23.609133 122.993 17.9417
23.780215 122.997 17.5360
23.952536 123.002 17.1610
24.126106 123.009 16.8133
24.300934 123.021 16.4854
24.477028 123.038 16.1660
24.654399 123.061 15.8418
24.833055 123.089 15.4987
25.013005 123.120 15.1241
25.194260 123.153 14.7083
25.376828 123.186 14.2461
25.560719 123.215 13.7377
25.745942 123.240 13.1882
25.932508 123.258 12.6072
26.120426 123.269 12.0078
26.309705 123.273 11.4047
26.500356 123.270 10.8126
26.692388 123.263 10.2440
26.885812 123.253 9.7080
27.080638 123.243 9.2090
27.276876 123.236 8.7459
27.474535 123.233 8.3128
27.673627 123.235 7.8998
27.874161 123.245 7.4949
28.076149 123.259 7.0860
28.279600 123.278 6.6634
28.484526 123.300 6.2208
28.690937 123.321 5.7565
28.898843 123.341 5.2733
29.108256 123.357 4.7774
29.319186 123.370 4.2767
29.531645 123.379 3.7792
29.745644 123.384 3.2913
29.961193 123.388 2.8163
30.178304 123.391 2.3540
30.396989 123.395 1.9013
30.617258 123.399 1.4530
30.839123 123.405 1.0037
31.062596 123.413 0.5493
31.287688 123.420 0.0885
31.514412 123.427 -0.3775
31.742778 123.433 -0.8448
31.972800 123.437 -1.3083
32.204488 123.440 -1.7634
32.437855 123.442 -2.2070
32.672913 123.443 -2.6390
32.909674 123.445 -3.0622
33.148151 123.447 -3.4812
33.388356 123.449 -3.9017
33.630302 123.452 -4.3290
33.874001 123.454 -4.7664
34.119466 123.456 -5.2150
34.366710 123.456 -5.6738
34.615745 123.455 -6.1402
34.866585 123.454 -6.6113
35.119243 123.451 -7.0843
35.373731 123.449 -7.5570
35.630064 123.446 -8.0284
35.888254 123.443 -8.4979
36.148315 123.440 -8.9654
36.410261 123.438 -9.4310
36.674104 123.435 -9.8948
36.939860 123.432 -10.3573
37.207542 123.429 -10.8193
37.477163 123.426 -11.2818
37.748738 123.423 -11.7455
38.022281 123.420 -12.2111
38.297806 123.415 -12.6786
38.575327 123.411 -13.1472
38.854860 123.405 -13.6160
39.136419 123.399 -14.0839
39.420017 123.392 -14.5503
39.705671 123.385 -15.0148
39.993395 123.377 -15.4775
40.283203 123.369 -15.9384
40.575112 123.361 -16.3973
40.869136 123.352 -16.8537
41.165290 123.343 -17.3074
41.463591 123.334 -17.7583
41.764053 123.325 -18.2069
42.066693 123.316 -18.6541
42.371525 123.307 -19.1013
42.678567 123.297 -19.5500
42.987834 123.286 -20.0016
43.299341 123.274 -20.4572
43.613106 123.262 -20.9180
43.929145 123.248 -21.3841
44.247473 123.234 -21.8547
44.568109 123.219 -22.3274
44.891068 123.204 -22.7988
45.216367 123.189 -23.2657
45.544023 123.174 -23.7268
45.874054 123.159 -24.1834
46.206476 123.144 -24.6386
46.541307 123.127 -25.0958
46.878565 123.108 -25.5556
47.218266 123.084 -26.0143
47.560429 123.057 -26.4656
47.905072 123.027 -26.9038
48.252212 122.999 -27.3289
48.601867 122.976 -27.7484
48.954056 122.958 -28.1757
49.308798 122.947 -28.6243
49.666109 122.941 -29.1008
50.026010 122.936 -29.6018
50.388520 122.929 -30.1147
50.753656 122.920 -30.6239
51.121437 122.906 -31.1172
51.491884 122.890 -31.5900
51.865016 122.871 -32.0447
52.240851 122.850 -32.4877
52.619410 122.827 -32.9247
53.000712 122.802 -33.3589
53.384777 122.777 -33.7905
53.771625 122.750 -34.2194
54.161276 122.725 -34.6464
54.553751 122.699 -35.0735
54.949070 122.674 -35.5025
55.347254 122.648 -35.9339
55.748323 122.623 -36.3658
56.152298 122.596 -36.7947
56.559201 122.569 -37.2170
56.969052 122.543 -37.6305
57.381873 122.518 -38.0343
57.797686 122.494 -38.4288
58.216512 122.472 -38.8144
58.638373 122.450 -39.1914
59.063291 122.429 -39.5603
59.491288 122.408 -39.9230
59.922386 122.386 -40.2827
60.356608 122.364 -40.6441
60.793977 122.340 -41.0111
61.234515 122.316 -41.3864
61.678246 122.291 -41.7709
62.125192 122.267 -42.1632
62.575377 122.243 -42.5605
63.028824 122.222 -42.9590
63.485557 122.203 -43.3553
63.945599 122.186 -43.7484
64.408975 122.171 -44.1399
64.875709 122.157 -44.5334
65.345825 122.143 -44.9321
65.819348 122.127 -45.3376
66.296302 122.110 -45.7495
66.776713 122.090 -46.1655
67.260604 122.069 -46.5816
67.748002 122.046 -46.9923
68.238932 122.023 -47.3912
68.733420 121.998 -47.7725
69.231490 121.974 -48.1322
69.733170 121.951 -48.4695
70.238485 121.930 -48.7865
70.747463 121.912 -49.0886
71.260128 121.899 -49.3838
71.776508 121.890 -49.6820
72.296630 121.887 -49.9940
72.820521 121.889 -50.3305
73.348209 121.895 -50.7006
73.879720 121.905 -51.1112
74.415083 121.918 -51.5663
74.954326 121.930 -52.0665
75.497475 121.941 -52.6089
76.044561 121.947 -53.1874
76.595612 121.948 -53.7940
77.150655 121.943 -54.4193
77.709720 121.930 -55.0536
78.272837 121.912 -55.6890
78.840034 121.888 -56.3200
79.411342 121.860 -56.9430
79.986789 121.829 -57.5549
80.566406 121.795 -58.1530
81.150224 121.762 -58.7357
81.738272 121.728 -59.3034
82.330581 121.695 -59.8579
82.927182 121.662 -60.4012
83.528107 121.628 -60.9353
84.133386 121.594 -61.4627
84.743051 121.558 -61.9853
85.357134 121.521 -62.5043
85.975667 121.484 -63.0192
86.598682 121.446 -63.5288
87.226212 121.409 -64.0320
87.858289 121.373 -64.5280
88.494946 121.337 -65.0165
89.136217 121.301 -65.4967
89.782135 121.265 -65.9679
90.432733 121.229 -66.4304
91.088046 121.192 -66.8861
91.748108 121.154 -67.3385
92.412952 121.117 -67.7908
93.082615 121.079 -68.2443
93.757130 121.042 -68.6990
94.436533 121.006 -69.1535
95.120859 120.970 -69.6071
95.810144 120.934 -70.0598
96.504423 120.899 -70.5125
97.203734 120.863 -70.9662
97.908112 120.827 -71.4214
98.617595 120.791 -71.8773
99.332219 120.755 -72.3326
100.052021 120.718 -72.7863
100.777039 120.682 -73.2375
101.507311 120.645 -73.6861
102.242875 120.608 -74.1325
102.983769 120.571 -74.5768
103.730032 120.534 -75.0193
104.481702 120.498 -75.4602
105.238820 120.461 -75.9000
106.001424 120.425 -76.3390
106.769554 120.389 -76.7774
107.543250 120.353 -77.2159
108.322553 120.317 -77.6549
109.107503 120.281 -78.0943
109.898141 120.244 -78.5336
110.694508 120.208 -78.9724
111.496646 120.171 -79.4103
112.304596 120.134 -79.8472
113.118402 120.097 -80.2827
113.938104 120.061 -80.7169
114.763747 120.024 -81.1496
115.595372 119.987 -81.5809
116.433024 119.950 -82.0107
117.276746 119.913 -82.4385
118.126581 119.877 -82.8637
118.982575 119.840 -83.2860
119.844772 119.804 -83.7055
120.713217 119.768 -84.1233
121.587954 119.733 -84.5407
122.469031 119.697 -84.9594
123.356492 119.662 -85.3807
124.250384 119.628 -85.8049
125.150753 119.593 -86.2313
126.057647 119.559 -86.6586
126.971113 119.525 -87.0850
127.891198 119.490 -87.5099
128.817950 119.456 -87.9338
129.751418 119.422 -88.3580
130.691651 119.388 -88.7840
131.638696 119.354 -89.2120
132.592604 119.319 -89.6418
133.553425 119.285 -90.0733
134.521208 119.250 -90.5063
135.496004 119.215 -90.9405
136.477864 119.180 -91.3754
137.466839 119.144 -91.8102
138.462981 119.109 -92.2442
139.466340 119.073 -92.6768
140.476971 119.037 -93.1079
141.494925 119.001 -93.5372
142.520256 118.965 -93.9648
143.553016 118.929 -94.3909
144.593260 118.893 -94.8160
145.641043 118.856 -95.2401
146.696418 118.819 -95.6624
147.759441 118.783 -96.0822
148.830166 118.746 -96.4989
149.908651 118.710 -96.9123
150.994951 118.674 -97.3223
152.089123 118.639 -97.7291
153.191223 118.604 -98.1338
154.301310 118.569 -98.5371
155.419441 118.534 -98.9402
156.545674 118.499 -99.3433
157.680069 118.464 -99.7468
158.822683 118.430 -100.1507
159.973578 118.395 -100.5549
161.132813 118.361 -100.9592
162.300447 118.327 -101.3636
163.476543 118.292 -101.7677
164.661162 118.258 -102.1714
165.854364 118.224 -102.5743
167.056213 118.189 -102.9758
168.266772 118.156 -103.3754
169.486102 118.122 -103.7722
170.714268 118.088 -104.1663
171.951334 118.054 -104.5574
173.197364 118.021 -104.9457
174.452424 117.988 -105.3317
175.716578 117.955 -105.7159
176.989893 117.923 -106.0990
178.272434 117.892 -106.4813
179.564270 117.861 -106.8628
180.865467 117.830 -107.2434
182.176092 117.799 -107.6228
183.496216 117.769 -108.0011
184.825905 117.740 -108.3786
186.165229 117.711 -108.7554
187.514259 117.682 -109.1318
188.873065 117.655 -109.5076
190.241717 117.628 -109.8835
191.620287 117.602 -110.2607
193.008847 117.578 -110.6414
194.407468 117.554 -111.0278
195.816225 117.530 -111.4221
197.235190 117.507 -111.8251
198.664438 117.483 -112.2364
200.104042 117.459 -112.6542
201.554078 117.435 -113.0764
203.014622 117.409 -113.5016
204.485750 117.383 -113.9284
205.967538 117.356 -114.3557
207.460064 117.329 -114.7827
208.963405 117.301 -115.2086
210.477640 117.272 -115.6332
212.002848 117.243 -116.0563
213.539108 117.213 -116.4777
215.086500 117.183 -116.8972
216.645105 117.153 -117.3146
218.215005 117.122 -117.7295
219.796281 117.091 -118.1417
221.389015 117.061 -118.5507
222.993292 117.030 -118.9560
224.609193 116.999 -119.3579
226.236804 116.968 -119.7569
227.876209 116.938 -120.1535
229.527494 116.907 -120.5480
231.190745 116.877 -120.9402
232.866048 116.846 -121.3299
234.553491 116.816 -121.7171
236.253163 116.785 -122.1017
237.965150 116.755 -122.4838
239.689544 116.725 -122.8640
241.426433 116.695 -123.2425
243.175909 116.666 -123.6197
244.938062 116.637 -123.9957
246.712984 116.607 -124.3705
248.500768 116.579 -124.7444
250.301507 116.550 -125.1173
252.115295 116.522 -125.4893
253.942226 116.493 -125.8602
255.782396 116.465 -126.2300
257.635901 116.437 -126.5986
259.502837 116.409 -126.9660
261.383301 116.381 -127.3324
263.277392 116.353 -127.6979
265.185209 116.325 -128.0623
267.106850 116.298 -128.4253
269.042417 116.270 -128.7867
270.992009 116.242 -129.1462
272.955729 116.214 -129.5036
274.933678 116.186 -129.8587
276.925961 116.158 -130.2114
278.932681 116.130 -130.5621
280.953942 116.103 -130.9111
282.989850 116.076 -131.2587
285.040511 116.049 -131.6051
287.106032 116.022 -131.9505
289.186521 115.995 -132.2946
291.282086 115.968 -132.6371
293.392836 115.941 -132.9779
295.518881 115.914 -133.3168
297.660333 115.888 -133.6539
299.817302 115.861 -133.9892
301.989902 115.835 -134.3228
304.178245 115.809 -134.6547
306.382446 115.782 -134.9851
308.602620 115.756 -135.3138
310.838882 115.730 -135.6407
313.091348 115.704 -135.9651
315.360137 115.678 -136.2868
317.645367 115.652 -136.6057
319.947156 115.626 -136.9223
322.265625 115.600 -137.2371
324.600895 115.575 -137.5504
326.953086 115.550 -137.8621
329.322323 115.525 -138.1719
331.708729 115.500 -138.4791
334.112427 115.476 -138.7836
