* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -59,2 dBFS, measurement signal peak level -7,3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 21.06.2023 23:26:25
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0,1392 ms (48 mm, 1,88 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: BQETZ Summer
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 110.650 -105.9217
20.523834 110.762 -106.8735
20.860291 110.862 -107.8336
21.196747 110.954 -108.8129
21.533203 111.042 -109.8093
21.869659 111.128 -110.8091
22.206116 111.213 -111.7923
22.542572 111.296 -112.7405
22.879028 111.379 -113.6441
23.215485 111.461 -114.5055
23.551941 111.542 -115.3379
23.888397 111.621 -116.1596
24.224854 111.698 -116.9857
24.561310 111.770 -117.8224
24.897766 111.838 -118.6655
25.234222 111.903 -119.5027
25.570679 111.965 -120.3204
25.907135 112.026 -121.1093
26.243591 112.087 -121.8676
26.580048 112.148 -122.5999
26.916504 112.209 -123.3135
27.252960 112.268 -124.0139
27.589417 112.324 -124.7033
27.925873 112.376 -125.3819
28.262329 112.426 -126.0502
28.598785 112.474 -126.7114
28.935242 112.522 -127.3706
29.271698 112.569 -128.0324
29.608154 112.616 -128.6977
29.944611 112.660 -129.3619
30.281067 112.702 -130.0161
30.617523 112.740 -130.6515
30.953979 112.777 -131.2628
31.290436 112.813 -131.8511
31.626892 112.849 -132.4226
31.963348 112.885 -132.9857
32.299805 112.920 -133.5471
32.636261 112.955 -134.1093
32.972717 112.989 -134.6707
33.309174 113.022 -135.2280
33.645630 113.054 -135.7786
33.982086 113.085 -136.3224
34.318542 113.115 -136.8602
34.654999 113.145 -137.3931
34.991455 113.174 -137.9205
35.327911 113.202 -138.4402
35.664368 113.229 -138.9501
36.000824 113.254 -139.4498
36.337280 113.279 -139.9406
36.673737 113.303 -140.4250
37.010193 113.326 -140.9043
37.346649 113.348 -141.3776
37.683105 113.369 -141.8424
38.019562 113.390 -142.2968
38.356018 113.411 -142.7411
38.692474 113.433 -143.1788
39.028931 113.454 -143.6141
39.365387 113.475 -144.0496
39.701843 113.494 -144.4848
40.038300 113.512 -144.9167
40.374756 113.528 -145.3426
40.711212 113.543 -145.7616
41.047668 113.559 -146.1750
41.384125 113.574 -146.5848
41.720581 113.590 -146.9914
42.057037 113.606 -147.3929
42.393494 113.622 -147.7866
42.729950 113.638 -148.1718
43.066406 113.654 -148.5509
43.402863 113.669 -148.9288
43.739319 113.684 -149.3094
44.075775 113.698 -149.6938
44.412231 113.711 -150.0790
44.748688 113.722 -150.4609
45.085144 113.734 -150.8361
45.421600 113.747 -151.2042
45.758057 113.760 -151.5664
46.094513 113.772 -151.9235
46.430969 113.784 -152.2747
46.767426 113.793 -152.6184
47.103882 113.801 -152.9551
47.440338 113.808 -153.2892
47.776794 113.814 -153.6288
48.113251 113.820 -153.9814
48.449707 113.826 -154.3490
48.786163 113.832 -154.7260
49.122620 113.837 -155.0997
49.459076 113.843 -155.4560
49.795532 113.850 -155.7850
50.131989 113.860 -156.0856
50.468445 113.871 -156.3648
50.804901 113.884 -156.6343
51.141357 113.896 -156.9048
51.477814 113.906 -157.1825
51.814270 113.913 -157.4682
52.150726 113.917 -157.7590
52.487183 113.919 -158.0509
52.823639 113.920 -158.3420
53.160095 113.923 -158.6327
53.496552 113.928 -158.9252
53.833008 113.934 -159.2213
54.169464 113.940 -159.5204
54.505920 113.946 -159.8184
54.842377 113.950 -160.1092
55.178833 113.953 -160.3863
55.515289 113.955 -160.6463
55.851746 113.957 -160.8909
56.188202 113.962 -161.1275
56.524658 113.969 -161.3663
56.861115 113.979 -161.6169
57.197571 113.988 -161.8836
57.534027 113.996 -162.1639
57.870483 114.001 -162.4492
58.206940 114.003 -162.7297
58.543396 114.003 -162.9990
58.879852 114.001 -163.2570
59.216309 113.999 -163.5099
59.552765 113.998 -163.7649
59.889221 113.997 -164.0257
60.225677 113.996 -164.2895
60.562134 113.994 -164.5481
60.898590 113.992 -164.7932
61.235046 113.992 -165.0218
61.571503 113.994 -165.2390
61.907959 113.999 -165.4556
62.244415 114.005 -165.6826
62.580872 114.011 -165.9255
62.917328 114.015 -166.1823
63.253784 114.016 -166.4452
63.590240 114.016 -166.7051
63.926697 114.013 -166.9559
64.263153 114.011 -167.1958
64.599609 114.010 -167.4263
64.936066 114.009 -167.6502
65.272522 114.008 -167.8698
65.608978 114.008 -168.0874
65.945435 114.008 -168.3047
66.281891 114.007 -168.5230
66.618347 114.006 -168.7413
66.954803 114.003 -168.9563
67.291260 114.000 -169.1632
67.627716 113.998 -169.3602
67.964172 113.998 -169.5517
68.300629 114.000 -169.7486
68.637085 114.005 -169.9638
68.973541 114.008 -170.2047
69.309998 114.009 -170.4664
69.646454 114.003 -170.7313
69.982910 113.993 -170.9751
70.319366 113.979 -171.1784
70.655823 113.967 -171.3364
70.992279 113.961 -171.4626
71.328735 113.961 -171.5831
71.665192 113.966 -171.7246
72.001648 113.974 -171.9023
72.338104 113.979 -172.1152
72.674561 113.981 -172.3488
73.011017 113.978 -172.5850
73.347473 113.972 -172.8104
73.683929 113.966 -173.0212
74.020386 113.960 -173.2207
74.356842 113.955 -173.4143
74.693298 113.950 -173.6043
75.029755 113.946 -173.7898
75.366211 113.943 -173.9692
75.702667 113.940 -174.1440
76.039124 113.937 -174.3190
76.375580 113.934 -174.4998
76.712036 113.931 -174.6884
77.048492 113.926 -174.8812
77.384949 113.919 -175.0715
77.721405 113.912 -175.2534
78.057861 113.905 -175.4262
78.394318 113.899 -175.5940
78.730774 113.894 -175.7625
79.067230 113.890 -175.9350
79.403687 113.884 -176.1122
79.740143 113.878 -176.2928
80.076599 113.870 -176.4767
80.413055 113.860 -176.6641
80.749512 113.848 -176.8523
81.085968 113.833 -177.0322
81.422424 113.818 -177.1905
81.758881 113.803 -177.3165
82.095337 113.794 -177.4123
82.431793 113.792 -177.4965
82.768250 113.797 -177.5979
83.104706 113.804 -177.7398
83.441162 113.810 -177.9250
83.777618 113.807 -178.1312
84.114075 113.796 -178.3219
84.450531 113.780 -178.4656
84.786987 113.763 -178.5541
85.123444 113.752 -178.6065
85.459900 113.748 -178.6582
85.796356 113.750 -178.7402
86.132812 113.752 -178.8632
86.469269 113.752 -179.0145
86.805725 113.747 -179.1692
87.142181 113.739 -179.3060
87.478638 113.732 -179.4178
87.815094 113.727 -179.5126
88.151550 113.725 -179.6059
88.488007 113.726 -179.7107
88.824463 113.727 -179.8325
89.160919 113.727 -179.9687
89.497375 113.726 179.8876
89.833832 113.722 179.7441
90.170288 113.718 179.6076
90.506744 113.714 179.4826
90.843201 113.710 179.3696
91.179657 113.710 179.2637
91.516113 113.713 179.1548
91.852570 113.719 179.0314
92.189026 113.725 178.8860
92.525482 113.729 178.7197
92.861938 113.729 178.5431
93.198395 113.725 178.3718
93.534851 113.718 178.2191
93.871307 113.709 178.0903
94.207764 113.701 177.9811
94.544220 113.696 177.8801
94.880676 113.694 177.7744
95.217133 113.694 177.6549
95.553589 113.694 177.5191
95.890045 113.693 177.3710
96.226501 113.691 177.2186
96.562958 113.686 177.0710
96.899414 113.681 176.9343
97.235870 113.674 176.8099
97.572327 113.669 176.6940
97.908783 113.664 176.5800
98.245239 113.659 176.4626
98.581696 113.655 176.3401
98.918152 113.650 176.2155
99.254608 113.646 176.0926
99.591064 113.643 175.9730
99.927521 113.642 175.8538
100.263977 113.641 175.7299
100.600433 113.640 175.5976
100.936890 113.638 175.4587
101.273346 113.633 175.3195
101.609802 113.626 175.1869
101.946259 113.618 175.0633
102.282715 113.612 174.9446
102.619171 113.606 174.8232
102.955627 113.602 174.6937
103.292084 113.597 174.5580
103.628540 113.592 174.4240
103.964996 113.587 174.3010
104.301453 113.582 174.1923
104.637909 113.579 174.0927
104.974365 113.578 173.9907
105.310822 113.576 173.8762
105.647278 113.573 173.7462
105.983734 113.568 173.6065
106.320190 113.561 173.4670
106.656647 113.553 173.3353
106.993103 113.547 173.2124
107.329559 113.543 173.0934
107.666016 113.540 172.9717
108.002472 113.538 172.8450
108.338928 113.535 172.7165
108.675385 113.529 172.5927
109.011841 113.522 172.4785
109.348297 113.514 172.3731
109.684753 113.506 172.2701
110.021210 113.499 172.1609
110.357666 113.493 172.0400
110.694122 113.487 171.9082
111.030579 113.481 171.7726
111.367035 113.475 171.6435
111.703491 113.469 171.5290
112.039948 113.463 171.4316
112.376404 113.458 171.3470
112.712860 113.455 171.2658
113.049316 113.451 171.1773
113.385773 113.447 171.0738
113.722229 113.440 170.9530
114.058685 113.432 170.8184
114.395142 113.423 170.6768
114.731598 113.414 170.5353
115.068054 113.406 170.3987
115.404510 113.400 170.2683
115.740967 113.396 170.1436
116.077423 113.393 170.0237
116.413879 113.390 169.9095
116.750336 113.386 169.8032
117.086792 113.380 169.7070
117.423248 113.373 169.6205
117.759705 113.366 169.5397
118.096161 113.358 169.4576
118.432617 113.352 169.3666
118.769073 113.346 169.2622
119.105530 113.339 169.1457
119.441986 113.330 169.0240
119.778442 113.320 168.9073
120.114899 113.309 168.8040
120.451355 113.299 168.7156
120.787811 113.290 168.6354
121.124268 113.282 168.5508
121.460724 113.277 168.4502
121.797180 113.271 168.3291
122.133636 113.264 168.1940
122.470093 113.256 168.0588
122.806549 113.247 167.9367
123.143005 113.240 167.8332
123.479462 113.235 167.7429
123.815918 113.232 167.6547
124.152374 113.229 167.5604
124.488831 113.223 167.4605
124.825287 113.213 167.3627
125.161743 113.201 167.2746
125.498199 113.189 167.1954
125.834656 113.180 167.1144
126.171112 113.173 167.0182
126.507568 113.167 166.9018
126.844025 113.161 166.7744
127.180481 113.153 166.6548
127.516937 113.144 166.5589
127.853394 113.137 166.4869
128.189850 113.132 166.4228
128.526306 113.127 166.3456
128.862762 113.119 166.2449
129.199219 113.106 166.1299
129.535675 113.088 166.0225
129.872131 113.068 165.9406
130.208588 113.052 165.8820
130.545044 113.044 165.8233
130.881500 113.043 165.7345
131.217957 113.044 165.6010
131.554413 113.041 165.4362
131.890869 113.031 165.2745
132.227325 113.016 165.1509
132.563782 113.000 165.0782
132.900238 112.988 165.0395
133.236694 112.982 164.9996
133.573151 112.980 164.9277
133.909607 112.977 164.8160
134.246063 112.969 164.6827
134.582520 112.958 164.5576
134.918976 112.944 164.4626
135.255432 112.933 164.3996
135.591888 112.925 164.3512
135.928345 112.921 164.2938
136.264801 112.918 164.2118
136.601257 112.913 164.1047
136.937714 112.904 163.9847
137.274170 112.891 163.8682
137.610626 112.875 163.7672
137.947083 112.859 163.6857
138.283539 112.845 163.6202
138.619995 112.834 163.5632
138.956451 112.825 163.5059
139.292908 112.817 163.4413
139.629364 112.811 163.3658
139.965820 112.803 163.2796
140.302277 112.794 163.1869
140.638733 112.783 163.0933
140.975189 112.771 163.0036
141.311646 112.759 162.9196
141.648102 112.748 162.8408
141.984558 112.736 162.7655
142.321014 112.725 162.6932
142.657471 112.713 162.6240
142.993927 112.701 162.5579
143.330383 112.689 162.4928
143.666840 112.678 162.4249
144.003296 112.667 162.3508
144.339752 112.656 162.2706
144.676208 112.643 162.1883
145.012665 112.630 162.1100
145.349121 112.617 162.0403
145.685577 112.605 161.9796
146.022034 112.592 161.9240
146.358490 112.580 161.8690
146.694946 112.568 161.8120
147.031403 112.555 161.7531
147.367859 112.542 161.6935
147.704315 112.529 161.6326
148.040771 112.517 161.5667
148.377228 112.507 161.4915
148.713684 112.496 161.4064
149.050140 112.483 161.3175
149.386597 112.468 161.2357
149.723053 112.452 161.1722
150.059509 112.434 161.1326
150.395966 112.417 161.1133
150.732422 112.401 161.1035
151.068878 112.387 161.0909
151.405334 112.373 161.0675
151.741791 112.358 161.0328
152.078247 112.343 160.9926
152.414703 112.326 160.9540
152.751160 112.309 160.9223
153.087616 112.292 160.8986
153.424072 112.277 160.8813
153.760529 112.262 160.8684
154.096985 112.247 160.8589
