* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -56,3 dBFS, measurement signal peak level -8,9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 26.12.2022 22:00:58
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0,1357 ms (47 mm, 1,83 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: BQEYZ Winter
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 114.195 -117.2184
20.287556 114.210 -117.3749
20.434568 114.231 -117.6009
20.582645 114.257 -117.8756
20.731796 114.286 -118.1812
20.882027 114.316 -118.5048
21.033346 114.348 -118.8381
21.185763 114.380 -119.1766
21.339284 114.412 -119.5174
21.493917 114.444 -119.8595
21.649671 114.476 -120.2026
21.806553 114.508 -120.5466
21.964572 114.541 -120.8920
22.123737 114.574 -121.2390
22.284054 114.607 -121.5883
22.445534 114.640 -121.9401
22.608183 114.673 -122.2946
22.772012 114.706 -122.6517
22.937027 114.739 -123.0113
23.103238 114.771 -123.3726
23.270654 114.802 -123.7350
23.439282 114.832 -124.0973
23.609133 114.862 -124.4585
23.780215 114.891 -124.8173
23.952536 114.920 -125.1728
24.126106 114.948 -125.5243
24.300934 114.976 -125.8712
24.477028 115.004 -126.2137
24.654399 115.032 -126.5519
24.833055 115.060 -126.8867
25.013005 115.088 -127.2189
25.194260 115.117 -127.5496
25.376828 115.146 -127.8799
25.560719 115.175 -128.2104
25.745942 115.203 -128.5420
25.932508 115.232 -128.8748
26.120426 115.260 -129.2090
26.309705 115.287 -129.5442
26.500356 115.314 -129.8800
26.692388 115.341 -130.2161
26.885812 115.367 -130.5520
27.080638 115.392 -130.8875
27.276876 115.417 -131.2224
27.474535 115.442 -131.5570
27.673627 115.467 -131.8912
27.874161 115.491 -132.2254
28.076149 115.516 -132.5597
28.279600 115.540 -132.8941
28.484526 115.564 -133.2285
28.690937 115.589 -133.5625
28.898843 115.612 -133.8957
29.108256 115.636 -134.2273
29.319186 115.659 -134.5569
29.531645 115.682 -134.8841
29.745644 115.705 -135.2086
29.961193 115.727 -135.5308
30.178304 115.750 -135.8509
30.396989 115.772 -136.1698
30.617258 115.795 -136.4881
30.839123 115.817 -136.8068
31.062596 115.839 -137.1264
31.287688 115.861 -137.4472
31.514412 115.883 -137.7691
31.742778 115.904 -138.0918
31.972800 115.925 -138.4144
32.204488 115.946 -138.7362
32.437855 115.966 -139.0563
32.672913 115.986 -139.3743
32.909674 116.005 -139.6898
33.148151 116.025 -140.0031
33.388356 116.044 -140.3145
33.630302 116.063 -140.6246
33.874001 116.081 -140.9338
34.119466 116.100 -141.2425
34.366710 116.117 -141.5508
34.615745 116.134 -141.8582
34.866585 116.151 -142.1643
35.119243 116.167 -142.4683
35.373731 116.182 -142.7694
35.630064 116.197 -143.0672
35.888254 116.212 -143.3612
36.148315 116.226 -143.6512
36.410261 116.240 -143.9370
36.674104 116.254 -144.2185
36.939860 116.268 -144.4955
37.207542 116.283 -144.7679
37.477163 116.297 -145.0360
37.748738 116.312 -145.3002
38.022281 116.328 -145.5615
38.297806 116.344 -145.8213
38.575327 116.362 -146.0814
38.854860 116.380 -146.3434
39.136419 116.399 -146.6089
39.420017 116.418 -146.8788
39.705671 116.438 -147.1536
39.993395 116.459 -147.4331
40.283203 116.479 -147.7168
40.575112 116.499 -148.0041
40.869136 116.518 -148.2940
41.165290 116.537 -148.5858
41.463591 116.555 -148.8787
41.764053 116.572 -149.1717
42.066693 116.588 -149.4640
42.371525 116.604 -149.7551
42.678567 116.618 -150.0452
42.987834 116.632 -150.3345
43.299341 116.646 -150.6241
43.613106 116.660 -150.9147
43.929145 116.673 -151.2066
44.247473 116.686 -151.4998
44.568109 116.699 -151.7936
44.891068 116.712 -152.0869
45.216367 116.724 -152.3790
45.544023 116.736 -152.6691
45.874054 116.748 -152.9570
46.206476 116.760 -153.2430
46.541307 116.772 -153.5280
46.878565 116.783 -153.8131
47.218266 116.795 -154.0991
47.560429 116.806 -154.3867
47.905072 116.816 -154.6752
48.252212 116.826 -154.9625
48.601867 116.835 -155.2461
48.954056 116.844 -155.5233
49.308798 116.852 -155.7929
49.666109 116.861 -156.0559
50.026010 116.870 -156.3153
50.388520 116.880 -156.5746
50.753656 116.890 -156.8364
51.121437 116.900 -157.1013
51.491884 116.910 -157.3679
51.865016 116.919 -157.6338
52.240851 116.928 -157.8967
52.619410 116.937 -158.1556
53.000712 116.946 -158.4113
53.384777 116.955 -158.6658
53.771625 116.964 -158.9218
54.161276 116.974 -159.1820
54.553751 116.982 -159.4480
54.949070 116.990 -159.7196
55.347254 116.998 -159.9946
55.748323 117.004 -160.2696
56.152298 117.011 -160.5412
56.559201 117.016 -160.8073
56.969052 117.022 -161.0677
57.381873 117.029 -161.3239
57.797686 117.035 -161.5780
58.216512 117.041 -161.8322
58.638373 117.047 -162.0882
59.063291 117.053 -162.3470
59.491288 117.059 -162.6091
59.922386 117.065 -162.8735
60.356608 117.071 -163.1381
60.793977 117.076 -163.4004
61.234515 117.081 -163.6585
61.678246 117.085 -163.9119
62.125192 117.089 -164.1617
62.575377 117.093 -164.4096
63.028824 117.096 -164.6576
63.485557 117.100 -164.9067
63.945599 117.103 -165.1573
64.408975 117.107 -165.4087
64.875709 117.110 -165.6596
65.345825 117.113 -165.9088
65.819348 117.116 -166.1556
66.296302 117.119 -166.4005
66.776713 117.121 -166.6446
67.260604 117.124 -166.8894
67.748002 117.126 -167.1356
68.238932 117.129 -167.3837
68.733420 117.131 -167.6333
69.231490 117.133 -167.8840
69.733170 117.135 -168.1353
70.238485 117.137 -168.3860
70.747463 117.139 -168.6353
71.260128 117.141 -168.8821
71.776508 117.142 -169.1261
72.296630 117.144 -169.3673
72.820521 117.145 -169.6066
73.348209 117.146 -169.8449
73.879720 117.147 -170.0831
74.415083 117.148 -170.3213
74.954326 117.148 -170.5592
75.497475 117.149 -170.7964
76.044561 117.149 -171.0325
76.595612 117.149 -171.2675
77.150655 117.149 -171.5018
77.709720 117.148 -171.7357
78.272837 117.147 -171.9695
78.840034 117.146 -172.2030
79.411342 117.145 -172.4364
79.986789 117.144 -172.6698
80.566406 117.143 -172.9032
81.150224 117.141 -173.1370
81.738272 117.140 -173.3710
82.330581 117.138 -173.6053
82.927182 117.136 -173.8397
83.528107 117.134 -174.0742
84.133386 117.131 -174.3084
84.743051 117.129 -174.5420
85.357134 117.126 -174.7746
85.975667 117.123 -175.0058
86.598682 117.119 -175.2347
87.226212 117.116 -175.4606
87.858289 117.113 -175.6836
88.494946 117.111 -175.9041
89.136217 117.108 -176.1234
89.782135 117.105 -176.3424
90.432733 117.102 -176.5619
91.088046 117.098 -176.7821
91.748108 117.094 -177.0029
92.412952 117.090 -177.2238
93.082615 117.086 -177.4445
93.757130 117.082 -177.6649
94.436533 117.077 -177.8851
95.120859 117.073 -178.1049
95.810144 117.069 -178.3243
96.504423 117.065 -178.5430
97.203734 117.061 -178.7608
97.908112 117.057 -178.9780
98.617595 117.053 -179.1948
99.332219 117.048 -179.4117
100.052021 117.043 -179.6290
100.777039 117.038 -179.8471
101.507311 117.032 179.9335
102.242875 117.027 179.7131
102.983769 117.021 179.4919
103.730032 117.015 179.2705
104.481702 117.009 179.0496
105.238820 117.003 178.8297
106.001424 116.996 178.6106
106.769554 116.989 178.3923
107.543250 116.982 178.1745
108.322553 116.974 177.9572
109.107503 116.967 177.7402
109.898141 116.959 177.5239
110.694508 116.951 177.3081
111.496646 116.943 177.0926
112.304596 116.935 176.8772
113.118402 116.926 176.6619
113.938104 116.918 176.4467
114.763747 116.909 176.2313
115.595372 116.900 176.0156
116.433024 116.891 175.7995
117.276746 116.881 175.5839
118.126581 116.872 175.3699
118.982575 116.862 175.1580
119.844772 116.851 174.9479
120.713217 116.840 174.7386
121.587954 116.829 174.5292
122.469031 116.817 174.3188
123.356492 116.806 174.1071
124.250384 116.794 173.8945
125.150753 116.782 173.6818
126.057647 116.770 173.4696
126.971113 116.757 173.2582
127.891198 116.745 173.0474
128.817950 116.732 172.8369
129.751418 116.718 172.6267
130.691651 116.705 172.4177
131.638696 116.692 172.2105
132.592604 116.679 172.0050
133.553425 116.665 171.8005
134.521208 116.650 171.5970
135.496004 116.633 171.3953
136.477864 116.617 171.1962
137.466839 116.599 171.0002
138.462981 116.581 170.8071
139.466340 116.563 170.6165
140.476971 116.543 170.4283
141.494925 116.523 170.2433
142.520256 116.503 170.0626
143.553016 116.481 169.8880
144.593260 116.459 169.7211
145.641043 116.436 169.5633
146.696418 116.413 169.4155
147.759441 116.389 169.2786
148.830166 116.366 169.1536
149.908651 116.343 169.0421
150.994951 116.322 168.9454
152.089123 116.302 168.8640
153.191223 116.283 168.7968
154.301310 116.268 168.7407
155.419441 116.255 168.6918
156.545674 116.246 168.6451
157.680069 116.240 168.5949
158.822683 116.237 168.5352
159.973578 116.237 168.4606
161.132813 116.240 168.3668
162.300447 116.244 168.2509
163.476543 116.248 168.1121
164.661162 116.252 167.9514
165.854364 116.255 167.7711
167.056213 116.257 167.5747
168.266772 116.257 167.3661
169.486102 116.255 167.1486
170.714268 116.251 166.9251
171.951334 116.246 166.6982
173.197364 116.239 166.4701
174.452424 116.230 166.2427
175.716578 116.219 166.0170
176.989893 116.208 165.7938
178.272434 116.195 165.5733
179.564270 116.181 165.3557
180.865467 116.167 165.1409
182.176092 116.152 164.9290
183.496216 116.136 164.7202
184.825905 116.120 164.5140
186.165229 116.103 164.3104
187.514259 116.086 164.1091
188.873065 116.069 163.9100
190.241717 116.051 163.7136
191.620287 116.033 163.5202
193.008847 116.015 163.3299
194.407468 115.996 163.1425
195.816225 115.978 162.9572
197.235190 115.959 162.7738
198.664438 115.939 162.5921
200.104042 115.920 162.4122
201.554078 115.900 162.2339
203.014622 115.881 162.0569
204.485750 115.861 161.8810
205.967538 115.841 161.7062
207.460064 115.821 161.5326
208.963405 115.800 161.3606
210.477640 115.780 161.1904
212.002848 115.759 161.0221
213.539108 115.738 160.8554
215.086500 115.717 160.6902
216.645105 115.696 160.5262
218.215005 115.675 160.3634
219.796281 115.653 160.2015
221.389015 115.632 160.0410
222.993292 115.610 159.8826
224.609193 115.589 159.7276
226.236804 115.567 159.5764
227.876209 115.545 159.4281
229.527494 115.524 159.2819
231.190745 115.501 159.1369
232.866048 115.479 158.9929
234.553491 115.457 158.8500
236.253163 115.434 158.7087
237.965150 115.411 158.5693
239.689544 115.389 158.4319
241.426433 115.366 158.2968
243.175909 115.344 158.1637
244.938062 115.322 158.0326
246.712984 115.300 157.9033
248.500768 115.278 157.7758
250.301507 115.257 157.6497
252.115295 115.235 157.5246
253.942226 115.214 157.3997
255.782396 115.193 157.2742
257.635901 115.172 157.1479
259.502837 115.152 157.0206
261.383301 115.131 156.8923
263.277392 115.110 156.7632
265.185209 115.090 156.6335
267.106850 115.069 156.5031
269.042417 115.048 156.3723
270.992009 115.027 156.2408
272.955729 115.006 156.1089
274.933678 114.984 155.9769
276.925961 114.962 155.8452
278.932681 114.940 155.7143
280.953942 114.918 155.5847
282.989850 114.895 155.4570
285.040511 114.872 155.3316
287.106032 114.849 155.2086
289.186521 114.827 155.0876
291.282086 114.804 154.9679
293.392836 114.781 154.8490
295.518881 114.759 154.7307
297.660333 114.736 154.6132
299.817302 114.713 154.4970
301.989902 114.690 154.3821
304.178245 114.667 154.2686
306.382446 114.644 154.1564
308.602620 114.621 154.0457
310.838882 114.598 153.9364
313.091348 114.575 153.8286
315.360137 114.552 153.7219
317.645367 114.529 153.6163
319.947156 114.506 153.5117
322.265625 114.483 153.4081
324.600895 114.460 153.3055
326.953086 114.436 153.2036
329.322323 114.413 153.1024
331.708729 114.390 153.0018
334.112427 114.367 152.9022
336.533543 114.344 152.8037
338.972204 114.321 152.7067
341.428536 114.299 152.6112
343.902668 114.276 152.5172
346.394729 114.253 152.4245
348.904848 114.231 152.3327
351.433156 114.208 152.2414
353.979786 114.186 152.1508
