* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 29.11.2024 23:05:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: BinaryAudio DynaQuattro L
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 118.505 43.5140
20.507813 118.584 42.1299
20.874023 118.645 40.7577
21.240234 118.691 39.3845
21.606445 118.726 38.0434
21.972656 118.763 36.7758
22.338867 118.817 35.5778
22.705078 118.901 34.3829
23.071289 119.009 33.1036
23.437500 119.125 31.7001
23.803711 119.228 30.2153
24.169922 119.303 28.7480
24.536133 119.351 27.3891
24.902344 119.379 26.1686
25.268555 119.398 25.0489
25.634766 119.414 23.9622
26.000977 119.430 22.8600
26.367188 119.449 21.7325
26.733399 119.473 20.5929
27.099610 119.506 19.4515
27.465821 119.545 18.3095
27.832032 119.583 17.1761
28.198243 119.612 16.0824
28.564454 119.631 15.0673
28.930665 119.644 14.1408
29.296876 119.661 13.2576
29.663087 119.685 12.3332
30.029298 119.711 11.3016
30.395509 119.729 10.1691
30.761720 119.732 9.0189
31.127931 119.724 7.9576
31.494142 119.717 7.0429
31.860353 119.723 6.2431
32.226563 119.744 5.4620
32.592774 119.771 4.6102
32.958985 119.791 3.6642
33.325196 119.795 2.6703
33.691407 119.785 1.7004
34.057618 119.771 0.7981
34.423829 119.763 -0.0440
34.790040 119.766 -0.8647
35.156251 119.775 -1.6971
35.522462 119.785 -2.5451
35.888673 119.790 -3.3899
36.254884 119.791 -4.2128
36.621095 119.787 -5.0097
36.987306 119.782 -5.7888
37.353517 119.776 -6.5583
37.719728 119.769 -7.3202
38.085939 119.762 -8.0746
38.452150 119.756 -8.8262
38.818361 119.751 -9.5839
39.184572 119.745 -10.3525
39.550783 119.736 -11.1250
39.916994 119.725 -11.8861
40.283205 119.712 -12.6226
40.649416 119.701 -13.3311
41.015627 119.691 -14.0168
41.381838 119.681 -14.6853
41.748049 119.671 -15.3390
42.114260 119.660 -15.9823
42.480471 119.650 -16.6284
42.846682 119.641 -17.2961
43.212893 119.631 -17.9966
43.579103 119.620 -18.7206
43.945314 119.607 -19.4416
44.311525 119.593 -20.1342
44.677736 119.581 -20.7924
45.043947 119.569 -21.4286
45.410158 119.553 -22.0553
45.776369 119.528 -22.6684
46.142580 119.497 -23.2538
46.508791 119.465 -23.8163
46.875002 119.445 -24.4016
47.241213 119.437 -25.0812
47.607424 119.436 -25.8989
47.973635 119.428 -26.8188
48.339846 119.402 -27.7218
48.706057 119.360 -28.4611
49.072268 119.313 -28.9471
49.438479 119.281 -29.2074
49.804690 119.272 -29.3779
50.170901 119.280 -29.6232
50.537112 119.291 -30.0441
50.903323 119.287 -30.6381
51.269534 119.263 -31.3258
51.635745 119.226 -32.0104
52.001956 119.186 -32.6294
52.368167 119.155 -33.1719
52.734378 119.137 -33.6657
53.100589 119.129 -34.1492
53.466800 119.123 -34.6475
53.833011 119.110 -35.1627
54.199222 119.088 -35.6767
54.565432 119.056 -36.1651
54.931643 119.024 -36.6167
55.297854 118.999 -37.0488
55.664065 118.986 -37.5045
56.030276 118.982 -38.0273
56.396487 118.978 -38.6271
56.762698 118.963 -39.2650
57.128909 118.933 -39.8714
57.495120 118.891 -40.3880
57.861331 118.849 -40.8044
58.227542 118.813 -41.1625
58.593753 118.788 -41.5231
58.959964 118.768 -41.9232
59.326175 118.751 -42.3580
59.692386 118.734 -42.7997
60.058597 118.719 -43.2319
60.424808 118.706 -43.6659
60.791019 118.694 -44.1269
61.157230 118.676 -44.6241
61.523441 118.647 -45.1354
61.889652 118.608 -45.6208
62.255863 118.566 -46.0538
62.622074 118.530 -46.4424
62.988285 118.504 -46.8217
63.354496 118.486 -47.2262
63.720707 118.470 -47.6636
64.086918 118.452 -48.1133
64.453129 118.428 -48.5456
64.819340 118.400 -48.9436
65.185551 118.370 -49.3106
65.551762 118.341 -49.6616
65.917972 118.312 -50.0106
66.284183 118.285 -50.3636
66.650394 118.259 -50.7215
67.016605 118.235 -51.0834
67.382816 118.211 -51.4445
67.749027 118.186 -51.7935
68.115238 118.159 -52.1149
68.481449 118.132 -52.4004
68.847660 118.107 -52.6609
69.213871 118.088 -52.9268
69.580082 118.074 -53.2321
69.946293 118.060 -53.5910
70.312504 118.044 -53.9869
70.678715 118.026 -54.3814
71.044926 118.008 -54.7409
71.411137 117.997 -55.0594
71.777348 117.994 -55.3626
72.143559 117.997 -55.6885
72.509770 117.997 -56.0597
72.875981 117.988 -56.4661
73.242192 117.967 -56.8722
73.608403 117.936 -57.2405
73.974614 117.902 -57.5576
74.340825 117.875 -57.8448
74.707036 117.857 -58.1458
75.073247 117.845 -58.4987
75.439458 117.833 -58.9099
75.805669 117.814 -59.3484
76.171880 117.787 -59.7633
76.538091 117.754 -60.1153
76.904301 117.725 -60.4028
77.270512 117.703 -60.6648
77.636723 117.691 -60.9570
78.002934 117.681 -61.3146
78.369145 117.668 -61.7285
78.735356 117.648 -62.1517
79.101567 117.622 -62.5309
79.467778 117.598 -62.8431
79.833989 117.582 -63.1097
80.200200 117.572 -63.3784
80.566411 117.563 -63.6858
80.932622 117.547 -64.0301
81.298833 117.520 -64.3759
81.665044 117.486 -64.6856
82.031255 117.451 -64.9528
82.397466 117.423 -65.2102
82.763677 117.402 -65.5051
83.129888 117.383 -65.8597
83.496099 117.360 -66.2506
83.862310 117.329 -66.6224
84.228521 117.296 -66.9270
84.594732 117.269 -67.1577
84.960943 117.252 -67.3533
85.327154 117.244 -67.5692
85.693365 117.239 -67.8377
86.059576 117.228 -68.1491
86.425787 117.210 -68.4664
86.791998 117.187 -68.7583
87.158209 117.165 -69.0240
87.524420 117.147 -69.2912
87.890631 117.132 -69.5897
88.256841 117.116 -69.9237
88.623052 117.093 -70.2657
88.989263 117.065 -70.5760
89.355474 117.037 -70.8320
89.721685 117.013 -71.0445
90.087896 116.996 -71.2497
90.454107 116.982 -71.4829
90.820318 116.968 -71.7562
91.186529 116.950 -72.0558
91.552740 116.927 -72.3571
91.918951 116.903 -72.6436
92.285162 116.881 -72.9149
92.651373 116.862 -73.1790
93.017584 116.843 -73.4405
93.383795 116.825 -73.6943
93.750006 116.805 -73.9323
94.116217 116.785 -74.1541
94.482428 116.767 -74.3728
94.848639 116.752 -74.6091
95.214850 116.737 -74.8783
95.581061 116.721 -75.1786
95.947272 116.701 -75.4899
96.313483 116.678 -75.7824
96.679694 116.654 -76.0320
97.045905 116.633 -76.2347
97.412116 116.617 -76.4116
97.778327 116.605 -76.6003
98.144538 116.593 -76.8343
98.510749 116.576 -77.1204
98.876960 116.550 -77.4303
99.243170 116.515 -77.7152
99.609381 116.480 -77.9384
99.975592 116.455 -78.1037
100.341803 116.442 -78.2565
100.708014 116.439 -78.4519
101.074225 116.434 -78.7099
101.440436 116.417 -78.9981
101.806647 116.386 -79.2558
102.172858 116.351 -79.4453
102.539069 116.322 -79.5900
102.905280 116.308 -79.7651
103.271491 116.304 -80.0432
103.637702 116.300 -80.4354
104.003913 116.286 -80.8771
104.370124 116.260 -81.2692
104.736335 116.231 -81.5418
105.102546 116.209 -81.6962
105.468757 116.198 -81.7951
105.834968 116.193 -81.9106
106.201179 116.186 -82.0753
106.567390 116.169 -82.2722
106.933601 116.143 -82.4642
107.299812 116.117 -82.6335
107.666023 116.096 -82.7972
108.032234 116.084 -82.9917
108.398445 116.076 -83.2401
108.764656 116.067 -83.5330
109.130867 116.051 -83.8333
109.497078 116.027 -84.0986
109.863289 116.000 -84.3048
110.229500 115.975 -84.4556
110.595710 115.954 -84.5792
110.961921 115.939 -84.7139
111.328132 115.928 -84.8908
111.694343 115.917 -85.1201
112.060554 115.903 -85.3852
112.426765 115.883 -85.6498
112.792976 115.862 -85.8763
113.159187 115.843 -86.0482
113.525398 115.832 -86.1817
113.891609 115.829 -86.3186
114.257820 115.831 -86.5011
114.624031 115.830 -86.7457
114.990242 115.817 -87.0329
115.356453 115.791 -87.3176
115.722664 115.755 -87.5537
116.088875 115.716 -87.7179
116.455086 115.684 -87.8205
116.821297 115.661 -87.8982
117.187508 115.649 -87.9934
117.553719 115.642 -88.1309
117.919930 115.635 -88.3068
118.286141 115.623 -88.4945
118.652352 115.610 -88.6659
119.018563 115.600 -88.8150
119.384774 115.596 -88.9664
119.750985 115.599 -89.1591
120.117196 115.603 -89.4142
120.483407 115.597 -89.7089
120.849618 115.578 -89.9824
121.215829 115.548 -90.1739
121.582040 115.518 -90.2712
121.948250 115.496 -90.3310
122.314461 115.483 -90.4480
122.680672 115.471 -90.6881
123.046883 115.448 -91.0344
123.413094 115.411 -91.3922
123.779305 115.369 -91.6522
124.145516 115.341 -91.7707
124.511727 115.341 -91.8090
124.877938 115.366 -91.8903
125.244149 115.393 -92.1022
125.610360 115.395 -92.4219
125.976571 115.357 -92.7240
126.342782 115.284 -92.8629
126.708993 115.204 -92.7798
127.075204 115.149 -92.5651
127.441415 115.137 -92.4196
127.807626 115.160 -92.5277
128.173837 115.192 -92.9363
128.540048 115.210 -93.5319
128.906259 115.203 -94.1174
129.272470 115.178 -94.5266
129.638681 115.152 -94.7076
130.004892 115.136 -94.7319
130.371103 115.132 -94.7269
130.737314 115.130 -94.7876
131.103525 115.119 -94.9311
131.469736 115.097 -95.1175
131.835947 115.073 -95.3067
132.202158 115.057 -95.4967
132.568369 115.051 -95.7151
132.934579 115.050 -95.9754
133.300790 115.041 -96.2418
133.667001 115.019 -96.4390
134.033212 114.988 -96.5043
134.399423 114.961 -96.4430
134.765634 114.948 -96.3417
135.131845 114.948 -96.3214
135.498056 114.951 -96.4597
135.864267 114.943 -96.7422
136.230478 114.918 -97.0756
136.596689 114.879 -97.3503
136.962900 114.842 -97.5072
137.329111 114.819 -97.5679
137.695322 114.813 -97.6086
138.061533 114.820 -97.7027
138.427744 114.828 -97.8755
138.793955 114.828 -98.1020
139.160166 114.820 -98.3390
139.526377 114.807 -98.5593
139.892588 114.792 -98.7633
140.258799 114.777 -98.9638
140.625010 114.759 -99.1625
140.991221 114.736 -99.3407
141.357432 114.710 -99.4731
141.723643 114.685 -99.5523
142.089854 114.669 -99.6028
142.456065 114.663 -99.6720
142.822276 114.662 -99.8023
143.188487 114.662 -100.0032
143.554698 114.653 -100.2440
143.920909 114.635 -100.4708
144.287119 114.610 -100.6365
144.653330 114.584 -100.7268
145.019541 114.564 -100.7659
145.385752 114.551 -100.8000
145.751963 114.541 -100.8692
146.118174 114.531 -100.9856
146.484385 114.516 -101.1316
146.850596 114.496 -101.2765
147.216807 114.475 -101.3971
147.583018 114.457 -101.4908
147.949229 114.444 -101.5733
148.315440 114.436 -101.6646
148.681651 114.430 -101.7766
149.047862 114.421 -101.9079
149.414073 114.409 -102.0483
149.780284 114.394 -102.1852
150.146495 114.376 -102.3103
150.512706 114.359 -102.4215
150.878917 114.344 -102.5255
151.245128 114.333 -102.6356
151.611339 114.325 -102.7668
151.977550 114.319 -102.9252
152.343761 114.310 -103.0987
152.709972 114.297 -103.2581
153.076183 114.282 -103.3723
153.442394 114.270 -103.4291
153.808605 114.264 -103.4487
154.174816 114.266 -103.4743
154.541027 114.270 -103.5453
154.907238 114.269 -103.6707
155.273448 114.260 -103.8244
155.639659 114.242 -103.9660
156.005870 114.223 -104.0712
156.372081 114.210 -104.1506
156.738292 114.205 -104.2397
157.104503 114.207 -104.3697
157.470714 114.208 -104.5417
157.836925 114.202 -104.7244
158.203136 114.190 -104.8773
158.569347 114.175 -104.9802
158.935558 114.163 -105.0475
159.301769 114.156 -105.1175
159.667980 114.152 -105.2237
160.034191 114.147 -105.3730
160.400402 114.138 -105.5429
160.766613 114.125 -105.7007
161.132824 114.112 -105.8259
161.499035 114.101 -105.9230
161.865246 114.091 -106.0143
162.231457 114.081 -106.1216
162.597668 114.067 -106.2522
162.963879 114.048 -106.3965
163.330090 114.026 -106.5387
163.696301 114.007 -106.6698
164.062512 113.996 -106.7929
