* Measurement data measured by REW V5.31.3
* Source: EXCL: Микрофон (CX31993 384Khz HIFI AUDIO), MICROPHONE (Общая громкость), 0, volume: 1,000
* Format: 256k Log Swept Sine, 1 sweep at -20,0 dBFS with no timing reference
* Dated: 26.05.2025 16:44:51
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CKLVX CK2V
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 96.385 -172.7255
20.333664 96.377 -172.8762
20.481010 96.365 -173.0948
20.629424 96.351 -173.3559
20.778913 96.335 -173.6384
20.929486 96.318 -173.9277
21.081150 96.303 -174.2160
21.233912 96.290 -174.5003
21.387782 96.280 -174.7809
21.542767 96.273 -175.0598
21.698874 96.269 -175.3396
21.856113 96.269 -175.6226
22.014492 96.270 -175.9104
22.174018 96.273 -176.2033
22.334700 96.277 -176.5006
22.496546 96.281 -176.8006
22.659566 96.284 -177.1009
22.823766 96.287 -177.3991
22.989157 96.288 -177.6928
23.155745 96.287 -177.9805
23.323542 96.285 -178.2614
23.492554 96.281 -178.5359
23.662790 96.275 -178.8059
23.834261 96.268 -179.0742
24.006973 96.260 -179.3444
24.180938 96.251 -179.6209
24.356163 96.240 -179.9078
24.532658 96.228 179.7911
24.710431 96.214 179.4732
24.889493 96.199 179.1372
25.069853 96.182 178.7835
25.251519 96.163 178.4145
25.434502 96.143 178.0340
25.618811 96.122 177.6472
25.804456 96.100 177.2604
25.991445 96.079 176.8795
26.179790 96.059 176.5100
26.369500 96.041 176.1561
26.560584 96.027 175.8200
26.753053 96.016 175.5016
26.946917 96.010 175.1986
27.142185 96.008 174.9069
27.338869 96.010 174.6211
27.536977 96.015 174.3354
27.736522 96.020 174.0445
27.937512 96.026 173.7446
28.139959 96.029 173.4339
28.343872 96.028 173.1125
28.549264 96.022 172.7829
28.756143 96.011 172.4490
28.964522 95.993 172.1157
29.174411 95.971 171.7879
29.385821 95.944 171.4698
29.598763 95.914 171.1640
29.813248 95.882 170.8711
30.029287 95.852 170.5898
30.246891 95.823 170.3171
30.466073 95.797 170.0486
30.686842 95.775 169.7798
30.909212 95.757 169.5067
31.133193 95.741 169.2263
31.358797 95.729 168.9371
31.586035 95.718 168.6392
31.814921 95.708 168.3337
32.045465 95.697 168.0223
32.277680 95.686 167.7070
32.511577 95.674 167.3893
32.747169 95.660 167.0706
32.984469 95.645 166.7519
33.223488 95.628 166.4341
33.464239 95.610 166.1184
33.706735 95.591 165.8058
33.950987 95.572 165.4974
34.197010 95.552 165.1941
34.444816 95.534 164.8955
34.694417 95.516 164.6007
34.945827 95.499 164.3076
35.199059 95.484 164.0136
35.454126 95.469 163.7164
35.711041 95.453 163.4144
35.969818 95.437 163.1075
36.230470 95.419 162.7968
36.493011 95.399 162.4844
36.757455 95.378 162.1722
37.023814 95.355 161.8613
37.292104 95.331 161.5515
37.562338 95.307 161.2416
37.834530 95.283 160.9301
38.108695 95.259 160.6166
38.384846 95.234 160.3023
38.662999 95.208 159.9908
38.943167 95.182 159.6869
39.225365 95.154 159.3954
39.509608 95.127 159.1190
39.795911 95.100 158.8572
40.084289 95.075 158.6054
40.374756 95.051 158.3564
40.667328 95.029 158.1024
40.962020 95.007 157.8375
41.258848 94.985 157.5596
41.557827 94.961 157.2708
41.858972 94.936 156.9762
42.162299 94.908 156.6818
42.467824 94.880 156.3923
42.775564 94.851 156.1090
43.085533 94.823 155.8305
43.397749 94.795 155.5527
43.712227 94.768 155.2717
44.028983 94.740 154.9842
44.348036 94.712 154.6893
44.669400 94.683 154.3881
44.993093 94.653 154.0828
45.319131 94.621 153.7768
45.647532 94.588 153.4742
45.978313 94.556 153.1796
46.311491 94.525 152.8973
46.647083 94.496 152.6303
46.985107 94.470 152.3789
47.325581 94.449 152.1397
47.668521 94.431 151.9064
48.013947 94.414 151.6713
48.361876 94.398 151.4283
48.712326 94.377 151.1750
49.065315 94.351 150.9138
49.420863 94.318 150.6499
49.778987 94.277 150.3897
50.139706 94.232 150.1365
50.503039 94.185 149.8881
50.869005 94.139 149.6354
51.237623 94.097 149.3647
51.608912 94.060 149.0623
51.982891 94.027 148.7213
52.359580 93.995 148.3465
52.739000 93.961 147.9548
53.121168 93.923 147.5710
53.506106 93.880 147.2181
53.893833 93.834 146.9096
54.284370 93.788 146.6443
54.677737 93.742 146.4091
55.073955 93.698 146.1860
55.473043 93.656 145.9598
55.875024 93.614 145.7228
56.279917 93.572 145.4743
56.687745 93.530 145.2180
57.098527 93.487 144.9593
57.512287 93.445 144.7030
57.929045 93.403 144.4530
58.348822 93.361 144.2109
58.771642 93.319 143.9753
59.197525 93.278 143.7423
59.626495 93.236 143.5073
60.058573 93.194 143.2679
60.493782 93.150 143.0248
60.932145 93.104 142.7809
61.373685 93.056 142.5388
61.818424 93.008 142.2992
62.266386 92.960 142.0610
62.717593 92.913 141.8228
63.172071 92.866 141.5847
63.629842 92.819 141.3486
64.090930 92.772 141.1168
64.555359 92.725 140.8907
65.023154 92.679 140.6702
65.494339 92.633 140.4532
65.968938 92.586 140.2370
66.446976 92.538 140.0196
66.928478 92.489 139.7998
67.413469 92.438 139.5772
67.901975 92.387 139.3519
68.394021 92.335 139.1244
68.889632 92.282 138.8961
69.388835 92.229 138.6694
69.891655 92.176 138.4471
70.398118 92.123 138.2308
70.908252 92.070 138.0198
71.422083 92.016 137.8115
71.939636 91.962 137.6029
72.460941 91.908 137.3936
72.986023 91.852 137.1865
73.514909 91.797 136.9867
74.047629 91.740 136.7985
74.584208 91.683 136.6215
75.124676 91.626 136.4507
75.669061 91.567 136.2790
76.217390 91.508 136.1023
76.769692 91.448 135.9218
77.325997 91.389 135.7433
77.886333 91.329 135.5720
78.450730 91.271 135.4103
79.019216 91.213 135.2570
79.591822 91.155 135.1088
80.168577 91.099 134.9622
80.749512 91.043 134.8151
81.334656 90.988 134.6677
81.924040 90.933 134.5225
82.517696 90.878 134.3817
83.115653 90.822 134.2441
83.717943 90.764 134.1062
84.324598 90.706 133.9644
84.935649 90.646 133.8177
85.551128 90.586 133.6669
86.171066 90.525 133.5128
86.795497 90.464 133.3553
87.424453 90.403 133.1932
88.057967 90.341 133.0260
88.696071 90.280 132.8560
89.338800 90.218 132.6896
89.986185 90.157 132.5338
90.638262 90.095 132.3940
91.295065 90.032 132.2719
91.956626 89.968 132.1658
92.622982 89.903 132.0716
93.294166 89.837 131.9838
93.970214 89.770 131.8975
94.651161 89.703 131.8088
95.337042 89.634 131.7155
96.027894 89.565 131.6167
96.723752 89.496 131.5137
97.424652 89.426 131.4101
98.130631 89.356 131.3103
98.841726 89.288 131.2186
99.557974 89.219 131.1395
100.279412 89.150 131.0762
101.006078 89.080 131.0280
101.738010 89.008 130.9880
102.475245 88.934 130.9479
103.217823 88.861 130.9028
103.965782 88.787 130.8535
104.719161 88.713 130.8040
105.477999 88.640 130.7596
106.242336 88.567 130.7244
107.012212 88.494 130.7007
107.787666 88.421 130.6874
108.568740 88.348 130.6816
109.355474 88.274 130.6798
110.147909 88.200 130.6796
110.946086 88.126 130.6794
111.750047 88.051 130.6779
112.559834 87.976 130.6757
113.375489 87.902 130.6766
114.197055 87.826 130.6858
115.024574 87.751 130.7065
115.858089 87.675 130.7392
116.697645 87.599 130.7817
117.543284 87.523 130.8318
118.395051 87.447 130.8872
119.252990 87.370 130.9462
120.117147 87.294 131.0089
120.987565 87.217 131.0766
121.864291 87.140 131.1501
122.747370 87.063 131.2282
123.636848 86.987 131.3077
124.532771 86.911 131.3863
125.435187 86.836 131.4635
126.344142 86.762 131.5408
127.259684 86.689 131.6210
128.181860 86.615 131.7100
129.110718 86.540 131.8167
130.046308 86.463 131.9478
130.988677 86.385 132.1037
131.937875 86.307 132.2787
132.893951 86.229 132.4642
133.856956 86.151 132.6536
134.826938 86.073 132.8438
135.803950 85.996 133.0334
136.788041 85.920 133.2223
137.779264 85.844 133.4101
138.777669 85.769 133.5977
139.783309 85.693 133.7880
140.796237 85.617 133.9848
141.816504 85.541 134.1898
142.844165 85.465 134.4036
143.879273 85.389 134.6273
144.921881 85.314 134.8622
145.972045 85.241 135.1086
147.029819 85.170 135.3658
148.095257 85.102 135.6328
149.168417 85.035 135.9087
150.249353 84.968 136.1919
151.338121 84.903 136.4806
152.434780 84.837 136.7734
153.539385 84.771 137.0706
154.651995 84.705 137.3733
155.772667 84.640 137.6816
156.901460 84.576 137.9937
158.038432 84.512 138.3083
159.183644 84.449 138.6268
160.337154 84.387 138.9518
161.499023 84.326 139.2841
162.669312 84.265 139.6226
163.848081 84.204 139.9662
165.035392 84.144 140.3146
166.231306 84.085 140.6686
167.435887 84.027 141.0291
168.649196 83.969 141.3964
169.871298 83.912 141.7695
171.102255 83.855 142.1473
172.342133 83.801 142.5292
173.590995 83.748 142.9147
174.848907 83.696 143.3032
176.115934 83.646 143.6934
177.392143 83.598 144.0840
178.677599 83.551 144.4753
179.972371 83.504 144.8694
181.276525 83.459 145.2695
182.590129 83.414 145.6772
183.913252 83.370 146.0908
185.245964 83.327 146.5070
186.588332 83.285 146.9234
187.940428 83.244 147.3390
189.302322 83.206 147.7541
190.674085 83.168 148.1698
192.055788 83.132 148.5865
193.447503 83.098 149.0036
194.849303 83.064 149.4206
196.261262 83.031 149.8377
197.683452 82.998 150.2562
199.115948 82.967 150.6775
200.558824 82.936 151.1027
202.012156 82.907 151.5316
203.476019 82.878 151.9623
204.950490 82.850 152.3927
206.435646 82.823 152.8222
207.931564 82.797 153.2513
209.438322 82.772 153.6804
210.955998 82.749 154.1089
212.484672 82.726 154.5356
214.024424 82.705 154.9604
215.575333 82.684 155.3834
217.137481 82.664 155.8048
218.710948 82.645 156.2236
220.295818 82.627 156.6369
221.892172 82.610 157.0438
223.500094 82.594 157.4467
225.119668 82.578 157.8497
226.750978 82.563 158.2553
228.394109 82.549 158.6637
230.049147 82.535 159.0734
231.716178 82.521 159.4824
233.395289 82.508 159.8916
235.086567 82.494 160.3047
236.790102 82.481 160.7261
238.505980 82.468 161.1581
240.234293 82.456 161.6005
241.975130 82.444 162.0525
243.728581 82.434 162.5135
245.494739 82.425 162.9823
247.273695 82.419 163.4551
249.065542 82.416 163.9268
250.870374 82.418 164.3921
252.688284 82.424 164.8483
254.519367 82.435 165.2950
256.363720 82.448 165.7317
258.221437 82.464 166.1560
260.092616 82.482 166.5662
261.977354 82.501 166.9608
263.875750 82.522 167.3379
265.787903 82.544 167.6964
267.713911 82.567 168.0358
269.653877 82.590 168.3565
271.607900 82.613 168.6592
273.576083 82.636 168.9446
275.558528 82.658 169.2139
277.555338 82.679 169.4683
279.566619 82.698 169.7097
281.592474 82.717 169.9403
283.633009 82.734 170.1621
285.688331 82.749 170.3771
287.758546 82.764 170.5867
289.843763 82.777 170.7927
291.944090 82.790 170.9968
294.059638 82.802 171.2006
296.190515 82.814 171.4051
298.336833 82.825 171.6108
300.498705 82.836 171.8176
302.676243 82.845 172.0251
304.869559 82.855 172.2322
307.078770 82.864 172.4374
309.303989 82.872 172.6388
311.545334 82.880 172.8352
313.802919 82.888 173.0277
316.076865 82.895 173.2185
318.367288 82.903 173.4093
320.674309 82.910 173.6008
322.998047 82.918 173.7928
325.338624 82.925 173.9843
327.696162 82.932 174.1748
330.070783 82.940 174.3640
332.462612 82.947 174.5514
334.871773 82.954 174.7366
337.298392 82.962 174.9186
339.742595 82.969 175.0966
342.204510 82.976 175.2707
344.684265 82.983 175.4419
347.181989 82.990 175.6120
349.697813 82.996 175.7834
352.231868 83.003 175.9579
354.784285 83.009 176.1351
357.355198 83.016 176.3124
359.944741 83.022 176.4880
362.553049 83.029 176.6610
365.180258 83.036 176.8320
367.826505 83.043 177.0020
370.491927 83.049 177.1712
373.176665 83.055 177.3388
375.880856 83.062 177.5040
378.604644 83.068 177.6664
381.348169 83.073 177.8266
384.111575 83.079 177.9853
386.895006 83.084 178.1423
389.698607 83.089 178.2972
392.522524 83.094 178.4503
395.366904 83.099 178.6025
398.231895 83.104 178.7554
401.117648 83.109 178.9102
404.024312 83.114 179.0670
