* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -17,7 dBFS, measurement signal peak level -14,0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 30.08.2024 13:43:25
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0181 ms (-6,2 mm, -0,24 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: CKLVX D41
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 115.332 -141.9574
20.523834 115.390 -142.9819
20.860291 115.434 -143.8868
21.196747 115.479 -144.6973
21.533203 115.533 -145.4801
21.869659 115.598 -146.3192
22.206116 115.668 -147.2800
22.542572 115.729 -148.3756
22.879028 115.770 -149.5508
23.215485 115.785 -150.6932
23.551941 115.777 -151.6709
23.888397 115.761 -152.3885
24.224854 115.758 -152.8402
24.561310 115.786 -153.1301
24.897766 115.847 -153.4335
25.234222 115.928 -153.9124
25.570679 116.004 -154.6366
25.907135 116.054 -155.5603
26.243591 116.072 -156.5591
26.580048 116.064 -157.4995
26.916504 116.048 -158.3049
27.252960 116.045 -158.9845
27.589417 116.061 -159.6107
27.925873 116.093 -160.2595
28.262329 116.127 -160.9581
28.598785 116.152 -161.6738
28.935242 116.162 -162.3473
29.271698 116.163 -162.9398
29.608154 116.164 -163.4629
29.944611 116.172 -163.9716
30.281067 116.188 -164.5277
30.617523 116.206 -165.1609
30.953979 116.221 -165.8535
31.290436 116.229 -166.5569
31.626892 116.231 -167.2223
31.963348 116.233 -167.8263
32.299805 116.237 -168.3768
32.636261 116.243 -168.9008
32.972717 116.250 -169.4248
33.309174 116.254 -169.9624
33.645630 116.253 -170.5122
33.982086 116.249 -171.0646
34.318542 116.242 -171.6092
34.654999 116.235 -172.1386
34.991455 116.230 -172.6498
35.327911 116.229 -173.1446
35.664368 116.231 -173.6282
36.000824 116.234 -174.1076
36.337280 116.236 -174.5876
36.673737 116.236 -175.0684
37.010193 116.232 -175.5457
37.346649 116.225 -176.0160
37.683105 116.218 -176.4813
38.019562 116.210 -176.9498
38.356018 116.202 -177.4305
38.692474 116.194 -177.9236
39.028931 116.183 -178.4172
39.365387 116.170 -178.8918
39.701843 116.157 -179.3334
40.038300 116.147 -179.7446
40.374756 116.141 179.8546
40.711212 116.138 179.4393
41.047668 116.134 178.9971
41.384125 116.126 178.5374
41.720581 116.112 178.0859
42.057037 116.094 177.6668
42.393494 116.078 177.2849
42.729950 116.067 176.9225
43.066406 116.061 176.5518
43.402863 116.055 176.1566
43.739319 116.044 175.7451
44.075775 116.027 175.3440
44.412231 116.006 174.9786
44.748688 115.984 174.6512
45.085144 115.966 174.3357
45.421600 115.953 173.9926
45.758057 115.943 173.5964
46.094513 115.930 173.1547
46.430969 115.913 172.7047
46.767426 115.895 172.2914
47.103882 115.882 171.9382
47.440338 115.878 171.6329
47.776794 115.884 171.3371
48.113251 115.894 171.0132
48.449707 115.899 170.6505
48.786163 115.891 170.2712
49.122620 115.867 169.9146
49.459076 115.833 169.6110
49.795532 115.796 169.3610
50.131989 115.764 169.1342
50.468445 115.740 168.8877
50.804901 115.723 168.5909
51.141357 115.709 168.2413
51.477814 115.696 167.8618
51.814270 115.680 167.4859
52.150726 115.664 167.1390
52.487183 115.649 166.8295
52.823639 115.634 166.5494
53.160095 115.621 166.2835
53.496552 115.606 166.0176
53.833008 115.590 165.7433
54.169464 115.571 165.4582
54.505920 115.550 165.1644
54.842377 115.527 164.8663
55.178833 115.505 164.5688
55.515289 115.483 164.2751
55.851746 115.463 163.9854
56.188202 115.445 163.6985
56.524658 115.428 163.4146
56.861115 115.411 163.1393
57.197571 115.392 162.8830
57.534027 115.373 162.6554
57.870483 115.355 162.4568
58.206940 115.341 162.2726
58.543396 115.331 162.0767
58.879852 115.322 161.8440
59.216309 115.310 161.5642
59.552765 115.293 161.2484
59.889221 115.269 160.9235
60.225677 115.240 160.6185
60.562134 115.211 160.3494
60.898590 115.185 160.1140
61.235046 115.166 159.8967
61.571503 115.152 159.6815
61.907959 115.140 159.4615
62.244415 115.129 159.2400
62.580872 115.115 159.0241
62.917328 115.099 158.8175
63.253784 115.081 158.6164
63.590240 115.061 158.4130
63.926697 115.040 158.2016
64.263153 115.018 157.9822
64.599609 114.994 157.7593
64.936066 114.971 157.5377
65.272522 114.950 157.3184
65.608978 114.931 157.0995
65.945435 114.914 156.8790
66.281891 114.897 156.6584
66.618347 114.879 156.4421
66.954803 114.860 156.2350
67.291260 114.841 156.0379
67.627716 114.821 155.8467
67.964172 114.803 155.6546
68.300629 114.784 155.4560
68.637085 114.765 155.2502
68.973541 114.746 155.0410
69.309998 114.727 154.8339
69.646454 114.707 154.6333
69.982910 114.688 154.4404
70.319366 114.669 154.2540
70.655823 114.651 154.0721
70.992279 114.634 153.8932
71.328735 114.616 153.7163
71.665192 114.599 153.5408
72.001648 114.582 153.3656
72.338104 114.564 153.1900
72.674561 114.547 153.0137
73.011017 114.529 152.8370
73.347473 114.511 152.6607
73.683929 114.493 152.4852
74.020386 114.475 152.3108
74.356842 114.456 152.1378
74.693298 114.438 151.9670
75.029755 114.419 151.7993
75.366211 114.401 151.6349
75.702667 114.383 151.4721
76.039124 114.366 151.3082
76.375580 114.349 151.1403
76.712036 114.332 150.9674
77.048492 114.315 150.7914
77.384949 114.296 150.6162
77.721405 114.277 150.4458
78.057861 114.257 150.2820
78.394318 114.238 150.1234
78.730774 114.220 149.9671
79.067230 114.201 149.8108
79.403687 114.183 149.6540
79.740143 114.164 149.4987
80.076599 114.145 149.3470
80.413055 114.127 149.1994
80.749512 114.109 149.0536
81.085968 114.091 148.9059
81.422424 114.075 148.7533
81.758881 114.058 148.5961
82.095337 114.040 148.4379
82.431793 114.021 148.2838
82.768250 114.002 148.1373
83.104706 113.982 147.9984
83.441162 113.963 147.8636
83.777618 113.944 147.7284
84.114075 113.925 147.5900
84.450531 113.907 147.4490
84.786987 113.888 147.3085
85.123444 113.870 147.1711
85.459900 113.853 147.0369
85.796356 113.837 146.9038
86.132812 113.821 146.7690
86.469269 113.806 146.6322
86.805725 113.790 146.4960
87.142181 113.773 146.3648
87.478638 113.755 146.2410
87.815094 113.738 146.1228
88.151550 113.721 146.0045
88.488007 113.704 145.8806
88.824463 113.687 145.7491
89.160919 113.669 145.6135
89.497375 113.651 145.4803
89.833832 113.633 145.3547
90.170288 113.616 145.2368
90.506744 113.600 145.1215
90.843201 113.586 145.0024
91.179657 113.572 144.8763
91.516113 113.556 144.7462
91.852570 113.538 144.6190
92.189026 113.518 144.5014
92.525482 113.499 144.3950
92.861938 113.480 144.2946
93.198395 113.465 144.1904
93.534851 113.451 144.0739
93.871307 113.438 143.9429
94.207764 113.424 143.8038
94.544220 113.407 143.6698
94.880676 113.388 143.5550
95.217133 113.368 143.4660
95.553589 113.349 143.3970
95.890045 113.333 143.3284
96.226501 113.319 143.2352
96.562958 113.306 143.0989
96.899414 113.291 142.9196
97.235870 113.273 142.7200
97.572327 113.251 142.5370
97.908783 113.230 142.4052
98.245239 113.214 142.3372
98.581696 113.209 142.3162
98.918152 113.214 142.3032
99.254608 113.224 142.2574
99.591064 113.230 142.1581
99.927521 113.224 142.0135
100.263977 113.204 141.8538
100.600433 113.170 141.7130
100.936890 113.130 141.6104
101.273346 113.092 141.5418
101.609802 113.062 141.4852
101.946259 113.041 141.4146
102.282715 113.028 141.3146
102.619171 113.020 141.1865
102.955627 113.012 141.0443
103.292084 113.002 140.9061
103.628540 112.990 140.7849
103.964996 112.975 140.6839
104.301453 112.959 140.5974
104.637909 112.942 140.5136
104.974365 112.926 140.4197
105.310822 112.910 140.3079
105.647278 112.895 140.1790
105.983734 112.879 140.0432
106.320190 112.863 139.9160
106.656647 112.847 139.8102
106.993103 112.833 139.7283
107.329559 112.821 139.6602
107.666016 112.812 139.5892
108.002472 112.801 139.5028
108.338928 112.787 139.4013
108.675385 112.768 139.2994
109.011841 112.744 139.2184
109.348297 112.719 139.1732
109.684753 112.695 139.1631
110.021210 112.676 139.1712
110.357666 112.662 139.1714
110.694122 112.652 139.1400
111.030579 112.642 139.0645
111.367035 112.631 138.9452
111.703491 112.616 138.7928
112.039948 112.599 138.6237
112.376404 112.580 138.4554
112.712860 112.562 138.3042
113.049316 112.546 138.1814
113.385773 112.533 138.0905
113.722229 112.525 138.0251
114.058685 112.519 137.9718
114.395142 112.515 137.9154
114.731598 112.509 137.8455
115.068054 112.499 137.7602
115.404510 112.485 137.6650
115.740967 112.468 137.5676
116.077423 112.449 137.4728
116.413879 112.430 137.3811
116.750336 112.414 137.2912
117.086792 112.399 137.2027
117.423248 112.386 137.1177
117.759705 112.374 137.0386
118.096161 112.363 136.9645
118.432617 112.351 136.8907
118.769073 112.340 136.8107
119.105530 112.326 136.7214
119.441986 112.311 136.6267
119.778442 112.293 136.5353
120.114899 112.275 136.4559
120.451355 112.258 136.3909
120.787811 112.244 136.3348
121.124268 112.232 136.2772
121.460724 112.221 136.2100
121.797180 112.209 136.1325
122.133636 112.196 136.0508
122.470093 112.181 135.9733
122.806549 112.165 135.9045
123.143005 112.151 135.8422
123.479462 112.138 135.7793
123.815918 112.127 135.7091
124.152374 112.117 135.6302
124.488831 112.105 135.5469
124.825287 112.093 135.4665
125.161743 112.079 135.3945
125.498199 112.065 135.3317
125.834656 112.051 135.2742
126.171112 112.038 135.2156
126.507568 112.025 135.1506
126.844025 112.012 135.0765
127.180481 112.000 134.9949
127.516937 111.986 134.9099
127.853394 111.973 134.8274
128.189850 111.959 134.7524
128.526306 111.945 134.6867
128.862762 111.933 134.6275
129.199219 111.922 134.5685
129.535675 111.911 134.5031
129.872131 111.899 134.4282
130.208588 111.887 134.3471
130.545044 111.872 134.2672
130.881500 111.856 134.1953
131.217957 111.841 134.1327
131.554413 111.828 134.0739
131.890869 111.816 134.0106
132.227325 111.805 133.9379
132.563782 111.793 133.8591
132.900238 111.780 133.7841
133.236694 111.765 133.7233
133.573151 111.750 133.6802
133.909607 111.738 133.6489
134.246063 111.728 133.6169
134.582520 111.719 133.5726
134.918976 111.711 133.5114
135.255432 111.701 133.4366
135.591888 111.690 133.3553
135.928345 111.677 133.2736
136.264801 111.664 133.1939
136.601257 111.651 133.1150
136.937714 111.637 133.0357
137.274170 111.623 132.9560
137.610626 111.609 132.8773
137.947083 111.594 132.8007
138.283539 111.580 132.7269
138.619995 111.566 132.6559
138.956451 111.554 132.5889
139.292908 111.544 132.5262
139.629364 111.536 132.4666
139.965820 111.531 132.4058
140.302277 111.526 132.3394
140.638733 111.520 132.2681
140.975189 111.509 132.2013
141.311646 111.494 132.1548
141.648102 111.476 132.1411
141.984558 111.458 132.1582
142.321014 111.445 132.1853
142.657471 111.437 132.1901
142.993927 111.433 132.1462
143.330383 111.427 132.0493
143.666840 111.417 131.9219
144.003296 111.401 131.8013
144.339752 111.383 131.7182
144.676208 111.367 131.6801
145.012665 111.356 131.6678
145.349121 111.350 131.6500
145.685577 111.344 131.6036
146.022034 111.335 131.5283
146.358490 111.320 131.4443
146.694946 111.301 131.3771
147.031403 111.281 131.3397
147.367859 111.265 131.3242
147.704315 111.255 131.3076
148.040771 111.250 131.2675
148.377228 111.245 131.1966
148.713684 111.237 131.1067
149.050140 111.225 131.0208
149.386597 111.209 130.9589
149.723053 111.192 130.9266
150.059509 111.178 130.9122
150.395966 111.168 130.8945
150.732422 111.161 130.8544
151.068878 111.154 130.7847
151.405334 111.146 130.6935
151.741791 111.134 130.5989
152.078247 111.120 130.5192
152.414703 111.106 130.4644
152.751160 111.093 130.4312
153.087616 111.083 130.4062
153.424072 111.075 130.3734
153.760529 111.067 130.3230
154.096985 111.058 130.2568
154.433441 111.046 130.1865
154.769897 111.032 130.1259
155.106354 111.018 130.0830
155.442810 111.007 130.0557
155.779266 110.997 130.0337
156.115723 110.990 130.0056
156.452179 110.983 129.9658
156.788635 110.974 129.9173
157.125092 110.963 129.8678
157.461548 110.952 129.8238
