* Measurement data measured by REW V5.31.3
* Source: Микрофон (2- CX31993 384Khz HIFI AUDIO), MICROPHONE (Общая громкость), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -20,0 dBFS with no timing reference
* Dated: 19.12.2024 17:58:04
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CKLVX D62
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 77.259 -173.2304
20.287556 77.257 -173.3646
20.434568 77.253 -173.5632
20.582645 77.249 -173.8084
20.731796 77.243 -174.0848
20.882027 77.237 -174.3812
21.033346 77.230 -174.6903
21.185763 77.222 -175.0074
21.339284 77.215 -175.3298
21.493917 77.207 -175.6555
21.649671 77.199 -175.9832
21.806553 77.192 -176.3117
21.964572 77.184 -176.6398
22.123737 77.177 -176.9664
22.284054 77.169 -177.2900
22.445534 77.161 -177.6095
22.608183 77.153 -177.9232
22.772012 77.145 -178.2296
22.937027 77.136 -178.5268
23.103238 77.127 -178.8129
23.270654 77.117 -179.0856
23.439282 77.107 -179.3430
23.609133 77.097 -179.5833
23.780215 77.087 -179.8056
23.952536 77.078 179.9900
24.126106 77.070 179.8016
24.300934 77.064 179.6256
24.477028 77.060 179.4566
24.654399 77.058 179.2873
24.833055 77.058 179.1094
25.013005 77.061 178.9145
25.194260 77.064 178.6948
25.376828 77.066 178.4446
25.560719 77.066 178.1607
25.745942 77.063 177.8436
25.932508 77.056 177.4971
26.120426 77.043 177.1279
26.309705 77.024 176.7449
26.500356 77.000 176.3579
26.692388 76.972 175.9761
26.885812 76.941 175.6070
27.080638 76.909 175.2549
27.276876 76.879 174.9210
27.474535 76.851 174.6031
27.673627 76.828 174.2967
27.874161 76.808 173.9960
28.076149 76.793 173.6955
28.279600 76.782 173.3914
28.484526 76.772 173.0824
28.690937 76.763 172.7696
28.898843 76.754 172.4564
29.108256 76.744 172.1470
29.319186 76.733 171.8455
29.531645 76.720 171.5546
29.745644 76.706 171.2753
29.961193 76.692 171.0057
30.178304 76.677 170.7429
30.396989 76.663 170.4824
30.617258 76.649 170.2204
30.839123 76.635 169.9542
31.062596 76.621 169.6828
31.287688 76.607 169.4073
31.514412 76.591 169.1306
31.742778 76.576 168.8558
31.972800 76.559 168.5865
32.204488 76.543 168.3248
32.437855 76.527 168.0710
32.672913 76.511 167.8237
32.909674 76.495 167.5797
33.148151 76.480 167.3347
33.388356 76.465 167.0848
33.630302 76.449 166.8270
33.874001 76.431 166.5604
34.119466 76.412 166.2868
34.366710 76.392 166.0096
34.615745 76.370 165.7334
34.866585 76.348 165.4620
35.119243 76.326 165.1973
35.373731 76.306 164.9385
35.630064 76.287 164.6826
35.888254 76.271 164.4258
36.148315 76.256 164.1656
36.410261 76.240 163.9033
36.674104 76.223 163.6436
36.939860 76.204 163.3943
37.207542 76.184 163.1625
37.477163 76.164 162.9515
37.748738 76.145 162.7578
38.022281 76.129 162.5718
38.297806 76.116 162.3810
38.575327 76.103 162.1755
38.854860 76.090 161.9534
39.136419 76.073 161.7223
39.420017 76.053 161.4967
39.705671 76.030 161.2913
39.993395 76.007 161.1119
40.283203 75.987 160.9514
40.575112 75.973 160.7894
40.869136 75.963 160.6011
41.165290 75.954 160.3691
41.463591 75.941 160.0931
41.764053 75.921 159.7925
42.066693 75.890 159.4992
42.371525 75.853 159.2431
42.678567 75.815 159.0375
42.987834 75.781 158.8698
43.299341 75.757 158.7054
43.613106 75.742 158.5020
43.929145 75.733 158.2298
44.247473 75.723 157.8854
44.568109 75.707 157.4942
44.891068 75.682 157.0995
45.216367 75.651 156.7435
45.544023 75.618 156.4515
45.874054 75.586 156.2240
46.206476 75.557 156.0403
46.541307 75.531 155.8726
46.878565 75.504 155.6996
47.218266 75.471 155.5152
47.560429 75.433 155.3265
47.905072 75.390 155.1439
48.252212 75.347 154.9712
48.601867 75.308 154.7999
48.954056 75.276 154.6119
49.308798 75.253 154.3887
49.666109 75.237 154.1213
50.026010 75.225 153.8153
50.388520 75.215 153.4902
50.753656 75.205 153.1721
51.121437 75.196 152.8839
51.491884 75.188 152.6375
51.865016 75.181 152.4302
52.240851 75.174 152.2473
52.619410 75.164 152.0684
53.000712 75.145 151.8762
53.384777 75.115 151.6627
53.771625 75.071 151.4305
54.161276 75.016 151.1886
54.553751 74.957 150.9458
54.949070 74.901 150.7045
55.347254 74.857 150.4603
55.748323 74.830 150.2065
56.152298 74.821 149.9416
56.559201 74.826 149.6738
56.969052 74.838 149.4200
57.381873 74.848 149.2011
57.797686 74.849 149.0355
58.216512 74.837 148.9334
58.638373 74.810 148.8915
59.063291 74.771 148.8857
59.491288 74.726 148.8701
59.922386 74.678 148.7854
60.356608 74.631 148.5810
60.793977 74.583 148.2415
61.234515 74.534 147.8002
61.678246 74.484 147.3303
62.125192 74.439 146.9145
62.575377 74.403 146.6101
63.028824 74.380 146.4290
63.485557 74.368 146.3404
63.945599 74.361 146.2914
64.408975 74.353 146.2303
64.875709 74.338 146.1196
65.345825 74.317 145.9400
65.819348 74.290 145.6907
66.296302 74.261 145.3895
66.776713 74.230 145.0706
67.260604 74.198 144.7737
67.748002 74.165 144.5281
68.238932 74.133 144.3385
68.733420 74.100 144.1836
69.231490 74.068 144.0303
69.733170 74.034 143.8542
70.238485 74.000 143.6512
70.747463 73.966 143.4328
71.260128 73.935 143.2117
71.776508 73.908 142.9896
72.296630 73.886 142.7571
72.820521 73.866 142.5044
73.348209 73.846 142.2305
73.879720 73.826 141.9447
74.415083 73.806 141.6587
74.954326 73.787 141.3781
75.497475 73.771 141.1016
76.044561 73.755 140.8282
76.595612 73.738 140.5645
77.150655 73.717 140.3242
77.709720 73.694 140.1209
78.272837 73.668 139.9586
78.840034 73.640 139.8289
79.411342 73.611 139.7160
79.986789 73.581 139.6018
80.566406 73.551 139.4715
81.150224 73.520 139.3167
81.738272 73.487 139.1368
82.330581 73.452 138.9400
82.927182 73.416 138.7394
83.528107 73.380 138.5481
84.133386 73.345 138.3729
84.743051 73.312 138.2114
85.357134 73.282 138.0535
85.975667 73.252 137.8865
86.598682 73.222 137.7043
87.226212 73.189 137.5114
87.858289 73.153 137.3206
88.494946 73.114 137.1435
89.136217 73.077 136.9804
89.782135 73.042 136.8192
90.432733 73.011 136.6431
91.088046 72.981 136.4419
91.748108 72.952 136.2177
92.412952 72.922 135.9818
93.082615 72.890 135.7470
93.757130 72.857 135.5220
94.436533 72.824 135.3107
95.120859 72.791 135.1134
95.810144 72.758 134.9288
96.504423 72.726 134.7536
97.203734 72.695 134.5826
97.908112 72.665 134.4095
98.617595 72.634 134.2292
99.332219 72.604 134.0402
100.052021 72.572 133.8439
100.777039 72.540 133.6447
101.507311 72.506 133.4473
102.242875 72.471 133.2549
102.983769 72.436 133.0685
103.730032 72.400 132.8875
104.481702 72.366 132.7109
105.238820 72.332 132.5368
106.001424 72.299 132.3629
106.769554 72.266 132.1866
107.543250 72.232 132.0064
108.322553 72.197 131.8228
109.107503 72.163 131.6375
109.898141 72.129 131.4515
110.694508 72.095 131.2644
111.496646 72.062 131.0750
112.304596 72.028 130.8832
113.118402 71.994 130.6907
113.938104 71.960 130.5002
114.763747 71.925 130.3137
115.595372 71.889 130.1318
116.433024 71.854 129.9547
117.276746 71.819 129.7823
118.126581 71.784 129.6125
118.982575 71.749 129.4427
119.844772 71.714 129.2715
120.713217 71.679 129.0995
121.587954 71.645 128.9285
122.469031 71.611 128.7593
123.356492 71.578 128.5912
124.250384 71.544 128.4230
125.150753 71.509 128.2543
126.057647 71.475 128.0848
126.971113 71.440 127.9135
127.891198 71.406 127.7404
128.817950 71.373 127.5658
129.751418 71.340 127.3893
130.691651 71.308 127.2108
131.638696 71.276 127.0320
132.592604 71.244 126.8560
133.553425 71.211 126.6859
134.521208 71.176 126.5232
135.496004 71.141 126.3661
136.477864 71.106 126.2099
137.466839 71.070 126.0504
138.462981 71.035 125.8854
139.466340 71.000 125.7151
140.476971 70.964 125.5414
141.494925 70.929 125.3667
142.520256 70.893 125.1934
143.553016 70.857 125.0228
144.593260 70.821 124.8554
145.641043 70.786 124.6908
146.696418 70.750 124.5278
147.759441 70.715 124.3656
148.830166 70.679 124.2043
149.908651 70.643 124.0449
150.994951 70.608 123.8883
152.089123 70.573 123.7337
153.191223 70.537 123.5792
154.301310 70.502 123.4232
155.419441 70.467 123.2657
156.545674 70.431 123.1078
157.680069 70.395 122.9505
158.822683 70.359 122.7950
159.973578 70.323 122.6419
161.132813 70.286 122.4920
162.300447 70.250 122.3453
163.476543 70.213 122.2018
164.661162 70.175 122.0617
165.854364 70.138 121.9259
167.056213 70.100 121.7947
168.266772 70.063 121.6679
169.486102 70.026 121.5453
170.714268 69.988 121.4277
171.951334 69.951 121.3162
173.197364 69.914 121.2123
174.452424 69.877 121.1178
175.716578 69.841 121.0333
176.989893 69.806 120.9581
178.272434 69.773 120.8916
179.564270 69.742 120.8340
180.865467 69.712 120.7853
182.176092 69.685 120.7445
183.496216 69.661 120.7085
184.825905 69.640 120.6730
186.165229 69.622 120.6335
187.514259 69.607 120.5865
188.873065 69.595 120.5283
190.241717 69.586 120.4544
191.620287 69.579 120.3602
193.008847 69.573 120.2412
194.407468 69.568 120.0947
195.816225 69.563 119.9196
197.235190 69.557 119.7172
198.664438 69.549 119.4913
200.104042 69.539 119.2465
201.554078 69.526 118.9887
203.014622 69.511 118.7251
204.485750 69.493 118.4618
205.967538 69.474 118.2019
207.460064 69.451 117.9451
208.963405 69.427 117.6910
210.477640 69.401 117.4406
212.002848 69.374 117.1949
213.539108 69.345 116.9542
215.086500 69.317 116.7193
216.645105 69.287 116.4902
218.215005 69.258 116.2667
219.796281 69.228 116.0479
221.389015 69.198 115.8327
222.993292 69.168 115.6200
224.609193 69.138 115.4088
226.236804 69.108 115.1986
227.876209 69.078 114.9886
229.527494 69.049 114.7791
231.190745 69.019 114.5717
232.866048 68.991 114.3690
234.553491 68.962 114.1730
236.253163 68.934 113.9829
237.965150 68.907 113.7958
239.689544 68.879 113.6088
241.426433 68.852 113.4205
243.175909 68.825 113.2303
244.938062 68.798 113.0387
246.712984 68.771 112.8472
248.500768 68.745 112.6583
250.301507 68.719 112.4740
252.115295 68.692 112.2943
253.942226 68.666 112.1174
255.782396 68.639 111.9410
257.635901 68.612 111.7633
259.502837 68.586 111.5828
261.383301 68.559 111.3997
263.277392 68.533 111.2148
265.185209 68.508 111.0292
267.106850 68.482 110.8444
269.042417 68.457 110.6609
270.992009 68.433 110.4789
272.955729 68.409 110.2981
274.933678 68.385 110.1180
276.925961 68.361 109.9384
278.932681 68.339 109.7594
280.953942 68.316 109.5813
282.989850 68.294 109.4044
285.040511 68.272 109.2287
287.106032 68.251 109.0537
289.186521 68.230 108.8780
291.282086 68.209 108.7000
293.392836 68.187 108.5192
295.518881 68.166 108.3357
297.660333 68.146 108.1501
299.817302 68.125 107.9627
301.989902 68.104 107.7729
304.178245 68.084 107.5800
306.382446 68.063 107.3837
308.602620 68.044 107.1865
310.838882 68.025 106.9928
313.091348 68.007 106.8052
315.360137 67.989 106.6217
317.645367 67.973 106.4380
319.947156 67.956 106.2514
322.265625 67.940 106.0609
324.600895 67.924 105.8670
326.953086 67.907 105.6703
329.322323 67.891 105.4713
331.708729 67.875 105.2708
334.112427 67.858 105.0695
336.533543 67.841 104.8672
338.972204 67.824 104.6634
341.428536 67.807 104.4586
343.902668 67.790 104.2534
346.394729 67.773 104.0469
348.904848 67.756 103.8379
351.433156 67.738 103.6251
353.979786 67.721 103.4084
356.544869 67.704 103.1894
359.128540 67.686 102.9699
361.730934 67.669 102.7521
364.352185 67.651 102.5376
366.992431 67.633 102.3281
369.651810 67.616 102.1249
372.330459 67.599 101.9283
375.028519 67.584 101.7377
377.746130 67.569 101.5515
380.483434 67.556 101.3676
383.240574 67.542 101.1840
386.017693 67.529 100.9993
388.814937 67.517 100.8120
391.632450 67.505 100.6206
394.470380 67.494 100.4234
397.328875 67.484 100.2188
400.208084 67.475 100.0061
403.108157 67.466 99.7857
