* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -14,9 dBFS, measurement signal peak level -13,1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 24.05.2023 19:28:24
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0190 ms (-6,5 mm, -0,26 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: CKLVX H1 L
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 116.441 -139.1349
20.523834 116.494 -140.1033
20.860291 116.537 -141.0271
21.196747 116.578 -141.9335
21.533203 116.621 -142.8475
21.869659 116.664 -143.7742
22.206116 116.704 -144.6941
22.542572 116.740 -145.5771
22.879028 116.774 -146.4061
23.215485 116.811 -147.1931
23.551941 116.851 -147.9761
23.888397 116.892 -148.7960
24.224854 116.929 -149.6697
24.561310 116.955 -150.5772
24.897766 116.970 -151.4725
25.234222 116.979 -152.3093
25.570679 116.989 -153.0681
25.907135 117.007 -153.7651
26.243591 117.034 -154.4399
26.580048 117.066 -155.1288
26.916504 117.096 -155.8440
27.252960 117.119 -156.5705
27.589417 117.133 -157.2816
27.925873 117.139 -157.9591
28.262329 117.143 -158.6057
28.598785 117.146 -159.2422
28.935242 117.151 -159.8920
29.271698 117.154 -160.5654
29.608154 117.155 -161.2533
29.944611 117.153 -161.9335
30.281067 117.149 -162.5833
30.617523 117.146 -163.1914
30.953979 117.147 -163.7605
31.290436 117.151 -164.3037
31.626892 117.158 -164.8364
31.963348 117.165 -165.3709
32.299805 117.169 -165.9152
32.636261 117.170 -166.4727
32.972717 117.166 -167.0432
33.309174 117.157 -167.6201
33.645630 117.142 -168.1892
33.982086 117.124 -168.7304
34.318542 117.106 -169.2246
34.654999 117.092 -169.6632
34.991455 117.085 -170.0550
35.327911 117.087 -170.4258
35.664368 117.095 -170.8085
36.000824 117.105 -171.2288
36.337280 117.110 -171.6945
36.673737 117.107 -172.1941
37.010193 117.094 -172.7047
37.346649 117.074 -173.2058
37.683105 117.054 -173.6891
38.019562 117.037 -174.1611
38.356018 117.025 -174.6357
38.692474 117.019 -175.1222
39.028931 117.014 -175.6169
39.365387 117.008 -176.1035
39.701843 116.998 -176.5619
40.038300 116.986 -176.9800
40.374756 116.971 -177.3617
40.711212 116.957 -177.7260
41.047668 116.944 -178.0980
41.384125 116.931 -178.4965
41.720581 116.916 -178.9252
42.057037 116.899 -179.3715
42.393494 116.880 -179.8126
42.729950 116.861 179.7744
43.066406 116.843 179.4024
43.402863 116.827 179.0704
43.739319 116.814 178.7650
44.075775 116.801 178.4669
44.412231 116.787 178.1599
44.748688 116.770 177.8355
45.085144 116.748 177.4948
45.421600 116.723 177.1436
45.758057 116.698 176.7880
46.094513 116.675 176.4313
46.430969 116.656 176.0753
46.767426 116.640 175.7250
47.103882 116.625 175.3921
47.440338 116.609 175.0925
47.776794 116.593 174.8378
48.113251 116.578 174.6248
48.449707 116.566 174.4312
48.786163 116.555 174.2213
49.122620 116.543 173.9620
49.459076 116.528 173.6394
49.795532 116.504 173.2672
50.131989 116.472 172.8806
50.468445 116.435 172.5189
50.804901 116.398 172.2066
51.141357 116.367 171.9435
51.477814 116.344 171.7078
51.814270 116.328 171.4715
52.150726 116.315 171.2163
52.487183 116.301 170.9418
52.823639 116.282 170.6613
53.160095 116.258 170.3911
53.496552 116.232 170.1399
53.833008 116.207 169.9054
54.169464 116.184 169.6783
54.505920 116.164 169.4496
54.842377 116.145 169.2155
55.178833 116.127 168.9778
55.515289 116.109 168.7402
55.851746 116.091 168.5042
56.188202 116.072 168.2687
56.524658 116.051 168.0322
56.861115 116.028 167.7955
57.197571 116.004 167.5626
57.534027 115.980 167.3381
57.870483 115.956 167.1232
58.206940 115.935 166.9140
58.543396 115.915 166.7027
58.879852 115.897 166.4831
59.216309 115.878 166.2556
59.552765 115.856 166.0294
59.889221 115.830 165.8181
60.225677 115.803 165.6328
60.562134 115.777 165.4745
60.898590 115.753 165.3317
61.235046 115.733 165.1850
61.571503 115.716 165.0162
61.907959 115.699 164.8173
62.244415 115.680 164.5946
62.580872 115.657 164.3651
62.917328 115.632 164.1473
63.253784 115.606 163.9527
63.590240 115.581 163.7803
63.926697 115.559 163.6194
64.263153 115.540 163.4559
64.599609 115.521 163.2809
64.936066 115.502 163.0942
65.272522 115.480 162.9028
65.608978 115.456 162.7162
65.945435 115.431 162.5397
66.281891 115.405 162.3728
66.618347 115.381 162.2103
66.954803 115.357 162.0473
67.291260 115.334 161.8829
67.627716 115.310 161.7211
67.964172 115.286 161.5675
68.300629 115.263 161.4250
68.637085 115.242 161.2904
68.973541 115.222 161.1560
69.309998 115.203 161.0141
69.646454 115.183 160.8627
69.982910 115.161 160.7078
70.319366 115.136 160.5598
70.655823 115.110 160.4276
70.992279 115.084 160.3112
71.328735 115.061 160.2015
71.665192 115.040 160.0845
72.001648 115.021 159.9496
72.338104 115.001 159.7969
72.674561 114.979 159.6361
73.011017 114.956 159.4813
73.347473 114.931 159.3423
73.683929 114.908 159.2194
74.020386 114.887 159.1047
74.356842 114.868 158.9881
74.693298 114.849 158.8636
75.029755 114.829 158.7319
75.366211 114.807 158.5981
75.702667 114.785 158.4666
76.039124 114.762 158.3383
76.375580 114.739 158.2112
76.712036 114.718 158.0843
77.048492 114.697 157.9593
77.384949 114.676 157.8400
77.721405 114.657 157.7290
78.057861 114.639 157.6242
78.394318 114.622 157.5195
78.730774 114.605 157.4084
79.067230 114.586 157.2892
79.403687 114.564 157.1665
79.740143 114.538 157.0489
80.076599 114.511 156.9433
80.413055 114.484 156.8506
80.749512 114.458 156.7653
81.085968 114.436 156.6785
81.422424 114.416 156.5839
81.758881 114.398 156.4805
82.095337 114.379 156.3727
82.431793 114.360 156.2670
82.768250 114.340 156.1677
83.104706 114.319 156.0756
83.441162 114.299 155.9885
83.777618 114.279 155.9027
84.114075 114.259 155.8159
84.450531 114.240 155.7275
84.786987 114.221 155.6389
85.123444 114.202 155.5521
85.459900 114.184 155.4689
85.796356 114.165 155.3903
86.132812 114.145 155.3159
86.469269 114.124 155.2449
86.805725 114.102 155.1756
87.142181 114.079 155.1059
87.478638 114.056 155.0331
87.815094 114.034 154.9539
88.151550 114.012 154.8657
88.488007 113.991 154.7683
88.824463 113.970 154.6665
89.160919 113.949 154.5689
89.497375 113.927 154.4849
89.833832 113.905 154.4185
90.170288 113.885 154.3647
90.506744 113.867 154.3101
90.843201 113.850 154.2403
91.179657 113.832 154.1489
91.516113 113.812 154.0427
91.852570 113.788 153.9378
92.189026 113.764 153.8500
92.525482 113.742 153.7839
92.861938 113.723 153.7302
93.198395 113.708 153.6729
93.534851 113.694 153.6020
93.871307 113.678 153.5214
94.207764 113.659 153.4451
94.544220 113.637 153.3857
94.880676 113.618 153.3420
95.217133 113.601 153.2975
95.553589 113.588 153.2322
95.890045 113.574 153.1384
96.226501 113.558 153.0298
96.562958 113.536 152.9341
96.899414 113.512 152.8751
97.235870 113.488 152.8561
97.572327 113.467 152.8563
97.908783 113.449 152.8451
98.245239 113.430 152.8032
98.581696 113.405 152.7351
98.918152 113.376 152.6644
99.254608 113.344 152.6152
99.591064 113.315 152.5935
99.927521 113.295 152.5816
100.263977 113.282 152.5502
100.600433 113.276 152.4786
100.936890 113.269 152.3687
101.273346 113.257 152.2433
101.609802 113.241 152.1313
101.946259 113.220 152.0513
102.282715 113.200 152.0029
102.619171 113.180 151.9717
102.955627 113.163 151.9404
103.292084 113.146 151.8990
103.628540 113.130 151.8473
103.964996 113.113 151.7904
104.301453 113.096 151.7330
104.637909 113.079 151.6777
104.974365 113.061 151.6263
105.310822 113.042 151.5828
105.647278 113.022 151.5516
105.983734 113.002 151.5342
106.320190 112.983 151.5250
106.656647 112.966 151.5117
106.993103 112.951 151.4808
107.329559 112.935 151.4259
107.666016 112.918 151.3516
108.002472 112.898 151.2721
108.338928 112.876 151.2037
108.675385 112.853 151.1568
109.011841 112.833 151.1305
109.348297 112.816 151.1143
109.684753 112.802 151.0946
110.021210 112.788 151.0621
110.357666 112.774 151.0168
110.694122 112.757 150.9668
111.030579 112.738 150.9228
111.367035 112.718 150.8912
111.703491 112.698 150.8706
112.039948 112.680 150.8517
112.376404 112.664 150.8243
112.712860 112.648 150.7834
113.049316 112.631 150.7334
113.385773 112.612 150.6860
113.722229 112.592 150.6525
114.058685 112.573 150.6369
114.395142 112.557 150.6322
114.731598 112.544 150.6249
115.068054 112.532 150.6028
115.404510 112.520 150.5632
115.740967 112.506 150.5132
116.077423 112.489 150.4639
116.413879 112.471 150.4219
116.750336 112.453 150.3838
117.086792 112.436 150.3395
117.423248 112.419 150.2811
117.759705 112.400 150.2114
118.096161 112.377 150.1461
118.432617 112.352 150.1060
118.769073 112.328 150.1040
119.105530 112.308 150.1349
119.441986 112.294 150.1756
119.778442 112.288 150.1960
120.114899 112.284 150.1757
120.451355 112.277 150.1147
120.787811 112.265 150.0334
121.124268 112.246 149.9599
121.460724 112.224 149.9142
121.797180 112.201 149.8978
122.133636 112.181 149.8947
122.470093 112.164 149.8838
122.806549 112.147 149.8533
123.143005 112.128 149.8087
123.479462 112.106 149.7695
123.815918 112.084 149.7561
124.152374 112.065 149.7765
124.488831 112.053 149.8203
124.825287 112.048 149.8644
125.161743 112.047 149.8859
125.498199 112.046 149.8747
125.834656 112.040 149.8381
126.171112 112.026 149.7948
126.507568 112.005 149.7640
126.844025 111.980 149.7545
127.180481 111.953 149.7605
127.516937 111.928 149.7661
127.853394 111.907 149.7536
128.189850 111.890 149.7135
128.526306 111.875 149.6485
128.862762 111.861 149.5720
129.199219 111.849 149.5020
129.535675 111.837 149.4532
129.872131 111.825 149.4331
130.208588 111.813 149.4400
130.545044 111.800 149.4666
130.881500 111.785 149.5029
131.217957 111.769 149.5394
131.554413 111.752 149.5665
131.890869 111.736 149.5737
132.227325 111.723 149.5497
132.563782 111.713 149.4863
132.900238 111.704 149.3842
133.236694 111.694 149.2579
133.573151 111.680 149.1347
133.909607 111.661 149.0469
134.246063 111.639 149.0191
134.582520 111.616 149.0574
134.918976 111.594 149.1458
135.255432 111.577 149.2529
135.591888 111.563 149.3452
135.928345 111.550 149.4005
136.264801 111.537 149.4136
136.601257 111.523 149.3938
136.937714 111.507 149.3571
137.274170 111.491 149.3174
137.610626 111.477 149.2828
137.947083 111.464 149.2555
138.283539 111.452 149.2340
138.619995 111.440 149.2166
138.956451 111.427 149.2018
139.292908 111.412 149.1896
139.629364 111.396 149.1802
139.965820 111.379 149.1742
140.302277 111.363 149.1712
140.638733 111.348 149.1691
140.975189 111.335 149.1640
141.311646 111.324 149.1521
141.648102 111.313 149.1328
141.984558 111.300 149.1108
142.321014 111.286 149.0947
142.657471 111.269 149.0926
142.993927 111.251 149.1063
143.330383 111.234 149.1293
143.666840 111.219 149.1491
144.003296 111.206 149.1548
144.339752 111.193 149.1432
144.676208 111.179 149.1206
145.012665 111.164 149.0977
145.349121 111.150 149.0825
145.685577 111.138 149.0759
146.022034 111.126 149.0724
146.358490 111.116 149.0661
146.694946 111.105 149.0565
147.031403 111.092 149.0487
147.367859 111.077 149.0495
147.704315 111.061 149.0604
148.040771 111.046 149.0755
148.377228 111.031 149.0847
148.713684 111.015 149.0809
149.050140 110.999 149.0666
149.386597 110.980 149.0523
149.723053 110.962 149.0501
150.059509 110.944 149.0645
150.395966 110.931 149.0880
150.732422 110.921 149.1055
151.068878 110.913 149.1042
151.405334 110.903 149.0837
151.741791 110.888 149.0579
152.078247 110.869 149.0480
152.414703 110.848 149.0696
152.751160 110.828 149.1214
153.087616 110.813 149.1838
153.424072 110.803 149.2285
153.760529 110.797 149.2336
154.096985 110.791 149.1967
154.433441 110.780 149.1360
154.769897 110.765 149.0814
155.106354 110.747 149.0579
155.442810 110.729 149.0740
155.779266 110.716 149.1175
156.115723 110.706 149.1650
156.452179 110.699 149.1957
156.788635 110.691 149.2031
157.125092 110.680 149.1962
157.461548 110.665 149.1920
