* Measurement data measured by REW V5.20.9
* Source: Головной телефон (TX 384Khz HiFi Audio), MICROPHONE (Общая громкость), L, volume: 0,250. Timing signal peak level -25,7 dBFS, measurement signal peak level -25,7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 25.09.2022 17:39:01
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0281 ms (-9,7 mm, -0,38 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: Celest Gumiho
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 122.793 -144.5839
20.287556 122.795 -144.7261
20.434568 122.798 -144.9335
20.582645 122.802 -145.1837
20.731796 122.807 -145.4575
20.882027 122.811 -145.7419
21.033346 122.816 -146.0289
21.185763 122.822 -146.3148
21.339284 122.829 -146.5992
21.493917 122.837 -146.8830
21.649671 122.846 -147.1683
21.806553 122.857 -147.4572
21.964572 122.868 -147.7516
22.123737 122.879 -148.0526
22.284054 122.890 -148.3605
22.445534 122.900 -148.6745
22.608183 122.910 -148.9931
22.772012 122.919 -149.3144
22.937027 122.926 -149.6358
23.103238 122.933 -149.9551
23.270654 122.939 -150.2705
23.439282 122.945 -150.5807
23.609133 122.951 -150.8855
23.780215 122.957 -151.1852
23.952536 122.964 -151.4811
24.126106 122.972 -151.7749
24.300934 122.981 -152.0681
24.477028 122.990 -152.3624
24.654399 123.000 -152.6586
24.833055 123.009 -152.9571
25.013005 123.018 -153.2571
25.194260 123.026 -153.5577
25.376828 123.034 -153.8572
25.560719 123.040 -154.1541
25.745942 123.044 -154.4470
25.932508 123.048 -154.7351
26.120426 123.051 -155.0183
26.309705 123.054 -155.2973
26.500356 123.056 -155.5732
26.692388 123.058 -155.8475
26.885812 123.059 -156.1219
27.080638 123.061 -156.3975
27.276876 123.062 -156.6751
27.474535 123.064 -156.9549
27.673627 123.065 -157.2365
27.874161 123.066 -157.5190
28.076149 123.068 -157.8015
28.279600 123.070 -158.0829
28.484526 123.072 -158.3625
28.690937 123.075 -158.6397
28.898843 123.078 -158.9145
29.108256 123.082 -159.1868
29.319186 123.086 -159.4567
29.531645 123.091 -159.7244
29.745644 123.096 -159.9898
29.961193 123.100 -160.2527
30.178304 123.104 -160.5129
30.396989 123.107 -160.7703
30.617258 123.110 -161.0251
30.839123 123.112 -161.2775
31.062596 123.114 -161.5283
31.287688 123.116 -161.7784
31.514412 123.117 -162.0289
31.742778 123.118 -162.2807
31.972800 123.119 -162.5348
32.204488 123.120 -162.7915
32.437855 123.120 -163.0507
32.672913 123.121 -163.3119
32.909674 123.121 -163.5742
33.148151 123.121 -163.8364
33.388356 123.121 -164.0974
33.630302 123.121 -164.3559
33.874001 123.121 -164.6114
34.119466 123.120 -164.8632
34.366710 123.120 -165.1112
34.615745 123.119 -165.3557
34.866585 123.118 -165.5970
35.119243 123.117 -165.8354
35.373731 123.115 -166.0715
35.630064 123.113 -166.3059
35.888254 123.111 -166.5391
36.148315 123.109 -166.7724
36.410261 123.107 -167.0067
36.674104 123.105 -167.2434
36.939860 123.104 -167.4836
37.207542 123.103 -167.7279
37.477163 123.103 -167.9760
37.748738 123.102 -168.2269
38.022281 123.101 -168.4787
38.297806 123.100 -168.7291
38.575327 123.099 -168.9761
38.854860 123.097 -169.2181
39.136419 123.095 -169.4546
39.420017 123.093 -169.6860
39.705671 123.091 -169.9135
39.993395 123.089 -170.1387
40.283203 123.086 -170.3629
40.575112 123.083 -170.5872
40.869136 123.080 -170.8119
41.165290 123.076 -171.0370
41.463591 123.072 -171.2622
41.764053 123.068 -171.4874
42.066693 123.064 -171.7124
42.371525 123.060 -171.9375
42.678567 123.056 -172.1629
42.987834 123.051 -172.3888
43.299341 123.047 -172.6152
43.613106 123.042 -172.8422
43.929145 123.038 -173.0697
44.247473 123.033 -173.2978
44.568109 123.029 -173.5263
44.891068 123.024 -173.7549
45.216367 123.018 -173.9832
45.544023 123.013 -174.2105
45.874054 123.007 -174.4362
46.206476 123.001 -174.6601
46.541307 122.994 -174.8829
46.878565 122.987 -175.1057
47.218266 122.980 -175.3297
47.560429 122.972 -175.5555
47.905072 122.964 -175.7823
48.252212 122.956 -176.0085
48.601867 122.948 -176.2315
48.954056 122.940 -176.4494
49.308798 122.932 -176.6613
49.666109 122.925 -176.8676
50.026010 122.919 -177.0697
50.388520 122.914 -177.2693
50.753656 122.909 -177.4681
51.121437 122.903 -177.6674
51.491884 122.898 -177.8683
51.865016 122.891 -178.0715
52.240851 122.883 -178.2775
52.619410 122.875 -178.4861
53.000712 122.866 -178.6962
53.384777 122.857 -178.9071
53.771625 122.848 -179.1177
54.161276 122.838 -179.3281
54.553751 122.829 -179.5383
54.949070 122.820 -179.7477
55.347254 122.810 -179.9550
55.748323 122.800 179.8418
56.152298 122.789 179.6444
56.559201 122.778 179.4531
56.969052 122.768 179.2665
57.381873 122.758 179.0815
57.797686 122.749 178.8952
58.216512 122.740 178.7056
58.638373 122.731 178.5120
59.063291 122.721 178.3152
59.491288 122.712 178.1164
59.922386 122.701 177.9169
60.356608 122.690 177.7181
60.793977 122.679 177.5211
61.234515 122.666 177.3266
61.678246 122.654 177.1347
62.125192 122.642 176.9449
62.575377 122.630 176.7561
63.028824 122.617 176.5674
63.485557 122.606 176.3782
63.945599 122.594 176.1884
64.408975 122.581 175.9984
64.875709 122.569 175.8089
65.345825 122.557 175.6203
65.819348 122.544 175.4330
66.296302 122.531 175.2466
66.776713 122.518 175.0609
67.260604 122.505 174.8751
67.748002 122.492 174.6885
68.238932 122.478 174.5009
68.733420 122.464 174.3123
69.231490 122.450 174.1233
69.733170 122.435 173.9348
70.238485 122.421 173.7477
70.747463 122.405 173.5629
71.260128 122.390 173.3805
71.776508 122.374 173.2001
72.296630 122.358 173.0214
72.820521 122.343 172.8437
73.348209 122.327 172.6667
73.879720 122.311 172.4905
74.415083 122.295 172.3152
74.954326 122.278 172.1413
75.497475 122.262 171.9688
76.044561 122.244 171.7969
76.595612 122.227 171.6249
77.150655 122.210 171.4517
77.709720 122.192 171.2775
78.272837 122.175 171.1031
78.840034 122.157 170.9301
79.411342 122.140 170.7597
79.986789 122.123 170.5922
80.566406 122.105 170.4266
81.150224 122.088 170.2617
81.738272 122.070 170.0964
82.330581 122.052 169.9313
82.927182 122.034 169.7674
83.528107 122.016 169.6063
84.133386 121.998 169.4485
84.743051 121.979 169.2939
85.357134 121.959 169.1409
85.975667 121.939 168.9878
86.598682 121.918 168.8331
87.226212 121.896 168.6757
87.858289 121.874 168.5156
88.494946 121.852 168.3541
89.136217 121.830 168.1930
89.782135 121.808 168.0334
90.432733 121.786 167.8760
91.088046 121.765 167.7206
91.748108 121.744 167.5671
92.412952 121.722 167.4156
93.082615 121.701 167.2664
93.757130 121.679 167.1194
94.436533 121.657 166.9741
95.120859 121.634 166.8300
95.810144 121.611 166.6868
96.504423 121.588 166.5444
97.203734 121.565 166.4027
97.908112 121.542 166.2617
98.617595 121.518 166.1211
99.332219 121.495 165.9808
100.052021 121.471 165.8409
100.777039 121.448 165.7015
101.507311 121.424 165.5628
102.242875 121.399 165.4249
102.983769 121.375 165.2879
103.730032 121.350 165.1516
104.481702 121.324 165.0159
105.238820 121.299 164.8806
106.001424 121.273 164.7455
106.769554 121.246 164.6111
107.543250 121.220 164.4781
108.322553 121.193 164.3471
109.107503 121.166 164.2184
109.898141 121.139 164.0923
110.694508 121.111 163.9691
111.496646 121.084 163.8485
112.304596 121.056 163.7299
113.118402 121.028 163.6123
113.938104 121.000 163.4946
114.763747 120.972 163.3760
115.595372 120.944 163.2570
116.433024 120.916 163.1385
117.276746 120.887 163.0220
118.126581 120.858 162.9078
118.982575 120.829 162.7954
119.844772 120.800 162.6838
120.713217 120.770 162.5728
121.587954 120.740 162.4623
122.469031 120.709 162.3525
123.356492 120.679 162.2433
124.250384 120.648 162.1347
125.150753 120.617 162.0270
126.057647 120.586 161.9204
126.971113 120.554 161.8157
127.891198 120.522 161.7137
128.817950 120.489 161.6148
129.751418 120.455 161.5188
130.691651 120.421 161.4245
131.638696 120.386 161.3305
132.592604 120.351 161.2362
133.553425 120.315 161.1415
134.521208 120.279 161.0473
135.496004 120.242 160.9545
136.477864 120.205 160.8641
137.466839 120.167 160.7766
138.462981 120.128 160.6922
139.466340 120.088 160.6111
140.476971 120.047 160.5339
141.494925 120.005 160.4611
142.520256 119.963 160.3937
143.553016 119.919 160.3327
144.593260 119.875 160.2791
145.641043 119.829 160.2340
146.696418 119.782 160.1980
147.759441 119.734 160.1718
148.830166 119.685 160.1561
149.908651 119.635 160.1523
150.994951 119.585 160.1622
152.089123 119.533 160.1879
153.191223 119.481 160.2321
154.301310 119.428 160.2973
155.419441 119.376 160.3857
156.545674 119.324 160.4991
157.680069 119.273 160.6385
158.822683 119.224 160.8055
159.973578 119.178 161.0004
161.132813 119.135 161.2222
162.300447 119.096 161.4683
163.476543 119.062 161.7350
164.661162 119.034 162.0171
165.854364 119.012 162.3077
167.056213 118.998 162.5975
168.266772 118.990 162.8761
169.486102 118.990 163.1321
170.714268 118.995 163.3549
171.951334 119.006 163.5349
173.197364 119.021 163.6663
174.452424 119.037 163.7466
175.716578 119.054 163.7774
176.989893 119.069 163.7632
178.272434 119.081 163.7103
179.564270 119.090 163.6260
180.865467 119.094 163.5178
182.176092 119.094 163.3928
183.496216 119.089 163.2567
184.825905 119.081 163.1140
186.165229 119.068 162.9683
187.514259 119.052 162.8223
188.873065 119.034 162.6777
190.241717 119.012 162.5363
191.620287 118.988 162.3992
193.008847 118.961 162.2679
194.407468 118.932 162.1438
195.816225 118.901 162.0287
197.235190 118.868 161.9237
198.664438 118.833 161.8299
200.104042 118.796 161.7470
201.554078 118.759 161.6744
203.014622 118.721 161.6114
204.485750 118.682 161.5578
205.967538 118.642 161.5136
207.460064 118.601 161.4787
208.963405 118.560 161.4531
210.477640 118.518 161.4370
212.002848 118.476 161.4310
213.539108 118.432 161.4355
215.086500 118.388 161.4507
216.645105 118.344 161.4770
218.215005 118.300 161.5147
219.796281 118.256 161.5644
221.389015 118.212 161.6266
222.993292 118.169 161.7024
224.609193 118.126 161.7924
226.236804 118.083 161.8975
227.876209 118.042 162.0186
229.527494 118.001 162.1555
231.190745 117.963 162.3071
232.866048 117.928 162.4717
234.553491 117.895 162.6464
236.253163 117.866 162.8274
237.965150 117.840 163.0098
239.689544 117.818 163.1876
241.426433 117.800 163.3538
243.175909 117.784 163.5027
244.938062 117.770 163.6301
246.712984 117.758 163.7336
248.500768 117.746 163.8132
250.301507 117.733 163.8705
252.115295 117.720 163.9093
253.942226 117.705 163.9333
255.782396 117.687 163.9462
257.635901 117.668 163.9514
259.502837 117.646 163.9520
261.383301 117.622 163.9514
263.277392 117.595 163.9520
265.185209 117.568 163.9559
267.106850 117.538 163.9639
269.042417 117.507 163.9764
270.992009 117.475 163.9938
272.955729 117.443 164.0169
274.933678 117.409 164.0468
276.925961 117.374 164.0839
278.932681 117.339 164.1283
280.953942 117.303 164.1795
282.989850 117.267 164.2374
285.040511 117.231 164.3019
287.106032 117.194 164.3733
289.186521 117.157 164.4512
291.282086 117.120 164.5356
293.392836 117.084 164.6259
295.518881 117.047 164.7220
297.660333 117.010 164.8234
299.817302 116.974 164.9298
301.989902 116.937 165.0408
304.178245 116.901 165.1559
306.382446 116.865 165.2748
308.602620 116.829 165.3969
310.838882 116.793 165.5220
313.091348 116.757 165.6500
315.360137 116.721 165.7809
317.645367 116.686 165.9151
319.947156 116.651 166.0530
322.265625 116.616 166.1948
324.600895 116.581 166.3408
326.953086 116.546 166.4905
329.322323 116.512 166.6437
331.708729 116.477 166.7997
334.112427 116.443 166.9586
336.533543 116.409 167.1204
338.972204 116.375 167.2852
341.428536 116.341 167.4533
343.902668 116.307 167.6245
346.394729 116.274 167.7987
348.904848 116.241 167.9758
351.433156 116.207 168.1554
353.979786 116.174 168.3375
356.544869 116.141 168.5226
359.128540 116.108 168.7110
361.730934 116.076 168.9024
