* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 29.11.2024 23:07:15
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Celest Wyvern Qing R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 111.759 -120.2721
20.507813 112.091 -121.8441
20.874023 112.389 -123.1635
21.240234 112.601 -123.7359
21.606445 112.760 -123.3525
21.972656 112.929 -122.5230
22.338867 113.106 -122.2760
22.705078 113.196 -123.3786
23.071289 113.103 -125.8052
23.437500 112.822 -128.8436
23.803711 112.471 -131.5452
24.169922 112.254 -133.3359
24.536133 112.327 -134.5012
24.902344 112.658 -135.8385
25.268555 113.044 -137.6794
25.634766 113.289 -139.5369
26.000977 113.318 -140.5424
26.367188 113.214 -140.0912
26.733399 113.151 -138.4511
27.099610 113.248 -136.8461
27.465821 113.459 -136.5190
27.832032 113.650 -137.7327
28.198243 113.730 -139.8115
28.564454 113.706 -141.7906
28.930665 113.653 -143.0217
29.296876 113.655 -143.5051
29.663087 113.733 -143.7579
30.029298 113.829 -144.2841
30.395509 113.861 -145.1765
30.761720 113.798 -146.1705
31.127931 113.671 -146.9560
31.494142 113.556 -147.4565
31.860353 113.514 -147.8891
32.226563 113.553 -148.5544
32.592774 113.634 -149.5573
32.958985 113.708 -150.7339
33.325196 113.751 -151.8021
33.691407 113.769 -152.5649
34.057618 113.783 -153.0235
34.423829 113.808 -153.3487
34.790040 113.839 -153.7487
35.156251 113.863 -154.3361
35.522462 113.865 -155.0860
35.888673 113.845 -155.8831
36.254884 113.818 -156.6082
36.621095 113.800 -157.2074
36.987306 113.806 -157.7091
37.353517 113.835 -158.1848
37.719728 113.871 -158.6826
38.085939 113.896 -159.1866
38.452150 113.900 -159.6305
38.818361 113.881 -159.9506
39.184572 113.850 -160.1390
39.550783 113.817 -160.2560
39.916994 113.785 -160.3932
40.283205 113.752 -160.6205
40.649416 113.715 -160.9613
41.015627 113.678 -161.4137
41.381838 113.647 -161.9889
41.748049 113.629 -162.7236
42.114260 113.627 -163.6487
42.480471 113.635 -164.7403
42.846682 113.648 -165.8934
43.212893 113.664 -166.9451
43.579103 113.689 -167.7391
43.945314 113.728 -168.1985
44.311525 113.782 -168.3696
44.677736 113.837 -168.4037
45.043947 113.864 -168.4792
45.410158 113.832 -168.7017
45.776369 113.719 -169.0441
46.142580 113.543 -169.3664
46.508791 113.361 -169.5295
46.875002 113.266 -169.5677
47.241213 113.328 -169.7800
47.607424 113.549 -170.5631
47.973635 113.845 -172.0710
48.339846 114.095 -174.0352
48.706057 114.203 -175.8727
49.072268 114.139 -176.9314
49.438479 113.950 -176.7762
49.804690 113.745 -175.4899
50.170901 113.621 -173.7869
50.537112 113.592 -172.6209
50.903323 113.594 -172.5156
51.269534 113.562 -173.2931
51.635745 113.483 -174.3431
52.001956 113.403 -175.0838
52.368167 113.378 -175.3161
52.734378 113.422 -175.2619
53.100589 113.485 -175.2536
53.466800 113.492 -175.3924
53.833011 113.399 -175.5057
54.199222 113.232 -175.3766
54.565432 113.067 -175.0260
54.931643 112.978 -174.7989
55.297854 112.980 -175.1127
55.664065 113.035 -176.0739
56.030276 113.087 -177.3613
56.396487 113.113 -178.4535
56.762698 113.126 -178.9727
57.128909 113.158 -178.9146
57.495120 113.221 -178.6116
57.861331 113.288 -178.4510
58.227542 113.314 -178.5971
58.593753 113.274 -178.9421
58.959964 113.180 -179.2584
59.326175 113.075 -179.3923
59.692386 113.001 -179.3620
60.058597 112.974 -179.3031
60.424808 112.983 -179.3310
60.791019 113.002 -179.4594
61.157230 113.015 -179.6342
61.523441 113.020 -179.8179
61.889652 113.019 179.9738
62.255863 113.012 179.7068
62.622074 112.996 179.3893
62.988285 112.971 179.0858
63.354496 112.944 178.8695
63.720707 112.926 178.7563
64.086918 112.925 178.6823
64.453129 112.937 178.5483
64.819340 112.951 178.2885
65.185551 112.956 177.9049
65.551762 112.947 177.4497
65.917972 112.928 176.9839
66.284183 112.903 176.5540
66.650394 112.875 176.1956
67.016605 112.844 175.9421
67.382816 112.811 175.8148
67.749027 112.780 175.7952
68.115238 112.756 175.8116
68.481449 112.737 175.7686
68.847660 112.718 175.6053
69.213871 112.691 175.3379
69.580082 112.657 175.0449
69.946293 112.627 174.8078
70.312504 112.611 174.6533
70.678715 112.610 174.5447
71.044926 112.617 174.4296
71.411137 112.614 174.2948
71.777348 112.592 174.1751
72.143559 112.553 174.1099
72.509770 112.512 174.0883
72.875981 112.483 174.0373
73.242192 112.471 173.8701
73.608403 112.469 173.5544
73.974614 112.469 173.1404
74.340825 112.465 172.7264
74.707036 112.458 172.3949
75.073247 112.450 172.1727
75.439458 112.440 172.0414
75.805669 112.424 171.9741
76.171880 112.402 171.9586
76.538091 112.380 171.9819
76.904301 112.365 172.0024
77.270512 112.364 171.9491
77.636723 112.371 171.7652
78.002934 112.372 171.4589
78.369145 112.358 171.1123
78.735356 112.326 170.8327
79.101567 112.286 170.6821
79.467778 112.251 170.6381
79.833989 112.226 170.6181
80.200200 112.205 170.5475
80.566411 112.182 170.4116
80.932622 112.152 170.2518
81.298833 112.118 170.1183
81.665044 112.089 170.0253
82.031255 112.069 169.9478
82.397466 112.055 169.8524
82.763677 112.044 169.7282
83.129888 112.033 169.5853
83.496099 112.023 169.4308
83.862310 112.015 169.2544
84.228521 112.007 169.0426
84.594732 111.992 168.8089
84.960943 111.967 168.6033
85.327154 111.933 168.4835
85.693365 111.899 168.4658
86.059576 111.873 168.4993
86.425787 111.857 168.4939
86.791998 111.842 168.3849
87.158209 111.818 168.1849
87.524420 111.781 167.9772
87.890631 111.739 167.8575
88.256841 111.708 167.8639
88.623052 111.699 167.9465
88.989263 111.712 168.0027
89.355474 111.732 167.9515
89.721685 111.738 167.7909
90.087896 111.718 167.5962
90.454107 111.675 167.4666
90.820318 111.627 167.4553
91.186529 111.593 167.5258
91.552740 111.584 167.5678
91.918951 111.594 167.4708
92.285162 111.604 167.2034
92.651373 111.595 166.8416
93.017584 111.559 166.5262
93.383795 111.508 166.3770
93.750006 111.463 166.4135
94.116217 111.444 166.5360
94.482428 111.453 166.5905
94.848639 111.477 166.4739
95.214850 111.495 166.2008
95.581061 111.492 165.8833
95.947272 111.466 165.6520
96.313483 111.425 165.5782
96.679694 111.380 165.6459
97.045905 111.335 165.7835
97.412116 111.291 165.9193
97.778327 111.250 166.0112
98.144538 111.215 166.0372
98.510749 111.193 165.9744
98.876960 111.184 165.8053
99.243170 111.182 165.5485
99.609381 111.177 165.2775
99.975592 111.164 165.0930
100.341803 111.148 165.0562
100.708014 111.137 165.1357
101.074225 111.133 165.2197
101.440436 111.126 165.1987
101.806647 111.104 165.0530
102.172858 111.059 164.8715
102.539069 111.002 164.7826
102.905280 110.958 164.8494
103.271491 110.948 165.0081
103.637702 110.973 165.1099
104.003913 111.010 165.0375
104.370124 111.031 164.7942
104.736335 111.014 164.4969
105.102546 110.963 164.2903
105.468757 110.898 164.2492
105.834968 110.844 164.3337
106.201179 110.817 164.4269
106.567390 110.813 164.4257
106.933601 110.816 164.3116
107.299812 110.812 164.1505
107.666023 110.796 164.0338
108.032234 110.770 164.0128
108.398445 110.741 164.0709
108.764656 110.713 164.1474
109.130867 110.684 164.1895
109.497078 110.654 164.1912
109.863289 110.627 164.1896
110.229500 110.613 164.2249
110.595710 110.619 164.2952
110.961921 110.645 164.3508
111.328132 110.676 164.3376
111.694343 110.689 164.2560
112.060554 110.668 164.1805
112.426765 110.614 164.2120
112.792976 110.549 164.3855
113.159187 110.502 164.6010
113.525398 110.490 164.6549
113.891609 110.502 164.3826
114.257820 110.509 163.8044
114.624031 110.485 163.1511
114.990242 110.431 162.7443
115.356453 110.373 162.8011
115.722664 110.347 163.2820
116.088875 110.371 163.9064
116.455086 110.421 164.3565
116.821297 110.458 164.4996
117.187508 110.454 164.4343
117.553719 110.415 164.3534
117.919930 110.377 164.3549
118.286141 110.372 164.3499
118.652352 110.402 164.1542
119.018563 110.433 163.6888
119.384774 110.426 163.0973
119.750985 110.362 162.6809
120.117196 110.262 162.7029
120.483407 110.178 163.1862
120.849618 110.151 163.8529
121.215829 110.181 164.3008
121.582040 110.232 164.2942
121.948250 110.256 163.9087
122.314461 110.235 163.4388
122.680672 110.186 163.1786
123.046883 110.144 163.2297
123.413094 110.135 163.4531
123.779305 110.153 163.6068
124.145516 110.164 163.5560
124.511727 110.138 163.3707
124.877938 110.071 163.2471
125.244149 109.997 163.3319
125.610360 109.957 163.5771
125.976571 109.975 163.7513
126.342782 110.035 163.6231
126.708993 110.090 163.1609
127.075204 110.101 162.5740
127.441415 110.058 162.1810
127.807626 109.986 162.2079
128.173837 109.930 162.6362
128.540048 109.916 163.2113
128.906259 109.936 163.6300
129.272470 109.960 163.7540
129.638681 109.958 163.6629
130.004892 109.930 163.5355
130.371103 109.893 163.4877
130.737314 109.866 163.5017
131.103525 109.851 163.4948
131.469736 109.835 163.4496
131.835947 109.810 163.4625
132.202158 109.785 163.6533
132.568369 109.786 164.0173
132.934579 109.828 164.3749
133.300790 109.893 164.5023
133.667001 109.939 164.3376
134.033212 109.928 164.0609
134.399423 109.857 163.9744
134.765634 109.766 164.2716
135.131845 109.710 164.8515
135.498056 109.714 165.3523
135.864267 109.757 165.4269
136.230478 109.791 165.0089
136.596689 109.783 164.3310
136.962900 109.740 163.7260
137.329111 109.696 163.3937
137.695322 109.685 163.2978
138.061533 109.709 163.2694
138.427744 109.741 163.2156
138.793955 109.754 163.2190
139.160166 109.745 163.4385
139.526377 109.740 163.9152
139.892588 109.766 164.4700
140.258799 109.823 164.8104
140.625010 109.878 164.7603
140.991221 109.896 164.3900
141.357432 109.866 163.9398
141.723643 109.807 163.6308
142.089854 109.753 163.5102
142.456065 109.723 163.4513
142.822276 109.707 163.3045
143.188487 109.679 163.0549
143.554698 109.623 162.8378
143.920909 109.551 162.8127
144.287119 109.493 163.0133
144.653330 109.473 163.3026
145.019541 109.491 163.4814
145.385752 109.523 163.4501
145.751963 109.544 163.2708
146.118174 109.546 163.0931
146.484385 109.536 163.0262
146.850596 109.530 163.0648
147.216807 109.533 163.1187
147.583018 109.537 163.1067
147.949229 109.530 163.0247
148.315440 109.507 162.9360
148.681651 109.475 162.9075
149.047862 109.445 162.9540
149.414073 109.428 163.0334
149.780284 109.421 163.0874
150.146495 109.418 163.0831
150.512706 109.412 163.0251
150.878917 109.398 162.9363
151.245128 109.378 162.8372
151.611339 109.353 162.7401
151.977550 109.326 162.6553
152.343761 109.302 162.5948
152.709972 109.282 162.5671
153.076183 109.270 162.5706
153.442394 109.263 162.5937
153.808605 109.259 162.6245
154.174816 109.253 162.6575
154.541027 109.243 162.6915
154.907238 109.229 162.7221
155.273448 109.213 162.7397
155.639659 109.195 162.7374
156.005870 109.176 162.7221
156.372081 109.160 162.7137
156.738292 109.148 162.7312
157.104503 109.143 162.7756
157.470714 109.146 162.8264
157.836925 109.151 162.8560
158.203136 109.152 162.8517
158.569347 109.143 162.8246
158.935558 109.123 162.7993
159.301769 109.097 162.7942
159.667980 109.070 162.8082
160.034191 109.048 162.8246
160.400402 109.033 162.8272
160.766613 109.022 162.8128
161.132824 109.015 162.7907
161.499035 109.010 162.7715
161.865246 109.007 162.7574
162.231457 109.003 162.7441
162.597668 108.996 162.7296
162.963879 108.984 162.7217
163.330090 108.970 162.7345
163.696301 108.955 162.7758
164.062512 108.944 162.8362
164.428723 108.939 162.8904
164.794934 108.938 162.9121
165.161145 108.936 162.8919
165.527356 108.930 162.8449
165.893567 108.916 162.8022
166.259778 108.899 162.7909
166.625988 108.883 162.8159
166.992199 108.871 162.8566
167.358410 108.865 162.8809
167.724621 108.859 162.8685
168.090832 108.847 162.8278
168.457043 108.827 162.7916
168.823254 108.800 162.7964
169.189465 108.772 162.8565
169.555676 108.750 162.9507
169.921887 108.736 163.0343
170.288098 108.728 163.0682
170.654309 108.722 163.0457
