* Measurement data measured by REW V5.40 beta 98
* Source: Микрофон (HiBy Digital D1), MICROPHONE (Общая громкость), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -15,0 dBFS with no timing reference
* Dated: 03.10.2025 15:59:09
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: LCP300_MX500
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 37.983 169.4805
0.368865 37.976 169.4750
0.371538 37.967 169.4667
0.374230 37.955 169.4562
0.376942 37.941 169.4439
0.379673 37.926 169.4302
0.382424 37.911 169.4153
0.385196 37.895 169.3994
0.387987 37.879 169.3825
0.390798 37.863 169.3647
0.393630 37.847 169.3460
0.396483 37.830 169.3264
0.399356 37.813 169.3059
0.402250 37.797 169.2845
0.405165 37.780 169.2623
0.408101 37.763 169.2391
0.411058 37.746 169.2151
0.414037 37.728 169.1901
0.417037 37.711 169.1643
0.420059 37.693 169.1375
0.423103 37.676 169.1099
0.426169 37.658 169.0813
0.429257 37.640 169.0519
0.432368 37.622 169.0215
0.435501 37.604 168.9902
0.438656 37.586 168.9580
0.441835 37.567 168.9249
0.445037 37.549 168.8909
0.448262 37.530 168.8560
0.451510 37.511 168.8202
0.454782 37.492 168.7835
0.458077 37.473 168.7459
0.461397 37.454 168.7075
0.464740 37.434 168.6681
0.468108 37.415 168.6279
0.471500 37.395 168.5868
0.474917 37.375 168.5448
0.478358 37.356 168.5020
0.481825 37.335 168.4583
0.485316 37.315 168.4138
0.488833 37.295 168.3685
0.492375 37.274 168.3224
0.495943 37.254 168.2755
0.499537 37.233 168.2278
0.503157 37.212 168.1793
0.506803 37.191 168.1301
0.510475 37.169 168.0802
0.514175 37.148 168.0296
0.517900 37.126 167.9783
0.521653 37.105 167.9264
0.525434 37.083 167.8738
0.529241 37.061 167.8206
0.533076 37.038 167.7669
0.536939 37.016 167.7126
0.540830 36.993 167.6578
0.544749 36.971 167.6025
0.548696 36.948 167.5469
0.552673 36.925 167.4908
0.556677 36.902 167.4343
0.560711 36.878 167.3776
0.564774 36.855 167.3206
0.568867 36.831 167.2634
0.572989 36.807 167.2061
0.577141 36.783 167.1487
0.581324 36.759 167.0912
0.585536 36.734 167.0338
0.589779 36.710 166.9764
0.594053 36.685 166.9193
0.598358 36.660 166.8624
0.602694 36.635 166.8058
0.607061 36.610 166.7496
0.611460 36.584 166.6939
0.615891 36.558 166.6389
0.620354 36.533 166.5844
0.624849 36.506 166.5308
0.629377 36.480 166.4781
0.633938 36.454 166.4264
0.638532 36.427 166.3758
0.643159 36.400 166.3265
0.647819 36.373 166.2785
0.652514 36.346 166.2321
0.657242 36.319 166.1874
0.662005 36.291 166.1444
0.666802 36.263 166.1035
0.671634 36.235 166.0647
0.676501 36.207 166.0282
0.681403 36.179 165.9941
0.686341 36.150 165.9628
0.691314 36.121 165.9344
0.696324 36.092 165.9090
0.701370 36.063 165.8869
0.706452 36.033 165.8682
0.711571 36.003 165.8531
0.716728 35.972 165.8418
0.721921 35.940 165.8342
0.727153 35.906 165.8304
0.732422 35.872 165.8300
0.737729 35.835 165.8328
0.743075 35.796 165.8385
0.748460 35.755 165.8468
0.753883 35.712 165.8576
0.759346 35.668 165.8708
0.764849 35.623 165.8862
0.770391 35.576 165.9041
0.775974 35.528 165.9243
0.781597 35.479 165.9471
0.787261 35.429 165.9725
0.792966 35.377 166.0007
0.798712 35.325 166.0316
0.804500 35.271 166.0656
0.810329 35.216 166.1026
0.816201 35.161 166.1429
0.822116 35.104 166.1866
0.828073 35.046 166.2339
0.834074 34.988 166.2849
0.840118 34.928 166.3397
0.846206 34.868 166.3986
0.852338 34.807 166.4617
0.858514 34.745 166.5293
0.864735 34.682 166.6015
0.871001 34.619 166.6785
0.877313 34.555 166.7606
0.883670 34.490 166.8480
0.890074 34.425 166.9409
0.896524 34.359 167.0396
0.903020 34.293 167.1443
0.909564 34.226 167.2553
0.916155 34.159 167.3729
0.922794 34.092 167.4974
0.929481 34.025 167.6290
0.936216 33.957 167.7681
0.943000 33.890 167.9150
0.949834 33.822 168.0701
0.956717 33.755 168.2336
0.963649 33.688 168.4059
0.970632 33.621 168.5874
0.977666 33.554 168.7784
0.984750 33.488 168.9794
0.991886 33.422 169.1907
0.999074 33.357 169.4127
1.006314 33.293 169.6458
1.013606 33.229 169.8904
1.020951 33.167 170.1469
1.028349 33.106 170.4157
1.035801 33.046 170.6973
1.043307 32.987 170.9920
1.050867 32.929 171.3002
1.058482 32.873 171.6225
1.066152 32.819 171.9593
1.073878 32.767 172.3112
1.081660 32.716 172.6791
1.089498 32.667 173.0637
1.097393 32.619 173.4664
1.105345 32.573 173.8884
1.113355 32.528 174.3313
1.121423 32.483 174.7961
1.129549 32.440 175.2838
1.137734 32.397 175.7950
1.145979 32.354 176.3301
1.154283 32.312 176.8892
1.162647 32.271 177.4724
1.171072 32.231 178.0795
1.179558 32.191 178.7103
1.188106 32.152 179.3644
1.196715 32.114 -179.9586
1.205387 32.077 -179.2593
1.214122 32.041 -178.5384
1.222920 32.007 -177.7965
1.231782 31.973 -177.0346
1.240708 31.941 -176.2537
1.249699 31.910 -175.4549
1.258754 31.880 -174.6394
1.267876 31.852 -173.8087
1.277063 31.826 -172.9642
1.286318 31.802 -172.1075
1.295639 31.779 -171.2402
1.305027 31.758 -170.3643
1.314484 31.740 -169.4817
1.324009 31.723 -168.5942
1.333604 31.709 -167.7040
1.343268 31.698 -166.8133
1.353002 31.689 -165.9242
1.362806 31.683 -165.0390
1.372681 31.679 -164.1599
1.382628 31.679 -163.2891
1.392647 31.682 -162.4289
1.402739 31.688 -161.5813
1.412904 31.697 -160.7483
1.423142 31.710 -159.9317
1.433455 31.728 -159.1326
1.443843 31.749 -158.3518
1.454305 31.775 -157.5894
1.464844 31.806 -156.8443
1.475459 31.843 -156.1153
1.486150 31.885 -155.4009
1.496920 31.933 -154.7002
1.507767 31.987 -154.0127
1.518693 32.047 -153.3386
1.529698 32.112 -152.6785
1.540783 32.184 -152.0334
1.551948 32.261 -151.4041
1.563194 32.343 -150.7917
1.574521 32.430 -150.1972
1.585931 32.521 -149.6215
1.597423 32.617 -149.0654
1.608999 32.717 -148.5298
1.620658 32.820 -148.0155
1.632402 32.927 -147.5230
1.644232 33.036 -147.0529
1.656146 33.148 -146.6059
1.668147 33.262 -146.1823
1.680235 33.377 -145.7825
1.692411 33.493 -145.4070
1.704675 33.610 -145.0561
1.717028 33.728 -144.7299
1.729470 33.844 -144.4290
1.742003 33.960 -144.1533
1.754626 34.075 -143.9031
1.767341 34.188 -143.6786
1.780147 34.298 -143.4800
1.793047 34.406 -143.3073
1.806040 34.511 -143.1606
1.819128 34.614 -143.0396
1.832310 34.714 -142.9442
1.845587 34.813 -142.8739
1.858961 34.911 -142.8283
1.872432 35.008 -142.8067
1.886001 35.105 -142.8084
1.899667 35.201 -142.8327
1.913433 35.298 -142.8789
1.927299 35.394 -142.9461
1.941265 35.491 -143.0337
1.955332 35.587 -143.1407
1.969501 35.683 -143.2667
1.983773 35.779 -143.4108
1.998148 35.874 -143.5723
2.012627 35.968 -143.7505
2.027212 36.061 -143.9450
2.041902 36.154 -144.1550
2.056698 36.245 -144.3801
2.071602 36.334 -144.6198
2.086614 36.423 -144.8737
2.101734 36.509 -145.1415
2.116964 36.594 -145.4231
2.132304 36.676 -145.7184
2.147756 36.757 -146.0278
2.163320 36.835 -146.3519
2.178996 36.910 -146.6918
2.194786 36.983 -147.0488
2.210690 37.054 -147.4248
2.226710 37.122 -147.8212
2.242845 37.188 -148.2391
2.259098 37.252 -148.6786
2.275468 37.313 -149.1394
2.291957 37.372 -149.6208
2.308566 37.428 -150.1217
2.325295 37.482 -150.6407
2.342145 37.534 -151.1767
2.359117 37.584 -151.7282
2.376212 37.631 -152.2939
2.393431 37.676 -152.8724
2.410775 37.718 -153.4625
2.428244 37.759 -154.0630
2.445840 37.797 -154.6728
2.463564 37.832 -155.2910
2.481416 37.865 -155.9171
2.499397 37.896 -156.5508
2.517509 37.924 -157.1925
2.535752 37.950 -157.8436
2.554127 37.974 -158.5063
2.572635 37.994 -159.1838
2.591277 38.013 -159.8794
2.610055 38.028 -160.5960
2.628968 38.040 -161.3354
2.648019 38.050 -162.0981
2.667208 38.056 -162.8838
2.686535 38.059 -163.6914
2.706003 38.059 -164.5196
2.725612 38.056 -165.3665
2.745363 38.050 -166.2302
2.765257 38.040 -167.1086
2.785295 38.028 -167.9996
2.805478 38.012 -168.9011
2.825808 37.992 -169.8114
2.846285 37.969 -170.7290
2.866910 37.943 -171.6532
2.887685 37.914 -172.5843
2.908611 37.881 -173.5242
2.929688 37.844 -174.4761
2.950917 37.804 -175.4449
2.972301 37.759 -176.4352
2.993839 37.712 -177.4507
3.015534 37.660 -178.4940
3.037386 37.604 -179.5657
3.059396 37.544 179.3345
3.081565 37.480 178.2080
3.103896 37.412 177.0567
3.126388 37.339 175.8830
3.149043 37.261 174.6898
3.171862 37.178 173.4797
3.194847 37.091 172.2553
3.217998 36.998 171.0186
3.241317 36.900 169.7705
3.264805 36.797 168.5099
3.288463 36.689 167.2335
3.312293 36.576 165.9356
3.336295 36.456 164.6090
3.360471 36.332 163.2475
3.384822 36.202 161.8459
3.409350 36.066 160.4016
3.434056 35.924 158.9135
3.458940 35.776 157.3824
3.484005 35.621 155.8102
3.509252 35.459 154.1999
3.534681 35.290 152.5553
3.560295 35.114 150.8801
3.586094 34.929 149.1776
3.612081 34.737 147.4493
3.638255 34.536 145.6938
3.664620 34.326 143.9057
3.691175 34.107 142.0756
3.717923 33.880 140.1920
3.744864 33.643 138.2439
3.772001 33.397 136.2221
3.799335 33.142 134.1201
3.826866 32.877 131.9339
3.854597 32.603 129.6623
3.882529 32.320 127.3061
3.910664 32.027 124.8680
3.939002 31.724 122.3509
3.967546 31.409 119.7567
3.996296 31.083 117.0830
4.025255 30.743 114.3205
4.054423 30.389 111.4510
4.083804 30.018 108.4487
4.113396 29.631 105.2845
4.143204 29.230 101.9295
4.173227 28.817 98.3580
4.203468 28.397 94.5494
4.233928 27.974 90.4894
4.264609 27.555 86.1704
4.295512 27.146 81.5906
4.326639 26.753 76.7497
4.357992 26.379 71.6423
4.389572 26.029 66.2478
4.421380 25.704 60.5248
4.453419 25.404 54.4153
4.485691 25.129 47.8625
4.518196 24.879 40.8335
4.550936 24.657 33.3398
4.583914 24.464 25.4508
4.617131 24.305 17.2910
4.650589 24.184 9.0188
4.684289 24.106 0.7882
4.718233 24.076 -7.2910
4.752424 24.097 -15.1722
4.786862 24.171 -22.8647
4.821549 24.299 -30.3976
4.856488 24.478 -37.7816
4.891680 24.700 -44.9953
4.927127 24.957 -51.9956
4.962831 25.239 -58.7378
4.998794 25.539 -65.1958
5.035017 25.847 -71.3741
5.071503 26.157 -77.3099
5.108253 26.466 -83.0664
5.145270 26.773 -88.7159
5.182555 27.078 -94.3188
5.220110 27.383 -99.9027
5.257937 27.690 -105.4609
5.296038 27.998 -110.9650
5.334415 28.308 -116.3823
5.373071 28.621 -121.6911
5.412006 28.935 -126.8890
5.451224 29.251 -131.9944
5.490725 29.569 -137.0397
5.530514 29.889 -142.0570
5.570590 30.210 -147.0620
5.610957 30.532 -152.0456
5.651616 30.855 -156.9808
5.692570 31.178 -161.8350
5.733821 31.500 -166.5836
5.775370 31.820 -171.2181
5.817221 32.139 -175.7473
5.859375 32.455 179.8071
5.901834 32.769 175.4215
5.944602 33.079 171.0838
5.987679 33.386 166.7990
6.031068 33.687 162.5844
6.074771 33.983 158.4600
6.118792 34.270 154.4392
6.163131 34.549 150.5225
6.207792 34.819 146.6973
6.252776 35.078 142.9430
6.298086 35.327 139.2411
6.343725 35.565 135.5851
6.389694 35.792 131.9814
6.435996 36.006 128.4438
6.482634 36.207 124.9851
6.529610 36.394 121.6104
6.576926 36.566 118.3134
6.624585 36.724 115.0792
6.672590 36.866 111.8920
6.720942 36.992 108.7450
6.769645 37.101 105.6427
6.818700 37.193 102.5974
6.868111 37.268 99.6222
