* Measurement data measured by REW V5.40 beta 98
* Source: Микрофон (HiBy Digital D1), MICROPHONE (Общая громкость), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -15,0 dBFS with no timing reference
* Dated: 03.10.2025 15:57:27
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: LittlePandaPK
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 41.976 172.9696
0.368865 41.971 172.9609
0.371538 41.964 172.9480
0.374230 41.956 172.9317
0.376942 41.947 172.9130
0.379673 41.936 172.8924
0.382424 41.926 172.8703
0.385196 41.915 172.8471
0.387987 41.904 172.8228
0.390798 41.893 172.7975
0.393630 41.881 172.7713
0.396483 41.870 172.7441
0.399356 41.858 172.7160
0.402250 41.847 172.6870
0.405165 41.835 172.6570
0.408101 41.823 172.6261
0.411058 41.812 172.5943
0.414037 41.800 172.5615
0.417037 41.788 172.5278
0.420059 41.776 172.4931
0.423103 41.763 172.4574
0.426169 41.751 172.4208
0.429257 41.739 172.3832
0.432368 41.726 172.3446
0.435501 41.714 172.3050
0.438656 41.701 172.2643
0.441835 41.688 172.2227
0.445037 41.676 172.1801
0.448262 41.663 172.1365
0.451510 41.650 172.0918
0.454782 41.636 172.0461
0.458077 41.623 171.9994
0.461397 41.610 171.9517
0.464740 41.597 171.9029
0.468108 41.583 171.8531
0.471500 41.570 171.8023
0.474917 41.556 171.7504
0.478358 41.542 171.6974
0.481825 41.528 171.6434
0.485316 41.514 171.5884
0.488833 41.500 171.5324
0.492375 41.486 171.4753
0.495943 41.472 171.4171
0.499537 41.457 171.3579
0.503157 41.443 171.2977
0.506803 41.428 171.2364
0.510475 41.413 171.1741
0.514175 41.399 171.1107
0.517900 41.384 171.0464
0.521653 41.369 170.9810
0.525434 41.354 170.9146
0.529241 41.338 170.8472
0.533076 41.323 170.7788
0.536939 41.307 170.7094
0.540830 41.292 170.6391
0.544749 41.276 170.5677
0.548696 41.260 170.4954
0.552673 41.244 170.4222
0.556677 41.228 170.3480
0.560711 41.212 170.2729
0.564774 41.196 170.1970
0.568867 41.180 170.1201
0.572989 41.163 170.0424
0.577141 41.146 169.9638
0.581324 41.130 169.8844
0.585536 41.113 169.8042
0.589779 41.096 169.7232
0.594053 41.079 169.6415
0.598358 41.061 169.5590
0.602694 41.044 169.4759
0.607061 41.027 169.3921
0.611460 41.009 169.3077
0.615891 40.991 169.2227
0.620354 40.973 169.1371
0.624849 40.955 169.0510
0.629377 40.937 168.9644
0.633938 40.919 168.8774
0.638532 40.901 168.7901
0.643159 40.882 168.7023
0.647819 40.863 168.6143
0.652514 40.845 168.5261
0.657242 40.826 168.4377
0.662005 40.807 168.3492
0.666802 40.787 168.2607
0.671634 40.768 168.1721
0.676501 40.748 168.0837
0.681403 40.729 167.9954
0.686341 40.709 167.9073
0.691314 40.689 167.8196
0.696324 40.669 167.7322
0.701370 40.648 167.6453
0.706452 40.628 167.5589
0.711571 40.606 167.4730
0.716728 40.584 167.3876
0.721921 40.561 167.3026
0.727153 40.536 167.2177
0.732422 40.509 167.1325
0.737729 40.480 167.0467
0.743075 40.449 166.9598
0.748460 40.417 166.8713
0.753883 40.383 166.7810
0.759346 40.349 166.6887
0.764849 40.314 166.5943
0.770391 40.279 166.4976
0.775974 40.243 166.3986
0.781597 40.207 166.2974
0.787261 40.171 166.1940
0.792966 40.135 166.0883
0.798712 40.098 165.9804
0.804500 40.061 165.8703
0.810329 40.024 165.7579
0.816201 39.986 165.6435
0.822116 39.947 165.5269
0.828073 39.908 165.4083
0.834074 39.868 165.2877
0.840118 39.828 165.1650
0.846206 39.787 165.0405
0.852338 39.745 164.9141
0.858514 39.703 164.7859
0.864735 39.659 164.6560
0.871001 39.615 164.5244
0.877313 39.569 164.3913
0.883670 39.523 164.2567
0.890074 39.475 164.1207
0.896524 39.426 163.9835
0.903020 39.375 163.8452
0.909564 39.324 163.7059
0.916155 39.270 163.5657
0.922794 39.216 163.4248
0.929481 39.159 163.2833
0.936216 39.101 163.1415
0.943000 39.041 162.9995
0.949834 38.979 162.8576
0.956717 38.914 162.7159
0.963649 38.848 162.5748
0.970632 38.779 162.4344
0.977666 38.708 162.2950
0.984750 38.635 162.1570
0.991886 38.559 162.0207
0.999074 38.480 161.8864
1.006314 38.398 161.7546
1.013606 38.313 161.6255
1.020951 38.225 161.4998
1.028349 38.134 161.3777
1.035801 38.040 161.2599
1.043307 37.941 161.1468
1.050867 37.839 161.0390
1.058482 37.733 160.9371
1.066152 37.623 160.8416
1.073878 37.508 160.7529
1.081660 37.388 160.6715
1.089498 37.263 160.5974
1.097393 37.131 160.5307
1.105345 36.992 160.4711
1.113355 36.844 160.4181
1.121423 36.689 160.3714
1.129549 36.524 160.3310
1.137734 36.349 160.2967
1.145979 36.166 160.2689
1.154283 35.974 160.2479
1.162647 35.772 160.2341
1.171072 35.563 160.2279
1.179558 35.345 160.2301
1.188106 35.119 160.2414
1.196715 34.887 160.2624
1.205387 34.648 160.2939
1.214122 34.403 160.3370
1.222920 34.152 160.3927
1.231782 33.896 160.4620
1.240708 33.636 160.5463
1.249699 33.372 160.6468
1.258754 33.106 160.7652
1.267876 32.837 160.9032
1.277063 32.567 161.0627
1.286318 32.296 161.2458
1.295639 32.025 161.4548
1.305027 31.755 161.6926
1.314484 31.487 161.9619
1.324009 31.222 162.2662
1.333604 30.962 162.6093
1.343268 30.706 162.9955
1.353002 30.456 163.4294
1.362806 30.213 163.9165
1.372681 29.979 164.4631
1.382628 29.755 165.0759
1.392647 29.542 165.7628
1.402739 29.342 166.5330
1.412904 29.155 167.3965
1.423142 28.983 168.3650
1.433455 28.828 169.4519
1.443843 28.690 170.6727
1.454305 28.569 172.0455
1.464844 28.467 173.5915
1.475459 28.383 175.3355
1.486150 28.315 177.3063
1.496920 28.265 179.5364
1.507767 28.230 -177.9386
1.518693 28.210 -175.0804
1.529698 28.205 -171.8505
1.540783 28.214 -168.2129
1.551948 28.237 -164.1392
1.563194 28.273 -159.6162
1.574521 28.322 -154.6539
1.585931 28.384 -149.2950
1.597423 28.458 -143.6204
1.608999 28.544 -137.7479
1.620658 28.641 -131.8221
1.632402 28.748 -125.9961
1.644232 28.866 -120.4097
1.656146 28.993 -115.1732
1.668147 29.129 -110.3584
1.680235 29.273 -106.0002
1.692411 29.425 -102.1029
1.704675 29.584 -98.6491
1.717028 29.749 -95.6088
1.729470 29.920 -92.9456
1.742003 30.095 -90.6214
1.754626 30.275 -88.5992
1.767341 30.459 -86.8448
1.780147 30.646 -85.3271
1.793047 30.836 -84.0181
1.806040 31.031 -82.8930
1.819128 31.232 -81.9297
1.832310 31.439 -81.1084
1.845587 31.656 -80.4113
1.858961 31.885 -79.8232
1.872432 32.126 -79.3311
1.886001 32.380 -78.9238
1.899667 32.647 -78.5920
1.913433 32.926 -78.3277
1.927299 33.217 -78.1237
1.941265 33.518 -77.9742
1.955332 33.828 -77.8734
1.969501 34.146 -77.8168
1.983773 34.469 -77.8002
1.998148 34.798 -77.8197
2.012627 35.128 -77.8722
2.027212 35.461 -77.9547
2.041902 35.792 -78.0649
2.056698 36.121 -78.2004
2.071602 36.446 -78.3595
2.086614 36.766 -78.5406
2.101734 37.077 -78.7423
2.116964 37.379 -78.9639
2.132304 37.670 -79.2047
2.147756 37.948 -79.4645
2.163320 38.213 -79.7438
2.178996 38.464 -80.0435
2.194786 38.700 -80.3651
2.210690 38.924 -80.7099
2.226710 39.135 -81.0793
2.242845 39.334 -81.4734
2.259098 39.523 -81.8914
2.275468 39.702 -82.3318
2.291957 39.872 -82.7924
2.308566 40.033 -83.2708
2.325295 40.186 -83.7646
2.342145 40.332 -84.2714
2.359117 40.470 -84.7887
2.376212 40.601 -85.3143
2.393431 40.726 -85.8462
2.410775 40.845 -86.3824
2.428244 40.959 -86.9211
2.445840 41.069 -87.4608
2.463564 41.174 -88.0005
2.481416 41.275 -88.5391
2.499397 41.374 -89.0767
2.517509 41.469 -89.6137
2.535752 41.562 -90.1521
2.554127 41.652 -90.6948
2.572635 41.738 -91.2458
2.591277 41.820 -91.8096
2.610055 41.898 -92.3892
2.628968 41.971 -92.9865
2.648019 42.039 -93.6014
2.667208 42.101 -94.2329
2.686535 42.157 -94.8788
2.706003 42.208 -95.5363
2.725612 42.253 -96.2025
2.745363 42.292 -96.8741
2.765257 42.325 -97.5476
2.785295 42.353 -98.2197
2.805478 42.375 -98.8871
2.825808 42.391 -99.5467
2.846285 42.401 -100.1959
2.866910 42.406 -100.8331
2.887685 42.406 -101.4578
2.908611 42.399 -102.0713
2.929688 42.387 -102.6770
2.950917 42.370 -103.2797
2.972301 42.346 -103.8843
2.993839 42.316 -104.4947
3.015534 42.280 -105.1124
3.037386 42.237 -105.7374
3.059396 42.187 -106.3680
3.081565 42.130 -107.0013
3.103896 42.065 -107.6332
3.126388 41.992 -108.2592
3.149043 41.910 -108.8740
3.171862 41.819 -109.4719
3.194847 41.719 -110.0471
3.217998 41.609 -110.5938
3.241317 41.488 -111.1069
3.264805 41.356 -111.5829
3.288463 41.212 -112.0200
3.312293 41.055 -112.4185
3.336295 40.886 -112.7802
3.360471 40.704 -113.1061
3.384822 40.509 -113.3961
3.409350 40.301 -113.6479
3.434056 40.081 -113.8574
3.458940 39.850 -114.0181
3.484005 39.609 -114.1219
3.509252 39.359 -114.1589
3.534681 39.100 -114.1168
3.560295 38.834 -113.9817
3.586094 38.560 -113.7375
3.612081 38.278 -113.3662
3.638255 37.986 -112.8477
3.664620 37.683 -112.1599
3.691175 37.364 -111.2789
3.717923 37.028 -110.1795
3.744864 36.674 -108.8344
3.772001 36.307 -107.2152
3.799335 35.930 -105.2932
3.826866 35.552 -103.0407
3.854597 35.182 -100.4340
3.882529 34.833 -97.4568
3.910664 34.517 -94.1057
3.939002 34.249 -90.3942
3.967546 34.043 -86.3575
3.996296 33.912 -82.0526
4.025255 33.865 -77.5560
4.054423 33.908 -72.9597
4.083804 34.040 -68.3666
4.113396 34.252 -63.8841
4.143204 34.535 -59.6132
4.173227 34.875 -55.6373
4.203468 35.257 -52.0149
4.233928 35.667 -48.7776
4.264609 36.092 -45.9336
4.295512 36.521 -43.4732
4.326639 36.945 -41.3749
4.357992 37.361 -39.6102
4.389572 37.765 -38.1472
4.421380 38.161 -36.9534
4.453419 38.549 -35.9965
4.485691 38.932 -35.2461
4.518196 39.310 -34.6739
4.550936 39.682 -34.2543
4.583914 40.047 -33.9644
4.617131 40.401 -33.7847
4.650589 40.743 -33.6991
4.684289 41.070 -33.6950
4.718233 41.379 -33.7638
4.752424 41.670 -33.8997
4.786862 41.942 -34.0996
4.821549 42.196 -34.3597
4.856488 42.432 -34.6746
4.891680 42.651 -35.0358
4.927127 42.855 -35.4332
4.962831 43.046 -35.8559
4.998794 43.224 -36.2934
5.035017 43.390 -36.7369
5.071503 43.546 -37.1804
5.108253 43.691 -37.6208
5.145270 43.826 -38.0585
5.182555 43.950 -38.4950
5.220110 44.064 -38.9309
5.257937 44.166 -39.3647
5.296038 44.259 -39.7919
5.334415 44.343 -40.2065
5.373071 44.419 -40.6017
5.412006 44.488 -40.9708
5.451224 44.551 -41.3087
5.490725 44.607 -41.6125
5.530514 44.658 -41.8814
5.570590 44.703 -42.1162
5.610957 44.742 -42.3178
5.651616 44.776 -42.4867
5.692570 44.807 -42.6223
5.733821 44.835 -42.7236
5.775370 44.861 -42.7887
5.817221 44.887 -42.8158
5.859375 44.914 -42.8035
5.901834 44.941 -42.7511
5.944602 44.969 -42.6599
5.987679 44.998 -42.5329
6.031068 45.029 -42.3745
6.074771 45.062 -42.1904
6.118792 45.099 -41.9862
6.163131 45.139 -41.7670
6.207792 45.185 -41.5366
6.252776 45.235 -41.2974
6.298086 45.290 -41.0518
6.343725 45.351 -40.8032
6.389694 45.416 -40.5563
6.435996 45.485 -40.3176
6.482634 45.558 -40.0939
6.529610 45.634 -39.8912
6.576926 45.713 -39.7141
6.624585 45.795 -39.5654
6.672590 45.880 -39.4460
