* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level 0,0 dBFS, measurement signal peak level zero
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 08.07.2023 16:21:47
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: EPZ Q1
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 119.848 60.9567
20.523834 119.938 59.9955
20.860291 120.014 59.0695
21.196747 120.086 58.1759
21.533203 120.159 57.3002
21.869659 120.233 56.4248
22.206116 120.307 55.5407
22.542572 120.375 54.6564
22.879028 120.435 53.7947
23.215485 120.489 52.9788
23.551941 120.539 52.2135
23.888397 120.590 51.4774
24.224854 120.645 50.7329
24.561310 120.701 49.9507
24.897766 120.753 49.1320
25.234222 120.799 48.3121
25.570679 120.840 47.5398
25.907135 120.882 46.8465
26.243591 120.930 46.2242
26.580048 120.987 45.6300
26.916504 121.049 45.0142
27.252960 121.107 44.3532
27.589417 121.153 43.6612
27.925873 121.185 42.9756
28.262329 121.209 42.3278
28.598785 121.230 41.7202
28.935242 121.254 41.1282
29.271698 121.283 40.5224
29.608154 121.313 39.8950
29.944611 121.340 39.2676
30.281067 121.365 38.6763
30.617523 121.390 38.1445
30.953979 121.417 37.6666
31.290436 121.449 37.2123
31.626892 121.482 36.7490
31.963348 121.511 36.2625
32.299805 121.535 35.7614
32.636261 121.552 35.2630
32.972717 121.568 34.7753
33.309174 121.584 34.2899
33.645630 121.602 33.7906
33.982086 121.622 33.2697
34.318542 121.639 32.7370
34.654999 121.654 32.2137
34.991455 121.668 31.7173
35.327911 121.684 31.2491
35.664368 121.702 30.7968
36.000824 121.721 30.3467
36.337280 121.738 29.8960
36.673737 121.753 29.4537
37.010193 121.764 29.0299
37.346649 121.775 28.6238
37.683105 121.786 28.2217
38.019562 121.797 27.8069
38.356018 121.806 27.3744
38.692474 121.810 26.9366
39.028931 121.812 26.5145
39.365387 121.814 26.1214
39.701843 121.820 25.7515
40.038300 121.832 25.3836
40.374756 121.848 24.9983
40.711212 121.862 24.5936
41.047668 121.872 24.1881
41.384125 121.876 23.8082
41.720581 121.878 23.4677
42.057037 121.881 23.1575
42.393494 121.888 22.8499
42.729950 121.897 22.5169
43.066406 121.906 22.1483
43.402863 121.911 21.7568
43.739319 121.913 21.3679
44.075775 121.913 21.0030
44.412231 121.915 20.6669
44.748688 121.919 20.3472
45.085144 121.925 20.0261
45.421600 121.931 19.6927
45.758057 121.933 19.3510
46.094513 121.930 19.0157
46.430969 121.925 18.7019
46.767426 121.921 18.4147
47.103882 121.921 18.1445
47.440338 121.928 17.8708
47.776794 121.940 17.5727
48.113251 121.953 17.2403
48.449707 121.963 16.8804
48.786163 121.966 16.5148
49.122620 121.961 16.1714
49.459076 121.952 15.8707
49.795532 121.940 15.6167
50.131989 121.931 15.3940
50.468445 121.927 15.1761
50.804901 121.925 14.9392
51.141357 121.925 14.6744
51.477814 121.923 14.3908
51.814270 121.918 14.1080
52.150726 121.912 13.8428
52.487183 121.908 13.5993
52.823639 121.906 13.3673
53.160095 121.906 13.1312
53.496552 121.906 12.8815
53.833008 121.904 12.6214
54.169464 121.899 12.3638
54.505920 121.892 12.1216
54.842377 121.886 11.8968
55.178833 121.884 11.6785
55.515289 121.884 11.4492
55.851746 121.886 11.1959
56.188202 121.886 10.9189
56.524658 121.882 10.6320
56.861115 121.875 10.3547
57.197571 121.865 10.1024
57.534027 121.854 9.8800
57.870483 121.845 9.6827
58.206940 121.839 9.5013
58.543396 121.835 9.3278
58.879852 121.831 9.1573
59.216309 121.829 8.9862
59.552765 121.826 8.8086
59.889221 121.824 8.6171
60.225677 121.819 8.4064
60.562134 121.812 8.1773
60.898590 121.801 7.9387
61.235046 121.788 7.7036
61.571503 121.774 7.4830
61.907959 121.762 7.2800
62.244415 121.753 7.0889
62.580872 121.748 6.9000
62.917328 121.745 6.7056
63.253784 121.744 6.5038
63.590240 121.741 6.2982
63.926697 121.738 6.0934
64.263153 121.733 5.8916
64.599609 121.727 5.6916
64.936066 121.721 5.4919
65.272522 121.713 5.2937
65.608978 121.703 5.1020
65.945435 121.693 4.9223
66.281891 121.682 4.7567
66.618347 121.673 4.6009
66.954803 121.665 4.4461
67.291260 121.658 4.2832
67.627716 121.651 4.1079
67.964172 121.643 3.9224
68.300629 121.633 3.7335
68.637085 121.623 3.5485
68.973541 121.613 3.3715
69.309998 121.603 3.2029
69.646454 121.594 3.0405
69.982910 121.586 2.8822
70.319366 121.577 2.7268
70.655823 121.568 2.5736
70.992279 121.559 2.4211
71.328735 121.550 2.2672
71.665192 121.542 2.1097
72.001648 121.534 1.9483
72.338104 121.526 1.7855
72.674561 121.518 1.6254
73.011017 121.510 1.4718
73.347473 121.501 1.3259
73.683929 121.493 1.1864
74.020386 121.484 1.0505
74.356842 121.473 0.9157
74.693298 121.462 0.7809
75.029755 121.449 0.6462
75.366211 121.437 0.5104
75.702667 121.426 0.3713
76.039124 121.417 0.2258
76.375580 121.409 0.0727
76.712036 121.401 -0.0852
77.048492 121.393 -0.2405
77.384949 121.383 -0.3848
77.721405 121.372 -0.5123
78.057861 121.361 -0.6240
78.394318 121.351 -0.7273
78.730774 121.341 -0.8326
79.067230 121.331 -0.9478
79.403687 121.320 -1.0742
79.740143 121.309 -1.2071
80.076599 121.297 -1.3389
80.413055 121.286 -1.4645
80.749512 121.275 -1.5835
81.085968 121.265 -1.6991
81.422424 121.255 -1.8138
81.758881 121.244 -1.9268
82.095337 121.232 -2.0345
82.431793 121.219 -2.1335
82.768250 121.207 -2.2253
83.104706 121.197 -2.3162
83.441162 121.189 -2.4138
83.777618 121.181 -2.5213
84.114075 121.173 -2.6340
84.450531 121.164 -2.7418
84.786987 121.154 -2.8363
85.123444 121.144 -2.9169
85.459900 121.137 -2.9930
85.796356 121.131 -3.0777
86.132812 121.126 -3.1800
86.469269 121.119 -3.2990
86.805725 121.110 -3.4246
87.142181 121.101 -3.5454
87.478638 121.091 -3.6560
87.815094 121.083 -3.7595
88.151550 121.077 -3.8626
88.488007 121.070 -3.9684
88.824463 121.061 -4.0725
89.160919 121.052 -4.1671
89.497375 121.042 -4.2485
89.833832 121.035 -4.3240
90.170288 121.030 -4.4088
90.506744 121.027 -4.5166
90.843201 121.022 -4.6481
91.179657 121.013 -4.7883
91.516113 121.001 -4.9138
91.852570 120.986 -5.0071
92.189026 120.972 -5.0679
92.525482 120.961 -5.1135
92.861938 120.953 -5.1670
93.198395 120.946 -5.2438
93.534851 120.937 -5.3429
93.871307 120.926 -5.4514
94.207764 120.913 -5.5557
94.544220 120.901 -5.6516
94.880676 120.892 -5.7465
95.217133 120.884 -5.8507
95.553589 120.877 -5.9681
95.890045 120.868 -6.0909
96.226501 120.855 -6.2042
96.562958 120.840 -6.2963
96.899414 120.825 -6.3662
97.235870 120.813 -6.4241
97.572327 120.803 -6.4847
97.908783 120.794 -6.5579
98.245239 120.785 -6.6444
98.581696 120.776 -6.7374
98.918152 120.766 -6.8286
99.254608 120.756 -6.9131
99.591064 120.747 -6.9904
99.927521 120.737 -7.0630
100.263977 120.728 -7.1334
100.600433 120.719 -7.2037
100.936890 120.710 -7.2764
101.273346 120.701 -7.3541
101.609802 120.692 -7.4386
101.946259 120.681 -7.5278
102.282715 120.670 -7.6159
102.619171 120.658 -7.6958
102.955627 120.645 -7.7634
103.292084 120.635 -7.8208
103.628540 120.625 -7.8757
103.964996 120.617 -7.9366
104.301453 120.609 -8.0078
104.637909 120.601 -8.0872
104.974365 120.590 -8.1684
105.310822 120.579 -8.2448
105.647278 120.568 -8.3132
105.983734 120.557 -8.3742
106.320190 120.547 -8.4304
106.656647 120.539 -8.4846
106.993103 120.531 -8.5398
107.329559 120.523 -8.5995
107.666016 120.516 -8.6677
108.002472 120.508 -8.7466
108.338928 120.498 -8.8331
108.675385 120.485 -8.9178
109.011841 120.472 -8.9890
109.348297 120.458 -9.0394
109.684753 120.447 -9.0720
110.021210 120.439 -9.1005
110.357666 120.435 -9.1429
110.694122 120.432 -9.2107
111.030579 120.426 -9.3021
111.367035 120.416 -9.4028
111.703491 120.403 -9.4939
112.039948 120.388 -9.5633
112.376404 120.374 -9.6122
112.712860 120.363 -9.6526
113.049316 120.356 -9.6999
113.385773 120.350 -9.7627
113.722229 120.344 -9.8390
114.058685 120.336 -9.9185
114.395142 120.327 -9.9904
114.731598 120.316 -10.0493
115.068054 120.306 -10.0979
115.404510 120.297 -10.1432
115.740967 120.288 -10.1922
116.077423 120.279 -10.2479
116.413879 120.269 -10.3091
116.750336 120.258 -10.3728
117.086792 120.247 -10.4368
117.423248 120.236 -10.5005
117.759705 120.226 -10.5639
118.096161 120.215 -10.6254
118.432617 120.205 -10.6822
118.769073 120.194 -10.7312
119.105530 120.184 -10.7710
119.441986 120.174 -10.8040
119.778442 120.166 -10.8359
120.114899 120.159 -10.8731
120.451355 120.151 -10.9202
120.787811 120.143 -10.9768
121.124268 120.133 -11.0381
121.460724 120.121 -11.0968
121.797180 120.109 -11.1465
122.133636 120.097 -11.1853
122.470093 120.086 -11.2168
122.806549 120.076 -11.2480
123.143005 120.068 -11.2862
123.479462 120.059 -11.3343
123.815918 120.050 -11.3902
124.152374 120.040 -11.4485
124.488831 120.030 -11.5039
124.825287 120.020 -11.5549
125.161743 120.011 -11.6038
125.498199 120.003 -11.6542
125.834656 119.995 -11.7075
126.171112 119.985 -11.7601
126.507568 119.974 -11.8062
126.844025 119.962 -11.8410
127.180481 119.950 -11.8655
127.516937 119.939 -11.8864
127.853394 119.930 -11.9131
128.189850 119.921 -11.9519
128.526306 119.912 -12.0026
128.862762 119.903 -12.0589
129.199219 119.894 -12.1129
129.535675 119.885 -12.1594
129.872131 119.877 -12.1983
130.208588 119.869 -12.2329
130.545044 119.861 -12.2661
130.881500 119.851 -12.2983
131.217957 119.840 -12.3275
131.554413 119.829 -12.3527
131.890869 119.817 -12.3762
132.227325 119.807 -12.4038
132.563782 119.798 -12.4412
132.900238 119.790 -12.4902
133.236694 119.782 -12.5467
133.573151 119.773 -12.6026
133.909607 119.764 -12.6501
134.246063 119.754 -12.6861
134.582520 119.745 -12.7134
134.918976 119.737 -12.7385
135.255432 119.729 -12.7674
135.591888 119.720 -12.8022
135.928345 119.709 -12.8408
136.264801 119.699 -12.8785
136.601257 119.688 -12.9113
136.937714 119.678 -12.9384
137.274170 119.671 -12.9622
137.610626 119.665 -12.9871
137.947083 119.660 -13.0171
138.283539 119.654 -13.0538
138.619995 119.647 -13.0949
138.956451 119.638 -13.1356
139.292908 119.626 -13.1703
139.629364 119.613 -13.1951
139.965820 119.599 -13.2106
140.302277 119.587 -13.2225
140.638733 119.577 -13.2386
140.975189 119.568 -13.2657
141.311646 119.561 -13.3055
141.648102 119.553 -13.3532
141.984558 119.544 -13.4003
142.321014 119.535 -13.4392
142.657471 119.527 -13.4670
142.993927 119.518 -13.4875
143.330383 119.510 -13.5068
143.666840 119.501 -13.5296
144.003296 119.490 -13.5548
144.339752 119.478 -13.5768
144.676208 119.465 -13.5902
145.012665 119.453 -13.5945
145.349121 119.443 -13.5969
145.685577 119.437 -13.6087
146.022034 119.434 -13.6394
146.358490 119.430 -13.6898
146.694946 119.424 -13.7516
147.031403 119.416 -13.8104
147.367859 119.405 -13.8538
147.704315 119.394 -13.8768
148.040771 119.383 -13.8835
148.377228 119.374 -13.8843
148.713684 119.365 -13.8892
149.050140 119.358 -13.9036
149.386597 119.349 -13.9271
149.723053 119.341 -13.9555
150.059509 119.332 -13.9843
150.395966 119.323 -14.0114
150.732422 119.314 -14.0368
151.068878 119.306 -14.0614
151.405334 119.298 -14.0854
151.741791 119.289 -14.1077
152.078247 119.280 -14.1271
152.414703 119.271 -14.1429
152.751160 119.261 -14.1561
153.087616 119.252 -14.1684
153.424072 119.243 -14.1819
153.760529 119.235 -14.1979
154.096985 119.227 -14.2169
154.433441 119.219 -14.2387
154.769897 119.211 -14.2627
