* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -51,6 dBFS, measurement signal peak level -11,9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 30.07.2024 14:20:01
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0,1086 ms (37 mm, 1,47 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: stock
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 114.793 -129.4476
20.333664 114.805 -129.6486
20.481010 114.822 -129.9426
20.629424 114.843 -130.3038
20.778913 114.866 -130.7100
20.929486 114.890 -131.1451
21.081150 114.915 -131.5982
21.233912 114.940 -132.0621
21.387782 114.964 -132.5324
21.542767 114.988 -133.0057
21.698874 115.011 -133.4795
21.856113 115.034 -133.9521
22.014492 115.057 -134.4219
22.174018 115.079 -134.8880
22.334700 115.102 -135.3499
22.496546 115.124 -135.8077
22.659566 115.146 -136.2618
22.823766 115.168 -136.7133
22.989157 115.191 -137.1634
23.155745 115.212 -137.6134
23.323542 115.234 -138.0646
23.492554 115.255 -138.5180
23.662790 115.275 -138.9742
23.834261 115.294 -139.4335
24.006973 115.313 -139.8953
24.180938 115.330 -140.3591
24.356163 115.346 -140.8236
24.532658 115.361 -141.2877
24.710431 115.375 -141.7503
24.889493 115.389 -142.2101
25.069853 115.403 -142.6667
25.251519 115.416 -143.1196
25.434502 115.430 -143.5688
25.618811 115.444 -144.0148
25.804456 115.458 -144.4579
25.991445 115.472 -144.8987
26.179790 115.486 -145.3378
26.369500 115.499 -145.7754
26.560584 115.512 -146.2117
26.753053 115.525 -146.6467
26.946917 115.537 -147.0802
27.142185 115.548 -147.5121
27.338869 115.558 -147.9424
27.536977 115.567 -148.3712
27.736522 115.576 -148.7990
27.937512 115.585 -149.2263
28.139959 115.593 -149.6539
28.343872 115.601 -150.0822
28.549264 115.609 -150.5117
28.756143 115.617 -150.9425
28.964522 115.624 -151.3740
29.174411 115.632 -151.8054
29.385821 115.639 -152.2355
29.598763 115.645 -152.6630
29.813248 115.651 -153.0866
30.029287 115.656 -153.5056
30.246891 115.661 -153.9194
30.466073 115.666 -154.3285
30.686842 115.670 -154.7336
30.909212 115.674 -155.1361
31.133193 115.677 -155.5376
31.358797 115.680 -155.9394
31.586035 115.682 -156.3426
31.814921 115.683 -156.7478
32.045465 115.684 -157.1549
32.277680 115.684 -157.5632
32.511577 115.684 -157.9721
32.747169 115.683 -158.3805
32.984469 115.682 -158.7877
33.223488 115.682 -159.1934
33.464239 115.681 -159.5972
33.706735 115.681 -159.9993
33.950987 115.680 -160.3996
34.197010 115.680 -160.7977
34.444816 115.679 -161.1931
34.694417 115.677 -161.5847
34.945827 115.674 -161.9716
35.199059 115.671 -162.3531
35.454126 115.666 -162.7294
35.711041 115.661 -163.1013
35.969818 115.655 -163.4703
36.230470 115.649 -163.8387
36.493011 115.643 -164.2085
36.757455 115.637 -164.5811
37.023814 115.630 -164.9573
37.292104 115.623 -165.3366
37.562338 115.616 -165.7175
37.834530 115.608 -166.0982
38.108695 115.600 -166.4769
38.384846 115.592 -166.8520
38.662999 115.583 -167.2225
38.943167 115.574 -167.5883
39.225365 115.566 -167.9497
39.509608 115.556 -168.3072
39.795911 115.547 -168.6619
40.084289 115.537 -169.0149
40.374756 115.527 -169.3671
40.667328 115.516 -169.7191
40.962020 115.505 -170.0708
41.258848 115.493 -170.4213
41.557827 115.481 -170.7691
41.858972 115.469 -171.1123
42.162299 115.456 -171.4496
42.467824 115.444 -171.7810
42.775564 115.433 -172.1078
43.085533 115.421 -172.4326
43.397749 115.410 -172.7582
43.712227 115.398 -173.0865
44.028983 115.385 -173.4177
44.348036 115.372 -173.7505
44.669400 115.357 -174.0826
44.993093 115.342 -174.4115
45.319131 115.327 -174.7355
45.647532 115.312 -175.0534
45.978313 115.297 -175.3638
46.311491 115.281 -175.6652
46.647083 115.265 -175.9559
46.985107 115.248 -176.2357
47.325581 115.232 -176.5074
47.668521 115.215 -176.7773
48.013947 115.199 -177.0539
48.361876 115.183 -177.3457
48.712326 115.167 -177.6573
49.065315 115.150 -177.9871
49.420863 115.132 -178.3280
49.778987 115.112 -178.6700
50.139706 115.091 -179.0033
50.503039 115.071 -179.3223
50.869005 115.051 -179.6259
51.237623 115.032 -179.9168
51.608912 115.013 179.8010
51.982891 114.993 179.5235
52.359580 114.973 179.2480
52.739000 114.952 178.9725
53.121168 114.931 178.6960
53.506106 114.910 178.4181
53.893833 114.888 178.1390
54.284370 114.867 177.8603
54.677737 114.845 177.5840
55.073955 114.824 177.3118
55.473043 114.802 177.0446
55.875024 114.780 176.7820
56.279917 114.758 176.5233
56.687745 114.735 176.2678
57.098527 114.712 176.0151
57.512287 114.688 175.7649
57.929045 114.665 175.5168
58.348822 114.641 175.2698
58.771642 114.618 175.0227
59.197525 114.595 174.7748
59.626495 114.573 174.5261
60.058573 114.551 174.2774
60.493782 114.529 174.0298
60.932145 114.507 173.7840
61.373685 114.484 173.5403
61.818424 114.461 173.2990
62.266386 114.437 173.0602
62.717593 114.412 172.8246
63.172071 114.387 172.5928
63.629842 114.360 172.3654
64.090930 114.333 172.1428
64.555359 114.305 171.9250
65.023154 114.278 171.7117
65.494339 114.251 171.5021
65.968938 114.224 171.2948
66.446976 114.197 171.0888
66.928478 114.170 170.8832
67.413469 114.143 170.6779
67.901975 114.117 170.4728
68.394021 114.090 170.2684
68.889632 114.064 170.0650
69.388835 114.037 169.8631
69.891655 114.011 169.6631
70.398118 113.984 169.4654
70.908252 113.956 169.2698
71.422083 113.929 169.0764
71.939636 113.901 168.8852
72.460941 113.872 168.6967
72.986023 113.844 168.5109
73.514909 113.816 168.3281
74.047629 113.787 168.1478
74.584208 113.759 167.9697
75.124676 113.731 167.7938
75.669061 113.703 167.6197
76.217390 113.674 167.4476
76.769692 113.646 167.2774
77.325997 113.617 167.1091
77.886333 113.588 166.9425
78.450730 113.559 166.7776
79.019216 113.530 166.6144
79.591822 113.501 166.4534
80.168577 113.472 166.2946
80.749512 113.443 166.1379
81.334656 113.414 165.9830
81.924040 113.385 165.8299
82.517696 113.355 165.6790
83.115653 113.326 165.5311
83.717943 113.296 165.3869
84.324598 113.266 165.2470
84.935649 113.236 165.1111
85.551128 113.206 164.9784
86.171066 113.175 164.8474
86.795497 113.145 164.7170
87.424453 113.114 164.5869
88.057967 113.083 164.4571
88.696071 113.052 164.3277
89.338800 113.021 164.1986
89.986185 112.990 164.0696
90.638262 112.960 163.9413
91.295065 112.931 163.8149
91.956626 112.902 163.6914
92.622982 112.873 163.5710
93.294166 112.845 163.4535
93.970214 112.815 163.3391
94.651161 112.785 163.2274
95.337042 112.755 163.1175
96.027894 112.724 163.0082
96.723752 112.694 162.8993
97.424652 112.663 162.7916
98.130631 112.632 162.6870
98.841726 112.602 162.5869
99.557974 112.571 162.4915
100.279412 112.540 162.4001
101.006078 112.508 162.3120
101.738010 112.477 162.2267
102.475245 112.445 162.1440
103.217823 112.414 162.0657
103.965782 112.382 161.9945
104.719161 112.351 161.9319
105.477999 112.320 161.8755
106.242336 112.289 161.8190
107.012212 112.257 161.7546
107.787666 112.226 161.6769
108.568740 112.195 161.5871
109.355474 112.165 161.4926
110.147909 112.136 161.4029
110.946086 112.106 161.3243
111.750047 112.077 161.2571
112.559834 112.047 161.1964
113.375489 112.017 161.1374
114.197055 111.987 161.0790
115.024574 111.958 161.0228
115.858089 111.930 160.9692
116.697645 111.903 160.9175
117.543284 111.877 160.8674
118.395051 111.850 160.8195
119.252990 111.822 160.7739
120.117147 111.794 160.7297
120.987565 111.765 160.6858
121.864291 111.736 160.6412
122.747370 111.708 160.5955
123.636848 111.680 160.5488
124.532771 111.652 160.5014
125.435187 111.624 160.4543
126.344142 111.595 160.4080
127.259684 111.567 160.3621
128.181860 111.539 160.3169
129.110718 111.511 160.2727
130.046308 111.483 160.2306
130.988677 111.455 160.1914
131.937875 111.426 160.1557
132.893951 111.397 160.1238
133.856956 111.368 160.0959
134.826938 111.337 160.0718
135.803950 111.307 160.0511
136.788041 111.276 160.0334
137.779264 111.245 160.0181
138.777669 111.215 160.0052
139.783309 111.185 159.9944
140.796237 111.155 159.9855
141.816504 111.125 159.9786
142.844165 111.095 159.9743
143.879273 111.065 159.9737
144.921881 111.035 159.9774
145.972045 111.005 159.9857
147.029819 110.975 159.9983
148.095257 110.944 160.0154
149.168417 110.914 160.0370
150.249353 110.885 160.0632
151.338121 110.856 160.0945
152.434780 110.828 160.1315
153.539385 110.801 160.1746
154.651995 110.774 160.2234
155.772667 110.748 160.2772
156.901460 110.722 160.3368
158.038432 110.696 160.4044
159.183644 110.671 160.4828
160.337154 110.646 160.5735
161.499023 110.621 160.6758
162.669312 110.597 160.7873
163.848081 110.575 160.9055
165.035392 110.555 161.0288
166.231306 110.538 161.1555
167.435887 110.524 161.2835
168.649196 110.513 161.4094
169.871298 110.506 161.5275
171.102255 110.502 161.6307
172.342133 110.502 161.7133
173.590995 110.505 161.7716
174.848907 110.509 161.8046
176.115934 110.514 161.8142
177.392143 110.519 161.8030
178.677599 110.523 161.7722
179.972371 110.524 161.7225
181.276525 110.523 161.6553
182.590129 110.520 161.5736
183.913252 110.513 161.4814
185.245964 110.504 161.3828
186.588332 110.492 161.2811
187.940428 110.477 161.1788
189.302322 110.461 161.0776
190.674085 110.444 160.9785
192.055788 110.425 160.8828
193.447503 110.405 160.7922
194.849303 110.385 160.7087
196.261262 110.364 160.6339
197.683452 110.342 160.5685
199.115948 110.320 160.5124
200.558824 110.297 160.4651
202.012156 110.273 160.4255
203.476019 110.249 160.3926
204.950490 110.224 160.3652
206.435646 110.200 160.3427
207.931564 110.175 160.3248
209.438322 110.150 160.3115
210.955998 110.125 160.3028
212.484672 110.101 160.2984
214.024424 110.076 160.2981
215.575333 110.052 160.3011
217.137481 110.028 160.3069
218.710948 110.004 160.3156
220.295818 109.980 160.3276
221.892172 109.957 160.3439
223.500094 109.934 160.3647
225.119668 109.912 160.3903
226.750978 109.890 160.4200
228.394109 109.868 160.4535
230.049147 109.847 160.4903
231.716178 109.826 160.5301
233.395289 109.806 160.5723
235.086567 109.787 160.6168
236.790102 109.768 160.6633
238.505980 109.750 160.7119
240.234293 109.733 160.7620
241.975130 109.716 160.8124
243.728581 109.701 160.8617
245.494739 109.686 160.9085
247.273695 109.672 160.9517
249.065542 109.659 160.9906
250.870374 109.647 161.0247
252.688284 109.635 161.0537
254.519367 109.623 161.0771
256.363720 109.611 161.0950
258.221437 109.598 161.1078
260.092616 109.586 161.1167
261.977354 109.572 161.1228
263.875750 109.559 161.1276
265.787903 109.544 161.1320
267.713911 109.529 161.1371
269.653877 109.514 161.1439
271.607900 109.498 161.1527
273.576083 109.483 161.1636
275.558528 109.466 161.1764
277.555338 109.450 161.1909
279.566619 109.434 161.2071
281.592474 109.418 161.2250
283.633009 109.402 161.2446
285.688331 109.386 161.2659
287.758546 109.370 161.2886
289.843763 109.354 161.3131
291.944090 109.338 161.3394
294.059638 109.322 161.3673
296.190515 109.307 161.3968
298.336833 109.291 161.4274
300.498705 109.275 161.4590
302.676243 109.260 161.4916
304.869559 109.244 161.5255
307.078770 109.229 161.5610
309.303989 109.214 161.5982
311.545334 109.199 161.6375
313.802919 109.184 161.6790
316.076865 109.170 161.7226
318.367288 109.156 161.7684
320.674309 109.142 161.8167
322.998047 109.128 161.8672
325.338624 109.115 161.9200
327.696162 109.102 161.9745
330.070783 109.090 162.0301
332.462612 109.078 162.0863
334.871773 109.067 162.1427
337.298392 109.056 162.1989
339.742595 109.047 162.2546
342.204510 109.037 162.3097
344.684265 109.029 162.3635
347.181989 109.021 162.4154
349.697813 109.014 162.4648
352.231868 109.007 162.5114
354.784285 109.000 162.5547
357.355198 108.994 162.5945
359.944741 108.988 162.6307
362.553049 108.982 162.6632
365.180258 108.976 162.6920
367.826505 108.970 162.7172
370.491927 108.963 162.7394
373.176665 108.957 162.7594
