* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -51,7 dBFS, measurement signal peak level -12,2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 30.07.2024 14:20:24
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0,1163 ms (40 mm, 1,57 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: M100
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 114.084 -131.9607
20.333664 114.094 -132.1637
20.481010 114.108 -132.4597
20.629424 114.126 -132.8215
20.778913 114.146 -133.2262
20.929486 114.167 -133.6571
21.081150 114.188 -134.1036
21.233912 114.210 -134.5592
21.387782 114.232 -135.0207
21.542767 114.255 -135.4861
21.698874 114.278 -135.9547
21.856113 114.300 -136.4259
22.014492 114.323 -136.8991
22.174018 114.345 -137.3740
22.334700 114.367 -137.8496
22.496546 114.389 -138.3252
22.659566 114.410 -138.7996
22.823766 114.430 -139.2719
22.989157 114.449 -139.7412
23.155745 114.467 -140.2067
23.323542 114.485 -140.6680
23.492554 114.502 -141.1253
23.662790 114.518 -141.5789
23.834261 114.534 -142.0296
24.006973 114.551 -142.4787
24.180938 114.567 -142.9272
24.356163 114.583 -143.3766
24.532658 114.598 -143.8276
24.710431 114.614 -144.2809
24.889493 114.629 -144.7365
25.069853 114.644 -145.1937
25.251519 114.657 -145.6515
25.434502 114.670 -146.1083
25.618811 114.682 -146.5624
25.804456 114.692 -147.0120
25.991445 114.702 -147.4560
26.179790 114.711 -147.8934
26.369500 114.719 -148.3244
26.560584 114.727 -148.7496
26.753053 114.734 -149.1706
26.946917 114.741 -149.5894
27.142185 114.748 -150.0083
27.338869 114.755 -150.4298
27.536977 114.761 -150.8555
27.736522 114.767 -151.2868
27.937512 114.773 -151.7239
28.139959 114.778 -152.1660
28.343872 114.782 -152.6117
28.549264 114.786 -153.0585
28.756143 114.789 -153.5036
28.964522 114.792 -153.9444
29.174411 114.795 -154.3781
29.385821 114.798 -154.8031
29.598763 114.801 -155.2184
29.813248 114.805 -155.6238
30.029287 114.809 -156.0206
30.246891 114.814 -156.4105
30.466073 114.818 -156.7962
30.686842 114.823 -157.1803
30.909212 114.827 -157.5656
31.133193 114.830 -157.9544
31.358797 114.831 -158.3480
31.586035 114.832 -158.7470
31.814921 114.831 -159.1507
32.045465 114.828 -159.5579
32.277680 114.825 -159.9666
32.511577 114.821 -160.3749
32.747169 114.816 -160.7811
32.984469 114.813 -161.1846
33.223488 114.810 -161.5855
33.464239 114.808 -161.9849
33.706735 114.807 -162.3840
33.950987 114.806 -162.7837
34.197010 114.804 -163.1839
34.444816 114.801 -163.5833
34.694417 114.797 -163.9793
34.945827 114.790 -164.3689
35.199059 114.782 -164.7497
35.454126 114.773 -165.1207
35.711041 114.765 -165.4828
35.969818 114.757 -165.8391
36.230470 114.751 -166.1935
36.493011 114.746 -166.5500
36.757455 114.742 -166.9106
37.023814 114.738 -167.2758
37.292104 114.734 -167.6439
37.562338 114.728 -168.0124
37.834530 114.722 -168.3795
38.108695 114.714 -168.7449
38.384846 114.706 -169.1100
38.662999 114.696 -169.4769
38.943167 114.685 -169.8470
39.225365 114.674 -170.2195
39.509608 114.662 -170.5919
39.795911 114.652 -170.9605
40.084289 114.643 -171.3225
40.374756 114.637 -171.6780
40.667328 114.636 -172.0304
40.962020 114.637 -172.3852
41.258848 114.640 -172.7471
41.557827 114.642 -173.1172
41.858972 114.639 -173.4919
42.162299 114.630 -173.8626
42.467824 114.614 -174.2197
42.775564 114.591 -174.5550
43.085533 114.561 -174.8657
43.397749 114.529 -175.1553
43.712227 114.495 -175.4324
44.028983 114.463 -175.7079
44.348036 114.433 -175.9912
44.669400 114.407 -176.2877
44.993093 114.384 -176.5974
45.319131 114.365 -176.9149
45.647532 114.350 -177.2321
45.978313 114.337 -177.5406
46.311491 114.327 -177.8348
46.647083 114.319 -178.1147
46.985107 114.313 -178.3858
47.325581 114.306 -178.6574
47.668521 114.296 -178.9391
48.013947 114.282 -179.2365
48.361876 114.262 -179.5496
48.712326 114.236 -179.8734
49.065315 114.204 179.7988
49.420863 114.169 179.4718
49.778987 114.134 179.1469
50.139706 114.101 178.8228
50.503039 114.070 178.4991
50.869005 114.042 178.1782
51.237623 114.017 177.8658
51.608912 113.993 177.5681
51.982891 113.970 177.2886
52.359580 113.948 177.0267
52.739000 113.926 176.7783
53.121168 113.905 176.5380
53.506106 113.883 176.3015
53.893833 113.861 176.0666
54.284370 113.839 175.8322
54.677737 113.818 175.5982
55.073955 113.797 175.3641
55.473043 113.777 175.1293
55.875024 113.756 174.8925
56.279917 113.734 174.6517
56.687745 113.711 174.4045
57.098527 113.686 174.1490
57.512287 113.659 173.8851
57.929045 113.631 173.6148
58.348822 113.602 173.3417
58.771642 113.573 173.0701
59.197525 113.546 172.8033
59.626495 113.520 172.5436
60.058573 113.494 172.2917
60.493782 113.470 172.0474
60.932145 113.444 171.8098
61.373685 113.418 171.5775
61.818424 113.392 171.3490
62.266386 113.364 171.1230
62.717593 113.336 170.8990
63.172071 113.308 170.6778
63.629842 113.280 170.4602
64.090930 113.252 170.2464
64.555359 113.225 170.0353
65.023154 113.197 169.8250
65.494339 113.169 169.6135
65.968938 113.141 169.4004
66.446976 113.111 169.1866
66.928478 113.080 168.9741
67.413469 113.048 168.7653
67.901975 113.016 168.5626
68.394021 112.983 168.3681
68.889632 112.950 168.1836
69.388835 112.916 168.0098
69.891655 112.883 167.8449
70.398118 112.850 167.6854
70.908252 112.818 167.5268
71.422083 112.786 167.3661
71.939636 112.754 167.2030
72.460941 112.721 167.0398
72.986023 112.689 166.8793
73.514909 112.656 166.7240
74.047629 112.623 166.5748
74.584208 112.590 166.4318
75.124676 112.557 166.2941
75.669061 112.524 166.1606
76.217390 112.491 166.0305
76.769692 112.458 165.9036
77.325997 112.425 165.7803
77.886333 112.393 165.6616
78.450730 112.361 165.5486
79.019216 112.330 165.4417
79.591822 112.300 165.3397
80.168577 112.271 165.2401
80.749512 112.243 165.1405
81.334656 112.217 165.0395
81.924040 112.192 164.9366
82.517696 112.167 164.8312
83.115653 112.143 164.7233
83.717943 112.119 164.6130
84.324598 112.094 164.5008
84.935649 112.069 164.3871
85.551128 112.044 164.2719
86.171066 112.019 164.1538
86.795497 111.994 164.0315
87.424453 111.968 163.9036
88.057967 111.940 163.7705
88.696071 111.912 163.6343
89.338800 111.882 163.4984
89.986185 111.852 163.3661
90.638262 111.821 163.2407
91.295065 111.790 163.1248
91.956626 111.758 163.0201
92.622982 111.726 162.9260
93.294166 111.694 162.8391
93.970214 111.662 162.7537
94.651161 111.630 162.6656
95.337042 111.599 162.5726
96.027894 111.567 162.4746
96.723752 111.536 162.3732
97.424652 111.506 162.2729
98.130631 111.474 162.1804
98.841726 111.441 162.1014
99.557974 111.407 162.0361
100.279412 111.371 161.9803
101.006078 111.335 161.9283
101.738010 111.299 161.8759
102.475245 111.265 161.8218
103.217823 111.231 161.7688
103.965782 111.198 161.7212
104.719161 111.166 161.6826
105.477999 111.134 161.6545
106.242336 111.102 161.6366
107.012212 111.071 161.6297
107.787666 111.041 161.6352
108.568740 111.012 161.6520
109.355474 110.984 161.6742
110.147909 110.959 161.6916
110.946086 110.935 161.6942
111.750047 110.912 161.6790
112.559834 110.888 161.6540
113.375489 110.864 161.6338
114.197055 110.839 161.6289
115.024574 110.812 161.6413
115.858089 110.786 161.6660
116.697645 110.759 161.6956
117.543284 110.735 161.7251
118.395051 110.713 161.7505
119.252990 110.692 161.7668
120.117147 110.671 161.7697
120.987565 110.649 161.7603
121.864291 110.627 161.7460
122.747370 110.605 161.7374
123.636848 110.584 161.7423
124.532771 110.565 161.7600
125.435187 110.547 161.7828
126.344142 110.529 161.8031
127.259684 110.514 161.8177
128.181860 110.499 161.8281
129.110718 110.486 161.8367
130.046308 110.473 161.8421
130.988677 110.462 161.8380
131.937875 110.451 161.8163
132.893951 110.441 161.7727
133.856956 110.430 161.7107
134.826938 110.418 161.6384
135.803950 110.406 161.5627
136.788041 110.392 161.4872
137.779264 110.378 161.4133
138.777669 110.364 161.3409
139.783309 110.350 161.2681
140.796237 110.335 161.1918
141.816504 110.320 161.1096
142.844165 110.303 161.0209
143.879273 110.284 160.9274
144.921881 110.264 160.8322
145.972045 110.243 160.7391
147.029819 110.219 160.6520
148.095257 110.195 160.5742
149.168417 110.169 160.5080
150.249353 110.142 160.4536
151.338121 110.116 160.4108
152.434780 110.089 160.3788
153.539385 110.062 160.3560
154.651995 110.035 160.3404
155.772667 110.008 160.3297
156.901460 109.982 160.3216
158.038432 109.956 160.3159
159.183644 109.932 160.3141
160.337154 109.910 160.3197
161.499023 109.889 160.3354
162.669312 109.869 160.3612
163.848081 109.850 160.3922
165.035392 109.833 160.4214
166.231306 109.817 160.4430
167.435887 109.802 160.4537
168.649196 109.789 160.4519
169.871298 109.777 160.4355
171.102255 109.765 160.4028
172.342133 109.753 160.3549
173.590995 109.742 160.2957
174.848907 109.731 160.2314
176.115934 109.719 160.1667
177.392143 109.706 160.1023
178.677599 109.692 160.0361
179.972371 109.676 159.9665
181.276525 109.658 159.8930
182.590129 109.638 159.8163
183.913252 109.617 159.7384
185.245964 109.595 159.6612
186.588332 109.571 159.5864
187.940428 109.546 159.5154
189.302322 109.520 159.4500
190.674085 109.494 159.3914
192.055788 109.467 159.3406
193.447503 109.440 159.2980
194.849303 109.413 159.2633
196.261262 109.385 159.2358
197.683452 109.358 159.2142
199.115948 109.330 159.1969
200.558824 109.303 159.1829
202.012156 109.276 159.1716
203.476019 109.250 159.1629
204.950490 109.223 159.1569
206.435646 109.197 159.1536
207.931564 109.171 159.1534
209.438322 109.145 159.1564
210.955998 109.119 159.1629
212.484672 109.093 159.1730
214.024424 109.068 159.1864
215.575333 109.042 159.2027
217.137481 109.017 159.2211
218.710948 108.991 159.2413
220.295818 108.966 159.2634
221.892172 108.941 159.2877
223.500094 108.916 159.3145
225.119668 108.892 159.3441
226.750978 108.867 159.3764
228.394109 108.843 159.4110
230.049147 108.819 159.4479
231.716178 108.794 159.4874
233.395289 108.770 159.5298
235.086567 108.746 159.5755
236.790102 108.722 159.6249
238.505980 108.698 159.6784
240.234293 108.675 159.7363
241.975130 108.651 159.7988
243.728581 108.628 159.8658
245.494739 108.606 159.9375
247.273695 108.583 160.0139
249.065542 108.561 160.0955
250.870374 108.540 160.1824
252.688284 108.519 160.2751
254.519367 108.499 160.3742
256.363720 108.481 160.4800
258.221437 108.463 160.5922
260.092616 108.447 160.7098
261.977354 108.433 160.8317
263.875750 108.421 160.9561
265.787903 108.411 161.0811
267.713911 108.403 161.2047
269.653877 108.397 161.3245
271.607900 108.394 161.4377
273.576083 108.393 161.5416
275.558528 108.393 161.6334
277.555338 108.395 161.7108
279.566619 108.397 161.7722
281.592474 108.400 161.8166
283.633009 108.403 161.8442
285.688331 108.406 161.8560
287.758546 108.407 161.8538
289.843763 108.407 161.8403
291.944090 108.406 161.8184
294.059638 108.404 161.7908
296.190515 108.400 161.7597
298.336833 108.394 161.7270
300.498705 108.387 161.6941
302.676243 108.379 161.6624
304.869559 108.369 161.6327
307.078770 108.359 161.6057
309.303989 108.348 161.5820
311.545334 108.337 161.5616
313.802919 108.325 161.5446
316.076865 108.313 161.5309
318.367288 108.300 161.5206
320.674309 108.288 161.5131
322.998047 108.275 161.5084
325.338624 108.263 161.5059
327.696162 108.250 161.5055
330.070783 108.238 161.5071
332.462612 108.225 161.5109
334.871773 108.213 161.5165
337.298392 108.201 161.5242
339.742595 108.189 161.5333
342.204510 108.177 161.5435
344.684265 108.165 161.5541
347.181989 108.154 161.5649
349.697813 108.142 161.5757
352.231868 108.130 161.5867
354.784285 108.119 161.5981
357.355198 108.107 161.6105
359.944741 108.095 161.6240
362.553049 108.084 161.6385
365.180258 108.073 161.6542
367.826505 108.062 161.6709
370.491927 108.051 161.6890
373.176665 108.040 161.7081
