* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -16,9 dBFS, measurement signal peak level -9,3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 07.08.2023 19:08:27
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0216 ms (-7,4 mm, -0,29 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: EPZ Q5
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 111.214 -118.5839
20.333664 111.226 -118.7540
20.481010 111.243 -118.9818
20.629424 111.263 -119.2606
20.778913 111.287 -119.5830
20.929486 111.313 -119.9418
21.081150 111.341 -120.3304
21.233912 111.371 -120.7429
21.387782 111.402 -121.1745
21.542767 111.433 -121.6210
21.698874 111.465 -122.0791
21.856113 111.497 -122.5461
22.014492 111.528 -123.0198
22.174018 111.559 -123.4985
22.334700 111.590 -123.9809
22.496546 111.620 -124.4657
22.659566 111.649 -124.9521
22.823766 111.677 -125.4394
22.989157 111.705 -125.9272
23.155745 111.732 -126.4152
23.323542 111.759 -126.9030
23.492554 111.785 -127.3908
23.662790 111.811 -127.8784
23.834261 111.836 -128.3660
24.006973 111.862 -128.8536
24.180938 111.887 -129.3413
24.356163 111.913 -129.8291
24.532658 111.938 -130.3170
24.710431 111.963 -130.8048
24.889493 111.988 -131.2922
25.069853 112.012 -131.7789
25.251519 112.036 -132.2645
25.434502 112.059 -132.7486
25.618811 112.082 -133.2306
25.804456 112.104 -133.7101
25.991445 112.125 -134.1866
26.179790 112.146 -134.6598
26.369500 112.165 -135.1294
26.560584 112.185 -135.5955
26.753053 112.203 -136.0581
26.946917 112.222 -136.5178
27.142185 112.241 -136.9752
27.338869 112.259 -137.4310
27.536977 112.278 -137.8863
27.736522 112.298 -138.3420
27.937512 112.317 -138.7991
28.139959 112.337 -139.2582
28.343872 112.357 -139.7197
28.549264 112.377 -140.1835
28.756143 112.397 -140.6494
28.964522 112.415 -141.1165
29.174411 112.433 -141.5838
29.385821 112.449 -142.0502
29.598763 112.464 -142.5146
29.813248 112.478 -142.9763
30.029287 112.490 -143.4347
30.246891 112.502 -143.8899
30.466073 112.512 -144.3422
30.686842 112.521 -144.7923
30.909212 112.530 -145.2409
31.133193 112.538 -145.6889
31.358797 112.546 -146.1369
31.586035 112.553 -146.5853
31.814921 112.561 -147.0338
32.045465 112.569 -147.4823
32.277680 112.577 -147.9301
32.511577 112.585 -148.3764
32.747169 112.593 -148.8204
32.984469 112.601 -149.2618
33.223488 112.609 -149.7001
33.464239 112.617 -150.1353
33.706735 112.625 -150.5678
33.950987 112.633 -150.9979
34.197010 112.640 -151.4263
34.444816 112.646 -151.8537
34.694417 112.652 -152.2805
34.945827 112.657 -152.7074
35.199059 112.661 -153.1345
35.454126 112.664 -153.5621
35.711041 112.667 -153.9900
35.969818 112.669 -154.4179
36.230470 112.670 -154.8454
36.493011 112.671 -155.2718
36.757455 112.672 -155.6964
37.023814 112.673 -156.1183
37.292104 112.673 -156.5371
37.562338 112.673 -156.9520
37.834530 112.673 -157.3631
38.108695 112.673 -157.7701
38.384846 112.672 -158.1735
38.662999 112.672 -158.5736
38.943167 112.670 -158.9711
39.225365 112.669 -159.3667
39.509608 112.667 -159.7611
39.795911 112.665 -160.1550
40.084289 112.662 -160.5487
40.374756 112.658 -160.9425
40.667328 112.655 -161.3367
40.962020 112.650 -161.7309
41.258848 112.645 -162.1249
41.557827 112.640 -162.5181
41.858972 112.634 -162.9099
42.162299 112.628 -163.2997
42.467824 112.621 -163.6870
42.775564 112.614 -164.0716
43.085533 112.607 -164.4530
43.397749 112.599 -164.8312
43.712227 112.591 -165.2062
44.028983 112.584 -165.5780
44.348036 112.576 -165.9465
44.669400 112.568 -166.3121
44.993093 112.561 -166.6748
45.319131 112.553 -167.0349
45.647532 112.546 -167.3923
45.978313 112.540 -167.7471
46.311491 112.533 -168.0990
46.647083 112.527 -168.4478
46.985107 112.521 -168.7935
47.325581 112.515 -169.1362
47.668521 112.508 -169.4765
48.013947 112.501 -169.8153
48.361876 112.492 -170.1536
48.712326 112.481 -170.4920
49.065315 112.468 -170.8308
49.420863 112.453 -171.1696
49.778987 112.435 -171.5080
50.139706 112.417 -171.8451
50.503039 112.396 -172.1803
50.869005 112.376 -172.5133
51.237623 112.354 -172.8438
51.608912 112.333 -173.1715
51.982891 112.312 -173.4965
52.359580 112.292 -173.8187
52.739000 112.271 -174.1382
53.121168 112.251 -174.4555
53.506106 112.230 -174.7711
53.893833 112.209 -175.0854
54.284370 112.187 -175.3989
54.677737 112.165 -175.7121
55.073955 112.143 -176.0250
55.473043 112.121 -176.3379
55.875024 112.098 -176.6506
56.279917 112.076 -176.9633
56.687745 112.054 -177.2759
57.098527 112.033 -177.5882
57.512287 112.012 -177.8999
57.929045 111.993 -178.2103
58.348822 111.973 -178.5187
58.771642 111.954 -178.8242
59.197525 111.936 -179.1264
59.626495 111.917 -179.4249
60.058573 111.897 -179.7203
60.493782 111.878 179.9871
60.932145 111.857 179.6963
61.373685 111.836 179.4069
61.818424 111.815 179.1184
62.266386 111.793 178.8306
62.717593 111.770 178.5437
63.172071 111.747 178.2578
63.629842 111.724 177.9732
64.090930 111.700 177.6902
64.555359 111.676 177.4090
65.023154 111.652 177.1304
65.494339 111.629 176.8551
65.968938 111.605 176.5842
66.446976 111.581 176.3185
66.928478 111.557 176.0591
67.413469 111.533 175.8064
67.901975 111.508 175.5602
68.394021 111.484 175.3201
68.889632 111.458 175.0849
69.388835 111.433 174.8533
69.891655 111.406 174.6242
70.398118 111.380 174.3964
70.908252 111.353 174.1689
71.422083 111.325 173.9413
71.939636 111.297 173.7133
72.460941 111.269 173.4850
72.986023 111.240 173.2566
73.514909 111.211 173.0286
74.047629 111.182 172.8015
74.584208 111.152 172.5761
75.124676 111.123 172.3528
75.669061 111.093 172.1321
76.217390 111.063 171.9141
76.769692 111.032 171.6989
77.325997 111.002 171.4868
77.886333 110.971 171.2775
78.450730 110.939 171.0710
79.019216 110.908 170.8670
79.591822 110.876 170.6651
80.168577 110.843 170.4648
80.749512 110.811 170.2658
81.334656 110.778 170.0679
81.924040 110.745 169.8713
82.517696 110.712 169.6767
83.115653 110.679 169.4846
83.717943 110.646 169.2958
84.324598 110.613 169.1112
84.935649 110.579 168.9314
85.551128 110.546 168.7568
86.171066 110.512 168.5876
86.795497 110.479 168.4237
87.424453 110.444 168.2648
88.057967 110.410 168.1105
88.696071 110.375 167.9607
89.338800 110.339 167.8152
89.986185 110.303 167.6741
90.638262 110.266 167.5374
91.295065 110.229 167.4052
91.956626 110.192 167.2775
92.622982 110.154 167.1545
93.294166 110.116 167.0361
93.970214 110.078 166.9224
94.651161 110.039 166.8134
95.337042 110.000 166.7093
96.027894 109.961 166.6103
96.723752 109.922 166.5162
97.424652 109.883 166.4270
98.130631 109.844 166.3423
98.841726 109.805 166.2618
99.557974 109.765 166.1853
100.279412 109.726 166.1128
101.006078 109.686 166.0444
101.738010 109.647 165.9805
102.475245 109.607 165.9216
103.217823 109.568 165.8680
103.965782 109.530 165.8198
104.719161 109.492 165.7767
105.477999 109.455 165.7383
106.242336 109.419 165.7037
107.012212 109.383 165.6722
107.787666 109.348 165.6432
108.568740 109.314 165.6159
109.355474 109.281 165.5898
110.147909 109.247 165.5648
110.946086 109.215 165.5408
111.750047 109.182 165.5182
112.559834 109.149 165.4976
113.375489 109.116 165.4800
114.197055 109.083 165.4665
115.024574 109.050 165.4583
115.858089 109.016 165.4569
116.697645 108.983 165.4639
117.543284 108.950 165.4810
118.395051 108.917 165.5096
119.252990 108.884 165.5510
120.117147 108.852 165.6060
120.987565 108.821 165.6750
121.864291 108.791 165.7573
122.747370 108.762 165.8519
123.636848 108.736 165.9565
124.532771 108.712 166.0682
125.435187 108.690 166.1831
126.344142 108.672 166.2972
127.259684 108.658 166.4059
128.181860 108.647 166.5048
129.110718 108.639 166.5894
130.046308 108.635 166.6557
130.988677 108.633 166.7001
131.937875 108.634 166.7202
132.893951 108.636 166.7145
133.856956 108.639 166.6826
134.826938 108.641 166.6256
135.803950 108.643 166.5451
136.788041 108.643 166.4438
137.779264 108.640 166.3246
138.777669 108.636 166.1910
139.783309 108.628 166.0464
140.796237 108.618 165.8940
141.816504 108.605 165.7371
142.844165 108.589 165.5785
143.879273 108.571 165.4206
144.921881 108.550 165.2655
145.972045 108.526 165.1149
147.029819 108.501 164.9699
148.095257 108.474 164.8317
149.168417 108.445 164.7011
150.249353 108.414 164.5786
151.338121 108.383 164.4645
152.434780 108.350 164.3591
153.539385 108.316 164.2625
154.651995 108.281 164.1747
155.772667 108.246 164.0958
156.901460 108.210 164.0260
158.038432 108.174 163.9651
159.183644 108.138 163.9131
160.337154 108.101 163.8698
161.499023 108.065 163.8349
162.669312 108.029 163.8081
163.848081 107.993 163.7890
165.035392 107.957 163.7769
166.231306 107.922 163.7713
167.435887 107.887 163.7713
168.649196 107.853 163.7763
169.871298 107.819 163.7855
171.102255 107.786 163.7981
172.342133 107.753 163.8137
173.590995 107.721 163.8315
174.848907 107.690 163.8511
176.115934 107.659 163.8720
177.392143 107.629 163.8937
178.677599 107.598 163.9156
179.972371 107.568 163.9373
181.276525 107.539 163.9585
182.590129 107.509 163.9789
183.913252 107.479 163.9985
185.245964 107.449 164.0175
186.588332 107.419 164.0363
187.940428 107.389 164.0553
189.302322 107.358 164.0752
190.674085 107.327 164.0964
192.055788 107.296 164.1198
193.447503 107.264 164.1458
194.849303 107.232 164.1749
196.261262 107.199 164.2078
197.683452 107.166 164.2447
199.115948 107.133 164.2863
200.558824 107.100 164.3327
202.012156 107.066 164.3845
203.476019 107.033 164.4421
204.950490 106.999 164.5059
206.435646 106.965 164.5763
207.931564 106.932 164.6536
209.438322 106.898 164.7382
210.955998 106.865 164.8303
212.484672 106.832 164.9301
214.024424 106.800 165.0378
215.575333 106.769 165.1531
217.137481 106.738 165.2758
218.710948 106.709 165.4050
220.295818 106.681 165.5400
221.892172 106.655 165.6794
223.500094 106.630 165.8217
225.119668 106.607 165.9649
226.750978 106.585 166.1069
228.394109 106.566 166.2453
230.049147 106.547 166.3781
231.716178 106.530 166.5032
233.395289 106.514 166.6192
235.086567 106.498 166.7250
236.790102 106.483 166.8204
238.505980 106.468 166.9054
240.234293 106.452 166.9811
241.975130 106.436 167.0487
243.728581 106.419 167.1100
245.494739 106.400 167.1667
247.273695 106.381 167.2209
249.065542 106.361 167.2742
250.870374 106.340 167.3283
252.688284 106.318 167.3844
254.519367 106.295 167.4437
256.363720 106.272 167.5067
258.221437 106.248 167.5741
260.092616 106.223 167.6458
261.977354 106.198 167.7220
263.875750 106.172 167.8027
265.787903 106.147 167.8876
267.713911 106.121 167.9767
269.653877 106.096 168.0699
271.607900 106.070 168.1671
273.576083 106.044 168.2679
275.558528 106.019 168.3723
277.555338 105.994 168.4799
279.566619 105.969 168.5906
281.592474 105.944 168.7042
283.633009 105.919 168.8205
285.688331 105.895 168.9395
287.758546 105.870 169.0610
289.843763 105.846 169.1849
291.944090 105.822 169.3111
294.059638 105.799 169.4394
296.190515 105.775 169.5696
298.336833 105.752 169.7017
300.498705 105.729 169.8358
302.676243 105.706 169.9716
304.869559 105.683 170.1093
307.078770 105.661 170.2488
309.303989 105.639 170.3901
311.545334 105.617 170.5332
313.802919 105.595 170.6780
316.076865 105.573 170.8245
318.367288 105.551 170.9725
320.674309 105.530 171.1220
322.998047 105.509 171.2729
325.338624 105.488 171.4252
327.696162 105.467 171.5787
330.070783 105.447 171.7336
332.462612 105.427 171.8898
334.871773 105.406 172.0473
337.298392 105.386 172.2061
339.742595 105.367 172.3664
342.204510 105.347 172.5282
344.684265 105.328 172.6915
347.181989 105.309 172.8563
349.697813 105.290 173.0226
352.231868 105.271 173.1905
354.784285 105.252 173.3600
357.355198 105.233 173.5309
359.944741 105.215 173.7032
362.553049 105.197 173.8770
365.180258 105.179 174.0520
367.826505 105.162 174.2283
