* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -43,9 dBFS, measurement signal peak level -10,5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 12.07.2023 19:57:33
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,1068 ms (-37 mm, -1,44 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: BlueLover_clarion
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 118.537 53.3518
20.333664 118.552 53.1489
20.481010 118.573 52.8465
20.629424 118.599 52.4717
20.778913 118.628 52.0476
20.929486 118.658 51.5910
21.081150 118.688 51.1126
21.233912 118.717 50.6192
21.387782 118.746 50.1150
21.542767 118.774 49.6030
21.698874 118.802 49.0853
21.856113 118.828 48.5636
22.014492 118.854 48.0396
22.174018 118.880 47.5147
22.334700 118.905 46.9900
22.496546 118.931 46.4667
22.659566 118.956 45.9456
22.823766 118.982 45.4274
22.989157 119.008 44.9125
23.155745 119.034 44.4015
23.323542 119.060 43.8948
23.492554 119.086 43.3927
23.662790 119.112 42.8956
23.834261 119.138 42.4037
24.006973 119.163 41.9170
24.180938 119.188 41.4353
24.356163 119.212 40.9581
24.532658 119.236 40.4844
24.710431 119.259 40.0129
24.889493 119.282 39.5419
25.069853 119.303 39.0695
25.251519 119.324 38.5941
25.434502 119.344 38.1140
25.618811 119.362 37.6280
25.804456 119.379 37.1356
25.991445 119.394 36.6369
26.179790 119.408 36.1328
26.369500 119.421 35.6247
26.560584 119.433 35.1142
26.753053 119.443 34.6030
26.946917 119.454 34.0928
27.142185 119.464 33.5843
27.338869 119.475 33.0782
27.536977 119.486 32.5741
27.736522 119.497 32.0716
27.937512 119.509 31.5700
28.139959 119.522 31.0688
28.343872 119.534 30.5680
28.549264 119.545 30.0682
28.756143 119.555 29.5705
28.964522 119.564 29.0764
29.174411 119.571 28.5872
29.385821 119.578 28.1038
29.598763 119.584 27.6261
29.813248 119.590 27.1532
30.029287 119.596 26.6833
30.246891 119.602 26.2143
30.466073 119.610 25.7440
30.686842 119.618 25.2714
30.909212 119.626 24.7963
31.133193 119.634 24.3202
31.358797 119.643 23.8455
31.586035 119.651 23.3752
31.814921 119.659 22.9118
32.045465 119.666 22.4568
32.277680 119.673 22.0100
32.511577 119.680 21.5695
32.747169 119.687 21.1320
32.984469 119.693 20.6936
33.223488 119.697 20.2509
33.464239 119.700 19.8010
33.706735 119.701 19.3431
33.950987 119.700 18.8777
34.197010 119.695 18.4062
34.444816 119.688 17.9312
34.694417 119.680 17.4547
34.945827 119.670 16.9784
35.199059 119.659 16.5032
35.454126 119.649 16.0291
35.711041 119.639 15.5559
35.969818 119.631 15.0832
36.230470 119.625 14.6115
36.493011 119.620 14.1419
36.757455 119.615 13.6768
37.023814 119.611 13.2194
37.292104 119.606 12.7731
37.562338 119.600 12.3406
37.834530 119.592 11.9224
38.108695 119.582 11.5166
38.384846 119.569 11.1183
38.662999 119.553 10.7203
38.943167 119.535 10.3156
39.225365 119.515 9.8982
39.509608 119.494 9.4657
39.795911 119.474 9.0192
40.084289 119.455 8.5632
40.374756 119.440 8.1036
40.667328 119.429 7.6473
40.962020 119.423 7.2016
41.258848 119.419 6.7743
41.557827 119.416 6.3752
41.858972 119.411 6.0148
42.162299 119.402 5.7015
42.467824 119.389 5.4371
42.775564 119.374 5.2114
43.085533 119.360 5.0006
43.397749 119.350 4.7708
43.712227 119.344 4.4871
44.028983 119.341 4.1265
44.348036 119.338 3.6870
44.669400 119.331 3.1896
44.993093 119.317 2.6712
45.319131 119.296 2.1709
45.647532 119.268 1.7165
45.978313 119.234 1.3147
46.311491 119.197 0.9506
46.647083 119.159 0.5944
46.985107 119.120 0.2134
47.325581 119.081 -0.2165
47.668521 119.043 -0.7037
48.013947 119.008 -1.2382
48.361876 118.977 -1.7953
48.712326 118.951 -2.3420
49.065315 118.931 -2.8467
49.420863 118.916 -3.2880
49.778987 118.905 -3.6609
50.139706 118.894 -3.9776
50.503039 118.883 -4.2622
50.869005 118.867 -4.5407
51.237623 118.848 -4.8327
51.608912 118.825 -5.1462
51.982891 118.800 -5.4796
52.359580 118.778 -5.8262
52.739000 118.758 -6.1783
53.121168 118.742 -6.5290
53.506106 118.727 -6.8707
53.893833 118.711 -7.1956
54.284370 118.691 -7.4985
54.677737 118.667 -7.7804
55.073955 118.639 -8.0499
55.473043 118.608 -8.3194
55.875024 118.575 -8.5985
56.279917 118.539 -8.8892
56.687745 118.502 -9.1868
57.098527 118.464 -9.4859
57.512287 118.426 -9.7865
57.929045 118.391 -10.0949
58.348822 118.357 -10.4200
58.771642 118.325 -10.7670
59.197525 118.290 -11.1351
59.626495 118.253 -11.5181
60.058573 118.210 -11.9062
60.493782 118.159 -12.2865
60.932145 118.101 -12.6443
61.373685 118.039 -12.9676
61.818424 117.977 -13.2557
62.266386 117.923 -13.5240
62.717593 117.879 -13.7984
63.172071 117.844 -14.0987
63.629842 117.814 -14.4233
64.090930 117.785 -14.7501
64.555359 117.754 -15.0530
65.023154 117.722 -15.3226
65.494339 117.691 -15.5719
65.968938 117.658 -15.8253
66.446976 117.624 -16.1007
66.928478 117.585 -16.4011
67.413469 117.542 -16.7168
67.901975 117.496 -17.0334
68.394021 117.447 -17.3363
68.889632 117.399 -17.6131
69.388835 117.352 -17.8572
69.891655 117.307 -18.0699
70.398118 117.263 -18.2591
70.908252 117.218 -18.4344
71.422083 117.171 -18.6039
71.939636 117.121 -18.7745
72.460941 117.069 -18.9530
72.986023 117.017 -19.1444
73.514909 116.965 -19.3482
74.047629 116.913 -19.5585
74.584208 116.862 -19.7681
75.124676 116.809 -19.9730
75.669061 116.756 -20.1746
76.217390 116.701 -20.3776
76.769692 116.646 -20.5872
77.325997 116.592 -20.8063
77.886333 116.541 -21.0337
78.450730 116.491 -21.2642
79.019216 116.444 -21.4905
79.591822 116.396 -21.7057
80.168577 116.348 -21.9057
80.749512 116.297 -22.0886
81.334656 116.244 -22.2533
81.924040 116.187 -22.4010
82.517696 116.129 -22.5374
83.115653 116.069 -22.6713
83.717943 116.009 -22.8092
84.324598 115.948 -22.9502
84.935649 115.886 -23.0880
85.551128 115.826 -23.2166
86.171066 115.766 -23.3330
86.795497 115.709 -23.4378
87.424453 115.653 -23.5318
88.057967 115.598 -23.6155
88.696071 115.542 -23.6890
89.338800 115.486 -23.7529
89.986185 115.427 -23.8098
90.638262 115.367 -23.8635
91.295065 115.305 -23.9171
91.956626 115.243 -23.9707
92.622982 115.181 -24.0209
93.294166 115.120 -24.0639
93.970214 115.057 -24.0980
94.651161 114.994 -24.1255
95.337042 114.931 -24.1520
96.027894 114.867 -24.1831
96.723752 114.803 -24.2198
97.424652 114.742 -24.2569
98.130631 114.682 -24.2863
98.841726 114.623 -24.3019
99.557974 114.564 -24.3003
100.279412 114.505 -24.2804
101.006078 114.445 -24.2442
101.738010 114.387 -24.1956
102.475245 114.329 -24.1370
103.217823 114.274 -24.0692
103.965782 114.219 -23.9935
104.719161 114.165 -23.9117
105.477999 114.111 -23.8248
106.242336 114.057 -23.7319
107.012212 114.002 -23.6307
107.787666 113.945 -23.5203
108.568740 113.887 -23.4031
109.355474 113.827 -23.2844
110.147909 113.766 -23.1667
110.946086 113.704 -23.0464
111.750047 113.643 -22.9190
112.559834 113.582 -22.7854
113.375489 113.522 -22.6519
114.197055 113.464 -22.5232
115.024574 113.408 -22.3968
115.858089 113.352 -22.2667
116.697645 113.298 -22.1303
117.543284 113.243 -21.9903
118.395051 113.189 -21.8489
119.252990 113.136 -21.7028
120.117147 113.083 -21.5432
120.987565 113.031 -21.3624
121.864291 112.981 -21.1583
122.747370 112.932 -20.9359
123.636848 112.884 -20.7023
124.532771 112.837 -20.4639
125.435187 112.791 -20.2248
126.344142 112.746 -19.9873
127.259684 112.703 -19.7530
128.181860 112.661 -19.5224
129.110718 112.620 -19.2957
130.046308 112.578 -19.0731
130.988677 112.536 -18.8517
131.937875 112.492 -18.6244
132.893951 112.447 -18.3843
133.856956 112.403 -18.1310
134.826938 112.361 -17.8704
135.803950 112.321 -17.6065
136.788041 112.283 -17.3368
137.779264 112.246 -17.0547
138.777669 112.208 -16.7575
139.783309 112.172 -16.4473
140.796237 112.137 -16.1286
141.816504 112.105 -15.8066
142.844165 112.074 -15.4857
143.879273 112.044 -15.1678
144.921881 112.017 -14.8528
145.972045 111.991 -14.5399
147.029819 111.967 -14.2292
148.095257 111.944 -13.9206
149.168417 111.922 -13.6131
150.249353 111.901 -13.3051
151.338121 111.881 -12.9956
152.434780 111.862 -12.6843
153.539385 111.843 -12.3719
154.651995 111.826 -12.0589
155.772667 111.809 -11.7447
156.901460 111.794 -11.4282
158.038432 111.779 -11.1091
159.183644 111.765 -10.7887
160.337154 111.752 -10.4681
161.499023 111.740 -10.1481
162.669312 111.728 -9.8300
163.848081 111.718 -9.5153
165.035392 111.708 -9.2048
166.231306 111.699 -8.8977
167.435887 111.690 -8.5932
168.649196 111.684 -8.2912
169.871298 111.678 -7.9916
171.102255 111.673 -7.6948
172.342133 111.670 -7.4009
173.590995 111.667 -7.1100
174.848907 111.665 -6.8220
176.115934 111.664 -6.5366
177.392143 111.664 -6.2531
178.677599 111.665 -5.9708
179.972371 111.667 -5.6894
181.276525 111.670 -5.4095
182.590129 111.673 -5.1317
183.913252 111.677 -4.8573
185.245964 111.682 -4.5882
186.588332 111.687 -4.3269
187.940428 111.692 -4.0749
189.302322 111.697 -3.8309
190.674085 111.703 -3.5918
192.055788 111.709 -3.3548
193.447503 111.716 -3.1182
194.849303 111.724 -2.8814
196.261262 111.732 -2.6445
197.683452 111.741 -2.4078
199.115948 111.750 -2.1718
200.558824 111.759 -1.9374
202.012156 111.769 -1.7057
203.476019 111.780 -1.4778
204.950490 111.792 -1.2539
206.435646 111.804 -1.0343
207.931564 111.817 -0.8193
209.438322 111.830 -0.6088
210.955998 111.844 -0.4026
212.484672 111.859 -0.2006
214.024424 111.874 -0.0029
215.575333 111.890 0.1901
217.137481 111.906 0.3776
218.710948 111.924 0.5586
220.295818 111.941 0.7325
221.892172 111.960 0.8984
223.500094 111.979 1.0557
225.119668 111.998 1.2043
226.750978 112.017 1.3442
228.394109 112.036 1.4756
230.049147 112.055 1.5988
231.716178 112.072 1.7134
233.395289 112.089 1.8190
235.086567 112.105 1.9159
236.790102 112.121 2.0058
238.505980 112.135 2.0903
240.234293 112.150 2.1706
241.975130 112.164 2.2480
243.728581 112.177 2.3233
245.494739 112.190 2.3969
247.273695 112.202 2.4694
249.065542 112.213 2.5413
250.870374 112.224 2.6130
252.688284 112.234 2.6845
254.519367 112.243 2.7557
256.363720 112.251 2.8263
258.221437 112.260 2.8962
260.092616 112.267 2.9656
261.977354 112.275 3.0342
263.875750 112.282 3.1022
265.787903 112.288 3.1698
267.713911 112.294 3.2376
269.653877 112.301 3.3065
271.607900 112.306 3.3771
273.576083 112.312 3.4494
275.558528 112.317 3.5232
277.555338 112.322 3.5984
279.566619 112.327 3.6746
281.592474 112.332 3.7513
283.633009 112.337 3.8286
285.688331 112.342 3.9067
287.758546 112.348 3.9861
289.843763 112.353 4.0668
291.944090 112.358 4.1489
294.059638 112.364 4.2323
296.190515 112.369 4.3175
298.336833 112.375 4.4045
300.498705 112.382 4.4934
302.676243 112.389 4.5842
304.869559 112.397 4.6765
307.078770 112.406 4.7695
309.303989 112.416 4.8612
311.545334 112.429 4.9484
313.802919 112.443 5.0272
316.076865 112.458 5.0938
318.367288 112.474 5.1451
320.674309 112.491 5.1787
322.998047 112.508 5.1933
325.338624 112.523 5.1886
327.696162 112.538 5.1653
330.070783 112.550 5.1258
332.462612 112.559 5.0742
334.871773 112.566 5.0151
337.298392 112.569 4.9528
339.742595 112.570 4.8908
342.204510 112.568 4.8322
344.684265 112.564 4.7796
347.181989 112.558 4.7349
349.697813 112.551 4.6990
352.231868 112.542 4.6721
354.784285 112.533 4.6537
357.355198 112.523 4.6428
