* Measurement data measured by REW V5.31.3
* Source: Микрофон (2- CX31993 384Khz HIFI AUDIO), MICROPHONE (Общая громкость), R, volume: 0,000
* Format: 256k Log Swept Sine, 1 sweep at -20,0 dBFS with no timing reference
* Dated: 10.01.2025 13:43:39
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: JF11 good measure
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 68.679 -77.3474
20.287556 68.623 -77.2417
20.434568 68.541 -77.0622
20.582645 68.448 -76.8050
20.731796 68.358 -76.4862
20.882027 68.286 -76.1478
21.033346 68.245 -75.8549
21.185763 68.241 -75.6859
21.339284 68.275 -75.7154
21.493917 68.342 -75.9959
21.649671 68.431 -76.5466
21.806553 68.529 -77.3474
21.964572 68.624 -78.3408
22.123737 68.706 -79.4410
22.284054 68.770 -80.5444
22.445534 68.815 -81.5423
22.608183 68.845 -82.3361
22.772012 68.872 -82.8510
22.937027 68.908 -83.0524
23.103238 68.966 -82.9573
23.270654 69.059 -82.6382
23.439282 69.191 -82.2156
23.609133 69.357 -81.8335
23.780215 69.544 -81.6288
23.952536 69.733 -81.7033
24.126106 69.900 -82.1059
24.300934 70.026 -82.8306
24.477028 70.092 -83.8212
24.654399 70.087 -84.9821
24.833055 70.009 -86.1898
25.013005 69.864 -87.3037
25.194260 69.669 -88.1829
25.376828 69.454 -88.7090
25.560719 69.260 -88.8204
25.745942 69.136 -88.5496
25.932508 69.123 -88.0426
26.120426 69.245 -87.5383
26.309705 69.494 -87.2959
26.500356 69.833 -87.5113
26.692388 70.213 -88.2604
26.885812 70.584 -89.4983
27.080638 70.905 -91.0888
27.276876 71.147 -92.8442
27.474535 71.295 -94.5554
27.673627 71.345 -96.0128
27.874161 71.306 -97.0221
28.076149 71.198 -97.4259
28.279600 71.054 -97.1341
28.484526 70.913 -96.1637
28.690937 70.816 -94.6720
28.898843 70.790 -92.9461
29.108256 70.844 -91.3364
29.319186 70.962 -90.1494
29.531645 71.113 -89.5644
29.745644 71.264 -89.6093
29.961193 71.388 -90.1883
30.178304 71.472 -91.1297
30.396989 71.513 -92.2347
30.617258 71.523 -93.3164
30.839123 71.518 -94.2319
31.062596 71.521 -94.9058
31.287688 71.548 -95.3386
31.514412 71.607 -95.5950
31.742778 71.695 -95.7723
31.972800 71.797 -95.9601
32.204488 71.896 -96.2077
32.437855 71.974 -96.5108
32.672913 72.022 -96.8193
32.909674 72.041 -97.0588
33.148151 72.041 -97.1593
33.388356 72.043 -97.0849
33.630302 72.068 -96.8553
33.874001 72.137 -96.5495
34.119466 72.258 -96.2857
34.366710 72.423 -96.1833
34.615745 72.617 -96.3243
34.866585 72.816 -96.7308
35.119243 72.997 -97.3680
35.373731 73.146 -98.1632
35.630064 73.252 -99.0318
35.888254 73.317 -99.9001
36.148315 73.346 -100.7203
36.410261 73.348 -101.4762
36.674104 73.334 -102.1774
36.939860 73.312 -102.8451
37.207542 73.286 -103.4941
37.477163 73.261 -104.1170
37.748738 73.237 -104.6812
38.022281 73.219 -105.1375
38.297806 73.211 -105.4397
38.575327 73.217 -105.5668
38.854860 73.242 -105.5360
39.136419 73.284 -105.4013
39.420017 73.340 -105.2360
39.705671 73.399 -105.1072
39.993395 73.453 -105.0567
40.283203 73.499 -105.0954
40.575112 73.538 -105.2112
40.869136 73.576 -105.3848
41.165290 73.625 -105.6039
41.463591 73.692 -105.8665
41.764053 73.780 -106.1751
42.066693 73.886 -106.5257
42.371525 74.002 -106.9014
42.678567 74.119 -107.2779
42.987834 74.233 -107.6379
43.299341 74.339 -107.9850
43.613106 74.436 -108.3461
43.929145 74.522 -108.7588
44.247473 74.594 -109.2465
44.568109 74.648 -109.7954
44.891068 74.682 -110.3479
45.216367 74.698 -110.8195
45.544023 74.705 -111.1309
45.874054 74.710 -111.2417
46.206476 74.716 -111.1650
46.541307 74.719 -110.9537
46.878565 74.710 -110.6648
47.218266 74.677 -110.3278
47.560429 74.619 -109.9402
47.905072 74.549 -109.4960
48.252212 74.492 -109.0303
48.601867 74.480 -108.6449
48.954056 74.536 -108.4868
49.308798 74.660 -108.6823
49.666109 74.836 -109.2692
50.026010 75.037 -110.1778
50.388520 75.237 -111.2684
50.753656 75.419 -112.3935
51.121437 75.574 -113.4497
51.491884 75.703 -114.3962
51.865016 75.805 -115.2429
52.240851 75.883 -116.0215
52.619410 75.943 -116.7615
53.000712 75.991 -117.4807
53.384777 76.034 -118.1893
53.771625 76.077 -118.8969
54.161276 76.121 -119.6116
54.553751 76.163 -120.3314
54.949070 76.199 -121.0383
55.347254 76.227 -121.7023
55.748323 76.254 -122.2955
56.152298 76.287 -122.8065
56.559201 76.337 -123.2454
56.969052 76.406 -123.6339
57.381873 76.491 -123.9885
57.797686 76.584 -124.3097
58.216512 76.673 -124.5857
58.638373 76.750 -124.8069
59.063291 76.809 -124.9811
59.491288 76.849 -125.1384
59.922386 76.875 -125.3231
60.356608 76.892 -125.5768
60.793977 76.907 -125.9236
61.234515 76.927 -126.3630
61.678246 76.960 -126.8749
62.125192 77.005 -127.4289
62.575377 77.061 -127.9941
63.028824 77.121 -128.5448
63.485557 77.179 -129.0629
63.945599 77.231 -129.5405
64.408975 77.277 -129.9812
64.875709 77.318 -130.3983
65.345825 77.358 -130.8082
65.819348 77.399 -131.2243
66.296302 77.441 -131.6534
66.776713 77.482 -132.0992
67.260604 77.521 -132.5652
67.748002 77.556 -133.0544
68.238932 77.584 -133.5648
68.733420 77.608 -134.0853
69.231490 77.630 -134.5981
69.733170 77.652 -135.0849
70.238485 77.676 -135.5340
70.747463 77.702 -135.9462
71.260128 77.728 -136.3351
71.776508 77.752 -136.7238
72.296630 77.774 -137.1368
72.820521 77.793 -137.5890
73.348209 77.811 -138.0797
73.879720 77.832 -138.5923
74.415083 77.856 -139.1031
74.954326 77.885 -139.5913
75.497475 77.916 -140.0478
76.044561 77.949 -140.4771
76.595612 77.984 -140.8928
77.150655 78.018 -141.3101
77.709720 78.052 -141.7385
78.272837 78.083 -142.1813
78.840034 78.110 -142.6390
79.411342 78.129 -143.1156
79.986789 78.143 -143.6226
80.566406 78.152 -144.1729
81.150224 78.158 -144.7658
81.738272 78.162 -145.3721
82.330581 78.164 -145.9402
82.927182 78.167 -146.4275
83.528107 78.175 -146.8346
84.133386 78.188 -147.2050
84.743051 78.205 -147.5885
85.357134 78.223 -148.0031
85.975667 78.241 -148.4291
86.598682 78.259 -148.8325
87.226212 78.277 -149.1906
87.858289 78.295 -149.5078
88.494946 78.311 -149.8154
89.136217 78.325 -150.1567
89.782135 78.336 -150.5611
90.432733 78.343 -151.0292
91.088046 78.348 -151.5398
91.748108 78.354 -152.0692
92.412952 78.362 -152.6019
93.082615 78.371 -153.1275
93.757130 78.380 -153.6358
94.436533 78.385 -154.1176
95.120859 78.385 -154.5694
95.810144 78.382 -154.9932
96.504423 78.375 -155.3932
97.203734 78.366 -155.7744
97.908112 78.354 -156.1442
98.617595 78.342 -156.5140
99.332219 78.330 -156.8960
100.052021 78.319 -157.2974
100.777039 78.309 -157.7190
101.507311 78.301 -158.1585
102.242875 78.296 -158.6154
102.983769 78.295 -159.0896
103.730032 78.297 -159.5749
104.481702 78.300 -160.0520
105.238820 78.302 -160.4929
106.001424 78.303 -160.8766
106.769554 78.301 -161.2043
107.543250 78.295 -161.4996
108.322553 78.284 -161.7927
109.107503 78.269 -162.1028
109.898141 78.252 -162.4332
110.694508 78.234 -162.7781
111.496646 78.218 -163.1346
112.304596 78.204 -163.5101
113.118402 78.190 -163.9167
113.938104 78.175 -164.3584
114.763747 78.161 -164.8206
115.595372 78.148 -165.2720
116.433024 78.137 -165.6801
117.276746 78.126 -166.0305
118.126581 78.113 -166.3322
118.982575 78.096 -166.6091
119.844772 78.075 -166.8887
120.713217 78.054 -167.1922
121.587954 78.034 -167.5315
122.469031 78.013 -167.9070
123.356492 77.990 -168.3016
124.250384 77.967 -168.6836
125.150753 77.945 -169.0235
126.057647 77.926 -169.3123
126.971113 77.910 -169.5689
127.891198 77.897 -169.8259
128.817950 77.881 -170.1013
129.751418 77.862 -170.3888
130.691651 77.837 -170.6754
131.638696 77.808 -170.9564
132.592604 77.777 -171.2364
133.553425 77.747 -171.5228
134.521208 77.719 -171.8152
135.496004 77.694 -172.1016
136.477864 77.670 -172.3635
137.466839 77.646 -172.5893
138.462981 77.620 -172.7874
139.466340 77.589 -172.9826
140.476971 77.554 -173.1975
141.494925 77.517 -173.4380
142.520256 77.483 -173.6952
143.553016 77.454 -173.9545
144.593260 77.433 -174.2039
145.641043 77.416 -174.4417
146.696418 77.402 -174.6774
147.759441 77.387 -174.9245
148.830166 77.368 -175.1900
149.908651 77.345 -175.4678
150.994951 77.317 -175.7438
152.089123 77.287 -176.0101
153.191223 77.257 -176.2687
154.301310 77.228 -176.5185
155.419441 77.203 -176.7496
156.545674 77.178 -176.9531
157.680069 77.153 -177.1297
158.822683 77.126 -177.2889
159.973578 77.098 -177.4408
161.132813 77.068 -177.5887
162.300447 77.037 -177.7293
163.476543 77.006 -177.8573
164.661162 76.976 -177.9720
165.854364 76.946 -178.0847
167.056213 76.917 -178.2165
168.266772 76.889 -178.3833
169.486102 76.860 -178.5822
170.714268 76.833 -178.7995
171.951334 76.805 -179.0244
173.197364 76.776 -179.2498
174.452424 76.747 -179.4655
175.716578 76.716 -179.6582
176.989893 76.685 -179.8190
178.272434 76.652 -179.9451
179.564270 76.620 179.9615
180.865467 76.588 179.8938
182.176092 76.558 179.8370
183.496216 76.529 179.7734
184.825905 76.502 179.6904
186.165229 76.476 179.5867
187.514259 76.450 179.4690
188.873065 76.424 179.3444
190.241717 76.396 179.2180
191.620287 76.366 179.0970
193.008847 76.333 178.9924
194.407468 76.298 178.9156
195.816225 76.263 178.8661
197.235190 76.230 178.8247
198.664438 76.198 178.7627
200.104042 76.169 178.6618
201.554078 76.140 178.5272
203.014622 76.111 178.3810
204.485750 76.083 178.2452
205.967538 76.056 178.1288
207.460064 76.030 178.0314
208.963405 76.006 177.9498
210.477640 75.982 177.8804
212.002848 75.958 177.8182
213.539108 75.933 177.7571
215.086500 75.906 177.6942
216.645105 75.877 177.6304
218.215005 75.847 177.5681
219.796281 75.817 177.5073
221.389015 75.787 177.4459
222.993292 75.758 177.3827
224.609193 75.731 177.3187
226.236804 75.704 177.2534
227.876209 75.677 177.1852
229.527494 75.650 177.1148
231.190745 75.622 177.0442
232.866048 75.593 176.9755
234.553491 75.563 176.9081
236.253163 75.532 176.8416
237.965150 75.500 176.7781
239.689544 75.468 176.7228
241.426433 75.436 176.6818
243.175909 75.403 176.6592
244.938062 75.371 176.6538
246.712984 75.337 176.6590
248.500768 75.303 176.6673
250.301507 75.267 176.6748
252.115295 75.231 176.6833
253.942226 75.193 176.6964
255.782396 75.156 176.7158
257.635901 75.122 176.7406
259.502837 75.091 176.7677
261.383301 75.063 176.7929
263.277392 75.036 176.8155
265.185209 75.010 176.8390
267.106850 74.984 176.8667
269.042417 74.957 176.8964
270.992009 74.930 176.9222
272.955729 74.902 176.9400
274.933678 74.872 176.9509
276.925961 74.840 176.9584
278.932681 74.809 176.9653
280.953942 74.778 176.9731
282.989850 74.750 176.9839
285.040511 74.723 177.0023
287.106032 74.697 177.0311
289.186521 74.670 177.0687
291.282086 74.642 177.1076
293.392836 74.615 177.1418
295.518881 74.588 177.1730
297.660333 74.562 177.2087
299.817302 74.536 177.2559
301.989902 74.508 177.3184
304.178245 74.479 177.3971
306.382446 74.449 177.4872
308.602620 74.419 177.5775
310.838882 74.391 177.6600
313.091348 74.365 177.7373
315.360137 74.338 177.8191
317.645367 74.312 177.9122
319.947156 74.286 178.0131
322.265625 74.259 178.1121
324.600895 74.230 178.2028
326.953086 74.200 178.2862
329.322323 74.170 178.3677
331.708729 74.141 178.4514
334.112427 74.112 178.5401
336.533543 74.083 178.6357
338.972204 74.054 178.7389
341.428536 74.026 178.8504
343.902668 74.000 178.9708
346.394729 73.976 179.0972
348.904848 73.954 179.2222
