* Measurement data measured by REW V5.31.3
* Source: Микрофон (2- CX31993 384Khz HIFI AUDIO), MICROPHONE (Общая громкость), R, volume: 0,000
* Format: 256k Log Swept Sine, 1 sweep at -20,0 dBFS with no timing reference
* Dated: 10.01.2025 13:42:43
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: JF11 tooclose
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 85.674 -88.1778
20.287556 85.699 -88.3028
20.434568 85.736 -88.4835
20.582645 85.782 -88.6987
20.731796 85.834 -88.9313
20.882027 85.889 -89.1704
21.033346 85.947 -89.4102
21.185763 86.007 -89.6493
21.339284 86.068 -89.8883
21.493917 86.129 -90.1293
21.649671 86.191 -90.3746
21.806553 86.252 -90.6260
21.964572 86.313 -90.8847
22.123737 86.374 -91.1513
22.284054 86.435 -91.4255
22.445534 86.495 -91.7068
22.608183 86.556 -91.9943
22.772012 86.617 -92.2869
22.937027 86.679 -92.5841
23.103238 86.742 -92.8851
23.270654 86.806 -93.1897
23.439282 86.871 -93.4978
23.609133 86.938 -93.8092
23.780215 87.006 -94.1236
23.952536 87.073 -94.4403
24.126106 87.141 -94.7584
24.300934 87.208 -95.0763
24.477028 87.274 -95.3923
24.654399 87.338 -95.7041
24.833055 87.399 -96.0098
25.013005 87.458 -96.3074
25.194260 87.515 -96.5957
25.376828 87.568 -96.8741
25.560719 87.620 -97.1431
25.745942 87.671 -97.4044
25.932508 87.720 -97.6606
26.120426 87.770 -97.9153
26.309705 87.819 -98.1726
26.500356 87.869 -98.4365
26.692388 87.920 -98.7106
26.885812 87.973 -98.9975
27.080638 88.027 -99.2985
27.276876 88.082 -99.6134
27.474535 88.139 -99.9404
27.673627 88.197 -100.2767
27.874161 88.256 -100.6189
28.076149 88.317 -100.9632
28.279600 88.379 -101.3061
28.484526 88.442 -101.6445
28.690937 88.507 -101.9762
28.898843 88.572 -102.2991
29.108256 88.638 -102.6120
29.319186 88.704 -102.9135
29.531645 88.770 -103.2030
29.745644 88.835 -103.4801
29.961193 88.900 -103.7456
30.178304 88.965 -104.0019
30.396989 89.030 -104.2526
30.617258 89.095 -104.5035
30.839123 89.161 -104.7608
31.062596 89.225 -105.0308
31.287688 89.289 -105.3183
31.514412 89.350 -105.6253
31.742778 89.408 -105.9504
31.972800 89.462 -106.2892
32.204488 89.512 -106.6352
32.437855 89.559 -106.9814
32.672913 89.603 -107.3230
32.909674 89.645 -107.6580
33.148151 89.688 -107.9886
33.388356 89.732 -108.3202
33.630302 89.777 -108.6595
33.874001 89.824 -109.0118
34.119466 89.872 -109.3791
34.366710 89.920 -109.7585
34.615745 89.968 -110.1425
34.866585 90.017 -110.5214
35.119243 90.066 -110.8859
35.373731 90.117 -111.2300
35.630064 90.173 -111.5535
35.888254 90.232 -111.8612
36.148315 90.296 -112.1621
36.410261 90.362 -112.4660
36.674104 90.429 -112.7803
36.939860 90.494 -113.1082
37.207542 90.555 -113.4482
37.477163 90.610 -113.7956
37.748738 90.660 -114.1449
38.022281 90.705 -114.4915
38.297806 90.746 -114.8338
38.575327 90.786 -115.1723
38.854860 90.825 -115.5089
39.136419 90.864 -115.8447
39.420017 90.905 -116.1794
39.705671 90.948 -116.5108
39.993395 90.992 -116.8366
40.283203 91.039 -117.1557
40.575112 91.089 -117.4703
40.869136 91.140 -117.7854
41.165290 91.193 -118.1089
41.463591 91.247 -118.4485
41.764053 91.300 -118.8102
42.066693 91.351 -119.1961
42.371525 91.400 -119.6041
42.678567 91.446 -120.0278
42.987834 91.489 -120.4575
43.299341 91.532 -120.8818
43.613106 91.574 -121.2895
43.929145 91.616 -121.6714
44.247473 91.660 -122.0228
44.568109 91.705 -122.3445
44.891068 91.754 -122.6437
45.216367 91.804 -122.9320
45.544023 91.856 -123.2223
45.874054 91.910 -123.5256
46.206476 91.963 -123.8479
46.541307 92.017 -124.1898
46.878565 92.071 -124.5480
47.218266 92.125 -124.9179
47.560429 92.180 -125.2959
47.905072 92.235 -125.6802
48.252212 92.286 -126.0695
48.601867 92.333 -126.4613
48.954056 92.372 -126.8514
49.308798 92.403 -127.2343
49.666109 92.427 -127.6061
50.026010 92.446 -127.9664
50.388520 92.463 -128.3188
50.753656 92.483 -128.6701
51.121437 92.507 -129.0269
51.491884 92.538 -129.3942
51.865016 92.575 -129.7737
52.240851 92.615 -130.1644
52.619410 92.658 -130.5638
53.000712 92.700 -130.9684
53.384777 92.739 -131.3746
53.771625 92.775 -131.7798
54.161276 92.807 -132.1820
54.553751 92.838 -132.5804
54.949070 92.868 -132.9754
55.347254 92.899 -133.3680
55.748323 92.930 -133.7596
56.152298 92.963 -134.1530
56.559201 92.995 -134.5517
56.969052 93.028 -134.9599
57.381873 93.059 -135.3804
57.797686 93.089 -135.8130
58.216512 93.119 -136.2535
58.638373 93.149 -136.6953
59.063291 93.179 -137.1312
59.491288 93.212 -137.5557
59.922386 93.245 -137.9661
60.356608 93.279 -138.3628
60.793977 93.312 -138.7492
61.234515 93.344 -139.1301
61.678246 93.375 -139.5099
62.125192 93.403 -139.8907
62.575377 93.431 -140.2716
63.028824 93.457 -140.6509
63.485557 93.485 -141.0280
63.945599 93.512 -141.4041
64.408975 93.539 -141.7806
64.875709 93.565 -142.1577
65.345825 93.589 -142.5344
65.819348 93.613 -142.9110
66.296302 93.636 -143.2907
66.776713 93.658 -143.6785
67.260604 93.681 -144.0784
67.748002 93.702 -144.4906
68.238932 93.722 -144.9127
68.733420 93.741 -145.3415
69.231490 93.759 -145.7739
69.733170 93.777 -146.2074
70.238485 93.794 -146.6391
70.747463 93.812 -147.0659
71.260128 93.829 -147.4856
71.776508 93.847 -147.8973
72.296630 93.865 -148.3009
72.820521 93.884 -148.6972
73.348209 93.901 -149.0879
73.879720 93.918 -149.4754
74.415083 93.934 -149.8612
74.954326 93.949 -150.2445
75.497475 93.962 -150.6228
76.044561 93.974 -150.9943
76.595612 93.985 -151.3599
77.150655 93.996 -151.7234
77.709720 94.005 -152.0893
78.272837 94.013 -152.4607
78.840034 94.020 -152.8386
79.411342 94.027 -153.2224
79.986789 94.035 -153.6107
80.566406 94.044 -154.0012
81.150224 94.053 -154.3918
81.738272 94.062 -154.7809
82.330581 94.071 -155.1678
82.927182 94.079 -155.5521
83.528107 94.087 -155.9337
84.133386 94.094 -156.3131
84.743051 94.101 -156.6922
85.357134 94.107 -157.0727
85.975667 94.111 -157.4537
86.598682 94.114 -157.8320
87.226212 94.116 -158.2042
87.858289 94.118 -158.5693
88.494946 94.120 -158.9292
89.136217 94.123 -159.2874
89.782135 94.125 -159.6471
90.432733 94.127 -160.0096
91.088046 94.130 -160.3738
91.748108 94.132 -160.7373
92.412952 94.134 -161.0976
93.082615 94.135 -161.4532
93.757130 94.136 -161.8051
94.436533 94.135 -162.1549
95.120859 94.134 -162.5041
95.810144 94.131 -162.8537
96.504423 94.128 -163.2041
97.203734 94.125 -163.5554
97.908112 94.121 -163.9061
98.617595 94.117 -164.2546
99.332219 94.113 -164.5992
100.052021 94.108 -164.9393
100.777039 94.103 -165.2749
101.507311 94.098 -165.6077
102.242875 94.093 -165.9394
102.983769 94.088 -166.2710
103.730032 94.083 -166.6027
104.481702 94.079 -166.9340
105.238820 94.074 -167.2643
106.001424 94.068 -167.5929
106.769554 94.061 -167.9194
107.543250 94.054 -168.2433
108.322553 94.045 -168.5636
109.107503 94.035 -168.8786
109.898141 94.024 -169.1879
110.694508 94.013 -169.4929
111.496646 94.001 -169.7953
112.304596 93.989 -170.0968
113.118402 93.977 -170.3985
113.938104 93.966 -170.7016
114.763747 93.954 -171.0061
115.595372 93.941 -171.3108
116.433024 93.929 -171.6127
117.276746 93.916 -171.9088
118.126581 93.904 -172.1977
118.982575 93.891 -172.4811
119.844772 93.878 -172.7616
120.713217 93.865 -173.0414
121.587954 93.852 -173.3214
122.469031 93.839 -173.6013
123.356492 93.826 -173.8794
124.250384 93.814 -174.1545
125.150753 93.801 -174.4264
126.057647 93.789 -174.6963
126.971113 93.778 -174.9652
127.891198 93.765 -175.2330
128.817950 93.752 -175.4991
129.751418 93.737 -175.7636
130.691651 93.720 -176.0268
131.638696 93.701 -176.2888
132.592604 93.682 -176.5488
133.553425 93.663 -176.8053
134.521208 93.643 -177.0570
135.496004 93.624 -177.3034
136.477864 93.605 -177.5446
137.466839 93.586 -177.7810
138.462981 93.568 -178.0144
139.466340 93.550 -178.2478
140.476971 93.533 -178.4839
141.494925 93.517 -178.7230
142.520256 93.501 -178.9626
143.553016 93.484 -179.1993
144.593260 93.468 -179.4301
145.641043 93.452 -179.6541
146.696418 93.435 -179.8724
147.759441 93.417 179.9126
148.830166 93.397 179.6970
149.908651 93.377 179.4774
150.994951 93.357 179.2533
152.089123 93.337 179.0273
153.191223 93.319 178.8035
154.301310 93.300 178.5847
155.419441 93.282 178.3713
156.545674 93.263 178.1630
157.680069 93.243 177.9592
158.822683 93.223 177.7598
159.973578 93.202 177.5652
161.132813 93.181 177.3757
162.300447 93.160 177.1910
163.476543 93.138 177.0099
164.661162 93.116 176.8304
165.854364 93.094 176.6509
167.056213 93.072 176.4702
168.266772 93.050 176.2880
169.486102 93.028 176.1050
170.714268 93.005 175.9221
171.951334 92.982 175.7404
173.197364 92.959 175.5604
174.452424 92.936 175.3826
175.716578 92.913 175.2070
176.989893 92.890 175.0334
178.272434 92.868 174.8619
179.564270 92.846 174.6920
180.865467 92.824 174.5232
182.176092 92.802 174.3553
183.496216 92.780 174.1889
184.825905 92.758 174.0261
186.165229 92.736 173.8691
187.514259 92.714 173.7185
188.873065 92.691 173.5726
190.241717 92.669 173.4286
191.620287 92.646 173.2843
193.008847 92.624 173.1385
194.407468 92.601 172.9924
195.816225 92.578 172.8481
197.235190 92.556 172.7069
198.664438 92.534 172.5685
200.104042 92.512 172.4313
201.554078 92.491 172.2944
203.014622 92.469 172.1578
204.485750 92.446 172.0222
205.967538 92.424 171.8889
207.460064 92.401 171.7588
208.963405 92.377 171.6328
210.477640 92.354 171.5116
212.002848 92.331 171.3956
213.539108 92.307 171.2846
215.086500 92.284 171.1783
216.645105 92.260 171.0753
218.215005 92.236 170.9736
219.796281 92.212 170.8702
221.389015 92.189 170.7618
222.993292 92.167 170.6469
224.609193 92.145 170.5271
226.236804 92.124 170.4061
227.876209 92.103 170.2872
229.527494 92.081 170.1727
231.190745 92.059 170.0627
232.866048 92.037 169.9562
234.553491 92.013 169.8517
236.253163 91.989 169.7487
237.965150 91.965 169.6470
239.689544 91.940 169.5468
241.426433 91.915 169.4492
243.175909 91.890 169.3550
244.938062 91.865 169.2648
246.712984 91.840 169.1783
248.500768 91.814 169.0950
250.301507 91.789 169.0137
252.115295 91.764 168.9332
253.942226 91.738 168.8530
255.782396 91.713 168.7732
257.635901 91.688 168.6940
259.502837 91.663 168.6160
261.383301 91.638 168.5396
263.277392 91.613 168.4646
265.185209 91.589 168.3907
267.106850 91.564 168.3176
269.042417 91.540 168.2451
270.992009 91.516 168.1733
272.955729 91.493 168.1022
274.933678 91.470 168.0316
276.925961 91.447 167.9618
278.932681 91.425 167.8939
280.953942 91.403 167.8288
282.989850 91.381 167.7670
285.040511 91.358 167.7083
287.106032 91.335 167.6516
289.186521 91.312 167.5952
291.282086 91.287 167.5398
293.392836 91.263 167.4874
295.518881 91.238 167.4388
297.660333 91.213 167.3927
299.817302 91.189 167.3474
301.989902 91.164 167.3023
304.178245 91.140 167.2575
306.382446 91.116 167.2128
308.602620 91.092 167.1677
310.838882 91.070 167.1216
313.091348 91.047 167.0749
315.360137 91.024 167.0269
317.645367 91.000 166.9773
319.947156 90.975 166.9280
322.265625 90.951 166.8823
324.600895 90.926 166.8424
326.953086 90.902 166.8087
329.322323 90.879 166.7790
331.708729 90.856 166.7505
334.112427 90.833 166.7209
336.533543 90.811 166.6896
338.972204 90.790 166.6586
341.428536 90.768 166.6304
343.902668 90.747 166.6065
346.394729 90.725 166.5876
348.904848 90.703 166.5730
351.433156 90.680 166.5620
353.979786 90.658 166.5545
