* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -11,6 dBFS, measurement signal peak level -11,5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 05.03.2024 17:16:46
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0250 ms (-8,6 mm, -0,34 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: whizzer
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 111.445 -96.8784
20.523834 111.225 -97.6316
20.860291 110.977 -98.0272
21.196747 110.825 -98.4112
21.533203 110.832 -99.4045
21.869659 110.960 -101.3483
22.206116 111.125 -103.9079
22.542572 111.266 -106.2223
22.879028 111.396 -107.4096
23.215485 111.601 -107.1496
23.551941 111.958 -106.0109
23.888397 112.440 -105.0544
24.224854 112.920 -104.9414
24.561310 113.275 -105.5272
24.897766 113.485 -106.1867
25.234222 113.646 -106.4314
25.570679 113.911 -106.4783
25.907135 114.358 -107.3007
26.243591 114.909 -109.8604
26.580048 115.387 -114.3263
26.916504 115.627 -120.0574
27.252960 115.522 -125.9645
27.589417 115.043 -130.7447
27.925873 114.263 -133.0103
28.262329 113.420 -131.7394
28.598785 112.886 -127.4829
28.935242 112.860 -122.9713
29.271698 113.131 -120.7860
29.608154 113.352 -121.2060
29.944611 113.343 -122.9793
30.281067 113.124 -124.5971
30.617523 112.857 -125.0039
30.953979 112.760 -124.1326
31.290436 112.953 -122.9735
31.626892 113.355 -122.6438
31.963348 113.778 -123.4111
32.299805 114.075 -124.7432
32.636261 114.205 -125.8941
32.972717 114.220 -126.3996
33.309174 114.216 -126.3677
33.645630 114.260 -126.4489
33.982086 114.333 -127.3797
34.318542 114.354 -129.4401
34.654999 114.248 -132.2751
34.991455 113.993 -135.0625
35.327911 113.643 -136.8195
35.664368 113.335 -136.8391
36.000824 113.251 -135.2526
36.337280 113.490 -133.2062
36.673737 113.979 -132.0547
37.010193 114.534 -132.3743
37.346649 115.004 -133.8994
37.683105 115.322 -136.0164
38.019562 115.485 -138.1512
38.356018 115.524 -139.9346
38.692474 115.468 -141.2111
39.028931 115.328 -141.9402
39.365387 115.101 -142.0682
39.701843 114.797 -141.4857
40.038300 114.458 -140.1455
40.374756 114.159 -138.2848
40.711212 113.964 -136.5235
41.047668 113.879 -135.6030
41.384125 113.857 -135.9169
41.720581 113.845 -137.2815
42.057037 113.828 -139.0879
42.393494 113.829 -140.6480
42.729950 113.892 -141.5377
43.066406 114.039 -141.7674
43.402863 114.244 -141.6570
43.739319 114.440 -141.5249
44.075775 114.560 -141.4824
44.412231 114.575 -141.4682
44.748688 114.505 -141.4115
45.085144 114.399 -141.3626
45.421600 114.307 -141.4838
45.758057 114.255 -141.9050
46.094513 114.246 -142.5761
46.430969 114.273 -143.2715
46.767426 114.335 -143.7484
47.103882 114.431 -143.9251
47.440338 114.547 -143.9277
47.776794 114.648 -143.9675
48.113251 114.692 -144.1636
48.449707 114.652 -144.4635
48.786163 114.539 -144.7074
49.122620 114.405 -144.7777
49.459076 114.316 -144.7289
49.795532 114.318 -144.7828
50.131989 114.406 -145.1617
50.468445 114.541 -145.9015
50.804901 114.670 -146.8186
51.141357 114.761 -147.6319
51.477814 114.811 -148.1266
51.814270 114.835 -148.2599
52.150726 114.851 -148.1629
52.487183 114.867 -148.0452
52.823639 114.877 -148.0713
53.160095 114.875 -148.2925
53.496552 114.861 -148.6643
53.833008 114.841 -149.1072
54.169464 114.828 -149.5590
54.505920 114.825 -149.9893
54.842377 114.833 -150.3857
55.178833 114.845 -150.7378
55.515289 114.859 -151.0380
55.851746 114.870 -151.2925
56.188202 114.880 -151.5259
56.524658 114.888 -151.7698
56.861115 114.891 -152.0433
57.197571 114.890 -152.3413
57.534027 114.885 -152.6408
57.870483 114.881 -152.9187
58.206940 114.882 -153.1661
58.543396 114.888 -153.3896
58.879852 114.901 -153.6013
59.216309 114.917 -153.8091
59.552765 114.933 -154.0148
59.889221 114.947 -154.2202
60.225677 114.959 -154.4320
60.562134 114.967 -154.6587
60.898590 114.969 -154.9034
61.235046 114.965 -155.1574
61.571503 114.956 -155.4045
61.907959 114.946 -155.6301
62.244415 114.939 -155.8324
62.580872 114.938 -156.0228
62.917328 114.944 -156.2179
63.253784 114.954 -156.4270
63.590240 114.964 -156.6464
63.926697 114.972 -156.8623
64.263153 114.977 -157.0615
64.599609 114.981 -157.2406
64.936066 114.983 -157.4086
65.272522 114.987 -157.5808
65.608978 114.991 -157.7696
65.945435 114.994 -157.9778
66.281891 114.997 -158.1981
66.618347 114.998 -158.4181
66.954803 114.999 -158.6270
67.291260 115.001 -158.8193
67.627716 115.003 -158.9957
67.964172 115.006 -159.1597
68.300629 115.009 -159.3158
68.637085 115.012 -159.4682
68.973541 115.016 -159.6214
69.309998 115.020 -159.7805
69.646454 115.024 -159.9509
69.982910 115.028 -160.1348
70.319366 115.032 -160.3304
70.655823 115.034 -160.5311
70.992279 115.035 -160.7283
71.328735 115.036 -160.9156
71.665192 115.036 -161.0904
72.001648 115.038 -161.2540
72.338104 115.039 -161.4091
72.674561 115.041 -161.5573
73.011017 115.043 -161.6989
73.347473 115.044 -161.8349
73.683929 115.046 -161.9691
74.020386 115.049 -162.1085
74.356842 115.052 -162.2609
74.693298 115.057 -162.4307
75.029755 115.062 -162.6162
75.366211 115.068 -162.8100
75.702667 115.073 -163.0022
76.039124 115.078 -163.1844
76.375580 115.083 -163.3526
76.712036 115.086 -163.5072
77.048492 115.088 -163.6510
77.384949 115.087 -163.7875
77.721405 115.084 -163.9201
78.057861 115.078 -164.0527
78.394318 115.073 -164.1899
78.730774 115.070 -164.3364
79.067230 115.069 -164.4942
79.403687 115.071 -164.6610
79.740143 115.076 -164.8296
80.076599 115.083 -164.9913
80.413055 115.091 -165.1394
80.749512 115.099 -165.2728
81.085968 115.106 -165.3958
81.422424 115.110 -165.5157
81.758881 115.110 -165.6391
82.095337 115.106 -165.7702
82.431793 115.101 -165.9115
82.768250 115.094 -166.0648
83.104706 115.089 -166.2314
83.441162 115.086 -166.4094
83.777618 115.084 -166.5912
84.114075 115.084 -166.7639
84.450531 115.084 -166.9141
84.786987 115.087 -167.0352
85.123444 115.091 -167.1322
85.459900 115.097 -167.2201
85.796356 115.103 -167.3151
86.132812 115.107 -167.4267
86.469269 115.107 -167.5536
86.805725 115.104 -167.6886
87.142181 115.100 -167.8258
87.478638 115.096 -167.9662
87.815094 115.094 -168.1155
88.151550 115.094 -168.2761
88.488007 115.093 -168.4415
88.824463 115.092 -168.5972
89.160919 115.089 -168.7304
89.497375 115.088 -168.8390
89.833832 115.089 -168.9340
90.170288 115.091 -169.0321
90.506744 115.094 -169.1439
90.843201 115.094 -169.2665
91.179657 115.092 -169.3872
91.516113 115.089 -169.4948
91.852570 115.088 -169.5895
92.189026 115.090 -169.6840
92.525482 115.093 -169.7934
92.861938 115.097 -169.9234
93.198395 115.098 -170.0654
93.534851 115.096 -170.2030
93.871307 115.093 -170.3240
94.207764 115.091 -170.4302
94.544220 115.092 -170.5355
94.880676 115.095 -170.6549
95.217133 115.097 -170.7919
95.553589 115.097 -170.9349
95.890045 115.093 -171.0653
96.226501 115.088 -171.1701
96.562958 115.084 -171.2516
96.899414 115.082 -171.3259
97.235870 115.081 -171.4117
97.572327 115.081 -171.5177
97.908783 115.077 -171.6370
98.245239 115.072 -171.7531
98.581696 115.065 -171.8520
98.918152 115.062 -171.9331
99.254608 115.063 -172.0104
99.591064 115.070 -172.1037
99.927521 115.078 -172.2256
100.263977 115.085 -172.3726
100.600433 115.088 -172.5264
100.936890 115.086 -172.6651
101.273346 115.083 -172.7760
101.609802 115.081 -172.8633
101.946259 115.081 -172.9453
102.282715 115.083 -173.0414
102.619171 115.083 -173.1592
102.955627 115.079 -173.2882
103.292084 115.070 -173.4064
103.628540 115.060 -173.4949
103.964996 115.051 -173.5519
104.301453 115.048 -173.5962
104.637909 115.051 -173.6574
104.974365 115.056 -173.7577
105.310822 115.060 -173.8968
105.647278 115.059 -174.0519
105.983734 115.053 -174.1899
106.320190 115.045 -174.2881
106.656647 115.041 -174.3482
106.993103 115.044 -174.3951
107.329559 115.052 -174.4617
107.666016 115.062 -174.5676
108.002472 115.068 -174.7069
108.338928 115.066 -174.8518
108.675385 115.059 -174.9699
109.011841 115.049 -175.0442
109.348297 115.041 -175.0837
109.684753 115.039 -175.1187
110.021210 115.042 -175.1825
110.357666 115.045 -175.2926
110.694122 115.044 -175.4409
111.030579 115.038 -175.5997
111.367035 115.027 -175.7379
111.703491 115.017 -175.8376
112.039948 115.010 -175.9023
112.376404 115.011 -175.9527
112.712860 115.017 -176.0131
113.049316 115.025 -176.0976
113.385773 115.031 -176.2038
113.722229 115.032 -176.3158
114.058685 115.028 -176.4156
114.395142 115.021 -176.4923
114.731598 115.014 -176.5478
115.068054 115.009 -176.5944
115.404510 115.006 -176.6477
115.740967 115.005 -176.7192
116.077423 115.004 -176.8120
116.413879 115.004 -176.9215
116.750336 115.003 -177.0388
117.086792 115.001 -177.1548
117.423248 114.997 -177.2633
117.759705 114.994 -177.3612
118.096161 114.990 -177.4488
118.432617 114.987 -177.5289
118.769073 114.984 -177.6059
119.105530 114.982 -177.6848
119.441986 114.981 -177.7691
119.778442 114.981 -177.8592
120.114899 114.980 -177.9514
120.451355 114.980 -178.0391
120.787811 114.979 -178.1161
121.124268 114.978 -178.1796
121.460724 114.977 -178.2325
121.797180 114.977 -178.2816
122.133636 114.974 -178.3344
122.470093 114.970 -178.3959
122.806549 114.964 -178.4670
123.143005 114.956 -178.5458
123.479462 114.948 -178.6311
123.815918 114.942 -178.7235
124.152374 114.938 -178.8250
124.488831 114.936 -178.9365
124.825287 114.936 -179.0547
125.161743 114.937 -179.1717
125.498199 114.937 -179.2780
125.834656 114.936 -179.3661
126.171112 114.935 -179.4342
126.507568 114.933 -179.4863
126.844025 114.931 -179.5296
127.180481 114.928 -179.5717
127.516937 114.924 -179.6175
127.853394 114.921 -179.6699
128.189850 114.917 -179.7302
128.526306 114.913 -179.7990
128.862762 114.910 -179.8765
129.199219 114.906 -179.9610
129.535675 114.902 179.9507
129.872131 114.898 179.8628
130.208588 114.893 179.7789
130.545044 114.889 179.7001
130.881500 114.885 179.6251
131.217957 114.882 179.5510
131.554413 114.881 179.4752
131.890869 114.881 179.3961
132.227325 114.883 179.3129
132.563782 114.884 179.2257
132.900238 114.886 179.1350
133.236694 114.886 179.0431
133.573151 114.884 178.9543
133.909607 114.880 178.8745
134.246063 114.874 178.8089
134.582520 114.867 178.7593
134.918976 114.861 178.7219
135.255432 114.856 178.6887
135.591888 114.853 178.6501
135.928345 114.851 178.5994
136.264801 114.849 178.5354
136.601257 114.845 178.4618
136.937714 114.840 178.3851
137.274170 114.833 178.3112
137.610626 114.825 178.2426
137.947083 114.817 178.1782
138.283539 114.811 178.1148
138.619995 114.806 178.0483
138.956451 114.804 177.9763
139.292908 114.802 177.8979
139.629364 114.803 177.8144
139.965820 114.803 177.7287
140.302277 114.804 177.6444
140.638733 114.804 177.5649
140.975189 114.804 177.4923
141.311646 114.803 177.4267
141.648102 114.801 177.3661
141.984558 114.799 177.3079
142.321014 114.795 177.2493
142.657471 114.791 177.1890
142.993927 114.787 177.1270
143.330383 114.781 177.0647
143.666840 114.776 177.0035
144.003296 114.770 176.9446
144.339752 114.764 176.8883
144.676208 114.758 176.8345
145.012665 114.752 176.7830
145.349121 114.746 176.7327
145.685577 114.741 176.6824
146.022034 114.737 176.6297
146.358490 114.733 176.5724
146.694946 114.731 176.5085
147.031403 114.728 176.4375
147.367859 114.726 176.3607
147.704315 114.724 176.2816
148.040771 114.721 176.2044
148.377228 114.718 176.1324
148.713684 114.715 176.0669
149.050140 114.713 176.0057
149.386597 114.713 175.9447
149.723053 114.714 175.8795
150.059509 114.714 175.8080
150.395966 114.714 175.7323
150.732422 114.712 175.6581
151.068878 114.709 175.5925
151.405334 114.704 175.5403
