* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -6,9 dBFS, measurement signal peak level -6,9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 28.08.2023 15:34:02
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,1109 ms (-38 mm, -1,5 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: 333
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 108.814 -96.1047
20.333664 108.839 -96.3455
20.481010 108.876 -96.7088
20.629424 108.921 -97.1664
20.778913 108.971 -97.6920
20.929486 109.024 -98.2639
21.081150 109.077 -98.8642
21.233912 109.131 -99.4778
21.387782 109.184 -100.0913
21.542767 109.236 -100.6928
21.698874 109.288 -101.2709
21.856113 109.339 -101.8156
22.014492 109.391 -102.3183
22.174018 109.442 -102.7727
22.334700 109.494 -103.1750
22.496546 109.548 -103.5254
22.659566 109.604 -103.8278
22.823766 109.663 -104.0907
22.989157 109.724 -104.3266
23.155745 109.789 -104.5512
23.323542 109.856 -104.7826
23.492554 109.925 -105.0386
23.662790 109.992 -105.3356
23.834261 110.058 -105.6857
24.006973 110.118 -106.0956
24.180938 110.172 -106.5655
24.356163 110.216 -107.0886
24.532658 110.250 -107.6520
24.710431 110.273 -108.2377
24.889493 110.287 -108.8251
25.069853 110.292 -109.3935
25.251519 110.293 -109.9245
25.434502 110.291 -110.4050
25.618811 110.291 -110.8290
25.804456 110.297 -111.1984
25.991445 110.311 -111.5229
26.179790 110.334 -111.8182
26.369500 110.367 -112.1027
26.560584 110.408 -112.3944
26.753053 110.456 -112.7078
26.946917 110.506 -113.0516
27.142185 110.557 -113.4282
27.338869 110.606 -113.8338
27.536977 110.651 -114.2610
27.736522 110.693 -114.7002
27.937512 110.731 -115.1427
28.139959 110.767 -115.5818
28.343872 110.801 -116.0141
28.549264 110.835 -116.4388
28.756143 110.868 -116.8571
28.964522 110.902 -117.2704
29.174411 110.935 -117.6787
29.385821 110.968 -118.0804
29.598763 110.999 -118.4724
29.813248 111.029 -118.8511
30.029287 111.059 -119.2144
30.246891 111.089 -119.5637
30.466073 111.121 -119.9047
30.686842 111.156 -120.2472
30.909212 111.195 -120.6038
31.133193 111.235 -120.9864
31.358797 111.278 -121.4037
31.586035 111.319 -121.8578
31.814921 111.358 -122.3433
32.045465 111.392 -122.8480
32.277680 111.421 -123.3551
32.511577 111.445 -123.8468
32.747169 111.465 -124.3085
32.984469 111.482 -124.7320
33.223488 111.500 -125.1167
33.464239 111.519 -125.4697
33.706735 111.540 -125.8032
33.950987 111.563 -126.1309
34.197010 111.588 -126.4648
34.444816 111.613 -126.8119
34.694417 111.638 -127.1742
34.945827 111.662 -127.5488
35.199059 111.684 -127.9299
35.454126 111.706 -128.3117
35.711041 111.728 -128.6894
35.969818 111.751 -129.0608
36.230470 111.774 -129.4255
36.493011 111.797 -129.7844
36.757455 111.821 -130.1389
37.023814 111.845 -130.4900
37.292104 111.868 -130.8381
37.562338 111.891 -131.1839
37.834530 111.912 -131.5277
38.108695 111.934 -131.8700
38.384846 111.954 -132.2108
38.662999 111.975 -132.5495
38.943167 111.995 -132.8846
39.225365 112.015 -133.2144
39.509608 112.034 -133.5376
39.795911 112.054 -133.8542
40.084289 112.073 -134.1655
40.374756 112.091 -134.4735
40.667328 112.109 -134.7798
40.962020 112.126 -135.0851
41.258848 112.142 -135.3889
41.557827 112.157 -135.6907
41.858972 112.172 -135.9911
42.162299 112.189 -136.2932
42.467824 112.206 -136.6013
42.775564 112.225 -136.9192
43.085533 112.243 -137.2480
43.397749 112.261 -137.5840
43.712227 112.277 -137.9198
44.028983 112.293 -138.2463
44.348036 112.308 -138.5571
44.669400 112.323 -138.8506
44.993093 112.340 -139.1305
45.319131 112.358 -139.4042
45.647532 112.376 -139.6802
45.978313 112.392 -139.9669
46.311491 112.404 -140.2719
46.647083 112.411 -140.6022
46.985107 112.414 -140.9623
47.325581 112.411 -141.3512
47.668521 112.404 -141.7587
48.013947 112.395 -142.1640
48.361876 112.388 -142.5408
48.712326 112.389 -142.8662
49.065315 112.400 -143.1320
49.420863 112.426 -143.3492
49.778987 112.464 -143.5434
50.139706 112.508 -143.7435
50.503039 112.550 -143.9676
50.869005 112.584 -144.2176
51.237623 112.606 -144.4828
51.608912 112.618 -144.7499
51.982891 112.624 -145.0130
52.359580 112.628 -145.2759
52.739000 112.636 -145.5478
53.121168 112.647 -145.8334
53.506106 112.662 -146.1277
53.893833 112.677 -146.4173
54.284370 112.691 -146.6881
54.677737 112.704 -146.9345
55.073955 112.715 -147.1643
55.473043 112.726 -147.3951
55.875024 112.734 -147.6460
56.279917 112.739 -147.9270
56.687745 112.741 -148.2341
57.098527 112.740 -148.5510
57.512287 112.737 -148.8586
57.929045 112.736 -149.1435
58.348822 112.739 -149.4038
58.771642 112.747 -149.6463
59.197525 112.760 -149.8799
59.626495 112.775 -150.1090
60.058573 112.790 -150.3338
60.493782 112.804 -150.5528
60.932145 112.816 -150.7673
61.373685 112.825 -150.9808
61.818424 112.830 -151.1969
62.266386 112.833 -151.4167
62.717593 112.834 -151.6383
63.172071 112.834 -151.8593
63.629842 112.835 -152.0778
64.090930 112.837 -152.2921
64.555359 112.841 -152.5010
65.023154 112.845 -152.7043
65.494339 112.849 -152.9031
65.968938 112.854 -153.0998
66.446976 112.858 -153.2958
66.928478 112.862 -153.4894
67.413469 112.866 -153.6765
67.901975 112.869 -153.8523
68.394021 112.872 -154.0135
68.889632 112.876 -154.1597
69.388835 112.879 -154.2929
69.891655 112.883 -154.4167
70.398118 112.888 -154.5342
70.908252 112.893 -154.6467
71.422083 112.899 -154.7537
71.939636 112.907 -154.8539
72.460941 112.917 -154.9459
72.986023 112.929 -155.0284
73.514909 112.942 -155.1004
74.047629 112.960 -155.1636
74.584208 112.983 -155.2250
75.124676 113.014 -155.2975
75.669061 113.053 -155.3949
76.217390 113.098 -155.5261
76.769692 113.146 -155.6918
77.325997 113.194 -155.8892
77.886333 113.241 -156.1180
78.450730 113.285 -156.3825
79.019216 113.324 -156.6883
79.591822 113.359 -157.0363
80.168577 113.390 -157.4198
80.749512 113.416 -157.8261
81.334656 113.437 -158.2418
81.924040 113.452 -158.6559
82.517696 113.462 -159.0620
83.115653 113.467 -159.4571
83.717943 113.468 -159.8394
84.324598 113.467 -160.2077
84.935649 113.464 -160.5617
85.551128 113.462 -160.9022
86.171066 113.459 -161.2296
86.795497 113.457 -161.5441
87.424453 113.455 -161.8455
88.057967 113.453 -162.1342
88.696071 113.451 -162.4109
89.338800 113.448 -162.6758
89.986185 113.443 -162.9306
90.638262 113.437 -163.1791
91.295065 113.430 -163.4265
91.956626 113.424 -163.6752
92.622982 113.417 -163.9229
93.294166 113.410 -164.1648
93.970214 113.403 -164.3979
94.651161 113.395 -164.6228
95.337042 113.388 -164.8422
96.027894 113.381 -165.0590
96.723752 113.374 -165.2750
97.424652 113.367 -165.4904
98.130631 113.360 -165.7041
98.841726 113.353 -165.9144
99.557974 113.347 -166.1191
100.279412 113.342 -166.3175
101.006078 113.338 -166.5112
101.738010 113.334 -166.7032
102.475245 113.331 -166.8959
103.217823 113.327 -167.0889
103.965782 113.323 -167.2807
104.719161 113.320 -167.4693
105.477999 113.316 -167.6538
106.242336 113.312 -167.8353
107.012212 113.307 -168.0158
107.787666 113.302 -168.1961
108.568740 113.295 -168.3741
109.355474 113.289 -168.5471
110.147909 113.282 -168.7144
110.946086 113.276 -168.8793
111.750047 113.271 -169.0457
112.559834 113.266 -169.2153
113.375489 113.262 -169.3881
114.197055 113.257 -169.5638
115.024574 113.252 -169.7418
115.858089 113.246 -169.9203
116.697645 113.240 -170.0974
117.543284 113.234 -170.2724
118.395051 113.226 -170.4458
119.252990 113.219 -170.6183
120.117147 113.211 -170.7901
120.987565 113.204 -170.9613
121.864291 113.197 -171.1312
122.747370 113.190 -171.2992
123.636848 113.183 -171.4652
124.532771 113.175 -171.6295
125.435187 113.168 -171.7924
126.344142 113.160 -171.9538
127.259684 113.152 -172.1122
128.181860 113.144 -172.2659
129.110718 113.136 -172.4139
130.046308 113.128 -172.5580
130.988677 113.120 -172.7020
131.937875 113.112 -172.8487
132.893951 113.104 -172.9973
133.856956 113.095 -173.1454
134.826938 113.087 -173.2922
135.803950 113.079 -173.4385
136.788041 113.071 -173.5858
137.779264 113.063 -173.7337
138.777669 113.053 -173.8801
139.783309 113.043 -174.0239
140.796237 113.033 -174.1651
141.816504 113.023 -174.3047
142.844165 113.013 -174.4436
143.879273 113.002 -174.5811
144.921881 112.992 -174.7162
145.972045 112.982 -174.8486
147.029819 112.971 -174.9790
148.095257 112.960 -175.1076
149.168417 112.949 -175.2348
150.249353 112.938 -175.3606
151.338121 112.926 -175.4848
152.434780 112.914 -175.6075
153.539385 112.902 -175.7281
154.651995 112.890 -175.8468
155.772667 112.878 -175.9638
156.901460 112.865 -176.0799
158.038432 112.852 -176.1954
159.183644 112.839 -176.3099
160.337154 112.825 -176.4227
161.499023 112.812 -176.5325
162.669312 112.798 -176.6389
163.848081 112.784 -176.7419
165.035392 112.769 -176.8423
166.231306 112.755 -176.9407
167.435887 112.741 -177.0372
168.649196 112.726 -177.1309
169.871298 112.711 -177.2210
171.102255 112.697 -177.3066
172.342133 112.682 -177.3870
173.590995 112.667 -177.4610
174.848907 112.650 -177.5270
176.115934 112.633 -177.5834
177.392143 112.615 -177.6305
178.677599 112.597 -177.6702
179.972371 112.578 -177.7038
181.276525 112.560 -177.7310
182.590129 112.543 -177.7502
183.913252 112.526 -177.7597
185.245964 112.509 -177.7589
186.588332 112.492 -177.7486
187.940428 112.476 -177.7295
189.302322 112.460 -177.7020
190.674085 112.445 -177.6649
192.055788 112.432 -177.6162
193.447503 112.421 -177.5525
194.849303 112.412 -177.4706
196.261262 112.406 -177.3696
197.683452 112.404 -177.2527
199.115948 112.407 -177.1253
200.558824 112.415 -176.9940
202.012156 112.429 -176.8661
203.476019 112.450 -176.7506
204.950490 112.476 -176.6572
206.435646 112.507 -176.5958
207.931564 112.543 -176.5754
209.438322 112.580 -176.6030
210.955998 112.619 -176.6825
212.484672 112.657 -176.8135
214.024424 112.692 -176.9923
215.575333 112.723 -177.2122
217.137481 112.750 -177.4655
218.710948 112.772 -177.7436
220.295818 112.789 -178.0384
221.892172 112.800 -178.3424
223.500094 112.806 -178.6496
225.119668 112.808 -178.9549
226.750978 112.805 -179.2542
228.394109 112.798 -179.5444
230.049147 112.788 -179.8231
231.716178 112.775 179.9111
233.395289 112.759 179.6588
235.086567 112.741 179.4199
236.790102 112.722 179.1947
238.505980 112.700 178.9832
240.234293 112.678 178.7851
241.975130 112.654 178.6000
243.728581 112.631 178.4273
245.494739 112.607 178.2664
247.273695 112.583 178.1163
249.065542 112.558 177.9761
250.870374 112.534 177.8444
252.688284 112.511 177.7198
254.519367 112.487 177.6016
256.363720 112.463 177.4891
258.221437 112.440 177.3820
260.092616 112.417 177.2802
261.977354 112.395 177.1838
263.875750 112.372 177.0921
265.787903 112.350 177.0045
267.713911 112.328 176.9206
269.653877 112.306 176.8398
271.607900 112.284 176.7616
273.576083 112.262 176.6854
275.558528 112.240 176.6112
277.555338 112.218 176.5391
279.566619 112.196 176.4694
281.592474 112.173 176.4021
283.633009 112.151 176.3371
285.688331 112.129 176.2744
287.758546 112.106 176.2140
289.843763 112.084 176.1559
291.944090 112.061 176.0997
294.059638 112.039 176.0450
296.190515 112.017 175.9919
298.336833 111.994 175.9404
300.498705 111.972 175.8904
302.676243 111.949 175.8420
304.869559 111.927 175.7953
307.078770 111.904 175.7503
309.303989 111.881 175.7069
311.545334 111.857 175.6652
313.802919 111.834 175.6255
316.076865 111.810 175.5880
318.367288 111.785 175.5530
320.674309 111.761 175.5211
322.998047 111.736 175.4926
325.338624 111.710 175.4681
327.696162 111.684 175.4479
330.070783 111.658 175.4319
332.462612 111.631 175.4205
334.871773 111.604 175.4137
