* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level 0,0 dBFS, measurement signal peak level zero
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 26.12.2022 21:59:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: TG335SR
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 124.691 -132.0114
20.287556 124.700 -132.1599
20.434568 124.714 -132.3788
20.582645 124.731 -132.6477
20.731796 124.750 -132.9493
20.882027 124.770 -133.2712
21.033346 124.791 -133.6052
21.185763 124.812 -133.9465
21.339284 124.834 -134.2924
21.493917 124.855 -134.6413
21.649671 124.877 -134.9922
21.806553 124.898 -135.3441
21.964572 124.920 -135.6964
22.123737 124.942 -136.0484
22.284054 124.963 -136.3991
22.445534 124.985 -136.7479
22.608183 125.005 -137.0939
22.772012 125.025 -137.4364
22.937027 125.044 -137.7749
23.103238 125.063 -138.1089
23.270654 125.080 -138.4384
23.439282 125.097 -138.7636
23.609133 125.114 -139.0853
23.780215 125.130 -139.4042
23.952536 125.145 -139.7216
24.126106 125.160 -140.0388
24.300934 125.175 -140.3573
24.477028 125.190 -140.6784
24.654399 125.205 -141.0029
24.833055 125.219 -141.3313
25.013005 125.234 -141.6638
25.194260 125.248 -141.9996
25.376828 125.261 -142.3376
25.560719 125.274 -142.6763
25.745942 125.286 -143.0138
25.932508 125.298 -143.3483
26.120426 125.310 -143.6782
26.309705 125.322 -144.0023
26.500356 125.333 -144.3200
26.692388 125.345 -144.6315
26.885812 125.357 -144.9376
27.080638 125.370 -145.2397
27.276876 125.383 -145.5393
27.474535 125.396 -145.8383
27.673627 125.410 -146.1384
27.874161 125.425 -146.4408
28.076149 125.439 -146.7462
28.279600 125.453 -147.0547
28.484526 125.466 -147.3657
28.690937 125.479 -147.6784
28.898843 125.492 -147.9915
29.108256 125.503 -148.3035
29.319186 125.515 -148.6133
29.531645 125.525 -148.9198
29.745644 125.536 -149.2223
29.961193 125.546 -149.5204
30.178304 125.556 -149.8142
30.396989 125.565 -150.1038
30.617258 125.574 -150.3899
30.839123 125.584 -150.6729
31.062596 125.593 -150.9536
31.287688 125.601 -151.2327
31.514412 125.610 -151.5110
31.742778 125.619 -151.7889
31.972800 125.627 -152.0672
32.204488 125.635 -152.3460
32.437855 125.644 -152.6255
32.672913 125.652 -152.9053
32.909674 125.659 -153.1852
33.148151 125.667 -153.4644
33.388356 125.675 -153.7422
33.630302 125.682 -154.0180
33.874001 125.689 -154.2911
34.119466 125.696 -154.5610
34.366710 125.703 -154.8271
34.615745 125.710 -155.0890
34.866585 125.716 -155.3462
35.119243 125.723 -155.5984
35.373731 125.729 -155.8454
35.630064 125.735 -156.0874
35.888254 125.741 -156.3250
36.148315 125.747 -156.5591
36.410261 125.754 -156.7913
36.674104 125.761 -157.0231
36.939860 125.768 -157.2557
37.207542 125.775 -157.4901
37.477163 125.782 -157.7264
37.748738 125.788 -157.9646
38.022281 125.793 -158.2043
38.297806 125.798 -158.4451
38.575327 125.802 -158.6869
38.854860 125.806 -158.9301
39.136419 125.810 -159.1752
39.420017 125.813 -159.4228
39.705671 125.817 -159.6731
39.993395 125.820 -159.9257
40.283203 125.825 -160.1797
40.575112 125.830 -160.4338
40.869136 125.837 -160.6864
41.165290 125.844 -160.9361
41.463591 125.852 -161.1816
41.764053 125.860 -161.4220
42.066693 125.869 -161.6568
42.371525 125.877 -161.8858
42.678567 125.885 -162.1097
42.987834 125.891 -162.3298
43.299341 125.896 -162.5479
43.613106 125.899 -162.7664
43.929145 125.901 -162.9869
44.247473 125.903 -163.2106
44.568109 125.905 -163.4375
44.891068 125.908 -163.6665
45.216367 125.912 -163.8964
45.544023 125.917 -164.1264
45.874054 125.924 -164.3557
46.206476 125.931 -164.5839
46.541307 125.937 -164.8094
46.878565 125.941 -165.0295
47.218266 125.942 -165.2406
47.560429 125.941 -165.4397
47.905072 125.938 -165.6269
48.252212 125.936 -165.8069
48.601867 125.935 -165.9886
48.954056 125.938 -166.1826
49.308798 125.944 -166.3973
49.666109 125.952 -166.6354
50.026010 125.961 -166.8929
50.388520 125.971 -167.1608
50.753656 125.979 -167.4288
51.121437 125.986 -167.6894
51.491884 125.991 -167.9397
51.865016 125.996 -168.1810
52.240851 126.000 -168.4170
52.619410 126.003 -168.6512
53.000712 126.005 -168.8857
53.384777 126.006 -169.1205
53.771625 126.007 -169.3549
54.161276 126.008 -169.5873
54.553751 126.008 -169.8164
54.949070 126.008 -170.0410
55.347254 126.007 -170.2606
55.748323 126.006 -170.4753
56.152298 126.004 -170.6863
56.559201 126.002 -170.8949
56.969052 126.000 -171.1023
57.381873 125.997 -171.3089
57.797686 125.994 -171.5141
58.216512 125.992 -171.7165
58.638373 125.989 -171.9150
59.063291 125.986 -172.1087
59.491288 125.983 -172.2978
59.922386 125.980 -172.4823
60.356608 125.977 -172.6628
60.793977 125.975 -172.8394
61.234515 125.972 -173.0124
61.678246 125.970 -173.1821
62.125192 125.968 -173.3488
62.575377 125.967 -173.5132
63.028824 125.967 -173.6761
63.485557 125.968 -173.8377
63.945599 125.970 -173.9984
64.408975 125.973 -174.1580
64.875709 125.977 -174.3168
65.345825 125.982 -174.4758
65.819348 125.987 -174.6371
66.296302 125.994 -174.8032
66.776713 126.001 -174.9769
67.260604 126.009 -175.1598
67.748002 126.017 -175.3529
68.238932 126.025 -175.5560
68.733420 126.034 -175.7691
69.231490 126.041 -175.9920
69.733170 126.048 -176.2242
70.238485 126.053 -176.4644
70.747463 126.058 -176.7110
71.260128 126.060 -176.9616
71.776508 126.062 -177.2139
72.296630 126.062 -177.4655
72.820521 126.061 -177.7150
73.348209 126.059 -177.9614
73.879720 126.056 -178.2044
74.415083 126.052 -178.4441
74.954326 126.047 -178.6807
75.497475 126.042 -178.9143
76.044561 126.036 -179.1449
76.595612 126.030 -179.3721
77.150655 126.023 -179.5957
77.709720 126.016 -179.8157
78.272837 126.008 179.9678
78.840034 126.001 179.7547
79.411342 125.993 179.5445
79.986789 125.985 179.3369
80.566406 125.978 179.1317
81.150224 125.970 178.9288
81.738272 125.962 178.7281
82.330581 125.954 178.5296
82.927182 125.946 178.3329
83.528107 125.937 178.1375
84.133386 125.929 177.9434
84.743051 125.920 177.7505
85.357134 125.912 177.5592
85.975667 125.903 177.3694
86.598682 125.894 177.1810
87.226212 125.886 176.9937
87.858289 125.877 176.8074
88.494946 125.868 176.6219
89.136217 125.859 176.4370
89.782135 125.850 176.2527
90.432733 125.841 176.0687
91.088046 125.832 175.8851
91.748108 125.823 175.7021
92.412952 125.813 175.5198
93.082615 125.804 175.3386
93.757130 125.794 175.1586
94.436533 125.784 174.9799
95.120859 125.773 174.8025
95.810144 125.762 174.6262
96.504423 125.751 174.4513
97.203734 125.740 174.2782
97.908112 125.729 174.1074
98.617595 125.717 173.9395
99.332219 125.706 173.7749
100.052021 125.694 173.6137
100.777039 125.682 173.4559
101.507311 125.671 173.3016
102.242875 125.659 173.1506
102.983769 125.648 173.0029
103.730032 125.637 172.8585
104.481702 125.626 172.7176
105.238820 125.614 172.5803
106.001424 125.603 172.4471
106.769554 125.593 172.3187
107.543250 125.583 172.1956
108.322553 125.574 172.0782
109.107503 125.566 171.9661
109.898141 125.560 171.8577
110.694508 125.556 171.7503
111.496646 125.554 171.6400
112.304596 125.555 171.5221
113.118402 125.557 171.3919
113.938104 125.561 171.2457
114.763747 125.566 171.0811
115.595372 125.570 170.8976
116.433024 125.573 170.6958
117.276746 125.575 170.4780
118.126581 125.574 170.2475
118.982575 125.571 170.0081
119.844772 125.566 169.7642
120.713217 125.559 169.5194
121.587954 125.549 169.2768
122.469031 125.538 169.0384
123.356492 125.526 168.8054
124.250384 125.513 168.5782
125.150753 125.498 168.3574
126.057647 125.483 168.1427
126.971113 125.468 167.9339
127.891198 125.452 167.7305
128.817950 125.436 167.5319
129.751418 125.419 167.3374
130.691651 125.402 167.1465
131.638696 125.386 166.9587
132.592604 125.369 166.7736
133.553425 125.352 166.5911
134.521208 125.335 166.4111
135.496004 125.318 166.2333
136.477864 125.301 166.0574
137.466839 125.284 165.8831
138.462981 125.267 165.7100
139.466340 125.250 165.5383
140.476971 125.232 165.3679
141.494925 125.215 165.1991
142.520256 125.197 165.0316
143.553016 125.179 164.8655
144.593260 125.161 164.7005
145.641043 125.143 164.5367
146.696418 125.125 164.3741
147.759441 125.107 164.2126
148.830166 125.089 164.0523
149.908651 125.070 163.8932
150.994951 125.052 163.7354
152.089123 125.033 163.5791
153.191223 125.015 163.4245
154.301310 124.996 163.2717
155.419441 124.978 163.1207
156.545674 124.959 162.9717
157.680069 124.940 162.8248
158.822683 124.921 162.6801
159.973578 124.903 162.5374
161.132813 124.884 162.3964
162.300447 124.865 162.2566
163.476543 124.847 162.1177
164.661162 124.828 161.9795
165.854364 124.810 161.8419
167.056213 124.792 161.7049
168.266772 124.775 161.5683
169.486102 124.758 161.4318
170.714268 124.741 161.2949
171.951334 124.725 161.1572
173.197364 124.709 161.0179
174.452424 124.693 160.8763
175.716578 124.677 160.7318
176.989893 124.661 160.5839
178.272434 124.645 160.4322
179.564270 124.629 160.2767
180.865467 124.612 160.1176
182.176092 124.595 159.9552
183.496216 124.577 159.7902
184.825905 124.559 159.6231
186.165229 124.540 159.4545
187.514259 124.521 159.2849
188.873065 124.501 159.1149
190.241717 124.481 158.9451
191.620287 124.460 158.7762
193.008847 124.438 158.6088
194.407468 124.416 158.4432
195.816225 124.393 158.2794
197.235190 124.370 158.1176
198.664438 124.347 157.9576
200.104042 124.323 157.7996
201.554078 124.299 157.6432
203.014622 124.275 157.4883
204.485750 124.250 157.3350
205.967538 124.225 157.1832
207.460064 124.200 157.0331
208.963405 124.174 156.8845
210.477640 124.149 156.7377
212.002848 124.123 156.5925
213.539108 124.097 156.4491
215.086500 124.070 156.3074
216.645105 124.043 156.1674
218.215005 124.016 156.0292
219.796281 123.989 155.8926
221.389015 123.962 155.7578
222.993292 123.934 155.6247
224.609193 123.906 155.4937
226.236804 123.878 155.3647
227.876209 123.849 155.2379
229.527494 123.821 155.1135
231.190745 123.792 154.9918
232.866048 123.762 154.8728
234.553491 123.733 154.7568
236.253163 123.703 154.6439
237.965150 123.673 154.5343
239.689544 123.643 154.4285
241.426433 123.613 154.3265
243.175909 123.583 154.2287
244.938062 123.554 154.1349
246.712984 123.524 154.0451
248.500768 123.494 153.9590
250.301507 123.465 153.8765
252.115295 123.437 153.7969
253.942226 123.409 153.7195
255.782396 123.381 153.6432
257.635901 123.354 153.5668
259.502837 123.328 153.4896
261.383301 123.301 153.4110
263.277392 123.275 153.3310
265.185209 123.248 153.2497
267.106850 123.222 153.1675
269.042417 123.195 153.0849
270.992009 123.168 153.0026
272.955729 123.140 152.9216
274.933678 123.112 152.8426
276.925961 123.084 152.7666
278.932681 123.056 152.6947
280.953942 123.027 152.6284
282.989850 122.998 152.5695
285.040511 122.968 152.5199
287.106032 122.940 152.4815
289.186521 122.912 152.4552
291.282086 122.886 152.4404
293.392836 122.862 152.4346
295.518881 122.841 152.4339
297.660333 122.824 152.4326
299.817302 122.810 152.4241
301.989902 122.799 152.4016
304.178245 122.791 152.3585
306.382446 122.784 152.2899
308.602620 122.779 152.1927
310.838882 122.773 152.0663
313.091348 122.765 151.9125
315.360137 122.755 151.7355
317.645367 122.742 151.5409
319.947156 122.726 151.3350
322.265625 122.706 151.1240
324.600895 122.682 150.9133
326.953086 122.656 150.7072
329.322323 122.626 150.5087
331.708729 122.595 150.3193
334.112427 122.563 150.1397
336.533543 122.529 149.9698
338.972204 122.494 149.8086
341.428536 122.458 149.6553
343.902668 122.421 149.5092
346.394729 122.385 149.3698
348.904848 122.347 149.2372
351.433156 122.310 149.1110
353.979786 122.272 148.9912
356.544869 122.233 148.8773
359.128540 122.195 148.7690
361.730934 122.157 148.6659
364.352185 122.118 148.5676
366.992431 122.080 148.4739
369.651810 122.041 148.3843
372.330459 122.003 148.2985
