* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -12,5 dBFS, measurement signal peak level -12,2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 06.06.2023 22:27:14
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0256 ms (-8,8 mm, -0,35 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: R RE800
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 102.003 -87.8002
20.333664 102.034 -87.9856
20.481010 102.080 -88.2655
20.629424 102.137 -88.6215
20.778913 102.200 -89.0366
20.929486 102.265 -89.4966
21.081150 102.331 -89.9897
21.233912 102.395 -90.5052
21.387782 102.457 -91.0335
21.542767 102.515 -91.5652
21.698874 102.570 -92.0920
21.856113 102.621 -92.6061
22.014492 102.669 -93.1013
22.174018 102.715 -93.5734
22.334700 102.758 -94.0200
22.496546 102.800 -94.4411
22.659566 102.841 -94.8388
22.823766 102.881 -95.2173
22.989157 102.922 -95.5818
23.155745 102.964 -95.9384
23.323542 103.007 -96.2927
23.492554 103.051 -96.6500
23.662790 103.096 -97.0138
23.834261 103.142 -97.3860
24.006973 103.189 -97.7670
24.180938 103.239 -98.1559
24.356163 103.290 -98.5506
24.532658 103.344 -98.9490
24.710431 103.401 -99.3495
24.889493 103.461 -99.7508
25.069853 103.524 -100.1529
25.251519 103.590 -100.5561
25.434502 103.658 -100.9614
25.618811 103.728 -101.3693
25.804456 103.797 -101.7798
25.991445 103.865 -102.1922
26.179790 103.930 -102.6049
26.369500 103.992 -103.0162
26.560584 104.050 -103.4248
26.753053 104.105 -103.8307
26.946917 104.157 -104.2359
27.142185 104.206 -104.6443
27.338869 104.253 -105.0615
27.536977 104.299 -105.4939
27.736522 104.344 -105.9467
27.937512 104.387 -106.4228
28.139959 104.428 -106.9208
28.343872 104.466 -107.4348
28.549264 104.500 -107.9542
28.756143 104.530 -108.4656
28.964522 104.557 -108.9544
29.174411 104.580 -109.4079
29.385821 104.603 -109.8175
29.598763 104.625 -110.1809
29.813248 104.649 -110.5026
30.029287 104.676 -110.7933
30.246891 104.704 -111.0677
30.466073 104.735 -111.3416
30.686842 104.766 -111.6291
30.909212 104.797 -111.9401
31.133193 104.827 -112.2799
31.358797 104.855 -112.6487
31.586035 104.882 -113.0432
31.814921 104.909 -113.4585
32.045465 104.937 -113.8892
32.277680 104.968 -114.3303
32.511577 105.003 -114.7773
32.747169 105.042 -115.2253
32.984469 105.084 -115.6682
33.223488 105.130 -116.0987
33.464239 105.178 -116.5083
33.706735 105.227 -116.8894
33.950987 105.276 -117.2372
34.197010 105.325 -117.5517
34.444816 105.374 -117.8386
34.694417 105.422 -118.1092
34.945827 105.469 -118.3777
35.199059 105.514 -118.6582
35.454126 105.554 -118.9604
35.711041 105.590 -119.2872
35.969818 105.620 -119.6337
36.230470 105.645 -119.9891
36.493011 105.665 -120.3393
36.757455 105.684 -120.6719
37.023814 105.702 -120.9797
37.292104 105.724 -121.2631
37.562338 105.749 -121.5293
37.834530 105.778 -121.7898
38.108695 105.808 -122.0562
38.384846 105.837 -122.3363
38.662999 105.863 -122.6321
38.943167 105.882 -122.9402
39.225365 105.896 -123.2544
39.509608 105.906 -123.5691
39.795911 105.913 -123.8825
40.084289 105.920 -124.1973
40.374756 105.930 -124.5202
40.667328 105.946 -124.8587
40.962020 105.966 -125.2182
41.258848 105.991 -125.5991
41.557827 106.020 -125.9965
41.858972 106.050 -126.4015
42.162299 106.081 -126.8034
42.467824 106.110 -127.1928
42.775564 106.138 -127.5636
43.085533 106.163 -127.9133
43.397749 106.186 -128.2436
43.712227 106.207 -128.5582
44.028983 106.225 -128.8617
44.348036 106.243 -129.1580
44.669400 106.259 -129.4492
44.993093 106.274 -129.7369
45.319131 106.290 -130.0229
45.647532 106.307 -130.3112
45.978313 106.324 -130.6073
46.311491 106.340 -130.9167
46.647083 106.353 -131.2402
46.985107 106.362 -131.5705
47.325581 106.366 -131.8926
47.668521 106.366 -132.1883
48.013947 106.365 -132.4447
48.361876 106.369 -132.6626
48.712326 106.380 -132.8580
49.065315 106.401 -133.0565
49.420863 106.429 -133.2812
49.778987 106.461 -133.5413
50.139706 106.493 -133.8289
50.503039 106.522 -134.1259
50.869005 106.548 -134.4150
51.237623 106.573 -134.6902
51.608912 106.598 -134.9583
51.982891 106.624 -135.2334
52.359580 106.648 -135.5277
52.739000 106.671 -135.8458
53.121168 106.691 -136.1841
53.506106 106.708 -136.5351
53.893833 106.723 -136.8909
54.284370 106.736 -137.2447
54.677737 106.749 -137.5908
55.073955 106.762 -137.9246
55.473043 106.775 -138.2446
55.875024 106.789 -138.5533
56.279917 106.804 -138.8560
56.687745 106.821 -139.1580
57.098527 106.841 -139.4615
57.512287 106.863 -139.7655
57.929045 106.888 -140.0670
58.348822 106.915 -140.3633
58.771642 106.944 -140.6518
59.197525 106.972 -140.9296
59.626495 106.997 -141.1934
60.058573 107.018 -141.4414
60.493782 107.035 -141.6746
60.932145 107.049 -141.8963
61.373685 107.061 -142.1111
61.818424 107.073 -142.3236
62.266386 107.086 -142.5396
62.717593 107.102 -142.7664
63.172071 107.120 -143.0117
63.629842 107.138 -143.2796
64.090930 107.154 -143.5675
64.555359 107.167 -143.8657
65.023154 107.177 -144.1608
65.494339 107.185 -144.4402
65.968938 107.191 -144.6956
66.446976 107.196 -144.9255
66.928478 107.201 -145.1352
67.413469 107.206 -145.3362
67.901975 107.211 -145.5423
68.394021 107.217 -145.7639
68.889632 107.224 -146.0057
69.388835 107.233 -146.2647
69.891655 107.245 -146.5327
70.398118 107.259 -146.7988
70.908252 107.274 -147.0537
71.422083 107.291 -147.2933
71.939636 107.308 -147.5218
72.460941 107.323 -147.7503
72.986023 107.338 -147.9895
73.514909 107.350 -148.2422
74.047629 107.361 -148.5012
74.584208 107.371 -148.7538
75.124676 107.381 -148.9901
75.669061 107.392 -149.2076
76.217390 107.403 -149.4100
76.769692 107.413 -149.6026
77.325997 107.420 -149.7905
77.886333 107.426 -149.9793
78.450730 107.431 -150.1747
79.019216 107.435 -150.3807
79.591822 107.439 -150.5964
80.168577 107.444 -150.8177
80.749512 107.449 -151.0413
81.334656 107.456 -151.2663
81.924040 107.464 -151.4929
82.517696 107.473 -151.7214
83.115653 107.484 -151.9508
83.717943 107.494 -152.1775
84.324598 107.504 -152.3946
84.935649 107.513 -152.5946
85.551128 107.519 -152.7746
86.171066 107.524 -152.9381
86.795497 107.527 -153.0926
87.424453 107.529 -153.2491
88.057967 107.533 -153.4204
88.696071 107.540 -153.6167
89.338800 107.551 -153.8381
89.986185 107.564 -154.0736
90.638262 107.579 -154.3104
91.295065 107.594 -154.5426
91.956626 107.607 -154.7712
92.622982 107.617 -154.9977
93.294166 107.622 -155.2192
93.970214 107.624 -155.4305
94.651161 107.624 -155.6286
95.337042 107.623 -155.8154
96.027894 107.624 -155.9964
96.723752 107.627 -156.1762
97.424652 107.633 -156.3552
98.130631 107.640 -156.5306
98.841726 107.649 -156.7011
99.557974 107.660 -156.8696
100.279412 107.670 -157.0411
101.006078 107.679 -157.2191
101.738010 107.688 -157.4054
102.475245 107.695 -157.5999
103.217823 107.700 -157.8006
103.965782 107.704 -158.0037
104.719161 107.707 -158.2063
105.477999 107.710 -158.4064
106.242336 107.714 -158.6025
107.012212 107.717 -158.7939
107.787666 107.723 -158.9809
108.568740 107.729 -159.1648
109.355474 107.736 -159.3462
110.147909 107.741 -159.5249
110.946086 107.745 -159.7004
111.750047 107.748 -159.8727
112.559834 107.750 -160.0422
113.375489 107.752 -160.2068
114.197055 107.756 -160.3624
115.024574 107.761 -160.5078
115.858089 107.769 -160.6471
116.697645 107.778 -160.7871
117.543284 107.789 -160.9344
118.395051 107.799 -161.0939
119.252990 107.808 -161.2671
120.117147 107.817 -161.4500
120.987565 107.824 -161.6318
121.864291 107.829 -161.7995
122.747370 107.833 -161.9471
123.636848 107.835 -162.0811
124.532771 107.835 -162.2138
125.435187 107.835 -162.3554
126.344142 107.833 -162.5105
127.259684 107.832 -162.6792
128.181860 107.832 -162.8591
129.110718 107.834 -163.0454
130.046308 107.839 -163.2309
130.988677 107.846 -163.4075
131.937875 107.853 -163.5705
132.893951 107.859 -163.7209
133.856956 107.864 -163.8658
134.826938 107.870 -164.0135
135.803950 107.874 -164.1681
136.788041 107.878 -164.3269
137.779264 107.880 -164.4858
138.777669 107.881 -164.6435
139.783309 107.882 -164.8004
140.796237 107.882 -164.9569
141.816504 107.883 -165.1133
142.844165 107.884 -165.2704
143.879273 107.885 -165.4281
144.921881 107.886 -165.5851
145.972045 107.888 -165.7394
147.029819 107.891 -165.8902
148.095257 107.894 -166.0377
149.168417 107.897 -166.1833
150.249353 107.900 -166.3282
151.338121 107.902 -166.4738
152.434780 107.903 -166.6215
153.539385 107.904 -166.7725
154.651995 107.904 -166.9270
155.772667 107.904 -167.0838
156.901460 107.905 -167.2408
158.038432 107.906 -167.3955
159.183644 107.908 -167.5469
160.337154 107.910 -167.6949
161.499023 107.912 -167.8400
162.669312 107.913 -167.9834
163.848081 107.915 -168.1271
165.035392 107.916 -168.2726
166.231306 107.916 -168.4206
167.435887 107.916 -168.5703
168.649196 107.915 -168.7209
169.871298 107.913 -168.8714
171.102255 107.910 -169.0206
172.342133 107.908 -169.1673
173.590995 107.906 -169.3115
174.848907 107.904 -169.4552
176.115934 107.903 -169.6007
177.392143 107.902 -169.7479
178.677599 107.903 -169.8942
179.972371 107.905 -170.0379
181.276525 107.906 -170.1793
182.590129 107.906 -170.3191
183.913252 107.906 -170.4576
185.245964 107.904 -170.5960
186.588332 107.902 -170.7357
187.940428 107.900 -170.8769
189.302322 107.898 -171.0180
190.674085 107.897 -171.1574
192.055788 107.896 -171.2950
193.447503 107.894 -171.4319
194.849303 107.892 -171.5681
196.261262 107.888 -171.7027
197.683452 107.884 -171.8343
199.115948 107.879 -171.9617
200.558824 107.873 -172.0856
202.012156 107.867 -172.2091
203.476019 107.863 -172.3372
204.950490 107.860 -172.4731
206.435646 107.857 -172.6154
207.931564 107.856 -172.7596
209.438322 107.854 -172.9019
210.955998 107.851 -173.0417
212.484672 107.848 -173.1805
214.024424 107.845 -173.3197
215.575333 107.841 -173.4602
217.137481 107.837 -173.6012
218.710948 107.833 -173.7410
220.295818 107.828 -173.8782
221.892172 107.824 -174.0127
223.500094 107.819 -174.1460
225.119668 107.814 -174.2804
226.750978 107.809 -174.4173
228.394109 107.803 -174.5565
230.049147 107.797 -174.6971
231.716178 107.790 -174.8374
233.395289 107.783 -174.9759
235.086567 107.776 -175.1112
236.790102 107.768 -175.2430
238.505980 107.761 -175.3718
240.234293 107.753 -175.4987
241.975130 107.745 -175.6248
243.728581 107.737 -175.7514
245.494739 107.729 -175.8788
247.273695 107.721 -176.0065
249.065542 107.712 -176.1341
250.870374 107.703 -176.2625
252.688284 107.694 -176.3920
254.519367 107.684 -176.5219
256.363720 107.675 -176.6511
258.221437 107.665 -176.7787
260.092616 107.655 -176.9040
261.977354 107.644 -177.0274
263.875750 107.632 -177.1494
265.787903 107.621 -177.2702
267.713911 107.610 -177.3905
269.653877 107.599 -177.5121
271.607900 107.588 -177.6369
273.576083 107.576 -177.7652
275.558528 107.564 -177.8960
277.555338 107.552 -178.0283
279.566619 107.539 -178.1615
281.592474 107.526 -178.2948
283.633009 107.512 -178.4277
285.688331 107.498 -178.5605
287.758546 107.483 -178.6936
289.843763 107.469 -178.8273
291.944090 107.453 -178.9613
294.059638 107.437 -179.0950
296.190515 107.419 -179.2272
298.336833 107.400 -179.3568
300.498705 107.379 -179.4822
302.676243 107.357 -179.6028
304.869559 107.334 -179.7200
307.078770 107.309 -179.8367
309.303989 107.283 -179.9557
311.545334 107.256 179.9224
313.802919 107.227 179.7990
316.076865 107.196 179.6777
318.367288 107.163 179.5629
320.674309 107.127 179.4606
322.998047 107.089 179.3783
325.338624 107.048 179.3240
327.696162 107.006 179.3059
