* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: 1,000
* Format: 256k Log Swept Sine, 1 sweep at -20,0 dBFS with no timing reference
* Dated: 26.05.2025 16:28:59
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Huawei Freebuds Pro 4
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 114.873 31.4565
20.333664 114.877 31.2452
20.481010 114.882 30.9334
20.629424 114.889 30.5504
20.778913 114.895 30.1215
20.929486 114.902 29.6650
21.081150 114.908 29.1930
21.233912 114.914 28.7128
21.387782 114.919 28.2287
21.542767 114.925 27.7426
21.698874 114.929 27.2556
21.856113 114.934 26.7684
22.014492 114.938 26.2810
22.174018 114.941 25.7939
22.334700 114.944 25.3072
22.496546 114.945 24.8212
22.659566 114.946 24.3364
22.823766 114.945 23.8530
22.989157 114.943 23.3712
23.155745 114.940 22.8912
23.323542 114.937 22.4129
23.492554 114.932 21.9360
23.662790 114.927 21.4603
23.834261 114.921 20.9855
24.006973 114.915 20.5114
24.180938 114.908 20.0376
24.356163 114.902 19.5642
24.532658 114.896 19.0913
24.710431 114.890 18.6189
24.889493 114.884 18.1473
25.069853 114.879 17.6765
25.251519 114.874 17.2066
25.434502 114.869 16.7373
25.618811 114.864 16.2686
25.804456 114.860 15.7999
25.991445 114.855 15.3311
26.179790 114.850 14.8618
26.369500 114.844 14.3918
26.560584 114.838 13.9212
26.753053 114.830 13.4499
26.946917 114.822 12.9780
27.142185 114.813 12.5056
27.338869 114.802 12.0328
27.536977 114.791 11.5598
27.736522 114.779 11.0865
27.937512 114.766 10.6136
28.139959 114.753 10.1414
28.343872 114.739 9.6712
28.549264 114.724 9.2041
28.756143 114.709 8.7416
28.964522 114.693 8.2851
29.174411 114.677 7.8357
29.385821 114.661 7.3938
29.598763 114.644 6.9595
29.813248 114.628 6.5318
30.029287 114.611 6.1095
30.246891 114.595 5.6908
30.466073 114.577 5.2740
30.686842 114.559 4.8575
30.909212 114.540 4.4402
31.133193 114.520 4.0211
31.358797 114.497 3.5998
31.586035 114.474 3.1759
31.814921 114.448 2.7492
32.045465 114.422 2.3195
32.277680 114.394 1.8870
32.511577 114.365 1.4520
32.747169 114.336 1.0157
32.984469 114.306 0.5796
33.223488 114.276 0.1461
33.464239 114.246 -0.2820
33.706735 114.217 -0.7014
33.950987 114.187 -1.1090
34.197010 114.157 -1.5022
34.444816 114.127 -1.8796
34.694417 114.097 -2.2415
34.945827 114.066 -2.5902
35.199059 114.034 -2.9297
35.454126 114.002 -3.2659
35.711041 113.969 -3.6052
35.969818 113.935 -3.9533
36.230470 113.900 -4.3141
36.493011 113.864 -4.6887
36.757455 113.827 -5.0750
37.023814 113.789 -5.4685
37.292104 113.750 -5.8630
37.562338 113.711 -6.2521
37.834530 113.670 -6.6311
38.108695 113.628 -6.9974
38.384846 113.585 -7.3513
38.662999 113.539 -7.6959
38.943167 113.490 -8.0366
39.225365 113.440 -8.3797
39.509608 113.388 -8.7304
39.795911 113.336 -9.0904
40.084289 113.283 -9.4557
40.374756 113.232 -9.8158
40.667328 113.181 -10.1552
40.962020 113.133 -10.4578
41.258848 113.086 -10.7131
41.557827 113.041 -10.9204
41.858972 112.994 -11.0896
42.162299 112.942 -11.2376
42.467824 112.883 -11.3806
42.775564 112.815 -11.5285
43.085533 112.739 -11.6831
43.397749 112.661 -11.8407
43.712227 112.587 -11.9980
44.028983 112.525 -12.1522
44.348036 112.476 -12.2940
44.669400 112.438 -12.3961
44.993093 112.401 -12.4071
45.319131 112.359 -12.2637
45.647532 112.308 -11.9225
45.978313 112.251 -11.4013
46.311491 112.194 -10.8071
46.647083 112.139 -10.3233
46.985107 112.084 -10.1484
47.325581 112.018 -10.4133
47.668521 111.932 -11.1198
48.013947 111.827 -12.1326
48.361876 111.721 -13.2273
48.712326 111.642 -14.1751
49.065315 111.620 -14.8318
49.420863 111.666 -15.1843
49.778987 111.768 -15.3229
50.139706 111.890 -15.3618
50.503039 111.994 -15.3729
50.869005 112.050 -15.3728
51.237623 112.051 -15.3537
51.608912 112.005 -15.3219
51.982891 111.928 -15.3126
52.359580 111.839 -15.3720
52.739000 111.751 -15.5251
53.121168 111.673 -15.7545
53.506106 111.607 -16.0091
53.893833 111.552 -16.2331
54.284370 111.506 -16.3943
54.677737 111.464 -16.4928
55.073955 111.422 -16.5510
55.473043 111.377 -16.5972
55.875024 111.331 -16.6529
56.279917 111.286 -16.7299
56.687745 111.243 -16.8298
57.098527 111.205 -16.9462
57.512287 111.169 -17.0685
57.929045 111.134 -17.1865
58.348822 111.098 -17.2962
58.771642 111.058 -17.4006
59.197525 111.015 -17.5063
59.626495 110.970 -17.6180
60.058573 110.924 -17.7343
60.493782 110.878 -17.8489
60.932145 110.833 -17.9541
61.373685 110.789 -18.0451
61.818424 110.744 -18.1229
62.266386 110.699 -18.1931
62.717593 110.653 -18.2625
63.172071 110.607 -18.3356
63.629842 110.561 -18.4126
64.090930 110.515 -18.4903
64.555359 110.471 -18.5640
65.023154 110.427 -18.6304
65.494339 110.383 -18.6883
65.968938 110.338 -18.7393
66.446976 110.294 -18.7864
66.928478 110.250 -18.8331
67.413469 110.207 -18.8806
67.901975 110.164 -18.9271
68.394021 110.121 -18.9685
68.889632 110.077 -19.0013
69.388835 110.031 -19.0241
69.891655 109.985 -19.0375
70.398118 109.939 -19.0428
70.908252 109.892 -19.0408
71.422083 109.847 -19.0322
71.939636 109.804 -19.0179
72.460941 109.763 -18.9987
72.986023 109.723 -18.9745
73.514909 109.684 -18.9442
74.047629 109.644 -18.9071
74.584208 109.604 -18.8652
75.124676 109.563 -18.8230
75.669061 109.522 -18.7850
76.217390 109.481 -18.7532
76.769692 109.440 -18.7275
77.325997 109.398 -18.7061
77.886333 109.356 -18.6868
78.450730 109.313 -18.6658
79.019216 109.270 -18.6385
79.591822 109.227 -18.6013
80.168577 109.184 -18.5530
80.749512 109.142 -18.4961
81.334656 109.100 -18.4357
81.924040 109.059 -18.3782
82.517696 109.017 -18.3287
83.115653 108.975 -18.2893
83.717943 108.933 -18.2583
84.324598 108.890 -18.2325
84.935649 108.847 -18.2096
85.551128 108.804 -18.1876
86.171066 108.760 -18.1632
86.795497 108.714 -18.1308
87.424453 108.666 -18.0849
88.057967 108.617 -18.0236
88.696071 108.568 -17.9487
89.338800 108.519 -17.8636
89.986185 108.472 -17.7709
90.638262 108.427 -17.6711
91.295065 108.383 -17.5647
91.956626 108.341 -17.4548
92.622982 108.300 -17.3481
93.294166 108.260 -17.2532
93.970214 108.221 -17.1753
94.651161 108.180 -17.1119
95.337042 108.137 -17.0525
96.027894 108.092 -16.9819
96.723752 108.043 -16.8862
97.424652 107.992 -16.7577
98.130631 107.937 -16.5969
98.841726 107.880 -16.4098
99.557974 107.820 -16.2032
100.279412 107.760 -15.9778
101.006078 107.701 -15.7242
101.738010 107.648 -15.4309
102.475245 107.602 -15.1003
103.217823 107.567 -14.7593
103.965782 107.540 -14.4524
104.719161 107.516 -14.2166
105.477999 107.487 -14.0470
106.242336 107.445 -13.8810
107.012212 107.391 -13.6227
107.787666 107.334 -13.2065
108.568740 107.288 -12.6537
109.355474 107.260 -12.0582
110.147909 107.247 -11.5062
110.946086 107.245 -11.0175
111.750047 107.249 -10.5646
112.559834 107.258 -10.1282
113.375489 107.272 -9.7232
114.197055 107.289 -9.3793
115.024574 107.307 -9.1088
115.858089 107.324 -8.9085
116.697645 107.341 -8.7738
117.543284 107.358 -8.6909
118.395051 107.372 -8.6341
119.252990 107.382 -8.5823
120.117147 107.385 -8.5257
120.987565 107.384 -8.4641
121.864291 107.380 -8.4013
122.747370 107.375 -8.3373
123.636848 107.368 -8.2689
124.532771 107.357 -8.1927
125.435187 107.342 -8.1049
126.344142 107.325 -8.0002
127.259684 107.308 -7.8688
128.181860 107.291 -7.7005
129.110718 107.271 -7.4948
130.046308 107.248 -7.2679
130.988677 107.225 -7.0463
131.937875 107.204 -6.8491
132.893951 107.189 -6.6765
133.856956 107.180 -6.5167
134.826938 107.174 -6.3605
135.803950 107.168 -6.2041
136.788041 107.161 -6.0452
137.779264 107.152 -5.8804
138.777669 107.142 -5.7086
139.783309 107.130 -5.5313
140.796237 107.117 -5.3503
141.816504 107.104 -5.1658
142.844165 107.091 -4.9744
143.879273 107.080 -4.7699
144.921881 107.069 -4.5490
145.972045 107.058 -4.3208
147.029819 107.047 -4.1037
148.095257 107.036 -3.9069
149.168417 107.027 -3.7177
150.249353 107.020 -3.5130
151.338121 107.013 -3.2809
152.434780 107.007 -3.0299
153.539385 107.000 -2.7766
154.651995 106.994 -2.5298
155.772667 106.989 -2.2894
156.901460 106.985 -2.0520
158.038432 106.982 -1.8150
159.183644 106.980 -1.5778
160.337154 106.979 -1.3407
161.499023 106.978 -1.1042
162.669312 106.978 -0.8679
163.848081 106.978 -0.6303
165.035392 106.979 -0.3902
166.231306 106.980 -0.1484
167.435887 106.982 0.0927
168.649196 106.985 0.3320
169.871298 106.991 0.5698
171.102255 106.999 0.8080
172.342133 107.009 1.0487
173.590995 107.022 1.2920
174.848907 107.038 1.5340
176.115934 107.053 1.7703
177.392143 107.068 2.0014
178.677599 107.082 2.2292
179.972371 107.095 2.4519
181.276525 107.108 2.6667
182.590129 107.121 2.8734
183.913252 107.135 3.0723
185.245964 107.150 3.2640
186.588332 107.167 3.4493
187.940428 107.185 3.6303
189.302322 107.203 3.8094
190.674085 107.222 3.9863
192.055788 107.242 4.1593
193.447503 107.263 4.3269
194.849303 107.284 4.4890
196.261262 107.307 4.6462
197.683452 107.330 4.7987
199.115948 107.354 4.9454
200.558824 107.377 5.0844
202.012156 107.401 5.2155
203.476019 107.424 5.3402
204.950490 107.448 5.4608
206.435646 107.472 5.5788
207.931564 107.496 5.6944
209.438322 107.521 5.8064
210.955998 107.545 5.9122
212.484672 107.571 6.0078
214.024424 107.597 6.0896
215.575333 107.623 6.1573
217.137481 107.650 6.2145
218.710948 107.677 6.2657
220.295818 107.702 6.3136
221.892172 107.727 6.3584
223.500094 107.751 6.3993
225.119668 107.775 6.4350
226.750978 107.798 6.4641
228.394109 107.821 6.4842
230.049147 107.844 6.4942
231.716178 107.867 6.4955
233.395289 107.891 6.4909
235.086567 107.914 6.4812
236.790102 107.936 6.4653
238.505980 107.958 6.4420
240.234293 107.978 6.4120
241.975130 107.998 6.3765
243.728581 108.017 6.3372
245.494739 108.034 6.2952
247.273695 108.051 6.2518
249.065542 108.067 6.2089
250.870374 108.082 6.1689
252.688284 108.096 6.1316
254.519367 108.108 6.0938
256.363720 108.120 6.0521
258.221437 108.131 6.0053
260.092616 108.142 5.9537
261.977354 108.151 5.8981
263.875750 108.161 5.8397
265.787903 108.169 5.7792
267.713911 108.176 5.7171
269.653877 108.183 5.6533
271.607900 108.188 5.5882
273.576083 108.193 5.5229
275.558528 108.197 5.4585
277.555338 108.200 5.3960
279.566619 108.203 5.3356
281.592474 108.205 5.2771
283.633009 108.206 5.2204
285.688331 108.206 5.1653
287.758546 108.206 5.1116
289.843763 108.205 5.0591
291.944090 108.203 5.0071
294.059638 108.201 4.9551
296.190515 108.198 4.9044
298.336833 108.194 4.8563
300.498705 108.189 4.8113
302.676243 108.184 4.7695
304.869559 108.178 4.7322
307.078770 108.172 4.7012
309.303989 108.164 4.6772
311.545334 108.156 4.6581
313.802919 108.147 4.6416
316.076865 108.139 4.6263
318.367288 108.131 4.6124
320.674309 108.122 4.6005
322.998047 108.114 4.5911
325.338624 108.105 4.5851
327.696162 108.096 4.5834
330.070783 108.087 4.5869
332.462612 108.077 4.5962
334.871773 108.068 4.6108
337.298392 108.058 4.6304
339.742595 108.049 4.6549
342.204510 108.040 4.6837
344.684265 108.031 4.7164
347.181989 108.022 4.7527
349.697813 108.013 4.7927
352.231868 108.004 4.8364
354.784285 107.994 4.8832
357.355198 107.985 4.9322
359.944741 107.976 4.9821
362.553049 107.967 5.0320
365.180258 107.959 5.0817
367.826505 107.951 5.1317
370.491927 107.944 5.1829
