* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 29.08.2022 12:26:55
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: JQ 4U PRO
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 63.608 -173.5515
20.287556 63.607 -173.6371
20.434568 63.605 -173.7520
20.582645 63.603 -173.8931
20.731796 63.601 -174.0569
20.882027 63.599 -174.2400
21.033346 63.596 -174.4391
21.185763 63.593 -174.6513
21.339284 63.591 -174.8739
21.493917 63.588 -175.1049
21.649671 63.585 -175.3423
21.806553 63.582 -175.5846
21.964572 63.579 -175.8304
22.123737 63.576 -176.0788
22.284054 63.573 -176.3287
22.445534 63.570 -176.5797
22.608183 63.567 -176.8310
22.772012 63.564 -177.0825
22.937027 63.561 -177.3337
23.103238 63.558 -177.5847
23.270654 63.555 -177.8354
23.439282 63.551 -178.0858
23.609133 63.548 -178.3360
23.780215 63.544 -178.5862
23.952536 63.540 -178.8365
24.126106 63.536 -179.0869
24.300934 63.532 -179.3376
24.477028 63.528 -179.5887
24.654399 63.523 -179.8400
24.833055 63.519 179.9085
25.013005 63.514 179.6570
25.194260 63.509 179.4055
25.376828 63.504 179.1545
25.560719 63.499 178.9042
25.745942 63.494 178.6548
25.932508 63.489 178.4066
26.120426 63.484 178.1599
26.309705 63.479 177.9149
26.500356 63.473 177.6714
26.692388 63.468 177.4296
26.885812 63.463 177.1893
27.080638 63.457 176.9502
27.276876 63.452 176.7120
27.474535 63.446 176.4744
27.673627 63.441 176.2371
27.874161 63.435 175.9997
28.076149 63.429 175.7620
28.279600 63.423 175.5239
28.484526 63.417 175.2851
28.690937 63.410 175.0457
28.898843 63.404 174.8058
29.108256 63.397 174.5653
29.319186 63.390 174.3243
29.531645 63.383 174.0830
29.745644 63.375 173.8414
29.961193 63.368 173.5997
30.178304 63.360 173.3578
30.396989 63.353 173.1159
30.617258 63.345 172.8742
30.839123 63.337 172.6328
31.062596 63.329 172.3918
31.287688 63.320 172.1513
31.514412 63.312 171.9116
31.742778 63.303 171.6725
31.972800 63.295 171.4341
32.204488 63.286 171.1964
32.437855 63.277 170.9594
32.672913 63.267 170.7228
32.909674 63.258 170.4866
33.148151 63.249 170.2507
33.388356 63.239 170.0151
33.630302 63.230 169.7798
33.874001 63.220 169.5448
34.119466 63.211 169.3101
34.366710 63.201 169.0757
34.615745 63.191 168.8416
34.866585 63.181 168.6079
35.119243 63.171 168.3745
35.373731 63.161 168.1414
35.630064 63.150 167.9084
35.888254 63.140 167.6756
36.148315 63.129 167.4429
36.410261 63.118 167.2101
36.674104 63.107 166.9773
36.939860 63.096 166.7444
37.207542 63.084 166.5115
37.477163 63.073 166.2785
37.748738 63.061 166.0455
38.022281 63.049 165.8127
38.297806 63.037 165.5800
38.575327 63.025 165.3474
38.854860 63.013 165.1151
39.136419 63.001 164.8828
39.420017 62.989 164.6507
39.705671 62.976 164.4186
39.993395 62.964 164.1864
40.283203 62.951 163.9542
40.575112 62.938 163.7217
40.869136 62.925 163.4893
41.165290 62.911 163.2567
41.463591 62.898 163.0241
41.764053 62.884 162.7916
42.066693 62.871 162.5591
42.371525 62.857 162.3268
42.678567 62.843 162.0947
42.987834 62.829 161.8627
43.299341 62.815 161.6309
43.613106 62.800 161.3992
43.929145 62.786 161.1676
44.247473 62.771 160.9362
44.568109 62.756 160.7047
44.891068 62.741 160.4733
45.216367 62.726 160.2419
45.544023 62.711 160.0104
45.874054 62.696 159.7790
46.206476 62.680 159.5476
46.541307 62.664 159.3162
46.878565 62.648 159.0848
47.218266 62.632 158.8534
47.560429 62.616 158.6221
47.905072 62.599 158.3909
48.252212 62.583 158.1599
48.601867 62.566 157.9294
48.954056 62.548 157.6993
49.308798 62.531 157.4700
49.666109 62.514 157.2415
50.026010 62.496 157.0138
50.388520 62.479 156.7868
50.753656 62.461 156.5603
51.121437 62.444 156.3341
51.491884 62.426 156.1080
51.865016 62.409 155.8818
52.240851 62.391 155.6551
52.619410 62.373 155.4279
53.000712 62.355 155.2001
53.384777 62.337 154.9719
53.771625 62.319 154.7434
54.161276 62.300 154.5147
54.553751 62.281 154.2861
54.949070 62.263 154.0576
55.347254 62.243 153.8292
55.748323 62.224 153.6011
56.152298 62.205 153.3732
56.559201 62.185 153.1454
56.969052 62.165 152.9178
57.381873 62.145 152.6903
57.797686 62.125 152.4631
58.216512 62.105 152.2360
58.638373 62.084 152.0092
59.063291 62.064 151.7825
59.491288 62.043 151.5561
59.922386 62.022 151.3297
60.356608 62.001 151.1033
60.793977 61.979 150.8768
61.234515 61.958 150.6502
61.678246 61.936 150.4235
62.125192 61.914 150.1968
62.575377 61.892 149.9702
63.028824 61.870 149.7437
63.485557 61.848 149.5175
63.945599 61.825 149.2916
64.408975 61.803 149.0660
64.875709 61.780 148.8409
65.345825 61.757 148.6162
65.819348 61.734 148.3922
66.296302 61.711 148.1686
66.776713 61.688 147.9455
67.260604 61.664 147.7227
67.748002 61.640 147.5003
68.238932 61.617 147.2781
68.733420 61.593 147.0561
69.231490 61.569 146.8342
69.733170 61.544 146.6124
70.238485 61.520 146.3906
70.747463 61.496 146.1690
71.260128 61.471 145.9475
71.776508 61.446 145.7260
72.296630 61.421 145.5047
72.820521 61.396 145.2835
73.348209 61.371 145.0625
73.879720 61.346 144.8417
74.415083 61.320 144.6213
74.954326 61.295 144.4013
75.497475 61.269 144.1816
76.044561 61.243 143.9623
76.595612 61.217 143.7434
77.150655 61.191 143.5248
77.709720 61.164 143.3065
78.272837 61.138 143.0885
78.840034 61.111 142.8707
79.411342 61.085 142.6531
79.986789 61.058 142.4357
80.566406 61.030 142.2184
81.150224 61.003 142.0013
81.738272 60.975 141.7843
82.330581 60.948 141.5674
82.927182 60.920 141.3507
83.528107 60.892 141.1343
84.133386 60.863 140.9183
84.743051 60.835 140.7029
85.357134 60.807 140.4883
85.975667 60.778 140.2745
86.598682 60.750 140.0616
87.226212 60.721 139.8496
87.858289 60.692 139.6383
88.494946 60.663 139.4276
89.136217 60.634 139.2173
89.782135 60.604 139.0074
90.432733 60.575 138.7979
91.088046 60.545 138.5887
91.748108 60.515 138.3800
92.412952 60.485 138.1718
93.082615 60.455 137.9642
93.757130 60.425 137.7573
94.436533 60.394 137.5511
95.120859 60.364 137.3456
95.810144 60.333 137.1407
96.504423 60.303 136.9366
97.203734 60.272 136.7330
97.908112 60.241 136.5300
98.617595 60.210 136.3275
99.332219 60.178 136.1255
100.052021 60.147 135.9238
100.777039 60.116 135.7223
101.507311 60.084 135.5210
102.242875 60.053 135.3200
102.983769 60.021 135.1193
103.730032 59.989 134.9191
104.481702 59.957 134.7193
105.238820 59.926 134.5200
106.001424 59.894 134.3212
106.769554 59.861 134.1229
107.543250 59.829 133.9249
108.322553 59.797 133.7271
109.107503 59.764 133.5294
109.898141 59.731 133.3319
110.694508 59.698 133.1347
111.496646 59.665 132.9380
112.304596 59.632 132.7420
113.118402 59.598 132.5468
113.938104 59.565 132.3523
114.763747 59.531 132.1588
115.595372 59.497 131.9661
116.433024 59.463 131.7744
117.276746 59.429 131.5838
118.126581 59.394 131.3945
118.982575 59.359 131.2068
119.844772 59.324 131.0211
120.713217 59.289 130.8374
121.587954 59.254 130.6560
122.469031 59.218 130.4769
123.356492 59.182 130.3000
124.250384 59.146 130.1255
125.150753 59.110 129.9532
126.057647 59.073 129.7836
126.971113 59.036 129.6166
127.891198 58.999 129.4527
128.817950 58.962 129.2921
129.751418 58.925 129.1354
130.691651 58.887 128.9829
131.638696 58.849 128.8352
132.592604 58.812 128.6928
133.553425 58.775 128.5562
134.521208 58.737 128.4261
135.496004 58.700 128.3028
136.477864 58.664 128.1869
137.466839 58.628 128.0788
138.462981 58.593 127.9787
139.466340 58.559 127.8866
140.476971 58.526 127.8022
141.494925 58.494 127.7248
142.520256 58.464 127.6533
143.553016 58.436 127.5863
144.593260 58.410 127.5219
145.641043 58.386 127.4577
146.696418 58.365 127.3913
147.759441 58.345 127.3199
148.830166 58.327 127.2408
149.908651 58.311 127.1518
150.994951 58.296 127.0507
152.089123 58.282 126.9364
153.191223 58.269 126.8081
154.301310 58.257 126.6656
155.419441 58.244 126.5087
156.545674 58.232 126.3378
157.680069 58.220 126.1535
158.822683 58.207 125.9564
159.973578 58.194 125.7476
161.132813 58.179 125.5283
162.300447 58.164 125.3000
163.476543 58.147 125.0641
164.661162 58.129 124.8224
165.854364 58.110 124.5764
167.056213 58.090 124.3277
168.266772 58.068 124.0776
169.486102 58.045 123.8273
170.714268 58.021 123.5779
171.951334 57.997 123.3300
173.197364 57.971 123.0842
174.452424 57.945 122.8412
175.716578 57.917 122.6011
176.989893 57.890 122.3639
178.272434 57.862 122.1296
179.564270 57.833 121.8981
180.865467 57.804 121.6695
182.176092 57.775 121.4437
183.496216 57.746 121.2206
184.825905 57.716 120.9998
186.165229 57.687 120.7810
187.514259 57.657 120.5639
188.873065 57.627 120.3489
190.241717 57.597 120.1363
191.620287 57.567 119.9258
193.008847 57.537 119.7168
194.407468 57.508 119.5086
195.816225 57.478 119.3011
197.235190 57.448 119.0945
198.664438 57.418 118.8895
200.104042 57.387 118.6865
201.554078 57.357 118.4856
203.014622 57.327 118.2867
204.485750 57.298 118.0894
205.967538 57.268 117.8932
207.460064 57.239 117.6977
208.963405 57.210 117.5026
210.477640 57.181 117.3078
212.002848 57.152 117.1133
213.539108 57.123 116.9189
215.086500 57.094 116.7250
216.645105 57.066 116.5314
218.215005 57.037 116.3382
219.796281 57.009 116.1456
221.389015 56.981 115.9534
222.993292 56.953 115.7617
224.609193 56.925 115.5706
226.236804 56.897 115.3799
227.876209 56.870 115.1898
229.527494 56.842 115.0001
231.190745 56.815 114.8110
232.866048 56.788 114.6225
234.553491 56.760 114.4345
236.253163 56.733 114.2471
237.965150 56.706 114.0602
239.689544 56.680 113.8737
241.426433 56.653 113.6879
243.175909 56.626 113.5027
244.938062 56.600 113.3180
246.712984 56.574 113.1340
248.500768 56.547 112.9507
250.301507 56.522 112.7681
252.115295 56.496 112.5861
253.942226 56.470 112.4046
255.782396 56.445 112.2236
257.635901 56.420 112.0430
259.502837 56.394 111.8628
261.383301 56.369 111.6829
263.277392 56.345 111.5035
265.185209 56.320 111.3247
267.106850 56.295 111.1468
269.042417 56.271 110.9699
270.992009 56.246 110.7943
272.955729 56.222 110.6204
274.933678 56.198 110.4484
276.925961 56.174 110.2786
278.932681 56.150 110.1114
280.953942 56.126 109.9471
282.989850 56.102 109.7861
285.040511 56.079 109.6288
287.106032 56.055 109.4756
289.186521 56.033 109.3268
291.282086 56.010 109.1828
293.392836 55.989 109.0439
295.518881 55.968 108.9102
297.660333 55.948 108.7816
299.817302 55.929 108.6578
301.989902 55.911 108.5382
304.178245 55.895 108.4218
306.382446 55.881 108.3076
308.602620 55.869 108.1937
310.838882 55.859 108.0783
313.091348 55.851 107.9591
315.360137 55.845 107.8337
317.645367 55.841 107.6995
319.947156 55.839 107.5541
322.265625 55.838 107.3956
324.600895 55.838 107.2225
326.953086 55.839 107.0340
329.322323 55.841 106.8301
331.708729 55.841 106.6115
334.112427 55.841 106.3797
336.533543 55.840 106.1364
338.972204 55.838 105.8838
341.428536 55.835 105.6242
343.902668 55.830 105.3598
346.394729 55.824 105.0927
348.904848 55.816 104.8249
351.433156 55.807 104.5577
353.979786 55.798 104.2923
356.544869 55.787 104.0297
359.128540 55.776 103.7704
361.730934 55.764 103.5148
364.352185 55.752 103.2629
366.992431 55.740 103.0147
369.651810 55.727 102.7702
372.330459 55.715 102.5290
375.028519 55.703 102.2910
377.746130 55.690 102.0557
380.483434 55.678 101.8230
383.240574 55.666 101.5925
386.017693 55.655 101.3641
388.814937 55.643 101.1375
391.632450 55.632 100.9124
394.470380 55.621 100.6888
397.328875 55.611 100.4664
400.208084 55.600 100.2451
403.108157 55.590 100.0249
406.029245 55.581 99.8055
408.971500 55.571 99.5869
