* Measurement data measured by REW V5.31.3
* Source: Микрофон (2- HiBy FC3), MICROPHONE (Общая громкость), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22.10.2024 19:12:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Jade Audio EA1
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 76.238 -76.6872
20.507813 76.420 -77.8282
20.874023 76.591 -79.0092
21.240234 76.758 -80.2171
21.606445 76.922 -81.4190
21.972656 77.084 -82.5770
22.338867 77.245 -83.6660
22.705078 77.405 -84.6866
23.071289 77.561 -85.6651
23.437500 77.710 -86.6379
23.803711 77.847 -87.6283
24.169922 77.972 -88.6305
24.536133 78.083 -89.6139
24.902344 78.187 -90.5465
25.268555 78.293 -91.4219
25.634766 78.409 -92.2699
26.000977 78.536 -93.1395
26.367188 78.669 -94.0668
26.733399 78.799 -95.0511
27.099610 78.915 -96.0568
27.465821 79.019 -97.0360
27.832032 79.113 -97.9545
28.198243 79.203 -98.8039
28.564454 79.290 -99.5948
28.930665 79.376 -100.3421
29.296876 79.461 -101.0567
29.663087 79.543 -101.7492
30.029298 79.625 -102.4362
30.395509 79.706 -103.1389
30.761720 79.783 -103.8719
31.127931 79.856 -104.6308
31.494142 79.923 -105.3933
31.860353 79.988 -106.1354
32.226563 80.055 -106.8505
32.592774 80.127 -107.5555
32.958985 80.203 -108.2751
33.325196 80.276 -109.0184
33.691407 80.346 -109.7649
34.057618 80.402 -110.4756
34.423829 80.454 -111.1203
34.790040 80.506 -111.7015
35.156251 80.565 -112.2556
35.522462 80.630 -112.8287
35.888673 80.695 -113.4459
36.254884 80.755 -114.0960
36.621095 80.807 -114.7445
36.987306 80.852 -115.3605
37.353517 80.896 -115.9384
37.719728 80.940 -116.4970
38.085939 80.983 -117.0607
38.452150 81.025 -117.6380
38.818361 81.062 -118.2167
39.184572 81.097 -118.7768
39.550783 81.132 -119.3099
39.916994 81.171 -119.8264
40.283205 81.214 -120.3457
40.649416 81.258 -120.8765
41.015627 81.298 -121.4072
41.381838 81.336 -121.9151
41.748049 81.372 -122.3869
42.114260 81.411 -122.8333
42.480471 81.455 -123.2828
42.846682 81.498 -123.7591
43.212893 81.537 -124.2615
43.579103 81.571 -124.7653
43.945314 81.600 -125.2452
44.311525 81.632 -125.6992
44.677736 81.669 -126.1526
45.043947 81.709 -126.6333
45.410158 81.747 -127.1394
45.776369 81.777 -127.6308
46.142580 81.802 -128.0574
46.508791 81.830 -128.4057
46.875002 81.866 -128.7222
47.241213 81.909 -129.0866
47.607424 81.945 -129.5463
47.973635 81.963 -130.0675
48.339846 81.958 -130.5491
48.706057 81.944 -130.8967
49.072268 81.944 -131.1088
49.438479 81.976 -131.3008
49.804690 82.034 -131.6298
50.170901 82.098 -132.1691
50.537112 82.141 -132.8389
50.903323 82.153 -133.4525
51.269534 82.148 -133.8455
51.635745 82.155 -134.0018
52.001956 82.193 -134.0810
52.368167 82.255 -134.3045
52.734378 82.311 -134.7843
53.100589 82.332 -135.4384
53.466800 82.311 -136.0517
53.833011 82.267 -136.4297
54.199222 82.241 -136.5417
54.565432 82.264 -136.5547
54.931643 82.331 -136.7120
55.297854 82.412 -137.1515
55.664065 82.468 -137.8173
56.030276 82.482 -138.5157
56.396487 82.458 -139.0477
56.762698 82.422 -139.3232
57.128909 82.399 -139.3954
57.495120 82.401 -139.4021
57.861331 82.424 -139.4654
58.227542 82.458 -139.6313
58.593753 82.493 -139.8812
58.959964 82.527 -140.1833
59.326175 82.561 -140.5266
59.692386 82.591 -140.9164
60.058597 82.606 -141.3479
60.424808 82.614 -141.7899
60.791019 82.608 -142.1954
61.157230 82.595 -142.5279
61.523441 82.584 -142.7825
61.889652 82.582 -142.9854
62.255863 82.591 -143.1761
62.622074 82.610 -143.3874
62.988285 82.633 -143.6343
63.354496 82.655 -143.9133
63.720707 82.672 -144.2086
64.086918 82.684 -144.4998
64.453129 82.692 -144.7722
64.819340 82.699 -145.0265
65.185551 82.710 -145.2786
65.551762 82.723 -145.5487
65.917972 82.735 -145.8432
66.284183 82.745 -146.1460
66.650394 82.749 -146.4270
67.016605 82.751 -146.6646
67.382816 82.756 -146.8634
67.749027 82.763 -147.0513
68.115238 82.773 -147.2582
68.481449 82.782 -147.4931
68.847660 82.789 -147.7420
69.213871 82.793 -147.9844
69.580082 82.799 -148.2149
69.946293 82.809 -148.4468
70.312504 82.820 -148.6964
70.678715 82.828 -148.9625
71.044926 82.830 -149.2225
71.411137 82.828 -149.4489
71.777348 82.827 -149.6329
72.143559 82.831 -149.7933
72.509770 82.841 -149.9626
72.875981 82.856 -150.1629
73.242192 82.870 -150.3925
73.608403 82.882 -150.6319
73.974614 82.892 -150.8627
74.340825 82.900 -151.0807
74.707036 82.906 -151.2932
75.073247 82.910 -151.5081
75.439458 82.912 -151.7258
75.805669 82.912 -151.9416
76.171880 82.912 -152.1546
76.538091 82.914 -152.3708
76.904301 82.919 -152.5967
77.270512 82.924 -152.8297
77.636723 82.928 -153.0551
78.002934 82.931 -153.2544
78.369145 82.934 -153.4191
78.735356 82.940 -153.5569
79.101567 82.948 -153.6875
79.467778 82.957 -153.8304
79.833989 82.964 -153.9957
80.200200 82.969 -154.1829
80.566411 82.971 -154.3856
80.932622 82.969 -154.5967
81.298833 82.967 -154.8097
81.665044 82.963 -155.0187
82.031255 82.960 -155.2185
82.397466 82.959 -155.4075
82.763677 82.960 -155.5881
83.129888 82.962 -155.7652
83.496099 82.966 -155.9420
83.862310 82.969 -156.1172
84.228521 82.973 -156.2874
84.594732 82.977 -156.4504
84.960943 82.982 -156.6084
85.327154 82.988 -156.7677
85.693365 82.996 -156.9349
86.059576 83.004 -157.1142
86.425787 83.011 -157.3054
86.791998 83.016 -157.5040
87.158209 83.018 -157.7009
87.524420 83.018 -157.8834
87.890631 83.018 -158.0398
88.256841 83.019 -158.1668
88.623052 83.024 -158.2745
88.989263 83.033 -158.3843
89.355474 83.046 -158.5180
89.721685 83.056 -158.6845
90.087896 83.061 -158.8738
90.454107 83.059 -159.0621
90.820318 83.052 -159.2271
91.186529 83.043 -159.3622
91.552740 83.037 -159.4809
91.918951 83.036 -159.6087
92.285162 83.038 -159.7674
92.651373 83.041 -159.9607
93.017584 83.041 -160.1697
93.383795 83.039 -160.3633
93.750006 83.035 -160.5153
94.116217 83.033 -160.6223
94.482428 83.036 -160.7081
94.848639 83.042 -160.8096
95.214850 83.047 -160.9522
95.581061 83.046 -161.1307
95.947272 83.039 -161.3136
96.313483 83.030 -161.4688
96.679694 83.029 -161.5940
97.045905 83.040 -161.7224
97.412116 83.060 -161.8947
97.778327 83.079 -162.1158
98.144538 83.086 -162.3333
98.510749 83.078 -162.4637
98.876960 83.063 -162.4515
99.243170 83.055 -162.3227
99.609381 83.061 -162.1862
99.975592 83.080 -162.1713
100.341803 83.097 -162.3445
100.708014 83.097 -162.6701
101.074225 83.078 -163.0395
101.440436 83.049 -163.3432
101.806647 83.024 -163.5359
102.172858 83.016 -163.6506
102.539069 83.024 -163.7577
102.905280 83.040 -163.9048
103.271491 83.051 -164.0871
103.637702 83.052 -164.2651
104.003913 83.045 -164.4052
104.370124 83.037 -164.5073
104.736335 83.033 -164.6001
105.102546 83.033 -164.7125
105.468757 83.035 -164.8499
105.834968 83.037 -164.9938
106.201179 83.038 -165.1203
106.567390 83.041 -165.2204
106.933601 83.046 -165.3042
107.299812 83.051 -165.3900
107.666023 83.055 -165.4897
108.032234 83.055 -165.6033
108.398445 83.052 -165.7237
108.764656 83.048 -165.8457
109.130867 83.043 -165.9693
109.497078 83.041 -166.0963
109.863289 83.040 -166.2257
110.229500 83.039 -166.3519
110.595710 83.038 -166.4680
110.961921 83.036 -166.5714
111.328132 83.036 -166.6665
111.694343 83.035 -166.7625
112.060554 83.034 -166.8686
112.426765 83.031 -166.9887
112.792976 83.026 -167.1206
113.159187 83.020 -167.2580
113.525398 83.014 -167.3951
113.891609 83.008 -167.5287
114.257820 83.005 -167.6586
114.624031 83.004 -167.7848
114.990242 83.004 -167.9049
115.356453 83.006 -168.0134
115.722664 83.009 -168.1039
116.088875 83.012 -168.1728
116.455086 83.016 -168.2212
116.821297 83.018 -168.2569
117.187508 83.021 -168.2921
117.553719 83.021 -168.3409
117.919930 83.019 -168.4146
118.286141 83.015 -168.5175
118.652352 83.007 -168.6452
119.018563 82.998 -168.7863
119.384774 82.990 -168.9283
119.750985 82.985 -169.0637
120.117196 82.984 -169.1928
120.483407 82.986 -169.3202
120.849618 82.990 -169.4477
121.215829 82.991 -169.5704
121.582040 82.990 -169.6787
121.948250 82.986 -169.7662
122.314461 82.983 -169.8363
122.680672 82.982 -169.9023
123.046883 82.983 -169.9799
123.413094 82.986 -170.0773
123.779305 82.988 -170.1892
124.145516 82.986 -170.2999
124.511727 82.981 -170.3920
124.877938 82.975 -170.4578
125.244149 82.969 -170.5047
125.610360 82.967 -170.5536
125.976571 82.968 -170.6292
126.342782 82.971 -170.7463
126.708993 82.973 -170.9000
127.075204 82.972 -171.0661
127.441415 82.970 -171.2135
127.807626 82.969 -171.3227
128.173837 82.969 -171.3966
128.540048 82.970 -171.4557
128.906259 82.969 -171.5192
129.272470 82.961 -171.5862
129.638681 82.947 -171.6355
130.004892 82.931 -171.6457
130.371103 82.922 -171.6226
130.737314 82.926 -171.6082
131.103525 82.943 -171.6597
131.469736 82.963 -171.8077
131.835947 82.975 -172.0297
132.202158 82.972 -172.2574
132.568369 82.953 -172.4176
132.934579 82.929 -172.4774
133.300790 82.909 -172.4645
133.667001 82.900 -172.4464
134.033212 82.900 -172.4844
134.399423 82.902 -172.5965
134.765634 82.903 -172.7557
135.131845 82.903 -172.9182
135.498056 82.903 -173.0559
135.864267 82.906 -173.1682
136.230478 82.908 -173.2684
136.596689 82.907 -173.3619
136.962900 82.900 -173.4379
137.329111 82.888 -173.4814
137.695322 82.876 -173.4936
138.061533 82.870 -173.4996
138.427744 82.871 -173.5341
138.793955 82.875 -173.6169
139.160166 82.878 -173.7388
139.526377 82.877 -173.8715
139.892588 82.872 -173.9911
140.258799 82.867 -174.0974
140.625010 82.862 -174.2103
140.991221 82.857 -174.3479
141.357432 82.848 -174.5040
141.723643 82.836 -174.6468
142.089854 82.824 -174.7394
142.456065 82.818 -174.7683
142.822276 82.823 -174.7550
143.188487 82.837 -174.7424
143.554698 82.853 -174.7649
143.920909 82.862 -174.8275
144.287119 82.859 -174.9081
144.653330 82.847 -174.9792
145.019541 82.831 -175.0300
145.385752 82.818 -175.0723
145.751963 82.811 -175.1277
146.118174 82.810 -175.2083
146.484385 82.813 -175.3070
146.850596 82.817 -175.4050
147.216807 82.820 -175.4866
147.583018 82.821 -175.5498
147.949229 82.819 -175.6048
148.315440 82.813 -175.6637
148.681651 82.801 -175.7320
149.047862 82.787 -175.8067
149.414073 82.773 -175.8823
149.780284 82.763 -175.9561
150.146495 82.758 -176.0288
150.512706 82.759 -176.1015
150.878917 82.763 -176.1721
151.245128 82.767 -176.2359
151.611339 82.769 -176.2905
151.977550 82.769 -176.3388
152.343761 82.766 -176.3898
152.709972 82.760 -176.4532
153.076183 82.753 -176.5343
153.442394 82.745 -176.6304
153.808605 82.738 -176.7321
154.174816 82.732 -176.8279
154.541027 82.729 -176.9100
154.907238 82.727 -176.9768
155.273448 82.727 -177.0323
155.639659 82.726 -177.0827
156.005870 82.723 -177.1327
156.372081 82.718 -177.1840
156.738292 82.711 -177.2369
157.104503 82.705 -177.2922
157.470714 82.700 -177.3525
157.836925 82.698 -177.4204
158.203136 82.697 -177.4958
158.569347 82.697 -177.5743
158.935558 82.695 -177.6487
159.301769 82.691 -177.7128
159.667980 82.685 -177.7646
160.034191 82.677 -177.8080
160.400402 82.670 -177.8504
160.766613 82.663 -177.8990
161.132824 82.658 -177.9582
161.499035 82.654 -178.0282
161.865246 82.650 -178.1050
162.231457 82.647 -178.1818
162.597668 82.643 -178.2509
162.963879 82.640 -178.3077
