* Measurement data measured by REW V5.31.3
* Source: Микрофон (2- HiBy FC3), MICROPHONE (Общая громкость), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22.10.2024 19:16:09
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ AS06
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 68.519 48.3025
20.507813 68.617 47.5739
20.874023 68.708 46.8450
21.240234 68.795 46.0805
21.606445 68.875 45.2758
21.972656 68.945 44.4662
22.338867 69.006 43.7075
22.705078 69.063 43.0375
23.071289 69.126 42.4450
23.437500 69.200 41.8698
23.803711 69.282 41.2399
24.169922 69.363 40.5192
24.536133 69.433 39.7332
24.902344 69.485 38.9521
25.268555 69.525 38.2456
25.634766 69.565 37.6389
26.000977 69.613 37.0983
26.367188 69.672 36.5570
26.733399 69.737 35.9622
27.099610 69.794 35.3060
27.465821 69.842 34.6235
27.832032 69.882 33.9625
28.198243 69.917 33.3506
28.564454 69.955 32.7822
28.930665 69.997 32.2295
29.296876 70.041 31.6672
29.663087 70.084 31.0890
30.029298 70.123 30.5076
30.395509 70.158 29.9410
30.761720 70.191 29.3987
31.127931 70.224 28.8760
31.494142 70.259 28.3599
31.860353 70.293 27.8394
32.226563 70.326 27.3134
32.592774 70.355 26.7905
32.958985 70.382 26.2829
33.325196 70.406 25.7976
33.691407 70.434 25.3311
34.057618 70.462 24.8694
34.423829 70.490 24.3962
34.790040 70.519 23.9028
35.156251 70.544 23.3939
35.522462 70.567 22.8860
35.888673 70.587 22.3968
36.254884 70.605 21.9351
36.621095 70.626 21.4954
36.987306 70.648 21.0640
37.353517 70.671 20.6288
37.719728 70.692 20.1870
38.085939 70.711 19.7452
38.452150 70.728 19.3116
38.818361 70.744 18.8892
39.184572 70.761 18.4743
39.550783 70.779 18.0610
39.916994 70.796 17.6466
40.283205 70.813 17.2337
40.649416 70.828 16.8269
41.015627 70.843 16.4289
41.381838 70.857 16.0384
41.748049 70.870 15.6518
42.114260 70.883 15.2666
42.480471 70.898 14.8823
42.846682 70.913 14.4993
43.212893 70.927 14.1182
43.579103 70.940 13.7389
43.945314 70.954 13.3613
44.311525 70.968 12.9862
44.677736 70.981 12.6139
45.043947 70.994 12.2438
45.410158 71.007 11.8749
45.776369 71.018 11.5080
46.142580 71.027 11.1461
46.508791 71.035 10.7929
46.875002 71.043 10.4492
47.241213 71.052 10.1108
47.607424 71.060 9.7708
47.973635 71.070 9.4256
48.339846 71.078 9.0784
48.706057 71.085 8.7375
49.072268 71.092 8.4098
49.438479 71.100 8.0942
49.804690 71.110 7.7810
50.170901 71.122 7.4592
50.537112 71.133 7.1240
50.903323 71.143 6.7806
51.269534 71.150 6.4401
51.635745 71.156 6.1113
52.001956 71.161 5.7953
52.368167 71.167 5.4866
52.734378 71.174 5.1785
53.100589 71.181 4.8684
53.466800 71.187 4.5583
53.833011 71.190 4.2517
54.199222 71.194 3.9499
54.565432 71.198 3.6510
54.931643 71.202 3.3528
55.297854 71.205 3.0553
55.664065 71.207 2.7605
56.030276 71.209 2.4704
56.396487 71.210 2.1848
56.762698 71.211 1.9013
57.128909 71.213 1.6171
57.495120 71.214 1.3317
57.861331 71.215 1.0466
58.227542 71.217 0.7639
58.593753 71.218 0.4845
58.959964 71.220 0.2072
59.326175 71.222 -0.0700
59.692386 71.223 -0.3478
60.058597 71.219 -0.6254
60.424808 71.219 -0.9003
60.791019 71.219 -1.1699
61.157230 71.217 -1.4330
61.523441 71.216 -1.6905
61.889652 71.216 -1.9455
62.255863 71.216 -2.2021
62.622074 71.216 -2.4631
62.988285 71.216 -2.7286
63.354496 71.215 -2.9955
63.720707 71.214 -3.2589
64.086918 71.212 -3.5154
64.453129 71.210 -3.7655
64.819340 71.210 -4.0130
65.185551 71.210 -4.2628
65.551762 71.210 -4.5171
65.917972 71.209 -4.7738
66.284183 71.207 -5.0279
66.650394 71.204 -5.2752
67.016605 71.201 -5.5145
67.382816 71.199 -5.7489
67.749027 71.196 -5.9828
68.115238 71.194 -6.2197
68.481449 71.193 -6.4599
68.847660 71.190 -6.7015
69.213871 71.188 -6.9415
69.580082 71.185 -7.1784
69.946293 71.182 -7.4121
70.312504 71.179 -7.6440
70.678715 71.176 -7.8750
71.044926 71.173 -8.1056
71.411137 71.169 -8.3350
71.777348 71.165 -8.5621
72.143559 71.161 -8.7867
72.509770 71.157 -9.0097
72.875981 71.153 -9.2328
73.242192 71.151 -9.4579
73.608403 71.148 -9.6850
73.974614 71.144 -9.9122
74.340825 71.140 -10.1367
74.707036 71.136 -10.3565
75.073247 71.131 -10.5716
75.439458 71.126 -10.7837
75.805669 71.122 -10.9956
76.171880 71.119 -11.2087
76.538091 71.115 -11.4229
76.904301 71.110 -11.6368
77.270512 71.106 -11.8492
77.636723 71.102 -12.0595
78.002934 71.098 -12.2682
78.369145 71.093 -12.4762
78.735356 71.089 -12.6838
79.101567 71.085 -12.8909
79.467778 71.080 -13.0967
79.833989 71.075 -13.3005
80.200200 71.071 -13.5019
80.566411 71.066 -13.7011
80.932622 71.061 -13.8987
81.298833 71.056 -14.0958
81.665044 71.052 -14.2939
82.031255 71.048 -14.4942
82.397466 71.044 -14.6975
82.763677 71.040 -14.9033
83.129888 71.035 -15.1099
83.496099 71.029 -15.3143
83.862310 71.022 -15.5135
84.228521 71.016 -15.7059
84.594732 71.009 -15.8928
84.960943 71.002 -16.0785
85.327154 70.997 -16.2680
85.693365 70.992 -16.4643
86.059576 70.987 -16.6654
86.425787 70.981 -16.8660
86.791998 70.976 -17.0603
87.158209 70.972 -17.2468
87.524420 70.969 -17.4288
87.890631 70.965 -17.6113
88.256841 70.961 -17.7957
88.623052 70.953 -17.9776
88.989263 70.943 -18.1500
89.355474 70.933 -18.3101
89.721685 70.924 -18.4646
90.087896 70.918 -18.6278
90.454107 70.914 -18.8123
90.820318 70.911 -19.0199
91.186529 70.907 -19.2393
91.552740 70.901 -19.4527
91.918951 70.894 -19.6475
92.285162 70.888 -19.8236
92.651373 70.883 -19.9911
93.017584 70.879 -20.1607
93.383795 70.873 -20.3361
93.750006 70.866 -20.5126
94.116217 70.857 -20.6838
94.482428 70.850 -20.8493
94.848639 70.843 -21.0157
95.214850 70.839 -21.1908
95.581061 70.834 -21.3765
95.947272 70.828 -21.5664
96.313483 70.821 -21.7517
96.679694 70.814 -21.9283
97.045905 70.807 -22.0997
97.412116 70.801 -22.2712
97.778327 70.794 -22.4432
98.144538 70.786 -22.6082
98.510749 70.777 -22.7572
98.876960 70.769 -22.8895
99.243170 70.764 -23.0172
99.609381 70.762 -23.1593
99.975592 70.760 -23.3288
100.341803 70.755 -23.5232
100.708014 70.745 -23.7255
101.074225 70.732 -23.9162
101.440436 70.718 -24.0855
101.806647 70.706 -24.2382
102.172858 70.697 -24.3875
102.539069 70.691 -24.5443
102.905280 70.685 -24.7109
103.271491 70.679 -24.8817
103.637702 70.673 -25.0504
104.003913 70.666 -25.2144
104.370124 70.659 -25.3745
104.736335 70.652 -25.5312
105.102546 70.644 -25.6823
105.468757 70.636 -25.8256
105.834968 70.629 -25.9628
106.201179 70.622 -26.1004
106.567390 70.615 -26.2462
106.933601 70.608 -26.4034
107.299812 70.600 -26.5683
107.666023 70.590 -26.7331
108.032234 70.580 -26.8927
108.398445 70.571 -27.0476
108.764656 70.564 -27.2022
109.130867 70.557 -27.3598
109.497078 70.550 -27.5186
109.863289 70.543 -27.6735
110.229500 70.536 -27.8214
110.595710 70.529 -27.9643
110.961921 70.523 -28.1083
111.328132 70.517 -28.2582
111.694343 70.511 -28.4133
112.060554 70.503 -28.5678
112.426765 70.495 -28.7158
112.792976 70.488 -28.8562
113.159187 70.482 -28.9937
113.525398 70.475 -29.1352
113.891609 70.469 -29.2838
114.257820 70.460 -29.4374
114.624031 70.450 -29.5898
114.990242 70.439 -29.7354
115.356453 70.429 -29.8726
115.722664 70.421 -30.0040
116.088875 70.415 -30.1347
116.455086 70.412 -30.2698
116.821297 70.409 -30.4125
117.187508 70.407 -30.5638
117.553719 70.402 -30.7212
117.919930 70.396 -30.8798
118.286141 70.386 -31.0335
118.652352 70.375 -31.1776
119.018563 70.364 -31.3117
119.384774 70.354 -31.4399
119.750985 70.345 -31.5689
120.117196 70.337 -31.7034
120.483407 70.329 -31.8436
120.849618 70.321 -31.9858
121.215829 70.311 -32.1255
121.582040 70.302 -32.2611
121.948250 70.292 -32.3942
122.314461 70.283 -32.5281
122.680672 70.275 -32.6646
123.046883 70.268 -32.8026
123.413094 70.261 -32.9394
123.779305 70.254 -33.0734
124.145516 70.248 -33.2048
124.511727 70.241 -33.3352
124.877938 70.233 -33.4652
125.244149 70.224 -33.5942
125.610360 70.214 -33.7215
125.976571 70.203 -33.8484
126.342782 70.194 -33.9787
126.708993 70.186 -34.1155
127.075204 70.179 -34.2581
127.441415 70.172 -34.4010
127.807626 70.165 -34.5374
128.173837 70.158 -34.6645
128.540048 70.151 -34.7867
128.906259 70.144 -34.9133
129.272470 70.136 -35.0518
129.638681 70.125 -35.2011
130.004892 70.112 -35.3518
130.371103 70.098 -35.4921
130.737314 70.086 -35.6162
131.103525 70.077 -35.7282
131.469736 70.072 -35.8381
131.835947 70.068 -35.9539
132.202158 70.064 -36.0756
132.568369 70.058 -36.1968
132.934579 70.049 -36.3111
133.300790 70.040 -36.4186
133.667001 70.031 -36.5265
134.033212 70.022 -36.6430
134.399423 70.014 -36.7710
134.765634 70.006 -36.9063
135.131845 69.998 -37.0414
135.498056 69.990 -37.1716
135.864267 69.983 -37.2976
136.230478 69.975 -37.4229
136.596689 69.966 -37.5489
136.962900 69.956 -37.6736
137.329111 69.944 -37.7937
137.695322 69.933 -37.9095
138.061533 69.923 -38.0260
138.427744 69.914 -38.1492
138.793955 69.907 -38.2798
139.160166 69.899 -38.4116
139.526377 69.891 -38.5350
139.892588 69.882 -38.6448
140.258799 69.875 -38.7449
140.625010 69.868 -38.8454
140.991221 69.861 -38.9553
141.357432 69.853 -39.0763
141.723643 69.842 -39.2019
142.089854 69.831 -39.3238
142.456065 69.819 -39.4383
142.822276 69.810 -39.5490
143.188487 69.802 -39.6623
143.554698 69.794 -39.7815
143.920909 69.786 -39.9033
144.287119 69.777 -40.0210
144.653330 69.768 -40.1298
145.019541 69.758 -40.2311
145.385752 69.749 -40.3315
145.751963 69.741 -40.4380
146.118174 69.733 -40.5528
146.484385 69.723 -40.6730
146.850596 69.714 -40.7927
147.216807 69.704 -40.9079
147.583018 69.695 -41.0181
147.949229 69.686 -41.1258
148.315440 69.678 -41.2332
148.681651 69.669 -41.3405
149.047862 69.660 -41.4461
149.414073 69.650 -41.5483
149.780284 69.641 -41.6473
150.146495 69.631 -41.7455
150.512706 69.622 -41.8464
150.878917 69.613 -41.9526
151.245128 69.604 -42.0639
151.611339 69.595 -42.1775
151.977550 69.584 -42.2897
152.343761 69.574 -42.3979
152.709972 69.564 -42.5018
153.076183 69.554 -42.6033
153.442394 69.545 -42.7050
153.808605 69.535 -42.8082
154.174816 69.526 -42.9128
154.541027 69.517 -43.0175
154.907238 69.508 -43.1216
155.273448 69.498 -43.2252
155.639659 69.489 -43.3288
156.005870 69.479 -43.4323
156.372081 69.469 -43.5346
156.738292 69.458 -43.6346
157.104503 69.448 -43.7320
157.470714 69.438 -43.8278
157.836925 69.429 -43.9237
158.203136 69.420 -44.0205
158.569347 69.411 -44.1177
158.935558 69.403 -44.2140
159.301769 69.394 -44.3082
159.667980 69.384 -44.4000
160.034191 69.374 -44.4897
160.400402 69.364 -44.5777
160.766613 69.354 -44.6648
161.132824 69.344 -44.7526
161.499035 69.334 -44.8431
161.865246 69.325 -44.9374
162.231457 69.316 -45.0339
162.597668 69.306 -45.1280
162.963879 69.295 -45.2148
163.330090 69.284 -45.2928
163.696301 69.275 -45.3664
164.062512 69.266 -45.4440
164.428723 69.258 -45.5325
164.794934 69.249 -45.6328
165.161145 69.239 -45.7390
165.527356 69.229 -45.8423
