* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 29.08.2022 12:30:56
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ AS12 X RIO
* Smoothing: 1/3 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 64.591 -154.0903
20.287556 64.596 -154.1965
20.434568 64.602 -154.3237
20.582645 64.609 -154.4707
20.731796 64.616 -154.6361
20.882027 64.624 -154.8185
21.033346 64.633 -155.0162
21.185763 64.641 -155.2280
21.339284 64.650 -155.4525
21.493917 64.660 -155.6883
21.649671 64.669 -155.9344
21.806553 64.678 -156.1898
21.964572 64.688 -156.4537
22.123737 64.697 -156.7252
22.284054 64.706 -157.0037
22.445534 64.715 -157.2886
22.608183 64.723 -157.5795
22.772012 64.732 -157.8758
22.937027 64.740 -158.1769
23.103238 64.747 -158.4825
23.270654 64.755 -158.7919
23.439282 64.761 -159.1046
23.609133 64.768 -159.4201
23.780215 64.774 -159.7377
23.952536 64.780 -160.0569
24.126106 64.786 -160.3772
24.300934 64.792 -160.6981
24.477028 64.797 -161.0191
24.654399 64.802 -161.3398
24.833055 64.807 -161.6601
25.013005 64.812 -161.9795
25.194260 64.817 -162.2980
25.376828 64.822 -162.6155
25.560719 64.827 -162.9319
25.745942 64.832 -163.2472
25.932508 64.837 -163.5614
26.120426 64.842 -163.8745
26.309705 64.847 -164.1866
26.500356 64.852 -164.4978
26.692388 64.856 -164.8080
26.885812 64.861 -165.1175
27.080638 64.865 -165.4261
27.276876 64.869 -165.7339
27.474535 64.873 -166.0410
27.673627 64.876 -166.3474
27.874161 64.880 -166.6531
28.076149 64.883 -166.9581
28.279600 64.887 -167.2623
28.484526 64.890 -167.5657
28.690937 64.893 -167.8683
28.898843 64.896 -168.1700
29.108256 64.898 -168.4707
29.319186 64.901 -168.7704
29.531645 64.904 -169.0692
29.745644 64.906 -169.3669
29.961193 64.909 -169.6636
30.178304 64.911 -169.9594
30.396989 64.913 -170.2543
30.617258 64.916 -170.5485
30.839123 64.918 -170.8422
31.062596 64.920 -171.1354
31.287688 64.922 -171.4283
31.514412 64.924 -171.7211
31.742778 64.926 -172.0139
31.972800 64.928 -172.3068
32.204488 64.929 -172.6000
32.437855 64.931 -172.8936
32.672913 64.933 -173.1875
32.909674 64.935 -173.4821
33.148151 64.936 -173.7773
33.388356 64.938 -174.0733
33.630302 64.940 -174.3701
33.874001 64.942 -174.6677
34.119466 64.943 -174.9663
34.366710 64.945 -175.2659
34.615745 64.947 -175.5663
34.866585 64.948 -175.8677
35.119243 64.950 -176.1699
35.373731 64.951 -176.4728
35.630064 64.952 -176.7763
35.888254 64.953 -177.0801
36.148315 64.954 -177.3843
36.410261 64.954 -177.6885
36.674104 64.954 -177.9926
36.939860 64.954 -178.2966
37.207542 64.953 -178.6001
37.477163 64.953 -178.9032
37.748738 64.952 -179.2058
38.022281 64.950 -179.5077
38.297806 64.949 -179.8091
38.575327 64.947 179.8903
38.854860 64.945 179.5902
39.136419 64.942 179.2908
39.420017 64.940 178.9921
39.705671 64.937 178.6939
39.993395 64.934 178.3963
40.283203 64.931 178.0993
40.575112 64.928 177.8028
40.869136 64.924 177.5068
41.165290 64.921 177.2114
41.463591 64.917 176.9164
41.764053 64.913 176.6219
42.066693 64.909 176.3280
42.371525 64.904 176.0345
42.678567 64.900 175.7415
42.987834 64.895 175.4489
43.299341 64.891 175.1567
43.613106 64.886 174.8649
43.929145 64.881 174.5734
44.247473 64.875 174.2821
44.568109 64.870 173.9911
44.891068 64.864 173.7003
45.216367 64.858 173.4098
45.544023 64.852 173.1194
45.874054 64.846 172.8291
46.206476 64.840 172.5390
46.541307 64.833 172.2491
46.878565 64.827 171.9593
47.218266 64.820 171.6696
47.560429 64.813 171.3801
47.905072 64.806 171.0907
48.252212 64.798 170.8015
48.601867 64.791 170.5125
48.954056 64.783 170.2237
49.308798 64.775 169.9352
49.666109 64.768 169.6469
50.026010 64.760 169.3588
50.388520 64.751 169.0710
50.753656 64.743 168.7834
51.121437 64.735 168.4962
51.491884 64.726 168.2092
51.865016 64.717 167.9224
52.240851 64.709 167.6357
52.619410 64.700 167.3492
53.000712 64.690 167.0629
53.384777 64.681 166.7767
53.771625 64.672 166.4905
54.161276 64.662 166.2043
54.553751 64.653 165.9181
54.949070 64.643 165.6318
55.347254 64.633 165.3454
55.748323 64.623 165.0588
56.152298 64.613 164.7721
56.559201 64.603 164.4850
56.969052 64.592 164.1977
57.381873 64.582 163.9100
57.797686 64.571 163.6219
58.216512 64.560 163.3333
58.638373 64.550 163.0443
59.063291 64.539 162.7547
59.491288 64.528 162.4646
59.922386 64.516 162.1739
60.356608 64.505 161.8826
60.793977 64.493 161.5907
61.234515 64.481 161.2983
61.678246 64.469 161.0052
62.125192 64.457 160.7118
62.575377 64.444 160.4178
63.028824 64.432 160.1233
63.485557 64.419 159.8284
63.945599 64.405 159.5332
64.408975 64.392 159.2377
64.875709 64.378 158.9420
65.345825 64.364 158.6461
65.819348 64.350 158.3500
66.296302 64.335 158.0540
66.776713 64.320 157.7580
67.260604 64.305 157.4621
67.748002 64.290 157.1664
68.238932 64.275 156.8709
68.733420 64.259 156.5757
69.231490 64.243 156.2807
69.733170 64.226 155.9860
70.238485 64.210 155.6917
70.747463 64.193 155.3977
71.260128 64.176 155.1040
71.776508 64.159 154.8106
72.296630 64.141 154.5175
72.820521 64.123 154.2247
73.348209 64.105 153.9322
73.879720 64.086 153.6399
74.415083 64.068 153.3480
74.954326 64.049 153.0563
75.497475 64.029 152.7650
76.044561 64.009 152.4739
76.595612 63.989 152.1832
77.150655 63.969 151.8929
77.709720 63.948 151.6031
78.272837 63.927 151.3137
78.840034 63.906 151.0248
79.411342 63.885 150.7364
79.986789 63.863 150.4485
80.566406 63.841 150.1614
81.150224 63.818 149.8748
81.738272 63.795 149.5891
82.330581 63.772 149.3040
82.927182 63.749 149.0199
83.528107 63.725 148.7366
84.133386 63.701 148.4544
84.743051 63.677 148.1732
85.357134 63.653 147.8932
85.975667 63.628 147.6145
86.598682 63.603 147.3372
87.226212 63.578 147.0614
87.858289 63.552 146.7872
88.494946 63.526 146.5148
89.136217 63.500 146.2443
89.782135 63.474 145.9758
90.432733 63.448 145.7094
91.088046 63.421 145.4453
91.748108 63.395 145.1834
92.412952 63.368 144.9240
93.082615 63.341 144.6669
93.757130 63.314 144.4124
94.436533 63.288 144.1604
95.120859 63.261 143.9110
95.810144 63.234 143.6642
96.504423 63.207 143.4200
97.203734 63.181 143.1784
97.908112 63.155 142.9394
98.617595 63.128 142.7030
99.332219 63.103 142.4692
100.052021 63.077 142.2379
100.777039 63.052 142.0091
101.507311 63.028 141.7827
102.242875 63.003 141.5583
102.983769 62.980 141.3360
103.730032 62.957 141.1154
104.481702 62.934 140.8961
105.238820 62.912 140.6779
106.001424 62.891 140.4601
106.769554 62.871 140.2423
107.543250 62.851 140.0238
108.322553 62.833 139.8040
109.107503 62.815 139.5821
109.898141 62.798 139.3573
110.694508 62.781 139.1288
111.496646 62.766 138.8959
112.304596 62.751 138.6578
113.118402 62.737 138.4138
113.938104 62.724 138.1632
114.763747 62.711 137.9055
115.595372 62.698 137.6403
116.433024 62.686 137.3672
117.276746 62.673 137.0860
118.126581 62.661 136.7968
118.982575 62.648 136.4995
119.844772 62.635 136.1942
120.713217 62.621 135.8814
121.587954 62.607 135.5613
122.469031 62.592 135.2343
123.356492 62.577 134.9009
124.250384 62.560 134.5617
125.150753 62.542 134.2173
126.057647 62.524 133.8682
126.971113 62.504 133.5150
127.891198 62.483 133.1584
128.817950 62.461 132.7989
129.751418 62.438 132.4373
130.691651 62.414 132.0739
131.638696 62.388 131.7096
132.592604 62.362 131.3447
133.553425 62.334 130.9798
134.521208 62.305 130.6153
135.496004 62.275 130.2517
136.477864 62.245 129.8895
137.466839 62.213 129.5288
138.462981 62.180 129.1701
139.466340 62.146 128.8137
140.476971 62.112 128.4597
141.494925 62.077 128.1085
142.520256 62.041 127.7600
143.553016 62.004 127.4146
144.593260 61.967 127.0721
145.641043 61.929 126.7327
146.696418 61.891 126.3964
147.759441 61.852 126.0632
148.830166 61.813 125.7331
149.908651 61.773 125.4060
150.994951 61.733 125.0819
152.089123 61.693 124.7607
153.191223 61.653 124.4424
154.301310 61.612 124.1270
155.419441 61.571 123.8143
156.545674 61.529 123.5043
157.680069 61.488 123.1970
158.822683 61.446 122.8923
159.973578 61.405 122.5901
161.132813 61.363 122.2903
162.300447 61.321 121.9928
163.476543 61.279 121.6976
164.661162 61.237 121.4046
165.854364 61.195 121.1137
167.056213 61.153 120.8247
168.266772 61.111 120.5376
169.486102 61.069 120.2523
170.714268 61.027 119.9685
171.951334 60.985 119.6863
173.197364 60.943 119.4055
174.452424 60.901 119.1259
175.716578 60.859 118.8474
176.989893 60.817 118.5699
178.272434 60.775 118.2933
179.564270 60.732 118.0174
180.865467 60.690 117.7421
182.176092 60.648 117.4674
183.496216 60.606 117.1931
184.825905 60.564 116.9193
186.165229 60.522 116.6458
187.514259 60.479 116.3727
188.873065 60.437 116.1000
190.241717 60.394 115.8276
191.620287 60.352 115.5556
193.008847 60.309 115.2842
194.407468 60.266 115.0133
195.816225 60.222 114.7431
197.235190 60.179 114.4737
198.664438 60.135 114.2053
200.104042 60.091 113.9380
201.554078 60.046 113.6719
203.014622 60.002 113.4073
204.485750 59.957 113.1442
205.967538 59.912 112.8830
207.460064 59.866 112.6237
208.963405 59.821 112.3665
210.477640 59.775 112.1116
212.002848 59.729 111.8592
213.539108 59.683 111.6095
215.086500 59.636 111.3626
216.645105 59.589 111.1187
218.215005 59.543 110.8779
219.796281 59.496 110.6405
221.389015 59.449 110.4064
222.993292 59.402 110.1759
224.609193 59.355 109.9489
226.236804 59.308 109.7256
227.876209 59.262 109.5060
229.527494 59.215 109.2900
231.190745 59.169 109.0775
232.866048 59.123 108.8684
234.553491 59.077 108.6625
236.253163 59.032 108.4596
237.965150 58.988 108.2592
239.689544 58.944 108.0611
241.426433 58.900 107.8647
243.175909 58.857 107.6696
244.938062 58.815 107.4750
246.712984 58.774 107.2805
248.500768 58.733 107.0854
250.301507 58.693 106.8890
252.115295 58.654 106.6908
253.942226 58.615 106.4901
255.782396 58.576 106.2866
257.635901 58.538 106.0798
259.502837 58.500 105.8696
261.383301 58.463 105.6558
263.277392 58.425 105.4384
265.185209 58.387 105.2177
267.106850 58.349 104.9940
269.042417 58.311 104.7675
270.992009 58.273 104.5389
272.955729 58.234 104.3087
274.933678 58.194 104.0775
276.925961 58.155 103.8457
278.932681 58.114 103.6140
280.953942 58.073 103.3830
282.989850 58.032 103.1531
285.040511 57.990 102.9247
287.106032 57.948 102.6984
289.186521 57.905 102.4744
291.282086 57.862 102.2531
293.392836 57.819 102.0346
295.518881 57.775 101.8193
297.660333 57.731 101.6072
299.817302 57.687 101.3984
301.989902 57.643 101.1931
304.178245 57.598 100.9914
306.382446 57.554 100.7931
308.602620 57.510 100.5983
310.838882 57.465 100.4070
313.091348 57.421 100.2192
315.360137 57.377 100.0349
317.645367 57.333 99.8538
319.947156 57.289 99.6761
322.265625 57.245 99.5017
324.600895 57.202 99.3304
326.953086 57.159 99.1623
329.322323 57.116 98.9973
331.708729 57.073 98.8352
334.112427 57.030 98.6762
336.533543 56.988 98.5200
338.972204 56.946 98.3667
341.428536 56.904 98.2162
343.902668 56.862 98.0685
346.394729 56.821 97.9236
348.904848 56.780 97.7813
351.433156 56.740 97.6417
353.979786 56.699 97.5047
356.544869 56.660 97.3703
359.128540 56.620 97.2386
361.730934 56.581 97.1094
364.352185 56.542 96.9828
366.992431 56.504 96.8587
369.651810 56.466 96.7372
372.330459 56.428 96.6182
375.028519 56.391 96.5016
377.746130 56.354 96.3876
380.483434 56.317 96.2761
383.240574 56.281 96.1671
386.017693 56.245 96.0605
388.814937 56.210 95.9563
391.632450 56.175 95.8547
394.470380 56.141 95.7554
