* Measurement data measured by REW V5.31.3
* Source: Микрофон (2- HiBy FC3), MICROPHONE (Общая громкость), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22.10.2024 19:13:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ Castor
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 54.791 37.9172
20.507813 54.846 37.1232
20.874023 54.883 36.3735
21.240234 54.920 35.5524
21.606445 54.963 34.5708
21.972656 55.016 33.4134
22.338867 55.079 32.1475
22.705078 55.150 30.8947
23.071289 55.225 29.7850
23.437500 55.299 28.9114
23.803711 55.370 28.2962
24.169922 55.438 27.8762
24.536133 55.498 27.5154
24.902344 55.545 27.0502
25.268555 55.576 26.3568
25.634766 55.587 25.4072
26.000977 55.584 24.2819
26.367188 55.584 23.1267
26.733399 55.607 22.0735
27.099610 55.662 21.1708
27.465821 55.751 20.3716
27.832032 55.849 19.5906
28.198243 55.924 18.7789
28.564454 55.950 17.9583
28.930665 55.922 17.1912
29.296876 55.862 16.5166
29.663087 55.804 15.8979
30.029298 55.780 15.2295
30.395509 55.799 14.4108
30.761720 55.850 13.4349
31.127931 55.909 12.4186
31.494142 55.953 11.5445
31.860353 55.974 10.9565
32.226563 55.978 10.6680
32.592774 55.974 10.5363
32.958985 55.968 10.3229
33.325196 55.953 9.8123
33.691407 55.926 8.9155
34.057618 55.881 7.7028
34.423829 55.830 6.3606
34.790040 55.793 5.1060
35.156251 55.785 4.1021
35.522462 55.814 3.4127
35.888673 55.868 3.0106
36.254884 55.932 2.8201
36.621095 55.987 2.7529
36.987306 56.022 2.7214
37.353517 56.036 2.6369
37.719728 56.035 2.4171
38.085939 56.026 2.0084
38.452150 56.014 1.4084
38.818361 56.004 0.6688
39.184572 55.999 -0.1278
39.550783 56.000 -0.9024
39.916994 56.005 -1.6031
40.283205 56.010 -2.2092
40.649416 56.011 -2.7230
41.015627 56.008 -3.1622
41.381838 56.003 -3.5598
41.748049 55.998 -3.9605
42.114260 55.996 -4.4057
42.480471 55.996 -4.9092
42.846682 55.991 -5.4458
43.212893 55.980 -5.9677
43.579103 55.970 -6.4419
43.945314 55.966 -6.8800
44.311525 55.970 -7.3336
44.677736 55.976 -7.8510
45.043947 55.975 -8.4301
45.410158 55.959 -9.0087
45.776369 55.932 -9.5040
46.142580 55.906 -9.8764
46.508791 55.892 -10.1687
46.875002 55.895 -10.4833
47.241213 55.905 -10.9109
47.607424 55.908 -11.4642
47.973635 55.896 -12.0698
48.339846 55.872 -12.6207
48.706057 55.851 -13.0498
49.072268 55.847 -13.3733
49.438479 55.864 -13.6723
49.804690 55.891 -14.0271
50.170901 55.910 -14.4600
50.537112 55.907 -14.9273
50.903323 55.881 -15.3616
51.269534 55.842 -15.7244
51.635745 55.803 -16.0329
52.001956 55.775 -16.3434
52.368167 55.761 -16.7078
52.734378 55.756 -17.1375
53.100589 55.753 -17.6019
53.466800 55.750 -18.0555
53.833011 55.743 -18.4692
54.199222 55.734 -18.8428
54.565432 55.722 -19.1951
54.931643 55.705 -19.5441
55.297854 55.684 -19.8960
55.664065 55.660 -20.2464
56.030276 55.637 -20.5904
56.396487 55.617 -20.9280
56.762698 55.602 -21.2620
57.128909 55.589 -21.5932
57.495120 55.577 -21.9193
57.861331 55.563 -22.2406
58.227542 55.547 -22.5650
58.593753 55.530 -22.9054
58.959964 55.510 -23.2689
59.326175 55.486 -23.6481
59.692386 55.461 -24.0211
60.058597 55.432 -24.3659
60.424808 55.413 -24.6766
60.791019 55.400 -24.9700
61.157230 55.392 -25.2748
61.523441 55.383 -25.6098
61.889652 55.369 -25.9685
62.255863 55.346 -26.3220
62.622074 55.319 -26.6400
62.988285 55.293 -26.9134
63.354496 55.275 -27.1640
63.720707 55.265 -27.4310
64.086918 55.260 -27.7446
64.453129 55.252 -28.1045
64.819340 55.237 -28.4801
65.185551 55.215 -28.8305
65.551762 55.192 -29.1307
65.917972 55.172 -29.3869
66.284183 55.159 -29.6303
66.650394 55.153 -29.8943
67.016605 55.147 -30.1920
67.382816 55.137 -30.5079
67.749027 55.119 -30.8098
68.115238 55.096 -31.0708
68.481449 55.074 -31.2879
68.847660 55.054 -31.4845
69.213871 55.039 -31.6960
69.580082 55.026 -31.9479
69.946293 55.009 -32.2405
70.312504 54.986 -32.5508
70.678715 54.960 -32.8491
71.044926 54.933 -33.1191
71.411137 54.911 -33.3691
71.777348 54.895 -33.6250
72.143559 54.884 -33.9096
72.509770 54.873 -34.2232
72.875981 54.857 -34.5389
73.242192 54.836 -34.8178
73.608403 54.813 -35.0332
73.974614 54.792 -35.1901
74.340825 54.777 -35.3242
74.707036 54.764 -35.4828
75.073247 54.751 -35.6985
75.439458 54.734 -35.9745
75.805669 54.709 -36.2878
76.171880 54.681 -36.6051
76.538091 54.654 -36.9002
76.904301 54.632 -37.1628
77.270512 54.616 -37.3963
77.636723 54.606 -37.6108
78.002934 54.597 -37.8156
78.369145 54.587 -38.0165
78.735356 54.571 -38.2165
79.101567 54.549 -38.4166
79.467778 54.524 -38.6181
79.833989 54.498 -38.8239
80.200200 54.476 -39.0392
80.566411 54.461 -39.2705
80.932622 54.452 -39.5216
81.298833 54.448 -39.7897
81.665044 54.445 -40.0645
82.031255 54.438 -40.3315
82.397466 54.426 -40.5775
82.763677 54.407 -40.7972
83.129888 54.384 -40.9947
83.496099 54.358 -41.1833
83.862310 54.334 -41.3792
84.228521 54.311 -41.5946
84.594732 54.291 -41.8301
84.960943 54.272 -42.0728
85.327154 54.254 -42.3014
85.693365 54.237 -42.5001
86.059576 54.222 -42.6698
86.425787 54.209 -42.8290
86.791998 54.195 -43.0012
87.158209 54.180 -43.1978
87.524420 54.162 -43.4120
87.890631 54.144 -43.6303
88.256841 54.130 -43.8504
88.623052 54.123 -44.0867
88.989263 54.117 -44.3531
89.355474 54.106 -44.6371
89.721685 54.083 -44.8941
90.087896 54.049 -45.0746
90.454107 54.014 -45.1689
90.820318 53.987 -45.2303
91.186529 53.970 -45.3475
91.552740 53.959 -45.5795
91.918951 53.944 -45.9063
92.285162 53.921 -46.2400
92.651373 53.895 -46.4887
93.017584 53.876 -46.6224
93.383795 53.869 -46.6875
93.750006 53.868 -46.7584
94.116217 53.863 -46.8754
94.482428 53.845 -47.0264
94.848639 53.818 -47.1839
95.214850 53.793 -47.3496
95.581061 53.777 -47.5537
95.947272 53.769 -47.8048
96.313483 53.763 -48.0488
96.679694 53.759 -48.1956
97.045905 53.763 -48.2093
97.412116 53.779 -48.1786
97.778327 53.796 -48.2816
98.144538 53.784 -48.6460
98.510749 53.708 -49.2197
98.876960 53.561 -49.7633
99.243170 53.374 -49.9838
99.609381 53.217 -49.7482
99.975592 53.157 -49.2365
100.341803 53.214 -48.8553
100.708014 53.345 -48.9287
101.074225 53.476 -49.4628
101.440436 53.551 -50.1839
101.806647 53.559 -50.7547
102.172858 53.527 -50.9877
102.539069 53.493 -50.9412
102.905280 53.480 -50.8432
103.271491 53.482 -50.9001
103.637702 53.480 -51.1516
104.003913 53.462 -51.4818
104.370124 53.433 -51.7430
104.736335 53.408 -51.8749
105.102546 53.395 -51.9316
105.468757 53.389 -52.0114
105.834968 53.376 -52.1666
106.201179 53.347 -52.3732
106.567390 53.304 -52.5720
106.933601 53.261 -52.7298
107.299812 53.232 -52.8659
107.666023 53.219 -53.0255
108.032234 53.216 -53.2322
108.398445 53.214 -53.4665
108.764656 53.205 -53.6851
109.130867 53.190 -53.8588
109.497078 53.172 -53.9922
109.863289 53.154 -54.1116
110.229500 53.138 -54.2351
110.595710 53.124 -54.3537
110.961921 53.112 -54.4404
111.328132 53.107 -54.4805
111.694343 53.105 -54.4948
112.060554 53.104 -54.5353
112.426765 53.093 -54.6515
112.792976 53.061 -54.8543
113.159187 53.006 -55.1031
113.525398 52.937 -55.3298
113.891609 52.877 -55.4878
114.257820 52.848 -55.5919
114.624031 52.859 -55.7149
114.990242 52.902 -55.9310
115.356453 52.952 -56.2478
115.722664 52.982 -56.5798
116.088875 52.978 -56.7905
116.455086 52.948 -56.7763
116.821297 52.912 -56.5464
117.187508 52.892 -56.2399
117.553719 52.893 -56.0540
117.919930 52.905 -56.1213
118.286141 52.907 -56.4290
118.652352 52.888 -56.8372
119.018563 52.853 -57.1766
119.384774 52.819 -57.3580
119.750985 52.802 -57.4244
120.117196 52.803 -57.5065
120.483407 52.807 -57.7128
120.849618 52.793 -58.0436
121.215829 52.751 -58.3905
121.582040 52.690 -58.6157
121.948250 52.632 -58.6521
122.314461 52.601 -58.5541
122.680672 52.603 -58.4596
123.046883 52.625 -58.4886
123.413094 52.645 -58.6659
123.779305 52.646 -58.9238
124.145516 52.625 -59.1696
124.511727 52.593 -59.3544
124.877938 52.559 -59.4955
125.244149 52.531 -59.6402
125.610360 52.506 -59.8118
125.976571 52.483 -59.9853
126.342782 52.464 -60.1120
126.708993 52.452 -60.1644
127.075204 52.452 -60.1580
127.441415 52.458 -60.1332
127.807626 52.461 -60.1194
128.173837 52.455 -60.1205
128.540048 52.436 -60.1329
128.906259 52.409 -60.1762
129.272470 52.379 -60.3001
129.638681 52.347 -60.5554
130.004892 52.312 -60.9509
130.371103 52.273 -61.4312
130.737314 52.232 -61.8941
131.103525 52.198 -62.2355
131.469736 52.180 -62.3917
131.835947 52.185 -62.3607
132.202158 52.212 -62.1956
132.568369 52.255 -61.9820
132.934579 52.301 -61.8110
133.300790 52.335 -61.7497
133.667001 52.344 -61.8189
134.033212 52.322 -61.9846
134.399423 52.275 -62.1769
134.765634 52.218 -62.3323
135.131845 52.170 -62.4352
135.498056 52.144 -62.5251
135.864267 52.137 -62.6573
136.230478 52.139 -62.8453
136.596689 52.135 -63.0378
136.962900 52.121 -63.1548
137.329111 52.103 -63.1553
137.695322 52.092 -63.0842
138.061533 52.094 -63.0520
138.427744 52.100 -63.1575
138.793955 52.096 -63.4130
139.160166 52.072 -63.7339
139.526377 52.031 -63.9962
139.892588 51.988 -64.1210
140.258799 51.961 -64.1252
140.625010 51.953 -64.1022
140.991221 51.959 -64.1480
141.357432 51.961 -64.2911
141.723643 51.947 -64.4797
142.089854 51.917 -64.6253
142.456065 51.881 -64.6672
142.822276 51.854 -64.6121
143.188487 51.845 -64.5266
143.554698 51.852 -64.4885
143.920909 51.862 -64.5355
144.287119 51.865 -64.6469
144.653330 51.854 -64.7641
145.019541 51.830 -64.8327
145.385752 51.804 -64.8375
145.751963 51.783 -64.8114
146.118174 51.773 -64.8141
146.484385 51.772 -64.8947
146.850596 51.775 -65.0630
147.216807 51.776 -65.2843
147.583018 51.773 -65.4987
147.949229 51.765 -65.6505
148.315440 51.757 -65.7104
148.681651 51.750 -65.6827
149.047862 51.744 -65.5956
149.414073 51.739 -65.4857
149.780284 51.732 -65.3859
150.146495 51.724 -65.3220
150.512706 51.715 -65.3143
150.878917 51.706 -65.3773
151.245128 51.697 -65.5128
151.611339 51.685 -65.7017
151.977550 51.668 -65.9015
152.343761 51.646 -66.0575
152.709972 51.625 -66.1277
153.076183 51.612 -66.1087
153.442394 51.613 -66.0454
153.808605 51.627 -66.0122
154.174816 51.647 -66.0712
154.541027 51.663 -66.2338
154.907238 51.664 -66.4523
155.273448 51.649 -66.6467
155.639659 51.627 -66.7506
156.005870 51.608 -66.7493
156.372081 51.602 -66.6846
156.738292 51.608 -66.6239
157.104503 51.621 -66.6174
157.470714 51.630 -66.6731
157.836925 51.631 -66.7652
158.203136 51.623 -66.8627
158.569347 51.612 -66.9533
158.935558 51.602 -67.0487
159.301769 51.597 -67.1697
159.667980 51.595 -67.3286
160.034191 51.597 -67.5199
160.400402 51.599 -67.7243
160.766613 51.601 -67.9176
161.132824 51.601 -68.0772
161.499035 51.597 -68.1865
161.865246 51.590 -68.2392
162.231457 51.580 -68.2458
162.597668 51.569 -68.2359
162.963879 51.559 -68.2490
163.330090 51.548 -68.3154
163.696301 51.537 -68.4394
164.062512 51.526 -68.5965
