* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -42,1 dBFS, measurement signal peak level -10,4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 08.05.2023 13:17:28
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0201 ms (-6,9 mm, -0,27 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: 1111
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 115.820 -113.7291
20.333664 115.838 -113.9342
20.481010 115.863 -114.2369
20.629424 115.895 -114.6099
20.778913 115.930 -115.0306
20.929486 115.967 -115.4835
21.081150 116.005 -115.9591
21.233912 116.043 -116.4522
21.387782 116.080 -116.9596
21.542767 116.115 -117.4789
21.698874 116.149 -118.0075
21.856113 116.181 -118.5420
22.014492 116.211 -119.0788
22.174018 116.240 -119.6134
22.334700 116.268 -120.1417
22.496546 116.296 -120.6599
22.659566 116.324 -121.1651
22.823766 116.353 -121.6558
22.989157 116.385 -122.1322
23.155745 116.418 -122.5960
23.323542 116.454 -123.0506
23.492554 116.492 -123.5003
23.662790 116.532 -123.9500
23.834261 116.573 -124.4042
24.006973 116.613 -124.8669
24.180938 116.652 -125.3404
24.356163 116.688 -125.8256
24.532658 116.720 -126.3214
24.710431 116.747 -126.8255
24.889493 116.769 -127.3344
25.069853 116.786 -127.8445
25.251519 116.799 -128.3528
25.434502 116.810 -128.8573
25.618811 116.820 -129.3580
25.804456 116.831 -129.8567
25.991445 116.845 -130.3572
26.179790 116.863 -130.8644
26.369500 116.887 -131.3835
26.560584 116.915 -131.9187
26.753053 116.949 -132.4724
26.946917 116.988 -133.0439
27.142185 117.029 -133.6294
27.338869 117.071 -134.2222
27.536977 117.112 -134.8131
27.736522 117.152 -135.3922
27.937512 117.188 -135.9498
28.139959 117.221 -136.4783
28.343872 117.249 -136.9729
28.549264 117.274 -137.4325
28.756143 117.293 -137.8600
28.964522 117.309 -138.2612
29.174411 117.322 -138.6445
29.385821 117.331 -139.0187
29.598763 117.337 -139.3927
29.813248 117.341 -139.7732
30.029287 117.343 -140.1648
30.246891 117.344 -140.5694
30.466073 117.345 -140.9864
30.686842 117.346 -141.4133
30.909212 117.348 -141.8467
31.133193 117.353 -142.2827
31.358797 117.360 -142.7179
31.586035 117.370 -143.1497
31.814921 117.383 -143.5766
32.045465 117.398 -143.9982
32.277680 117.414 -144.4151
32.511577 117.431 -144.8288
32.747169 117.447 -145.2415
32.984469 117.461 -145.6557
33.223488 117.474 -146.0740
33.464239 117.485 -146.4986
33.706735 117.494 -146.9309
33.950987 117.501 -147.3714
34.197010 117.507 -147.8196
34.444816 117.513 -148.2741
34.694417 117.519 -148.7326
34.945827 117.526 -149.1928
35.199059 117.533 -149.6523
35.454126 117.542 -150.1090
35.711041 117.551 -150.5614
35.969818 117.560 -151.0082
36.230470 117.568 -151.4489
36.493011 117.574 -151.8831
36.757455 117.579 -152.3110
37.023814 117.581 -152.7334
37.292104 117.581 -153.1512
37.562338 117.580 -153.5655
37.834530 117.577 -153.9772
38.108695 117.573 -154.3868
38.384846 117.568 -154.7940
38.662999 117.565 -155.1979
38.943167 117.562 -155.5969
39.225365 117.561 -155.9895
39.509608 117.562 -156.3741
39.795911 117.564 -156.7498
40.084289 117.568 -157.1160
40.374756 117.571 -157.4731
40.667328 117.575 -157.8222
40.962020 117.576 -158.1658
41.258848 117.576 -158.5073
41.557827 117.573 -158.8510
41.858972 117.566 -159.2013
42.162299 117.556 -159.5618
42.467824 117.543 -159.9343
42.775564 117.528 -160.3182
43.085533 117.511 -160.7103
43.397749 117.494 -161.1060
43.712227 117.478 -161.5002
44.028983 117.465 -161.8891
44.348036 117.456 -162.2713
44.669400 117.451 -162.6486
44.993093 117.449 -163.0253
45.319131 117.449 -163.4071
45.647532 117.450 -163.7993
45.978313 117.450 -164.2038
46.311491 117.448 -164.6188
46.647083 117.444 -165.0378
46.985107 117.438 -165.4521
47.325581 117.434 -165.8539
47.668521 117.432 -166.2387
48.013947 117.434 -166.6066
48.361876 117.439 -166.9603
48.712326 117.445 -167.3024
49.065315 117.450 -167.6321
49.420863 117.450 -167.9456
49.778987 117.444 -168.2387
50.139706 117.432 -168.5114
50.503039 117.416 -168.7712
50.869005 117.399 -169.0318
51.237623 117.381 -169.3085
51.608912 117.364 -169.6120
51.982891 117.347 -169.9432
52.359580 117.330 -170.2941
52.739000 117.313 -170.6514
53.121168 117.296 -171.0029
53.506106 117.277 -171.3411
53.893833 117.258 -171.6638
54.284370 117.236 -171.9711
54.677737 117.211 -172.2630
55.073955 117.185 -172.5386
55.473043 117.157 -172.7986
55.875024 117.132 -173.0486
56.279917 117.113 -173.3001
56.687745 117.099 -173.5667
57.098527 117.092 -173.8574
57.512287 117.088 -174.1708
57.929045 117.085 -174.4946
58.348822 117.080 -174.8124
58.771642 117.074 -175.1129
59.197525 117.065 -175.3955
59.626495 117.054 -175.6697
60.058573 117.041 -175.9484
60.493782 117.026 -176.2397
60.932145 117.009 -176.5444
61.373685 116.992 -176.8571
61.818424 116.976 -177.1713
62.266386 116.961 -177.4816
62.717593 116.947 -177.7844
63.172071 116.932 -178.0755
63.629842 116.914 -178.3511
64.090930 116.894 -178.6098
64.555359 116.871 -178.8552
65.023154 116.847 -179.0952
65.494339 116.824 -179.3389
65.968938 116.800 -179.5919
66.446976 116.777 -179.8533
66.928478 116.754 179.8817
67.413469 116.729 179.6179
67.901975 116.705 179.3580
68.394021 116.679 179.1024
68.889632 116.653 178.8510
69.388835 116.627 178.6049
69.891655 116.602 178.3644
70.398118 116.578 178.1292
70.908252 116.555 177.8972
71.422083 116.532 177.6665
71.939636 116.510 177.4354
72.460941 116.487 177.2029
72.986023 116.464 176.9695
73.514909 116.440 176.7369
74.047629 116.415 176.5074
74.584208 116.390 176.2831
75.124676 116.364 176.0643
75.669061 116.338 175.8499
76.217390 116.312 175.6379
76.769692 116.285 175.4268
77.325997 116.258 175.2161
77.886333 116.231 175.0059
78.450730 116.203 174.7969
79.019216 116.175 174.5906
79.591822 116.146 174.3884
80.168577 116.118 174.1920
80.749512 116.090 174.0022
81.334656 116.064 173.8182
81.924040 116.037 173.6381
82.517696 116.011 173.4601
83.115653 115.984 173.2833
83.717943 115.957 173.1077
84.324598 115.930 172.9327
84.935649 115.902 172.7582
85.551128 115.875 172.5847
86.171066 115.848 172.4135
86.795497 115.822 172.2455
87.424453 115.795 172.0801
88.057967 115.768 171.9158
88.696071 115.740 171.7516
89.338800 115.711 171.5882
89.986185 115.682 171.4267
90.638262 115.652 171.2680
91.295065 115.622 171.1132
91.956626 115.592 170.9628
92.622982 115.561 170.8176
93.294166 115.531 170.6773
93.970214 115.501 170.5411
94.651161 115.470 170.4077
95.337042 115.440 170.2764
96.027894 115.409 170.1468
96.723752 115.378 170.0186
97.424652 115.348 169.8921
98.130631 115.318 169.7678
98.841726 115.287 169.6468
99.557974 115.257 169.5310
100.279412 115.226 169.4227
101.006078 115.195 169.3226
101.738010 115.164 169.2294
102.475245 115.134 169.1414
103.217823 115.105 169.0576
103.965782 115.076 168.9781
104.719161 115.047 168.9027
105.477999 115.018 168.8304
106.242336 114.991 168.7588
107.012212 114.963 168.6850
107.787666 114.937 168.6080
108.568740 114.911 168.5291
109.355474 114.885 168.4509
110.147909 114.859 168.3751
110.946086 114.833 168.3010
111.750047 114.807 168.2260
112.559834 114.780 168.1476
113.375489 114.752 168.0687
114.197055 114.722 167.9964
115.024574 114.692 167.9356
115.858089 114.663 167.8849
116.697645 114.635 167.8384
117.543284 114.609 167.7905
118.395051 114.585 167.7375
119.252990 114.561 167.6804
120.117147 114.537 167.6221
120.987565 114.513 167.5649
121.864291 114.488 167.5082
122.747370 114.464 167.4495
123.636848 114.439 167.3862
124.532771 114.414 167.3179
125.435187 114.389 167.2458
126.344142 114.364 167.1720
127.259684 114.338 167.0988
128.181860 114.313 167.0272
129.110718 114.287 166.9558
130.046308 114.262 166.8842
130.988677 114.237 166.8142
131.937875 114.212 166.7502
132.893951 114.186 166.6954
133.856956 114.158 166.6494
134.826938 114.130 166.6082
135.803950 114.100 166.5680
136.788041 114.071 166.5269
137.779264 114.040 166.4845
138.777669 114.010 166.4413
139.783309 113.980 166.3982
140.796237 113.950 166.3564
141.816504 113.920 166.3168
142.844165 113.890 166.2794
143.879273 113.861 166.2443
144.921881 113.832 166.2117
145.972045 113.802 166.1819
147.029819 113.773 166.1548
148.095257 113.743 166.1306
149.168417 113.713 166.1096
150.249353 113.683 166.0924
151.338121 113.653 166.0794
152.434780 113.623 166.0706
153.539385 113.593 166.0654
154.651995 113.563 166.0634
155.772667 113.533 166.0640
156.901460 113.503 166.0670
158.038432 113.473 166.0727
159.183644 113.443 166.0815
160.337154 113.413 166.0936
161.499023 113.384 166.1095
162.669312 113.354 166.1293
163.848081 113.324 166.1536
165.035392 113.295 166.1824
166.231306 113.266 166.2155
167.435887 113.237 166.2523
168.649196 113.209 166.2924
169.871298 113.181 166.3358
171.102255 113.153 166.3821
172.342133 113.126 166.4313
173.590995 113.099 166.4835
174.848907 113.072 166.5385
176.115934 113.046 166.5957
177.392143 113.021 166.6542
178.677599 112.996 166.7127
179.972371 112.971 166.7711
181.276525 112.948 166.8295
182.590129 112.925 166.8881
183.913252 112.903 166.9467
185.245964 112.881 167.0049
186.588332 112.860 167.0630
187.940428 112.839 167.1211
189.302322 112.819 167.1791
190.674085 112.799 167.2369
192.055788 112.778 167.2941
193.447503 112.758 167.3504
194.849303 112.738 167.4055
196.261262 112.718 167.4593
197.683452 112.698 167.5116
199.115948 112.678 167.5621
200.558824 112.658 167.6108
202.012156 112.637 167.6581
203.476019 112.617 167.7049
204.950490 112.597 167.7515
206.435646 112.577 167.7980
207.931564 112.556 167.8444
209.438322 112.535 167.8909
210.955998 112.514 167.9381
212.484672 112.493 167.9869
214.024424 112.472 168.0375
215.575333 112.450 168.0901
217.137481 112.428 168.1448
218.710948 112.406 168.2016
220.295818 112.384 168.2606
221.892172 112.362 168.3217
223.500094 112.340 168.3846
225.119668 112.318 168.4494
226.750978 112.296 168.5160
228.394109 112.274 168.5845
230.049147 112.252 168.6555
231.716178 112.230 168.7289
233.395289 112.208 168.8049
235.086567 112.187 168.8830
236.790102 112.166 168.9628
238.505980 112.144 169.0443
240.234293 112.123 169.1274
241.975130 112.102 169.2124
243.728581 112.081 169.2993
245.494739 112.060 169.3881
247.273695 112.039 169.4783
249.065542 112.018 169.5693
250.870374 111.998 169.6608
252.688284 111.978 169.7527
254.519367 111.958 169.8458
256.363720 111.939 169.9407
258.221437 111.919 170.0378
260.092616 111.900 170.1369
261.977354 111.881 170.2378
263.875750 111.863 170.3400
265.787903 111.844 170.4431
267.713911 111.825 170.5469
269.653877 111.806 170.6517
271.607900 111.788 170.7575
273.576083 111.770 170.8643
275.558528 111.752 170.9721
277.555338 111.734 171.0807
279.566619 111.716 171.1906
281.592474 111.699 171.3019
283.633009 111.681 171.4149
285.688331 111.664 171.5296
287.758546 111.647 171.6456
289.843763 111.630 171.7624
291.944090 111.614 171.8795
294.059638 111.597 171.9968
296.190515 111.581 172.1143
298.336833 111.564 172.2322
300.498705 111.548 172.3507
302.676243 111.532 172.4701
304.869559 111.516 172.5906
307.078770 111.501 172.7122
309.303989 111.486 172.8353
311.545334 111.471 172.9598
313.802919 111.456 173.0858
316.076865 111.441 173.2131
318.367288 111.427 173.3411
320.674309 111.412 173.4694
322.998047 111.398 173.5979
325.338624 111.383 173.7270
327.696162 111.369 173.8570
330.070783 111.355 173.9881
332.462612 111.341 174.1202
334.871773 111.327 174.2530
337.298392 111.313 174.3866
339.742595 111.300 174.5212
342.204510 111.286 174.6571
344.684265 111.273 174.7941
347.181989 111.259 174.9319
349.697813 111.246 175.0701
352.231868 111.233 175.2090
354.784285 111.221 175.3489
357.355198 111.209 175.4904
359.944741 111.196 175.6330
362.553049 111.184 175.7765
365.180258 111.172 175.9204
