* Measurement data measured by REW V5.31.3
* Source: Микрофон (2- HiBy FC3), MICROPHONE (Общая громкость), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22.10.2024 19:15:36
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ EDC Pro
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 84.793 -112.4823
20.507813 84.907 -113.7116
20.874023 85.016 -115.0134
21.240234 85.115 -116.3716
21.606445 85.198 -117.7004
21.972656 85.271 -118.9189
22.338867 85.347 -120.0226
22.705078 85.430 -121.0879
23.071289 85.512 -122.2011
23.437500 85.581 -123.3729
23.803711 85.628 -124.5183
24.169922 85.666 -125.5221
24.536133 85.714 -126.3430
24.902344 85.792 -127.0714
25.268555 85.900 -127.8803
25.634766 86.017 -128.8981
26.000977 86.111 -130.1109
26.367188 86.164 -131.3730
26.733399 86.179 -132.5060
27.099610 86.178 -133.4168
27.465821 86.190 -134.1570
27.832032 86.230 -134.8779
28.198243 86.286 -135.7127
28.564454 86.340 -136.6809
28.930665 86.376 -137.6885
29.296876 86.394 -138.6095
29.663087 86.408 -139.3793
30.029298 86.433 -140.0347
30.395509 86.472 -140.6765
30.761720 86.517 -141.3888
31.127931 86.556 -142.1825
31.494142 86.580 -143.0016
31.860353 86.593 -143.7771
32.226563 86.604 -144.4801
32.592774 86.621 -145.1389
32.958985 86.645 -145.8093
33.325196 86.672 -146.5283
33.691407 86.696 -147.2870
34.057618 86.706 -148.0404
34.423829 86.708 -148.7406
34.790040 86.708 -149.3679
35.156251 86.714 -149.9401
35.522462 86.726 -150.4971
35.888673 86.744 -151.0752
36.254884 86.761 -151.6877
36.621095 86.774 -152.3231
36.987306 86.780 -152.9561
37.353517 86.781 -153.5623
37.719728 86.780 -154.1291
38.085939 86.779 -154.6597
38.452150 86.783 -155.1706
38.818361 86.790 -155.6849
39.184572 86.799 -156.2227
39.550783 86.808 -156.7924
39.916994 86.814 -157.3862
40.283205 86.815 -157.9826
40.649416 86.811 -158.5559
41.015627 86.806 -159.0889
41.381838 86.801 -159.5806
41.748049 86.800 -160.0455
42.114260 86.801 -160.5044
42.480471 86.806 -160.9726
42.846682 86.807 -161.4536
43.212893 86.806 -161.9405
43.579103 86.802 -162.4232
43.945314 86.797 -162.8948
44.311525 86.793 -163.3532
44.677736 86.789 -163.7983
45.043947 86.785 -164.2299
45.410158 86.781 -164.6490
45.776369 86.778 -165.0624
46.142580 86.774 -165.4846
46.508791 86.771 -165.9326
46.875002 86.767 -166.4154
47.241213 86.760 -166.9244
47.607424 86.750 -167.4341
47.973635 86.741 -167.9134
48.339846 86.735 -168.3419
48.706057 86.734 -168.7211
49.072268 86.738 -169.0707
49.438479 86.744 -169.4142
49.804690 86.746 -169.7637
50.170901 86.740 -170.1146
50.537112 86.725 -170.4548
50.903323 86.707 -170.7782
51.269534 86.688 -171.0927
51.635745 86.672 -171.4152
52.001956 86.660 -171.7579
52.368167 86.649 -172.1175
52.734378 86.638 -172.4767
53.100589 86.627 -172.8174
53.466800 86.617 -173.1352
53.833011 86.608 -173.4437
54.199222 86.600 -173.7648
54.565432 86.592 -174.1123
54.931643 86.580 -174.4819
55.297854 86.563 -174.8534
55.664065 86.544 -175.2048
56.030276 86.525 -175.5257
56.396487 86.509 -175.8219
56.762698 86.496 -176.1091
57.128909 86.484 -176.4001
57.495120 86.472 -176.6980
57.861331 86.457 -176.9970
58.227542 86.442 -177.2897
58.593753 86.426 -177.5740
58.959964 86.412 -177.8547
59.326175 86.400 -178.1382
59.692386 86.389 -178.4273
60.058597 86.372 -178.7185
60.424808 86.357 -179.0045
60.791019 86.341 -179.2796
61.157230 86.323 -179.5429
61.523441 86.304 -179.7988
61.889652 86.285 179.9467
62.255863 86.268 179.6890
62.622074 86.251 179.4276
62.988285 86.236 179.1644
63.354496 86.221 178.9022
63.720707 86.208 178.6432
64.086918 86.195 178.3883
64.453129 86.181 178.1388
64.819340 86.165 177.8965
65.185551 86.147 177.6630
65.551762 86.128 177.4381
65.917972 86.108 177.2180
66.284183 86.089 176.9960
66.650394 86.071 176.7659
67.016605 86.055 176.5253
67.382816 86.038 176.2777
67.749027 86.021 176.0320
68.115238 86.004 175.7980
68.481449 85.986 175.5832
68.847660 85.969 175.3886
69.213871 85.952 175.2090
69.580082 85.935 175.0342
69.946293 85.919 174.8521
70.312504 85.902 174.6527
70.678715 85.884 174.4323
71.044926 85.864 174.1963
71.411137 85.842 173.9576
71.777348 85.819 173.7318
72.143559 85.798 173.5279
72.509770 85.781 173.3440
72.875981 85.767 173.1677
73.242192 85.757 172.9847
73.608403 85.746 172.7889
73.974614 85.732 172.5864
74.340825 85.715 172.3906
74.707036 85.695 172.2117
75.073247 85.675 172.0485
75.439458 85.657 171.8892
75.805669 85.642 171.7205
76.171880 85.627 171.5375
76.538091 85.611 171.3462
76.904301 85.593 171.1573
77.270512 85.573 170.9775
77.636723 85.554 170.8057
78.002934 85.535 170.6375
78.369145 85.515 170.4716
78.735356 85.495 170.3121
79.101567 85.476 170.1627
79.467778 85.459 170.0186
79.833989 85.446 169.8667
80.200200 85.434 169.6945
80.566411 85.419 169.5033
80.932622 85.398 169.3116
81.298833 85.373 169.1455
81.665044 85.346 169.0201
82.031255 85.323 168.9266
82.397466 85.307 168.8354
82.763677 85.295 168.7161
83.129888 85.286 168.5570
83.496099 85.273 168.3725
83.862310 85.256 168.1914
84.228521 85.236 168.0367
84.594732 85.218 167.9114
84.960943 85.201 167.7986
85.327154 85.187 167.6757
85.693365 85.172 167.5291
86.059576 85.155 167.3619
86.425787 85.135 167.1888
86.791998 85.112 167.0258
87.158209 85.091 166.8812
87.524420 85.071 166.7534
87.890631 85.055 166.6342
88.256841 85.040 166.5148
88.623052 85.025 166.3909
88.989263 85.007 166.2635
89.355474 84.988 166.1385
89.721685 84.966 166.0223
90.087896 84.944 165.9192
90.454107 84.924 165.8274
90.820318 84.908 165.7392
91.186529 84.895 165.6442
91.552740 84.885 165.5345
91.918951 84.875 165.4083
92.285162 84.861 165.2715
92.651373 84.844 165.1337
93.017584 84.824 165.0023
93.383795 84.802 164.8794
93.750006 84.782 164.7610
94.116217 84.763 164.6425
94.482428 84.746 164.5231
94.848639 84.731 164.4082
95.214850 84.717 164.3050
95.581061 84.702 164.2157
95.947272 84.688 164.1339
96.313483 84.672 164.0474
96.679694 84.654 163.9468
97.045905 84.632 163.8319
97.412116 84.609 163.7117
97.778327 84.587 163.5948
98.144538 84.571 163.4809
98.510749 84.560 163.3596
98.876960 84.554 163.2214
99.243170 84.548 163.0706
99.609381 84.535 162.9292
99.975592 84.515 162.8248
100.341803 84.490 162.7713
100.708014 84.465 162.7559
101.074225 84.443 162.7450
101.440436 84.425 162.7053
101.806647 84.407 162.6246
102.172858 84.389 162.5161
102.539069 84.370 162.4050
102.905280 84.353 162.3082
103.271491 84.338 162.2249
103.637702 84.324 162.1434
104.003913 84.309 162.0566
104.370124 84.290 161.9696
104.736335 84.267 161.8947
105.102546 84.244 161.8378
105.468757 84.224 161.7900
105.834968 84.209 161.7328
106.201179 84.198 161.6512
106.567390 84.188 161.5456
106.933601 84.176 161.4303
107.299812 84.162 161.3236
107.666023 84.145 161.2364
108.032234 84.127 161.1675
108.398445 84.109 161.1084
108.764656 84.091 161.0489
109.130867 84.075 160.9818
109.497078 84.060 160.9035
109.863289 84.046 160.8142
110.229500 84.031 160.7186
110.595710 84.015 160.6261
110.961921 83.997 160.5474
111.328132 83.979 160.4881
111.694343 83.961 160.4438
112.060554 83.946 160.4008
112.426765 83.931 160.3448
112.792976 83.916 160.2704
113.159187 83.900 160.1848
113.525398 83.882 160.1029
113.891609 83.865 160.0371
114.257820 83.849 159.9877
114.624031 83.837 159.9426
114.990242 83.828 159.8859
115.356453 83.818 159.8087
115.722664 83.805 159.7169
116.088875 83.788 159.6292
116.455086 83.768 159.5664
116.821297 83.748 159.5389
117.187508 83.731 159.5385
117.553719 83.720 159.5405
117.919930 83.712 159.5182
118.286141 83.705 159.4579
118.652352 83.693 159.3666
119.018563 83.676 159.2671
119.384774 83.654 159.1817
119.750985 83.633 159.1188
120.117196 83.614 159.0699
120.483407 83.598 159.0199
120.849618 83.583 158.9612
121.215829 83.568 158.8994
121.582040 83.552 158.8467
121.948250 83.536 158.8090
122.314461 83.523 158.7783
122.680672 83.511 158.7392
123.046883 83.499 158.6815
123.413094 83.485 158.6083
123.779305 83.470 158.5328
124.145516 83.453 158.4659
124.511727 83.437 158.4088
124.877938 83.422 158.3555
125.244149 83.407 158.3037
125.610360 83.391 158.2602
125.976571 83.374 158.2343
126.342782 83.359 158.2249
126.708993 83.348 158.2131
127.075204 83.338 158.1732
127.441415 83.327 158.0930
127.807626 83.311 157.9877
128.173837 83.288 157.8924
128.540048 83.262 157.8376
128.906259 83.241 157.8249
129.272470 83.227 157.8249
129.638681 83.221 157.7998
130.004892 83.215 157.7336
130.371103 83.205 157.6446
130.737314 83.188 157.5709
131.103525 83.168 157.5406
131.469736 83.151 157.5503
131.835947 83.139 157.5682
132.202158 83.132 157.5579
132.568369 83.125 157.5051
132.934579 83.113 157.4246
133.300790 83.097 157.3472
133.667001 83.077 157.2973
134.033212 83.059 157.2789
134.399423 83.043 157.2770
134.765634 83.031 157.2711
135.131845 83.019 157.2482
135.498056 83.006 157.2081
135.864267 82.990 157.1599
136.230478 82.973 157.1151
136.596689 82.955 157.0814
136.962900 82.940 157.0593
137.329111 82.927 157.0424
137.695322 82.917 157.0206
138.061533 82.907 156.9859
138.427744 82.895 156.9390
138.793955 82.878 156.8906
139.160166 82.859 156.8554
139.526377 82.839 156.8405
139.892588 82.823 156.8367
140.258799 82.814 156.8214
140.625010 82.809 156.7724
140.991221 82.805 156.6856
141.357432 82.797 156.5815
141.723643 82.783 156.4954
142.089854 82.764 156.4557
142.456065 82.744 156.4669
142.822276 82.728 156.5063
143.188487 82.715 156.5399
143.554698 82.704 156.5439
143.920909 82.691 156.5173
144.287119 82.676 156.4770
144.653330 82.659 156.4416
145.019541 82.645 156.4165
145.385752 82.632 156.3925
145.751963 82.621 156.3573
146.118174 82.609 156.3098
146.484385 82.593 156.2629
146.850596 82.575 156.2346
147.216807 82.559 156.2318
147.583018 82.547 156.2427
147.949229 82.541 156.2439
148.315440 82.539 156.2170
148.681651 82.536 156.1629
149.047862 82.528 156.1016
149.414073 82.514 156.0583
149.780284 82.497 156.0466
150.146495 82.479 156.0606
150.512706 82.462 156.0804
150.878917 82.447 156.0867
151.245128 82.432 156.0718
151.611339 82.416 156.0412
151.977550 82.401 156.0062
152.343761 82.388 155.9751
152.709972 82.376 155.9494
153.076183 82.365 155.9267
153.442394 82.354 155.9051
153.808605 82.343 155.8848
154.174816 82.330 155.8665
154.541027 82.316 155.8492
154.907238 82.301 155.8305
155.273448 82.287 155.8093
155.639659 82.272 155.7877
156.005870 82.259 155.7693
156.372081 82.246 155.7567
156.738292 82.234 155.7480
157.104503 82.223 155.7385
157.470714 82.212 155.7241
157.836925 82.200 155.7051
158.203136 82.185 155.6859
158.569347 82.170 155.6714
158.935558 82.155 155.6633
159.301769 82.141 155.6587
159.667980 82.130 155.6519
160.034191 82.119 155.6382
160.400402 82.109 155.6169
160.766613 82.098 155.5912
161.132824 82.087 155.5668
161.499035 82.073 155.5493
161.865246 82.060 155.5420
162.231457 82.046 155.5449
162.597668 82.033 155.5535
162.963879 82.021 155.5599
163.330090 82.010 155.5560
163.696301 81.999 155.5375
164.062512 81.986 155.5072
164.428723 81.972 155.4741
164.794934 81.957 155.4482
165.161145 81.943 155.4348
165.527356 81.930 155.4316
165.893567 81.920 155.4311
166.259778 81.911 155.4265
166.625988 81.902 155.4169
166.992199 81.890 155.4074
167.358410 81.878 155.4040
167.724621 81.864 155.4073
168.090832 81.851 155.4120
168.457043 81.838 155.4105
168.823254 81.826 155.3996
169.189465 81.812 155.3840
169.555676 81.798 155.3724
169.921887 81.785 155.3706
170.288098 81.772 155.3761
