* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -54,1 dBFS, measurement signal peak level -17,4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 26.12.2022 22:06:29
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0,1239 ms (42 mm, 1,67 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: KZ PR1 HIFI
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 111.411 -157.3537
20.507813 111.419 -158.2140
20.874023 111.419 -159.0475
21.240234 111.416 -159.8847
21.606445 111.410 -160.7295
21.972656 111.402 -161.5623
22.338867 111.393 -162.3610
22.705078 111.386 -163.1198
23.071289 111.383 -163.8521
23.437500 111.383 -164.5767
23.803711 111.384 -165.3022
24.169922 111.385 -166.0221
24.536133 111.385 -166.7226
24.902344 111.386 -167.3929
25.268555 111.388 -168.0303
25.634766 111.390 -168.6372
26.000977 111.390 -169.2153
26.367188 111.387 -169.7638
26.733399 111.380 -170.2837
27.099610 111.370 -170.7844
27.465821 111.359 -171.2861
27.832032 111.347 -171.8144
28.198243 111.335 -172.3880
28.564454 111.320 -173.0061
28.930665 111.300 -173.6438
29.296876 111.275 -174.2594
29.663087 111.249 -174.8146
30.029298 111.226 -175.2953
30.395509 111.211 -175.7214
30.761720 111.203 -176.1360
31.127931 111.199 -176.5789
31.494142 111.192 -177.0635
31.860353 111.178 -177.5716
32.226563 111.159 -178.0717
32.592774 111.139 -178.5435
32.958985 111.124 -178.9915
33.325196 111.114 -179.4349
33.691407 111.108 -179.8848
34.057618 111.099 179.6696
34.423829 111.085 179.2535
34.790040 111.068 178.8814
35.156251 111.051 178.5398
35.522462 111.036 178.1919
35.888673 111.020 177.8054
36.254884 111.000 177.3787
36.621095 110.975 176.9431
36.987306 110.947 176.5381
37.353517 110.924 176.1788
37.719728 110.909 175.8448
38.085939 110.901 175.4993
38.452150 110.890 175.1244
38.818361 110.871 174.7395
39.184572 110.843 174.3879
39.550783 110.810 174.0984
39.916994 110.784 173.8551
40.283205 110.769 173.5995
40.649416 110.764 173.2698
41.015627 110.759 172.8470
41.381838 110.745 172.3723
41.748049 110.717 171.9236
42.114260 110.682 171.5674
42.480471 110.650 171.3184
42.846682 110.628 171.1334
43.212893 110.619 170.9408
43.579103 110.617 170.6849
43.945314 110.614 170.3528
44.311525 110.604 169.9715
44.677736 110.585 169.5853
45.043947 110.558 169.2326
45.410158 110.528 168.9343
45.776369 110.497 168.6921
46.142580 110.469 168.4908
46.508791 110.445 168.3000
46.875002 110.426 168.0817
47.241213 110.408 167.8070
47.607424 110.386 167.4772
47.973635 110.356 167.1313
48.339846 110.318 166.8297
48.706057 110.281 166.6166
49.072268 110.253 166.4871
49.438479 110.241 166.3831
49.804690 110.240 166.2290
50.170901 110.241 165.9822
50.537112 110.232 165.6591
50.903323 110.208 165.3184
51.269534 110.175 165.0174
51.635745 110.141 164.7738
52.001956 110.114 164.5614
52.368167 110.094 164.3407
52.734378 110.076 164.0963
53.100589 110.054 163.8488
53.466800 110.029 163.6342
53.833011 110.004 163.4704
54.199222 109.983 163.3403
54.565432 109.969 163.2043
54.931643 109.958 163.0290
55.297854 109.945 162.8072
55.664065 109.928 162.5542
56.030276 109.906 162.2901
56.396487 109.881 162.0260
56.762698 109.854 161.7657
57.128909 109.825 161.5170
57.495120 109.794 161.2959
57.861331 109.763 161.1177
58.227542 109.737 160.9814
58.593753 109.719 160.8629
58.959964 109.707 160.7272
59.326175 109.697 160.5504
59.692386 109.684 160.3337
60.058597 109.664 160.0999
60.424808 109.639 159.8747
60.791019 109.613 159.6700
61.157230 109.587 159.4803
61.523441 109.564 159.2925
61.889652 109.542 159.1001
62.255863 109.519 158.9083
62.622074 109.494 158.7294
62.988285 109.469 158.5727
63.354496 109.444 158.4382
63.720707 109.421 158.3168
64.086918 109.399 158.1960
64.453129 109.378 158.0659
64.819340 109.358 157.9216
65.185551 109.337 157.7644
65.551762 109.316 157.6000
65.917972 109.294 157.4352
66.284183 109.273 157.2751
66.650394 109.253 157.1200
67.016605 109.234 156.9662
67.382816 109.215 156.8098
67.749027 109.195 156.6502
68.115238 109.174 156.4923
68.481449 109.151 156.3427
68.847660 109.129 156.2040
69.213871 109.109 156.0718
69.580082 109.090 155.9370
69.946293 109.072 155.7923
70.312504 109.053 155.6382
70.678715 109.031 155.4831
71.044926 109.008 155.3389
71.411137 108.983 155.2128
71.777348 108.959 155.1031
72.143559 108.938 154.9988
72.509770 108.919 154.8867
72.875981 108.900 154.7582
73.242192 108.881 154.6145
73.608403 108.859 154.4659
73.974614 108.836 154.3261
74.340825 108.812 154.2035
74.707036 108.789 154.0966
75.073247 108.770 153.9946
75.439458 108.752 153.8842
75.805669 108.735 153.7587
76.171880 108.715 153.6221
76.538091 108.693 153.4858
76.904301 108.669 153.3613
77.270512 108.644 153.2524
77.636723 108.620 153.1546
78.002934 108.597 153.0592
78.369145 108.576 152.9594
78.735356 108.556 152.8538
79.101567 108.536 152.7444
79.467778 108.517 152.6330
79.833989 108.498 152.5196
80.200200 108.478 152.4038
80.566411 108.457 152.2871
80.932622 108.434 152.1736
81.298833 108.410 152.0677
81.665044 108.386 151.9701
82.031255 108.362 151.8774
82.397466 108.340 151.7836
82.763677 108.320 151.6837
83.129888 108.301 151.5760
83.496099 108.283 151.4617
83.862310 108.265 151.3435
84.228521 108.246 151.2243
84.594732 108.227 151.1076
84.960943 108.206 150.9976
85.327154 108.184 150.8977
85.693365 108.163 150.8088
86.059576 108.143 150.7278
86.425787 108.124 150.6486
86.791998 108.106 150.5660
87.158209 108.090 150.4774
87.524420 108.073 150.3835
87.890631 108.057 150.2865
88.256841 108.039 150.1873
88.623052 108.020 150.0865
88.989263 107.998 149.9858
89.355474 107.975 149.8895
89.721685 107.949 149.8035
90.087896 107.922 149.7317
90.454107 107.897 149.6735
90.820318 107.873 149.6225
91.186529 107.853 149.5693
91.552740 107.835 149.5059
91.918951 107.818 149.4278
92.285162 107.802 149.3356
92.651373 107.785 149.2335
93.017584 107.768 149.1281
93.383795 107.749 149.0269
93.750006 107.729 148.9367
94.116217 107.709 148.8606
94.482428 107.689 148.7967
94.848639 107.669 148.7386
95.214850 107.650 148.6787
95.581061 107.630 148.6125
95.947272 107.609 148.5407
96.313483 107.588 148.4670
96.679694 107.566 148.3942
97.045905 107.545 148.3211
97.412116 107.526 148.2436
97.778327 107.508 148.1594
98.144538 107.490 148.0715
98.510749 107.471 147.9879
98.876960 107.450 147.9166
99.243170 107.430 147.8589
99.609381 107.412 147.8081
99.975592 107.394 147.7529
100.341803 107.377 147.6842
100.708014 107.359 147.6008
101.074225 107.338 147.5091
101.440436 107.316 147.4194
101.806647 107.292 147.3411
102.172858 107.267 147.2791
102.539069 107.244 147.2332
102.905280 107.222 147.1982
103.271491 107.203 147.1649
103.637702 107.186 147.1229
104.003913 107.170 147.0645
104.370124 107.153 146.9899
104.736335 107.133 146.9077
105.102546 107.111 146.8320
105.468757 107.089 146.7732
105.834968 107.067 146.7314
106.201179 107.048 146.6964
106.567390 107.031 146.6543
106.933601 107.014 146.5983
107.299812 106.995 146.5325
107.666023 106.974 146.4684
108.032234 106.952 146.4158
108.398445 106.931 146.3751
108.764656 106.911 146.3375
109.130867 106.893 146.2932
109.497078 106.873 146.2389
109.863289 106.852 146.1801
110.229500 106.829 146.1263
110.595710 106.805 146.0827
110.961921 106.782 146.0460
111.328132 106.760 146.0070
111.694343 106.740 145.9582
112.060554 106.720 145.8998
112.426765 106.700 145.8398
112.792976 106.678 145.7885
113.159187 106.657 145.7516
113.525398 106.637 145.7275
113.891609 106.618 145.7086
114.257820 106.599 145.6877
114.624031 106.578 145.6621
114.990242 106.556 145.6345
115.356453 106.533 145.6091
115.722664 106.509 145.5881
116.088875 106.486 145.5699
116.455086 106.464 145.5504
116.821297 106.443 145.5271
117.187508 106.422 145.5012
117.553719 106.400 145.4765
117.919930 106.378 145.4568
118.286141 106.355 145.4435
118.652352 106.333 145.4357
119.018563 106.310 145.4324
119.384774 106.288 145.4342
119.750985 106.266 145.4420
120.117196 106.245 145.4550
120.483407 106.224 145.4701
120.849618 106.204 145.4826
121.215829 106.184 145.4908
121.582040 106.161 145.4980
121.948250 106.137 145.5111
122.314461 106.112 145.5362
122.680672 106.087 145.5744
123.046883 106.064 145.6216
123.413094 106.043 145.6717
123.779305 106.023 145.7206
124.145516 106.004 145.7681
124.511727 105.985 145.8155
124.877938 105.967 145.8641
125.244149 105.948 145.9153
125.610360 105.929 145.9729
125.976571 105.910 146.0451
126.342782 105.890 146.1413
126.708993 105.873 146.2658
127.075204 105.858 146.4112
127.441415 105.849 146.5590
127.807626 105.842 146.6878
128.173837 105.837 146.7861
128.540048 105.831 146.8596
128.906259 105.823 146.9277
129.272470 105.817 147.0114
129.638681 105.815 147.1171
130.004892 105.821 147.2311
130.371103 105.835 147.3272
130.737314 105.851 147.3850
131.103525 105.864 147.4055
131.469736 105.867 147.4124
131.835947 105.864 147.4359
132.202158 105.859 147.4883
132.568369 105.860 147.5503
132.934579 105.873 147.5771
133.300790 105.894 147.5276
133.667001 105.919 147.3934
134.033212 105.939 147.2094
134.399423 105.952 147.0364
134.765634 105.957 146.9268
135.131845 105.961 146.8958
135.498056 105.966 146.9166
135.864267 105.972 146.9404
136.230478 105.976 146.9281
136.596689 105.974 146.8688
136.962900 105.966 146.7767
137.329111 105.953 146.6722
137.695322 105.942 146.5646
138.061533 105.936 146.4485
138.427744 105.933 146.3156
138.793955 105.932 146.1672
139.160166 105.927 146.0192
139.526377 105.917 145.8926
139.892588 105.905 145.7994
140.258799 105.891 145.7349
140.625010 105.879 145.6801
140.991221 105.869 145.6140
141.357432 105.859 145.5265
141.723643 105.849 145.4222
142.089854 105.837 145.3157
142.456065 105.824 145.2211
142.822276 105.812 145.1437
143.188487 105.800 145.0780
143.554698 105.789 145.0138
143.920909 105.777 144.9437
144.287119 105.762 144.8684
144.653330 105.745 144.7957
145.019541 105.727 144.7331
145.385752 105.710 144.6817
145.751963 105.696 144.6346
146.118174 105.684 144.5822
146.484385 105.672 144.5200
146.850596 105.659 144.4521
147.216807 105.645 144.3879
147.583018 105.629 144.3342
147.949229 105.613 144.2892
148.315440 105.597 144.2440
148.681651 105.582 144.1896
149.047862 105.566 144.1254
149.414073 105.549 144.0595
149.780284 105.531 144.0035
150.146495 105.514 143.9642
150.512706 105.499 143.9391
150.878917 105.487 143.9189
151.245128 105.477 143.8942
151.611339 105.467 143.8608
151.977550 105.455 143.8206
152.343761 105.442 143.7786
152.709972 105.426 143.7393
153.076183 105.409 143.7052
153.442394 105.391 143.6762
153.808605 105.374 143.6511
154.174816 105.358 143.6275
154.541027 105.344 143.6025
154.907238 105.330 143.5735
155.273448 105.317 143.5400
155.639659 105.303 143.5039
156.005870 105.289 143.4685
156.372081 105.274 143.4369
156.738292 105.259 143.4102
157.104503 105.244 143.3883
157.470714 105.229 143.3705
157.836925 105.215 143.3564
158.203136 105.201 143.3456
158.569347 105.187 143.3356
158.935558 105.175 143.3226
159.301769 105.162 143.3030
159.667980 105.149 143.2760
160.034191 105.135 143.2446
160.400402 105.120 143.2139
160.766613 105.105 143.1884
161.132824 105.090 143.1691
161.499035 105.076 143.1540
161.865246 105.063 143.1403
162.231457 105.049 143.1273
162.597668 105.036 143.1172
162.963879 105.021 143.1122
163.330090 105.007 143.1122
163.696301 104.993 143.1132
164.062512 104.980 143.1089
164.428723 104.967 143.0956
164.794934 104.953 143.0743
165.161145 104.938 143.0516
165.527356 104.924 143.0347
165.893567 104.910 143.0264
166.259778 104.898 143.0228
166.625988 104.888 143.0162
166.992199 104.878 143.0010
167.358410 104.867 142.9783
167.724621 104.854 142.9557
168.090832 104.839 142.9412
168.457043 104.825 142.9369
168.823254 104.811 142.9381
169.189465 104.799 142.9374
169.555676 104.788 142.9312
169.921887 104.776 142.9229
170.288098 104.764 142.9188
