* Measurement data measured by REW V5.20.9
* Source: Микрофон (HiBy FC3), MICROPHONE (Общая громкость), L, volume: 0,900. Timing signal peak level -41,6 dBFS, measurement signal peak level -7,7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 17.01.2023 20:37:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0075 ms (-2,6 mm, -0,1 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: PR1 Pro Mesh
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 85.744 -173.9261
20.507813 85.751 -174.3133
20.874023 85.757 -174.7493
21.240234 85.764 -175.2812
21.606445 85.760 -175.8709
21.972656 85.743 -176.4221
22.338867 85.725 -176.8830
22.705078 85.712 -177.2308
23.071289 85.713 -177.5646
23.437500 85.719 -178.0179
23.803711 85.712 -178.5937
24.169922 85.678 -179.2056
24.536133 85.623 -179.6826
24.902344 85.568 -179.8932
25.268555 85.549 -179.9193
25.634766 85.574 -179.9767
26.000977 85.617 179.6987
26.367188 85.634 179.0132
26.733399 85.586 178.1382
27.099610 85.473 177.3575
27.465821 85.334 176.9092
27.832032 85.225 176.8392
28.198243 85.194 176.9268
28.564454 85.245 176.8501
28.930665 85.336 176.4290
29.296876 85.418 175.7278
29.663087 85.459 175.0026
30.029298 85.457 174.4967
30.395509 85.434 174.3116
30.761720 85.413 174.3314
31.127931 85.403 174.3489
31.494142 85.396 174.2066
31.860353 85.376 173.9100
32.226563 85.343 173.5145
32.592774 85.305 173.1229
32.958985 85.274 172.7894
33.325196 85.261 172.5204
33.691407 85.257 172.2617
34.057618 85.251 172.0005
34.423829 85.236 171.7350
34.790040 85.214 171.5078
35.156251 85.192 171.2952
35.522462 85.173 171.0559
35.888673 85.153 170.7726
36.254884 85.131 170.4585
36.621095 85.107 170.1631
36.987306 85.086 169.9193
37.353517 85.076 169.6990
37.719728 85.071 169.4738
38.085939 85.063 169.2161
38.452150 85.042 168.9425
38.818361 85.009 168.7052
39.184572 84.975 168.5357
39.550783 84.950 168.4099
39.916994 84.936 168.2604
40.283205 84.923 168.0206
40.649416 84.902 167.7129
41.015627 84.869 167.4161
41.381838 84.838 167.2117
41.748049 84.814 167.1002
42.114260 84.802 167.0030
42.480471 84.798 166.8218
42.846682 84.789 166.5459
43.212893 84.765 166.2403
43.579103 84.728 166.0151
43.945314 84.693 165.9274
44.311525 84.682 165.9212
44.677736 84.692 165.8599
45.043947 84.709 165.6395
45.410158 84.711 165.2614
45.776369 84.684 164.8763
46.142580 84.636 164.6321
46.508791 84.590 164.5804
46.875002 84.566 164.6301
47.241213 84.563 164.6306
47.607424 84.566 164.4762
47.973635 84.554 164.1933
48.339846 84.523 163.8869
48.706057 84.476 163.7188
49.072268 84.433 163.7294
49.438479 84.412 163.8301
49.804690 84.419 163.8723
50.170901 84.437 163.7413
50.537112 84.447 163.4317
50.903323 84.436 163.0352
51.269534 84.403 162.6822
51.635745 84.358 162.4352
52.001956 84.315 162.2990
52.368167 84.286 162.2044
52.734378 84.269 162.1334
53.100589 84.259 162.0483
53.466800 84.251 161.9322
53.833011 84.244 161.7913
54.199222 84.234 161.6288
54.565432 84.222 161.4504
54.931643 84.205 161.2644
55.297854 84.184 161.1085
55.664065 84.160 160.9713
56.030276 84.133 160.8516
56.396487 84.106 160.6973
56.762698 84.081 160.5724
57.128909 84.060 160.4772
57.495120 84.044 160.4026
57.861331 84.031 160.3071
58.227542 84.018 160.1848
58.593753 84.000 160.0377
58.959964 83.978 159.8791
59.326175 83.953 159.7068
59.692386 83.926 159.5514
60.058597 83.898 159.4188
60.424808 83.871 159.3127
60.791019 83.845 159.2149
61.157230 83.820 159.1181
61.523441 83.796 159.0232
61.889652 83.773 158.9390
62.255863 83.758 158.8629
62.622074 83.748 158.7847
62.988285 83.739 158.6949
63.354496 83.729 158.5806
63.720707 83.716 158.4540
64.086918 83.702 158.3196
64.453129 83.682 158.1794
64.819340 83.661 158.0418
65.185551 83.638 157.9063
65.551762 83.613 157.7766
65.917972 83.589 157.6590
66.284183 83.568 157.5637
66.650394 83.548 157.4786
67.016605 83.530 157.3949
67.382816 83.512 157.3016
67.749027 83.494 157.2076
68.115238 83.476 157.1181
68.481449 83.458 157.0388
68.847660 83.440 156.9639
69.213871 83.419 156.8752
69.580082 83.397 156.7772
69.946293 83.375 156.6810
70.312504 83.353 156.5947
70.678715 83.332 156.5050
71.044926 83.312 156.4067
71.411137 83.293 156.3018
71.777348 83.274 156.1958
72.143559 83.254 156.0969
72.509770 83.234 156.0112
72.875981 83.215 155.9421
73.242192 83.198 155.8911
73.608403 83.182 155.8453
73.974614 83.167 155.7949
74.340825 83.150 155.7031
74.707036 83.132 155.6052
75.073247 83.113 155.5106
75.439458 83.093 155.4358
75.805669 83.072 155.3580
76.171880 83.052 155.2537
76.538091 83.033 155.1243
76.904301 83.014 155.0034
77.270512 82.988 154.9501
77.636723 82.960 154.9214
78.002934 82.932 154.8907
78.369145 82.917 154.8384
78.735356 82.901 154.7856
79.101567 82.885 154.7327
79.467778 82.868 154.6744
79.833989 82.852 154.6187
80.200200 82.836 154.5712
80.566411 82.819 154.5288
80.932622 82.801 154.4860
81.298833 82.784 154.4489
81.665044 82.767 154.4182
82.031255 82.749 154.3852
82.397466 82.730 154.2918
82.763677 82.711 154.1909
83.129888 82.693 154.0833
83.496099 82.673 153.9740
83.862310 82.653 153.8680
84.228521 82.636 153.7829
84.594732 82.620 153.7166
84.960943 82.605 153.6626
85.327154 82.582 153.6685
85.693365 82.558 153.6882
86.059576 82.537 153.6953
86.425787 82.524 153.6255
86.791998 82.512 153.5428
87.158209 82.499 153.4600
87.524420 82.484 153.3867
87.890631 82.469 153.3133
88.256841 82.448 153.2700
88.623052 82.426 153.2426
88.989263 82.404 153.2197
89.355474 82.384 153.1209
89.721685 82.364 153.0263
90.087896 82.345 152.9543
90.454107 82.332 152.9350
90.820318 82.318 152.9157
91.186529 82.303 152.8884
91.552740 82.285 152.8531
91.918951 82.266 152.8176
92.285162 82.249 152.7748
92.651373 82.233 152.7347
93.017584 82.218 152.6989
93.383795 82.199 152.6694
93.750006 82.181 152.6410
94.116217 82.162 152.6118
94.482428 82.144 152.5776
94.848639 82.127 152.5391
95.214850 82.110 152.4955
95.581061 82.092 152.4424
95.947272 82.072 152.3812
96.313483 82.051 152.3291
96.679694 82.030 152.2925
97.045905 82.009 152.2688
97.412116 81.990 152.2274
97.778327 81.973 152.1840
98.144538 81.959 152.1382
98.510749 81.949 152.0960
98.876960 81.938 152.0573
99.243170 81.922 152.0189
99.609381 81.903 151.9841
99.975592 81.886 151.9500
100.341803 81.876 151.9738
100.708014 81.866 151.9927
101.074225 81.853 151.9939
101.440436 81.833 151.9502
101.806647 81.812 151.9130
102.172858 81.790 151.8663
102.539069 81.769 151.8079
102.905280 81.748 151.7570
103.271491 81.732 151.7422
103.637702 81.717 151.7390
104.003913 81.704 151.7307
104.370124 81.687 151.6864
104.736335 81.671 151.6296
105.102546 81.656 151.5792
105.468757 81.642 151.5691
105.834968 81.627 151.5626
106.201179 81.605 151.5603
106.567390 81.576 151.5672
106.933601 81.549 151.5869
107.299812 81.536 151.5378
107.666023 81.525 151.4680
108.032234 81.514 151.3970
108.398445 81.510 151.3982
108.764656 81.503 151.4001
109.130867 81.490 151.4019
109.497078 81.468 151.3967
109.863289 81.448 151.3882
110.229500 81.438 151.3327
110.595710 81.435 151.2433
110.961921 81.429 151.1499
111.328132 81.406 151.1862
111.694343 81.379 151.2578
112.060554 81.354 151.3287
112.426765 81.334 151.3022
112.792976 81.315 151.2692
113.159187 81.301 151.2321
113.525398 81.290 151.1968
113.891609 81.277 151.1595
114.257820 81.258 151.1396
114.624031 81.238 151.1289
114.990242 81.221 151.1140
115.356453 81.217 151.1121
115.722664 81.214 151.0999
116.088875 81.206 151.0748
116.455086 81.185 151.0247
116.821297 81.163 150.9933
117.187508 81.148 150.9719
117.553719 81.138 150.9503
117.919930 81.128 150.9239
118.286141 81.111 150.9473
118.652352 81.092 150.9814
119.018563 81.073 151.0107
119.384774 81.059 150.9916
119.750985 81.046 150.9636
120.117196 81.032 150.9212
120.483407 81.017 150.8673
120.849618 80.999 150.8276
121.215829 80.982 150.8256
121.582040 80.968 150.8537
121.948250 80.956 150.8846
122.314461 80.954 150.9197
122.680672 80.952 150.9322
123.046883 80.946 150.9279
123.413094 80.927 150.9171
123.779305 80.907 150.9297
124.145516 80.887 150.9322
124.511727 80.865 150.8910
124.877938 80.845 150.8354
125.244149 80.836 150.7752
125.610360 80.830 150.7181
125.976571 80.820 150.6743
126.342782 80.796 150.7249
126.708993 80.774 150.7830
127.075204 80.759 150.8131
127.441415 80.757 150.7797
127.807626 80.753 150.7290
128.173837 80.742 150.7263
128.540048 80.723 150.7948
128.906259 80.705 150.8892
129.272470 80.695 150.9286
129.638681 80.689 150.9387
130.004892 80.680 150.9355
130.371103 80.660 150.8812
130.737314 80.638 150.8335
131.103525 80.616 150.8146
131.469736 80.599 150.8448
131.835947 80.583 150.8609
132.202158 80.567 150.8200
132.568369 80.548 150.7387
132.934579 80.527 150.6657
133.300790 80.512 150.6520
133.667001 80.502 150.6669
134.033212 80.495 150.6823
134.399423 80.489 150.6432
134.765634 80.483 150.5848
135.131845 80.473 150.5536
135.498056 80.458 150.5971
135.864267 80.441 150.6651
136.230478 80.424 150.6718
136.596689 80.409 150.6363
136.962900 80.397 150.5870
137.329111 80.402 150.6475
137.695322 80.406 150.6954
138.061533 80.403 150.7218
138.427744 80.379 150.7132
138.793955 80.354 150.7280
139.160166 80.329 150.7498
139.526377 80.308 150.7618
139.892588 80.291 150.7707
140.258799 80.278 150.7834
140.625010 80.266 150.7877
140.991221 80.252 150.7845
141.357432 80.242 150.7860
141.723643 80.231 150.7960
142.089854 80.220 150.8021
142.456065 80.204 150.7784
142.822276 80.187 150.7470
143.188487 80.172 150.6935
143.554698 80.159 150.6295
143.920909 80.145 150.5815
144.287119 80.133 150.5892
144.653330 80.124 150.6118
145.019541 80.119 150.6286
145.385752 80.108 150.7144
145.751963 80.094 150.7870
146.118174 80.079 150.8116
146.484385 80.062 150.7478
146.850596 80.044 150.6986
147.216807 80.034 150.7249
147.583018 80.029 150.7972
147.949229 80.025 150.8648
148.315440 80.006 150.8688
148.681651 79.986 150.8630
149.047862 79.970 150.8636
149.414073 79.973 150.8998
149.780284 79.977 150.9284
150.146495 79.970 150.9370
150.512706 79.947 150.9236
150.878917 79.921 150.9120
151.245128 79.901 150.9320
151.611339 79.886 150.9730
151.977550 79.870 151.0212
152.343761 79.863 150.9709
152.709972 79.857 150.9172
153.076183 79.852 150.8893
153.442394 79.850 150.9509
153.808605 79.848 151.0117
154.174816 79.842 151.0803
154.541027 79.830 151.1547
154.907238 79.818 151.2202
155.273448 79.800 151.1389
155.639659 79.780 151.0071
156.005870 79.760 150.8800
156.372081 79.758 150.9476
156.738292 79.756 151.0221
157.104503 79.748 151.0706
157.470714 79.725 151.0422
157.836925 79.702 151.0153
158.203136 79.691 151.0375
158.569347 79.689 151.0981
158.935558 79.688 151.1573
159.301769 79.679 151.1798
159.667980 79.668 151.1943
160.034191 79.658 151.2048
160.400402 79.646 151.1709
160.766613 79.634 151.1377
161.132824 79.624 151.1468
161.499035 79.615 151.2283
161.865246 79.606 151.3026
162.231457 79.598 151.2755
162.597668 79.590 151.1933
162.963879 79.581 151.1194
163.330090 79.557 151.2083
163.696301 79.534 151.3248
164.062512 79.516 151.4224
164.428723 79.514 151.4061
164.794934 79.515 151.3796
165.161145 79.503 151.3656
165.527356 79.476 151.3757
165.893567 79.447 151.3891
166.259778 79.439 151.3605
166.625988 79.438 151.3194
166.992199 79.438 151.2841
167.358410 79.434 151.3306
167.724621 79.431 151.3760
168.090832 79.425 151.4253
168.457043 79.410 151.4984
168.823254 79.395 151.5631
169.189465 79.381 151.5562
169.555676 79.367 151.4897
169.921887 79.353 151.4327
170.288098 79.352 151.4350
