* Measurement data measured by REW V5.20.9
* Source: Микрофон (HiBy FC3), MICROPHONE (Общая громкость), L, volume: 0,900. Timing signal peak level -44,7 dBFS, measurement signal peak level -5,0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 17.01.2023 20:35:42
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0081 ms (-2,8 mm, -0,11 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: PR1 Pro
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 85.784 -173.9723
20.287556 85.781 -173.9246
20.434568 85.777 -173.9464
20.582645 85.772 -174.0132
20.731796 85.767 -174.1060
20.882027 85.764 -174.2140
21.033346 85.763 -174.3338
21.185763 85.764 -174.4684
21.339284 85.767 -174.6199
21.493917 85.772 -174.7929
21.649671 85.777 -174.9900
21.806553 85.781 -175.2110
21.964572 85.783 -175.4517
22.123737 85.782 -175.7148
22.284054 85.777 -175.9820
22.445534 85.767 -176.2377
22.608183 85.755 -176.4696
22.772012 85.740 -176.6680
22.937027 85.726 -176.8277
23.103238 85.715 -176.9589
23.270654 85.708 -177.0660
23.439282 85.708 -177.1577
23.609133 85.714 -177.2522
23.780215 85.726 -177.3690
23.952536 85.741 -177.5245
24.126106 85.756 -177.7401
24.300934 85.765 -178.0102
24.477028 85.767 -178.3220
24.654399 85.758 -178.6579
24.833055 85.736 -178.9936
25.013005 85.702 -179.3033
25.194260 85.660 -179.5748
25.376828 85.614 -179.7781
25.560719 85.570 -179.9089
25.745942 85.536 -179.9783
25.932508 85.516 179.9875
26.120426 85.514 179.9449
26.309705 85.530 179.8549
26.500356 85.560 179.6844
26.692388 85.600 179.4107
26.885812 85.640 179.0295
27.080638 85.674 178.5540
27.276876 85.694 178.0168
27.474535 85.696 177.4703
27.673627 85.679 176.9655
27.874161 85.645 176.5498
28.076149 85.601 176.2580
28.279600 85.552 176.1051
28.484526 85.506 176.0823
28.690937 85.471 176.1584
28.898843 85.449 176.2853
29.108256 85.442 176.4047
29.319186 85.446 176.4688
29.531645 85.457 176.4488
29.745644 85.467 176.3335
29.961193 85.471 176.1319
30.178304 85.466 175.8777
30.396989 85.451 175.5971
30.617258 85.427 175.3211
30.839123 85.398 175.0752
31.062596 85.368 174.8667
31.287688 85.341 174.6863
31.514412 85.320 174.5413
31.742778 85.305 174.4172
31.972800 85.295 174.3002
32.204488 85.288 174.1593
32.437855 85.281 174.0132
32.672913 85.272 173.8713
32.909674 85.259 173.7433
33.148151 85.244 173.6501
33.388356 85.228 173.5918
33.630302 85.214 173.5578
33.874001 85.204 173.5369
34.119466 85.199 173.5005
34.366710 85.199 173.4290
34.615745 85.205 173.3179
34.866585 85.213 173.1578
35.119243 85.220 172.9453
35.373731 85.225 172.6885
35.630064 85.226 172.4063
35.888254 85.221 172.1174
36.148315 85.212 171.8363
36.410261 85.200 171.5776
36.674104 85.186 171.3513
36.939860 85.173 171.1578
37.207542 85.161 170.9833
37.477163 85.150 170.8257
37.748738 85.141 170.6794
38.022281 85.132 170.5382
38.297806 85.123 170.3967
38.575327 85.112 170.2553
38.854860 85.099 170.1134
39.136419 85.086 169.9693
39.420017 85.071 169.8210
39.705671 85.056 169.6665
39.993395 85.040 169.5043
40.283203 85.024 169.3212
40.575112 85.007 169.1322
40.869136 84.991 168.9405
41.165290 84.975 168.7524
41.463591 84.961 168.5688
41.764053 84.947 168.3877
42.066693 84.933 168.2052
42.371525 84.920 168.0120
42.678567 84.905 167.8238
42.987834 84.889 167.6435
43.299341 84.872 167.4683
43.613106 84.854 167.3044
43.929145 84.837 167.1501
44.247473 84.820 167.0037
44.568109 84.804 166.8593
44.891068 84.787 166.7128
45.216367 84.771 166.5495
45.544023 84.754 166.3774
45.874054 84.736 166.2064
46.206476 84.717 166.0428
46.541307 84.698 165.8865
46.878565 84.680 165.7349
47.218266 84.663 165.5925
47.560429 84.648 165.4558
47.905072 84.634 165.3212
48.252212 84.621 165.1683
48.601867 84.608 165.0108
48.954056 84.595 164.8574
49.308798 84.580 164.7065
49.666109 84.563 164.5598
50.026010 84.543 164.4164
50.388520 84.521 164.2661
50.753656 84.497 164.1183
51.121437 84.474 163.9797
51.491884 84.453 163.8563
51.865016 84.433 163.7277
52.240851 84.415 163.5722
52.619410 84.399 163.4023
53.000712 84.382 163.2355
53.384777 84.366 163.0703
53.771625 84.349 162.9167
54.161276 84.331 162.7717
54.553751 84.312 162.6299
54.949070 84.293 162.4883
55.347254 84.272 162.3772
55.748323 84.251 162.2665
56.152298 84.230 162.1227
56.559201 84.209 161.9274
56.969052 84.188 161.7305
57.381873 84.167 161.5684
57.797686 84.146 161.4116
58.216512 84.124 161.2643
58.638373 84.101 161.1277
59.063291 84.077 160.9937
59.491288 84.053 160.8410
59.922386 84.030 160.6914
60.356608 84.006 160.5586
60.793977 83.983 160.4315
61.234515 83.960 160.2983
61.678246 83.938 160.1608
62.125192 83.916 160.0278
62.575377 83.894 159.9006
63.028824 83.871 159.7752
63.485557 83.849 159.6399
63.945599 83.825 159.5071
64.408975 83.802 159.3706
64.875709 83.778 159.2363
65.345825 83.754 159.0972
65.819348 83.729 158.9581
66.296302 83.705 158.8329
66.776713 83.680 158.7162
67.260604 83.655 158.5938
67.748002 83.630 158.4669
68.238932 83.605 158.3480
68.733420 83.579 158.2391
69.231490 83.553 158.1155
69.733170 83.527 157.9739
70.238485 83.500 157.8433
70.747463 83.473 157.7233
71.260128 83.446 157.6049
71.776508 83.419 157.4876
72.296630 83.392 157.3673
72.820521 83.365 157.2469
73.348209 83.339 157.1430
73.879720 83.312 157.0515
74.415083 83.286 156.9222
74.954326 83.259 156.7836
75.497475 83.232 156.6843
76.044561 83.204 156.5816
76.595612 83.176 156.4023
77.150655 83.147 156.2570
77.709720 83.117 156.2041
78.272837 83.087 156.1418
78.840034 83.058 156.0690
79.411342 83.030 155.9828
79.986789 83.001 155.8923
80.566406 82.973 155.8323
81.150224 82.945 155.7766
81.738272 82.917 155.7266
82.330581 82.888 155.6240
82.927182 82.859 155.4791
83.528107 82.830 155.3384
84.133386 82.800 155.2064
84.743051 82.770 155.1017
85.357134 82.740 155.0509
85.975667 82.710 155.0402
86.598682 82.680 154.8965
87.226212 82.650 154.7685
87.858289 82.619 154.6771
88.494946 82.588 154.6399
89.136217 82.558 154.5901
89.782135 82.527 154.4278
90.432733 82.497 154.3408
91.088046 82.467 154.2912
91.748108 82.437 154.2324
92.412952 82.407 154.1594
93.082615 82.377 154.0800
93.757130 82.347 154.0122
94.436533 82.316 153.9382
95.120859 82.285 153.8659
95.810144 82.253 153.8129
96.504423 82.222 153.7706
97.203734 82.190 153.7167
97.908112 82.158 153.6236
98.617595 82.126 153.5560
99.332219 82.095 153.4817
100.052021 82.064 153.4042
100.777039 82.032 153.4555
101.507311 82.001 153.4291
102.242875 81.969 153.3431
102.983769 81.936 153.2064
103.730032 81.903 153.1582
104.481702 81.870 153.0813
105.238820 81.837 153.0289
106.001424 81.803 153.0683
106.769554 81.769 153.0804
107.543250 81.736 152.9606
108.322553 81.703 152.8597
109.107503 81.672 152.8616
109.898141 81.640 152.8310
110.694508 81.608 152.6967
111.496646 81.576 152.7296
112.304596 81.542 152.7739
113.118402 81.509 152.6564
113.938104 81.476 152.5886
114.763747 81.443 152.5601
115.595372 81.410 152.5775
116.433024 81.377 152.5554
117.276746 81.344 152.4727
118.126581 81.311 152.4013
118.982575 81.279 152.4801
119.844772 81.246 152.4564
120.713217 81.213 152.4043
121.587954 81.181 152.3842
122.469031 81.149 152.4179
123.356492 81.117 152.4688
124.250384 81.085 152.4457
125.150753 81.052 152.2946
126.057647 81.019 152.1940
126.971113 80.985 152.2869
127.891198 80.951 152.2717
128.817950 80.916 152.4507
129.751418 80.881 152.4786
130.691651 80.844 152.3772
131.638696 80.807 152.3662
132.592604 80.771 152.3070
133.553425 80.735 152.2527
134.521208 80.700 152.1879
135.496004 80.665 152.2070
136.477864 80.631 152.1851
137.466839 80.596 152.1735
138.462981 80.562 152.3203
139.466340 80.527 152.3423
140.476971 80.491 152.3422
141.494925 80.455 152.3877
142.520256 80.419 152.3890
143.553016 80.384 152.2893
144.593260 80.348 152.2270
145.641043 80.313 152.3904
146.696418 80.278 152.3794
147.759441 80.243 152.4591
148.830166 80.209 152.4797
149.908651 80.176 152.5676
150.994951 80.143 152.6033
152.089123 80.110 152.7142
153.191223 80.078 152.5812
154.301310 80.046 152.7468
155.419441 80.013 152.7583
156.545674 79.981 152.6987
157.680069 79.949 152.7380
158.822683 79.916 152.8391
159.973578 79.883 152.9062
161.132813 79.849 152.8438
162.300447 79.815 152.9977
163.476543 79.781 153.0090
164.661162 79.746 153.1052
165.854364 79.712 153.1291
167.056213 79.678 153.0126
168.266772 79.644 153.1593
169.486102 79.611 153.2490
170.714268 79.576 153.1989
171.951334 79.542 153.5986
173.197364 79.507 153.3188
174.452424 79.473 153.6290
175.716578 79.438 153.6984
176.989893 79.404 153.5325
178.272434 79.369 153.7552
179.564270 79.334 153.7145
180.865467 79.299 153.9850
182.176092 79.265 153.8803
183.496216 79.230 153.9371
184.825905 79.196 154.0617
186.165229 79.163 153.9430
187.514259 79.129 154.2426
188.873065 79.096 154.3127
190.241717 79.062 154.4011
191.620287 79.028 154.4188
193.008847 78.994 154.6334
194.407468 78.960 154.6217
195.816225 78.927 154.5812
197.235190 78.893 154.8292
198.664438 78.858 154.7413
200.104042 78.823 155.2013
201.554078 78.787 155.1975
203.014622 78.751 155.0628
204.485750 78.715 155.4392
205.967538 78.680 155.3765
207.460064 78.644 155.6221
208.963405 78.608 155.6110
210.477640 78.572 155.9214
212.002848 78.536 155.7586
213.539108 78.501 156.0835
215.086500 78.466 156.3370
216.645105 78.430 156.4278
218.215005 78.395 156.6120
219.796281 78.360 156.6268
221.389015 78.327 156.9750
222.993292 78.295 157.0061
224.609193 78.265 157.2196
226.236804 78.237 157.5874
227.876209 78.211 157.6356
229.527494 78.188 157.8908
231.190745 78.166 158.2736
232.866048 78.148 158.3980
234.553491 78.131 158.7346
236.253163 78.117 158.8283
237.965150 78.105 159.0078
239.689544 78.096 159.2275
241.426433 78.088 159.3876
243.175909 78.081 159.5443
244.938062 78.074 159.5997
246.712984 78.066 159.7617
248.500768 78.057 159.8878
250.301507 78.044 159.9205
252.115295 78.029 159.9700
253.942226 78.012 160.1161
255.782396 77.993 160.1469
257.635901 77.972 160.1508
259.502837 77.949 160.3063
261.383301 77.925 160.2869
263.277392 77.900 160.4066
265.185209 77.875 160.5714
267.106850 77.849 160.4509
269.042417 77.823 160.6578
270.992009 77.797 160.9469
272.955729 77.771 160.9970
274.933678 77.745 161.0860
276.925961 77.719 161.2679
278.932681 77.693 161.0971
280.953942 77.667 161.4283
282.989850 77.640 161.7433
285.040511 77.614 161.6445
287.106032 77.587 161.5805
289.186521 77.561 162.0015
291.282086 77.535 162.0593
293.392836 77.509 162.2469
295.518881 77.485 162.4252
297.660333 77.461 162.6437
299.817302 77.438 162.6519
301.989902 77.415 162.8622
304.178245 77.392 162.9930
306.382446 77.370 163.2642
308.602620 77.348 163.5657
310.838882 77.327 163.5635
313.091348 77.306 163.7160
315.360137 77.285 163.8427
317.645367 77.266 164.0156
319.947156 77.246 164.0123
322.265625 77.227 164.4059
324.600895 77.208 164.6259
326.953086 77.189 164.9006
329.322323 77.170 164.9221
331.708729 77.150 164.9761
334.112427 77.131 165.2590
336.533543 77.112 165.5826
338.972204 77.095 165.8600
341.428536 77.078 166.1013
343.902668 77.062 166.2203
346.394729 77.045 166.4694
348.904848 77.029 166.6121
351.433156 77.012 166.6517
353.979786 76.995 167.0411
356.544869 76.978 167.0891
359.128540 76.961 167.4765
361.730934 76.946 167.5362
364.352185 76.931 167.8734
366.992431 76.917 167.7923
369.651810 76.903 167.9044
372.330459 76.889 168.3336
375.028519 76.876 168.5715
377.746130 76.862 168.7950
380.483434 76.848 169.1285
383.240574 76.835 169.2663
