* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -17,6 dBFS, measurement signal peak level -17,6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 16.04.2024 17:57:20
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0147 ms (-5,0 mm, -0,2 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: KZ PR2 L
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 112.092 -149.0698
20.523834 112.094 -149.9930
20.860291 112.087 -150.8171
21.196747 112.093 -151.6371
21.533203 112.117 -152.5452
21.869659 112.157 -153.5720
22.206116 112.210 -154.6765
22.542572 112.275 -155.7887
22.879028 112.355 -156.8668
23.215485 112.445 -157.9214
23.551941 112.530 -158.9868
23.888397 112.590 -160.0651
24.224854 112.604 -161.0900
24.561310 112.565 -161.9436
24.897766 112.487 -162.5226
25.234222 112.403 -162.8202
25.570679 112.345 -162.9686
25.907135 112.329 -163.1948
26.243591 112.346 -163.6980
26.580048 112.371 -164.5354
26.916504 112.378 -165.5972
27.252960 112.356 -166.6752
27.589417 112.311 -167.5731
27.925873 112.264 -168.2004
28.262329 112.234 -168.6068
28.598785 112.228 -168.9352
28.935242 112.239 -169.3240
29.271698 112.249 -169.8287
29.608154 112.248 -170.4113
29.944611 112.236 -170.9946
30.281067 112.222 -171.5317
30.617523 112.217 -172.0433
30.953979 112.220 -172.5949
31.290436 112.222 -173.2339
31.626892 112.206 -173.9368
31.963348 112.166 -174.6103
32.299805 112.109 -175.1491
32.636261 112.056 -175.5145
32.972717 112.029 -175.7783
33.309174 112.033 -176.0881
33.645630 112.053 -176.5630
33.982086 112.062 -177.1985
34.318542 112.039 -177.8531
34.654999 111.979 -178.3289
34.991455 111.906 -178.4984
35.327911 111.851 -178.4096
35.664368 111.836 -178.2871
36.000824 111.853 -178.4033
36.337280 111.874 -178.9032
36.673737 111.866 -179.7186
37.010193 111.817 179.3826
37.346649 111.743 178.6575
37.683105 111.679 178.2414
38.019562 111.658 178.0689
38.356018 111.688 177.9261
38.692474 111.746 177.6070
39.028931 111.790 177.0510
39.365387 111.788 176.3625
39.701843 111.734 175.7247
40.038300 111.646 175.2799
40.374756 111.557 175.0411
40.711212 111.498 174.8865
41.047668 111.477 174.6443
41.384125 111.481 174.2113
41.720581 111.490 173.6163
42.057037 111.488 172.9938
42.393494 111.472 172.4981
42.729950 111.452 172.2179
43.066406 111.438 172.1324
43.402863 111.434 172.1307
43.739319 111.434 172.0784
44.075775 111.422 171.8879
44.412231 111.384 171.5531
44.748688 111.318 171.1365
45.085144 111.230 170.7289
45.421600 111.137 170.4026
45.758057 111.060 170.1829
46.094513 111.013 170.0467
46.430969 110.998 169.9486
46.767426 111.011 169.8526
47.103882 111.039 169.7463
47.440338 111.074 169.6298
47.776794 111.107 169.4929
48.113251 111.133 169.3024
48.449707 111.146 169.0160
48.786163 111.139 168.6127
49.122620 111.103 168.1207
49.459076 111.040 167.6176
49.795532 110.957 167.2000
50.131989 110.872 166.9340
50.468445 110.802 166.8168
50.804901 110.758 166.7760
51.141357 110.739 166.7112
51.477814 110.732 166.5522
51.814270 110.722 166.2914
52.150726 110.698 165.9743
52.487183 110.662 165.6623
52.823639 110.619 165.3953
53.160095 110.578 165.1787
53.496552 110.542 164.9968
53.833008 110.512 164.8380
54.169464 110.484 164.7100
54.505920 110.455 164.6334
54.842377 110.423 164.6222
55.178833 110.392 164.6657
55.515289 110.362 164.7271
55.851746 110.337 164.7563
56.188202 110.316 164.7076
56.524658 110.299 164.5508
56.861115 110.286 164.2755
57.197571 110.274 163.8912
57.534027 110.260 163.4286
57.870483 110.241 162.9403
58.206940 110.214 162.4918
58.543396 110.179 162.1432
58.879852 110.140 161.9249
59.216309 110.104 161.8219
59.552765 110.073 161.7800
59.889221 110.045 161.7355
60.225677 110.015 161.6513
60.562134 109.977 161.5361
60.898590 109.932 161.4331
61.235046 109.886 161.3851
61.571503 109.849 161.3983
61.907959 109.831 161.4293
62.244415 109.830 161.4070
62.580872 109.837 161.2766
62.917328 109.841 161.0340
63.253784 109.830 160.7305
63.590240 109.802 160.4438
63.926697 109.764 160.2369
64.263153 109.725 160.1269
64.599609 109.694 160.0811
64.936066 109.673 160.0424
65.272522 109.658 159.9656
65.608978 109.641 159.8400
65.945435 109.618 159.6869
66.281891 109.589 159.5379
66.618347 109.557 159.4121
66.954803 109.527 159.3072
67.291260 109.500 159.2077
67.627716 109.475 159.1015
67.964172 109.451 158.9906
68.300629 109.425 158.8881
68.637085 109.398 158.8062
68.973541 109.371 158.7454
69.309998 109.344 158.6940
69.646454 109.318 158.6376
69.982910 109.292 158.5693
70.319366 109.265 158.4930
70.655823 109.239 158.4170
70.992279 109.216 158.3439
71.328735 109.197 158.2672
71.665192 109.182 158.1760
72.001648 109.167 158.0672
72.338104 109.147 157.9516
72.674561 109.122 157.8499
73.011017 109.091 157.7797
73.347473 109.060 157.7414
73.683929 109.032 157.7155
74.020386 109.009 157.6723
74.356842 108.991 157.5894
74.693298 108.973 157.4665
75.029755 108.954 157.3261
75.366211 108.932 157.2016
75.702667 108.908 157.1191
76.039124 108.885 157.0840
76.375580 108.864 157.0796
76.712036 108.845 157.0764
77.048492 108.825 157.0467
77.384949 108.802 156.9751
77.721405 108.775 156.8618
78.057861 108.743 156.7185
78.394318 108.711 156.5617
78.730774 108.680 156.4086
79.067230 108.652 156.2749
79.403687 108.630 156.1744
79.740143 108.614 156.1162
80.076599 108.602 156.1016
80.413055 108.595 156.1204
80.749512 108.589 156.1516
81.085968 108.582 156.1703
81.422424 108.570 156.1584
81.758881 108.549 156.1122
82.095337 108.518 156.0453
82.431793 108.479 155.9809
82.768250 108.437 155.9393
83.104706 108.399 155.9261
83.441162 108.370 155.9265
83.777618 108.353 155.9117
84.114075 108.345 155.8532
84.450531 108.339 155.7392
84.786987 108.329 155.5831
85.123444 108.310 155.4207
85.459900 108.282 155.2954
85.796356 108.248 155.2377
86.132812 108.217 155.2484
86.469269 108.193 155.2955
86.805725 108.178 155.3300
87.142181 108.167 155.3129
87.478638 108.152 155.2401
87.815094 108.129 155.1458
88.151550 108.098 155.0811
88.488007 108.066 155.0783
88.824463 108.043 155.1216
89.160919 108.035 155.1479
89.497375 108.038 155.0838
89.833832 108.041 154.8971
90.170288 108.033 154.6274
90.506744 108.006 154.3733
90.843201 107.966 154.2398
91.179657 107.929 154.2765
91.516113 107.909 154.4419
91.852570 107.911 154.6252
92.189026 107.924 154.7151
92.525482 107.931 154.6690
92.861938 107.916 154.5334
93.198395 107.874 154.4062
93.534851 107.817 154.3696
93.871307 107.762 154.4368
94.207764 107.722 154.5453
94.544220 107.701 154.6049
94.880676 107.691 154.5620
95.217133 107.680 154.4358
95.553589 107.661 154.2993
95.890045 107.635 154.2287
96.226501 107.609 154.2570
96.562958 107.590 154.3634
96.899414 107.576 154.4991
97.235870 107.566 154.6265
97.572327 107.554 154.7355
97.908783 107.541 154.8296
98.245239 107.532 154.8971
98.581696 107.530 154.9008
98.918152 107.531 154.7991
99.254608 107.527 154.5848
99.591064 107.507 154.3096
99.927521 107.469 154.0701
100.263977 107.418 153.9602
100.600433 107.367 154.0182
100.936890 107.330 154.2012
101.273346 107.310 154.4094
101.609802 107.301 154.5482
101.946259 107.289 154.5826
102.282715 107.265 154.5473
102.619171 107.228 154.5101
102.955627 107.189 154.5167
103.292084 107.160 154.5557
103.628540 107.147 154.5681
103.964996 107.146 154.4959
104.301453 107.146 154.3339
104.637909 107.135 154.1447
104.974365 107.110 154.0269
105.310822 107.079 154.0545
105.647278 107.054 154.2265
105.983734 107.046 154.4587
106.320190 107.051 154.6305
106.656647 107.057 154.6572
106.993103 107.048 154.5385
107.329559 107.015 154.3526
107.666016 106.962 154.2054
108.002472 106.903 154.1661
108.338928 106.855 154.2293
108.675385 106.828 154.3261
109.011841 106.820 154.3785
109.348297 106.818 154.3547
109.684753 106.812 154.2845
110.021210 106.799 154.2282
110.357666 106.782 154.2269
110.694122 106.768 154.2721
111.030579 106.760 154.3180
111.367035 106.754 154.3243
111.703491 106.744 154.2933
112.039948 106.725 154.2694
112.376404 106.702 154.3023
112.712860 106.683 154.4022
113.049316 106.675 154.5256
113.385773 106.678 154.6046
113.722229 106.683 154.5991
114.058685 106.678 154.5269
114.395142 106.661 154.4519
114.731598 106.633 154.4383
115.068054 106.602 154.5090
115.404510 106.577 154.6393
115.740967 106.555 154.7879
116.077423 106.533 154.9371
116.413879 106.509 155.1026
116.750336 106.488 155.3039
117.086792 106.480 155.5200
117.423248 106.492 155.6748
117.759705 106.519 155.6752
118.096161 106.548 155.4786
118.432617 106.558 155.1380
118.769073 106.538 154.7885
119.105530 106.491 154.5831
119.441986 106.433 154.6142
119.778442 106.381 154.8624
120.114899 106.350 155.2081
120.451355 106.337 155.5010
120.787811 106.330 155.6417
121.124268 106.316 155.6209
121.460724 106.289 155.5012
121.797180 106.254 155.3648
122.133636 106.225 155.2651
122.470093 106.212 155.2061
122.806549 106.219 155.1562
123.143005 106.240 155.0828
123.479462 106.263 154.9826
123.815918 106.275 154.8893
124.152374 106.272 154.8563
124.488831 106.256 154.9257
124.825287 106.236 155.0992
125.161743 106.222 155.3292
125.498199 106.219 155.5373
125.834656 106.224 155.6552
126.171112 106.230 155.6608
126.507568 106.230 155.5861
126.844025 106.219 155.4922
127.180481 106.202 155.4293
127.516937 106.183 155.4089
127.853394 106.164 155.4079
128.189850 106.145 155.3979
128.526306 106.122 155.3752
128.862762 106.094 155.3624
129.199219 106.065 155.3827
129.535675 106.044 155.4302
129.872131 106.033 155.4684
130.208588 106.029 155.4620
130.545044 106.024 155.4155
130.881500 106.013 155.3790
131.217957 105.998 155.4080
131.554413 105.990 155.5071
131.890869 105.996 155.6068
132.227325 106.012 155.6063
132.563782 106.022 155.4542
132.900238 106.008 155.2034
133.236694 105.966 154.9884
133.573151 105.908 154.9391
133.909607 105.857 155.0858
134.246063 105.834 155.3290
134.582520 105.837 155.5099
134.918976 105.848 155.5323
135.255432 105.847 155.4321
135.591888 105.824 155.3393
135.928345 105.791 155.3698
136.264801 105.767 155.5302
136.601257 105.765 155.7124
136.937714 105.778 155.7886
137.274170 105.786 155.7229
137.610626 105.773 155.6022
137.947083 105.741 155.5632
138.283539 105.706 155.6775
138.619995 105.690 155.8868
138.956451 105.695 156.0483
139.292908 105.707 156.0562
139.629364 105.703 155.9323
139.965820 105.674 155.8064
140.302277 105.629 155.8079
140.638733 105.591 155.9575
140.975189 105.576 156.1461
141.311646 105.579 156.2305
141.648102 105.582 156.1634
141.984558 105.565 156.0408
142.321014 105.531 156.0264
142.657471 105.502 156.2137
142.993927 105.502 156.5359
143.330383 105.532 156.8079
143.666840 105.571 156.8805
144.003296 105.584 156.7698
144.339752 105.551 156.6492
144.676208 105.483 156.7174
145.012665 105.413 157.0349
145.349121 105.376 157.4504
145.685577 105.376 157.7010
146.022034 105.385 157.6227
146.358490 105.370 157.2894
146.694946 105.316 156.9658
147.031403 105.248 156.9173
147.367859 105.212 157.1991
147.704315 105.241 157.5811
148.040771 105.322 157.7129
148.377228 105.398 157.4177
148.713684 105.410 156.8537
149.050140 105.333 156.4356
149.386597 105.203 156.5869
149.723053 105.100 157.4294
150.059509 105.104 158.5928
150.395966 105.223 159.4001
150.732422 105.381 159.3734
151.068878 105.476 158.5776
151.405334 105.442 157.5518
151.741791 105.290 157.0049
152.078247 105.109 157.4299
152.414703 105.024 158.7169
152.751160 105.111 160.0859
153.087616 105.320 160.6387
153.424072 105.519 160.0563
153.760529 105.588 158.7441
154.096985 105.486 157.5198
154.433441 105.267 157.1982
154.769897 105.069 158.1356
155.106354 105.036 159.8514
155.442810 105.203 161.2374
155.779266 105.462 161.4347
156.115723 105.654 160.4307
156.452179 105.678 158.8963
156.788635 105.527 157.7368
157.125092 105.291 157.6617
157.461548 105.119 158.7646
157.798004 105.125 160.3309
