* Measurement data measured by REW V5.20.9
* Source: Головной телефон (TX 384Khz HiFi Audio), MICROPHONE (Общая громкость), R, volume: 0,250. Timing signal peak level 0,0 dBFS, measurement signal peak level zero
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 11.09.2022 12:51:47
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Hodur + Final
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 127.740 -121.2744
20.287556 127.753 -121.4480
20.434568 127.772 -121.7039
20.582645 127.795 -122.0181
20.731796 127.821 -122.3706
20.882027 127.849 -122.7467
21.033346 127.879 -123.1374
21.185763 127.909 -123.5372
21.339284 127.939 -123.9431
21.493917 127.970 -124.3534
21.649671 128.001 -124.7669
21.806553 128.031 -125.1827
21.964572 128.062 -125.6000
22.123737 128.092 -126.0179
22.284054 128.122 -126.4355
22.445534 128.152 -126.8519
22.608183 128.181 -127.2665
22.772012 128.210 -127.6788
22.937027 128.239 -128.0885
23.103238 128.267 -128.4957
23.270654 128.295 -128.9005
23.439282 128.322 -129.3031
23.609133 128.349 -129.7040
23.780215 128.376 -130.1035
23.952536 128.402 -130.5020
24.126106 128.428 -130.8995
24.300934 128.454 -131.2964
24.477028 128.479 -131.6926
24.654399 128.504 -132.0882
24.833055 128.529 -132.4831
25.013005 128.553 -132.8775
25.194260 128.577 -133.2715
25.376828 128.601 -133.6651
25.560719 128.625 -134.0588
25.745942 128.648 -134.4525
25.932508 128.672 -134.8464
26.120426 128.695 -135.2406
26.309705 128.717 -135.6348
26.500356 128.740 -136.0290
26.692388 128.762 -136.4227
26.885812 128.784 -136.8158
27.080638 128.806 -137.2080
27.276876 128.828 -137.5994
27.474535 128.849 -137.9900
27.673627 128.871 -138.3801
27.874161 128.892 -138.7699
28.076149 128.913 -139.1596
28.279600 128.933 -139.5491
28.484526 128.953 -139.9379
28.690937 128.971 -140.3252
28.898843 128.988 -140.7101
29.108256 129.005 -141.0914
29.319186 129.020 -141.4684
29.531645 129.035 -141.8404
29.745644 129.049 -142.2079
29.961193 129.063 -142.5714
30.178304 129.077 -142.9326
30.396989 129.091 -143.2929
30.617258 129.106 -143.6542
30.839123 129.121 -144.0175
31.062596 129.136 -144.3834
31.287688 129.151 -144.7513
31.514412 129.165 -145.1204
31.742778 129.180 -145.4891
31.972800 129.194 -145.8562
32.204488 129.207 -146.2208
32.437855 129.221 -146.5827
32.672913 129.234 -146.9426
32.909674 129.247 -147.3017
33.148151 129.260 -147.6611
33.388356 129.273 -148.0218
33.630302 129.285 -148.3842
33.874001 129.296 -148.7476
34.119466 129.307 -149.1113
34.366710 129.316 -149.4739
34.615745 129.326 -149.8347
34.866585 129.335 -150.1929
35.119243 129.344 -150.5486
35.373731 129.353 -150.9018
35.630064 129.363 -151.2525
35.888254 129.371 -151.6005
36.148315 129.380 -151.9449
36.410261 129.389 -152.2849
36.674104 129.398 -152.6196
36.939860 129.407 -152.9494
37.207542 129.417 -153.2753
37.477163 129.427 -153.5993
37.748738 129.439 -153.9238
38.022281 129.451 -154.2504
38.297806 129.463 -154.5800
38.575327 129.476 -154.9120
38.854860 129.488 -155.2448
39.136419 129.500 -155.5768
39.420017 129.512 -155.9070
39.705671 129.523 -156.2357
39.993395 129.535 -156.5646
40.283203 129.547 -156.8962
40.575112 129.558 -157.2326
40.869136 129.569 -157.5747
41.165290 129.578 -157.9218
41.463591 129.586 -158.2717
41.764053 129.593 -158.6216
42.066693 129.598 -158.9690
42.371525 129.603 -159.3127
42.678567 129.608 -159.6526
42.987834 129.613 -159.9899
43.299341 129.617 -160.3260
43.613106 129.622 -160.6621
43.929145 129.626 -160.9986
44.247473 129.630 -161.3353
44.568109 129.634 -161.6717
44.891068 129.637 -162.0075
45.216367 129.641 -162.3423
45.544023 129.643 -162.6759
45.874054 129.646 -163.0082
46.206476 129.648 -163.3394
46.541307 129.650 -163.6697
46.878565 129.651 -163.9998
47.218266 129.652 -164.3305
47.560429 129.652 -164.6620
47.905072 129.652 -164.9938
48.252212 129.651 -165.3243
48.601867 129.650 -165.6515
48.954056 129.648 -165.9733
49.308798 129.647 -166.2892
49.666109 129.646 -166.6001
50.026010 129.646 -166.9082
50.388520 129.647 -167.2159
50.753656 129.647 -167.5248
51.121437 129.647 -167.8354
51.491884 129.647 -168.1471
51.865016 129.645 -168.4589
52.240851 129.643 -168.7699
52.619410 129.641 -169.0799
53.000712 129.638 -169.3889
53.384777 129.636 -169.6969
53.771625 129.632 -170.0038
54.161276 129.629 -170.3098
54.553751 129.625 -170.6147
54.949070 129.621 -170.9189
55.347254 129.617 -171.2224
55.748323 129.612 -171.5253
56.152298 129.607 -171.8276
56.559201 129.602 -172.1289
56.969052 129.597 -172.4292
57.381873 129.591 -172.7283
57.797686 129.586 -173.0261
58.216512 129.580 -173.3226
58.638373 129.574 -173.6176
59.063291 129.567 -173.9116
59.491288 129.561 -174.2049
59.922386 129.554 -174.4980
60.356608 129.547 -174.7911
60.793977 129.540 -175.0839
61.234515 129.532 -175.3761
61.678246 129.524 -175.6674
62.125192 129.516 -175.9575
62.575377 129.508 -176.2466
63.028824 129.499 -176.5347
63.485557 129.491 -176.8218
63.945599 129.482 -177.1079
64.408975 129.473 -177.3929
64.875709 129.463 -177.6769
65.345825 129.454 -177.9598
65.819348 129.444 -178.2418
66.296302 129.434 -178.5228
66.776713 129.423 -178.8025
67.260604 129.412 -179.0811
67.748002 129.401 -179.3585
68.238932 129.390 -179.6349
68.733420 129.379 -179.9107
69.231490 129.367 179.8142
69.733170 129.355 179.5398
70.238485 129.343 179.2662
70.747463 129.330 178.9934
71.260128 129.318 178.7217
71.776508 129.305 178.4511
72.296630 129.292 178.1813
72.820521 129.278 177.9123
73.348209 129.265 177.6439
73.879720 129.251 177.3761
74.415083 129.237 177.1092
74.954326 129.222 176.8433
75.497475 129.208 176.5787
76.044561 129.193 176.3155
76.595612 129.178 176.0538
77.150655 129.162 175.7938
77.709720 129.147 175.5353
78.272837 129.131 175.2779
78.840034 129.115 175.0214
79.411342 129.098 174.7656
79.986789 129.082 174.5106
80.566406 129.065 174.2567
81.150224 129.048 174.0039
81.738272 129.030 173.7522
82.330581 129.013 173.5014
82.927182 128.995 173.2516
83.528107 128.977 173.0030
84.133386 128.959 172.7554
84.743051 128.940 172.5088
85.357134 128.921 172.2632
85.975667 128.902 172.0186
86.598682 128.883 171.7753
87.226212 128.863 171.5332
87.858289 128.843 171.2923
88.494946 128.823 171.0526
89.136217 128.803 170.8141
89.782135 128.782 170.5768
90.432733 128.762 170.3407
91.088046 128.741 170.1058
91.748108 128.719 169.8723
92.412952 128.698 169.6401
93.082615 128.676 169.4095
93.757130 128.654 169.1806
94.436533 128.631 168.9534
95.120859 128.609 168.7277
95.810144 128.586 168.5033
96.504423 128.563 168.2802
97.203734 128.540 168.0584
97.908112 128.517 167.8380
98.617595 128.494 167.6191
99.332219 128.470 167.4016
100.052021 128.446 167.1853
100.777039 128.422 166.9696
101.507311 128.397 166.7542
102.242875 128.373 166.5390
102.983769 128.348 166.3244
103.730032 128.322 166.1113
104.481702 128.297 165.9002
105.238820 128.271 165.6914
106.001424 128.245 165.4845
106.769554 128.219 165.2793
107.543250 128.192 165.0756
108.322553 128.166 164.8734
109.107503 128.139 164.6729
109.898141 128.112 164.4739
110.694508 128.084 164.2765
111.496646 128.057 164.0803
112.304596 128.029 163.8853
113.118402 128.001 163.6916
113.938104 127.973 163.4993
114.763747 127.945 163.3089
115.595372 127.916 163.1204
116.433024 127.887 162.9337
117.276746 127.858 162.7483
118.126581 127.829 162.5637
118.982575 127.800 162.3798
119.844772 127.770 162.1964
120.713217 127.740 162.0135
121.587954 127.710 161.8317
122.469031 127.679 161.6514
123.356492 127.648 161.4730
124.250384 127.617 161.2964
125.150753 127.585 161.1214
126.057647 127.554 160.9475
126.971113 127.522 160.7746
127.891198 127.490 160.6027
128.817950 127.457 160.4321
129.751418 127.424 160.2632
130.691651 127.391 160.0961
131.638696 127.358 159.9310
132.592604 127.323 159.7679
133.553425 127.289 159.6065
134.521208 127.253 159.4466
135.496004 127.217 159.2878
136.477864 127.181 159.1307
137.466839 127.144 158.9760
138.462981 127.106 158.8244
139.466340 127.069 158.6761
140.476971 127.030 158.5310
141.494925 126.992 158.3893
142.520256 126.952 158.2517
143.553016 126.912 158.1189
144.593260 126.872 157.9912
145.641043 126.830 157.8690
146.696418 126.789 157.7521
147.759441 126.747 157.6406
148.830166 126.704 157.5341
149.908651 126.661 157.4327
150.994951 126.617 157.3366
152.089123 126.573 157.2464
153.191223 126.527 157.1632
154.301310 126.481 157.0886
155.419441 126.434 157.0246
156.545674 126.386 156.9734
157.680069 126.337 156.9381
158.822683 126.288 156.9215
159.973578 126.238 156.9271
161.132813 126.188 156.9583
162.300447 126.140 157.0179
163.476543 126.093 157.1079
164.661162 126.050 157.2287
165.854364 126.011 157.3782
167.056213 125.977 157.5518
168.266772 125.951 157.7411
169.486102 125.932 157.9352
170.714268 125.922 158.1199
171.951334 125.920 158.2806
173.197364 125.925 158.4030
174.452424 125.935 158.4758
175.716578 125.949 158.4917
176.989893 125.964 158.4482
178.272434 125.977 158.3472
179.564270 125.988 158.1949
180.865467 125.995 158.0004
182.176092 125.995 157.7742
183.496216 125.990 157.5274
184.825905 125.979 157.2697
186.165229 125.962 157.0092
187.514259 125.941 156.7523
188.873065 125.915 156.5040
190.241717 125.885 156.2673
191.620287 125.852 156.0440
193.008847 125.817 155.8348
194.407468 125.780 155.6394
195.816225 125.742 155.4573
197.235190 125.702 155.2876
198.664438 125.662 155.1294
200.104042 125.621 154.9817
201.554078 125.579 154.8436
203.014622 125.538 154.7145
204.485750 125.496 154.5939
205.967538 125.454 154.4813
207.460064 125.411 154.3762
208.963405 125.369 154.2780
210.477640 125.326 154.1860
212.002848 125.284 154.0997
213.539108 125.241 154.0188
215.086500 125.199 153.9429
216.645105 125.156 153.8718
218.215005 125.114 153.8051
219.796281 125.071 153.7426
221.389015 125.029 153.6841
222.993292 124.986 153.6295
224.609193 124.943 153.5782
226.236804 124.901 153.5305
227.876209 124.858 153.4861
229.527494 124.816 153.4451
231.190745 124.773 153.4073
232.866048 124.731 153.3727
234.553491 124.688 153.3412
236.253163 124.646 153.3131
237.965150 124.603 153.2880
239.689544 124.561 153.2658
241.426433 124.519 153.2466
243.175909 124.477 153.2301
244.938062 124.435 153.2163
246.712984 124.392 153.2052
248.500768 124.350 153.1969
250.301507 124.308 153.1917
252.115295 124.266 153.1898
253.942226 124.223 153.1911
255.782396 124.181 153.1956
257.635901 124.139 153.2028
259.502837 124.096 153.2124
261.383301 124.054 153.2243
263.277392 124.012 153.2384
265.185209 123.970 153.2548
267.106850 123.928 153.2734
269.042417 123.886 153.2945
270.992009 123.844 153.3179
272.955729 123.802 153.3436
274.933678 123.760 153.3714
276.925961 123.718 153.4013
278.932681 123.676 153.4334
280.953942 123.635 153.4678
282.989850 123.593 153.5046
285.040511 123.551 153.5439
287.106032 123.510 153.5860
289.186521 123.468 153.6307
291.282086 123.426 153.6779
293.392836 123.385 153.7278
295.518881 123.343 153.7801
297.660333 123.301 153.8351
299.817302 123.259 153.8926
301.989902 123.218 153.9528
304.178245 123.176 154.0154
306.382446 123.134 154.0804
308.602620 123.092 154.1480
310.838882 123.051 154.2184
313.091348 123.009 154.2918
315.360137 122.967 154.3683
317.645367 122.925 154.4479
319.947156 122.884 154.5305
322.265625 122.842 154.6161
324.600895 122.800 154.7047
326.953086 122.759 154.7962
329.322323 122.718 154.8907
331.708729 122.676 154.9881
334.112427 122.635 155.0884
336.533543 122.594 155.1916
338.972204 122.554 155.2977
341.428536 122.513 155.4065
343.902668 122.473 155.5181
346.394729 122.433 155.6321
348.904848 122.392 155.7487
351.433156 122.352 155.8676
353.979786 122.312 155.9893
356.544869 122.272 156.1141
359.128540 122.233 156.2423
361.730934 122.193 156.3741
364.352185 122.154 156.5096
366.992431 122.115 156.6487
369.651810 122.076 156.7910
