* Measurement data measured by REW V5.20.9
* Source: Головной телефон (TX 384Khz HiFi Audio), MICROPHONE (Общая громкость), R, volume: 0,250. Timing signal peak level 0,0 dBFS, measurement signal peak level zero
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 11.09.2022 12:49:42
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Kinera Hodur
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 127.627 -121.7506
20.287556 127.639 -121.9241
20.434568 127.658 -122.1804
20.582645 127.681 -122.4961
20.731796 127.707 -122.8512
20.882027 127.735 -123.2313
21.033346 127.763 -123.6272
21.185763 127.792 -124.0330
21.339284 127.821 -124.4451
21.493917 127.850 -124.8612
21.649671 127.880 -125.2795
21.806553 127.909 -125.6989
21.964572 127.938 -126.1178
22.123737 127.967 -126.5355
22.284054 127.996 -126.9510
22.445534 128.025 -127.3638
22.608183 128.055 -127.7738
22.772012 128.084 -128.1810
22.937027 128.113 -128.5858
23.103238 128.142 -128.9889
23.270654 128.171 -129.3909
23.439282 128.199 -129.7925
23.609133 128.227 -130.1943
23.780215 128.254 -130.5965
23.952536 128.281 -130.9995
24.126106 128.307 -131.4032
24.300934 128.332 -131.8075
24.477028 128.357 -132.2120
24.654399 128.381 -132.6165
24.833055 128.404 -133.0209
25.013005 128.428 -133.4250
25.194260 128.451 -133.8287
25.376828 128.473 -134.2321
25.560719 128.496 -134.6349
25.745942 128.519 -135.0370
25.932508 128.541 -135.4381
26.120426 128.563 -135.8377
26.309705 128.586 -136.2352
26.500356 128.607 -136.6300
26.692388 128.629 -137.0215
26.885812 128.651 -137.4096
27.080638 128.672 -137.7943
27.276876 128.694 -138.1760
27.474535 128.715 -138.5555
27.673627 128.737 -138.9338
27.874161 128.758 -139.3118
28.076149 128.779 -139.6906
28.279600 128.799 -140.0706
28.484526 128.819 -140.4522
28.690937 128.839 -140.8353
28.898843 128.858 -141.2193
29.108256 128.875 -141.6035
29.319186 128.893 -141.9871
29.531645 128.909 -142.3696
29.745644 128.926 -142.7506
29.961193 128.942 -143.1301
30.178304 128.958 -143.5082
30.396989 128.974 -143.8854
30.617258 128.990 -144.2622
30.839123 129.006 -144.6387
31.062596 129.022 -145.0152
31.287688 129.038 -145.3914
31.514412 129.053 -145.7669
31.742778 129.068 -146.1412
31.972800 129.083 -146.5138
32.204488 129.098 -146.8842
32.437855 129.112 -147.2523
32.672913 129.126 -147.6182
32.909674 129.139 -147.9822
33.148151 129.152 -148.3448
33.388356 129.165 -148.7066
33.630302 129.178 -149.0681
33.874001 129.191 -149.4298
34.119466 129.203 -149.7917
34.366710 129.215 -150.1541
34.615745 129.226 -150.5166
34.866585 129.237 -150.8790
35.119243 129.248 -151.2410
35.373731 129.259 -151.6022
35.630064 129.269 -151.9624
35.888254 129.280 -152.3214
36.148315 129.289 -152.6791
36.410261 129.299 -153.0355
36.674104 129.309 -153.3905
36.939860 129.318 -153.7443
37.207542 129.327 -154.0968
37.477163 129.335 -154.4481
37.748738 129.344 -154.7982
38.022281 129.352 -155.1471
38.297806 129.359 -155.4951
38.575327 129.367 -155.8421
38.854860 129.374 -156.1886
39.136419 129.381 -156.5344
39.420017 129.388 -156.8797
39.705671 129.395 -157.2244
39.993395 129.401 -157.5686
40.283203 129.407 -157.9120
40.575112 129.413 -158.2547
40.869136 129.419 -158.5965
41.165290 129.424 -158.9375
41.463591 129.429 -159.2777
41.764053 129.434 -159.6173
42.066693 129.439 -159.9563
42.371525 129.443 -160.2948
42.678567 129.447 -160.6328
42.987834 129.450 -160.9702
43.299341 129.454 -161.3066
43.613106 129.457 -161.6418
43.929145 129.460 -161.9755
44.247473 129.462 -162.3078
44.568109 129.465 -162.6386
44.891068 129.467 -162.9682
45.216367 129.469 -163.2971
45.544023 129.471 -163.6256
45.874054 129.472 -163.9539
46.206476 129.473 -164.2820
46.541307 129.474 -164.6102
46.878565 129.475 -164.9385
47.218266 129.476 -165.2669
47.560429 129.476 -165.5953
47.905072 129.477 -165.9231
48.252212 129.477 -166.2492
48.601867 129.476 -166.5725
48.954056 129.475 -166.8919
49.308798 129.474 -167.2072
49.666109 129.472 -167.5191
50.026010 129.471 -167.8292
50.388520 129.469 -168.1393
50.753656 129.467 -168.4507
51.121437 129.465 -168.7640
51.491884 129.463 -169.0789
51.865016 129.460 -169.3943
52.240851 129.457 -169.7094
52.619410 129.453 -170.0233
53.000712 129.450 -170.3357
53.384777 129.446 -170.6463
53.771625 129.441 -170.9553
54.161276 129.437 -171.2627
54.553751 129.432 -171.5688
54.949070 129.427 -171.8737
55.347254 129.422 -172.1777
55.748323 129.417 -172.4810
56.152298 129.412 -172.7836
56.559201 129.406 -173.0857
56.969052 129.400 -173.3871
57.381873 129.394 -173.6880
57.797686 129.387 -173.9884
58.216512 129.380 -174.2882
58.638373 129.373 -174.5874
59.063291 129.366 -174.8857
59.491288 129.358 -175.1828
59.922386 129.350 -175.4783
60.356608 129.342 -175.7718
60.793977 129.334 -176.0634
61.234515 129.326 -176.3535
61.678246 129.318 -176.6425
62.125192 129.309 -176.9312
62.575377 129.300 -177.2199
63.028824 129.290 -177.5085
63.485557 129.281 -177.7966
63.945599 129.271 -178.0840
64.408975 129.261 -178.3703
64.875709 129.250 -178.6553
65.345825 129.240 -178.9393
65.819348 129.229 -179.2220
66.296302 129.218 -179.5037
66.776713 129.207 -179.7843
67.260604 129.195 179.9358
67.748002 129.183 179.6564
68.238932 129.171 179.3776
68.733420 129.159 179.0992
69.231490 129.146 178.8217
69.733170 129.133 178.5452
70.238485 129.121 178.2701
70.747463 129.107 177.9964
71.260128 129.094 177.7240
71.776508 129.080 177.4527
72.296630 129.066 177.1822
72.820521 129.052 176.9125
73.348209 129.038 176.6437
73.879720 129.023 176.3763
74.415083 129.008 176.1105
74.954326 128.993 175.8464
75.497475 128.977 175.5837
76.044561 128.961 175.3219
76.595612 128.945 175.0608
77.150655 128.928 174.8002
77.709720 128.912 174.5403
78.272837 128.895 174.2809
78.840034 128.878 174.0223
79.411342 128.861 173.7647
79.986789 128.844 173.5082
80.566406 128.826 173.2527
81.150224 128.808 172.9982
81.738272 128.789 172.7451
82.330581 128.771 172.4933
82.927182 128.752 172.2432
83.528107 128.733 171.9944
84.133386 128.713 171.7469
84.743051 128.694 171.5008
85.357134 128.674 171.2561
85.975667 128.654 171.0129
86.598682 128.634 170.7710
87.226212 128.613 170.5304
87.858289 128.593 170.2910
88.494946 128.572 170.0528
89.136217 128.550 169.8159
89.782135 128.529 169.5801
90.432733 128.507 169.3453
91.088046 128.485 169.1117
91.748108 128.463 168.8796
92.412952 128.441 168.6496
93.082615 128.418 168.4215
93.757130 128.395 168.1954
94.436533 128.372 167.9708
95.120859 128.349 167.7474
95.810144 128.326 167.5247
96.504423 128.303 167.3026
97.203734 128.279 167.0809
97.908112 128.256 166.8597
98.617595 128.232 166.6395
99.332219 128.208 166.4204
100.052021 128.184 166.2030
100.777039 128.159 165.9872
101.507311 128.134 165.7727
102.242875 128.109 165.5593
102.983769 128.083 165.3467
103.730032 128.058 165.1351
104.481702 128.032 164.9247
105.238820 128.005 164.7156
106.001424 127.979 164.5077
106.769554 127.952 164.3010
107.543250 127.925 164.0956
108.322553 127.898 163.8914
109.107503 127.871 163.6883
109.898141 127.843 163.4865
110.694508 127.816 163.2861
111.496646 127.788 163.0872
112.304596 127.760 162.8899
113.118402 127.731 162.6943
113.938104 127.703 162.5005
114.763747 127.674 162.3083
115.595372 127.645 162.1176
116.433024 127.615 161.9280
117.276746 127.585 161.7395
118.126581 127.556 161.5521
118.982575 127.525 161.3659
119.844772 127.495 161.1811
120.713217 127.464 160.9979
121.587954 127.433 160.8162
122.469031 127.402 160.6360
123.356492 127.370 160.4571
124.250384 127.338 160.2797
125.150753 127.306 160.1039
126.057647 127.274 159.9296
126.971113 127.241 159.7568
127.891198 127.208 159.5857
128.817950 127.175 159.4163
129.751418 127.141 159.2486
130.691651 127.108 159.0824
131.638696 127.074 158.9177
132.592604 127.039 158.7548
133.553425 127.005 158.5942
134.521208 126.970 158.4360
135.496004 126.935 158.2796
136.477864 126.900 158.1248
137.466839 126.864 157.9711
138.462981 126.828 157.8190
139.466340 126.791 157.6688
140.476971 126.754 157.5210
141.494925 126.717 157.3759
142.520256 126.679 157.2336
143.553016 126.640 157.0940
144.593260 126.602 156.9572
145.641043 126.563 156.8233
146.696418 126.523 156.6922
147.759441 126.484 156.5638
148.830166 126.444 156.4380
149.908651 126.404 156.3150
150.994951 126.363 156.1948
152.089123 126.321 156.0774
153.191223 126.279 155.9630
154.301310 126.236 155.8521
155.419441 126.193 155.7453
156.545674 126.149 155.6436
157.680069 126.103 155.5476
158.822683 126.057 155.4584
159.973578 126.010 155.3769
161.132813 125.962 155.3044
162.300447 125.913 155.2429
163.476543 125.863 155.1944
164.661162 125.812 155.1614
165.854364 125.761 155.1465
167.056213 125.709 155.1528
168.266772 125.657 155.1833
169.486102 125.606 155.2408
170.714268 125.557 155.3278
171.951334 125.510 155.4453
173.197364 125.467 155.5925
174.452424 125.429 155.7659
175.716578 125.398 155.9591
176.989893 125.374 156.1620
178.272434 125.359 156.3612
179.564270 125.352 156.5406
180.865467 125.354 156.6835
182.176092 125.361 156.7754
183.496216 125.373 156.8066
184.825905 125.387 156.7735
186.165229 125.399 156.6786
187.514259 125.407 156.5297
188.873065 125.411 156.3374
190.241717 125.408 156.1143
191.620287 125.398 155.8728
193.008847 125.383 155.6241
194.407468 125.362 155.3769
195.816225 125.335 155.1378
197.235190 125.305 154.9106
198.664438 125.271 154.6974
200.104042 125.234 154.4987
201.554078 125.196 154.3149
203.014622 125.156 154.1454
204.485750 125.114 153.9898
205.967538 125.072 153.8470
207.460064 125.030 153.7158
208.963405 124.987 153.5954
210.477640 124.944 153.4846
212.002848 124.900 153.3827
213.539108 124.856 153.2889
215.086500 124.812 153.2028
216.645105 124.768 153.1238
218.215005 124.724 153.0517
219.796281 124.680 152.9859
221.389015 124.636 152.9261
222.993292 124.592 152.8719
224.609193 124.548 152.8227
226.236804 124.505 152.7777
227.876209 124.462 152.7363
229.527494 124.418 152.6978
231.190745 124.375 152.6622
232.866048 124.332 152.6296
234.553491 124.289 152.6001
236.253163 124.246 152.5739
237.965150 124.203 152.5509
239.689544 124.160 152.5311
241.426433 124.117 152.5143
243.175909 124.074 152.5006
244.938062 124.031 152.4901
246.712984 123.988 152.4827
248.500768 123.945 152.4780
250.301507 123.902 152.4758
252.115295 123.859 152.4760
253.942226 123.817 152.4786
255.782396 123.774 152.4838
257.635901 123.731 152.4916
259.502837 123.688 152.5022
261.383301 123.646 152.5153
263.277392 123.603 152.5311
265.185209 123.560 152.5496
267.106850 123.517 152.5711
269.042417 123.475 152.5955
270.992009 123.432 152.6226
272.955729 123.389 152.6524
274.933678 123.347 152.6845
276.925961 123.304 152.7188
278.932681 123.261 152.7552
280.953942 123.219 152.7940
282.989850 123.176 152.8353
285.040511 123.134 152.8794
287.106032 123.091 152.9263
289.186521 123.049 152.9758
291.282086 123.007 153.0281
293.392836 122.964 153.0828
295.518881 122.922 153.1400
297.660333 122.880 153.1998
299.817302 122.838 153.2622
301.989902 122.796 153.3272
304.178245 122.754 153.3946
306.382446 122.712 153.4644
308.602620 122.671 153.5365
310.838882 122.629 153.6108
313.091348 122.587 153.6876
315.360137 122.545 153.7667
317.645367 122.503 153.8483
319.947156 122.462 153.9323
322.265625 122.420 154.0187
324.600895 122.378 154.1074
326.953086 122.337 154.1982
329.322323 122.295 154.2914
331.708729 122.253 154.3871
334.112427 122.212 154.4854
336.533543 122.170 154.5867
338.972204 122.129 154.6909
341.428536 122.088 154.7980
343.902668 122.046 154.9080
346.394729 122.005 155.0205
348.904848 121.964 155.1354
351.433156 121.923 155.2526
353.979786 121.883 155.3724
356.544869 121.842 155.4949
359.128540 121.801 155.6203
361.730934 121.760 155.7488
364.352185 121.720 155.8802
366.992431 121.679 156.0148
369.651810 121.638 156.1523
