* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -20,0 dBFS with no timing reference
* Dated: 01.03.2025 14:00:06
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: MAK94
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 112.372 -176.5438
20.507813 112.321 -177.4024
20.874023 112.245 -177.9046
21.240234 112.186 -178.1545
21.606445 112.157 -178.4242
21.972656 112.135 -178.9825
22.338867 112.077 -179.9382
22.705078 111.948 178.7919
23.071289 111.747 177.4069
23.437500 111.509 176.1115
23.803711 111.298 175.0210
24.169922 111.180 174.1113
24.536133 111.193 173.2484
24.902344 111.327 172.2928
25.268555 111.526 171.2113
25.634766 111.716 170.1161
26.000977 111.832 169.2194
26.367188 111.845 168.7410
26.733399 111.763 168.8005
27.099610 111.631 169.3167
27.465821 111.499 169.9763
27.832032 111.397 170.3512
28.198243 111.328 170.1298
28.564454 111.272 169.2948
28.930665 111.220 168.1129
29.296876 111.177 166.9623
29.663087 111.158 166.1204
30.029298 111.175 165.6351
30.395509 111.218 165.3552
30.761720 111.256 165.0837
31.127931 111.256 164.7190
31.494142 111.202 164.2846
31.860353 111.108 163.8566
32.226563 111.009 163.4690
32.592774 110.938 163.0753
32.958985 110.910 162.5955
33.325196 110.913 162.0088
33.691407 110.923 161.4008
34.057618 110.919 160.9228
34.423829 110.896 160.6922
34.790040 110.867 160.7015
35.156251 110.845 160.7960
35.522462 110.831 160.7472
35.888673 110.813 160.3813
36.254884 110.772 159.6794
36.621095 110.696 158.7877
36.987306 110.592 157.9420
37.353517 110.483 157.3485
37.719728 110.400 157.0760
38.085939 110.365 157.0207
38.452150 110.375 156.9778
38.818361 110.406 156.7764
39.184572 110.426 156.3770
39.550783 110.415 155.8685
39.916994 110.374 155.3889
40.283205 110.321 155.0286
40.649416 110.279 154.7748
41.015627 110.260 154.5312
41.381838 110.254 154.1996
41.748049 110.241 153.7582
42.114260 110.202 153.2808
42.480471 110.133 152.8854
42.846682 110.046 152.6522
43.212893 109.965 152.5596
43.579103 109.908 152.4843
43.945314 109.879 152.2763
44.311525 109.864 151.8654
44.677736 109.846 151.3204
45.043947 109.812 150.8193
45.410158 109.769 150.5475
45.776369 109.736 150.5764
46.142580 109.728 150.8000
46.508791 109.744 150.9850
46.875002 109.757 150.9155
47.241213 109.734 150.5279
47.607424 109.651 149.9409
47.973635 109.517 149.3770
48.339846 109.369 149.0262
48.706057 109.257 148.9248
49.072268 109.217 148.9285
49.438479 109.246 148.8202
49.804690 109.310 148.4725
50.170901 109.364 147.9271
50.537112 109.375 147.3459
50.903323 109.337 146.8984
51.269534 109.268 146.6674
51.635745 109.188 146.6205
52.001956 109.119 146.6523
52.368167 109.066 146.6622
52.734378 109.031 146.6047
53.100589 109.010 146.4868
53.466800 108.999 146.3313
53.833011 108.992 146.1505
54.199222 108.979 145.9504
54.565432 108.948 145.7496
54.931643 108.896 145.5850
55.297854 108.828 145.4913
55.664065 108.759 145.4691
56.030276 108.703 145.4697
56.396487 108.668 145.4175
56.762698 108.652 145.2581
57.128909 108.643 144.9952
57.495120 108.631 144.6906
57.861331 108.612 144.4272
58.227542 108.587 144.2635
58.593753 108.563 144.2062
58.959964 108.543 144.2151
59.326175 108.528 144.2310
59.692386 108.516 144.2086
60.058597 108.501 144.1318
60.424808 108.480 144.0092
60.791019 108.452 143.8589
61.157230 108.420 143.6979
61.523441 108.383 143.5402
61.889652 108.345 143.4023
62.255863 108.307 143.3036
62.622074 108.275 143.2584
62.988285 108.254 143.2610
63.354496 108.248 143.2797
63.720707 108.254 143.2651
64.086918 108.266 143.1756
64.453129 108.272 143.0003
64.819340 108.266 142.7656
65.185551 108.245 142.5184
65.551762 108.216 142.2983
65.917972 108.187 142.1152
66.284183 108.167 141.9481
66.650394 108.156 141.7642
67.016605 108.150 141.5446
67.382816 108.144 141.2954
67.749027 108.133 141.0400
68.115238 108.114 140.7999
68.481449 108.089 140.5805
68.847660 108.059 140.3713
69.213871 108.027 140.1581
69.580082 107.992 139.9358
69.946293 107.956 139.7116
70.312504 107.922 139.4986
70.678715 107.891 139.3056
71.044926 107.865 139.1320
71.411137 107.841 138.9701
71.777348 107.817 138.8123
72.143559 107.791 138.6553
72.509770 107.763 138.5004
72.875981 107.733 138.3495
73.242192 107.703 138.2018
73.608403 107.675 138.0532
73.974614 107.649 137.8989
74.340825 107.625 137.7383
74.707036 107.600 137.5782
75.073247 107.572 137.4305
75.439458 107.542 137.3052
75.805669 107.512 137.2020
76.171880 107.485 137.1051
76.538091 107.461 136.9894
76.904301 107.439 136.8356
77.270512 107.416 136.6450
77.636723 107.388 136.4434
78.002934 107.356 136.2670
78.369145 107.322 136.1402
78.735356 107.290 136.0588
79.101567 107.263 135.9927
79.467778 107.238 135.9080
79.833989 107.211 135.7917
80.200200 107.178 135.6597
80.566411 107.140 135.5419
80.932622 107.104 135.4548
81.298833 107.075 135.3852
81.665044 107.055 135.2982
82.031255 107.039 135.1656
82.397466 107.021 134.9908
82.763677 106.996 134.8102
83.129888 106.965 134.6687
83.496099 106.934 134.5875
83.862310 106.908 134.5492
84.228521 106.889 134.5115
84.594732 106.873 134.4387
84.960943 106.854 134.3266
85.327154 106.828 134.2015
85.693365 106.795 134.0965
86.059576 106.761 134.0251
86.425787 106.731 133.9713
86.791998 106.706 133.9032
87.158209 106.684 133.7976
87.524420 106.662 133.6553
87.890631 106.638 133.4982
88.256841 106.611 133.3526
88.623052 106.585 133.2336
88.989263 106.561 133.1402
89.355474 106.539 133.0620
89.721685 106.518 132.9895
90.087896 106.495 132.9199
90.454107 106.471 132.8556
90.820318 106.445 132.7994
91.186529 106.419 132.7509
91.552740 106.393 132.7043
91.918951 106.369 132.6506
92.285162 106.346 132.5813
92.651373 106.323 132.4935
93.017584 106.298 132.3932
93.383795 106.272 132.2940
93.750006 106.244 132.2092
94.116217 106.217 132.1430
94.482428 106.193 132.0870
94.848639 106.171 132.0260
95.214850 106.150 131.9504
95.581061 106.127 131.8634
95.947272 106.102 131.7782
96.313483 106.076 131.7050
96.679694 106.051 131.6421
97.045905 106.030 131.5780
97.412116 106.011 131.5038
97.778327 105.992 131.4236
98.144538 105.973 131.3522
98.510749 105.955 131.3007
98.876960 105.940 131.2628
99.243170 105.926 131.2167
99.609381 105.911 131.1423
99.975592 105.890 131.0387
100.341803 105.862 130.9273
100.708014 105.829 130.8357
101.074225 105.797 130.7759
101.440436 105.770 130.7352
101.806647 105.751 130.6874
102.172858 105.737 130.6140
102.539069 105.724 130.5170
102.905280 105.709 130.4142
103.271491 105.691 130.3220
103.637702 105.671 130.2429
104.003913 105.649 130.1680
104.370124 105.624 130.0913
104.736335 105.594 130.0205
105.102546 105.561 129.9734
105.468757 105.529 129.9628
105.834968 105.502 129.9823
106.201179 105.483 130.0054
106.567390 105.469 130.0014
106.933601 105.456 129.9550
107.299812 105.440 129.8754
107.666023 105.417 129.7885
108.032234 105.391 129.7173
108.398445 105.365 129.6677
108.764656 105.342 129.6252
109.130867 105.322 129.5685
109.497078 105.302 129.4870
109.863289 105.281 129.3900
110.229500 105.256 129.3002
110.595710 105.231 129.2369
110.961921 105.209 129.2001
111.328132 105.193 129.1688
111.694343 105.182 129.1158
112.060554 105.171 129.0287
112.426765 105.155 128.9209
112.792976 105.132 128.8245
113.159187 105.104 128.7697
113.525398 105.075 128.7643
113.891609 105.051 128.7879
114.257820 105.034 128.8038
114.624031 105.020 128.7801
114.990242 105.008 128.7052
115.356453 104.992 128.5912
115.722664 104.970 128.4668
116.088875 104.942 128.3663
116.455086 104.910 128.3187
116.821297 104.879 128.3373
117.187508 104.854 128.4084
117.553719 104.839 128.4894
117.919930 104.834 128.5210
118.286141 104.833 128.4576
118.652352 104.827 128.2977
119.018563 104.808 128.0920
119.384774 104.777 127.9209
119.750985 104.740 127.8480
120.117196 104.709 127.8802
120.483407 104.691 127.9621
120.849618 104.683 128.0129
121.215829 104.677 127.9813
121.582040 104.661 127.8754
121.948250 104.633 127.7494
122.314461 104.599 127.6581
122.680672 104.570 127.6175
123.046883 104.555 127.5989
123.413094 104.550 127.5627
123.779305 104.549 127.4997
124.145516 104.542 127.4440
124.511727 104.525 127.4459
124.877938 104.501 127.5262
125.244149 104.479 127.6491
125.610360 104.461 127.7365
125.976571 104.444 127.7167
126.342782 104.423 127.5718
126.708993 104.393 127.3485
127.075204 104.357 127.1292
127.441415 104.325 126.9839
127.807626 104.305 126.9357
128.173837 104.300 126.9594
128.540048 104.305 127.0084
128.906259 104.311 127.0483
129.272470 104.306 127.0714
129.638681 104.288 127.0885
130.004892 104.259 127.1095
130.371103 104.226 127.1288
130.737314 104.196 127.1257
131.103525 104.175 127.0760
131.469736 104.162 126.9692
131.835947 104.153 126.8181
132.202158 104.142 126.6565
132.568369 104.126 126.5272
132.934579 104.105 126.4631
133.300790 104.080 126.4724
133.667001 104.058 126.5323
134.033212 104.039 126.6003
134.399423 104.024 126.6349
134.765634 104.010 126.6169
135.131845 103.994 126.5572
135.498056 103.975 126.4859
135.864267 103.953 126.4324
136.230478 103.933 126.4081
136.596689 103.915 126.4038
136.962900 103.900 126.4005
137.329111 103.887 126.3843
137.695322 103.874 126.3530
138.061533 103.860 126.3131
138.427744 103.845 126.2722
138.793955 103.829 126.2342
139.160166 103.813 126.2010
139.526377 103.795 126.1754
139.892588 103.776 126.1603
140.258799 103.758 126.1530
140.625010 103.742 126.1429
140.991221 103.728 126.1152
141.357432 103.717 126.0626
141.723643 103.704 125.9931
142.089854 103.689 125.9282
142.456065 103.670 125.8900
142.822276 103.650 125.8867
143.188487 103.628 125.9091
143.554698 103.607 125.9385
143.920909 103.587 125.9604
144.287119 103.567 125.9703
144.653330 103.553 125.9672
145.019541 103.546 125.9437
145.385752 103.547 125.8844
145.751963 103.551 125.7789
146.118174 103.550 125.6395
146.484385 103.537 125.5057
146.850596 103.509 125.4282
147.216807 103.472 125.4370
147.583018 103.435 125.5173
147.949229 103.407 125.6114
148.315440 103.389 125.6511
148.681651 103.378 125.6006
149.047862 103.366 125.4780
149.414073 103.350 125.3421
149.780284 103.330 125.2547
150.146495 103.311 125.2452
150.512706 103.296 125.2995
150.878917 103.284 125.3779
151.245128 103.272 125.4442
151.611339 103.256 125.4837
151.977550 103.237 125.5005
152.343761 103.219 125.5012
152.709972 103.205 125.4827
153.076183 103.197 125.4366
153.442394 103.192 125.3628
153.808605 103.185 125.2797
154.174816 103.171 125.2192
154.541027 103.152 125.2075
154.907238 103.131 125.2453
155.273448 103.111 125.3040
155.639659 103.095 125.3403
156.005870 103.081 125.3228
156.372081 103.065 125.2507
156.738292 103.047 125.1540
157.104503 103.026 125.0742
157.470714 103.007 125.0410
157.836925 102.993 125.0583
158.203136 102.983 125.1073
158.569347 102.975 125.1623
158.935558 102.966 125.2054
159.301769 102.953 125.2314
159.667980 102.936 125.2415
160.034191 102.918 125.2347
160.400402 102.900 125.2054
160.766613 102.884 125.1505
161.132824 102.868 125.0778
161.499035 102.853 125.0076
161.865246 102.837 124.9641
162.231457 102.823 124.9606
162.597668 102.811 124.9920
162.963879 102.803 125.0377
163.330090 102.795 125.0753
163.696301 102.785 125.0941
164.062512 102.771 125.0977
164.428723 102.754 125.0971
164.794934 102.736 125.0991
165.161145 102.719 125.1008
165.527356 102.704 125.0944
165.893567 102.691 125.0767
166.259778 102.677 125.0555
166.625988 102.662 125.0458
166.992199 102.646 125.0587
167.358410 102.631 125.0916
167.724621 102.620 125.1273
168.090832 102.611 125.1435
168.457043 102.603 125.1273
168.823254 102.592 125.0829
169.189465 102.578 125.0296
169.555676 102.562 124.9895
169.921887 102.546 124.9743
170.288098 102.532 124.9790
170.654309 102.523 124.9869
171.020520 102.515 124.9824
171.386731 102.505 124.9627
171.752942 102.492 124.9404
172.119153 102.474 124.9350
172.485364 102.456 124.9589
172.851575 102.439 125.0078
173.217786 102.427 125.0621
173.583997 102.418 125.1002
