* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -6,4 dBFS, measurement signal peak level -5,8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 28.08.2023 15:30:22
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0239 ms (-8,2 mm, -0,32 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: classic
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 113.308 75.1908
20.523834 113.441 74.1222
20.860291 113.553 73.0268
21.196747 113.648 71.9159
21.533203 113.730 70.8302
21.869659 113.807 69.8199
22.206116 113.893 68.9070
22.542572 114.000 68.0549
22.879028 114.132 67.1720
23.215485 114.277 66.1602
23.551941 114.415 64.9806
23.888397 114.521 63.6947
24.224854 114.582 62.4515
24.561310 114.603 61.4243
24.897766 114.608 60.7209
25.234222 114.629 60.3095
25.570679 114.690 60.0124
25.907135 114.790 59.5943
26.243591 114.907 58.8962
26.580048 115.009 57.9188
26.916504 115.077 56.8059
27.252960 115.108 55.7543
27.589417 115.122 54.9077
27.925873 115.143 54.2860
28.262329 115.188 53.7886
28.598785 115.258 53.2728
28.935242 115.336 52.6489
29.271698 115.405 51.9252
29.608154 115.457 51.1778
29.944611 115.498 50.4794
30.281067 115.540 49.8418
30.617523 115.592 49.2087
30.953979 115.654 48.5039
31.290436 115.715 47.6943
31.626892 115.764 46.8211
31.963348 115.796 45.9771
32.299805 115.818 45.2508
32.636261 115.841 44.6724
32.972717 115.878 44.1985
33.309174 115.929 43.7429
33.645630 115.987 43.2328
33.982086 116.039 42.6489
34.318542 116.076 42.0266
34.654999 116.098 41.4233
34.991455 116.111 40.8792
35.327911 116.124 40.3949
35.664368 116.145 39.9366
36.000824 116.176 39.4605
36.337280 116.214 38.9390
36.673737 116.253 38.3721
37.010193 116.290 37.7823
37.346649 116.322 37.2010
37.683105 116.349 36.6562
38.019562 116.371 36.1642
38.356018 116.390 35.7261
38.692474 116.409 35.3261
39.028931 116.429 34.9347
39.365387 116.451 34.5183
39.701843 116.473 34.0535
40.038300 116.492 33.5391
40.374756 116.509 32.9966
40.711212 116.526 32.4565
41.047668 116.547 31.9391
41.384125 116.575 31.4430
41.720581 116.609 30.9521
42.057037 116.643 30.4558
42.393494 116.671 29.9663
42.729950 116.688 29.5163
43.066406 116.696 29.1344
43.402863 116.703 28.8147
43.739319 116.716 28.5067
44.075775 116.738 28.1384
44.412231 116.762 27.6635
44.748688 116.779 27.0970
45.085144 116.786 26.5136
45.421600 116.786 26.0045
45.758057 116.788 25.6204
46.094513 116.802 25.3397
46.430969 116.828 25.0862
46.767426 116.855 24.7881
47.103882 116.868 24.4323
47.440338 116.859 24.0731
47.776794 116.832 23.7872
48.113251 116.804 23.6080
48.449707 116.795 23.4840
48.786163 116.817 23.2984
49.122620 116.863 22.9434
49.459076 116.916 22.3942
49.795532 116.958 21.7278
50.131989 116.981 21.0776
50.468445 116.989 20.5581
50.804901 116.994 20.2063
51.141357 117.006 19.9717
51.477814 117.025 19.7595
51.814270 117.047 19.4940
52.150726 117.061 19.1575
52.487183 117.065 18.7832
52.823639 117.062 18.4165
53.160095 117.061 18.0785
53.496552 117.067 17.7560
53.833008 117.081 17.4205
54.169464 117.098 17.0563
54.505920 117.112 16.6759
54.842377 117.119 16.3103
55.178833 117.122 15.9867
55.515289 117.124 15.7101
55.851746 117.129 15.4615
56.188202 117.141 15.2120
56.524658 117.157 14.9389
56.861115 117.174 14.6354
57.197571 117.190 14.3073
57.534027 117.204 13.9646
57.870483 117.214 13.6151
58.206940 117.219 13.2636
58.543396 117.220 12.9137
58.879852 117.218 12.5696
59.216309 117.216 12.2350
59.552765 117.215 11.9111
59.889221 117.219 11.5966
60.225677 117.228 11.2902
60.562134 117.240 10.9937
60.898590 117.254 10.7120
61.235046 117.268 10.4501
61.571503 117.281 10.2082
61.907959 117.292 9.9791
62.244415 117.301 9.7493
62.580872 117.307 9.5051
62.917328 117.310 9.2383
63.253784 117.310 8.9507
63.590240 117.307 8.6528
63.926697 117.304 8.3585
64.263153 117.302 8.0792
64.599609 117.304 7.8174
64.936066 117.309 7.5662
65.272522 117.318 7.3134
65.608978 117.327 7.0482
65.945435 117.335 6.7682
66.281891 117.338 6.4804
66.618347 117.338 6.1974
66.954803 117.336 5.9299
67.291260 117.334 5.6808
67.627716 117.335 5.4438
67.964172 117.339 5.2083
68.300629 117.346 4.9660
68.637085 117.352 4.7152
68.973541 117.358 4.4605
69.309998 117.363 4.2082
69.646454 117.366 3.9613
69.982910 117.370 3.7180
70.319366 117.373 3.4736
70.655823 117.378 3.2244
70.992279 117.381 2.9704
71.328735 117.385 2.7153
71.665192 117.387 2.4636
72.001648 117.389 2.2190
72.338104 117.391 1.9819
72.674561 117.393 1.7506
73.011017 117.395 1.5211
73.347473 117.397 1.2893
73.683929 117.399 1.0518
74.020386 117.401 0.8076
74.356842 117.402 0.5587
74.693298 117.402 0.3100
75.029755 117.401 0.0665
75.366211 117.401 -0.1693
75.702667 117.402 -0.3989
76.039124 117.403 -0.6267
76.375580 117.405 -0.8568
76.712036 117.407 -1.0900
77.048492 117.407 -1.3229
77.384949 117.407 -1.5508
77.721405 117.406 -1.7711
78.057861 117.406 -1.9855
78.394318 117.407 -2.1992
78.730774 117.408 -2.4176
79.067230 117.409 -2.6427
79.403687 117.408 -2.8721
79.740143 117.407 -3.1006
80.076599 117.404 -3.3232
80.413055 117.402 -3.5380
80.749512 117.399 -3.7455
81.085968 117.398 -3.9487
81.422424 117.397 -4.1503
81.758881 117.397 -4.3526
82.095337 117.397 -4.5573
82.431793 117.397 -4.7650
82.768250 117.397 -4.9754
83.104706 117.396 -5.1868
83.441162 117.394 -5.3968
83.777618 117.392 -5.6028
84.114075 117.390 -5.8038
84.450531 117.388 -6.0006
84.786987 117.387 -6.1956
85.123444 117.386 -6.3913
85.459900 117.385 -6.5889
85.796356 117.384 -6.7877
86.132812 117.382 -6.9860
86.469269 117.381 -7.1826
86.805725 117.380 -7.3774
87.142181 117.379 -7.5715
87.478638 117.379 -7.7663
87.815094 117.378 -7.9619
88.151550 117.377 -8.1572
88.488007 117.375 -8.3501
88.824463 117.373 -8.5390
89.160919 117.370 -8.7241
89.497375 117.368 -8.9072
89.833832 117.366 -9.0909
90.170288 117.365 -9.2769
90.506744 117.364 -9.4647
90.843201 117.363 -9.6523
91.179657 117.362 -9.8374
91.516113 117.361 -10.0193
91.852570 117.360 -10.1994
92.189026 117.358 -10.3801
92.525482 117.356 -10.5631
92.861938 117.352 -10.7477
93.198395 117.347 -10.9314
93.534851 117.343 -11.1118
93.871307 117.339 -11.2893
94.207764 117.338 -11.4666
94.544220 117.338 -11.6471
94.880676 117.339 -11.8319
95.217133 117.340 -12.0177
95.553589 117.340 -12.1987
95.890045 117.340 -12.3709
96.226501 117.339 -12.5348
96.562958 117.339 -12.6963
96.899414 117.338 -12.8629
97.235870 117.338 -13.0385
97.572327 117.336 -13.2207
97.908783 117.333 -13.4020
98.245239 117.331 -13.5747
98.581696 117.329 -13.7366
98.918152 117.330 -13.8918
99.254608 117.331 -14.0482
99.591064 117.333 -14.2117
99.927521 117.332 -14.3824
100.263977 117.329 -14.5558
100.600433 117.324 -14.7269
100.936890 117.318 -14.8949
101.273346 117.313 -15.0643
101.609802 117.308 -15.2408
101.946259 117.304 -15.4267
102.282715 117.300 -15.6171
102.619171 117.295 -15.8020
102.955627 117.290 -15.9725
103.292084 117.286 -16.1263
103.628540 117.282 -16.2693
103.964996 117.280 -16.4121
104.301453 117.278 -16.5633
104.637909 117.274 -16.7246
104.974365 117.270 -16.8915
105.310822 117.265 -17.0576
105.647278 117.261 -17.2202
105.983734 117.259 -17.3818
106.320190 117.258 -17.5472
106.656647 117.259 -17.7182
106.993103 117.259 -17.8904
107.329559 117.257 -18.0549
107.666016 117.253 -18.2043
108.002472 117.250 -18.3388
108.338928 117.247 -18.4675
108.675385 117.245 -18.6037
109.011841 117.243 -18.7568
109.348297 117.240 -18.9268
109.684753 117.235 -19.1039
110.021210 117.228 -19.2750
110.357666 117.221 -19.4316
110.694122 117.216 -19.5741
111.030579 117.214 -19.7111
111.367035 117.213 -19.8528
111.703491 117.214 -20.0047
112.039948 117.213 -20.1647
112.376404 117.210 -20.3256
112.712860 117.206 -20.4802
113.049316 117.201 -20.6261
113.385773 117.197 -20.7662
113.722229 117.193 -20.9059
114.058685 117.190 -21.0494
114.395142 117.188 -21.1976
114.731598 117.185 -21.3482
115.068054 117.182 -21.4984
115.404510 117.178 -21.6468
115.740967 117.175 -21.7937
116.077423 117.172 -21.9399
116.413879 117.169 -22.0860
116.750336 117.166 -22.2314
117.086792 117.162 -22.3752
117.423248 117.159 -22.5173
117.759705 117.155 -22.6586
118.096161 117.152 -22.8001
118.432617 117.148 -22.9424
118.769073 117.145 -23.0849
119.105530 117.141 -23.2269
119.441986 117.138 -23.3677
119.778442 117.135 -23.5079
120.114899 117.133 -23.6487
120.451355 117.130 -23.7910
120.787811 117.128 -23.9348
121.124268 117.125 -24.0786
121.460724 117.121 -24.2204
121.797180 117.117 -24.3586
122.133636 117.113 -24.4933
122.470093 117.109 -24.6257
122.806549 117.105 -24.7580
123.143005 117.101 -24.8918
123.479462 117.098 -25.0277
123.815918 117.095 -25.1651
124.152374 117.091 -25.3028
124.488831 117.088 -25.4399
124.825287 117.084 -25.5762
125.161743 117.081 -25.7124
125.498199 117.077 -25.8491
125.834656 117.073 -25.9868
126.171112 117.069 -26.1246
126.507568 117.065 -26.2614
126.844025 117.060 -26.3960
127.180481 117.056 -26.5282
127.516937 117.052 -26.6591
127.853394 117.049 -26.7900
128.189850 117.045 -26.9222
128.526306 117.042 -27.0555
128.862762 117.039 -27.1891
129.199219 117.035 -27.3215
129.535675 117.032 -27.4524
129.872131 117.028 -27.5822
130.208588 117.025 -27.7117
130.545044 117.021 -27.8409
130.881500 117.017 -27.9688
131.217957 117.013 -28.0939
131.554413 117.009 -28.2158
131.890869 117.005 -28.3359
132.227325 117.001 -28.4575
132.563782 116.998 -28.5832
132.900238 116.995 -28.7139
133.236694 116.991 -28.8471
133.573151 116.987 -28.9790
133.909607 116.984 -29.1066
134.246063 116.980 -29.2293
134.582520 116.977 -29.3494
134.918976 116.975 -29.4696
135.255432 116.972 -29.5909
135.591888 116.968 -29.7117
135.928345 116.963 -29.8288
136.264801 116.958 -29.9414
136.601257 116.953 -30.0522
136.937714 116.949 -30.1671
137.274170 116.947 -30.2919
137.610626 116.945 -30.4285
137.947083 116.942 -30.5728
138.283539 116.938 -30.7166
138.619995 116.934 -30.8519
138.956451 116.929 -30.9753
139.292908 116.925 -31.0893
139.629364 116.921 -31.2005
139.965820 116.918 -31.3156
140.302277 116.914 -31.4373
140.638733 116.910 -31.5637
140.975189 116.904 -31.6903
141.311646 116.898 -31.8136
141.648102 116.893 -31.9328
141.984558 116.890 -32.0502
142.321014 116.888 -32.1690
142.657471 116.886 -32.2907
142.993927 116.884 -32.4143
143.330383 116.882 -32.5370
143.666840 116.878 -32.6560
144.003296 116.874 -32.7704
144.339752 116.869 -32.8821
144.676208 116.865 -32.9943
145.012665 116.861 -33.1100
145.349121 116.858 -33.2307
145.685577 116.854 -33.3552
146.022034 116.851 -33.4807
146.358490 116.847 -33.6036
146.694946 116.843 -33.7210
147.031403 116.839 -33.8323
147.367859 116.835 -33.9392
147.704315 116.831 -34.0452
148.040771 116.828 -34.1544
148.377228 116.824 -34.2691
148.713684 116.820 -34.3893
149.050140 116.815 -34.5118
149.386597 116.810 -34.6323
149.723053 116.805 -34.7475
150.059509 116.800 -34.8568
150.395966 116.797 -34.9627
150.732422 116.795 -35.0694
151.068878 116.793 -35.1804
151.405334 116.792 -35.2963
151.741791 116.789 -35.4143
152.078247 116.784 -35.5300
152.414703 116.779 -35.6399
152.751160 116.774 -35.7440
153.087616 116.769 -35.8457
153.424072 116.765 -35.9501
