* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: 1,000
* Format: 256k Log Swept Sine, 1 sweep at -20,0 dBFS with no timing reference
* Dated: 26.05.2025 16:31:03
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Oppo Enco Free 4
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 110.053 -51.3171
20.333664 110.061 -51.3357
20.481010 110.073 -51.3634
20.629424 110.086 -51.3956
20.778913 110.098 -51.4246
20.929486 110.110 -51.4407
21.081150 110.120 -51.4336
21.233912 110.130 -51.3930
21.387782 110.141 -51.3110
21.542767 110.154 -51.1834
21.698874 110.171 -51.0104
21.856113 110.193 -50.7975
22.014492 110.221 -50.5545
22.174018 110.255 -50.2944
22.334700 110.294 -50.0317
22.496546 110.338 -49.7796
22.659566 110.383 -49.5489
22.823766 110.428 -49.3454
22.989157 110.469 -49.1693
23.155745 110.505 -49.0155
23.323542 110.533 -48.8737
23.492554 110.554 -48.7306
23.662790 110.567 -48.5716
23.834261 110.573 -48.3831
24.006973 110.574 -48.1548
24.180938 110.574 -47.8817
24.356163 110.575 -47.5650
24.532658 110.579 -47.2123
24.710431 110.589 -46.8368
24.889493 110.605 -46.4552
25.069853 110.627 -46.0850
25.251519 110.655 -45.7416
25.434502 110.686 -45.4360
25.618811 110.719 -45.1730
25.804456 110.750 -44.9510
25.991445 110.779 -44.7626
26.179790 110.803 -44.5961
26.369500 110.822 -44.4377
26.560584 110.837 -44.2734
26.753053 110.849 -44.0915
26.946917 110.859 -43.8839
27.142185 110.868 -43.6467
27.338869 110.878 -43.3803
27.536977 110.890 -43.0885
27.736522 110.904 -42.7774
27.937512 110.921 -42.4535
28.139959 110.939 -42.1225
28.343872 110.958 -41.7884
28.549264 110.978 -41.4530
28.756143 110.997 -41.1164
28.964522 111.016 -40.7776
29.174411 111.033 -40.4350
29.385821 111.050 -40.0878
29.598763 111.067 -39.7361
29.813248 111.085 -39.3811
30.029287 111.103 -39.0248
30.246891 111.122 -38.6694
30.466073 111.141 -38.3162
30.686842 111.160 -37.9650
30.909212 111.178 -37.6140
31.133193 111.196 -37.2595
31.358797 111.212 -36.8963
31.586035 111.226 -36.5194
31.814921 111.239 -36.1245
32.045465 111.251 -35.7101
32.277680 111.264 -35.2777
32.511577 111.277 -34.8325
32.747169 111.292 -34.3828
32.984469 111.309 -33.9382
33.223488 111.327 -33.5079
33.464239 111.345 -33.0978
33.706735 111.363 -32.7088
33.950987 111.378 -32.3361
34.197010 111.391 -31.9695
34.444816 111.400 -31.5956
34.694417 111.408 -31.2011
34.945827 111.414 -30.7760
35.199059 111.423 -30.3170
35.454126 111.434 -29.8280
35.711041 111.449 -29.3198
35.969818 111.469 -28.8069
36.230470 111.491 -28.3026
36.493011 111.513 -27.8157
36.757455 111.534 -27.3469
37.023814 111.550 -26.8893
37.292104 111.562 -26.4310
37.562338 111.568 -25.9586
37.834530 111.571 -25.4622
38.108695 111.573 -24.9381
38.384846 111.575 -24.3901
38.662999 111.579 -23.8270
38.943167 111.584 -23.2596
39.225365 111.591 -22.6962
39.509608 111.599 -22.1401
39.795911 111.607 -21.5897
40.084289 111.615 -21.0398
40.374756 111.624 -20.4853
40.667328 111.634 -19.9231
40.962020 111.646 -19.3537
41.258848 111.660 -18.7798
41.557827 111.674 -18.2038
41.858972 111.688 -17.6253
42.162299 111.700 -17.0405
42.467824 111.709 -16.4436
42.775564 111.715 -15.8292
43.085533 111.718 -15.1953
43.397749 111.720 -14.5453
43.712227 111.723 -13.8861
44.028983 111.727 -13.2259
44.348036 111.732 -12.5705
44.669400 111.738 -11.9213
44.993093 111.744 -11.2758
45.319131 111.751 -10.6295
45.647532 111.756 -9.9786
45.978313 111.758 -9.3201
46.311491 111.755 -8.6511
46.647083 111.746 -7.9667
46.985107 111.729 -7.2609
47.325581 111.706 -6.5289
47.668521 111.682 -5.7726
48.013947 111.660 -5.0049
48.361876 111.645 -4.2478
48.712326 111.639 -3.5255
49.065315 111.643 -2.8528
49.420863 111.653 -2.2254
49.778987 111.666 -1.6197
50.139706 111.679 -1.0006
50.503039 111.689 -0.3361
50.869005 111.698 0.3902
51.237623 111.704 1.1746
51.608912 111.708 1.9975
51.982891 111.709 2.8349
52.359580 111.708 3.6691
52.739000 111.704 4.4940
53.121168 111.700 5.3135
53.506106 111.700 6.1358
53.893833 111.706 6.9676
54.284370 111.717 7.8126
54.677737 111.733 8.6713
55.073955 111.749 9.5426
55.473043 111.761 10.4239
55.875024 111.765 11.3108
56.279917 111.759 12.1966
56.687745 111.744 13.0738
57.098527 111.720 13.9375
57.512287 111.690 14.7879
57.929045 111.659 15.6310
58.348822 111.629 16.4769
58.771642 111.603 17.3368
59.197525 111.583 18.2207
59.626495 111.568 19.1368
60.058573 111.558 20.0904
60.493782 111.551 21.0843
60.932145 111.548 22.1182
61.373685 111.547 23.1907
61.818424 111.549 24.3017
62.266386 111.553 25.4530
62.717593 111.558 26.6451
63.172071 111.565 27.8715
63.629842 111.572 29.1155
64.090930 111.579 30.3525
64.555359 111.584 31.5564
65.023154 111.588 32.7076
65.494339 111.591 33.7976
65.968938 111.595 34.8296
66.446976 111.602 35.8170
66.928478 111.613 36.7795
67.413469 111.630 37.7387
67.901975 111.650 38.7129
68.394021 111.673 39.7145
68.889632 111.695 40.7483
69.388835 111.716 41.8100
69.891655 111.735 42.8880
70.398118 111.752 43.9684
70.908252 111.765 45.0441
71.422083 111.777 46.1187
71.939636 111.785 47.2024
72.460941 111.792 48.3034
72.986023 111.797 49.4221
73.514909 111.799 50.5522
74.047629 111.798 51.6854
74.584208 111.793 52.8130
75.124676 111.787 53.9279
75.669061 111.781 55.0266
76.217390 111.776 56.1131
76.769692 111.771 57.1989
77.325997 111.765 58.2972
77.886333 111.757 59.4185
78.450730 111.747 60.5664
79.019216 111.735 61.7389
79.591822 111.722 62.9306
80.168577 111.708 64.1367
80.749512 111.695 65.3553
81.334656 111.682 66.5868
81.924040 111.668 67.8316
82.517696 111.652 69.0879
83.115653 111.635 70.3532
83.717943 111.619 71.6259
84.324598 111.603 72.9071
84.935649 111.588 74.1989
85.551128 111.575 75.5031
86.171066 111.561 76.8190
86.795497 111.546 78.1448
87.424453 111.528 79.4795
88.057967 111.508 80.8232
88.696071 111.487 82.1761
89.338800 111.465 83.5386
89.986185 111.444 84.9117
90.638262 111.422 86.2973
91.295065 111.399 87.6965
91.956626 111.377 89.1081
92.622982 111.355 90.5305
93.294166 111.333 91.9637
93.970214 111.311 93.4097
94.651161 111.289 94.8699
95.337042 111.266 96.3446
96.027894 111.243 97.8324
96.723752 111.218 99.3323
97.424652 111.192 100.8450
98.130631 111.164 102.3733
98.841726 111.134 103.9204
99.557974 111.103 105.4884
100.279412 111.073 107.0770
101.006078 111.043 108.6833
101.738010 111.013 110.3033
102.475245 110.984 111.9337
103.217823 110.955 113.5727
103.965782 110.926 115.2198
104.719161 110.896 116.8770
105.477999 110.866 118.5479
106.242336 110.836 120.2360
107.012212 110.805 121.9426
107.787666 110.774 123.6661
108.568740 110.742 125.4039
109.355474 110.709 127.1548
110.147909 110.676 128.9200
110.946086 110.641 130.7018
111.750047 110.606 132.5023
112.559834 110.571 134.3217
113.375489 110.535 136.1593
114.197055 110.498 138.0148
115.024574 110.460 139.8892
115.858089 110.421 141.7846
116.697645 110.381 143.7032
117.543284 110.341 145.6451
118.395051 110.300 147.6072
119.252990 110.260 149.5829
120.117147 110.221 151.5668
120.987565 110.184 153.5573
121.864291 110.147 155.5581
122.747370 110.113 157.5766
123.636848 110.079 159.6239
124.532771 110.046 161.7156
125.435187 110.012 163.8684
126.344142 109.976 166.0913
127.259684 109.939 168.3756
128.181860 109.901 170.6994
129.110718 109.864 173.0467
130.046308 109.828 175.4179
130.988677 109.792 177.8217
131.937875 109.759 -179.7368
132.893951 109.729 -177.2589
133.856956 109.706 -174.7487
134.826938 109.689 -172.2135
135.803950 109.681 -169.6643
136.788041 109.682 -167.1117
137.779264 109.690 -164.5651
138.777669 109.706 -162.0346
139.783309 109.728 -159.5296
140.796237 109.756 -157.0578
141.816504 109.787 -154.6240
142.844165 109.820 -152.2294
143.879273 109.853 -149.8705
144.921881 109.885 -147.5414
145.972045 109.915 -145.2371
147.029819 109.942 -142.9525
148.095257 109.966 -140.6807
149.168417 109.985 -138.4118
150.249353 110.001 -136.1351
151.338121 110.012 -133.8425
152.434780 110.021 -131.5306
153.539385 110.027 -129.1999
154.651995 110.032 -126.8526
155.772667 110.034 -124.4901
156.901460 110.035 -122.1122
158.038432 110.035 -119.7180
159.183644 110.033 -117.3073
160.337154 110.032 -114.8805
161.499023 110.029 -112.4389
162.669312 110.027 -109.9829
163.848081 110.024 -107.5121
165.035392 110.021 -105.0251
166.231306 110.018 -102.5200
167.435887 110.015 -99.9963
168.649196 110.012 -97.4557
169.871298 110.009 -94.9018
171.102255 110.005 -92.3383
172.342133 110.001 -89.7652
173.590995 109.996 -87.1783
174.848907 109.990 -84.5724
176.115934 109.984 -81.9465
177.392143 109.977 -79.3022
178.677599 109.970 -76.6411
179.972371 109.963 -73.9637
181.276525 109.956 -71.2703
182.590129 109.948 -68.5616
183.913252 109.940 -65.8389
185.245964 109.932 -63.1034
186.588332 109.923 -60.3549
187.940428 109.913 -57.5927
189.302322 109.903 -54.8163
190.674085 109.893 -52.0255
192.055788 109.881 -49.2196
193.447503 109.870 -46.3977
194.849303 109.858 -43.5588
196.261262 109.846 -40.7023
197.683452 109.834 -37.8280
199.115948 109.822 -34.9349
200.558824 109.810 -32.0213
202.012156 109.797 -29.0864
203.476019 109.784 -26.1302
204.950490 109.770 -23.1537
206.435646 109.755 -20.1572
207.931564 109.740 -17.1411
209.438322 109.724 -14.1055
210.955998 109.708 -11.0503
212.484672 109.691 -7.9761
214.024424 109.673 -4.8845
215.575333 109.656 -1.7782
217.137481 109.638 1.3405
218.710948 109.621 4.4724
220.295818 109.604 7.6206
221.892172 109.586 10.7879
223.500094 109.568 13.9762
225.119668 109.550 17.1862
226.750978 109.531 20.4181
228.394109 109.511 23.6732
230.049147 109.492 26.9532
231.716178 109.471 30.2593
233.395289 109.451 33.5906
235.086567 109.431 36.9448
236.790102 109.411 40.3198
238.505980 109.392 43.7137
240.234293 109.372 47.1255
241.975130 109.353 50.5552
243.728581 109.333 54.0032
245.494739 109.315 57.4694
247.273695 109.296 60.9529
249.065542 109.277 64.4543
250.870374 109.256 67.9758
252.688284 109.234 71.5200
254.519367 109.212 75.0887
256.363720 109.189 78.6816
258.221437 109.167 82.2977
260.092616 109.145 85.9364
261.977354 109.123 89.5975
263.875750 109.101 93.2812
265.787903 109.080 96.9877
267.713911 109.058 100.7167
269.653877 109.037 104.4672
271.607900 109.014 108.2383
273.576083 108.991 112.0303
275.558528 108.967 115.8444
277.555338 108.943 119.6819
279.566619 108.918 123.5447
281.592474 108.893 127.4330
283.633009 108.868 131.3461
285.688331 108.844 135.2827
287.758546 108.819 139.2421
289.843763 108.795 143.2246
291.944090 108.772 147.2308
294.059638 108.749 151.2605
296.190515 108.725 155.3126
298.336833 108.702 159.3853
300.498705 108.678 163.4784
302.676243 108.654 167.5930
304.869559 108.630 171.7319
307.078770 108.605 175.8978
309.303989 108.582 -179.9081
311.545334 108.558 -175.6866
313.802919 108.535 -171.4395
316.076865 108.511 -167.1680
318.367288 108.488 -162.8722
320.674309 108.464 -158.5524
322.998047 108.441 -154.2086
325.338624 108.417 -149.8405
327.696162 108.393 -145.4477
330.070783 108.368 -141.0292
332.462612 108.343 -136.5842
334.871773 108.318 -132.1120
337.298392 108.293 -127.6118
339.742595 108.267 -123.0829
342.204510 108.241 -118.5259
344.684265 108.216 -113.9422
347.181989 108.190 -109.3359
349.697813 108.165 -104.7103
352.231868 108.140 -100.0660
354.784285 108.116 -95.4000
357.355198 108.091 -90.7083
359.944741 108.066 -85.9893
362.553049 108.041 -81.2429
365.180258 108.015 -76.4700
367.826505 107.990 -71.6708
370.491927 107.965 -66.8445
