* Measurement data measured by REW V5.31.3
* Source: EXCL: Микрофон (CX31993 384Khz HIFI AUDIO), MICROPHONE (Общая громкость), 0, volume: 1,000
* Format: 256k Log Swept Sine, 1 sweep at -20,0 dBFS with no timing reference
* Dated: 26.05.2025 16:24:44
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Oppo Enco X
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 86.361 -17.8295
20.333664 86.356 -17.8485
20.481010 86.348 -17.8758
20.629424 86.337 -17.9078
20.778913 86.324 -17.9415
20.929486 86.308 -17.9747
21.081150 86.290 -18.0060
21.233912 86.269 -18.0345
21.387782 86.247 -18.0598
21.542767 86.224 -18.0817
21.698874 86.200 -18.1002
21.856113 86.174 -18.1156
22.014492 86.149 -18.1285
22.174018 86.124 -18.1397
22.334700 86.100 -18.1508
22.496546 86.077 -18.1635
22.659566 86.057 -18.1800
22.823766 86.039 -18.2026
22.989157 86.024 -18.2337
23.155745 86.011 -18.2754
23.323542 86.001 -18.3290
23.492554 85.994 -18.3951
23.662790 85.990 -18.4735
23.834261 85.987 -18.5628
24.006973 85.985 -18.6611
24.180938 85.985 -18.7659
24.356163 85.986 -18.8746
24.532658 85.988 -18.9846
24.710431 85.990 -19.0939
24.889493 85.993 -19.2013
25.069853 85.996 -19.3057
25.251519 85.999 -19.4071
25.434502 86.002 -19.5052
25.618811 86.004 -19.6001
25.804456 86.006 -19.6915
25.991445 86.006 -19.7790
26.179790 86.005 -19.8618
26.369500 86.003 -19.9392
26.560584 86.000 -20.0106
26.753053 85.996 -20.0761
26.946917 85.992 -20.1364
27.142185 85.987 -20.1928
27.338869 85.983 -20.2475
27.536977 85.980 -20.3027
27.736522 85.977 -20.3603
27.937512 85.974 -20.4215
28.139959 85.972 -20.4867
28.343872 85.970 -20.5551
28.549264 85.968 -20.6255
28.756143 85.967 -20.6960
28.964522 85.965 -20.7654
29.174411 85.965 -20.8334
29.385821 85.966 -20.9007
29.598763 85.968 -20.9695
29.813248 85.971 -21.0429
30.029287 85.975 -21.1244
30.246891 85.981 -21.2175
30.466073 85.986 -21.3247
30.686842 85.991 -21.4471
30.909212 85.995 -21.5849
31.133193 85.998 -21.7364
31.358797 85.999 -21.8997
31.586035 85.999 -22.0716
31.814921 85.996 -22.2494
32.045465 85.993 -22.4301
32.277680 85.988 -22.6111
32.511577 85.983 -22.7902
32.747169 85.978 -22.9659
32.984469 85.974 -23.1372
33.223488 85.971 -23.3039
33.464239 85.969 -23.4668
33.706735 85.970 -23.6271
33.950987 85.973 -23.7863
34.197010 85.977 -23.9456
34.444816 85.982 -24.1055
34.694417 85.987 -24.2655
34.945827 85.993 -24.4238
35.199059 85.997 -24.5782
35.454126 86.000 -24.7265
35.711041 86.002 -24.8673
35.969818 86.004 -25.0011
36.230470 86.005 -25.1296
36.493011 86.007 -25.2562
36.757455 86.008 -25.3841
37.023814 86.010 -25.5164
37.292104 86.011 -25.6545
37.562338 86.013 -25.7981
37.834530 86.015 -25.9460
38.108695 86.016 -26.0967
38.384846 86.016 -26.2497
38.662999 86.016 -26.4056
38.943167 86.016 -26.5669
39.225365 86.014 -26.7360
39.509608 86.011 -26.9146
39.795911 86.006 -27.1026
40.084289 86.000 -27.2978
40.374756 85.993 -27.4967
40.667328 85.987 -27.6957
40.962020 85.982 -27.8923
41.258848 85.980 -28.0857
41.557827 85.981 -28.2760
41.858972 85.983 -28.4631
42.162299 85.987 -28.6457
42.467824 85.989 -28.8223
42.775564 85.991 -28.9924
43.085533 85.990 -29.1585
43.397749 85.989 -29.3273
43.712227 85.988 -29.5075
44.028983 85.987 -29.7061
44.348036 85.986 -29.9240
44.669400 85.987 -30.1544
44.993093 85.988 -30.3846
45.319131 85.990 -30.6015
45.647532 85.992 -30.7984
45.978313 85.993 -30.9771
46.311491 85.988 -31.1459
46.647083 85.973 -31.3133
46.985107 85.945 -31.4821
47.325581 85.903 -31.6483
47.668521 85.850 -31.8052
48.013947 85.795 -31.9520
48.361876 85.747 -32.0993
48.712326 85.717 -32.2671
49.065315 85.710 -32.4767
49.420863 85.725 -32.7382
49.778987 85.759 -33.0446
50.139706 85.805 -33.3745
50.503039 85.853 -33.7022
50.869005 85.897 -34.0077
51.237623 85.931 -34.2821
51.608912 85.952 -34.5256
51.982891 85.960 -34.7433
52.359580 85.955 -34.9411
52.739000 85.943 -35.1244
53.121168 85.928 -35.2996
53.506106 85.916 -35.4730
53.893833 85.907 -35.6498
54.284370 85.904 -35.8323
54.677737 85.906 -36.0202
55.073955 85.910 -36.2128
55.473043 85.916 -36.4115
55.875024 85.924 -36.6193
56.279917 85.931 -36.8382
56.687745 85.937 -37.0657
57.098527 85.941 -37.2952
57.512287 85.945 -37.5187
57.929045 85.948 -37.7311
58.348822 85.950 -37.9329
58.771642 85.952 -38.1293
59.197525 85.954 -38.3275
59.626495 85.954 -38.5336
60.058573 85.954 -38.7500
60.493782 85.952 -38.9763
60.932145 85.949 -39.2103
61.373685 85.946 -39.4504
61.818424 85.944 -39.6961
62.266386 85.942 -39.9481
62.717593 85.940 -40.2063
63.172071 85.937 -40.4696
63.629842 85.935 -40.7350
64.090930 85.932 -40.9996
64.555359 85.930 -41.2605
65.023154 85.928 -41.5166
65.494339 85.927 -41.7677
65.968938 85.926 -42.0148
66.446976 85.926 -42.2601
66.928478 85.926 -42.5057
67.413469 85.926 -42.7541
67.901975 85.926 -43.0066
68.394021 85.926 -43.2632
68.889632 85.925 -43.5224
69.388835 85.924 -43.7814
69.891655 85.923 -44.0377
70.398118 85.922 -44.2904
70.908252 85.921 -44.5405
71.422083 85.920 -44.7905
71.939636 85.918 -45.0419
72.460941 85.917 -45.2946
72.986023 85.916 -45.5480
73.514909 85.917 -45.8028
74.047629 85.920 -46.0624
74.584208 85.925 -46.3319
75.124676 85.933 -46.6164
75.669061 85.941 -46.9193
76.217390 85.950 -47.2408
76.769692 85.958 -47.5761
77.325997 85.964 -47.9151
77.886333 85.968 -48.2448
78.450730 85.969 -48.5547
79.019216 85.969 -48.8409
79.591822 85.968 -49.1066
80.168577 85.966 -49.3594
80.749512 85.963 -49.6092
81.334656 85.960 -49.8660
81.924040 85.957 -50.1380
82.517696 85.954 -50.4286
83.115653 85.952 -50.7365
83.717943 85.952 -51.0587
84.324598 85.953 -51.3918
84.935649 85.955 -51.7310
85.551128 85.957 -52.0688
86.171066 85.961 -52.3988
86.795497 85.968 -52.7205
87.424453 85.978 -53.0390
88.057967 85.990 -53.3582
88.696071 86.000 -53.6767
89.338800 86.005 -53.9881
89.986185 86.003 -54.2866
90.638262 85.996 -54.5724
91.295065 85.987 -54.8531
91.956626 85.981 -55.1392
92.622982 85.980 -55.4358
93.294166 85.983 -55.7392
93.970214 85.991 -56.0414
94.651161 86.003 -56.3366
95.337042 86.020 -56.6231
96.027894 86.041 -56.9046
96.723752 86.065 -57.1900
97.424652 86.088 -57.4941
98.130631 86.108 -57.8343
98.841726 86.125 -58.2234
99.557974 86.137 -58.6637
100.279412 86.145 -59.1450
101.006078 86.151 -59.6487
101.738010 86.154 -60.1566
102.475245 86.157 -60.6585
103.217823 86.160 -61.1528
103.965782 86.164 -61.6420
104.719161 86.169 -62.1288
105.477999 86.174 -62.6165
106.242336 86.178 -63.1092
107.012212 86.179 -63.6099
107.787666 86.177 -64.1192
108.568740 86.174 -64.6351
109.355474 86.169 -65.1532
110.147909 86.164 -65.6695
110.946086 86.159 -66.1822
111.750047 86.153 -66.6918
112.559834 86.147 -67.1991
113.375489 86.139 -67.7044
114.197055 86.130 -68.2079
115.024574 86.119 -68.7095
115.858089 86.108 -69.2095
116.697645 86.096 -69.7080
117.543284 86.084 -70.2059
118.395051 86.073 -70.7052
119.252990 86.063 -71.2081
120.117147 86.054 -71.7152
120.987565 86.044 -72.2257
121.864291 86.033 -72.7372
122.747370 86.020 -73.2468
123.636848 86.004 -73.7518
124.532771 85.984 -74.2509
125.435187 85.963 -74.7451
126.344142 85.940 -75.2376
127.259684 85.918 -75.7318
128.181860 85.896 -76.2300
129.110718 85.875 -76.7314
130.046308 85.855 -77.2328
130.988677 85.836 -77.7326
131.937875 85.817 -78.2319
132.893951 85.799 -78.7328
133.856956 85.781 -79.2361
134.826938 85.763 -79.7417
135.803950 85.744 -80.2493
136.788041 85.725 -80.7594
137.779264 85.704 -81.2726
138.777669 85.682 -81.7885
139.783309 85.659 -82.3058
140.796237 85.636 -82.8219
141.816504 85.612 -83.3349
142.844165 85.588 -83.8439
143.879273 85.562 -84.3491
144.921881 85.535 -84.8504
145.972045 85.506 -85.3479
147.029819 85.475 -85.8421
148.095257 85.444 -86.3345
149.168417 85.413 -86.8269
150.249353 85.382 -87.3192
151.338121 85.353 -87.8102
152.434780 85.325 -88.2972
153.539385 85.296 -88.7781
154.651995 85.267 -89.2528
155.772667 85.236 -89.7230
156.901460 85.205 -90.1907
158.038432 85.172 -90.6576
159.183644 85.140 -91.1241
160.337154 85.106 -91.5895
161.499023 85.073 -92.0527
162.669312 85.039 -92.5126
163.848081 85.005 -92.9690
165.035392 84.971 -93.4221
166.231306 84.937 -93.8726
167.435887 84.903 -94.3211
168.649196 84.869 -94.7680
169.871298 84.835 -95.2129
171.102255 84.801 -95.6548
172.342133 84.768 -96.0928
173.590995 84.734 -96.5266
174.848907 84.701 -96.9565
176.115934 84.667 -97.3829
177.392143 84.633 -97.8054
178.677599 84.598 -98.2237
179.972371 84.564 -98.6373
181.276525 84.529 -99.0461
182.590129 84.494 -99.4498
183.913252 84.460 -99.8481
185.245964 84.425 -100.2407
186.588332 84.390 -100.6273
187.940428 84.356 -101.0078
189.302322 84.321 -101.3820
190.674085 84.287 -101.7498
192.055788 84.252 -102.1108
193.447503 84.217 -102.4649
194.849303 84.182 -102.8125
196.261262 84.147 -103.1549
197.683452 84.113 -103.4935
199.115948 84.079 -103.8293
200.558824 84.046 -104.1623
202.012156 84.013 -104.4917
203.476019 83.982 -104.8157
204.950490 83.951 -105.1325
206.435646 83.921 -105.4408
207.931564 83.891 -105.7392
209.438322 83.862 -106.0262
210.955998 83.833 -106.3003
212.484672 83.806 -106.5604
214.024424 83.781 -106.8054
215.575333 83.756 -107.0341
217.137481 83.733 -107.2441
218.710948 83.712 -107.4320
220.295818 83.694 -107.5946
221.892172 83.679 -107.7290
223.500094 83.670 -107.8341
225.119668 83.668 -107.9123
226.750978 83.674 -107.9703
228.394109 83.692 -108.0194
230.049147 83.721 -108.0776
231.716178 83.761 -108.1688
233.395289 83.813 -108.3192
235.086567 83.874 -108.5522
236.790102 83.939 -108.8823
238.505980 84.005 -109.3136
240.234293 84.068 -109.8390
241.975130 84.125 -110.4420
243.728581 84.174 -111.1006
245.494739 84.214 -111.7912
247.273695 84.245 -112.4928
249.065542 84.268 -113.1886
250.870374 84.282 -113.8686
252.688284 84.289 -114.5290
254.519367 84.292 -115.1711
256.363720 84.293 -115.7973
258.221437 84.293 -116.4097
260.092616 84.294 -117.0103
261.977354 84.296 -117.6012
263.875750 84.299 -118.1846
265.787903 84.304 -118.7624
267.713911 84.309 -119.3367
269.653877 84.315 -119.9098
271.607900 84.322 -120.4832
273.576083 84.328 -121.0585
275.558528 84.336 -121.6365
277.555338 84.344 -122.2172
279.566619 84.353 -122.8008
281.592474 84.362 -123.3869
283.633009 84.371 -123.9759
285.688331 84.381 -124.5685
287.758546 84.392 -125.1658
289.843763 84.402 -125.7684
291.944090 84.413 -126.3765
294.059638 84.423 -126.9902
296.190515 84.434 -127.6096
298.336833 84.444 -128.2357
300.498705 84.455 -128.8694
302.676243 84.465 -129.5109
304.869559 84.476 -130.1589
307.078770 84.487 -130.8124
309.303989 84.498 -131.4709
311.545334 84.509 -132.1346
313.802919 84.521 -132.8037
316.076865 84.532 -133.4783
318.367288 84.544 -134.1581
320.674309 84.556 -134.8429
322.998047 84.568 -135.5334
325.338624 84.580 -136.2303
327.696162 84.591 -136.9339
330.070783 84.603 -137.6441
332.462612 84.614 -138.3606
334.871773 84.626 -139.0831
