* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -53,8 dBFS, measurement signal peak level -7,6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 26.12.2022 21:57:26
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0,1353 ms (46 mm, 1,83 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: Penon Vortex
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 119.672 -144.0727
20.507813 119.696 -144.8289
20.874023 119.713 -145.5593
21.240234 119.731 -146.2884
21.606445 119.752 -147.0305
21.972656 119.775 -147.7802
22.338867 119.796 -148.5150
22.705078 119.814 -149.2089
23.071289 119.831 -149.8484
23.437500 119.846 -150.4403
23.803711 119.862 -151.0064
24.169922 119.878 -151.5699
24.536133 119.891 -152.1421
24.902344 119.903 -152.7195
25.268555 119.913 -153.2898
25.634766 119.922 -153.8426
26.000977 119.932 -154.3754
26.367188 119.944 -154.8928
26.733399 119.956 -155.4003
27.099610 119.967 -155.9000
27.465821 119.975 -156.3900
27.832032 119.981 -156.8681
28.198243 119.987 -157.3343
28.564454 119.991 -157.7907
28.930665 119.996 -158.2380
29.296876 120.002 -158.6743
29.663087 120.007 -159.0958
30.029298 120.014 -159.5012
30.395509 120.021 -159.8943
30.761720 120.029 -160.2835
31.127931 120.037 -160.6763
31.494142 120.042 -161.0751
31.860353 120.046 -161.4755
32.226563 120.047 -161.8692
32.592774 120.048 -162.2498
32.958985 120.050 -162.6158
33.325196 120.052 -162.9707
33.691407 120.056 -163.3189
34.057618 120.059 -163.6620
34.423829 120.061 -163.9983
34.790040 120.062 -164.3255
35.156251 120.063 -164.6439
35.522462 120.063 -164.9578
35.888673 120.063 -165.2731
36.254884 120.063 -165.5929
36.621095 120.063 -165.9153
36.987306 120.063 -166.2349
37.353517 120.062 -166.5468
37.719728 120.062 -166.8496
38.085939 120.063 -167.1459
38.452150 120.063 -167.4386
38.818361 120.062 -167.7280
39.184572 120.059 -168.0108
39.550783 120.055 -168.2834
39.916994 120.052 -168.5461
40.283205 120.049 -168.8038
40.649416 120.048 -169.0636
41.015627 120.048 -169.3291
41.381838 120.047 -169.5976
41.748049 120.046 -169.8618
42.114260 120.043 -170.1150
42.480471 120.041 -170.3557
42.846682 120.039 -170.5881
43.212893 120.037 -170.8188
43.579103 120.035 -171.0529
43.945314 120.033 -171.2914
44.311525 120.029 -171.5324
44.677736 120.025 -171.7731
45.043947 120.021 -172.0103
45.410158 120.016 -172.2400
45.776369 120.011 -172.4579
46.142580 120.006 -172.6623
46.508791 120.003 -172.8573
46.875002 120.001 -173.0542
47.241213 119.999 -173.2659
47.607424 119.996 -173.4987
47.973635 119.989 -173.7469
48.339846 119.979 -173.9937
48.706057 119.967 -174.2213
49.072268 119.956 -174.4213
49.438479 119.950 -174.5991
49.804690 119.949 -174.7689
50.170901 119.951 -174.9425
50.537112 119.953 -175.1218
50.903323 119.954 -175.2997
51.269534 119.952 -175.4682
51.635745 119.948 -175.6262
52.001956 119.944 -175.7815
52.368167 119.938 -175.9441
52.734378 119.931 -176.1192
53.100589 119.923 -176.3036
53.466800 119.915 -176.4891
53.833011 119.908 -176.6698
54.199222 119.902 -176.8451
54.565432 119.900 -177.0189
54.931643 119.899 -177.1940
55.297854 119.897 -177.3692
55.664065 119.895 -177.5402
56.030276 119.891 -177.7038
56.396487 119.886 -177.8615
56.762698 119.881 -178.0181
57.128909 119.875 -178.1780
57.495120 119.869 -178.3418
57.861331 119.863 -178.5054
58.227542 119.856 -178.6640
58.593753 119.851 -178.8162
58.959964 119.847 -178.9650
59.326175 119.844 -179.1154
59.692386 119.840 -179.2697
60.058597 119.835 -179.4251
60.424808 119.828 -179.5748
60.791019 119.820 -179.7137
61.157230 119.813 -179.8420
61.523441 119.806 -179.9668
61.889652 119.802 179.9024
62.255863 119.797 179.7593
62.622074 119.792 179.6050
62.988285 119.785 179.4470
63.354496 119.778 179.2942
63.720707 119.770 179.1509
64.086918 119.763 179.0151
64.453129 119.758 178.8813
64.819340 119.753 178.7454
65.185551 119.747 178.6081
65.551762 119.741 178.4741
65.917972 119.734 178.3475
66.284183 119.727 178.2281
66.650394 119.722 178.1109
67.016605 119.717 177.9894
67.382816 119.711 177.8604
67.749027 119.706 177.7260
68.115238 119.699 177.5919
68.481449 119.691 177.4635
68.847660 119.684 177.3426
69.213871 119.677 177.2269
69.580082 119.670 177.1125
69.946293 119.664 176.9964
70.312504 119.657 176.8776
70.678715 119.650 176.7570
71.044926 119.643 176.6359
71.411137 119.636 176.5153
71.777348 119.629 176.3956
72.143559 119.623 176.2772
72.509770 119.617 176.1602
72.875981 119.612 176.0450
73.242192 119.606 175.9316
73.608403 119.600 175.8204
73.974614 119.593 175.7120
74.340825 119.585 175.6073
74.707036 119.578 175.5057
75.073247 119.570 175.4053
75.439458 119.562 175.3025
75.805669 119.555 175.1948
76.171880 119.548 175.0818
76.538091 119.541 174.9662
76.904301 119.534 174.8519
77.270512 119.527 174.7419
77.636723 119.520 174.6363
78.002934 119.514 174.5335
78.369145 119.509 174.4313
78.735356 119.502 174.3293
79.101567 119.495 174.2290
79.467778 119.488 174.1318
79.833989 119.479 174.0376
80.200200 119.471 173.9443
80.566411 119.464 173.8489
80.932622 119.456 173.7496
81.298833 119.449 173.6472
81.665044 119.441 173.5443
82.031255 119.434 173.4438
82.397466 119.427 173.3474
82.763677 119.419 173.2547
83.129888 119.412 173.1646
83.496099 119.405 173.0758
83.862310 119.398 172.9871
84.228521 119.390 172.8979
84.594732 119.382 172.8078
84.960943 119.374 172.7171
85.327154 119.366 172.6266
85.693365 119.358 172.5372
86.059576 119.350 172.4493
86.425787 119.343 172.3629
86.791998 119.335 172.2773
87.158209 119.328 172.1926
87.524420 119.320 172.1094
87.890631 119.312 172.0291
88.256841 119.304 171.9515
88.623052 119.295 171.8750
88.989263 119.287 171.7964
89.355474 119.279 171.7129
89.721685 119.271 171.6246
90.087896 119.263 171.5347
90.454107 119.254 171.4481
90.820318 119.246 171.3681
91.186529 119.238 171.2942
91.552740 119.231 171.2219
91.918951 119.225 171.1463
92.285162 119.218 171.0662
92.651373 119.210 170.9857
93.017584 119.200 170.9116
93.383795 119.190 170.8483
93.750006 119.181 170.7937
94.116217 119.174 170.7392
94.482428 119.168 170.6750
94.848639 119.161 170.5971
95.214850 119.154 170.5098
95.581061 119.144 170.4236
95.947272 119.134 170.3478
96.313483 119.123 170.2845
96.679694 119.114 170.2283
97.045905 119.107 170.1710
97.412116 119.100 170.1078
97.778327 119.093 170.0396
98.144538 119.085 169.9705
98.510749 119.077 169.9031
98.876960 119.069 169.8368
99.243170 119.061 169.7699
99.609381 119.053 169.7034
99.975592 119.044 169.6423
100.341803 119.035 169.5920
100.708014 119.028 169.5522
101.074225 119.023 169.5148
101.440436 119.020 169.4675
101.806647 119.018 169.4023
102.172858 119.015 169.3213
102.539069 119.008 169.2355
102.905280 119.000 169.1578
103.271491 118.990 169.0946
103.637702 118.981 169.0430
104.003913 118.973 168.9946
104.370124 118.967 168.9430
104.736335 118.960 168.8879
105.102546 118.954 168.8333
105.468757 118.948 168.7815
105.834968 118.944 168.7296
106.201179 118.940 168.6715
106.567390 118.936 168.6031
106.933601 118.930 168.5278
107.299812 118.922 168.4542
107.666023 118.912 168.3906
108.032234 118.903 168.3376
108.398445 118.895 168.2874
108.764656 118.888 168.2299
109.130867 118.882 168.1610
109.497078 118.874 168.0862
109.863289 118.865 168.0162
110.229500 118.854 167.9587
110.595710 118.844 167.9116
110.961921 118.836 167.8646
111.328132 118.828 167.8074
111.694343 118.819 167.7375
112.060554 118.809 167.6624
112.426765 118.798 167.5933
112.792976 118.787 167.5376
113.159187 118.778 167.4946
113.525398 118.772 167.4573
113.891609 118.766 167.4194
114.257820 118.761 167.3791
114.624031 118.755 167.3389
114.990242 118.747 167.3014
115.356453 118.739 167.2661
115.722664 118.731 167.2297
116.088875 118.722 167.1895
116.455086 118.713 167.1464
116.821297 118.704 167.1043
117.187508 118.695 167.0673
117.553719 118.688 167.0357
117.919930 118.681 167.0065
118.286141 118.674 166.9752
118.652352 118.668 166.9387
119.018563 118.662 166.8969
119.384774 118.655 166.8506
119.750985 118.647 166.8010
120.117196 118.640 166.7484
120.483407 118.633 166.6934
120.849618 118.625 166.6378
121.215829 118.618 166.5848
121.582040 118.610 166.5375
121.948250 118.602 166.4971
122.314461 118.594 166.4624
122.680672 118.586 166.4308
123.046883 118.578 166.3995
123.413094 118.569 166.3666
123.779305 118.561 166.3312
124.145516 118.553 166.2926
124.511727 118.546 166.2502
124.877938 118.539 166.2043
125.244149 118.533 166.1572
125.610360 118.528 166.1126
125.976571 118.521 166.0740
126.342782 118.515 166.0419
126.708993 118.508 166.0133
127.075204 118.499 165.9839
127.441415 118.489 165.9517
127.807626 118.477 165.9192
128.173837 118.464 165.8915
128.540048 118.452 165.8712
128.906259 118.443 165.8548
129.272470 118.438 165.8331
129.638681 118.434 165.7985
130.004892 118.431 165.7509
130.371103 118.426 165.6996
130.737314 118.419 165.6567
131.103525 118.411 165.6279
131.469736 118.402 165.6078
131.835947 118.395 165.5842
132.202158 118.387 165.5468
132.568369 118.378 165.4958
132.934579 118.368 165.4406
133.300790 118.357 165.3919
133.667001 118.348 165.3538
134.033212 118.341 165.3219
134.399423 118.335 165.2894
134.765634 118.329 165.2545
135.131845 118.321 165.2215
135.498056 118.312 165.1969
135.864267 118.303 165.1817
136.230478 118.293 165.1697
136.596689 118.285 165.1519
136.962900 118.276 165.1244
137.329111 118.266 165.0916
137.695322 118.255 165.0627
138.061533 118.243 165.0450
138.427744 118.232 165.0378
138.793955 118.222 165.0346
139.160166 118.214 165.0277
139.526377 118.205 165.0140
139.892588 118.196 164.9963
140.258799 118.185 164.9799
140.625010 118.173 164.9694
140.991221 118.161 164.9663
141.357432 118.150 164.9702
141.723643 118.138 164.9799
142.089854 118.128 164.9950
142.456065 118.117 165.0146
142.822276 118.108 165.0371
143.188487 118.099 165.0603
143.554698 118.090 165.0819
143.920909 118.081 165.1013
144.287119 118.072 165.1199
144.653330 118.062 165.1408
145.019541 118.052 165.1674
145.385752 118.042 165.2014
145.751963 118.033 165.2424
146.118174 118.025 165.2876
146.484385 118.017 165.3341
146.850596 118.010 165.3815
147.216807 118.002 165.4327
147.583018 117.995 165.4915
147.949229 117.988 165.5598
148.315440 117.984 165.6341
148.681651 117.982 165.7072
149.047862 117.981 165.7722
149.414073 117.982 165.8276
149.780284 117.982 165.8782
150.146495 117.982 165.9315
150.512706 117.983 165.9930
150.878917 117.984 166.0618
151.245128 117.988 166.1321
151.611339 117.993 166.1978
151.977550 117.999 166.2559
152.343761 118.005 166.3074
152.709972 118.012 166.3553
153.076183 118.019 166.4009
153.442394 118.026 166.4429
153.808605 118.035 166.4791
154.174816 118.045 166.5082
154.541027 118.055 166.5309
154.907238 118.065 166.5486
155.273448 118.075 166.5617
155.639659 118.085 166.5695
156.005870 118.096 166.5705
156.372081 118.107 166.5643
156.738292 118.117 166.5526
157.104503 118.127 166.5375
157.470714 118.136 166.5203
157.836925 118.146 166.5000
158.203136 118.156 166.4742
158.569347 118.167 166.4405
158.935558 118.177 166.3977
159.301769 118.187 166.3472
159.667980 118.196 166.2919
160.034191 118.204 166.2345
160.400402 118.213 166.1763
160.766613 118.221 166.1171
161.132824 118.229 166.0560
161.499035 118.236 165.9928
161.865246 118.242 165.9283
162.231457 118.247 165.8637
162.597668 118.252 165.8000
162.963879 118.256 165.7363
163.330090 118.260 165.6703
163.696301 118.264 165.5999
164.062512 118.268 165.5247
164.428723 118.271 165.4466
164.794934 118.273 165.3689
165.161145 118.275 165.2945
165.527356 118.276 165.2237
165.893567 118.277 165.1544
166.259778 118.279 165.0836
166.625988 118.280 165.0097
166.992199 118.280 164.9333
167.358410 118.280 164.8574
167.724621 118.279 164.7849
168.090832 118.277 164.7170
168.457043 118.276 164.6529
