* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -12,2 dBFS, measurement signal peak level -12,4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 27.02.2024 15:53:07
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0,0835 ms (29 mm, 1,13 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: L PULA
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 114.981 -141.6367
20.523834 115.042 -142.5169
20.860291 115.091 -143.4224
21.196747 115.135 -144.3682
21.533203 115.176 -145.3425
21.869659 115.215 -146.3152
22.206116 115.256 -147.2558
22.542572 115.299 -148.1489
22.879028 115.345 -149.0000
23.215485 115.391 -149.8286
23.551941 115.435 -150.6550
23.888397 115.472 -151.4897
24.224854 115.500 -152.3301
24.561310 115.522 -153.1660
24.897766 115.540 -153.9874
25.234222 115.558 -154.7905
25.570679 115.579 -155.5774
25.907135 115.603 -156.3523
26.243591 115.630 -157.1160
26.580048 115.657 -157.8650
26.916504 115.681 -158.5938
27.252960 115.702 -159.3008
27.589417 115.721 -159.9913
27.925873 115.737 -160.6763
28.262329 115.751 -161.3668
28.598785 115.763 -162.0677
28.935242 115.772 -162.7745
29.271698 115.779 -163.4753
29.608154 115.786 -164.1577
29.944611 115.795 -164.8154
30.281067 115.806 -165.4504
30.617523 115.818 -166.0704
30.953979 115.830 -166.6822
31.290436 115.839 -167.2868
31.626892 115.844 -167.8803
31.963348 115.846 -168.4592
32.299805 115.846 -169.0271
32.636261 115.847 -169.5959
32.972717 115.850 -170.1806
33.309174 115.852 -170.7891
33.645630 115.851 -171.4132
33.982086 115.847 -172.0300
34.318542 115.839 -172.6118
34.654999 115.829 -173.1421
34.991455 115.822 -173.6265
35.327911 115.820 -174.0921
35.664368 115.820 -174.5733
36.000824 115.821 -175.0918
36.337280 115.817 -175.6441
36.673737 115.807 -176.2043
37.010193 115.795 -176.7412
37.346649 115.785 -177.2385
37.683105 115.782 -177.7058
38.019562 115.786 -178.1704
38.356018 115.793 -178.6559
38.692474 115.796 -179.1622
39.028931 115.790 -179.6626
39.365387 115.775 179.8777
39.701843 115.756 179.4749
40.038300 115.740 179.1090
40.374756 115.729 178.7328
40.711212 115.721 178.3043
41.047668 115.709 177.8209
41.384125 115.687 177.3290
41.720581 115.657 176.8977
42.057037 115.629 176.5711
42.393494 115.614 176.3295
42.729950 115.619 176.0901
43.066406 115.639 175.7546
43.402863 115.658 175.2735
43.739319 115.662 174.6794
44.075775 115.642 174.0688
44.412231 115.604 173.5430
44.748688 115.562 173.1465
45.085144 115.529 172.8410
45.421600 115.510 172.5373
45.758057 115.498 172.1629
46.094513 115.481 171.7148
46.430969 115.456 171.2556
46.767426 115.430 170.8584
47.103882 115.417 170.5385
47.440338 115.431 170.2275
47.776794 115.469 169.8166
48.113251 115.512 169.2419
48.449707 115.535 168.5464
48.786163 115.520 167.8729
49.122620 115.469 167.3905
49.459076 115.401 167.1987
49.795532 115.340 167.2598
50.131989 115.305 167.4093
50.468445 115.293 167.4504
50.804901 115.286 167.2694
51.141357 115.265 166.8894
51.477814 115.223 166.4331
51.814270 115.169 166.0341
52.150726 115.123 165.7542
52.487183 115.100 165.5566
52.823639 115.102 165.3481
53.160095 115.118 165.0583
53.496552 115.130 164.6904
53.833008 115.127 164.3127
54.169464 115.108 164.0043
54.505920 115.083 163.7979
54.842377 115.064 163.6601
55.178833 115.054 163.5192
55.515289 115.051 163.3174
55.851746 115.046 163.0478
56.188202 115.035 162.7479
56.524658 115.022 162.4619
56.861115 115.011 162.2022
57.197571 115.008 161.9391
57.534027 115.010 161.6265
57.870483 115.010 161.2412
58.206940 114.999 160.8056
58.543396 114.974 160.3779
58.879852 114.938 160.0178
59.216309 114.899 159.7525
59.552765 114.867 159.5636
59.889221 114.846 159.4022
60.225677 114.834 159.2213
60.562134 114.824 158.9998
60.898590 114.814 158.7460
61.235046 114.801 158.4817
61.571503 114.786 158.2225
61.907959 114.771 157.9698
62.244415 114.758 157.7161
62.580872 114.745 157.4553
62.917328 114.731 157.1906
63.253784 114.715 156.9307
63.590240 114.698 156.6817
63.926697 114.680 156.4413
64.263153 114.662 156.2015
64.599609 114.644 155.9553
64.936066 114.624 155.7040
65.272522 114.603 155.4558
65.608978 114.581 155.2191
65.945435 114.560 154.9948
66.281891 114.543 154.7745
66.618347 114.528 154.5470
66.954803 114.514 154.3060
67.291260 114.499 154.0551
67.627716 114.481 153.8055
67.964172 114.462 153.5683
68.300629 114.443 153.3478
68.637085 114.424 153.1395
68.973541 114.406 152.9343
69.309998 114.389 152.7249
69.646454 114.372 152.5089
69.982910 114.354 152.2892
70.319366 114.335 152.0698
70.655823 114.316 151.8525
70.992279 114.297 151.6367
71.328735 114.278 151.4210
71.665192 114.259 151.2053
72.001648 114.241 150.9911
72.338104 114.222 150.7810
72.674561 114.203 150.5763
73.011017 114.185 150.3765
73.347473 114.167 150.1801
73.683929 114.150 149.9861
74.020386 114.132 149.7944
74.356842 114.113 149.6053
74.693298 114.095 149.4182
75.029755 114.077 149.2311
75.366211 114.058 149.0416
75.702667 114.039 148.8486
76.039124 114.020 148.6531
76.375580 113.999 148.4587
76.712036 113.978 148.2696
77.048492 113.957 148.0886
77.384949 113.937 147.9156
77.721405 113.919 147.7475
78.057861 113.902 147.5794
78.394318 113.886 147.4067
78.730774 113.871 147.2268
79.067230 113.855 147.0401
79.403687 113.837 146.8500
79.740143 113.818 146.6617
80.076599 113.798 146.4806
80.413055 113.777 146.3099
80.749512 113.757 146.1499
81.085968 113.738 145.9966
81.422424 113.720 145.8436
81.758881 113.704 145.6852
82.095337 113.688 145.5188
82.431793 113.671 145.3466
82.768250 113.653 145.1747
83.104706 113.634 145.0098
83.441162 113.614 144.8554
83.777618 113.594 144.7098
84.114075 113.576 144.5672
84.450531 113.559 144.4208
84.786987 113.543 144.2669
85.123444 113.527 144.1060
85.459900 113.509 143.9421
85.796356 113.492 143.7800
86.132812 113.474 143.6227
86.469269 113.455 143.4702
86.805725 113.437 143.3217
87.142181 113.419 143.1766
87.478638 113.401 143.0353
87.815094 113.382 142.8983
88.151550 113.365 142.7644
88.488007 113.348 142.6299
88.824463 113.332 142.4901
89.160919 113.318 142.3420
89.497375 113.302 142.1866
89.833832 113.287 142.0287
90.170288 113.270 141.8745
90.506744 113.252 141.7289
90.843201 113.234 141.5930
91.179657 113.216 141.4641
91.516113 113.199 141.3375
91.852570 113.182 141.2089
92.189026 113.165 141.0758
92.525482 113.148 140.9375
92.861938 113.131 140.7948
93.198395 113.114 140.6494
93.534851 113.097 140.5037
93.871307 113.080 140.3612
94.207764 113.062 140.2252
94.544220 113.045 140.0978
94.880676 113.028 139.9785
95.217133 113.012 139.8636
95.553589 112.996 139.7479
95.890045 112.980 139.6268
96.226501 112.963 139.4987
96.562958 112.945 139.3651
96.899414 112.927 139.2304
97.235870 112.908 139.0983
97.572327 112.891 138.9702
97.908783 112.875 138.8441
98.245239 112.861 138.7156
98.581696 112.848 138.5808
98.918152 112.834 138.4393
99.254608 112.820 138.2951
99.591064 112.803 138.1558
99.927521 112.785 138.0290
100.263977 112.766 137.9182
100.600433 112.748 137.8210
100.936890 112.731 137.7299
101.273346 112.716 137.6356
101.609802 112.701 137.5318
101.946259 112.687 137.4183
102.282715 112.671 137.2997
102.619171 112.655 137.1818
102.955627 112.639 137.0677
103.292084 112.624 136.9557
103.628540 112.609 136.8410
103.964996 112.595 136.7206
104.301453 112.581 136.5959
104.637909 112.565 136.4730
104.974365 112.548 136.3589
105.310822 112.531 136.2569
105.647278 112.514 136.1640
105.983734 112.500 136.0726
106.320190 112.486 135.9750
106.656647 112.473 135.8678
106.993103 112.458 135.7534
107.329559 112.442 135.6376
107.666016 112.426 135.5260
108.002472 112.409 135.4202
108.338928 112.393 135.3186
108.675385 112.378 135.2180
109.011841 112.363 135.1165
109.348297 112.349 135.0145
109.684753 112.335 134.9134
110.021210 112.321 134.8135
110.357666 112.307 134.7139
110.694122 112.294 134.6125
111.030579 112.280 134.5084
111.367035 112.265 134.4031
111.703491 112.249 134.2993
112.039948 112.233 134.1999
112.376404 112.217 134.1057
112.712860 112.202 134.0147
113.049316 112.188 133.9235
113.385773 112.174 133.8289
113.722229 112.161 133.7296
114.058685 112.147 133.6271
114.395142 112.133 133.5247
114.731598 112.118 133.4265
115.068054 112.102 133.3354
115.404510 112.087 133.2516
115.740967 112.072 133.1721
116.077423 112.059 133.0916
116.413879 112.046 133.0048
116.750336 112.033 132.9095
117.086792 112.019 132.8073
117.423248 112.005 132.7026
117.759705 111.991 132.6009
118.096161 111.976 132.5047
118.432617 111.963 132.4130
118.769073 111.950 132.3228
119.105530 111.938 132.2314
119.441986 111.926 132.1393
119.778442 111.912 132.0490
120.114899 111.897 131.9635
120.451355 111.882 131.8833
120.787811 111.866 131.8065
121.124268 111.849 131.7303
121.460724 111.833 131.6528
121.797180 111.817 131.5738
122.133636 111.803 131.4933
122.470093 111.790 131.4098
122.806549 111.779 131.3198
123.143005 111.770 131.2202
123.479462 111.761 131.1115
123.815918 111.751 130.9993
124.152374 111.739 130.8923
124.488831 111.725 130.7975
124.825287 111.709 130.7174
125.161743 111.691 130.6497
125.498199 111.673 130.5903
125.834656 111.654 130.5373
126.171112 111.635 130.4906
126.507568 111.618 130.4492
126.844025 111.604 130.4075
127.180481 111.594 130.3556
127.516937 111.588 130.2834
127.853394 111.582 130.1883
128.189850 111.575 130.0771
128.526306 111.566 129.9626
128.862762 111.556 129.8549
129.199219 111.546 129.7551
129.535675 111.536 129.6552
129.872131 111.527 129.5469
130.208588 111.515 129.4307
130.545044 111.500 129.3195
130.881500 111.482 129.2311
131.217957 111.463 129.1770
131.554413 111.446 129.1524
131.890869 111.433 129.1386
132.227325 111.423 129.1135
132.563782 111.414 129.0646
132.900238 111.405 128.9935
133.236694 111.394 128.9092
133.573151 111.384 128.8166
133.909607 111.376 128.7101
134.246063 111.368 128.5790
134.582520 111.358 128.4211
134.918976 111.343 128.2529
135.255432 111.321 128.1070
135.591888 111.294 128.0159
135.928345 111.268 127.9915
136.264801 111.250 128.0146
136.601257 111.241 128.0435
136.937714 111.238 128.0373
137.274170 111.237 127.9793
137.610626 111.232 127.8839
137.947083 111.221 127.7844
138.283539 111.205 127.7102
138.619995 111.190 127.6697
138.956451 111.177 127.6476
139.292908 111.168 127.6189
139.629364 111.159 127.5667
139.965820 111.149 127.4926
140.302277 111.135 127.4114
140.638733 111.120 127.3383
140.975189 111.106 127.2760
141.311646 111.096 127.2140
141.648102 111.089 127.1371
141.984558 111.084 127.0388
142.321014 111.076 126.9281
142.657471 111.065 126.8251
142.993927 111.051 126.7498
143.330383 111.037 126.7101
143.666840 111.025 126.6973
144.003296 111.016 126.6912
144.339752 111.009 126.6706
144.676208 111.002 126.6242
145.012665 110.991 126.5542
145.349121 110.976 126.4734
145.685577 110.958 126.3970
146.022034 110.938 126.3344
146.358490 110.921 126.2845
146.694946 110.907 126.2372
147.031403 110.897 126.1797
147.367859 110.890 126.1043
147.704315 110.883 126.0142
148.040771 110.874 125.9233
148.377228 110.862 125.8500
148.713684 110.849 125.8079
149.050140 110.836 125.7979
149.386597 110.826 125.8065
149.723053 110.820 125.8117
150.059509 110.814 125.7940
150.395966 110.808 125.7451
150.732422 110.800 125.6710
151.068878 110.788 125.5872
151.405334 110.774 125.5092
151.741791 110.760 125.4443
152.078247 110.749 125.3901
152.414703 110.740 125.3384
152.751160 110.732 125.2831
153.087616 110.724 125.2254
153.424072 110.714 125.1734
153.760529 110.702 125.1364
154.096985 110.691 125.1180
154.433441 110.682 125.1125
154.769897 110.675 125.1072
155.106354 110.670 125.0891
155.442810 110.665 125.0522
155.779266 110.658 125.0008
156.115723 110.648 124.9466
156.452179 110.637 124.9019
156.788635 110.625 124.8723
157.125092 110.615 124.8537
157.461548 110.608 124.8349
157.798004 110.603 124.8047
