* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -54,3 dBFS, measurement signal peak level -25,1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 25.07.2024 13:05:14
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0,0909 ms (31 mm, 1,23 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: 600
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 86.715 -41.9923
20.333664 86.755 -42.1433
20.481010 86.816 -42.3808
20.629424 86.894 -42.7052
20.778913 86.986 -43.1148
20.929486 87.089 -43.6054
21.081150 87.200 -44.1679
21.233912 87.316 -44.7885
21.387782 87.433 -45.4479
21.542767 87.550 -46.1228
21.698874 87.664 -46.7874
21.856113 87.774 -47.4152
22.014492 87.879 -47.9819
22.174018 87.980 -48.4674
22.334700 88.077 -48.8587
22.496546 88.172 -49.1513
22.659566 88.266 -49.3506
22.823766 88.361 -49.4719
22.989157 88.458 -49.5385
23.155745 88.556 -49.5792
23.323542 88.655 -49.6241
23.492554 88.752 -49.7001
23.662790 88.845 -49.8270
23.834261 88.932 -50.0145
24.006973 89.010 -50.2608
24.180938 89.078 -50.5532
24.356163 89.137 -50.8711
24.532658 89.190 -51.1897
24.710431 89.241 -51.4859
24.889493 89.298 -51.7433
25.069853 89.366 -51.9581
25.251519 89.452 -52.1411
25.434502 89.560 -52.3181
25.618811 89.690 -52.5246
25.804456 89.841 -52.7991
25.991445 90.004 -53.1735
26.179790 90.172 -53.6658
26.369500 90.334 -54.2752
26.560584 90.480 -54.9816
26.753053 90.605 -55.7485
26.946917 90.703 -56.5287
27.142185 90.774 -57.2716
27.338869 90.823 -57.9312
27.536977 90.856 -58.4749
27.736522 90.883 -58.8894
27.937512 90.914 -59.1851
28.139959 90.958 -59.3946
28.343872 91.019 -59.5660
28.549264 91.099 -59.7517
28.756143 91.195 -59.9949
28.964522 91.300 -60.3182
29.174411 91.409 -60.7200
29.385821 91.515 -61.1766
29.598763 91.615 -61.6505
29.813248 91.709 -62.1016
30.029287 91.798 -62.4985
30.246891 91.886 -62.8269
30.466073 91.979 -63.0934
30.686842 92.078 -63.3227
30.909212 92.183 -63.5502
31.133193 92.292 -63.8101
31.358797 92.399 -64.1258
31.586035 92.500 -64.5034
31.814921 92.591 -64.9319
32.045465 92.671 -65.3879
32.277680 92.741 -65.8447
32.511577 92.804 -66.2804
32.747169 92.866 -66.6842
32.984469 92.931 -67.0583
33.223488 93.001 -67.4140
33.464239 93.077 -67.7648
33.706735 93.157 -68.1181
33.950987 93.239 -68.4711
34.197010 93.321 -68.8103
34.444816 93.402 -69.1174
34.694417 93.485 -69.3774
34.945827 93.572 -69.5873
35.199059 93.665 -69.7607
35.454126 93.767 -69.9256
35.711041 93.876 -70.1163
35.969818 93.986 -70.3629
36.230470 94.092 -70.6804
36.493011 94.189 -71.0647
36.757455 94.271 -71.4943
37.023814 94.340 -71.9376
37.292104 94.396 -72.3627
37.562338 94.446 -72.7466
37.834530 94.496 -73.0796
38.108695 94.551 -73.3654
38.384846 94.617 -73.6158
38.662999 94.693 -73.8441
38.943167 94.781 -74.0600
39.225365 94.877 -74.2690
39.509608 94.981 -74.4756
39.795911 95.090 -74.6876
40.084289 95.201 -74.9185
40.374756 95.312 -75.1865
40.667328 95.418 -75.5086
40.962020 95.516 -75.8937
41.258848 95.604 -76.3377
41.557827 95.681 -76.8227
41.858972 95.750 -77.3212
42.162299 95.815 -77.8038
42.467824 95.881 -78.2466
42.775564 95.952 -78.6359
43.085533 96.030 -78.9699
43.397749 96.113 -79.2558
43.712227 96.199 -79.5072
44.028983 96.283 -79.7415
44.348036 96.364 -79.9799
44.669400 96.440 -80.2464
44.993093 96.513 -80.5642
45.319131 96.585 -80.9484
45.647532 96.660 -81.3965
45.978313 96.742 -81.8833
46.311491 96.833 -82.3617
46.647083 96.934 -82.7737
46.985107 97.047 -83.0666
47.325581 97.166 -83.2098
47.668521 97.287 -83.2040
48.013947 97.403 -83.0820
48.361876 97.505 -82.9014
48.712326 97.590 -82.7343
49.065315 97.655 -82.6554
49.420863 97.704 -82.7307
49.778987 97.743 -83.0051
50.139706 97.779 -83.4906
50.503039 97.821 -84.1607
50.869005 97.874 -84.9541
51.237623 97.943 -85.7911
51.608912 98.025 -86.5961
51.982891 98.116 -87.3177
52.359580 98.210 -87.9385
52.739000 98.302 -88.4740
53.121168 98.387 -88.9613
53.506106 98.466 -89.4459
53.893833 98.543 -89.9662
54.284370 98.622 -90.5416
54.677737 98.706 -91.1652
55.073955 98.796 -91.8078
55.473043 98.890 -92.4326
55.875024 98.984 -93.0121
56.279917 99.070 -93.5360
56.687745 99.140 -94.0040
57.098527 99.189 -94.4111
57.512287 99.218 -94.7412
57.929045 99.239 -94.9798
58.348822 99.268 -95.1396
58.771642 99.321 -95.2750
59.197525 99.404 -95.4641
59.626495 99.509 -95.7659
60.058573 99.621 -96.1847
60.493782 99.725 -96.6749
60.932145 99.817 -97.1783
61.373685 99.898 -97.6628
61.818424 99.975 -98.1341
62.266386 100.050 -98.6159
62.717593 100.127 -99.1197
63.172071 100.204 -99.6330
63.629842 100.284 -100.1318
64.090930 100.365 -100.5996
64.555359 100.448 -101.0374
65.023154 100.531 -101.4577
65.494339 100.610 -101.8739
65.968938 100.687 -102.2949
66.446976 100.761 -102.7265
66.928478 100.834 -103.1732
67.413469 100.908 -103.6367
67.901975 100.981 -104.1156
68.394021 101.054 -104.6058
68.889632 101.127 -105.1024
69.388835 101.201 -105.6021
69.891655 101.275 -106.1019
70.398118 101.351 -106.5991
70.908252 101.429 -107.0913
71.422083 101.506 -107.5783
71.939636 101.581 -108.0636
72.460941 101.652 -108.5545
72.986023 101.720 -109.0596
73.514909 101.784 -109.5854
74.047629 101.847 -110.1324
74.584208 101.911 -110.6934
75.124676 101.977 -111.2553
75.669061 102.048 -111.8055
76.217390 102.120 -112.3384
76.769692 102.195 -112.8591
77.325997 102.271 -113.3785
77.886333 102.345 -113.9047
78.450730 102.418 -114.4360
79.019216 102.488 -114.9625
79.591822 102.557 -115.4757
80.168577 102.622 -115.9777
80.749512 102.687 -116.4834
81.334656 102.750 -117.0133
81.924040 102.814 -117.5819
82.517696 102.878 -118.1904
83.115653 102.945 -118.8267
83.717943 103.012 -119.4715
84.324598 103.077 -120.1064
84.935649 103.140 -120.7193
85.551128 103.199 -121.3077
86.171066 103.257 -121.8766
86.795497 103.317 -122.4347
87.424453 103.380 -122.9913
88.057967 103.447 -123.5556
88.696071 103.516 -124.1364
89.338800 103.583 -124.7400
89.986185 103.645 -125.3680
90.638262 103.700 -126.0190
91.295065 103.749 -126.6895
91.956626 103.794 -127.3720
92.622982 103.839 -128.0555
93.294166 103.887 -128.7323
93.970214 103.940 -129.4024
94.651161 103.997 -130.0695
95.337042 104.053 -130.7335
96.027894 104.107 -131.3917
96.723752 104.157 -132.0441
97.424652 104.204 -132.6967
98.130631 104.249 -133.3587
98.841726 104.294 -134.0380
99.557974 104.339 -134.7372
100.279412 104.384 -135.4523
101.006078 104.429 -136.1744
101.738010 104.472 -136.8928
102.475245 104.514 -137.5998
103.217823 104.554 -138.2942
103.965782 104.593 -138.9807
104.719161 104.629 -139.6663
105.477999 104.663 -140.3564
106.242336 104.696 -141.0530
107.012212 104.728 -141.7547
107.787666 104.759 -142.4595
108.568740 104.789 -143.1684
109.355474 104.819 -143.8855
110.147909 104.849 -144.6156
110.946086 104.879 -145.3611
111.750047 104.906 -146.1205
112.559834 104.933 -146.8897
113.375489 104.958 -147.6633
114.197055 104.983 -148.4358
115.024574 105.004 -149.2015
115.858089 105.022 -149.9570
116.697645 105.036 -150.7045
117.543284 105.048 -151.4519
118.395051 105.059 -152.2077
119.252990 105.071 -152.9766
120.117147 105.086 -153.7573
120.987565 105.101 -154.5438
121.864291 105.115 -155.3285
122.747370 105.127 -156.1051
123.636848 105.137 -156.8712
124.532771 105.145 -157.6274
125.435187 105.150 -158.3761
126.344142 105.154 -159.1207
127.259684 105.155 -159.8640
128.181860 105.153 -160.6081
129.110718 105.149 -161.3553
130.046308 105.143 -162.1070
130.988677 105.135 -162.8619
131.937875 105.124 -163.6165
132.893951 105.112 -164.3672
133.856956 105.097 -165.1107
134.826938 105.081 -165.8458
135.803950 105.062 -166.5708
136.788041 105.042 -167.2823
137.779264 105.020 -167.9754
138.777669 104.995 -168.6472
139.783309 104.968 -169.2989
140.796237 104.941 -169.9363
141.816504 104.914 -170.5679
142.844165 104.889 -171.1993
143.879273 104.866 -171.8287
144.921881 104.843 -172.4488
145.972045 104.821 -173.0529
147.029819 104.799 -173.6411
148.095257 104.777 -174.2200
149.168417 104.753 -174.7991
150.249353 104.726 -175.3841
151.338121 104.696 -175.9714
152.434780 104.664 -176.5530
153.539385 104.632 -177.1234
154.651995 104.599 -177.6819
155.772667 104.568 -178.2303
156.901460 104.537 -178.7715
158.038432 104.506 -179.3091
159.183644 104.475 -179.8456
160.337154 104.443 179.6189
161.499023 104.411 179.0862
162.669312 104.380 178.5580
163.848081 104.350 178.0342
165.035392 104.320 177.5140
166.231306 104.291 176.9969
167.435887 104.263 176.4837
168.649196 104.235 175.9744
169.871298 104.207 175.4674
171.102255 104.178 174.9605
172.342133 104.148 174.4512
173.590995 104.117 173.9390
174.848907 104.085 173.4255
176.115934 104.052 172.9127
177.392143 104.019 172.4019
178.677599 103.984 171.8939
179.972371 103.949 171.3890
181.276525 103.914 170.8865
182.590129 103.879 170.3859
183.913252 103.843 169.8883
185.245964 103.808 169.3966
186.588332 103.772 168.9130
187.940428 103.735 168.4382
189.302322 103.698 167.9717
190.674085 103.661 167.5133
192.055788 103.622 167.0621
193.447503 103.583 166.6168
194.849303 103.542 166.1758
196.261262 103.500 165.7372
197.683452 103.456 165.3004
199.115948 103.410 164.8655
200.558824 103.365 164.4337
202.012156 103.321 164.0058
203.476019 103.277 163.5828
204.950490 103.234 163.1651
206.435646 103.192 162.7529
207.931564 103.150 162.3467
209.438322 103.108 161.9471
210.955998 103.064 161.5538
212.484672 103.020 161.1657
214.024424 102.976 160.7823
215.575333 102.931 160.4040
217.137481 102.885 160.0300
218.710948 102.840 159.6582
220.295818 102.794 159.2871
221.892172 102.749 158.9173
223.500094 102.704 158.5511
225.119668 102.660 158.1907
226.750978 102.614 157.8373
228.394109 102.569 157.4911
230.049147 102.523 157.1519
231.716178 102.477 156.8187
233.395289 102.431 156.4893
235.086567 102.385 156.1608
236.790102 102.339 155.8317
238.505980 102.294 155.5028
240.234293 102.249 155.1766
241.975130 102.206 154.8568
243.728581 102.162 154.5469
245.494739 102.117 154.2484
247.273695 102.071 153.9598
249.065542 102.023 153.6805
250.870374 101.975 153.4130
252.688284 101.926 153.1595
254.519367 101.878 152.9185
256.363720 101.832 152.6841
258.221437 101.789 152.4478
260.092616 101.747 152.2043
261.977354 101.707 151.9537
263.875750 101.667 151.6998
265.787903 101.629 151.4464
267.713911 101.591 151.1964
269.653877 101.554 150.9518
271.607900 101.517 150.7158
273.576083 101.482 150.4920
275.558528 101.449 150.2820
277.555338 101.420 150.0828
279.566619 101.397 149.8869
281.592474 101.382 149.6858
283.633009 101.374 149.4718
285.688331 101.374 149.2389
287.758546 101.381 148.9799
289.843763 101.395 148.6814
291.944090 101.416 148.3239
294.059638 101.442 147.8862
296.190515 101.474 147.3472
298.336833 101.510 146.6810
300.498705 101.548 145.8551
302.676243 101.582 144.8312
304.869559 101.601 143.5746
307.078770 101.588 142.0753
309.303989 101.525 140.3764
311.545334 101.391 138.5999
313.802919 101.176 136.9522
316.076865 100.888 135.6870
318.367288 100.549 135.0159
320.674309 100.201 135.0127
322.998047 99.882 135.5826
325.338624 99.623 136.5150
327.696162 99.433 137.5791
330.070783 99.306 138.5980
332.462612 99.226 139.4727
334.871773 99.179 140.1689
337.298392 99.151 140.6918
339.742595 99.132 141.0665
342.204510 99.117 141.3253
344.684265 99.104 141.4974
