* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -20,0 dBFS with no timing reference
* Dated: 02.02.2025 18:43:31
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: bio open
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 79.729 -75.0724
20.287556 79.783 -75.1369
20.434568 79.861 -75.2437
20.582645 79.954 -75.3961
20.731796 80.050 -75.5936
20.882027 80.143 -75.8301
21.033346 80.224 -76.0947
21.185763 80.288 -76.3726
21.339284 80.333 -76.6474
21.493917 80.359 -76.9037
21.649671 80.367 -77.1290
21.806553 80.361 -77.3157
21.964572 80.345 -77.4622
22.123737 80.326 -77.5732
22.284054 80.309 -77.6595
22.445534 80.302 -77.7363
22.608183 80.310 -77.8211
22.772012 80.337 -77.9309
22.937027 80.388 -78.0801
23.103238 80.464 -78.2781
23.270654 80.564 -78.5286
23.439282 80.687 -78.8293
23.609133 80.829 -79.1732
23.780215 80.986 -79.5498
23.952536 81.153 -79.9466
24.126106 81.322 -80.3506
24.300934 81.488 -80.7485
24.477028 81.645 -81.1272
24.654399 81.787 -81.4739
24.833055 81.910 -81.7756
25.013005 82.011 -82.0196
25.194260 82.088 -82.1941
25.376828 82.143 -82.2893
25.560719 82.177 -82.2997
25.745942 82.194 -82.2256
25.932508 82.201 -82.0756
26.120426 82.203 -81.8674
26.309705 82.207 -81.6272
26.500356 82.217 -81.3868
26.692388 82.236 -81.1794
26.885812 82.265 -81.0337
27.080638 82.304 -80.9688
27.276876 82.350 -80.9911
27.474535 82.399 -81.0933
27.673627 82.449 -81.2577
27.874161 82.498 -81.4607
28.076149 82.545 -81.6788
28.279600 82.592 -81.8945
28.484526 82.639 -82.1000
28.690937 82.690 -82.2984
28.898843 82.744 -82.5017
29.108256 82.803 -82.7251
29.319186 82.865 -82.9807
29.531645 82.929 -83.2719
29.745644 82.993 -83.5898
29.961193 83.055 -83.9141
30.178304 83.117 -84.2177
30.396989 83.179 -84.4744
30.617258 83.246 -84.6664
30.839123 83.318 -84.7912
31.062596 83.398 -84.8631
31.287688 83.484 -84.9103
31.514412 83.571 -84.9663
31.742778 83.654 -85.0614
31.972800 83.726 -85.2143
32.204488 83.783 -85.4298
32.437855 83.823 -85.7008
32.672913 83.849 -86.0150
32.909674 83.868 -86.3628
33.148151 83.892 -86.7434
33.388356 83.930 -87.1661
33.630302 83.991 -87.6452
33.874001 84.077 -88.1898
34.119466 84.186 -88.7924
34.366710 84.310 -89.4220
34.615745 84.437 -90.0260
34.866585 84.558 -90.5393
35.119243 84.664 -90.8996
35.373731 84.751 -91.0615
35.630064 84.816 -91.0075
35.888254 84.858 -90.7518
36.148315 84.879 -90.3353
36.410261 84.881 -89.8145
36.674104 84.866 -89.2472
36.939860 84.838 -88.6823
37.207542 84.805 -88.1551
37.477163 84.778 -87.6903
37.748738 84.768 -87.3075
38.022281 84.784 -87.0260
38.297806 84.831 -86.8635
38.575327 84.905 -86.8284
38.854860 84.994 -86.9120
39.136419 85.085 -87.0851
39.420017 85.164 -87.3035
39.705671 85.225 -87.5210
39.993395 85.268 -87.7069
40.283203 85.300 -87.8594
40.575112 85.335 -88.0109
40.869136 85.387 -88.2178
41.165290 85.465 -88.5349
41.463591 85.569 -88.9854
41.764053 85.693 -89.5407
42.066693 85.825 -90.1222
42.371525 85.953 -90.6252
42.678567 86.067 -90.9572
42.987834 86.163 -91.0723
43.299341 86.240 -90.9894
43.613106 86.302 -90.7881
43.929145 86.352 -90.5822
44.247473 86.398 -90.4810
44.568109 86.449 -90.5531
44.891068 86.517 -90.8056
45.216367 86.612 -91.1814
45.544023 86.737 -91.5705
45.874054 86.882 -91.8263
46.206476 87.025 -91.7819
46.541307 87.142 -91.2681
46.878565 87.218 -90.1442
47.218266 87.251 -88.3553
47.560429 87.260 -86.0161
47.905072 87.273 -83.4750
48.252212 87.312 -81.2729
48.601867 87.379 -79.9647
48.954056 87.460 -79.9004
49.308798 87.533 -81.1059
49.666109 87.585 -83.3018
50.026010 87.619 -86.0125
50.388520 87.647 -88.7198
50.753656 87.684 -91.0143
51.121437 87.737 -92.6926
51.491884 87.804 -93.7598
51.865016 87.874 -94.3589
52.240851 87.938 -94.6815
52.619410 87.997 -94.9049
53.000712 88.057 -95.1592
53.384777 88.124 -95.5093
53.771625 88.201 -95.9444
54.161276 88.283 -96.3864
54.553751 88.363 -96.7293
54.949070 88.435 -96.8955
55.347254 88.498 -96.8805
55.748323 88.552 -96.7551
56.152298 88.597 -96.6251
56.559201 88.635 -96.5719
56.969052 88.671 -96.6170
57.381873 88.712 -96.7268
57.797686 88.769 -96.8480
58.216512 88.846 -96.9439
58.638373 88.939 -97.0096
59.063291 89.039 -97.0637
59.491288 89.133 -97.1308
59.922386 89.212 -97.2290
60.356608 89.275 -97.3645
60.793977 89.324 -97.5314
61.234515 89.370 -97.7143
61.678246 89.420 -97.8949
62.125192 89.481 -98.0591
62.575377 89.555 -98.2018
63.028824 89.640 -98.3269
63.485557 89.731 -98.4439
63.945599 89.823 -98.5642
64.408975 89.910 -98.6989
64.875709 89.989 -98.8573
65.345825 90.060 -99.0445
65.819348 90.123 -99.2609
66.296302 90.182 -99.5043
66.776713 90.241 -99.7709
67.260604 90.301 -100.0533
67.748002 90.363 -100.3356
68.238932 90.427 -100.5934
68.733420 90.490 -100.8031
69.231490 90.555 -100.9567
69.733170 90.622 -101.0714
70.238485 90.693 -101.1827
70.747463 90.766 -101.3246
71.260128 90.841 -101.5097
71.776508 90.915 -101.7270
72.296630 90.990 -101.9565
72.820521 91.064 -102.1864
73.348209 91.137 -102.4156
73.879720 91.206 -102.6421
74.415083 91.269 -102.8532
74.954326 91.329 -103.0300
75.497475 91.389 -103.1612
76.044561 91.452 -103.2498
76.595612 91.520 -103.3083
77.150655 91.591 -103.3523
77.709720 91.665 -103.3996
78.272837 91.742 -103.4690
78.840034 91.819 -103.5764
79.411342 91.897 -103.7273
79.986789 91.973 -103.9147
80.566406 92.045 -104.1232
81.150224 92.113 -104.3409
81.738272 92.179 -104.5712
82.330581 92.247 -104.8374
82.927182 92.319 -105.1664
83.528107 92.394 -105.5636
84.133386 92.473 -106.0018
84.743051 92.551 -106.4337
85.357134 92.629 -106.8154
85.975667 92.705 -107.1238
86.598682 92.779 -107.3621
87.226212 92.853 -107.5522
87.858289 92.927 -107.7184
88.494946 93.003 -107.8748
89.136217 93.084 -108.0269
89.782135 93.166 -108.1790
90.432733 93.249 -108.3357
91.088046 93.328 -108.5007
91.748108 93.406 -108.6812
92.412952 93.484 -108.8912
93.082615 93.563 -109.1421
93.757130 93.644 -109.4326
94.436533 93.724 -109.7503
95.120859 93.803 -110.0833
95.810144 93.880 -110.4240
96.504423 93.955 -110.7641
97.203734 94.029 -111.0923
97.908112 94.103 -111.4017
98.617595 94.177 -111.6975
99.332219 94.251 -111.9946
100.052021 94.324 -112.3092
100.777039 94.396 -112.6509
101.507311 94.466 -113.0171
102.242875 94.533 -113.3936
102.983769 94.598 -113.7616
103.730032 94.662 -114.1088
104.481702 94.727 -114.4336
105.238820 94.792 -114.7402
106.001424 94.861 -115.0339
106.769554 94.935 -115.3212
107.543250 95.015 -115.6118
108.322553 95.101 -115.9163
109.107503 95.187 -116.2397
109.898141 95.271 -116.5804
110.694508 95.352 -116.9340
111.496646 95.429 -117.2962
112.304596 95.505 -117.6650
113.118402 95.580 -118.0410
113.938104 95.654 -118.4285
114.763747 95.729 -118.8327
115.595372 95.803 -119.2577
116.433024 95.878 -119.7050
117.276746 95.954 -120.1724
118.126581 96.031 -120.6529
118.982575 96.107 -121.1363
119.844772 96.182 -121.6134
120.713217 96.253 -122.0797
121.587954 96.319 -122.5381
122.469031 96.382 -122.9977
123.356492 96.443 -123.4677
124.250384 96.504 -123.9529
125.150753 96.566 -124.4551
126.057647 96.628 -124.9730
126.971113 96.692 -125.4985
127.891198 96.759 -126.0190
128.817950 96.829 -126.5257
129.751418 96.899 -127.0205
130.691651 96.969 -127.5147
131.638696 97.038 -128.0226
132.592604 97.105 -128.5540
133.553425 97.172 -129.1086
134.521208 97.237 -129.6773
135.496004 97.303 -130.2509
136.477864 97.369 -130.8238
137.466839 97.437 -131.3939
138.462981 97.504 -131.9605
139.466340 97.571 -132.5253
140.476971 97.638 -133.0913
141.494925 97.704 -133.6586
142.520256 97.767 -134.2246
143.553016 97.825 -134.7946
144.593260 97.873 -135.3866
145.641043 97.912 -136.0189
146.696418 97.943 -136.6934
147.759441 97.972 -137.3965
148.830166 98.002 -138.1097
149.908651 98.036 -138.8187
150.994951 98.074 -139.5179
152.089123 98.114 -140.2069
153.191223 98.156 -140.8863
154.301310 98.195 -141.5571
155.419441 98.233 -142.2225
156.545674 98.268 -142.8883
157.680069 98.301 -143.5600
158.822683 98.333 -144.2402
159.973578 98.365 -144.9291
161.132813 98.394 -145.6271
162.300447 98.423 -146.3356
163.476543 98.449 -147.0559
164.661162 98.475 -147.7871
165.854364 98.499 -148.5249
167.056213 98.522 -149.2630
168.266772 98.541 -149.9987
169.486102 98.556 -150.7347
170.714268 98.568 -151.4768
171.951334 98.575 -152.2284
173.197364 98.579 -152.9885
174.452424 98.580 -153.7513
175.716578 98.577 -154.5083
176.989893 98.572 -155.2538
178.272434 98.564 -155.9874
179.564270 98.552 -156.7115
180.865467 98.537 -157.4259
182.176092 98.517 -158.1255
183.496216 98.493 -158.8021
184.825905 98.467 -159.4489
186.165229 98.439 -160.0636
187.514259 98.410 -160.6478
188.873065 98.381 -161.2065
190.241717 98.355 -161.7464
191.620287 98.330 -162.2726
193.008847 98.308 -162.7887
194.407468 98.287 -163.2968
195.816225 98.269 -163.7988
197.235190 98.251 -164.2976
198.664438 98.233 -164.7970
200.104042 98.214 -165.3005
201.554078 98.194 -165.8105
203.014622 98.174 -166.3285
204.485750 98.155 -166.8542
205.967538 98.137 -167.3863
207.460064 98.119 -167.9232
208.963405 98.099 -168.4648
210.477640 98.077 -169.0120
212.002848 98.053 -169.5637
213.539108 98.028 -170.1153
215.086500 98.000 -170.6602
216.645105 97.972 -171.1945
218.215005 97.942 -171.7188
219.796281 97.910 -172.2369
221.389015 97.878 -172.7516
222.993292 97.843 -173.2619
224.609193 97.808 -173.7635
226.236804 97.772 -174.2527
227.876209 97.734 -174.7298
229.527494 97.696 -175.1983
231.190745 97.655 -175.6645
232.866048 97.613 -176.1364
234.553491 97.569 -176.6187
236.253163 97.523 -177.1062
237.965150 97.475 -177.5860
239.689544 97.426 -178.0460
241.426433 97.377 -178.4797
243.175909 97.326 -178.8884
244.938062 97.274 -179.2805
246.712984 97.221 -179.6673
248.500768 97.168 179.9435
250.301507 97.117 179.5524
252.115295 97.066 179.1672
253.942226 97.017 178.7928
255.782396 96.967 178.4263
257.635901 96.916 178.0621
259.502837 96.862 177.6968
261.383301 96.806 177.3319
263.277392 96.746 176.9743
265.185209 96.683 176.6328
267.106850 96.618 176.3128
269.042417 96.551 176.0162
270.992009 96.483 175.7446
272.955729 96.414 175.5013
274.933678 96.346 175.2897
276.925961 96.280 175.1108
278.932681 96.216 174.9623
280.953942 96.156 174.8400
282.989850 96.101 174.7391
285.040511 96.054 174.6569
287.106032 96.017 174.5991
289.186521 95.995 174.5853
291.282086 95.989 174.6399
293.392836 95.999 174.7673
295.518881 96.015 174.9291
297.660333 96.020 175.0384
299.817302 95.994 174.9906
301.989902 95.926 174.7407
304.178245 95.826 174.3506
306.382446 95.713 173.9218
308.602620 95.606 173.5302
310.838882 95.512 173.2156
313.091348 95.432 172.9894
315.360137 95.364 172.8385
317.645367 95.305 172.7363
319.947156 95.252 172.6574
322.265625 95.203 172.5844
324.600895 95.158 172.5102
326.953086 95.114 172.4363
329.322323 95.070 172.3675
331.708729 95.024 172.3083
334.112427 94.974 172.2579
336.533543 94.920 172.2123
338.972204 94.864 172.1695
341.428536 94.809 172.1290
343.902668 94.756 172.0902
346.394729 94.705 172.0549
348.904848 94.658 172.0234
