* Measurement data measured by REW V5.31.3
* Source: Микрофон (HiBy Digital D1), MICROPHONE (Общая громкость), L, volume: 0,640
* Format: 256k Log Swept Sine, 1 sweep at -20,0 dBFS with no timing reference
* Dated: 07.07.2025 19:48:01
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_BE130
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 71.703 -82.9979
20.287556 71.696 -83.1506
20.434568 71.686 -83.3822
20.582645 71.676 -83.6785
20.731796 71.669 -84.0275
20.882027 71.670 -84.4208
21.033346 71.680 -84.8524
21.185763 71.705 -85.3177
21.339284 71.746 -85.8108
21.493917 71.804 -86.3228
21.649671 71.878 -86.8403
21.806553 71.965 -87.3454
21.964572 72.064 -87.8161
22.123737 72.170 -88.2283
22.284054 72.279 -88.5579
22.445534 72.391 -88.7845
22.608183 72.501 -88.8944
22.772012 72.609 -88.8834
22.937027 72.715 -88.7591
23.103238 72.817 -88.5414
23.270654 72.917 -88.2618
23.439282 73.013 -87.9609
23.609133 73.104 -87.6839
23.780215 73.188 -87.4748
23.952536 73.261 -87.3720
24.126106 73.323 -87.4026
24.300934 73.370 -87.5805
24.477028 73.402 -87.9043
24.654399 73.419 -88.3584
24.833055 73.425 -88.9150
25.013005 73.423 -89.5374
25.194260 73.421 -90.1846
25.376828 73.426 -90.8158
25.560719 73.444 -91.3956
25.745942 73.482 -91.8975
25.932508 73.542 -92.3056
26.120426 73.625 -92.6148
26.309705 73.727 -92.8274
26.500356 73.842 -92.9497
26.692388 73.963 -92.9883
26.885812 74.082 -92.9475
27.080638 74.193 -92.8298
27.276876 74.290 -92.6378
27.474535 74.373 -92.3777
27.673627 74.442 -92.0630
27.874161 74.500 -91.7172
28.076149 74.550 -91.3738
28.279600 74.596 -91.0732
28.484526 74.641 -90.8564
28.690937 74.686 -90.7569
28.898843 74.733 -90.7932
29.108256 74.781 -90.9642
29.319186 74.828 -91.2485
29.531645 74.877 -91.6086
29.745644 74.929 -91.9996
29.961193 74.987 -92.3791
30.178304 75.055 -92.7174
30.396989 75.135 -93.0047
30.617258 75.230 -93.2530
30.839123 75.338 -93.4917
31.062596 75.454 -93.7588
31.287688 75.571 -94.0894
31.514412 75.681 -94.5055
31.742778 75.778 -95.0107
31.972800 75.856 -95.5892
32.204488 75.913 -96.2101
32.437855 75.952 -96.8334
32.672913 75.978 -97.4192
32.909674 75.998 -97.9344
33.148151 76.021 -98.3589
33.388356 76.054 -98.6873
33.630302 76.101 -98.9276
33.874001 76.164 -99.0967
34.119466 76.242 -99.2146
34.366710 76.330 -99.2998
34.615745 76.425 -99.3666
34.866585 76.520 -99.4256
35.119243 76.613 -99.4849
35.373731 76.702 -99.5519
35.630064 76.785 -99.6338
35.888254 76.860 -99.7370
36.148315 76.930 -99.8658
36.410261 76.993 -100.0215
36.674104 77.052 -100.2022
36.939860 77.107 -100.4034
37.207542 77.160 -100.6205
37.477163 77.212 -100.8493
37.748738 77.264 -101.0874
38.022281 77.316 -101.3332
38.297806 77.367 -101.5841
38.575327 77.415 -101.8353
38.854860 77.462 -102.0793
39.136419 77.506 -102.3069
39.420017 77.549 -102.5102
39.705671 77.594 -102.6864
39.993395 77.644 -102.8412
40.283203 77.701 -102.9899
40.575112 77.767 -103.1549
40.869136 77.841 -103.3595
41.165290 77.921 -103.6198
41.463591 78.004 -103.9370
41.764053 78.084 -104.2949
42.066693 78.160 -104.6628
42.371525 78.232 -105.0054
42.678567 78.303 -105.2949
42.987834 78.376 -105.5231
43.299341 78.454 -105.7046
43.613106 78.537 -105.8723
43.929145 78.622 -106.0645
44.247473 78.706 -106.3094
44.568109 78.784 -106.6153
44.891068 78.853 -106.9697
45.216367 78.916 -107.3465
45.544023 78.977 -107.7152
45.874054 79.041 -108.0490
46.206476 79.114 -108.3281
46.541307 79.199 -108.5422
46.878565 79.298 -108.6923
47.218266 79.409 -108.7956
47.560429 79.528 -108.8891
47.905072 79.647 -109.0245
48.252212 79.756 -109.2528
48.601867 79.844 -109.6032
48.954056 79.901 -110.0662
49.308798 79.923 -110.5920
49.666109 79.915 -111.1064
50.026010 79.889 -111.5392
50.388520 79.867 -111.8537
50.753656 79.865 -112.0637
51.121437 79.896 -112.2261
51.491884 79.961 -112.4132
51.865016 80.051 -112.6795
52.240851 80.155 -113.0423
52.619410 80.261 -113.4835
53.000712 80.361 -113.9649
53.384777 80.452 -114.4478
53.771625 80.533 -114.9065
54.161276 80.607 -115.3340
54.553751 80.673 -115.7386
54.949070 80.731 -116.1350
55.347254 80.781 -116.5356
55.748323 80.825 -116.9437
56.152298 80.864 -117.3543
56.559201 80.903 -117.7577
56.969052 80.947 -118.1431
57.381873 81.000 -118.5006
57.797686 81.062 -118.8206
58.216512 81.132 -119.0968
58.638373 81.208 -119.3319
59.063291 81.287 -119.5433
59.491288 81.367 -119.7613
59.922386 81.443 -120.0179
60.356608 81.514 -120.3332
60.793977 81.578 -120.7074
61.234515 81.636 -121.1242
61.678246 81.691 -121.5621
62.125192 81.748 -122.0056
62.575377 81.806 -122.4484
63.028824 81.866 -122.8899
63.485557 81.925 -123.3283
63.945599 81.981 -123.7574
64.408975 82.034 -124.1702
64.875709 82.086 -124.5658
65.345825 82.141 -124.9550
65.819348 82.199 -125.3581
66.296302 82.262 -125.7946
66.776713 82.326 -126.2704
67.260604 82.388 -126.7733
67.748002 82.449 -127.2791
68.238932 82.509 -127.7666
68.733420 82.570 -128.2290
69.231490 82.632 -128.6753
69.733170 82.693 -129.1226
70.238485 82.753 -129.5856
70.747463 82.810 -130.0714
71.260128 82.863 -130.5799
71.776508 82.913 -131.1063
72.296630 82.959 -131.6432
72.820521 83.003 -132.1827
73.348209 83.044 -132.7190
73.879720 83.084 -133.2510
74.415083 83.122 -133.7812
74.954326 83.160 -134.3116
75.497475 83.199 -134.8394
76.044561 83.239 -135.3583
76.595612 83.280 -135.8631
77.150655 83.322 -136.3527
77.709720 83.361 -136.8290
78.272837 83.398 -137.2961
78.840034 83.434 -137.7618
79.411342 83.470 -138.2367
79.986789 83.507 -138.7304
80.566406 83.547 -139.2460
81.150224 83.588 -139.7795
81.738272 83.628 -140.3236
82.330581 83.665 -140.8732
82.927182 83.698 -141.4267
83.528107 83.726 -141.9851
84.133386 83.751 -142.5506
84.743051 83.772 -143.1243
85.357134 83.790 -143.7059
85.975667 83.807 -144.2944
86.598682 83.825 -144.8933
87.226212 83.845 -145.5124
87.858289 83.869 -146.1645
88.494946 83.895 -146.8516
89.136217 83.922 -147.5519
89.782135 83.950 -148.2244
90.432733 83.981 -148.8323
91.088046 84.014 -149.3654
91.748108 84.047 -149.8400
92.412952 84.075 -150.2813
93.082615 84.096 -150.7098
93.757130 84.110 -151.1406
94.436533 84.119 -151.5870
95.120859 84.127 -152.0583
95.810144 84.138 -152.5573
96.504423 84.154 -153.0798
97.203734 84.173 -153.6160
97.908112 84.196 -154.1552
98.617595 84.219 -154.6938
99.332219 84.240 -155.2370
100.052021 84.255 -155.7928
100.777039 84.261 -156.3638
101.507311 84.259 -156.9457
102.242875 84.252 -157.5289
102.983769 84.244 -158.1018
103.730032 84.237 -158.6577
104.481702 84.231 -159.2038
105.238820 84.226 -159.7621
106.001424 84.220 -160.3559
106.769554 84.213 -160.9861
107.543250 84.205 -161.6216
108.322553 84.198 -162.2199
109.107503 84.188 -162.7629
109.898141 84.171 -163.2678
110.694508 84.148 -163.7661
111.496646 84.122 -164.2750
112.304596 84.097 -164.7925
113.118402 84.077 -165.3099
113.938104 84.061 -165.8246
114.763747 84.045 -166.3409
115.595372 84.028 -166.8647
116.433024 84.010 -167.3978
117.276746 83.992 -167.9383
118.126581 83.976 -168.4828
118.982575 83.964 -169.0215
119.844772 83.956 -169.5375
120.713217 83.951 -170.0191
121.587954 83.947 -170.4727
122.469031 83.940 -170.9222
123.356492 83.931 -171.3937
124.250384 83.917 -171.8936
125.150753 83.901 -172.4012
126.057647 83.881 -172.8872
126.971113 83.858 -173.3396
127.891198 83.830 -173.7685
128.817950 83.798 -174.1931
129.751418 83.763 -174.6272
130.691651 83.726 -175.0725
131.638696 83.687 -175.5214
132.592604 83.650 -175.9637
133.553425 83.617 -176.3930
134.521208 83.586 -176.8091
135.496004 83.557 -177.2171
136.477864 83.526 -177.6238
137.466839 83.494 -178.0319
138.462981 83.460 -178.4393
139.466340 83.425 -178.8405
140.476971 83.390 -179.2270
141.494925 83.354 -179.5924
142.520256 83.318 -179.9373
143.553016 83.280 179.7303
144.593260 83.243 179.4025
145.641043 83.204 179.0742
146.696418 83.163 178.7412
147.759441 83.118 178.4011
148.830166 83.072 178.0560
149.908651 83.028 177.7106
150.994951 82.991 177.3629
152.089123 82.959 177.0080
153.191223 82.930 176.6502
154.301310 82.899 176.2969
155.419441 82.866 175.9510
156.545674 82.829 175.6169
157.680069 82.791 175.3015
158.822683 82.750 175.0058
159.973578 82.704 174.7205
161.132813 82.655 174.4325
162.300447 82.605 174.1342
163.476543 82.555 173.8264
164.661162 82.508 173.5152
165.854364 82.463 173.2092
167.056213 82.421 172.9167
168.266772 82.380 172.6426
169.486102 82.337 172.3857
170.714268 82.292 172.1401
171.951334 82.245 171.8997
173.197364 82.196 171.6606
174.452424 82.146 171.4223
175.716578 82.097 171.1847
176.989893 82.048 170.9478
178.272434 81.999 170.7162
179.564270 81.954 170.4970
180.865467 81.912 170.2938
182.176092 81.875 170.1032
183.496216 81.839 169.9183
184.825905 81.802 169.7344
186.165229 81.762 169.5522
187.514259 81.719 169.3747
188.873065 81.674 169.2048
190.241717 81.629 169.0438
191.620287 81.584 168.8911
193.008847 81.540 168.7458
194.407468 81.497 168.6079
195.816225 81.454 168.4765
197.235190 81.411 168.3479
198.664438 81.367 168.2151
200.104042 81.321 168.0721
201.554078 81.273 167.9190
203.014622 81.222 167.7615
204.485750 81.171 167.6037
205.967538 81.120 167.4475
207.460064 81.070 167.2955
208.963405 81.022 167.1504
210.477640 80.974 167.0145
212.002848 80.924 166.8888
213.539108 80.873 166.7694
215.086500 80.823 166.6480
216.645105 80.773 166.5209
218.215005 80.726 166.3956
219.796281 80.681 166.2848
221.389015 80.637 166.1947
222.993292 80.592 166.1187
224.609193 80.547 166.0410
226.236804 80.501 165.9457
227.876209 80.455 165.8256
229.527494 80.410 165.6831
231.190745 80.363 165.5273
232.866048 80.314 165.3711
234.553491 80.261 165.2290
236.253163 80.204 165.1151
237.965150 80.143 165.0384
239.689544 80.081 165.0015
241.426433 80.019 165.0045
243.175909 79.960 165.0425
244.938062 79.903 165.1011
246.712984 79.848 165.1569
248.500768 79.794 165.1909
250.301507 79.740 165.1982
252.115295 79.688 165.1899
253.942226 79.639 165.1855
255.782396 79.594 165.1982
257.635901 79.551 165.2224
259.502837 79.510 165.2416
261.383301 79.469 165.2441
263.277392 79.425 165.2318
265.185209 79.379 165.2113
267.106850 79.334 165.1782
269.042417 79.289 165.1162
270.992009 79.246 165.0148
272.955729 79.204 164.8828
274.933678 79.157 164.7447
276.925961 79.105 164.6284
278.932681 79.045 164.5565
280.953942 78.979 164.5442
282.989850 78.905 164.5949
285.040511 78.826 164.7045
287.106032 78.745 164.8689
289.186521 78.666 165.0853
291.282086 78.591 165.3516
293.392836 78.523 165.6669
295.518881 78.463 166.0321
297.660333 78.412 166.4431
299.817302 78.373 166.8864
301.989902 78.351 167.3380
304.178245 78.348 167.7650
306.382446 78.365 168.1206
308.602620 78.399 168.3436
310.838882 78.443 168.3721
313.091348 78.488 168.1650
315.360137 78.522 167.7183
317.645367 78.535 167.0706
319.947156 78.515 166.3011
322.265625 78.455 165.5206
324.600895 78.355 164.8525
326.953086 78.224 164.3983
329.322323 78.077 164.2091
331.708729 77.931 164.2794
334.112427 77.798 164.5625
336.533543 77.684 164.9930
338.972204 77.590 165.5096
341.428536 77.513 166.0661
343.902668 77.450 166.6266
346.394729 77.398 167.1617
348.904848 77.354 167.6600
351.433156 77.315 168.1231
353.979786 77.278 168.5524
356.544869 77.245 168.9496
