* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -20,0 dBFS with no timing reference
* Dated: 02.02.2025 18:46:10
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: bio closed
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 80.295 -76.9962
20.287556 80.314 -76.7456
20.434568 80.343 -76.3669
20.582645 80.384 -75.8948
20.731796 80.438 -75.3775
20.882027 80.505 -74.8742
21.033346 80.584 -74.4479
21.185763 80.674 -74.1574
21.339284 80.768 -74.0492
21.493917 80.862 -74.1504
21.649671 80.948 -74.4658
21.806553 81.021 -74.9782
21.964572 81.075 -75.6497
22.123737 81.109 -76.4277
22.284054 81.120 -77.2490
22.445534 81.112 -78.0473
22.608183 81.089 -78.7595
22.772012 81.057 -79.3325
22.937027 81.026 -79.7304
23.103238 81.003 -79.9390
23.270654 80.997 -79.9690
23.439282 81.013 -79.8543
23.609133 81.053 -79.6462
23.780215 81.115 -79.4035
23.952536 81.193 -79.1823
24.126106 81.281 -79.0263
24.300934 81.369 -78.9617
24.477028 81.450 -78.9973
24.654399 81.519 -79.1267
24.833055 81.574 -79.3353
25.013005 81.614 -79.6058
25.194260 81.642 -79.9252
25.376828 81.663 -80.2887
25.560719 81.683 -80.7018
25.745942 81.707 -81.1788
25.932508 81.736 -81.7379
26.120426 81.773 -82.3949
26.309705 81.815 -83.1550
26.500356 81.858 -84.0069
26.692388 81.897 -84.9197
26.885812 81.929 -85.8427
27.080638 81.951 -86.7102
27.276876 81.962 -87.4477
27.474535 81.967 -87.9824
27.673627 81.972 -88.2541
27.874161 81.989 -88.2280
28.076149 82.026 -87.9044
28.279600 82.095 -87.3247
28.484526 82.201 -86.5686
28.690937 82.345 -85.7421
28.898843 82.522 -84.9577
29.108256 82.721 -84.3143
29.319186 82.928 -83.8819
29.531645 83.129 -83.6955
29.745644 83.313 -83.7563
29.961193 83.471 -84.0389
30.178304 83.596 -84.4990
30.396989 83.688 -85.0817
30.617258 83.747 -85.7276
30.839123 83.779 -86.3787
31.062596 83.790 -86.9831
31.287688 83.791 -87.4998
31.514412 83.792 -87.9032
31.742778 83.801 -88.1852
31.972800 83.827 -88.3554
32.204488 83.874 -88.4376
32.437855 83.941 -88.4626
32.672913 84.025 -88.4594
32.909674 84.119 -88.4473
33.148151 84.216 -88.4323
33.388356 84.308 -88.4073
33.630302 84.390 -88.3576
33.874001 84.461 -88.2687
34.119466 84.522 -88.1349
34.366710 84.576 -87.9656
34.615745 84.628 -87.7876
34.866585 84.683 -87.6414
35.119243 84.744 -87.5733
35.373731 84.814 -87.6243
35.630064 84.892 -87.8196
35.888254 84.978 -88.1618
36.148315 85.071 -88.6292
36.410261 85.169 -89.1783
36.674104 85.271 -89.7517
36.939860 85.375 -90.2859
37.207542 85.477 -90.7210
37.477163 85.575 -91.0094
37.748738 85.667 -91.1222
38.022281 85.748 -91.0535
38.297806 85.818 -90.8220
38.575327 85.875 -90.4693
38.854860 85.918 -90.0540
39.136419 85.949 -89.6437
39.420017 85.968 -89.3037
39.705671 85.978 -89.0865
39.993395 85.983 -89.0225
40.283203 85.989 -89.1154
40.575112 85.999 -89.3417
40.869136 86.021 -89.6567
41.165290 86.058 -90.0055
41.463591 86.113 -90.3359
41.764053 86.186 -90.6123
42.066693 86.276 -90.8242
42.371525 86.379 -90.9875
42.678567 86.488 -91.1378
42.987834 86.600 -91.3182
43.299341 86.707 -91.5674
43.613106 86.807 -91.9107
43.929145 86.896 -92.3567
44.247473 86.973 -92.8969
44.568109 87.035 -93.5079
44.891068 87.082 -94.1545
45.216367 87.114 -94.7968
45.544023 87.138 -95.4063
45.874054 87.167 -95.9894
46.206476 87.220 -96.6108
46.541307 87.314 -97.3956
46.878565 87.453 -98.4901
47.218266 87.623 -99.9852
47.560429 87.794 -101.8390
47.905072 87.931 -103.8452
48.252212 88.008 -105.6660
48.601867 88.020 -106.9158
48.954056 87.985 -107.2773
49.308798 87.939 -106.6273
49.666109 87.923 -105.1274
50.026010 87.957 -103.1949
50.388520 88.030 -101.3237
50.753656 88.115 -99.8665
51.121437 88.183 -98.9389
51.491884 88.223 -98.4713
51.865016 88.246 -98.3206
52.240851 88.270 -98.3567
52.619410 88.310 -98.4920
53.000712 88.369 -98.6684
53.384777 88.440 -98.8365
53.771625 88.513 -98.9568
54.161276 88.582 -99.0180
54.553751 88.645 -99.0508
54.949070 88.704 -99.1151
55.347254 88.759 -99.2655
55.748323 88.811 -99.5192
56.152298 88.861 -99.8492
56.559201 88.916 -100.2038
56.969052 88.980 -100.5364
57.381873 89.054 -100.8246
57.797686 89.137 -101.0688
58.216512 89.224 -101.2796
58.638373 89.311 -101.4645
59.063291 89.398 -101.6244
59.491288 89.485 -101.7574
59.922386 89.574 -101.8622
60.356608 89.665 -101.9396
60.793977 89.754 -101.9887
61.234515 89.836 -102.0061
61.678246 89.908 -101.9919
62.125192 89.971 -101.9600
62.575377 90.029 -101.9453
63.028824 90.087 -101.9957
63.485557 90.149 -102.1487
63.945599 90.215 -102.4081
64.408975 90.285 -102.7383
64.875709 90.356 -103.0828
65.345825 90.428 -103.3964
65.819348 90.500 -103.6683
66.296302 90.567 -103.9220
66.776713 90.628 -104.1951
67.260604 90.680 -104.5121
67.748002 90.724 -104.8663
68.238932 90.765 -105.2199
68.733420 90.807 -105.5215
69.231490 90.856 -105.7333
69.733170 90.914 -105.8525
70.238485 90.979 -105.9149
70.747463 91.047 -105.9779
71.260128 91.114 -106.0945
71.776508 91.178 -106.2958
72.296630 91.241 -106.5851
72.820521 91.306 -106.9434
73.348209 91.375 -107.3359
73.879720 91.447 -107.7220
74.415083 91.521 -108.0680
74.954326 91.595 -108.3626
75.497475 91.665 -108.6221
76.044561 91.730 -108.8802
76.595612 91.789 -109.1680
77.150655 91.842 -109.4961
77.709720 91.892 -109.8516
78.272837 91.944 -110.2064
78.840034 92.000 -110.5314
79.411342 92.057 -110.8096
79.986789 92.113 -111.0409
80.566406 92.165 -111.2410
81.150224 92.214 -111.4335
81.738272 92.263 -111.6428
82.330581 92.319 -111.8840
82.927182 92.388 -112.1554
83.528107 92.469 -112.4381
84.133386 92.561 -112.7068
84.743051 92.657 -112.9453
85.357134 92.751 -113.1554
85.975667 92.837 -113.3536
86.598682 92.911 -113.5611
87.226212 92.973 -113.7962
87.858289 93.026 -114.0711
88.494946 93.076 -114.3943
89.136217 93.128 -114.7708
89.782135 93.188 -115.1953
90.432733 93.254 -115.6451
91.088046 93.325 -116.0833
91.748108 93.396 -116.4741
92.412952 93.464 -116.7995
93.082615 93.529 -117.0674
93.757130 93.589 -117.3064
94.436533 93.646 -117.5508
95.120859 93.702 -117.8232
95.810144 93.760 -118.1296
96.504423 93.820 -118.4632
97.203734 93.884 -118.8101
97.908112 93.948 -119.1556
98.617595 94.013 -119.4925
99.332219 94.077 -119.8259
100.052021 94.139 -120.1707
100.777039 94.199 -120.5426
101.507311 94.256 -120.9497
102.242875 94.310 -121.3819
102.983769 94.363 -121.8094
103.730032 94.415 -122.1977
104.481702 94.467 -122.5324
105.238820 94.516 -122.8323
106.001424 94.561 -123.1377
106.769554 94.604 -123.4819
107.543250 94.648 -123.8719
108.322553 94.695 -124.2944
109.107503 94.748 -124.7338
109.898141 94.805 -125.1812
110.694508 94.864 -125.6305
111.496646 94.920 -126.0733
112.304596 94.971 -126.5001
113.118402 95.017 -126.9065
113.938104 95.060 -127.2968
114.763747 95.104 -127.6833
115.595372 95.153 -128.0832
116.433024 95.206 -128.5112
117.276746 95.263 -128.9708
118.126581 95.319 -129.4519
118.982575 95.371 -129.9364
119.844772 95.415 -130.4116
120.713217 95.455 -130.8746
121.587954 95.492 -131.3254
122.469031 95.529 -131.7611
123.356492 95.569 -132.1788
124.250384 95.611 -132.5802
125.150753 95.655 -132.9733
126.057647 95.700 -133.3683
126.971113 95.744 -133.7687
127.891198 95.784 -134.1701
128.817950 95.818 -134.5690
129.751418 95.847 -134.9677
130.691651 95.874 -135.3701
131.638696 95.903 -135.7767
132.592604 95.936 -136.1888
133.553425 95.972 -136.6154
134.521208 96.012 -137.0662
135.496004 96.054 -137.5397
136.477864 96.098 -138.0219
137.466839 96.143 -138.4965
138.462981 96.184 -138.9584
139.466340 96.217 -139.4140
140.476971 96.240 -139.8746
141.494925 96.249 -140.3553
142.520256 96.249 -140.8729
143.553016 96.245 -141.4344
144.593260 96.249 -142.0285
145.641043 96.267 -142.6331
146.696418 96.296 -143.2250
147.759441 96.331 -143.7879
148.830166 96.363 -144.3142
149.908651 96.389 -144.8020
150.994951 96.408 -145.2553
152.089123 96.424 -145.6844
153.191223 96.438 -146.0999
154.301310 96.453 -146.5080
155.419441 96.469 -146.9143
156.545674 96.485 -147.3262
157.680069 96.498 -147.7529
158.822683 96.508 -148.1999
159.973578 96.516 -148.6651
161.132813 96.522 -149.1387
162.300447 96.527 -149.6091
163.476543 96.532 -150.0691
164.661162 96.538 -150.5184
165.854364 96.544 -150.9639
167.056213 96.553 -151.4133
168.266772 96.562 -151.8691
169.486102 96.570 -152.3284
170.714268 96.576 -152.7867
171.951334 96.581 -153.2401
173.197364 96.583 -153.6859
174.452424 96.585 -154.1248
175.716578 96.586 -154.5588
176.989893 96.587 -154.9895
178.272434 96.588 -155.4172
179.564270 96.588 -155.8411
180.865467 96.586 -156.2605
182.176092 96.583 -156.6768
183.496216 96.578 -157.0944
184.825905 96.571 -157.5166
186.165229 96.561 -157.9416
187.514259 96.551 -158.3630
188.873065 96.540 -158.7747
190.241717 96.530 -159.1737
191.620287 96.520 -159.5599
193.008847 96.511 -159.9359
194.407468 96.502 -160.3064
195.816225 96.493 -160.6760
197.235190 96.483 -161.0464
198.664438 96.472 -161.4176
200.104042 96.458 -161.7906
201.554078 96.444 -162.1684
203.014622 96.429 -162.5526
204.485750 96.415 -162.9427
205.967538 96.402 -163.3349
207.460064 96.390 -163.7231
208.963405 96.377 -164.1007
210.477640 96.363 -164.4632
212.002848 96.346 -164.8098
213.539108 96.327 -165.1442
215.086500 96.305 -165.4721
216.645105 96.281 -165.7978
218.215005 96.256 -166.1241
219.796281 96.230 -166.4523
221.389015 96.204 -166.7819
222.993292 96.180 -167.1105
224.609193 96.156 -167.4338
226.236804 96.133 -167.7486
227.876209 96.110 -168.0542
229.527494 96.087 -168.3527
231.190745 96.065 -168.6456
232.866048 96.041 -168.9306
234.553491 96.017 -169.2016
236.253163 95.993 -169.4559
237.965150 95.968 -169.6962
239.689544 95.943 -169.9256
241.426433 95.918 -170.1457
243.175909 95.895 -170.3578
244.938062 95.872 -170.5662
246.712984 95.850 -170.7789
248.500768 95.828 -171.0056
250.301507 95.804 -171.2516
252.115295 95.780 -171.5144
253.942226 95.755 -171.7867
255.782396 95.730 -172.0604
257.635901 95.704 -172.3284
259.502837 95.676 -172.5849
261.383301 95.648 -172.8259
263.277392 95.620 -173.0509
265.185209 95.592 -173.2644
267.106850 95.565 -173.4717
269.042417 95.539 -173.6778
270.992009 95.512 -173.8851
272.955729 95.485 -174.0899
274.933678 95.458 -174.2872
276.925961 95.432 -174.4751
278.932681 95.408 -174.6543
280.953942 95.384 -174.8295
282.989850 95.361 -175.0124
285.040511 95.335 -175.2182
287.106032 95.307 -175.4561
289.186521 95.275 -175.7189
291.282086 95.238 -175.9840
293.392836 95.200 -176.2273
295.518881 95.159 -176.4381
297.660333 95.117 -176.6197
299.817302 95.076 -176.7823
301.989902 95.036 -176.9352
304.178245 94.996 -177.0786
306.382446 94.955 -177.2036
308.602620 94.913 -177.3022
310.838882 94.868 -177.3741
313.091348 94.822 -177.4268
315.360137 94.776 -177.4673
317.645367 94.731 -177.4999
319.947156 94.691 -177.5267
322.265625 94.655 -177.5445
324.600895 94.624 -177.5495
326.953086 94.597 -177.5467
329.322323 94.575 -177.5524
331.708729 94.558 -177.5873
334.112427 94.542 -177.6638
336.533543 94.526 -177.7789
338.972204 94.509 -177.9163
