* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -13,4 dBFS, measurement signal peak level -13,4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 13.02.2024 22:45:44
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0208 ms (-7,1 mm, -0,28 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: CNT
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 87.504 136.7290
20.333664 87.531 136.5453
20.481010 87.570 136.2809
20.629424 87.618 135.9688
20.778913 87.673 135.6368
20.929486 87.734 135.3044
21.081150 87.800 134.9824
21.233912 87.874 134.6747
21.387782 87.956 134.3796
21.542767 88.046 134.0925
21.698874 88.146 133.8074
21.856113 88.253 133.5188
22.014492 88.366 133.2235
22.174018 88.482 132.9213
22.334700 88.599 132.6160
22.496546 88.714 132.3147
22.659566 88.823 132.0273
22.823766 88.926 131.7647
22.989157 89.021 131.5373
23.155745 89.108 131.3529
23.323542 89.187 131.2150
23.492554 89.260 131.1217
23.662790 89.330 131.0644
23.834261 89.397 131.0284
24.006973 89.465 130.9942
24.180938 89.535 130.9394
24.356163 89.608 130.8414
24.532658 89.684 130.6808
24.710431 89.765 130.4434
24.889493 89.849 130.1228
25.069853 89.937 129.7204
25.251519 90.028 129.2457
25.434502 90.122 128.7145
25.618811 90.220 128.1467
25.804456 90.322 127.5642
25.991445 90.428 126.9880
26.179790 90.538 126.4363
26.369500 90.652 125.9232
26.560584 90.770 125.4579
26.753053 90.889 125.0448
26.946917 91.008 124.6843
27.142185 91.125 124.3737
27.338869 91.239 124.1077
27.536977 91.347 123.8793
27.736522 91.451 123.6802
27.937512 91.548 123.5009
28.139959 91.641 123.3306
28.343872 91.729 123.1580
28.549264 91.815 122.9713
28.756143 91.899 122.7597
28.964522 91.984 122.5146
29.174411 92.070 122.2307
29.385821 92.156 121.9071
29.598763 92.244 121.5477
29.813248 92.333 121.1613
30.029287 92.422 120.7601
30.246891 92.509 120.3589
30.466073 92.595 119.9723
30.686842 92.679 119.6136
30.909212 92.759 119.2922
31.133193 92.838 119.0127
31.358797 92.914 118.7738
31.586035 92.989 118.5682
31.814921 93.065 118.3834
32.045465 93.141 118.2033
32.277680 93.219 118.0110
32.511577 93.298 117.7912
32.747169 93.379 117.5332
32.984469 93.460 117.2333
33.223488 93.543 116.8953
33.464239 93.625 116.5300
33.706735 93.707 116.1531
33.950987 93.789 115.7818
34.197010 93.872 115.4312
34.444816 93.956 115.1112
34.694417 94.043 114.8244
34.945827 94.131 114.5664
35.199059 94.222 114.3270
35.454126 94.313 114.0935
35.711041 94.403 113.8538
35.969818 94.491 113.5989
36.230470 94.575 113.3242
36.493011 94.655 113.0294
36.757455 94.732 112.7174
37.023814 94.805 112.3924
37.292104 94.878 112.0583
37.562338 94.951 111.7180
37.834530 95.025 111.3727
38.108695 95.101 111.0222
38.384846 95.180 110.6657
38.662999 95.261 110.3032
38.943167 95.344 109.9355
39.225365 95.427 109.5660
39.509608 95.511 109.2003
39.795911 95.594 108.8461
40.084289 95.678 108.5119
40.374756 95.761 108.2048
40.667328 95.845 107.9283
40.962020 95.929 107.6801
41.258848 96.014 107.4517
41.557827 96.098 107.2306
41.858972 96.180 107.0033
42.162299 96.258 106.7591
42.467824 96.332 106.4928
42.775564 96.402 106.2038
43.085533 96.471 105.8937
43.397749 96.543 105.5626
43.712227 96.621 105.2076
44.028983 96.707 104.8253
44.348036 96.798 104.4166
44.669400 96.892 103.9931
44.993093 96.981 103.5776
45.319131 97.063 103.1977
45.647532 97.135 102.8736
45.978313 97.198 102.6044
46.311491 97.254 102.3614
46.647083 97.307 102.0938
46.985107 97.356 101.7473
47.325581 97.400 101.2886
47.668521 97.441 100.7236
48.013947 97.478 100.0989
48.361876 97.519 99.4869
48.712326 97.571 98.9582
49.065315 97.643 98.5556
49.420863 97.739 98.2809
49.778987 97.855 98.1020
50.139706 97.984 97.9722
50.503039 98.114 97.8512
50.869005 98.235 97.7146
51.237623 98.342 97.5526
51.608912 98.435 97.3622
51.982891 98.515 97.1426
52.359580 98.587 96.8950
52.739000 98.656 96.6245
53.121168 98.723 96.3406
53.506106 98.791 96.0524
53.893833 98.860 95.7635
54.284370 98.929 95.4708
54.677737 98.996 95.1689
55.073955 99.058 94.8569
55.473043 99.115 94.5423
55.875024 99.168 94.2367
56.279917 99.222 93.9466
56.687745 99.282 93.6671
57.098527 99.350 93.3841
57.512287 99.426 93.0839
57.929045 99.508 92.7625
58.348822 99.592 92.4274
58.771642 99.678 92.0896
59.197525 99.764 91.7532
59.626495 99.851 91.4118
60.058573 99.936 91.0535
60.493782 100.018 90.6702
60.932145 100.093 90.2641
61.373685 100.161 89.8470
61.818424 100.225 89.4333
62.266386 100.288 89.0335
62.717593 100.352 88.6505
63.172071 100.420 88.2792
63.629842 100.493 87.9100
64.090930 100.567 87.5326
64.555359 100.640 87.1415
65.023154 100.711 86.7384
65.494339 100.779 86.3315
65.968938 100.844 85.9304
66.446976 100.909 85.5423
66.928478 100.976 85.1706
67.413469 101.045 84.8150
67.901975 101.117 84.4727
68.394021 101.189 84.1371
68.889632 101.262 83.7984
69.388835 101.333 83.4466
69.891655 101.403 83.0755
70.398118 101.471 82.6843
70.908252 101.540 82.2763
71.422083 101.609 81.8558
71.939636 101.679 81.4269
72.460941 101.750 80.9939
72.986023 101.820 80.5622
73.514909 101.888 80.1382
74.047629 101.954 79.7254
74.584208 102.017 79.3220
75.124676 102.080 78.9220
75.669061 102.143 78.5192
76.217390 102.205 78.1113
76.769692 102.267 77.7001
77.325997 102.329 77.2888
77.886333 102.389 76.8786
78.450730 102.448 76.4690
79.019216 102.505 76.0590
79.591822 102.562 75.6473
80.168577 102.620 75.2335
80.749512 102.679 74.8182
81.334656 102.740 74.4038
81.924040 102.803 73.9931
82.517696 102.866 73.5865
83.115653 102.928 73.1808
83.717943 102.988 72.7695
84.324598 103.046 72.3457
84.935649 103.103 71.9058
85.551128 103.159 71.4529
86.171066 103.213 70.9961
86.795497 103.266 70.5462
87.424453 103.319 70.1081
88.057967 103.375 69.6784
88.696071 103.432 69.2494
89.338800 103.492 68.8159
89.986185 103.552 68.3767
90.638262 103.612 67.9316
91.295065 103.671 67.4782
91.956626 103.728 67.0140
92.622982 103.782 66.5392
93.294166 103.834 66.0582
93.970214 103.883 65.5774
94.651161 103.929 65.1023
95.337042 103.972 64.6350
96.027894 104.012 64.1756
96.723752 104.052 63.7248
97.424652 104.092 63.2839
98.130631 104.133 62.8534
98.841726 104.176 62.4284
99.557974 104.220 61.9989
100.279412 104.265 61.5539
101.006078 104.310 61.0896
101.738010 104.353 60.6110
102.475245 104.396 60.1267
103.217823 104.437 59.6430
103.965782 104.478 59.1626
104.719161 104.517 58.6870
105.477999 104.557 58.2178
106.242336 104.597 57.7559
107.012212 104.638 57.3011
107.787666 104.678 56.8507
108.568740 104.717 56.3971
109.355474 104.756 55.9308
110.147909 104.793 55.4448
110.946086 104.829 54.9384
111.750047 104.865 54.4171
112.559834 104.899 53.8890
113.375489 104.932 53.3592
114.197055 104.963 52.8289
115.024574 104.992 52.2987
115.858089 105.020 51.7698
116.697645 105.048 51.2439
117.543284 105.076 50.7216
118.395051 105.104 50.2045
119.252990 105.132 49.6997
120.117147 105.160 49.2163
120.987565 105.188 48.7552
121.864291 105.217 48.3056
122.747370 105.247 47.8498
123.636848 105.277 47.3765
124.532771 105.304 46.8915
125.435187 105.329 46.4094
126.344142 105.351 45.9400
127.259684 105.370 45.4857
128.181860 105.388 45.0414
129.110718 105.404 44.5967
130.046308 105.419 44.1421
130.988677 105.434 43.6759
131.937875 105.448 43.2043
132.893951 105.462 42.7356
133.856956 105.475 42.2747
134.826938 105.487 41.8210
135.803950 105.500 41.3708
136.788041 105.513 40.9203
137.779264 105.527 40.4669
138.777669 105.541 40.0076
139.783309 105.556 39.5398
140.796237 105.571 39.0638
141.816504 105.587 38.5823
142.844165 105.601 38.0994
143.879273 105.615 37.6201
144.921881 105.626 37.1500
145.972045 105.636 36.6930
147.029819 105.645 36.2481
148.095257 105.651 35.8093
149.168417 105.657 35.3694
150.249353 105.662 34.9255
151.338121 105.665 34.4804
152.434780 105.668 34.0391
153.539385 105.670 33.6040
154.651995 105.672 33.1750
155.772667 105.673 32.7503
156.901460 105.673 32.3288
158.038432 105.673 31.9094
159.183644 105.672 31.4910
160.337154 105.671 31.0727
161.499023 105.669 30.6547
162.669312 105.666 30.2380
163.848081 105.663 29.8242
165.035392 105.659 29.4150
166.231306 105.654 29.0115
167.435887 105.649 28.6140
168.649196 105.643 28.2226
169.871298 105.637 27.8372
171.102255 105.631 27.4581
172.342133 105.625 27.0846
173.590995 105.619 26.7150
174.848907 105.612 26.3467
176.115934 105.604 25.9785
177.392143 105.595 25.6111
178.677599 105.586 25.2463
179.972371 105.575 24.8858
181.276525 105.564 24.5298
182.590129 105.552 24.1774
183.913252 105.541 23.8276
185.245964 105.529 23.4806
186.588332 105.517 23.1374
187.940428 105.506 22.7989
189.302322 105.495 22.4648
190.674085 105.484 22.1348
192.055788 105.471 21.8104
193.447503 105.458 21.4938
194.849303 105.443 21.1852
196.261262 105.428 20.8824
197.683452 105.411 20.5817
199.115948 105.395 20.2807
200.558824 105.380 19.9799
202.012156 105.365 19.6813
203.476019 105.350 19.3857
204.950490 105.335 19.0935
206.435646 105.321 18.8055
207.931564 105.305 18.5219
209.438322 105.289 18.2431
210.955998 105.273 17.9697
212.484672 105.256 17.7016
214.024424 105.238 17.4379
215.575333 105.221 17.1776
217.137481 105.203 16.9211
218.710948 105.184 16.6694
220.295818 105.164 16.4242
221.892172 105.143 16.1867
223.500094 105.121 15.9560
225.119668 105.099 15.7289
226.750978 105.077 15.5019
228.394109 105.057 15.2746
230.049147 105.037 15.0500
231.716178 105.017 14.8328
233.395289 104.997 14.6259
235.086567 104.977 14.4273
236.790102 104.958 14.2313
238.505980 104.938 14.0337
240.234293 104.919 13.8357
241.975130 104.898 13.6401
243.728581 104.877 13.4467
245.494739 104.855 13.2513
247.273695 104.834 13.0488
249.065542 104.812 12.8393
250.870374 104.792 12.6319
252.688284 104.772 12.4381
254.519367 104.752 12.2623
256.363720 104.732 12.1000
258.221437 104.711 11.9442
260.092616 104.690 11.7907
261.977354 104.668 11.6385
263.875750 104.647 11.4879
265.787903 104.624 11.3402
267.713911 104.602 11.1967
269.653877 104.581 11.0584
271.607900 104.559 10.9251
273.576083 104.539 10.7960
275.558528 104.520 10.6707
277.555338 104.501 10.5482
279.566619 104.484 10.4262
281.592474 104.466 10.3012
283.633009 104.447 10.1711
285.688331 104.427 10.0391
287.758546 104.407 9.9095
289.843763 104.387 9.7843
291.944090 104.368 9.6637
294.059638 104.348 9.5488
296.190515 104.328 9.4436
298.336833 104.307 9.3520
300.498705 104.285 9.2732
302.676243 104.265 9.2017
304.869559 104.245 9.1317
307.078770 104.225 9.0604
309.303989 104.205 8.9890
311.545334 104.184 8.9199
313.802919 104.161 8.8543
316.076865 104.138 8.7921
318.367288 104.115 8.7328
320.674309 104.093 8.6755
322.998047 104.072 8.6192
325.338624 104.053 8.5630
327.696162 104.035 8.5062
330.070783 104.016 8.4487
332.462612 103.998 8.3912
334.871773 103.980 8.3346
337.298392 103.963 8.2798
339.742595 103.947 8.2271
342.204510 103.931 8.1764
344.684265 103.916 8.1282
347.181989 103.900 8.0831
349.697813 103.885 8.0408
352.231868 103.870 8.0003
354.784285 103.856 7.9616
357.355198 103.842 7.9258
359.944741 103.830 7.8952
362.553049 103.818 7.8725
365.180258 103.805 7.8594
367.826505 103.791 7.8530
370.491927 103.775 7.8480
373.176665 103.759 7.8393
375.880856 103.744 7.8241
378.604644 103.729 7.8035
381.348169 103.717 7.7812
384.111575 103.705 7.7619
386.895006 103.696 7.7495
389.698607 103.687 7.7434
392.522524 103.679 7.7361
395.366904 103.671 7.7189
398.231895 103.664 7.6859
