* Measurement data measured by REW V5.40 beta 98
* Source: Микрофон (HiBy Digital D1), MICROPHONE (Общая громкость), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -15,0 dBFS with no timing reference
* Dated: 03.10.2025 15:42:48
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CNT-H
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 44.164 -100.2154
0.368865 44.153 -99.8963
0.371538 44.135 -99.5945
0.374230 44.114 -99.3054
0.376942 44.090 -99.0250
0.379673 44.064 -98.7503
0.382424 44.037 -98.4795
0.385196 44.009 -98.2112
0.387987 43.981 -97.9449
0.390798 43.953 -97.6802
0.393630 43.924 -97.4169
0.396483 43.895 -97.1551
0.399356 43.865 -96.8946
0.402250 43.836 -96.6355
0.405165 43.806 -96.3780
0.408101 43.776 -96.1219
0.411058 43.746 -95.8676
0.414037 43.715 -95.6149
0.417037 43.685 -95.3639
0.420059 43.654 -95.1149
0.423103 43.623 -94.8678
0.426169 43.592 -94.6228
0.429257 43.560 -94.3798
0.432368 43.528 -94.1392
0.435501 43.496 -93.9008
0.438656 43.464 -93.6649
0.441835 43.432 -93.4315
0.445037 43.399 -93.2007
0.448262 43.366 -92.9727
0.451510 43.333 -92.7475
0.454782 43.299 -92.5253
0.458077 43.266 -92.3062
0.461397 43.232 -92.0904
0.464740 43.198 -91.8778
0.468108 43.163 -91.6688
0.471500 43.129 -91.4633
0.474917 43.094 -91.2616
0.478358 43.058 -91.0637
0.481825 43.023 -90.8699
0.485316 42.987 -90.6802
0.488833 42.952 -90.4948
0.492375 42.915 -90.3139
0.495943 42.879 -90.1375
0.499537 42.842 -89.9659
0.503157 42.805 -89.7992
0.506803 42.768 -89.6376
0.510475 42.730 -89.4812
0.514175 42.693 -89.3301
0.517900 42.655 -89.1846
0.521653 42.616 -89.0448
0.525434 42.578 -88.9108
0.529241 42.539 -88.7828
0.533076 42.500 -88.6610
0.536939 42.460 -88.5455
0.540830 42.420 -88.4365
0.544749 42.380 -88.3341
0.548696 42.340 -88.2384
0.552673 42.300 -88.1497
0.556677 42.259 -88.0679
0.560711 42.217 -87.9933
0.564774 42.176 -87.9260
0.568867 42.134 -87.8520
0.572989 42.092 -87.7793
0.577141 42.050 -87.7141
0.581324 42.007 -87.6563
0.585536 41.964 -87.6060
0.589779 41.921 -87.5632
0.594053 41.877 -87.5280
0.598358 41.833 -87.5003
0.602694 41.789 -87.4802
0.607061 41.744 -87.4674
0.611460 41.699 -87.4620
0.615891 41.654 -87.4639
0.620354 41.608 -87.4728
0.624849 41.562 -87.4886
0.629377 41.516 -87.5110
0.633938 41.470 -87.5399
0.638532 41.423 -87.5748
0.643159 41.375 -87.6154
0.647819 41.328 -87.6614
0.652514 41.280 -87.7122
0.657242 41.232 -87.7673
0.662005 41.183 -87.8263
0.666802 41.134 -87.8885
0.671634 41.085 -87.9531
0.676501 41.035 -88.0195
0.681403 40.985 -88.0869
0.686341 40.934 -88.1543
0.691314 40.883 -88.2208
0.696324 40.832 -88.2853
0.701370 40.780 -88.3466
0.706452 40.726 -88.4034
0.711571 40.672 -88.4541
0.716728 40.615 -88.4973
0.721921 40.555 -88.5316
0.727153 40.490 -88.5566
0.732422 40.418 -88.5732
0.737729 40.339 -88.5847
0.743075 40.252 -88.5970
0.748460 40.159 -88.6164
0.753883 40.059 -88.6485
0.759346 39.953 -88.6975
0.764849 39.843 -88.7666
0.770391 39.728 -89.1552
0.775974 39.608 -89.6486
0.781597 39.485 -90.1704
0.787261 39.357 -90.7218
0.792966 39.226 -91.3042
0.798712 39.091 -91.9186
0.804500 38.952 -92.5663
0.810329 38.809 -93.2484
0.816201 38.663 -93.9659
0.822116 38.514 -94.7201
0.828073 38.362 -95.5118
0.834074 38.206 -96.3421
0.840118 38.047 -97.2119
0.846206 37.886 -98.1221
0.852338 37.721 -99.0732
0.858514 37.554 -100.0660
0.864735 37.384 -101.1008
0.871001 37.212 -102.1778
0.877313 37.038 -103.2972
0.883670 36.862 -104.4587
0.890074 36.684 -105.6619
0.896524 36.504 -106.9062
0.903020 36.323 -108.1905
0.909564 36.140 -109.5135
0.916155 35.957 -110.8737
0.922794 35.772 -112.2691
0.929481 35.587 -113.6973
0.936216 35.402 -115.1559
0.943000 35.217 -116.6420
0.949834 35.031 -118.1524
0.956717 34.847 -119.6837
0.963649 34.663 -121.2322
0.970632 34.479 -122.8328
0.977666 34.298 -124.4631
0.984750 34.118 -126.0995
0.991886 33.940 -127.7380
0.999074 33.764 -129.3750
1.006314 33.591 -131.0065
1.013606 33.422 -132.6293
1.020951 33.256 -134.2400
1.028349 33.094 -135.8357
1.035801 32.936 -137.4140
1.043307 32.784 -138.9729
1.050867 32.638 -140.5108
1.058482 32.498 -142.0274
1.066152 32.367 -143.5229
1.073878 32.246 -144.9993
1.081660 32.138 -146.4601
1.089498 32.045 -147.9113
1.097393 31.969 -149.3613
1.105345 31.913 -150.8202
1.113355 31.873 -152.2980
1.121423 31.845 -153.8035
1.129549 31.826 -155.3426
1.137734 31.811 -156.9187
1.145979 31.799 -158.5330
1.154283 31.788 -160.1851
1.162647 31.777 -161.8732
1.171072 31.766 -163.5822
1.179558 31.753 -165.3124
1.188106 31.740 -167.0674
1.196715 31.726 -168.8420
1.205387 31.711 -170.6308
1.214122 31.695 -172.4276
1.222920 31.679 -174.2261
1.231782 31.661 -176.0198
1.240708 31.644 -177.8022
1.249699 31.625 -179.5666
1.258754 31.606 178.6932
1.267876 31.587 176.9832
1.277063 31.567 175.3091
1.286318 31.548 173.6760
1.295639 31.528 172.0885
1.305027 31.508 170.5505
1.314484 31.489 169.0654
1.324009 31.469 167.6360
1.333604 31.450 166.2644
1.343268 31.432 164.9521
1.353002 31.414 163.7002
1.362806 31.397 162.5090
1.372681 31.381 161.3184
1.382628 31.366 160.1587
1.392647 31.352 159.0574
1.402739 31.339 158.0129
1.412904 31.328 157.0229
1.423142 31.318 156.0840
1.433455 31.310 155.1919
1.443843 31.303 154.3401
1.454305 31.297 153.5206
1.464844 31.292 152.7231
1.475459 31.288 151.9369
1.486150 31.284 151.1516
1.496920 31.282 150.3598
1.507767 31.280 149.5568
1.518693 31.280 148.7407
1.529698 31.281 147.9111
1.540783 31.283 147.0692
1.551948 31.286 146.2169
1.563194 31.290 145.3562
1.574521 31.295 144.4125
1.585931 31.301 143.4393
1.597423 31.307 142.4648
1.608999 31.314 141.4914
1.620658 31.320 140.5216
1.632402 31.327 139.5579
1.644232 31.334 138.6024
1.656146 31.340 137.6573
1.668147 31.346 136.7245
1.680235 31.351 135.8058
1.692411 31.355 134.9028
1.704675 31.358 134.0167
1.717028 31.359 133.1487
1.729470 31.359 132.2996
1.742003 31.357 131.4697
1.754626 31.352 130.6589
1.767341 31.346 129.8593
1.780147 31.336 129.0161
1.793047 31.324 128.1852
1.806040 31.308 127.3615
1.819128 31.290 126.5369
1.832310 31.267 125.7012
1.845587 31.241 124.8429
1.858961 31.212 123.9514
1.872432 31.179 123.0190
1.886001 31.142 122.0412
1.899667 31.103 121.0163
1.913433 31.060 119.9450
1.927299 31.015 118.8296
1.941265 30.966 117.6732
1.955332 30.915 116.4798
1.969501 30.862 115.2361
1.983773 30.807 113.9099
1.998148 30.751 112.5601
2.012627 30.692 111.1918
2.027212 30.633 109.8097
2.041902 30.573 108.4185
2.056698 30.512 107.0229
2.071602 30.450 105.6267
2.086614 30.389 104.2336
2.101734 30.328 102.8463
2.116964 30.268 101.4661
2.132304 30.208 100.0930
2.147756 30.150 98.7245
2.163320 30.093 97.3550
2.178996 30.036 95.9300
2.194786 29.980 94.4708
2.210690 29.924 92.9701
2.226710 29.867 91.4111
2.242845 29.810 89.7803
2.259098 29.750 88.0694
2.275468 29.690 86.2745
2.291957 29.629 84.3960
2.308566 29.567 82.4374
2.325295 29.505 80.4045
2.342145 29.444 78.3051
2.359117 29.384 76.1479
2.376212 29.326 73.9047
2.393431 29.271 71.5975
2.410775 29.220 69.2624
2.428244 29.173 66.9092
2.445840 29.131 64.5469
2.463564 29.095 62.1826
2.481416 29.066 59.8211
2.499397 29.046 57.4642
2.517509 29.033 55.1093
2.535752 29.031 52.7487
2.554127 29.038 50.3697
2.572635 29.056 47.9296
2.591277 29.083 45.3911
2.610055 29.121 42.7910
2.628968 29.169 40.1266
2.648019 29.226 37.4033
2.667208 29.293 34.6325
2.686535 29.367 31.8303
2.706003 29.450 29.0151
2.725612 29.539 26.2059
2.745363 29.636 23.4212
2.765257 29.738 20.6777
2.785295 29.846 17.9349
2.805478 29.959 15.2560
2.825808 30.076 12.6501
2.846285 30.197 10.1204
2.866910 30.321 7.6651
2.887685 30.448 5.2781
2.908611 30.579 2.9487
2.929688 30.715 0.6631
2.950917 30.855 -1.5931
2.972301 31.000 -3.8451
2.993839 31.152 -6.1174
3.015534 31.309 -8.3752
3.037386 31.472 -10.6129
3.059396 31.639 -12.8219
3.081565 31.810 -14.9927
3.103896 31.985 -17.1160
3.126388 32.161 -19.1840
3.149043 32.338 -21.1901
3.171862 32.515 -23.1416
3.194847 32.691 -25.0585
3.217998 32.864 -26.9091
3.241317 33.034 -28.6979
3.264805 33.201 -30.4324
3.288463 33.365 -32.1232
3.312293 33.524 -33.7824
3.336295 33.681 -35.4211
3.360471 33.836 -37.0461
3.384822 33.988 -38.6938
3.409350 34.138 -40.3385
3.434056 34.286 -41.9652
3.458940 34.431 -43.5679
3.484005 34.574 -45.1396
3.509252 34.714 -46.6746
3.534681 34.851 -48.1675
3.560295 34.985 -49.6147
3.586094 35.116 -51.0488
3.612081 35.242 -52.4474
3.638255 35.365 -53.8059
3.664620 35.484 -55.1321
3.691175 35.598 -56.4353
3.717923 35.708 -57.7236
3.744864 35.814 -59.0022
3.772001 35.916 -60.2819
3.799335 36.013 -61.5853
3.826866 36.107 -62.8744
3.854597 36.196 -64.1435
3.882529 36.282 -65.3867
3.910664 36.365 -66.5986
3.939002 36.443 -67.7746
3.967546 36.518 -68.9139
3.996296 36.589 -70.0442
4.025255 36.656 -71.1399
4.054423 36.719 -72.2069
4.083804 36.778 -73.2515
4.113396 36.833 -74.2786
4.143204 36.884 -75.2905
4.173227 36.930 -76.2946
4.203468 36.973 -77.3055
4.233928 37.012 -78.2949
4.264609 37.048 -79.2581
4.295512 37.080 -80.1908
4.326639 37.109 -81.0891
4.357992 37.136 -81.9510
4.389572 37.159 -82.8004
4.421380 37.179 -83.6240
4.453419 37.196 -84.4172
4.485691 37.210 -85.1832
4.518196 37.220 -85.9241
4.550936 37.227 -86.6407
4.583914 37.232 -87.3490
4.617131 37.234 -88.0448
4.650589 37.234 -88.7117
4.684289 37.232 -89.3473
4.718233 37.229 -89.9491
4.752424 37.224 -90.5158
4.786862 37.217 -91.0646
4.821549 37.209 -91.5902
4.856488 37.200 -92.0830
4.891680 37.189 -92.5446
4.927127 37.176 -92.9767
4.962831 37.163 -93.3806
4.998794 37.149 -93.7803
5.035017 37.134 -94.1557
5.071503 37.119 -94.5043
5.108253 37.104 -94.8259
5.145270 37.089 -95.1200
5.182555 37.074 -95.3969
5.220110 37.059 -95.6595
5.257937 37.044 -95.8952
5.296038 37.029 -96.1052
5.334415 37.014 -96.2911
5.373071 36.998 -96.4586
5.412006 36.983 -96.6226
5.451224 36.967 -96.7671
5.490725 36.951 -96.8927
5.530514 36.934 -96.9994
5.570590 36.918 -97.0891
5.610957 36.901 -97.1774
5.651616 36.883 -97.2444
5.692570 36.865 -97.2890
5.733821 36.846 -97.3102
5.775370 36.826 -97.3119
5.817221 36.804 -97.3051
5.859375 36.781 -97.2727
5.901834 36.756 -97.2142
5.944602 36.730 -97.1283
5.987679 36.702 -97.0234
6.031068 36.673 -96.8965
6.074771 36.643 -96.7330
6.118792 36.612 -96.5289
6.163131 36.581 -96.2803
6.207792 36.550 -95.9991
6.252776 36.518 -95.6686
6.298086 36.487 -95.2861
6.343725 36.456 -94.8502
6.389694 36.428 -94.3682
6.435996 36.402 -93.8386
