* Measurement data measured by REW V5.40 beta 98
* Source: Микрофон (HiBy Digital D1), MICROPHONE (Общая громкость), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -15,0 dBFS with no timing reference
* Dated: 03.10.2025 15:55:16
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CERAMIC_2
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 48.916 -23.1257
0.368865 48.914 -23.1534
0.371538 48.911 -23.1949
0.374230 48.907 -23.2469
0.376942 48.903 -23.3066
0.379673 48.898 -23.3720
0.382424 48.894 -23.4419
0.385196 48.889 -23.5153
0.387987 48.884 -23.5917
0.390798 48.879 -23.6710
0.393630 48.874 -23.7530
0.396483 48.869 -23.8377
0.399356 48.864 -23.9250
0.402250 48.858 -24.0150
0.405165 48.853 -24.1075
0.408101 48.848 -24.2028
0.411058 48.843 -24.3008
0.414037 48.837 -24.4015
0.417037 48.832 -24.5049
0.420059 48.826 -24.6111
0.423103 48.821 -24.7200
0.426169 48.815 -24.8318
0.429257 48.810 -24.9463
0.432368 48.804 -25.0637
0.435501 48.799 -25.1840
0.438656 48.793 -25.3072
0.441835 48.787 -25.4332
0.445037 48.782 -25.5621
0.448262 48.776 -25.6940
0.451510 48.770 -25.8288
0.454782 48.764 -25.9666
0.458077 48.758 -26.1074
0.461397 48.752 -26.2511
0.464740 48.746 -26.3978
0.468108 48.740 -26.5476
0.471500 48.734 -26.7003
0.474917 48.728 -26.8561
0.478358 48.722 -27.0150
0.481825 48.716 -27.1768
0.485316 48.709 -27.3417
0.488833 48.703 -27.5097
0.492375 48.697 -27.6807
0.495943 48.690 -27.8548
0.499537 48.684 -28.0320
0.503157 48.677 -28.2122
0.506803 48.671 -28.3954
0.510475 48.664 -28.5817
0.514175 48.657 -28.7710
0.517900 48.651 -28.9634
0.521653 48.644 -29.1588
0.525434 48.637 -29.3572
0.529241 48.630 -29.5586
0.533076 48.624 -29.7630
0.536939 48.617 -29.9703
0.540830 48.610 -30.1806
0.544749 48.603 -30.3938
0.548696 48.596 -30.6100
0.552673 48.588 -30.8290
0.556677 48.581 -31.0508
0.560711 48.574 -31.2754
0.564774 48.567 -31.5028
0.568867 48.559 -31.7330
0.572989 48.552 -31.9658
0.577141 48.544 -32.2013
0.581324 48.537 -32.4395
0.585536 48.529 -32.6801
0.589779 48.522 -32.9233
0.594053 48.514 -33.1690
0.598358 48.506 -33.4170
0.602694 48.499 -33.6674
0.607061 48.491 -33.9200
0.611460 48.483 -34.1748
0.615891 48.475 -34.4318
0.620354 48.467 -34.6908
0.624849 48.459 -34.9518
0.629377 48.451 -35.2147
0.633938 48.443 -35.4794
0.638532 48.434 -35.7458
0.643159 48.426 -36.0138
0.647819 48.418 -36.2833
0.652514 48.409 -36.5542
0.657242 48.401 -36.8265
0.662005 48.392 -37.0999
0.666802 48.384 -37.3744
0.671634 48.375 -37.6498
0.676501 48.366 -37.9261
0.681403 48.357 -38.2031
0.686341 48.348 -38.4806
0.691314 48.340 -38.7586
0.696324 48.330 -39.0368
0.701370 48.321 -39.3153
0.706452 48.312 -39.5939
0.711571 48.303 -39.8727
0.716728 48.293 -40.1516
0.721921 48.283 -40.4310
0.727153 48.272 -40.7114
0.732422 48.260 -40.9934
0.737729 48.248 -41.2779
0.743075 48.234 -41.5658
0.748460 48.221 -41.8578
0.753883 48.206 -42.1546
0.759346 48.191 -42.4566
0.764849 48.176 -42.7639
0.770391 48.161 -43.0768
0.775974 48.145 -43.3952
0.781597 48.129 -43.7193
0.787261 48.113 -44.0489
0.792966 48.097 -44.3842
0.798712 48.080 -44.7251
0.804500 48.064 -45.0715
0.810329 48.046 -45.4235
0.816201 48.029 -45.7809
0.822116 48.012 -46.1438
0.828073 47.994 -46.5120
0.834074 47.976 -46.8855
0.840118 47.957 -47.2643
0.846206 47.939 -47.6482
0.852338 47.920 -48.0371
0.858514 47.900 -48.4311
0.864735 47.881 -48.8298
0.871001 47.861 -49.2334
0.877313 47.840 -49.6415
0.883670 47.819 -50.0542
0.890074 47.798 -50.4712
0.896524 47.777 -50.8924
0.903020 47.755 -51.3177
0.909564 47.732 -51.7468
0.916155 47.709 -52.1797
0.922794 47.686 -52.6160
0.929481 47.662 -53.0557
0.936216 47.638 -53.4984
0.943000 47.613 -53.9440
0.949834 47.588 -54.3922
0.956717 47.562 -54.8428
0.963649 47.535 -55.2955
0.970632 47.508 -55.7500
0.977666 47.481 -56.2061
0.984750 47.452 -56.6634
0.991886 47.423 -57.1216
0.999074 47.394 -57.5804
1.006314 47.363 -58.0394
1.013606 47.332 -58.4983
1.020951 47.301 -58.9566
1.028349 47.268 -59.4141
1.035801 47.235 -59.8703
1.043307 47.201 -60.3248
1.050867 47.166 -60.7772
1.058482 47.130 -61.2272
1.066152 47.094 -61.6744
1.073878 47.056 -62.1187
1.081660 47.018 -62.5601
1.089498 46.979 -62.9988
1.097393 46.939 -63.4355
1.105345 46.898 -63.8710
1.113355 46.857 -64.3063
1.121423 46.815 -64.7426
1.129549 46.773 -65.1804
1.137734 46.730 -65.6204
1.145979 46.687 -66.0631
1.154283 46.643 -66.5087
1.162647 46.599 -66.9574
1.171072 46.554 -67.4094
1.179558 46.508 -67.8649
1.188106 46.462 -68.3239
1.196715 46.414 -68.7865
1.205387 46.366 -69.2529
1.214122 46.317 -69.7231
1.222920 46.267 -70.1972
1.231782 46.216 -70.6751
1.240708 46.164 -71.1570
1.249699 46.111 -71.6429
1.258754 46.056 -72.1327
1.267876 46.000 -72.6265
1.277063 45.943 -73.1241
1.286318 45.884 -73.6256
1.295639 45.824 -74.1308
1.305027 45.762 -74.6396
1.314484 45.698 -75.1519
1.324009 45.633 -75.6674
1.333604 45.565 -76.1860
1.343268 45.496 -76.7075
1.353002 45.424 -77.2314
1.362806 45.350 -77.7575
1.372681 45.274 -78.2853
1.382628 45.195 -78.8144
1.392647 45.114 -79.3444
1.402739 45.030 -79.8746
1.412904 44.943 -80.4046
1.423142 44.854 -80.9340
1.433455 44.762 -81.4622
1.443843 44.667 -81.9892
1.454305 44.570 -82.5151
1.464844 44.471 -83.0405
1.475459 44.371 -83.5662
1.486150 44.270 -84.0935
1.496920 44.168 -84.6233
1.507767 44.066 -85.1565
1.518693 43.964 -85.6936
1.529698 43.861 -86.2350
1.540783 43.757 -86.7808
1.551948 43.652 -87.3311
1.563194 43.546 -87.8858
1.574521 43.437 -88.4449
1.585931 43.326 -89.0080
1.597423 43.212 -89.5749
1.608999 43.095 -90.1452
1.620658 42.973 -90.7186
1.632402 42.847 -91.2943
1.644232 42.715 -91.8719
1.656146 42.578 -92.4505
1.668147 42.434 -93.0292
1.680235 42.283 -93.6070
1.692411 42.125 -94.1827
1.704675 41.958 -94.7549
1.717028 41.782 -95.3220
1.729470 41.595 -95.8822
1.742003 41.398 -96.4335
1.754626 41.190 -96.9734
1.767341 40.968 -97.4995
1.780147 40.733 -98.0089
1.793047 40.483 -98.4988
1.806040 40.215 -98.9661
1.819128 39.927 -99.4080
1.832310 39.617 -99.8219
1.845587 39.280 -100.2057
1.858961 38.913 -100.5575
1.872432 38.515 -100.8751
1.886001 38.085 -101.1562
1.899667 37.624 -101.3979
1.913433 37.132 -101.5967
1.927299 36.612 -101.7480
1.941265 36.067 -101.8464
1.955332 35.501 -101.8854
1.969501 34.916 -101.8567
1.983773 34.318 -101.7506
1.998148 33.710 -101.5552
2.012627 33.098 -101.2559
2.027212 32.486 -100.8349
2.041902 31.881 -100.2705
2.056698 31.288 -99.5359
2.071602 30.714 -98.5983
2.086614 30.167 -97.4175
2.101734 29.655 -95.9442
2.116964 29.185 -94.1179
2.132304 28.767 -91.8656
2.147756 28.411 -89.0999
2.163320 28.125 -85.7192
2.178996 27.918 -81.6112
2.194786 27.796 -76.6642
2.210690 27.764 -70.7940
2.226710 27.820 -63.9936
2.242845 27.964 -56.3951
2.259098 28.191 -48.3054
2.275468 28.492 -40.1666
2.291957 28.862 -32.4385
2.308566 29.291 -25.4702
2.325295 29.771 -19.4396
2.342145 30.293 -14.3728
2.359117 30.849 -10.2001
2.376212 31.429 -6.8097
2.393431 32.026 -4.0823
2.410775 32.630 -1.9079
2.428244 33.234 -0.1926
2.445840 33.830 1.1411
2.463564 34.411 2.1553
2.481416 34.971 2.8995
2.499397 35.505 3.4126
2.517509 36.008 3.7254
2.535752 36.480 3.8616
2.554127 36.921 3.8407
2.572635 37.334 3.6786
2.591277 37.725 3.3900
2.610055 38.098 2.9890
2.628968 38.456 2.4900
2.648019 38.802 1.9073
2.667208 39.136 1.2540
2.686535 39.461 0.5423
2.706003 39.777 -0.2169
2.725612 40.083 -1.0146
2.745363 40.380 -1.8427
2.765257 40.669 -2.6950
2.785295 40.948 -3.5665
2.805478 41.220 -4.4535
2.825808 41.482 -5.3539
2.846285 41.736 -6.2668
2.866910 41.981 -7.1936
2.887685 42.216 -8.1374
2.908611 42.443 -9.1036
2.929688 42.659 -10.0992
2.950917 42.864 -11.1315
2.972301 43.058 -12.2059
2.993839 43.241 -13.3246
3.015534 43.412 -14.4858
3.037386 43.571 -15.6850
3.059396 43.719 -16.9161
3.081565 43.857 -18.1721
3.103896 43.985 -19.4457
3.126388 44.104 -20.7303
3.149043 44.214 -22.0197
3.171862 44.316 -23.3089
3.194847 44.411 -24.5944
3.217998 44.500 -25.8749
3.241317 44.582 -27.1516
3.264805 44.658 -28.4292
3.288463 44.729 -29.7159
3.312293 44.793 -31.0226
3.336295 44.850 -32.3601
3.360471 44.900 -33.7361
3.384822 44.941 -35.1537
3.409350 44.975 -36.6117
3.434056 45.000 -38.1052
3.458940 45.016 -39.6272
3.484005 45.024 -41.1689
3.509252 45.022 -42.7211
3.534681 45.010 -44.2747
3.560295 44.989 -45.8218
3.586094 44.959 -47.3567
3.612081 44.919 -48.8773
3.638255 44.870 -50.3867
3.664620 44.812 -51.8932
3.691175 44.744 -53.4096
3.717923 44.668 -54.9493
3.744864 44.582 -56.5227
3.772001 44.486 -58.1351
3.799335 44.378 -59.7870
3.826866 44.258 -61.4743
3.854597 44.123 -63.1897
3.882529 43.974 -64.9232
3.910664 43.807 -66.6632
3.939002 43.624 -68.3986
3.967546 43.423 -70.1200
3.996296 43.207 -71.8232
4.025255 42.976 -73.5104
4.054423 42.733 -75.1918
4.083804 42.480 -76.8824
4.113396 42.216 -78.5977
4.143204 41.936 -80.3496
4.173227 41.634 -82.1450
4.203468 41.301 -83.9854
4.233928 40.926 -85.8660
4.264609 40.498 -87.7764
4.295512 40.004 -89.7011
4.326639 39.431 -91.6215
4.357992 38.765 -93.5185
4.389572 37.990 -95.3780
4.421380 37.091 -97.1951
4.453419 36.056 -98.9757
4.485691 34.880 -100.7333
4.518196 33.569 -102.4849
4.550936 32.136 -104.2467
4.583914 30.608 -106.0302
4.617131 29.026 -107.8357
4.650589 27.461 -109.6356
4.684289 26.041 -111.3183
4.718233 24.980 -112.3568
4.752424 24.541 -100.1084
4.786862 24.884 57.1327
4.821549 25.908 56.7512
4.856488 27.352 55.0697
4.891680 28.981 53.1552
4.927127 30.645 51.1954
4.962831 32.258 49.2420
4.998794 33.769 47.3036
5.035017 35.148 45.3700
5.071503 36.377 43.4218
5.108253 37.449 41.4365
5.145270 38.369 39.3955
5.182555 39.151 37.2910
5.220110 39.812 35.1309
5.257937 40.370 32.9348
5.296038 40.845 30.7276
5.334415 41.253 28.5313
5.373071 41.614 26.3610
5.412006 41.940 24.2210
5.451224 42.242 22.1048
5.490725 42.526 19.9967
5.530514 42.792 17.8775
5.570590 43.037 15.7336
5.610957 43.258 13.5632
5.651616 43.455 11.3761
5.692570 43.626 9.1901
5.733821 43.775 7.0239
5.775370 43.900 4.8923
5.817221 44.005 2.8015
5.859375 44.090 0.7471
5.901834 44.154 -1.2833
5.944602 44.197 -3.3017
5.987679 44.219 -5.3128
6.031068 44.220 -7.3104
6.074771 44.200 -9.2795
6.118792 44.159 -11.2003
6.163131 44.098 -13.0537
6.207792 44.017 -14.8265
