* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -14,9 dBFS, measurement signal peak level -14,8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 13.02.2024 22:42:26
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0195 ms (-6,7 mm, -0,26 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: HYBRID DONUT
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 93.655 -51.1961
20.333664 93.683 -51.3350
20.481010 93.726 -51.5378
20.629424 93.782 -51.7838
20.778913 93.848 -52.0568
20.929486 93.923 -52.3474
21.081150 94.007 -52.6521
21.233912 94.099 -52.9712
21.387782 94.197 -53.3070
21.542767 94.300 -53.6622
21.698874 94.408 -54.0383
21.856113 94.519 -54.4349
22.014492 94.631 -54.8498
22.174018 94.743 -55.2785
22.334700 94.853 -55.7152
22.496546 94.962 -56.1533
22.659566 95.068 -56.5865
22.823766 95.172 -57.0097
22.989157 95.275 -57.4197
23.155745 95.377 -57.8159
23.323542 95.478 -58.2006
23.492554 95.580 -58.5783
23.662790 95.683 -58.9556
23.834261 95.787 -59.3395
24.006973 95.891 -59.7367
24.180938 95.994 -60.1518
24.356163 96.097 -60.5868
24.532658 96.196 -61.0403
24.710431 96.293 -61.5073
24.889493 96.385 -61.9800
25.069853 96.473 -62.4488
25.251519 96.557 -62.9036
25.434502 96.637 -63.3354
25.618811 96.716 -63.7378
25.804456 96.795 -64.1080
25.991445 96.875 -64.4478
26.179790 96.957 -64.7627
26.369500 97.042 -65.0618
26.560584 97.130 -65.3556
26.753053 97.221 -65.6548
26.946917 97.314 -65.9682
27.142185 97.406 -66.3010
27.338869 97.497 -66.6546
27.536977 97.584 -67.0263
27.736522 97.669 -67.4101
27.937512 97.749 -67.7981
28.139959 97.826 -68.1820
28.343872 97.901 -68.5549
28.549264 97.975 -68.9128
28.756143 98.049 -69.2550
28.964522 98.125 -69.5846
29.174411 98.203 -69.9078
29.385821 98.285 -70.2327
29.598763 98.370 -70.5679
29.813248 98.457 -70.9206
30.029287 98.544 -71.2958
30.246891 98.632 -71.6950
30.466073 98.717 -72.1166
30.686842 98.800 -72.5560
30.909212 98.880 -73.0065
31.133193 98.956 -73.4605
31.358797 99.029 -73.9105
31.586035 99.100 -74.3503
31.814921 99.170 -74.7755
32.045465 99.239 -75.1844
32.277680 99.308 -75.5779
32.511577 99.378 -75.9590
32.747169 99.451 -76.3324
32.984469 99.524 -76.7037
33.223488 99.599 -77.0783
33.464239 99.675 -77.4606
33.706735 99.750 -77.8535
33.950987 99.826 -78.2579
34.197010 99.901 -78.6730
34.444816 99.975 -79.0968
34.694417 100.048 -79.5267
34.945827 100.122 -79.9604
35.199059 100.196 -80.3961
35.454126 100.272 -80.8331
35.711041 100.348 -81.2711
35.969818 100.425 -81.7097
36.230470 100.503 -82.1480
36.493011 100.580 -82.5839
36.757455 100.656 -83.0142
37.023814 100.731 -83.4352
37.292104 100.803 -83.8433
37.562338 100.874 -84.2366
37.834530 100.943 -84.6151
38.108695 101.012 -84.9815
38.384846 101.080 -85.3404
38.662999 101.149 -85.6974
38.943167 101.219 -86.0581
39.225365 101.289 -86.4267
39.509608 101.360 -86.8058
39.795911 101.430 -87.1963
40.084289 101.500 -87.5974
40.374756 101.569 -88.0076
40.667328 101.637 -88.4251
40.962020 101.704 -88.8478
41.258848 101.771 -89.2742
41.557827 101.837 -89.7035
41.858972 101.905 -90.1357
42.162299 101.974 -90.5717
42.467824 102.044 -91.0132
42.775564 102.116 -91.4611
43.085533 102.188 -91.9144
43.397749 102.260 -92.3696
43.712227 102.329 -92.8212
44.028983 102.396 -93.2634
44.348036 102.458 -93.6928
44.669400 102.517 -94.1106
44.993093 102.573 -94.5233
45.319131 102.628 -94.9406
45.647532 102.682 -95.3729
45.978313 102.738 -95.8271
46.311491 102.797 -96.3055
46.647083 102.862 -96.8059
46.985107 102.934 -97.3242
47.325581 103.014 -97.8560
47.668521 103.100 -98.3968
48.013947 103.187 -98.9398
48.361876 103.271 -99.4736
48.712326 103.345 -99.9811
49.065315 103.408 -100.4433
49.420863 103.456 -100.8459
49.778987 103.494 -101.1863
50.139706 103.527 -101.4777
50.503039 103.558 -101.7471
50.869005 103.592 -102.0270
51.237623 103.632 -102.3440
51.608912 103.678 -102.7105
51.982891 103.728 -103.1216
52.359580 103.780 -103.5605
52.739000 103.834 -104.0068
53.121168 103.887 -104.4448
53.506106 103.940 -104.8669
53.893833 103.990 -105.2725
54.284370 104.038 -105.6649
54.677737 104.084 -106.0479
55.073955 104.130 -106.4254
55.473043 104.177 -106.8038
55.875024 104.228 -107.1935
56.279917 104.283 -107.6076
56.687745 104.341 -108.0570
57.098527 104.398 -108.5443
57.512287 104.452 -109.0617
57.929045 104.502 -109.5938
58.348822 104.549 -110.1251
58.771642 104.595 -110.6459
59.197525 104.642 -111.1543
59.626495 104.691 -111.6519
60.058573 104.741 -112.1381
60.493782 104.788 -112.6086
60.932145 104.833 -113.0591
61.373685 104.875 -113.4903
61.818424 104.914 -113.9104
62.266386 104.953 -114.3308
62.717593 104.992 -114.7600
63.172071 105.032 -115.1998
63.629842 105.075 -115.6464
64.090930 105.121 -116.0949
64.555359 105.170 -116.5423
65.023154 105.218 -116.9877
65.494339 105.265 -117.4318
65.968938 105.308 -117.8761
66.446976 105.349 -118.3246
66.928478 105.389 -118.7827
67.413469 105.428 -119.2547
67.901975 105.468 -119.7399
68.394021 105.508 -120.2314
68.889632 105.548 -120.7194
69.388835 105.587 -121.1951
69.891655 105.625 -121.6544
70.398118 105.663 -122.0990
70.908252 105.699 -122.5338
71.422083 105.735 -122.9643
71.939636 105.771 -123.3945
72.460941 105.807 -123.8265
72.986023 105.842 -124.2615
73.514909 105.878 -124.7016
74.047629 105.914 -125.1503
74.584208 105.949 -125.6109
75.124676 105.982 -126.0833
75.669061 106.015 -126.5627
76.217390 106.046 -127.0396
76.769692 106.075 -127.5045
77.325997 106.104 -127.9520
77.886333 106.131 -128.3842
78.450730 106.158 -128.8087
79.019216 106.184 -129.2349
79.591822 106.209 -129.6698
80.168577 106.233 -130.1159
80.749512 106.257 -130.5722
81.334656 106.281 -131.0354
81.924040 106.305 -131.5014
82.517696 106.330 -131.9666
83.115653 106.354 -132.4295
83.717943 106.378 -132.8899
84.324598 106.401 -133.3476
84.935649 106.423 -133.8021
85.551128 106.445 -134.2530
86.171066 106.466 -134.7019
86.795497 106.487 -135.1512
87.424453 106.507 -135.6024
88.057967 106.527 -136.0551
88.696071 106.547 -136.5071
89.338800 106.566 -136.9561
89.986185 106.586 -137.3999
90.638262 106.605 -137.8374
91.295065 106.624 -138.2686
91.956626 106.642 -138.6952
92.622982 106.659 -139.1196
93.294166 106.675 -139.5443
93.970214 106.689 -139.9703
94.651161 106.702 -140.3973
95.337042 106.713 -140.8233
96.027894 106.724 -141.2451
96.723752 106.736 -141.6602
97.424652 106.747 -142.0683
98.130631 106.759 -142.4716
98.841726 106.770 -142.8757
99.557974 106.781 -143.2870
100.279412 106.792 -143.7091
101.006078 106.803 -144.1394
101.738010 106.813 -144.5712
102.475245 106.824 -144.9986
103.217823 106.833 -145.4190
103.965782 106.841 -145.8324
104.719161 106.848 -146.2413
105.477999 106.854 -146.6501
106.242336 106.861 -147.0603
107.012212 106.867 -147.4693
107.787666 106.874 -147.8722
108.568740 106.882 -148.2664
109.355474 106.891 -148.6542
110.147909 106.899 -149.0412
110.946086 106.907 -149.4315
111.750047 106.913 -149.8262
112.559834 106.917 -150.2257
113.375489 106.920 -150.6297
114.197055 106.922 -151.0355
115.024574 106.922 -151.4392
115.858089 106.921 -151.8380
116.697645 106.920 -152.2318
117.543284 106.919 -152.6221
118.395051 106.918 -153.0117
119.252990 106.917 -153.4032
120.117147 106.916 -153.7962
120.987565 106.915 -154.1873
121.864291 106.913 -154.5723
122.747370 106.910 -154.9499
123.636848 106.908 -155.3207
124.532771 106.906 -155.6843
125.435187 106.906 -156.0394
126.344142 106.906 -156.3864
127.259684 106.907 -156.7270
128.181860 106.908 -157.0630
129.110718 106.907 -157.3956
130.046308 106.905 -157.7268
130.988677 106.901 -158.0599
131.937875 106.895 -158.3979
132.893951 106.889 -158.7410
133.856956 106.882 -159.0873
134.826938 106.874 -159.4361
135.803950 106.864 -159.7871
136.788041 106.852 -160.1379
137.779264 106.839 -160.4832
138.777669 106.826 -160.8175
139.783309 106.813 -161.1389
140.796237 106.801 -161.4503
141.816504 106.789 -161.7559
142.844165 106.779 -162.0584
143.879273 106.769 -162.3586
144.921881 106.759 -162.6561
145.972045 106.749 -162.9494
147.029819 106.739 -163.2387
148.095257 106.729 -163.5261
149.168417 106.717 -163.8160
150.249353 106.705 -164.1114
151.338121 106.692 -164.4120
152.434780 106.679 -164.7142
153.539385 106.666 -165.0133
154.651995 106.652 -165.3068
155.772667 106.639 -165.5944
156.901460 106.625 -165.8772
158.038432 106.611 -166.1567
159.183644 106.596 -166.4341
160.337154 106.580 -166.7094
161.499023 106.564 -166.9826
162.669312 106.548 -167.2534
163.848081 106.531 -167.5210
165.035392 106.514 -167.7852
166.231306 106.497 -168.0457
167.435887 106.480 -168.3032
168.649196 106.462 -168.5579
169.871298 106.444 -168.8097
171.102255 106.426 -169.0583
172.342133 106.408 -169.3031
173.590995 106.389 -169.5442
174.848907 106.371 -169.7823
176.115934 106.354 -170.0182
177.392143 106.336 -170.2523
178.677599 106.318 -170.4852
179.972371 106.299 -170.7175
181.276525 106.281 -170.9495
182.590129 106.262 -171.1800
183.913252 106.243 -171.4073
185.245964 106.224 -171.6298
186.588332 106.204 -171.8466
187.940428 106.183 -172.0584
189.302322 106.163 -172.2665
190.674085 106.142 -172.4719
192.055788 106.122 -172.6743
193.447503 106.102 -172.8724
194.849303 106.081 -173.0642
196.261262 106.060 -173.2486
197.683452 106.039 -173.4258
199.115948 106.016 -173.5975
200.558824 105.992 -173.7656
202.012156 105.968 -173.9328
203.476019 105.944 -174.1011
204.950490 105.919 -174.2718
206.435646 105.895 -174.4436
207.931564 105.872 -174.6142
209.438322 105.849 -174.7815
210.955998 105.827 -174.9455
212.484672 105.805 -175.1065
214.024424 105.784 -175.2642
215.575333 105.762 -175.4177
217.137481 105.740 -175.5670
218.710948 105.718 -175.7119
220.295818 105.695 -175.8529
221.892172 105.671 -175.9905
223.500094 105.648 -176.1252
225.119668 105.624 -176.2568
226.750978 105.600 -176.3843
228.394109 105.576 -176.5070
230.049147 105.552 -176.6258
231.716178 105.528 -176.7432
233.395289 105.504 -176.8618
235.086567 105.480 -176.9819
236.790102 105.456 -177.0999
238.505980 105.431 -177.2112
240.234293 105.407 -177.3141
241.975130 105.382 -177.4100
243.728581 105.357 -177.5009
245.494739 105.333 -177.5879
247.273695 105.308 -177.6706
249.065542 105.283 -177.7482
250.870374 105.258 -177.8203
252.688284 105.233 -177.8866
254.519367 105.207 -177.9478
256.363720 105.181 -178.0053
258.221437 105.155 -178.0602
260.092616 105.130 -178.1119
261.977354 105.105 -178.1588
263.875750 105.081 -178.1996
265.787903 105.058 -178.2341
267.713911 105.036 -178.2622
269.653877 105.013 -178.2836
271.607900 104.991 -178.2968
273.576083 104.969 -178.2993
275.558528 104.947 -178.2872
277.555338 104.927 -178.2566
279.566619 104.909 -178.2061
281.592474 104.895 -178.1391
283.633009 104.886 -178.0638
285.688331 104.883 -177.9918
287.758546 104.887 -177.9366
289.843763 104.897 -177.9135
291.944090 104.912 -177.9377
294.059638 104.928 -178.0211
296.190515 104.941 -178.1690
298.336833 104.949 -178.3774
300.498705 104.948 -178.6322
302.676243 104.937 -178.9108
304.869559 104.916 -179.1884
307.078770 104.886 -179.4436
309.303989 104.851 -179.6631
311.545334 104.813 -179.8419
313.802919 104.773 -179.9818
316.076865 104.735 179.9119
318.367288 104.697 179.8321
320.674309 104.660 179.7732
322.998047 104.626 179.7325
325.338624 104.593 179.7079
