* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -15,6 dBFS, measurement signal peak level -15,4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 13.02.2024 22:43:08
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0201 ms (-6,9 mm, -0,27 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: HYBRID
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 93.768 -51.7960
20.333664 93.790 -51.9408
20.481010 93.823 -52.1416
20.629424 93.868 -52.3659
20.778913 93.924 -52.5910
20.929486 93.992 -52.8077
21.081150 94.073 -53.0198
21.233912 94.167 -53.2403
21.387782 94.273 -53.4870
21.542767 94.389 -53.7777
21.698874 94.512 -54.1256
21.856113 94.636 -54.5368
22.014492 94.759 -55.0086
22.174018 94.877 -55.5294
22.334700 94.986 -56.0803
22.496546 95.086 -56.6380
22.659566 95.177 -57.1774
22.823766 95.259 -57.6764
22.989157 95.338 -58.1185
23.155745 95.416 -58.4965
23.323542 95.499 -58.8144
23.492554 95.590 -59.0868
23.662790 95.692 -59.3375
23.834261 95.805 -59.5949
24.006973 95.929 -59.8868
24.180938 96.059 -60.2348
24.356163 96.192 -60.6496
24.532658 96.321 -61.1289
24.710431 96.442 -61.6577
24.889493 96.552 -62.2101
25.069853 96.649 -62.7539
25.251519 96.731 -63.2558
25.434502 96.803 -63.6869
25.618811 96.866 -64.0281
25.804456 96.927 -64.2744
25.991445 96.989 -64.4368
26.179790 97.057 -64.5414
26.369500 97.132 -64.6253
26.560584 97.215 -64.7303
26.753053 97.302 -64.8949
26.946917 97.390 -65.1473
27.142185 97.476 -65.5008
27.338869 97.554 -65.9517
27.536977 97.622 -66.4812
27.736522 97.679 -67.0584
27.937512 97.727 -67.6459
28.139959 97.769 -68.2059
28.343872 97.812 -68.7063
28.549264 97.861 -69.1262
28.756143 97.922 -69.4598
28.964522 98.001 -69.7178
29.174411 98.098 -69.9253
29.385821 98.214 -70.1175
29.598763 98.344 -70.3327
29.813248 98.481 -70.6054
30.029287 98.618 -70.9606
30.246891 98.746 -71.4103
30.466073 98.858 -71.9520
30.686842 98.949 -72.5702
30.909212 99.015 -73.2381
31.133193 99.056 -73.9214
31.358797 99.076 -74.5814
31.586035 99.080 -75.1797
31.814921 99.077 -75.6822
32.045465 99.077 -76.0644
32.277680 99.091 -76.3152
32.511577 99.129 -76.4414
32.747169 99.197 -76.4682
32.984469 99.300 -76.4392
33.223488 99.437 -76.4116
33.464239 99.601 -76.4494
33.706735 99.784 -76.6144
33.950987 99.972 -76.9570
34.197010 100.150 -77.5079
34.444816 100.303 -78.2720
34.694417 100.420 -79.2244
34.945827 100.490 -80.3102
35.199059 100.509 -81.4466
35.454126 100.479 -82.5299
35.711041 100.409 -83.4477
35.969818 100.317 -84.0966
36.230470 100.228 -84.4074
36.493011 100.169 -84.3711
36.757455 100.164 -84.0536
37.023814 100.226 -83.5873
37.292104 100.354 -83.1348
37.562338 100.531 -82.8394
37.834530 100.733 -82.7866
38.108695 100.934 -82.9936
38.384846 101.115 -83.4241
38.662999 101.267 -84.0132
38.943167 101.387 -84.6934
39.225365 101.478 -85.4111
39.509608 101.548 -86.1340
39.795911 101.605 -86.8474
40.084289 101.654 -87.5457
40.374756 101.701 -88.2234
40.667328 101.746 -88.8692
40.962020 101.793 -89.4682
41.258848 101.842 -90.0086
41.557827 101.894 -90.4887
41.858972 101.950 -90.9203
42.162299 102.008 -91.3251
42.467824 102.065 -91.7258
42.775564 102.119 -92.1376
43.085533 102.166 -92.5638
43.397749 102.208 -92.9976
43.712227 102.244 -93.4282
44.028983 102.279 -93.8478
44.348036 102.313 -94.2539
44.669400 102.348 -94.6472
44.993093 102.382 -95.0273
45.319131 102.414 -95.3907
45.647532 102.444 -95.7343
45.978313 102.473 -96.0631
46.311491 102.504 -96.3959
46.647083 102.541 -96.7645
46.985107 102.584 -97.2014
47.325581 102.631 -97.7226
47.668521 102.680 -98.3139
48.013947 102.729 -98.9292
48.361876 102.777 -99.5045
48.712326 102.830 -99.9822
49.065315 102.892 -100.3345
49.420863 102.970 -100.5749
49.778987 103.062 -100.7510
50.139706 103.165 -100.9226
50.503039 103.271 -101.1376
50.869005 103.373 -101.4178
51.237623 103.467 -101.7591
51.608912 103.552 -102.1440
51.982891 103.631 -102.5558
52.359580 103.707 -102.9877
52.739000 103.781 -103.4430
53.121168 103.854 -103.9286
53.506106 103.922 -104.4475
53.893833 103.986 -104.9955
54.284370 104.044 -105.5624
54.677737 104.099 -106.1361
55.073955 104.152 -106.7057
55.473043 104.207 -107.2617
55.875024 104.264 -107.7934
56.279917 104.324 -108.2899
56.687745 104.386 -108.7424
57.098527 104.448 -109.1496
57.512287 104.506 -109.5204
57.929045 104.559 -109.8707
58.348822 104.605 -110.2168
58.771642 104.643 -110.5696
59.197525 104.674 -110.9330
59.626495 104.701 -111.3063
60.058573 104.729 -111.6889
60.493782 104.759 -112.0812
60.932145 104.792 -112.4847
61.373685 104.828 -112.9001
61.818424 104.867 -113.3285
62.266386 104.907 -113.7712
62.717593 104.948 -114.2294
63.172071 104.989 -114.7011
63.629842 105.031 -115.1792
64.090930 105.074 -115.6534
64.555359 105.116 -116.1148
65.023154 105.159 -116.5605
65.494339 105.201 -116.9949
65.968938 105.243 -117.4271
66.446976 105.283 -117.8658
66.928478 105.321 -118.3156
67.413469 105.359 -118.7752
67.901975 105.397 -119.2394
68.394021 105.435 -119.7010
68.889632 105.473 -120.1540
69.388835 105.511 -120.5961
69.891655 105.549 -121.0290
70.398118 105.587 -121.4573
70.908252 105.626 -121.8867
71.422083 105.664 -122.3211
71.939636 105.703 -122.7611
72.460941 105.740 -123.2045
72.986023 105.776 -123.6484
73.514909 105.810 -124.0919
74.047629 105.842 -124.5375
74.584208 105.873 -124.9884
75.124676 105.902 -125.4452
75.669061 105.931 -125.9039
76.217390 105.960 -126.3586
76.769692 105.989 -126.8052
77.325997 106.019 -127.2432
77.886333 106.049 -127.6742
78.450730 106.078 -128.1008
79.019216 106.108 -128.5272
79.591822 106.137 -128.9586
80.168577 106.165 -129.3982
80.749512 106.193 -129.8452
81.334656 106.220 -130.2951
81.924040 106.246 -130.7431
82.517696 106.272 -131.1868
83.115653 106.299 -131.6270
83.717943 106.325 -132.0656
84.324598 106.351 -132.5043
84.935649 106.375 -132.9442
85.551128 106.398 -133.3846
86.171066 106.420 -133.8241
86.795497 106.441 -134.2612
87.424453 106.462 -134.6953
88.057967 106.483 -135.1259
88.696071 106.503 -135.5535
89.338800 106.523 -135.9798
89.986185 106.543 -136.4082
90.638262 106.563 -136.8418
91.295065 106.583 -137.2806
91.956626 106.602 -137.7215
92.622982 106.620 -138.1589
93.294166 106.636 -138.5882
93.970214 106.651 -139.0089
94.651161 106.664 -139.4247
95.337042 106.677 -139.8408
96.027894 106.689 -140.2602
96.723752 106.702 -140.6823
97.424652 106.715 -141.1045
98.130631 106.728 -141.5230
98.841726 106.742 -141.9349
99.557974 106.757 -142.3395
100.279412 106.771 -142.7391
101.006078 106.783 -143.1375
101.738010 106.794 -143.5383
102.475245 106.803 -143.9431
103.217823 106.812 -144.3503
103.965782 106.821 -144.7561
104.719161 106.831 -145.1577
105.477999 106.842 -145.5548
106.242336 106.854 -145.9492
107.012212 106.867 -146.3426
107.787666 106.880 -146.7359
108.568740 106.891 -147.1290
109.355474 106.899 -147.5198
110.147909 106.904 -147.9053
110.946086 106.907 -148.2839
111.750047 106.908 -148.6574
112.559834 106.909 -149.0295
113.375489 106.911 -149.4029
114.197055 106.912 -149.7784
115.024574 106.914 -150.1559
115.858089 106.917 -150.5366
116.697645 106.920 -150.9223
117.543284 106.924 -151.3125
118.395051 106.928 -151.7026
119.252990 106.932 -152.0845
120.117147 106.933 -152.4518
120.987565 106.934 -152.8034
121.864291 106.934 -153.1430
122.747370 106.934 -153.4771
123.636848 106.934 -153.8114
124.532771 106.935 -154.1498
125.435187 106.936 -154.4952
126.344142 106.937 -154.8493
127.259684 106.938 -155.2113
128.181860 106.938 -155.5790
129.110718 106.937 -155.9496
130.046308 106.934 -156.3199
130.988677 106.931 -156.6865
131.937875 106.925 -157.0472
132.893951 106.918 -157.4020
133.856956 106.908 -157.7500
134.826938 106.897 -158.0871
135.803950 106.886 -158.4093
136.788041 106.876 -158.7178
137.779264 106.868 -159.0186
138.777669 106.861 -159.3183
139.783309 106.856 -159.6196
140.796237 106.852 -159.9222
141.816504 106.848 -160.2264
142.844165 106.843 -160.5338
143.879273 106.837 -160.8454
144.921881 106.831 -161.1604
145.972045 106.824 -161.4763
147.029819 106.816 -161.7912
148.095257 106.808 -162.1025
149.168417 106.799 -162.4073
150.249353 106.789 -162.7045
151.338121 106.780 -162.9957
152.434780 106.771 -163.2843
153.539385 106.761 -163.5720
154.651995 106.751 -163.8580
155.772667 106.740 -164.1405
156.901460 106.728 -164.4195
158.038432 106.716 -164.6967
159.183644 106.702 -164.9736
160.337154 106.689 -165.2508
161.499023 106.675 -165.5276
162.669312 106.662 -165.8028
163.848081 106.648 -166.0750
165.035392 106.634 -166.3431
166.231306 106.621 -166.6065
167.435887 106.607 -166.8652
168.649196 106.592 -167.1196
169.871298 106.578 -167.3701
171.102255 106.564 -167.6172
172.342133 106.549 -167.8614
173.590995 106.535 -168.1033
174.848907 106.519 -168.3440
176.115934 106.503 -168.5839
177.392143 106.487 -168.8218
178.677599 106.471 -169.0556
179.972371 106.454 -169.2839
181.276525 106.438 -169.5072
182.590129 106.421 -169.7272
183.913252 106.403 -169.9462
185.245964 106.385 -170.1655
186.588332 106.367 -170.3851
187.940428 106.348 -170.6039
189.302322 106.329 -170.8208
190.674085 106.310 -171.0340
192.055788 106.291 -171.2414
193.447503 106.271 -171.4409
194.849303 106.252 -171.6326
196.261262 106.233 -171.8187
197.683452 106.213 -172.0034
199.115948 106.195 -172.1908
200.558824 106.176 -172.3833
202.012156 106.158 -172.5805
203.476019 106.140 -172.7798
204.950490 106.120 -172.9774
206.435646 106.100 -173.1697
207.931564 106.080 -173.3552
209.438322 106.059 -173.5343
210.955998 106.037 -173.7085
212.484672 106.016 -173.8801
214.024424 105.995 -174.0500
215.575333 105.973 -174.2181
217.137481 105.952 -174.3828
218.710948 105.931 -174.5423
220.295818 105.910 -174.6961
221.892172 105.888 -174.8446
223.500094 105.866 -174.9887
225.119668 105.844 -175.1282
226.750978 105.822 -175.2631
228.394109 105.800 -175.3937
230.049147 105.778 -175.5204
231.716178 105.757 -175.6438
233.395289 105.734 -175.7644
235.086567 105.711 -175.8828
236.790102 105.688 -175.9993
238.505980 105.664 -176.1137
240.234293 105.640 -176.2261
241.975130 105.615 -176.3375
243.728581 105.589 -176.4492
245.494739 105.564 -176.5620
247.273695 105.538 -176.6750
249.065542 105.511 -176.7865
250.870374 105.485 -176.8934
252.688284 105.459 -176.9926
254.519367 105.433 -177.0820
256.363720 105.407 -177.1619
258.221437 105.382 -177.2331
260.092616 105.357 -177.2955
261.977354 105.332 -177.3483
263.875750 105.307 -177.3904
265.787903 105.283 -177.4214
267.713911 105.258 -177.4407
269.653877 105.232 -177.4473
271.607900 105.207 -177.4388
273.576083 105.182 -177.4112
275.558528 105.159 -177.3614
277.555338 105.139 -177.2885
279.566619 105.124 -177.1953
281.592474 105.113 -177.0884
283.633009 105.110 -176.9776
285.688331 105.114 -176.8772
287.758546 105.125 -176.8059
289.843763 105.142 -176.7841
291.944090 105.161 -176.8288
294.059638 105.181 -176.9500
296.190515 105.198 -177.1456
298.336833 105.207 -177.4012
300.498705 105.208 -177.6954
302.676243 105.199 -178.0048
304.869559 105.180 -178.3078
307.078770 105.152 -178.5876
309.303989 105.118 -178.8331
311.545334 105.081 -179.0391
313.802919 105.043 -179.2063
316.076865 105.006 -179.3404
318.367288 104.971 -179.4488
320.674309 104.936 -179.5382
322.998047 104.903 -179.6136
325.338624 104.870 -179.6775
