* Measurement data measured by REW V5.31.3
* Source: Микрофон (HiBy Digital D1), MICROPHONE (Общая громкость), L, volume: 0,640
* Format: 256k Log Swept Sine, 1 sweep at -20,0 dBFS with no timing reference
* Dated: 07.07.2025 20:59:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CompositeGraphene
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 72.536 -90.5771
20.287556 72.611 -90.6447
20.434568 72.717 -90.7661
20.582645 72.837 -90.9514
20.731796 72.953 -91.1977
20.882027 73.053 -91.4867
21.033346 73.128 -91.7873
21.185763 73.173 -92.0596
21.339284 73.185 -92.2595
21.493917 73.169 -92.3457
21.649671 73.129 -92.2846
21.806553 73.073 -92.0572
21.964572 73.013 -91.6658
22.123737 72.960 -91.1376
22.284054 72.924 -90.5266
22.445534 72.913 -89.9085
22.608183 72.930 -89.3700
22.772012 72.976 -88.9962
22.937027 73.043 -88.8554
23.103238 73.125 -88.9891
23.270654 73.211 -89.4068
23.439282 73.290 -90.0861
23.609133 73.356 -90.9780
23.780215 73.403 -92.0131
23.952536 73.430 -93.1098
24.126106 73.437 -94.1829
24.300934 73.431 -95.1518
24.477028 73.420 -95.9497
24.654399 73.413 -96.5313
24.833055 73.421 -96.8805
25.013005 73.454 -97.0125
25.194260 73.517 -96.9718
25.376828 73.612 -96.8236
25.560719 73.735 -96.6396
25.745942 73.877 -96.4839
25.932508 74.028 -96.3999
26.120426 74.176 -96.4048
26.309705 74.311 -96.4893
26.500356 74.427 -96.6227
26.692388 74.522 -96.7610
26.885812 74.596 -96.8570
27.080638 74.656 -96.8700
27.276876 74.710 -96.7758
27.474535 74.770 -96.5741
27.673627 74.845 -96.2916
27.874161 74.942 -95.9794
28.076149 75.063 -95.7043
28.279600 75.208 -95.5347
28.484526 75.367 -95.5260
28.690937 75.530 -95.7102
28.898843 75.685 -96.0907
29.108256 75.822 -96.6442
29.319186 75.932 -97.3269
29.531645 76.010 -98.0823
29.745644 76.056 -98.8505
29.961193 76.073 -99.5767
30.178304 76.067 -100.2184
30.396989 76.047 -100.7515
30.617258 76.022 -101.1727
30.839123 76.001 -101.4985
31.062596 75.992 -101.7600
31.287688 75.997 -101.9938
31.514412 76.017 -102.2319
31.742778 76.049 -102.4933
31.972800 76.090 -102.7804
32.204488 76.135 -103.0804
32.437855 76.182 -103.3704
32.672913 76.230 -103.6259
32.909674 76.279 -103.8282
33.148151 76.330 -103.9695
33.388356 76.385 -104.0552
33.630302 76.444 -104.1013
33.874001 76.506 -104.1298
34.119466 76.570 -104.1625
34.366710 76.634 -104.2161
34.615745 76.695 -104.3001
34.866585 76.754 -104.4165
35.119243 76.808 -104.5627
35.373731 76.861 -104.7342
35.630064 76.913 -104.9268
35.888254 76.965 -105.1380
36.148315 77.018 -105.3665
36.410261 77.073 -105.6118
36.674104 77.129 -105.8726
36.939860 77.185 -106.1466
37.207542 77.240 -106.4303
37.477163 77.292 -106.7191
37.748738 77.341 -107.0072
38.022281 77.386 -107.2883
38.297806 77.427 -107.5561
38.575327 77.467 -107.8064
38.854860 77.506 -108.0388
39.136419 77.548 -108.2591
39.420017 77.594 -108.4789
39.705671 77.645 -108.7128
39.993395 77.702 -108.9725
40.283203 77.761 -109.2608
40.575112 77.820 -109.5673
40.869136 77.877 -109.8691
41.165290 77.932 -110.1380
41.463591 77.986 -110.3505
41.764053 78.044 -110.4975
42.066693 78.107 -110.5898
42.371525 78.176 -110.6542
42.678567 78.249 -110.7239
42.987834 78.320 -110.8256
43.299341 78.384 -110.9715
43.613106 78.440 -111.1582
43.929145 78.486 -111.3733
44.247473 78.527 -111.6060
44.568109 78.567 -111.8543
44.891068 78.612 -112.1248
45.216367 78.665 -112.4260
45.544023 78.724 -112.7578
45.874054 78.788 -113.1042
46.206476 78.853 -113.4338
46.541307 78.915 -113.7086
46.878565 78.974 -113.8970
47.218266 79.029 -113.9876
47.560429 79.083 -113.9959
47.905072 79.136 -113.9623
48.252212 79.189 -113.9417
48.601867 79.239 -113.9872
48.954056 79.285 -114.1344
49.308798 79.326 -114.3916
49.666109 79.361 -114.7384
50.026010 79.391 -115.1342
50.388520 79.422 -115.5330
50.753656 79.456 -115.8994
51.121437 79.497 -116.2199
51.491884 79.546 -116.5039
51.865016 79.601 -116.7755
52.240851 79.656 -117.0603
52.619410 79.709 -117.3744
53.000712 79.757 -117.7205
53.384777 79.801 -118.0915
53.771625 79.845 -118.4770
54.161276 79.891 -118.8673
54.553751 79.942 -119.2533
54.949070 79.996 -119.6237
55.347254 80.051 -119.9642
55.748323 80.106 -120.2611
56.152298 80.158 -120.5079
56.559201 80.208 -120.7097
56.969052 80.257 -120.8790
57.381873 80.306 -121.0276
57.797686 80.356 -121.1584
58.216512 80.410 -121.2675
58.638373 80.469 -121.3546
59.063291 80.536 -121.4345
59.491288 80.611 -121.5381
59.922386 80.690 -121.6993
60.356608 80.764 -121.9373
60.793977 80.828 -122.2468
61.234515 80.879 -122.6014
61.678246 80.916 -122.9680
62.125192 80.944 -123.3219
62.575377 80.968 -123.6542
63.028824 80.991 -123.9716
63.485557 81.015 -124.2880
63.945599 81.040 -124.6146
64.408975 81.067 -124.9537
64.875709 81.097 -125.2978
65.345825 81.131 -125.6350
65.819348 81.169 -125.9546
66.296302 81.214 -126.2486
66.776713 81.263 -126.5103
67.260604 81.313 -126.7355
67.748002 81.364 -126.9292
68.238932 81.413 -127.1100
68.733420 81.458 -127.3061
69.231490 81.499 -127.5412
69.733170 81.534 -127.8238
70.238485 81.564 -128.1473
70.747463 81.594 -128.4986
71.260128 81.625 -128.8641
71.776508 81.659 -129.2289
72.296630 81.697 -129.5753
72.820521 81.736 -129.8878
73.348209 81.778 -130.1622
73.879720 81.820 -130.4080
74.415083 81.864 -130.6431
74.954326 81.907 -130.8852
75.497475 81.948 -131.1464
76.044561 81.989 -131.4324
76.595612 82.028 -131.7446
77.150655 82.065 -132.0822
77.709720 82.101 -132.4400
78.272837 82.133 -132.8061
78.840034 82.165 -133.1642
79.411342 82.197 -133.5033
79.986789 82.234 -133.8279
80.566406 82.276 -134.1540
81.150224 82.321 -134.4940
81.738272 82.366 -134.8456
82.330581 82.408 -135.1939
82.927182 82.448 -135.5231
83.528107 82.488 -135.8266
84.133386 82.528 -136.1094
84.743051 82.570 -136.3843
85.357134 82.611 -136.6658
85.975667 82.648 -136.9646
86.598682 82.680 -137.2837
87.226212 82.709 -137.6166
87.858289 82.736 -137.9472
88.494946 82.766 -138.2563
89.136217 82.804 -138.5307
89.782135 82.849 -138.7699
90.432733 82.898 -138.9851
91.088046 82.943 -139.1918
91.748108 82.979 -139.4022
92.412952 83.005 -139.6248
93.082615 83.021 -139.8708
93.757130 83.032 -140.1538
94.436533 83.041 -140.4815
95.120859 83.049 -140.8474
95.810144 83.061 -141.2354
96.504423 83.078 -141.6308
97.203734 83.100 -142.0247
97.908112 83.126 -142.4126
98.617595 83.154 -142.7921
99.332219 83.180 -143.1606
100.052021 83.201 -143.5121
100.777039 83.218 -143.8382
101.507311 83.232 -144.1338
102.242875 83.246 -144.4050
102.983769 83.265 -144.6679
103.730032 83.287 -144.9401
104.481702 83.312 -145.2326
105.238820 83.340 -145.5456
106.001424 83.368 -145.8680
106.769554 83.397 -146.1818
107.543250 83.426 -146.4729
108.322553 83.452 -146.7403
109.107503 83.476 -146.9966
109.898141 83.497 -147.2609
110.694508 83.517 -147.5490
111.496646 83.535 -147.8657
112.304596 83.553 -148.2054
113.118402 83.572 -148.5615
113.938104 83.593 -148.9336
114.763747 83.613 -149.3226
115.595372 83.634 -149.7248
116.433024 83.652 -150.1322
117.276746 83.668 -150.5369
118.126581 83.682 -150.9304
118.982575 83.693 -151.3023
119.844772 83.703 -151.6411
120.713217 83.714 -151.9407
121.587954 83.728 -152.2049
122.469031 83.744 -152.4472
123.356492 83.759 -152.6855
124.250384 83.773 -152.9362
125.150753 83.786 -153.2108
126.057647 83.801 -153.5116
126.971113 83.818 -153.8278
127.891198 83.835 -154.1420
128.817950 83.850 -154.4433
129.751418 83.858 -154.7346
130.691651 83.858 -155.0266
131.638696 83.851 -155.3247
132.592604 83.841 -155.6214
133.553425 83.834 -155.9052
134.521208 83.831 -156.1744
135.496004 83.835 -156.4400
136.477864 83.843 -156.7167
137.466839 83.856 -157.0119
138.462981 83.872 -157.3208
139.466340 83.889 -157.6311
140.476971 83.906 -157.9355
141.494925 83.920 -158.2368
142.520256 83.932 -158.5413
143.553016 83.939 -158.8552
144.593260 83.943 -159.1851
145.641043 83.945 -159.5326
146.696418 83.947 -159.8865
147.759441 83.949 -160.2221
148.830166 83.951 -160.5168
149.908651 83.951 -160.7686
150.994951 83.949 -160.9943
152.089123 83.944 -161.2120
153.191223 83.938 -161.4318
154.301310 83.930 -161.6593
155.419441 83.922 -161.8978
156.545674 83.916 -162.1479
157.680069 83.913 -162.4090
158.822683 83.914 -162.6793
159.973578 83.917 -162.9539
161.132813 83.922 -163.2271
162.300447 83.925 -163.4958
163.476543 83.927 -163.7604
164.661162 83.926 -164.0217
165.854364 83.925 -164.2792
167.056213 83.923 -164.5333
168.266772 83.922 -164.7873
169.486102 83.920 -165.0478
170.714268 83.919 -165.3206
171.951334 83.917 -165.6058
173.197364 83.915 -165.8978
174.452424 83.913 -166.1914
175.716578 83.910 -166.4849
176.989893 83.907 -166.7782
178.272434 83.904 -167.0678
179.564270 83.900 -167.3438
180.865467 83.894 -167.5944
182.176092 83.887 -167.8181
183.496216 83.879 -168.0242
184.825905 83.871 -168.2234
186.165229 83.864 -168.4223
187.514259 83.858 -168.6234
188.873065 83.852 -168.8285
190.241717 83.847 -169.0409
191.620287 83.843 -169.2647
193.008847 83.838 -169.5028
194.407468 83.832 -169.7542
195.816225 83.825 -170.0141
197.235190 83.818 -170.2764
198.664438 83.810 -170.5332
200.104042 83.801 -170.7752
201.554078 83.791 -170.9970
203.014622 83.779 -171.2015
204.485750 83.766 -171.3970
205.967538 83.752 -171.5907
207.460064 83.739 -171.7865
208.963405 83.729 -171.9877
210.477640 83.720 -172.1967
212.002848 83.712 -172.4131
213.539108 83.703 -172.6319
215.086500 83.692 -172.8475
216.645105 83.681 -173.0576
218.215005 83.670 -173.2641
219.796281 83.658 -173.4693
221.389015 83.646 -173.6728
222.993292 83.633 -173.8732
224.609193 83.619 -174.0709
226.236804 83.606 -174.2652
227.876209 83.594 -174.4533
229.527494 83.584 -174.6334
231.190745 83.574 -174.8061
232.866048 83.565 -174.9740
234.553491 83.556 -175.1406
236.253163 83.546 -175.3104
237.965150 83.536 -175.4879
239.689544 83.522 -175.6785
241.426433 83.505 -175.8858
243.175909 83.485 -176.1085
244.938062 83.463 -176.3399
246.712984 83.440 -176.5675
248.500768 83.415 -176.7748
250.301507 83.391 -176.9506
252.115295 83.368 -177.0985
253.942226 83.348 -177.2347
255.782396 83.333 -177.3764
257.635901 83.321 -177.5342
259.502837 83.312 -177.7132
261.383301 83.303 -177.9174
263.277392 83.294 -178.1482
265.185209 83.283 -178.3985
267.106850 83.270 -178.6516
269.042417 83.253 -178.8895
270.992009 83.232 -179.1030
272.955729 83.207 -179.2962
274.933678 83.179 -179.4798
276.925961 83.146 -179.6603
278.932681 83.109 -179.8368
280.953942 83.070 179.9974
282.989850 83.029 179.8521
285.040511 82.987 179.7351
287.106032 82.948 179.6500
289.186521 82.911 179.5962
291.282086 82.878 179.5688
293.392836 82.849 179.5586
295.518881 82.822 179.5530
297.660333 82.796 179.5407
299.817302 82.770 179.5173
301.989902 82.745 179.4858
304.178245 82.719 179.4521
306.382446 82.694 179.4188
308.602620 82.670 179.3842
310.838882 82.646 179.3456
313.091348 82.622 179.2997
315.360137 82.599 179.2436
317.645367 82.577 179.1770
319.947156 82.557 179.1031
322.265625 82.539 179.0258
324.600895 82.523 178.9480
326.953086 82.507 178.8712
329.322323 82.490 178.7960
331.708729 82.468 178.7244
334.112427 82.440 178.6611
336.533543 82.407 178.6126
338.972204 82.369 178.5837
341.428536 82.328 178.5744
