* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -51,9 dBFS, measurement signal peak level -25,9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 21.03.2024 21:09:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0,1200 ms (41 mm, 1,62 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: DLC
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 82.110 -51.4559
20.333664 82.168 -51.3342
20.481010 82.256 -51.1687
20.629424 82.368 -51.0028
20.778913 82.495 -50.8818
20.929486 82.632 -50.8461
21.081150 82.773 -50.9255
21.233912 82.910 -51.1363
21.387782 83.041 -51.4805
21.542767 83.161 -51.9458
21.698874 83.270 -52.5084
21.856113 83.369 -53.1365
22.014492 83.463 -53.7949
22.174018 83.557 -54.4504
22.334700 83.658 -55.0772
22.496546 83.775 -55.6620
22.659566 83.914 -56.2072
22.823766 84.080 -56.7310
22.989157 84.274 -57.2643
23.155745 84.492 -57.8433
23.323542 84.726 -58.5020
23.492554 84.964 -59.2627
23.662790 85.194 -60.1312
23.834261 85.403 -61.0931
24.006973 85.579 -62.1146
24.180938 85.713 -63.1449
24.356163 85.799 -64.1204
24.532658 85.837 -64.9699
24.710431 85.829 -65.6214
24.889493 85.785 -66.0115
25.069853 85.718 -66.0961
25.251519 85.647 -65.8641
25.434502 85.590 -65.3478
25.618811 85.565 -64.6285
25.804456 85.586 -63.8271
25.991445 85.656 -63.0825
26.179790 85.768 -62.5209
26.369500 85.910 -62.2283
26.560584 86.064 -62.2365
26.753053 86.213 -62.5233
26.946917 86.344 -63.0244
27.142185 86.448 -63.6509
27.338869 86.522 -64.3062
27.536977 86.569 -64.9027
27.736522 86.597 -65.3753
27.937512 86.614 -65.6912
28.139959 86.631 -65.8549
28.343872 86.657 -65.9051
28.549264 86.696 -65.9043
28.756143 86.749 -65.9229
28.964522 86.811 -66.0217
29.174411 86.877 -66.2390
29.385821 86.943 -66.5853
29.598763 87.003 -67.0457
29.813248 87.058 -67.5883
30.029287 87.109 -68.1740
30.246891 87.163 -68.7673
30.466073 87.225 -69.3427
30.686842 87.299 -69.8879
30.909212 87.387 -70.4010
31.133193 87.489 -70.8852
31.358797 87.599 -71.3418
31.586035 87.712 -71.7655
31.814921 87.822 -72.1436
32.045465 87.924 -72.4591
32.277680 88.016 -72.6971
32.511577 88.098 -72.8517
32.747169 88.172 -72.9315
32.984469 88.240 -72.9613
33.223488 88.307 -72.9790
33.464239 88.373 -73.0281
33.706735 88.438 -73.1483
33.950987 88.503 -73.3667
34.197010 88.567 -73.6928
34.444816 88.629 -74.1175
34.694417 88.690 -74.6179
34.945827 88.754 -75.1634
35.199059 88.823 -75.7239
35.454126 88.900 -76.2754
35.711041 88.987 -76.8035
35.969818 89.084 -77.3027
36.230470 89.188 -77.7739
36.493011 89.296 -78.2194
36.757455 89.404 -78.6401
37.023814 89.509 -79.0334
37.292104 89.607 -79.3947
37.562338 89.699 -79.7201
37.834530 89.787 -80.0102
38.108695 89.871 -80.2725
38.384846 89.955 -80.5210
38.662999 90.039 -80.7745
38.943167 90.121 -81.0507
39.225365 90.200 -81.3613
39.509608 90.273 -81.7085
39.795911 90.337 -82.0853
40.084289 90.394 -82.4786
40.374756 90.443 -82.8760
40.667328 90.491 -83.2710
40.962020 90.541 -83.6673
41.258848 90.598 -84.0765
41.557827 90.665 -84.5129
41.858972 90.743 -84.9848
42.162299 90.829 -85.4886
42.467824 90.919 -86.0089
42.775564 91.011 -86.5228
43.085533 91.100 -87.0089
43.397749 91.184 -87.4547
43.712227 91.260 -87.8583
44.028983 91.328 -88.2248
44.348036 91.384 -88.5591
44.669400 91.431 -88.8611
44.993093 91.471 -89.1263
45.319131 91.510 -89.3520
45.647532 91.554 -89.5454
45.978313 91.610 -89.7247
46.311491 91.677 -89.9121
46.647083 91.753 -90.1201
46.985107 91.831 -90.3418
47.325581 91.909 -90.5531
47.668521 91.987 -90.7293
48.013947 92.069 -90.8673
48.361876 92.162 -91.0006
48.712326 92.271 -91.1935
49.065315 92.391 -91.5151
49.420863 92.516 -92.0062
49.778987 92.633 -92.6593
50.139706 92.734 -93.4223
50.503039 92.817 -94.2218
50.869005 92.881 -94.9922
51.237623 92.934 -95.6959
51.608912 92.981 -96.3271
51.982891 93.025 -96.9000
52.359580 93.068 -97.4324
52.739000 93.112 -97.9354
53.121168 93.159 -98.4138
53.506106 93.210 -98.8732
53.893833 93.267 -99.3254
54.284370 93.329 -99.7860
54.677737 93.393 -100.2671
55.073955 93.457 -100.7688
55.473043 93.517 -101.2776
55.875024 93.574 -101.7718
56.279917 93.631 -102.2304
56.687745 93.690 -102.6408
57.098527 93.754 -103.0022
57.512287 93.826 -103.3251
57.929045 93.905 -103.6293
58.348822 93.990 -103.9399
58.771642 94.079 -104.2840
59.197525 94.169 -104.6838
59.626495 94.255 -105.1491
60.058573 94.334 -105.6733
60.493782 94.405 -106.2349
60.932145 94.469 -106.8066
61.373685 94.528 -107.3650
61.818424 94.584 -107.8969
62.266386 94.641 -108.4003
62.717593 94.699 -108.8802
63.172071 94.760 -109.3445
63.629842 94.822 -109.8023
64.090930 94.885 -110.2628
64.555359 94.948 -110.7340
65.023154 95.012 -111.2205
65.494339 95.076 -111.7215
65.968938 95.140 -112.2304
66.446976 95.204 -112.7364
66.928478 95.270 -113.2289
67.413469 95.338 -113.7025
67.901975 95.407 -114.1597
68.394021 95.476 -114.6090
68.889632 95.544 -115.0597
69.388835 95.608 -115.5184
69.891655 95.667 -115.9871
70.398118 95.722 -116.4654
70.908252 95.773 -116.9512
71.422083 95.822 -117.4420
71.939636 95.871 -117.9362
72.460941 95.922 -118.4338
72.986023 95.975 -118.9366
73.514909 96.031 -119.4457
74.047629 96.087 -119.9611
74.584208 96.142 -120.4830
75.124676 96.196 -121.0138
75.669061 96.246 -121.5579
76.217390 96.294 -122.1166
76.769692 96.339 -122.6839
77.325997 96.384 -123.2481
77.886333 96.429 -123.7969
78.450730 96.475 -124.3247
79.019216 96.523 -124.8351
79.591822 96.573 -125.3384
80.168577 96.623 -125.8458
80.749512 96.672 -126.3649
81.334656 96.718 -126.8988
81.924040 96.763 -127.4472
82.517696 96.806 -128.0095
83.115653 96.850 -128.5870
83.717943 96.895 -129.1816
84.324598 96.942 -129.7915
84.935649 96.992 -130.4089
85.551128 97.043 -131.0222
86.171066 97.093 -131.6227
86.795497 97.141 -132.2089
87.424453 97.184 -132.7861
88.057967 97.223 -133.3609
88.696071 97.259 -133.9375
89.338800 97.292 -134.5166
89.986185 97.325 -135.0969
90.638262 97.358 -135.6777
91.295065 97.391 -136.2605
91.956626 97.422 -136.8480
92.622982 97.452 -137.4408
93.294166 97.481 -138.0371
93.970214 97.511 -138.6352
94.651161 97.540 -139.2351
95.337042 97.570 -139.8364
96.027894 97.598 -140.4363
96.723752 97.626 -141.0302
97.424652 97.652 -141.6129
98.130631 97.679 -142.1827
98.841726 97.705 -142.7468
99.557974 97.731 -143.3220
100.279412 97.756 -143.9251
101.006078 97.781 -144.5600
101.738010 97.804 -145.2145
102.475245 97.826 -145.8692
103.217823 97.849 -146.5085
103.965782 97.872 -147.1271
104.719161 97.894 -147.7298
105.477999 97.915 -148.3235
106.242336 97.935 -148.9117
107.012212 97.954 -149.4946
107.787666 97.970 -150.0750
108.568740 97.984 -150.6591
109.355474 97.997 -151.2548
110.147909 98.009 -151.8668
110.946086 98.019 -152.4933
111.750047 98.028 -153.1267
112.559834 98.035 -153.7595
113.375489 98.041 -154.3889
114.197055 98.046 -155.0166
115.024574 98.051 -155.6444
115.858089 98.056 -156.2689
116.697645 98.063 -156.8820
117.543284 98.071 -157.4786
118.395051 98.079 -158.0613
119.252990 98.087 -158.6381
120.117147 98.095 -159.2150
120.987565 98.103 -159.7921
121.864291 98.111 -160.3652
122.747370 98.116 -160.9328
123.636848 98.119 -161.4997
124.532771 98.119 -162.0733
125.435187 98.114 -162.6592
126.344142 98.103 -163.2579
127.259684 98.088 -163.8643
128.181860 98.069 -164.4720
129.110718 98.049 -165.0779
130.046308 98.028 -165.6833
130.988677 98.009 -166.2909
131.937875 97.991 -166.8990
132.893951 97.977 -167.4991
133.856956 97.967 -168.0815
134.826938 97.958 -168.6391
135.803950 97.950 -169.1673
136.788041 97.940 -169.6681
137.779264 97.929 -170.1557
138.777669 97.916 -170.6507
139.783309 97.902 -171.1658
140.796237 97.887 -171.6982
141.816504 97.871 -172.2362
142.844165 97.851 -172.7708
143.879273 97.830 -173.2959
144.921881 97.806 -173.8060
145.972045 97.782 -174.2982
147.029819 97.759 -174.7781
148.095257 97.737 -175.2586
149.168417 97.717 -175.7547
150.249353 97.698 -176.2759
151.338121 97.680 -176.8194
152.434780 97.661 -177.3692
153.539385 97.641 -177.9091
154.651995 97.619 -178.4312
155.772667 97.594 -178.9357
156.901460 97.567 -179.4262
158.038432 97.538 -179.9075
159.183644 97.509 179.6170
160.337154 97.480 179.1466
161.499023 97.451 178.6831
162.669312 97.423 178.2288
163.848081 97.396 177.7833
165.035392 97.367 177.3419
166.231306 97.337 176.8992
167.435887 97.307 176.4532
168.649196 97.274 176.0044
169.871298 97.241 175.5531
171.102255 97.206 175.1011
172.342133 97.170 174.6535
173.590995 97.135 174.2164
174.848907 97.099 173.7924
176.115934 97.064 173.3803
177.392143 97.029 172.9762
178.677599 96.993 172.5767
179.972371 96.957 172.1780
181.276525 96.920 171.7760
182.590129 96.883 171.3683
183.913252 96.845 170.9576
185.245964 96.807 170.5510
186.588332 96.769 170.1541
187.940428 96.732 169.7679
189.302322 96.694 169.3898
190.674085 96.656 169.0157
192.055788 96.616 168.6423
193.447503 96.573 168.2667
194.849303 96.527 167.8891
196.261262 96.478 167.5134
197.683452 96.427 167.1490
199.115948 96.377 166.8083
200.558824 96.330 166.4985
202.012156 96.288 166.2122
203.476019 96.250 165.9337
204.950490 96.213 165.6497
206.435646 96.174 165.3552
207.931564 96.135 165.0540
209.438322 96.096 164.7537
210.955998 96.056 164.4583
212.484672 96.016 164.1655
214.024424 95.976 163.8702
215.575333 95.934 163.5691
217.137481 95.891 163.2612
218.710948 95.849 162.9485
220.295818 95.807 162.6357
221.892172 95.766 162.3289
223.500094 95.726 162.0332
225.119668 95.686 161.7495
226.750978 95.646 161.4741
228.394109 95.604 161.2011
230.049147 95.562 160.9279
231.716178 95.518 160.6554
233.395289 95.474 160.3864
235.086567 95.428 160.1242
236.790102 95.383 159.8717
238.505980 95.336 159.6299
240.234293 95.289 159.3972
241.975130 95.241 159.1696
243.728581 95.194 158.9434
245.494739 95.148 158.7160
247.273695 95.103 158.4886
249.065542 95.059 158.2670
250.870374 95.014 158.0582
252.688284 94.970 157.8633
254.519367 94.924 157.6771
256.363720 94.877 157.4928
258.221437 94.831 157.3062
260.092616 94.787 157.1179
261.977354 94.743 156.9311
263.875750 94.700 156.7475
265.787903 94.655 156.5641
267.713911 94.609 156.3743
269.653877 94.561 156.1736
271.607900 94.514 155.9659
273.576083 94.469 155.7614
275.558528 94.426 155.5716
277.555338 94.385 155.4028
279.566619 94.345 155.2517
281.592474 94.306 155.1091
283.633009 94.265 154.9690
285.688331 94.224 154.8339
287.758546 94.182 154.7089
289.843763 94.139 154.5966
291.944090 94.094 154.4936
294.059638 94.049 154.3914
296.190515 94.004 154.2838
298.336833 93.961 154.1697
300.498705 93.917 154.0501
302.676243 93.871 153.9297
304.869559 93.822 153.8119
307.078770 93.767 153.6898
309.303989 93.707 153.5565
311.545334 93.643 153.4196
313.802919 93.581 153.2906
316.076865 93.521 153.1733
318.367288 93.467 153.0656
320.674309 93.416 152.9640
322.998047 93.368 152.8676
325.338624 93.322 152.7780
327.696162 93.277 152.6968
330.070783 93.232 152.6227
332.462612 93.186 152.5513
334.871773 93.141 152.4788
337.298392 93.097 152.4057
339.742595 93.053 152.3358
342.204510 93.011 152.2703
344.684265 92.969 152.2046
