* Measurement data measured by REW V5.40 beta 98
* Source: Микрофон (HiBy Digital D1), MICROPHONE (Общая громкость), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -15,0 dBFS with no timing reference
* Dated: 03.10.2025 15:53:31
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: GRAPHENE68
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 30.766 -152.1326
0.368865 30.781 -152.1808
0.371538 30.804 -152.2524
0.374230 30.832 -152.3412
0.376942 30.864 -152.4419
0.379673 30.898 -152.5507
0.382424 30.934 -152.6650
0.385196 30.970 -152.7832
0.387987 31.007 -152.9043
0.390798 31.045 -153.0279
0.393630 31.082 -153.1537
0.396483 31.121 -153.2816
0.399356 31.159 -153.4114
0.402250 31.198 -153.5431
0.405165 31.237 -153.6767
0.408101 31.276 -153.8121
0.411058 31.316 -153.9494
0.414037 31.356 -154.0886
0.417037 31.396 -154.2295
0.420059 31.436 -154.3723
0.423103 31.477 -154.5169
0.426169 31.518 -154.6632
0.429257 31.560 -154.8113
0.432368 31.601 -154.9612
0.435501 31.643 -155.1129
0.438656 31.686 -155.2663
0.441835 31.728 -155.4214
0.445037 31.771 -155.5782
0.448262 31.814 -155.7367
0.451510 31.858 -155.8970
0.454782 31.902 -156.0589
0.458077 31.946 -156.2224
0.461397 31.990 -156.3877
0.464740 32.035 -156.5546
0.468108 32.080 -156.7231
0.471500 32.126 -156.8933
0.474917 32.171 -157.0650
0.478358 32.217 -157.2384
0.481825 32.264 -157.4135
0.485316 32.311 -157.5901
0.488833 32.358 -157.7683
0.492375 32.405 -157.9481
0.495943 32.453 -158.1295
0.499537 32.501 -158.3125
0.503157 32.550 -158.4971
0.506803 32.598 -158.6833
0.510475 32.648 -158.8711
0.514175 32.697 -159.0605
0.517900 32.747 -159.2515
0.521653 32.797 -159.4442
0.525434 32.848 -159.6384
0.529241 32.899 -159.8343
0.533076 32.950 -160.0318
0.536939 33.002 -160.2310
0.540830 33.054 -160.4319
0.544749 33.107 -160.6345
0.548696 33.160 -160.8388
0.552673 33.213 -161.0449
0.556677 33.267 -161.2527
0.560711 33.321 -161.4624
0.564774 33.375 -161.6738
0.568867 33.430 -161.8872
0.572989 33.485 -162.1024
0.577141 33.541 -162.3197
0.581324 33.597 -162.5389
0.585536 33.653 -162.7601
0.589779 33.710 -162.9834
0.594053 33.767 -163.2089
0.598358 33.825 -163.4366
0.602694 33.883 -163.6665
0.607061 33.942 -163.8988
0.611460 34.001 -164.1335
0.615891 34.060 -164.3706
0.620354 34.120 -164.6103
0.624849 34.180 -164.8526
0.629377 34.241 -165.0976
0.633938 34.302 -165.3454
0.638532 34.363 -165.5962
0.643159 34.425 -165.8499
0.647819 34.488 -166.1068
0.652514 34.551 -166.3669
0.657242 34.614 -166.6303
0.662005 34.678 -166.8972
0.666802 34.742 -167.1677
0.671634 34.807 -167.4420
0.676501 34.872 -167.7201
0.681403 34.938 -168.0023
0.686341 35.004 -168.2887
0.691314 35.071 -168.5795
0.696324 35.137 -168.8749
0.701370 35.205 -169.1750
0.706452 35.272 -169.4801
0.711571 35.340 -169.7904
0.716728 35.407 -170.1061
0.721921 35.473 -170.4275
0.727153 35.538 -170.7549
0.732422 35.600 -171.0886
0.737729 35.661 -171.4287
0.743075 35.719 -171.7755
0.748460 35.776 -172.1290
0.753883 35.831 -172.4891
0.759346 35.886 -172.8559
0.764849 35.940 -173.2291
0.770391 35.993 -173.6086
0.775974 36.046 -173.9943
0.781597 36.099 -174.3859
0.787261 36.151 -174.7832
0.792966 36.203 -175.1861
0.798712 36.255 -175.5944
0.804500 36.307 -176.0078
0.810329 36.358 -176.4261
0.816201 36.409 -176.8492
0.822116 36.460 -177.2769
0.828073 36.510 -177.7090
0.834074 36.560 -178.1452
0.840118 36.610 -178.5854
0.846206 36.660 -179.0295
0.852338 36.709 -179.4773
0.858514 36.758 -179.9285
0.864735 36.807 179.6170
0.871001 36.856 179.1593
0.877313 36.904 178.6985
0.883670 36.952 178.2350
0.890074 37.000 177.7686
0.896524 37.047 177.2997
0.903020 37.094 176.8283
0.909564 37.141 176.3545
0.916155 37.188 175.8784
0.922794 37.235 175.4001
0.929481 37.281 174.9197
0.936216 37.327 174.4373
0.943000 37.373 173.9529
0.949834 37.418 173.4666
0.956717 37.464 172.9783
0.963649 37.509 172.4881
0.970632 37.554 171.9961
0.977666 37.599 171.5021
0.984750 37.644 171.0063
0.991886 37.688 170.5085
0.999074 37.733 170.0088
1.006314 37.777 169.5070
1.013606 37.821 169.0029
1.020951 37.865 168.4967
1.028349 37.909 167.9881
1.035801 37.953 167.4769
1.043307 37.997 166.9630
1.050867 38.040 166.4460
1.058482 38.084 165.9258
1.066152 38.128 165.4019
1.073878 38.171 164.8735
1.081660 38.215 164.3399
1.089498 38.258 163.8000
1.097393 38.302 163.2522
1.105345 38.345 162.6950
1.113355 38.388 162.1268
1.121423 38.430 161.5463
1.129549 38.473 160.9528
1.137734 38.514 160.3459
1.145979 38.556 159.7256
1.154283 38.596 159.0921
1.162647 38.637 158.4456
1.171072 38.677 157.7865
1.179558 38.716 157.1153
1.188106 38.755 156.4324
1.196715 38.794 155.7385
1.205387 38.831 155.0341
1.214122 38.869 154.3196
1.222920 38.906 153.5957
1.231782 38.942 152.8631
1.240708 38.978 152.1223
1.249699 39.014 151.3739
1.258754 39.048 150.6186
1.267876 39.083 149.8571
1.277063 39.117 149.0899
1.286318 39.150 148.3179
1.295639 39.183 147.5416
1.305027 39.215 146.7617
1.314484 39.247 145.9789
1.324009 39.278 145.1940
1.333604 39.309 144.4075
1.343268 39.339 143.6202
1.353002 39.368 142.8328
1.362806 39.398 142.0457
1.372681 39.426 141.2599
1.382628 39.454 140.4758
1.392647 39.482 139.6939
1.402739 39.509 138.9148
1.412904 39.535 138.1388
1.423142 39.561 137.3658
1.433455 39.587 136.5957
1.443843 39.612 135.8274
1.454305 39.636 135.0594
1.464844 39.660 134.2892
1.475459 39.683 133.5140
1.486150 39.705 132.7309
1.496920 39.727 131.9374
1.507767 39.748 131.1319
1.518693 39.768 130.3137
1.529698 39.787 129.4823
1.540783 39.805 128.6379
1.551948 39.823 127.7807
1.563194 39.840 126.9113
1.574521 39.855 126.0302
1.585931 39.870 125.1381
1.597423 39.884 124.2357
1.608999 39.897 123.3237
1.620658 39.909 122.4030
1.632402 39.920 121.4742
1.644232 39.930 120.5384
1.656146 39.939 119.5963
1.668147 39.947 118.6489
1.680235 39.954 117.6969
1.692411 39.960 116.7414
1.704675 39.965 115.7832
1.717028 39.968 114.8232
1.729470 39.971 113.8623
1.742003 39.972 112.9014
1.754626 39.973 111.9410
1.767341 39.972 110.9817
1.780147 39.969 110.0235
1.793047 39.966 109.0661
1.806040 39.961 108.1082
1.819128 39.956 107.1473
1.832310 39.948 106.1801
1.845587 39.940 105.2022
1.858961 39.930 104.2094
1.872432 39.919 103.1982
1.886001 39.906 102.1663
1.899667 39.892 101.1126
1.913433 39.877 100.0367
1.927299 39.860 98.9387
1.941265 39.841 97.8193
1.955332 39.821 96.6795
1.969501 39.799 95.5206
1.983773 39.776 94.3440
1.998148 39.751 93.1513
2.012627 39.724 91.9443
2.027212 39.695 90.7252
2.041902 39.664 89.4958
2.056698 39.631 88.2586
2.071602 39.597 87.0159
2.086614 39.560 85.7702
2.101734 39.521 84.5238
2.116964 39.481 83.2791
2.132304 39.437 82.0378
2.147756 39.392 80.8012
2.163320 39.345 79.5692
2.178996 39.295 78.3401
2.194786 39.243 77.1100
2.210690 39.188 75.8734
2.226710 39.131 74.6236
2.242845 39.072 73.3549
2.259098 39.011 72.0628
2.275468 38.947 70.7442
2.291957 38.880 69.3974
2.308566 38.811 68.0220
2.325295 38.739 66.6181
2.342145 38.665 65.1867
2.359117 38.587 63.7292
2.376212 38.507 62.2477
2.393431 38.423 60.7446
2.410775 38.336 59.2229
2.428244 38.246 57.6861
2.445840 38.153 56.1379
2.463564 38.056 54.5824
2.481416 37.956 53.0234
2.499397 37.851 51.4644
2.517509 37.743 49.9078
2.535752 37.631 48.3539
2.554127 37.515 46.8002
2.572635 37.396 45.2411
2.591277 37.272 43.6682
2.610055 37.144 42.0728
2.628968 37.011 40.4469
2.648019 36.875 38.7841
2.667208 36.734 37.0798
2.686535 36.589 35.3309
2.706003 36.440 33.5358
2.725612 36.286 31.6942
2.745363 36.127 29.8070
2.765257 35.964 27.8766
2.785295 35.795 25.9064
2.805478 35.622 23.9011
2.825808 35.444 21.8666
2.846285 35.260 19.8092
2.866910 35.070 17.7351
2.887685 34.875 15.6490
2.908611 34.673 13.5523
2.929688 34.465 11.4417
2.950917 34.249 9.3082
2.972301 34.026 7.1390
2.993839 33.795 4.9196
3.015534 33.556 2.6362
3.037386 33.310 0.2766
3.059396 33.057 -2.1691
3.081565 32.798 -4.7085
3.103896 32.534 -7.3466
3.126388 32.265 -10.0853
3.149043 31.992 -12.9234
3.171862 31.717 -15.8561
3.194847 31.440 -18.8755
3.217998 31.162 -21.9714
3.241317 30.883 -25.1336
3.264805 30.604 -28.3549
3.288463 30.323 -31.6363
3.312293 30.041 -34.9900
3.336295 29.755 -38.4398
3.360471 29.465 -42.0167
3.384822 29.172 -45.7537
3.409350 28.875 -49.6815
3.434056 28.578 -53.8251
3.458940 28.282 -58.2003
3.484005 27.990 -62.8118
3.509252 27.705 -67.6492
3.534681 27.430 -72.6866
3.560295 27.170 -77.8839
3.586094 26.927 -83.1914
3.612081 26.706 -88.5603
3.638255 26.509 -93.9557
3.664620 26.337 -99.3677
3.691175 26.193 -104.8148
3.717923 26.077 -110.3323
3.744864 25.986 -115.9542
3.772001 25.920 -121.6985
3.799335 25.876 -127.5588
3.826866 25.851 -133.5027
3.854597 25.843 -139.4753
3.882529 25.849 -145.4083
3.910664 25.865 -151.2318
3.939002 25.891 -156.8882
3.967546 25.923 -162.3447
3.996296 25.961 -167.6013
4.025255 26.005 -172.6933
4.054423 26.054 -177.6815
4.083804 26.110 177.3671
4.113396 26.174 172.4008
4.143204 26.245 167.3945
4.173227 26.324 162.3499
4.203468 26.409 157.2899
4.233928 26.498 152.2499
4.264609 26.592 147.2668
4.295512 26.688 142.3697
4.326639 26.784 137.5702
4.357992 26.881 132.8568
4.389572 26.978 128.1932
4.421380 27.073 123.5269
4.453419 27.169 118.8051
4.485691 27.264 113.9937
4.518196 27.361 109.0858
4.550936 27.461 104.1003
4.583914 27.564 99.0737
4.617131 27.673 94.0497
4.650589 27.787 89.0682
4.684289 27.910 84.1550
4.718233 28.040 79.3152
4.752424 28.180 74.5324
4.786862 28.329 69.7756
4.821549 28.488 65.0150
4.856488 28.656 60.2377
4.891680 28.832 55.4537
4.927127 29.014 50.6915
4.962831 29.202 45.9892
4.998794 29.394 41.3832
5.035017 29.589 36.8994
5.071503 29.786 32.5471
5.108253 29.985 28.3173
5.145270 30.186 24.1874
5.182555 30.389 20.1312
5.220110 30.592 16.1327
5.257937 30.797 12.1913
5.296038 31.000 8.3199
5.334415 31.200 4.5383
5.373071 31.397 0.8654
5.412006 31.587 -2.6869
5.451224 31.770 -6.1183
5.490725 31.945 -9.4412
5.530514 32.111 -12.6759
5.570590 32.269 -15.8422
5.610957 32.418 -18.9507
5.651616 32.558 -22.0004
5.692570 32.689 -24.9816
5.733821 32.808 -27.8809
5.775370 32.916 -30.6866
5.817221 33.012 -33.3943
5.859375 33.096 -36.0083
5.901834 33.166 -38.5410
5.944602 33.223 -41.0055
5.987679 33.266 -43.4093
6.031068 33.296 -45.7510
6.074771 33.311 -48.0214
6.118792 33.312 -50.2075
6.163131 33.297 -52.2966
6.207792 33.267 -54.2808
6.252776 33.221 -56.1588
6.298086 33.159 -57.9346
6.343725 33.080 -59.6113
6.389694 32.985 -61.1867
6.435996 32.874 -62.6519
6.482634 32.748 -63.9919
6.529610 32.606 -65.1884
6.576926 32.449 -66.2231
6.624585 32.277 -67.0804
6.672590 32.089 -67.7484
6.720942 31.889 -68.2169
6.769645 31.681 -68.4752
