* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -25,0 dBFS, measurement signal peak level -23,1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 18.08.2024 9:54:20
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0185 ms (-6,4 mm, -0,25 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: 400
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 80.396 -45.2552
20.333664 80.473 -45.5540
20.481010 80.582 -45.9631
20.629424 80.708 -46.4051
20.778913 80.837 -46.8113
20.929486 80.961 -47.1295
21.081150 81.075 -47.3256
21.233912 81.176 -47.3822
21.387782 81.266 -47.2967
21.542767 81.347 -47.0808
21.698874 81.422 -46.7583
21.856113 81.495 -46.3646
22.014492 81.571 -45.9439
22.174018 81.651 -45.5464
22.334700 81.738 -45.2248
22.496546 81.833 -45.0293
22.659566 81.938 -45.0036
22.823766 82.049 -45.1804
22.989157 82.166 -45.5787
23.155745 82.286 -46.2008
23.323542 82.406 -47.0323
23.492554 82.522 -48.0421
23.662790 82.632 -49.1845
23.834261 82.733 -50.4023
24.006973 82.823 -51.6305
24.180938 82.901 -52.8014
24.356163 82.970 -53.8497
24.532658 83.032 -54.7189
24.710431 83.091 -55.3664
24.889493 83.152 -55.7696
25.069853 83.221 -55.9294
25.251519 83.303 -55.8717
25.434502 83.403 -55.6453
25.618811 83.519 -55.3149
25.804456 83.652 -54.9512
25.991445 83.795 -54.6197
26.179790 83.943 -54.3709
26.369500 84.089 -54.2346
26.560584 84.225 -54.2181
26.753053 84.349 -54.3097
26.946917 84.457 -54.4838
27.142185 84.551 -54.7080
27.338869 84.633 -54.9498
27.536977 84.708 -55.1832
27.736522 84.780 -55.3922
27.937512 84.854 -55.5724
28.139959 84.934 -55.7292
28.343872 85.019 -55.8744
28.549264 85.110 -56.0205
28.756143 85.202 -56.1759
28.964522 85.293 -56.3422
29.174411 85.380 -56.5139
29.385821 85.462 -56.6805
29.598763 85.537 -56.8311
29.813248 85.608 -56.9587
30.029287 85.677 -57.0639
30.246891 85.747 -57.1566
30.466073 85.822 -57.2544
30.686842 85.903 -57.3783
30.909212 85.990 -57.5474
31.133193 86.081 -57.7730
31.358797 86.176 -58.0558
31.586035 86.272 -58.3850
31.814921 86.368 -58.7414
32.045465 86.464 -59.1028
32.277680 86.561 -59.4496
32.511577 86.659 -59.7696
32.747169 86.759 -60.0601
32.984469 86.861 -60.3273
33.223488 86.964 -60.5829
33.464239 87.064 -60.8390
33.706735 87.159 -61.1038
33.950987 87.245 -61.3798
34.197010 87.323 -61.6644
34.444816 87.392 -61.9533
34.694417 87.456 -62.2446
34.945827 87.518 -62.5420
35.199059 87.583 -62.8560
35.454126 87.654 -63.2007
35.711041 87.733 -63.5887
35.969818 87.820 -64.0251
36.230470 87.914 -64.5037
36.493011 88.012 -65.0068
36.757455 88.114 -65.5099
37.023814 88.220 -65.9891
37.292104 88.329 -66.4280
37.562338 88.443 -66.8229
37.834530 88.560 -67.1817
38.108695 88.680 -67.5175
38.384846 88.797 -67.8406
38.662999 88.909 -68.1514
38.943167 89.012 -68.4376
39.225365 89.106 -68.6793
39.509608 89.193 -68.8585
39.795911 89.277 -68.9698
40.084289 89.362 -69.0269
40.374756 89.451 -69.0625
40.667328 89.544 -69.1181
40.962020 89.639 -69.2309
41.258848 89.733 -69.4209
41.557827 89.822 -69.6877
41.858972 89.904 -70.0144
42.162299 89.982 -70.3772
42.467824 90.057 -70.7542
42.775564 90.130 -71.1287
43.085533 90.199 -71.4859
43.397749 90.260 -71.8073
43.712227 90.310 -72.0683
44.028983 90.347 -72.2449
44.348036 90.375 -72.3277
44.669400 90.401 -72.3373
44.993093 90.437 -72.3273
45.319131 90.491 -72.3710
45.647532 90.570 -72.5306
45.978313 90.675 -72.8278
46.311491 90.807 -73.2320
46.647083 90.966 -73.6752
46.985107 91.151 -74.0869
47.325581 91.356 -74.4272
47.668521 91.570 -74.7002
48.013947 91.772 -74.9398
48.361876 91.942 -75.1808
48.712326 92.060 -75.4371
49.065315 92.118 -75.6981
49.420863 92.121 -75.9442
49.778987 92.086 -76.1675
50.139706 92.036 -76.3833
50.503039 91.997 -76.6240
50.869005 91.987 -76.9171
51.237623 92.015 -77.2657
51.608912 92.079 -77.6464
51.982891 92.170 -78.0261
52.359580 92.275 -78.3830
52.739000 92.380 -78.7139
53.121168 92.476 -79.0257
53.506106 92.559 -79.3215
53.893833 92.635 -79.5950
54.284370 92.716 -79.8367
54.677737 92.814 -80.0451
55.073955 92.936 -80.2299
55.473043 93.077 -80.4028
55.875024 93.226 -80.5667
56.279917 93.365 -80.7140
56.687745 93.480 -80.8365
57.098527 93.564 -80.9401
57.512287 93.618 -81.0495
57.929045 93.649 -81.2009
58.348822 93.671 -81.4287
58.771642 93.696 -81.7535
59.197525 93.736 -82.1792
59.626495 93.798 -82.6938
60.058573 93.878 -83.2734
60.493782 93.972 -83.8858
60.932145 94.071 -84.4969
61.373685 94.170 -85.0793
61.818424 94.267 -85.6166
62.266386 94.361 -86.1002
62.717593 94.453 -86.5202
63.172071 94.541 -86.8618
63.629842 94.625 -87.1131
64.090930 94.704 -87.2813
64.555359 94.778 -87.4022
65.023154 94.848 -87.5327
65.494339 94.914 -87.7289
65.968938 94.978 -88.0230
66.446976 95.044 -88.4134
66.928478 95.114 -88.8695
67.413469 95.191 -89.3482
67.901975 95.273 -89.8101
68.394021 95.357 -90.2311
68.889632 95.439 -90.6049
69.388835 95.517 -90.9396
69.891655 95.591 -91.2509
70.398118 95.665 -91.5555
70.908252 95.744 -91.8660
71.422083 95.830 -92.1889
71.939636 95.923 -92.5255
72.460941 96.021 -92.8752
72.986023 96.119 -93.2400
73.514909 96.215 -93.6242
74.047629 96.307 -94.0308
74.584208 96.393 -94.4565
75.124676 96.474 -94.8918
75.669061 96.550 -95.3258
76.217390 96.624 -95.7519
76.769692 96.696 -96.1683
77.325997 96.768 -96.5776
77.886333 96.841 -96.9868
78.450730 96.918 -97.4057
79.019216 96.999 -97.8424
79.591822 97.082 -98.2970
80.168577 97.166 -98.7625
80.749512 97.249 -99.2294
81.334656 97.332 -99.6893
81.924040 97.413 -100.1333
82.517696 97.495 -100.5538
83.115653 97.577 -100.9504
83.717943 97.660 -101.3321
84.324598 97.742 -101.7125
84.935649 97.821 -102.1050
85.551128 97.897 -102.5225
86.171066 97.972 -102.9759
86.795497 98.044 -103.4689
87.424453 98.116 -103.9942
88.057967 98.184 -104.5347
88.696071 98.250 -105.0701
89.338800 98.313 -105.5857
89.986185 98.376 -106.0788
90.638262 98.441 -106.5553
91.295065 98.512 -107.0191
91.956626 98.588 -107.4685
92.622982 98.670 -107.9039
93.294166 98.755 -108.3362
93.970214 98.841 -108.7838
94.651161 98.924 -109.2621
95.337042 99.004 -109.7766
96.027894 99.083 -110.3251
96.723752 99.161 -110.9027
97.424652 99.238 -111.5038
98.130631 99.314 -112.1195
98.841726 99.387 -112.7364
99.557974 99.459 -113.3404
100.279412 99.530 -113.9218
101.006078 99.603 -114.4801
101.738010 99.677 -115.0214
102.475245 99.751 -115.5556
103.217823 99.823 -116.0942
103.965782 99.893 -116.6487
104.719161 99.961 -117.2269
105.477999 100.026 -117.8303
106.242336 100.091 -118.4529
107.012212 100.154 -119.0803
107.787666 100.217 -119.6982
108.568740 100.280 -120.3049
109.355474 100.341 -120.9141
110.147909 100.401 -121.5406
110.946086 100.459 -122.1900
111.750047 100.517 -122.8579
112.559834 100.573 -123.5368
113.375489 100.628 -124.2207
114.197055 100.680 -124.9051
115.024574 100.732 -125.5856
115.858089 100.784 -126.2597
116.697645 100.837 -126.9285
117.543284 100.892 -127.5951
118.395051 100.948 -128.2636
119.252990 101.002 -128.9390
120.117147 101.054 -129.6268
120.987565 101.101 -130.3316
121.864291 101.143 -131.0563
122.747370 101.181 -131.8002
123.636848 101.217 -132.5570
124.532771 101.254 -133.3122
125.435187 101.293 -134.0475
126.344142 101.334 -134.7536
127.259684 101.376 -135.4380
128.181860 101.417 -136.1169
129.110718 101.456 -136.8049
130.046308 101.493 -137.5132
130.988677 101.527 -138.2489
131.937875 101.561 -139.0128
132.893951 101.593 -139.7994
133.856956 101.624 -140.6015
134.826938 101.653 -141.4129
135.803950 101.680 -142.2291
136.788041 101.704 -143.0455
137.779264 101.726 -143.8542
138.777669 101.745 -144.6467
139.783309 101.762 -145.4235
140.796237 101.776 -146.1987
141.816504 101.786 -146.9908
142.844165 101.792 -147.8083
143.879273 101.795 -148.6455
144.921881 101.793 -149.4918
145.972045 101.789 -150.3371
147.029819 101.781 -151.1721
148.095257 101.771 -151.9886
149.168417 101.758 -152.7831
150.249353 101.741 -153.5564
151.338121 101.720 -154.3099
152.434780 101.694 -155.0421
153.539385 101.666 -155.7507
154.651995 101.635 -156.4343
155.772667 101.603 -157.0929
156.901460 101.570 -157.7273
158.038432 101.538 -158.3388
159.183644 101.506 -158.9286
160.337154 101.476 -159.4987
161.499023 101.448 -160.0519
162.669312 101.421 -160.5928
163.848081 101.397 -161.1269
165.035392 101.373 -161.6582
166.231306 101.351 -162.1878
167.435887 101.330 -162.7156
168.649196 101.309 -163.2428
169.871298 101.288 -163.7716
171.102255 101.268 -164.3038
172.342133 101.248 -164.8402
173.590995 101.230 -165.3795
174.848907 101.210 -165.9187
176.115934 101.190 -166.4553
177.392143 101.169 -166.9891
178.677599 101.146 -167.5220
179.972371 101.122 -168.0547
181.276525 101.096 -168.5868
182.590129 101.070 -169.1168
183.913252 101.043 -169.6428
185.245964 101.014 -170.1637
186.588332 100.984 -170.6791
187.940428 100.952 -171.1897
189.302322 100.918 -171.6966
190.674085 100.885 -172.2011
192.055788 100.851 -172.7032
193.447503 100.816 -173.1998
194.849303 100.781 -173.6877
196.261262 100.745 -174.1674
197.683452 100.708 -174.6409
199.115948 100.669 -175.1096
200.558824 100.630 -175.5746
202.012156 100.591 -176.0372
203.476019 100.550 -176.4978
204.950490 100.509 -176.9554
206.435646 100.468 -177.4077
207.931564 100.426 -177.8526
209.438322 100.384 -178.2900
210.955998 100.342 -178.7215
212.484672 100.300 -179.1485
214.024424 100.257 -179.5708
215.575333 100.214 -179.9864
217.137481 100.169 179.6077
218.710948 100.122 179.2143
220.295818 100.076 178.8351
221.892172 100.029 178.4701
223.500094 99.981 178.1169
225.119668 99.934 177.7719
226.750978 99.886 177.4310
228.394109 99.838 177.0909
230.049147 99.789 176.7495
231.716178 99.740 176.4070
233.395289 99.690 176.0663
235.086567 99.639 175.7304
236.790102 99.588 175.4002
238.505980 99.536 175.0759
240.234293 99.485 174.7601
241.975130 99.433 174.4573
243.728581 99.381 174.1706
245.494739 99.329 173.8985
247.273695 99.275 173.6345
249.065542 99.221 173.3720
250.870374 99.166 173.1091
252.688284 99.111 172.8477
254.519367 99.058 172.5895
256.363720 99.006 172.3359
258.221437 98.955 172.0889
260.092616 98.905 171.8514
261.977354 98.855 171.6258
263.875750 98.805 171.4144
265.787903 98.753 171.2191
267.713911 98.699 171.0399
269.653877 98.644 170.8729
271.607900 98.589 170.7112
273.576083 98.534 170.5490
275.558528 98.481 170.3856
277.555338 98.429 170.2250
279.566619 98.380 170.0708
281.592474 98.331 169.9244
283.633009 98.284 169.7842
285.688331 98.236 169.6468
287.758546 98.189 169.5078
289.843763 98.142 169.3668
291.944090 98.096 169.2290
294.059638 98.051 169.1013
296.190515 98.004 168.9883
298.336833 97.956 168.8905
300.498705 97.908 168.8032
302.676243 97.859 168.7199
304.869559 97.812 168.6373
307.078770 97.765 168.5563
309.303989 97.720 168.4793
311.545334 97.676 168.4070
313.802919 97.633 168.3377
316.076865 97.591 168.2700
318.367288 97.549 168.2029
320.674309 97.506 168.1365
322.998047 97.463 168.0740
325.338624 97.420 168.0215
327.696162 97.378 167.9898
330.070783 97.339 167.9912
332.462612 97.302 168.0344
334.871773 97.272 168.1230
