* Measurement data measured by REW V5.40 beta 98
* Source: Микрофон (HiBy Digital D1), MICROPHONE (Общая громкость), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -15,0 dBFS with no timing reference
* Dated: 03.10.2025 15:52:10
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HD800
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 41.852 178.9897
0.368865 41.860 178.9632
0.371538 41.873 178.9240
0.374230 41.888 178.8752
0.376942 41.905 178.8200
0.379673 41.923 178.7603
0.382424 41.943 178.6976
0.385196 41.962 178.6328
0.387987 41.982 178.5663
0.390798 42.002 178.4984
0.393630 42.023 178.4294
0.396483 42.044 178.3591
0.399356 42.064 178.2877
0.402250 42.085 178.2151
0.405165 42.106 178.1414
0.408101 42.128 178.0666
0.411058 42.149 177.9906
0.414037 42.171 177.9135
0.417037 42.192 177.8352
0.420059 42.214 177.7557
0.423103 42.236 177.6750
0.426169 42.259 177.5931
0.429257 42.281 177.5099
0.432368 42.304 177.4255
0.435501 42.326 177.3399
0.438656 42.349 177.2530
0.441835 42.372 177.1648
0.445037 42.395 177.0753
0.448262 42.419 176.9845
0.451510 42.442 176.8923
0.454782 42.466 176.7989
0.458077 42.490 176.7040
0.461397 42.514 176.6078
0.464740 42.538 176.5102
0.468108 42.562 176.4112
0.471500 42.587 176.3107
0.474917 42.612 176.2089
0.478358 42.637 176.1055
0.481825 42.662 176.0007
0.485316 42.687 175.8944
0.488833 42.713 175.7865
0.492375 42.738 175.6771
0.495943 42.764 175.5662
0.499537 42.790 175.4537
0.503157 42.816 175.3396
0.506803 42.843 175.2238
0.510475 42.869 175.1064
0.514175 42.896 174.9874
0.517900 42.923 174.8667
0.521653 42.950 174.7442
0.525434 42.978 174.6200
0.529241 43.005 174.4940
0.533076 43.033 174.3663
0.536939 43.061 174.2367
0.540830 43.089 174.1052
0.544749 43.118 173.9719
0.548696 43.146 173.8367
0.552673 43.175 173.6995
0.556677 43.204 173.5603
0.560711 43.233 173.4192
0.564774 43.263 173.2759
0.568867 43.292 173.1306
0.572989 43.322 172.9832
0.577141 43.352 172.8336
0.581324 43.383 172.6818
0.585536 43.413 172.5277
0.589779 43.444 172.3714
0.594053 43.475 172.2127
0.598358 43.506 172.0516
0.602694 43.537 171.8881
0.607061 43.569 171.7222
0.611460 43.601 171.5536
0.615891 43.633 171.3825
0.620354 43.665 171.2087
0.624849 43.698 171.0322
0.629377 43.731 170.8530
0.633938 43.764 170.6709
0.638532 43.797 170.4858
0.643159 43.831 170.2979
0.647819 43.864 170.1068
0.652514 43.898 169.9127
0.657242 43.933 169.7153
0.662005 43.967 169.5147
0.666802 44.002 169.3107
0.671634 44.037 169.1032
0.676501 44.072 168.8922
0.681403 44.108 168.6775
0.686341 44.143 168.4591
0.691314 44.179 168.2368
0.696324 44.216 168.0106
0.701370 44.252 167.7803
0.706452 44.289 167.5458
0.711571 44.326 167.3070
0.716728 44.363 167.0638
0.721921 44.400 166.8160
0.727153 44.436 166.5636
0.732422 44.473 166.3063
0.737729 44.510 166.0442
0.743075 44.546 165.7772
0.748460 44.582 165.5052
0.753883 44.618 165.2284
0.759346 44.654 164.9468
0.764849 44.690 164.6604
0.770391 44.726 164.3693
0.775974 44.763 164.0735
0.781597 44.800 163.7733
0.787261 44.836 163.4686
0.792966 44.873 163.1595
0.798712 44.911 162.8462
0.804500 44.948 162.5287
0.810329 44.986 162.2072
0.816201 45.024 161.8816
0.822116 45.062 161.5520
0.828073 45.100 161.2187
0.834074 45.138 160.8816
0.840118 45.177 160.5408
0.846206 45.215 160.1965
0.852338 45.254 159.8487
0.858514 45.293 159.4974
0.864735 45.332 159.1428
0.871001 45.371 158.7849
0.877313 45.411 158.4238
0.883670 45.450 158.0595
0.890074 45.490 157.6922
0.896524 45.529 157.3218
0.903020 45.569 156.9485
0.909564 45.609 156.5722
0.916155 45.649 156.1930
0.922794 45.689 155.8110
0.929481 45.729 155.4261
0.936216 45.770 155.0385
0.943000 45.810 154.6481
0.949834 45.851 154.2549
0.956717 45.891 153.8589
0.963649 45.931 153.4602
0.970632 45.972 153.0587
0.977666 46.013 152.6544
0.984750 46.053 152.2472
0.991886 46.094 151.8372
0.999074 46.134 151.4243
1.006314 46.175 151.0084
1.013606 46.215 150.5895
1.020951 46.256 150.1674
1.028349 46.296 149.7422
1.035801 46.337 149.3135
1.043307 46.377 148.8815
1.050867 46.417 148.4457
1.058482 46.457 148.0062
1.066152 46.497 147.5625
1.073878 46.537 147.1143
1.081660 46.577 146.6611
1.089498 46.616 146.2023
1.097393 46.656 145.7370
1.105345 46.695 145.2644
1.113355 46.734 144.7836
1.121423 46.773 144.2940
1.129549 46.812 143.7953
1.137734 46.851 143.2871
1.145979 46.890 142.7696
1.154283 46.929 142.2430
1.162647 46.967 141.7074
1.171072 47.006 141.1631
1.179558 47.044 140.6103
1.188106 47.083 140.0495
1.196715 47.121 139.4810
1.205387 47.159 138.9050
1.214122 47.197 138.3219
1.222920 47.234 137.7321
1.231782 47.272 137.1360
1.240708 47.309 136.5338
1.249699 47.346 135.9260
1.258754 47.383 135.3129
1.267876 47.420 134.6948
1.277063 47.457 134.0723
1.286318 47.493 133.4455
1.295639 47.529 132.8149
1.305027 47.565 132.1809
1.314484 47.601 131.5438
1.324009 47.636 130.9039
1.333604 47.671 130.2617
1.343268 47.706 129.6174
1.353002 47.741 128.9715
1.362806 47.775 128.3241
1.372681 47.809 127.6757
1.382628 47.843 127.0265
1.392647 47.877 126.3768
1.402739 47.910 125.7267
1.412904 47.942 125.0764
1.423142 47.975 124.4258
1.433455 48.007 123.7746
1.443843 48.038 123.1222
1.454305 48.070 122.4676
1.464844 48.101 121.8092
1.475459 48.131 121.1453
1.486150 48.161 120.4741
1.496920 48.191 119.7944
1.507767 48.220 119.1051
1.518693 48.249 118.4061
1.529698 48.277 117.6970
1.540783 48.304 116.9782
1.551948 48.332 116.2499
1.563194 48.358 115.5126
1.574521 48.385 114.7666
1.585931 48.410 114.0126
1.597423 48.435 113.2510
1.608999 48.460 112.4823
1.620658 48.484 111.7072
1.632402 48.507 110.9261
1.644232 48.530 110.1397
1.656146 48.552 109.3484
1.668147 48.573 108.5529
1.680235 48.594 107.7537
1.692411 48.614 106.9514
1.704675 48.634 106.1465
1.717028 48.653 105.3395
1.729470 48.671 104.5311
1.742003 48.688 103.7215
1.754626 48.705 102.9111
1.767341 48.721 102.1002
1.780147 48.736 101.2888
1.793047 48.750 100.4764
1.806040 48.763 99.6621
1.819128 48.776 98.8443
1.832310 48.788 98.0207
1.845587 48.799 97.1885
1.858961 48.809 96.3451
1.872432 48.818 95.4884
1.886001 48.826 94.6172
1.899667 48.833 93.7309
1.913433 48.840 92.8296
1.927299 48.845 91.9136
1.941265 48.849 90.9836
1.955332 48.852 90.0405
1.969501 48.854 89.0852
1.983773 48.855 88.1190
1.998148 48.855 87.1430
2.012627 48.854 86.1584
2.027212 48.852 85.1668
2.041902 48.848 84.1694
2.056698 48.843 83.1678
2.071602 48.837 82.1635
2.086614 48.830 81.1580
2.101734 48.821 80.1529
2.116964 48.811 79.1493
2.132304 48.800 78.1485
2.147756 48.787 77.1510
2.163320 48.773 76.1568
2.178996 48.757 75.1645
2.194786 48.740 74.1719
2.210690 48.722 73.1755
2.226710 48.702 72.1714
2.242845 48.681 71.1563
2.259098 48.657 70.1279
2.275468 48.633 69.0848
2.291957 48.606 68.0265
2.308566 48.578 66.9532
2.325295 48.549 65.8655
2.342145 48.517 64.7644
2.359117 48.484 63.6513
2.376212 48.449 62.5277
2.393431 48.412 61.3955
2.410775 48.373 60.2566
2.428244 48.332 59.1133
2.445840 48.289 57.9679
2.463564 48.244 56.8227
2.481416 48.197 55.6800
2.499397 48.148 54.5419
2.517509 48.097 53.4096
2.535752 48.044 52.2834
2.554127 47.988 51.1621
2.572635 47.931 50.0431
2.591277 47.870 48.9224
2.610055 47.808 47.7961
2.628968 47.743 46.6610
2.648019 47.675 45.5147
2.667208 47.606 44.3559
2.686535 47.533 43.1843
2.706003 47.458 42.0000
2.725612 47.380 40.8039
2.745363 47.300 39.5975
2.765257 47.217 38.3826
2.785295 47.131 37.1617
2.805478 47.042 35.9375
2.825808 46.951 34.7131
2.846285 46.856 33.4918
2.866910 46.759 32.2767
2.887685 46.658 31.0705
2.908611 46.554 29.8747
2.929688 46.447 28.6892
2.950917 46.337 27.5125
2.972301 46.223 26.3415
2.993839 46.106 25.1733
3.015534 45.985 24.0051
3.037386 45.860 22.8350
3.059396 45.732 21.6618
3.081565 45.600 20.4852
3.103896 45.465 19.3055
3.126388 45.327 18.1241
3.149043 45.185 16.9428
3.171862 45.039 15.7646
3.194847 44.890 14.5930
3.217998 44.737 13.4321
3.241317 44.581 12.2868
3.264805 44.421 11.1618
3.288463 44.257 10.0614
3.312293 44.088 8.9888
3.336295 43.915 7.9459
3.360471 43.737 6.9329
3.384822 43.554 5.9494
3.409350 43.366 4.9941
3.434056 43.175 4.0661
3.458940 42.979 3.1643
3.484005 42.782 2.2883
3.509252 42.581 1.4382
3.534681 42.380 0.6151
3.560295 42.177 -0.1786
3.586094 41.975 -0.9393
3.612081 41.772 -1.6613
3.638255 41.570 -2.3368
3.664620 41.366 -2.9563
3.691175 41.162 -3.5094
3.717923 40.956 -3.9869
3.744864 40.749 -4.3827
3.772001 40.540 -4.6939
3.799335 40.332 -4.9208
3.826866 40.127 -5.0663
3.854597 39.925 -5.1354
3.882529 39.731 -5.1345
3.910664 39.546 -5.0707
3.939002 39.373 -4.9507
3.967546 39.215 -4.7795
3.996296 39.073 -4.5588
4.025255 38.950 -4.2861
4.054423 38.844 -3.9552
4.083804 38.757 -3.5601
4.113396 38.688 -3.0997
4.143204 38.637 -2.5794
4.173227 38.603 -2.0117
4.203468 38.585 -1.4144
4.233928 38.583 -0.8085
4.264609 38.597 -0.2168
4.295512 38.627 0.3391
4.326639 38.672 0.8403
4.357992 38.735 1.2732
4.389572 38.814 1.6307
4.421380 38.912 1.9117
4.453419 39.028 2.1190
4.485691 39.162 2.2554
4.518196 39.312 2.3222
4.550936 39.476 2.3186
4.583914 39.651 2.2425
4.617131 39.833 2.0909
4.650589 40.021 1.8607
4.684289 40.212 1.5492
4.718233 40.403 1.1548
4.752424 40.593 0.6776
4.786862 40.784 0.1200
4.821549 40.975 -0.5132
4.856488 41.166 -1.2151
4.891680 41.357 -1.9777
4.927127 41.549 -2.7928
4.962831 41.739 -3.6528
4.998794 41.928 -4.5515
5.035017 42.114 -5.4842
5.071503 42.297 -6.4483
5.108253 42.476 -7.4430
5.145270 42.650 -8.4684
5.182555 42.820 -9.5244
5.220110 42.985 -10.6090
5.257937 43.147 -11.7178
5.296038 43.305 -12.8445
5.334415 43.458 -13.9821
5.373071 43.608 -15.1240
5.412006 43.754 -16.2651
5.451224 43.896 -17.4022
5.490725 44.033 -18.5348
5.530514 44.167 -19.6637
5.570590 44.296 -20.7901
5.610957 44.421 -21.9135
5.651616 44.542 -23.0314
5.692570 44.660 -24.1398
5.733821 44.774 -25.2341
5.775370 44.884 -26.3101
5.817221 44.992 -27.3649
5.859375 45.096 -28.3971
5.901834 45.197 -29.4073
5.944602 45.295 -30.3964
5.987679 45.390 -31.3650
6.031068 45.483 -32.3123
6.074771 45.573 -33.2368
6.118792 45.660 -34.1363
6.163131 45.745 -35.0089
6.207792 45.829 -35.8533
6.252776 45.911 -36.6691
6.298086 45.991 -37.4569
6.343725 46.069 -38.2172
6.389694 46.146 -38.9506
6.435996 46.222 -39.6571
6.482634 46.296 -40.3366
6.529610 46.369 -40.9887
6.576926 46.441 -41.6132
6.624585 46.512 -42.2103
6.672590 46.583 -42.7800
6.720942 46.652 -43.3227
6.769645 46.721 -43.8386
6.818700 46.789 -44.3279
6.868111 46.856 -44.7905
6.917881 46.923 -45.2265
6.968010 46.989 -45.6359
7.018504 47.055 -46.0186
7.069362 47.120 -46.3746
7.120590 47.184 -46.7036
7.172189 47.249 -47.0053
