* Measurement data measured by REW V5.40 beta 98
* Source: Микрофон (HiBy Digital D1), MICROPHONE (Общая громкость), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -15,0 dBFS with no timing reference
* Dated: 03.10.2025 15:45:57
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HD800-REFERENCE
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 67.011 -39.5907
0.732422 73.614 -19.5411
1.098633 72.840 -22.8470
1.464844 70.669 -28.6325
1.831055 69.002 -38.2096
2.197266 66.910 -51.2954
2.563477 64.009 -67.9476
2.929688 59.566 -91.2583
3.295898 52.382 -135.5969
3.662109 50.772 126.6930
4.028320 55.119 78.1353
4.394531 56.457 48.3723
4.760742 55.678 20.3325
5.126953 53.153 -11.5895
5.493164 49.274 -54.8629
5.859375 46.334 -115.4804
6.225586 45.852 -171.4182
6.591797 44.247 143.7641
6.958008 39.988 83.0844
7.324219 42.029 -7.1609
7.690430 47.088 -49.4530
8.056641 49.570 -72.3516
8.422852 50.255 -86.8956
8.789062 49.756 -93.7739
9.155273 48.858 -91.6234
9.521484 48.677 -83.0692
9.887695 49.421 -76.4841
10.253906 50.139 -75.1768
10.620117 50.217 -76.5808
10.986328 50.089 -77.7438
11.352539 49.528 -77.0923
11.718750 49.306 -74.7488
12.084961 49.511 -72.8971
12.451172 49.736 -73.5481
12.817383 50.165 -76.7438
13.183594 50.332 -81.4025
13.549805 50.238 -86.0735
13.916016 50.100 -89.3977
14.282227 49.818 -90.6332
14.648438 49.884 -89.9630
15.014648 50.272 -88.6357
15.380859 50.808 -88.0023
15.747070 51.459 -88.3859
16.113281 51.936 -89.3761
16.479492 52.324 -90.3425
16.845703 52.617 -90.7814
17.211914 52.767 -90.5704
17.578125 53.005 -89.8673
17.944336 53.232 -88.9832
18.310547 53.451 -88.2578
18.676758 53.718 -87.8464
19.042969 53.874 -87.7543
19.409180 54.004 -87.8671
19.775391 54.097 -87.9594
20.141602 54.088 -87.8949
20.507812 54.166 -87.6960
20.874023 54.254 -87.5332
21.240234 54.326 -87.6304
21.606445 54.463 -88.0349
21.972656 54.532 -88.5850
22.338867 54.641 -89.0566
22.705078 54.822 -89.3005
23.071289 54.922 -89.4192
23.437500 55.092 -89.6873
23.803711 55.359 -90.2943
24.169922 55.553 -91.2159
24.536133 55.719 -92.1965
24.902344 55.833 -92.8943
25.268555 55.847 -93.0880
25.634766 55.925 -92.7729
26.000977 56.058 -92.1786
26.367188 56.211 -91.6326
26.733398 56.440 -91.3455
27.099609 56.626 -91.3507
27.465820 56.764 -91.5381
27.832031 56.913 -91.7422
28.198242 56.988 -91.8629
28.564453 57.094 -91.8915
28.930664 57.220 -91.9025
29.296875 57.330 -92.0097
29.663086 57.443 -92.2759
30.029297 57.575 -92.6857
30.395508 57.629 -93.1554
30.761719 57.725 -93.5630
31.127930 57.809 -93.8271
31.494141 57.885 -93.9425
31.860352 57.988 -93.9719
32.226562 58.128 -94.0197
32.592773 58.247 -94.1558
32.958984 58.403 -94.3843
33.325195 58.555 -94.6606
33.691406 58.650 -94.9160
34.057617 58.782 -95.1083
34.423828 58.888 -95.2338
34.790039 58.981 -95.3038
35.156250 59.092 -95.3370
35.522461 59.177 -95.3453
35.888672 59.268 -95.3423
36.254883 59.375 -95.3649
36.621094 59.456 -95.4480
36.987305 59.546 -95.6069
37.353516 59.635 -95.8198
37.719727 59.708 -96.0332
38.085938 59.765 -96.1969
38.452148 59.830 -96.2961
38.818359 59.905 -96.3522
39.184570 59.991 -96.4155
39.550781 60.088 -96.5271
39.916992 60.152 -96.6993
40.283203 60.227 -96.9214
40.649414 60.319 -97.1592
41.015625 60.396 -97.3767
41.381836 60.471 -97.5507
41.748047 60.564 -97.6803
42.114258 60.649 -97.7928
42.480469 60.723 -97.9216
42.846680 60.821 -98.0673
43.212891 60.913 -98.1879
43.579102 60.995 -98.2181
43.945312 61.076 -98.1356
44.311523 61.167 -98.0153
44.677734 61.291 -97.9951
45.043945 61.423 -98.1752
45.410156 61.503 -98.5206
45.776367 61.541 -98.8581
46.142578 61.577 -98.9978
46.508789 61.613 -98.8840
46.875000 61.663 -98.6631
47.241211 61.741 -98.5800
47.607422 61.811 -98.7600
47.973633 61.868 -99.0911
48.339844 61.907 -99.3038
48.706055 61.935 -99.1830
49.072266 62.004 -98.7720
49.438477 62.138 -98.3840
49.804688 62.327 -98.3668
50.170898 62.483 -98.8334
50.537109 62.572 -99.5950
50.903320 62.599 -100.3180
51.269531 62.587 -100.7529
51.635742 62.605 -100.8802
52.001953 62.671 -100.8909
52.368164 62.773 -101.0068
52.734375 62.880 -101.3029
53.100586 62.954 -101.6849
53.466797 62.994 -102.0054
53.833008 63.044 -102.1930
54.199219 63.130 -102.3013
54.565430 63.227 -102.4364
54.931641 63.311 -102.6538
55.297852 63.383 -102.9182
55.664062 63.415 -103.1449
56.030273 63.441 -103.2796
56.396484 63.499 -103.3386
56.762695 63.572 -103.3815
57.128906 63.654 -103.4554
57.495117 63.739 -103.5618
57.861328 63.810 -103.6721
58.227539 63.858 -103.7722
58.593750 63.909 -103.8803
58.959961 63.967 -104.0326
59.326172 64.021 -104.2482
59.692383 64.086 -104.5063
60.058594 64.151 -104.7581
60.424805 64.208 -104.9581
60.791016 64.265 -105.0884
61.157227 64.327 -105.1685
61.523438 64.372 -105.2383
61.889648 64.418 -105.3344
62.255859 64.469 -105.4747
62.622070 64.522 -105.6557
62.988281 64.571 -105.8575
63.354492 64.643 -106.0562
63.720703 64.714 -106.2333
64.086914 64.784 -106.3860
64.453125 64.854 -106.5262
64.819336 64.925 -106.6683
65.185547 64.974 -106.8240
65.551758 65.017 -106.9948
65.917969 65.058 -107.1736
66.284180 65.096 -107.3528
66.650391 65.133 -107.5272
67.016602 65.179 -107.6982
67.382812 65.234 -107.8715
67.749023 65.289 -108.0496
68.115234 65.357 -108.2343
68.481445 65.427 -108.4252
68.847656 65.492 -108.6199
69.213867 65.544 -108.8126
69.580078 65.595 -108.9958
69.946289 65.645 -109.1650
70.312500 65.694 -109.3259
70.678711 65.747 -109.4874
71.044922 65.795 -109.6604
71.411133 65.839 -109.8505
71.777344 65.882 -110.0536
72.143555 65.921 -110.2608
72.509766 65.957 -110.4626
72.875977 65.991 -110.6522
73.242188 66.042 -110.8266
73.608398 66.094 -110.9852
73.974609 66.150 -111.1370
74.340820 66.216 -111.2998
74.707031 66.279 -111.4907
75.073242 66.337 -111.7061
75.439453 66.381 -111.9174
75.805664 66.420 -112.0863
76.171875 66.462 -112.2028
76.538086 66.513 -112.3070
76.904297 66.574 -112.4728
77.270508 66.633 -112.7507
77.636719 66.669 -113.1113
78.002930 66.682 -113.4451
78.369141 66.679 -113.6251
78.735352 66.680 -113.6003
79.101562 66.711 -113.4514
79.467773 66.779 -113.3552
79.833984 66.868 -113.4666
80.200195 66.952 -113.8135
80.566406 67.010 -114.2867
80.932617 67.038 -114.7219
81.298828 67.053 -115.0105
81.665039 67.077 -115.1651
82.031250 67.120 -115.2911
82.397461 67.177 -115.4950
82.763672 67.231 -115.7963
83.129883 67.270 -116.1275
83.496094 67.301 -116.3967
83.862305 67.331 -116.5643
84.228516 67.372 -116.6721
84.594727 67.432 -116.8052
84.960938 67.498 -117.0243
85.327148 67.557 -117.3209
85.693359 67.600 -117.6317
86.059570 67.627 -117.8858
86.425781 67.653 -118.0544
86.791992 67.685 -118.1592
87.158203 67.727 -118.2554
87.524414 67.776 -118.3929
87.890625 67.825 -118.5909
88.256836 67.868 -118.8354
88.623047 67.906 -119.0934
88.989258 67.938 -119.3352
89.355469 67.968 -119.5490
89.721680 67.993 -119.7410
90.087891 68.022 -119.9329
90.454102 68.053 -120.1472
90.820312 68.083 -120.3918
91.186523 68.108 -120.6530
91.552734 68.128 -120.9030
91.918945 68.147 -121.1188
92.285156 68.169 -121.3010
92.651367 68.198 -121.4734
93.017578 68.232 -121.6714
93.383789 68.269 -121.9133
93.750000 68.307 -122.1901
94.116211 68.340 -122.4674
94.482422 68.368 -122.7128
94.848633 68.398 -122.9199
95.214844 68.437 -123.1141
95.581055 68.480 -123.3287
95.947266 68.523 -123.5789
96.313477 68.557 -123.8501
96.679688 68.582 -124.1117
97.045898 68.605 -124.3394
97.412109 68.628 -124.5332
97.778320 68.654 -124.7133
98.144531 68.681 -124.9037
98.510742 68.710 -125.1155
98.876953 68.737 -125.3432
99.243164 68.766 -125.5752
99.609375 68.791 -125.8044
99.975586 68.815 -126.0297
100.341797 68.838 -126.2507
100.708008 68.870 -126.4661
101.074219 68.899 -126.6766
101.440430 68.930 -126.8897
101.806641 68.962 -127.1152
102.172852 68.991 -127.3566
102.539062 69.017 -127.6018
102.905273 69.041 -127.8308
103.271484 69.067 -128.0358
103.637695 69.098 -128.2417
104.003906 69.135 -128.4919
104.370117 69.170 -128.8157
104.736328 69.193 -129.1899
105.102539 69.197 -129.5435
105.468750 69.186 -129.7957
105.834961 69.178 -129.9136
106.201172 69.188 -129.9451
106.567383 69.219 -129.9949
106.933594 69.263 -130.1564
107.299805 69.303 -130.4498
107.666016 69.329 -130.8177
108.032227 69.339 -131.1674
108.398438 69.350 -131.4362
108.764648 69.365 -131.6195
109.130859 69.389 -131.7689
109.497070 69.422 -131.9443
109.863281 69.458 -132.1732
110.229492 69.490 -132.4387
110.595703 69.516 -132.7028
110.961914 69.538 -132.9397
111.328125 69.558 -133.1531
111.694336 69.578 -133.3652
112.060547 69.598 -133.5962
112.426758 69.618 -133.8464
112.792969 69.632 -134.0995
113.159180 69.633 -134.3331
113.525391 69.632 -134.5367
113.891602 69.635 -134.7192
114.257812 69.644 -134.9053
114.624023 69.661 -135.1182
114.990234 69.686 -135.3666
115.356445 69.707 -135.6396
115.722656 69.722 -135.9121
116.088867 69.734 -136.1613
116.455078 69.758 -136.3804
116.821289 69.787 -136.5804
117.187500 69.820 -136.7823
117.553711 69.854 -137.0021
117.919922 69.883 -137.2411
118.286133 69.895 -137.4868
118.652344 69.904 -137.7249
119.018555 69.911 -137.9493
119.384766 69.920 -138.1661
119.750977 69.920 -138.3823
120.117188 69.919 -138.6039
120.483398 69.918 -138.8304
120.849609 69.915 -139.0572
121.215820 69.912 -139.2809
121.582031 69.921 -139.5029
121.948242 69.936 -139.7278
122.314453 69.951 -139.9589
122.680664 69.964 -140.1940
123.046875 69.975 -140.4264
123.413086 69.984 -140.6475
123.779297 69.992 -140.8520
124.145508 70.002 -141.0414
124.511719 70.014 -141.2260
124.877930 70.031 -141.4216
125.244141 70.044 -141.6451
125.610352 70.055 -141.8981
125.976562 70.062 -142.1669
126.342773 70.065 -142.4236
126.708984 70.064 -142.6521
127.075195 70.075 -142.8484
127.441406 70.090 -143.0284
127.807617 70.109 -143.2148
128.173828 70.129 -143.4246
128.540039 70.148 -143.6554
128.906250 70.154 -143.8885
129.272461 70.154 -144.1045
129.638672 70.155 -144.2973
130.004883 70.160 -144.4808
130.371094 70.167 -144.6785
130.737305 70.170 -144.9041
131.103516 70.172 -145.1509
131.469727 70.168 -145.3951
131.835938 70.161 -145.6129
132.202148 70.155 -145.7975
132.568359 70.158 -145.9650
132.934570 70.169 -146.1429
133.300781 70.182 -146.3495
133.666992 70.192 -146.5814
134.033203 70.199 -146.8173
134.399414 70.202 -147.0374
134.765625 70.203 -147.2355
135.131836 70.205 -147.4252
135.498047 70.209 -147.6232
135.864258 70.211 -147.8334
136.230469 70.212 -148.0410
136.596680 70.217 -148.2270
136.962891 70.226 -148.3893
137.329102 70.240 -148.5497
137.695312 70.257 -148.7389
138.061523 70.273 -148.9698
138.427734 70.287 -149.2234
138.793945 70.275 -149.4606
139.160156 70.260 -149.6525
139.526367 70.249 -149.8049
139.892578 70.244 -149.9559
140.258789 70.243 -150.1439
140.625000 70.245 -150.3765
140.991211 70.244 -150.6210
141.357422 70.235 -150.8307
141.723633 70.225 -150.9766
142.089844 70.222 -151.0745
142.456055 70.228 -151.1721
142.822266 70.232 -151.3134
143.188477 70.237 -151.5096
