* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -54,9 dBFS, measurement signal peak level -24,5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 25.07.2024 13:06:42
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0,0917 ms (31 mm, 1,24 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: kevl v2 300
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 84.724 136.6206
20.333664 84.777 136.6496
20.481010 84.860 136.6565
20.629424 84.968 136.5938
20.778913 85.099 136.4254
20.929486 85.248 136.1337
21.081150 85.411 135.7197
21.233912 85.584 135.1999
21.387782 85.765 134.6015
21.542767 85.950 133.9576
21.698874 86.136 133.3022
21.856113 86.322 132.6665
22.014492 86.505 132.0757
22.174018 86.685 131.5473
22.334700 86.859 131.0904
22.496546 87.026 130.7063
22.659566 87.183 130.3897
22.823766 87.329 130.1307
22.989157 87.462 129.9172
23.155745 87.580 129.7368
23.323542 87.682 129.5779
23.492554 87.768 129.4313
23.662790 87.839 129.2892
23.834261 87.897 129.1454
24.006973 87.945 128.9932
24.180938 87.988 128.8244
24.356163 88.031 128.6279
24.532658 88.079 128.3895
24.710431 88.137 128.0919
24.889493 88.208 127.7171
25.069853 88.294 127.2488
25.251519 88.394 126.6754
25.434502 88.506 125.9932
25.618811 88.626 125.2077
25.804456 88.748 124.3340
25.991445 88.867 123.3961
26.179790 88.979 122.4238
26.369500 89.080 121.4504
26.560584 89.166 120.5087
26.753053 89.239 119.6285
26.946917 89.297 118.8338
27.142185 89.344 118.1408
27.338869 89.382 117.5574
27.536977 89.414 117.0831
27.736522 89.443 116.7105
27.937512 89.473 116.4271
28.139959 89.504 116.2181
28.343872 89.540 116.0687
28.549264 89.580 115.9654
28.756143 89.625 115.8970
28.964522 89.674 115.8538
29.174411 89.729 115.8261
29.385821 89.788 115.8031
29.598763 89.853 115.7713
29.813248 89.922 115.7144
30.029287 89.995 115.6145
30.246891 90.072 115.4539
30.466073 90.152 115.2181
30.686842 90.233 114.8983
30.909212 90.314 114.4937
31.133193 90.395 114.0123
31.358797 90.477 113.4704
31.586035 90.559 112.8906
31.814921 90.643 112.2985
32.045465 90.731 111.7189
32.277680 90.824 111.1721
32.511577 90.922 110.6709
32.747169 91.024 110.2197
32.984469 91.129 109.8152
33.223488 91.233 109.4490
33.464239 91.333 109.1110
33.706735 91.424 108.7927
33.950987 91.505 108.4894
34.197010 91.574 108.2002
34.444816 91.632 107.9263
34.694417 91.682 107.6686
34.945827 91.729 107.4242
35.199059 91.779 107.1854
35.454126 91.836 106.9398
35.711041 91.905 106.6734
35.969818 91.985 106.3749
36.230470 92.075 106.0404
36.493011 92.171 105.6755
36.757455 92.269 105.2948
37.023814 92.366 104.9177
37.292104 92.458 104.5631
37.562338 92.544 104.2432
37.834530 92.625 103.9602
38.108695 92.701 103.7049
38.384846 92.772 103.4591
38.662999 92.839 103.2018
38.943167 92.902 102.9147
39.225365 92.960 102.5895
39.509608 93.013 102.2304
39.795911 93.061 101.8554
40.084289 93.108 101.4917
40.374756 93.158 101.1701
40.667328 93.216 100.9158
40.962020 93.289 100.7411
41.258848 93.381 100.6399
41.557827 93.494 100.5885
41.858972 93.625 100.5513
42.162299 93.767 100.4898
42.467824 93.910 100.3727
42.775564 94.043 100.1817
43.085533 94.157 99.9140
43.397749 94.244 99.5793
43.712227 94.305 99.1964
44.028983 94.341 98.7868
44.348036 94.361 98.3696
44.669400 94.378 97.9566
44.993093 94.403 97.5500
45.319131 94.447 97.1451
45.647532 94.513 96.7390
45.978313 94.596 96.3419
46.311491 94.684 95.9846
46.647083 94.767 95.7153
46.985107 94.834 95.5808
47.325581 94.884 95.5997
47.668521 94.921 95.7372
48.013947 94.951 95.8986
48.361876 94.981 95.9529
48.712326 95.013 95.7818
49.065315 95.045 95.3314
49.420863 95.076 94.6369
49.778987 95.110 93.8074
50.139706 95.156 92.9782
50.503039 95.223 92.2560
50.869005 95.314 91.6837
51.237623 95.425 91.2435
51.608912 95.542 90.8892
51.982891 95.651 90.5824
52.359580 95.742 90.3062
52.739000 95.817 90.0551
53.121168 95.882 89.8162
53.506106 95.950 89.5627
53.893833 96.026 89.2656
54.284370 96.111 88.9142
54.677737 96.202 88.5267
55.073955 96.294 88.1395
55.473043 96.386 87.7838
55.875024 96.476 87.4674
56.279917 96.566 87.1747
56.687745 96.653 86.8830
57.098527 96.737 86.5811
57.512287 96.816 86.2745
57.929045 96.890 85.9761
58.348822 96.959 85.6927
58.771642 97.022 85.4184
59.197525 97.080 85.1407
59.626495 97.133 84.8489
60.058573 97.184 84.5377
60.493782 97.237 84.2030
60.932145 97.299 83.8393
61.373685 97.370 83.4450
61.818424 97.447 83.0315
62.266386 97.525 82.6248
62.717593 97.599 82.2525
63.172071 97.669 81.9260
63.629842 97.735 81.6312
64.090930 97.800 81.3371
64.555359 97.864 81.0155
65.023154 97.931 80.6562
65.494339 97.999 80.2682
65.968938 98.070 79.8696
66.446976 98.142 79.4768
66.928478 98.214 79.0995
67.413469 98.284 78.7407
67.901975 98.351 78.3980
68.394021 98.418 78.0650
68.889632 98.485 77.7340
69.388835 98.553 77.4002
69.891655 98.623 77.0640
70.398118 98.693 76.7297
70.908252 98.764 76.3994
71.422083 98.833 76.0689
71.939636 98.902 75.7291
72.460941 98.970 75.3730
72.986023 99.037 75.0005
73.514909 99.103 74.6179
74.047629 99.169 74.2318
74.584208 99.235 73.8456
75.124676 99.300 73.4599
75.669061 99.365 73.0743
76.217390 99.430 72.6870
76.769692 99.497 72.2941
77.325997 99.567 71.8917
77.886333 99.636 71.4802
78.450730 99.705 71.0653
79.019216 99.772 70.6560
79.591822 99.836 70.2603
80.168577 99.897 69.8839
80.749512 99.957 69.5286
81.334656 100.019 69.1896
81.924040 100.085 68.8543
82.517696 100.156 68.5049
83.115653 100.231 68.1260
83.717943 100.309 67.7134
84.324598 100.385 67.2774
84.935649 100.456 66.8359
85.551128 100.521 66.4002
86.171066 100.582 65.9649
86.795497 100.639 65.5151
87.424453 100.695 65.0422
88.057967 100.750 64.5550
88.696071 100.807 64.0744
89.338800 100.866 63.6196
89.986185 100.927 63.1973
90.638262 100.987 62.7987
91.295065 101.045 62.4037
91.956626 101.102 61.9913
92.622982 101.159 61.5486
93.294166 101.218 61.0737
93.970214 101.279 60.5737
94.651161 101.344 60.0596
95.337042 101.409 59.5438
96.027894 101.474 59.0375
96.723752 101.537 58.5472
97.424652 101.599 58.0732
98.130631 101.659 57.6119
98.841726 101.719 57.1582
99.557974 101.779 56.7047
100.279412 101.838 56.2419
101.006078 101.897 55.7627
101.738010 101.955 55.2655
102.475245 102.013 54.7519
103.217823 102.070 54.2229
103.965782 102.127 53.6814
104.719161 102.184 53.1339
105.477999 102.241 52.5880
106.242336 102.297 52.0469
107.012212 102.352 51.5103
107.787666 102.407 50.9759
108.568740 102.460 50.4415
109.355474 102.512 49.9043
110.147909 102.565 49.3599
110.946086 102.617 48.8034
111.750047 102.667 48.2316
112.559834 102.715 47.6431
113.375489 102.760 47.0376
114.197055 102.803 46.4153
115.024574 102.844 45.7801
115.858089 102.886 45.1391
116.697645 102.926 44.4992
117.543284 102.964 43.8641
118.395051 103.000 43.2365
119.252990 103.033 42.6205
120.117147 103.063 42.0207
120.987565 103.092 41.4400
121.864291 103.122 40.8767
122.747370 103.155 40.3224
123.636848 103.189 39.7656
124.532771 103.225 39.2001
125.435187 103.258 38.6262
126.344142 103.290 38.0462
127.259684 103.318 37.4617
128.181860 103.344 36.8749
129.110718 103.367 36.2897
130.046308 103.390 35.7098
130.988677 103.412 35.1376
131.937875 103.435 34.5743
132.893951 103.458 34.0192
133.856956 103.481 33.4686
134.826938 103.504 32.9173
135.803950 103.526 32.3610
136.788041 103.548 31.7984
137.779264 103.569 31.2304
138.777669 103.590 30.6596
139.783309 103.612 30.0874
140.796237 103.635 29.5136
141.816504 103.661 28.9377
142.844165 103.687 28.3617
143.879273 103.714 27.7909
144.921881 103.739 27.2333
145.972045 103.760 26.6990
147.029819 103.777 26.1942
148.095257 103.790 25.7143
149.168417 103.801 25.2465
150.249353 103.811 24.7754
151.338121 103.822 24.2839
152.434780 103.837 23.7578
153.539385 103.854 23.1933
154.651995 103.875 22.6012
155.772667 103.896 21.9975
156.901460 103.917 21.3944
158.038432 103.938 20.7969
159.183644 103.956 20.2045
160.337154 103.974 19.6130
161.499023 103.989 19.0180
162.669312 104.003 18.4170
163.848081 104.016 17.8099
165.035392 104.027 17.1979
166.231306 104.037 16.5823
167.435887 104.046 15.9640
168.649196 104.054 15.3450
169.871298 104.060 14.7276
171.102255 104.064 14.1148
172.342133 104.066 13.5082
173.590995 104.067 12.9062
174.848907 104.066 12.3034
176.115934 104.065 11.6943
177.392143 104.065 11.0770
178.677599 104.065 10.4550
179.972371 104.065 9.8346
181.276525 104.065 9.2196
182.590129 104.062 8.6101
183.913252 104.058 8.0031
185.245964 104.053 7.3948
186.588332 104.045 6.7830
187.940428 104.036 6.1688
189.302322 104.025 5.5567
190.674085 104.012 4.9527
192.055788 103.997 4.3610
193.447503 103.980 3.7809
194.849303 103.963 3.2074
196.261262 103.946 2.6355
197.683452 103.928 2.0627
199.115948 103.909 1.4879
200.558824 103.889 0.9108
202.012156 103.868 0.3333
203.476019 103.845 -0.2406
204.950490 103.821 -0.8074
206.435646 103.797 -1.3654
207.931564 103.772 -1.9144
209.438322 103.747 -2.4558
210.955998 103.723 -2.9914
212.484672 103.698 -3.5237
214.024424 103.672 -4.0544
215.575333 103.644 -4.5833
217.137481 103.616 -5.1084
218.710948 103.587 -5.6277
220.295818 103.557 -6.1422
221.892172 103.525 -6.6551
223.500094 103.493 -7.1683
225.119668 103.460 -7.6819
226.750978 103.427 -8.1941
228.394109 103.393 -8.7018
230.049147 103.359 -9.2015
231.716178 103.326 -9.6907
233.395289 103.292 -10.1698
235.086567 103.257 -10.6413
236.790102 103.222 -11.1090
238.505980 103.187 -11.5758
240.234293 103.151 -12.0434
241.975130 103.114 -12.5133
243.728581 103.075 -12.9868
245.494739 103.035 -13.4633
247.273695 102.995 -13.9396
249.065542 102.954 -14.4116
250.870374 102.915 -14.8767
252.688284 102.877 -15.3349
254.519367 102.841 -15.7878
256.363720 102.806 -16.2354
258.221437 102.770 -16.6750
260.092616 102.732 -17.1054
261.977354 102.692 -17.5301
263.875750 102.648 -17.9540
265.787903 102.603 -18.3801
267.713911 102.555 -18.8086
269.653877 102.506 -19.2371
271.607900 102.456 -19.6625
273.576083 102.406 -20.0825
275.558528 102.354 -20.4983
277.555338 102.302 -20.9113
279.566619 102.249 -21.3201
281.592474 102.194 -21.7204
283.633009 102.139 -22.1089
285.688331 102.083 -22.4859
287.758546 102.027 -22.8543
289.843763 101.970 -23.2178
291.944090 101.913 -23.5772
294.059638 101.854 -23.9297
296.190515 101.795 -24.2694
298.336833 101.734 -24.5925
300.498705 101.674 -24.8996
302.676243 101.614 -25.1945
304.869559 101.555 -25.4802
307.078770 101.498 -25.7575
309.303989 101.441 -26.0244
311.545334 101.385 -26.2775
313.802919 101.328 -26.5128
316.076865 101.271 -26.7287
318.367288 101.214 -26.9280
320.674309 101.158 -27.1185
322.998047 101.104 -27.3080
325.338624 101.051 -27.4996
327.696162 101.000 -27.6917
330.070783 100.950 -27.8815
332.462612 100.901 -28.0667
334.871773 100.853 -28.2466
337.298392 100.806 -28.4217
339.742595 100.760 -28.5935
342.204510 100.715 -28.7639
344.684265 100.671 -28.9350
347.181989 100.627 -29.1082
349.697813 100.582 -29.2834
352.231868 100.537 -29.4598
354.784285 100.492 -29.6372
357.355198 100.445 -29.8154
359.944741 100.399 -29.9929
362.553049 100.353 -30.1676
365.180258 100.306 -30.3380
367.826505 100.261 -30.5028
370.491927 100.216 -30.6617
373.176665 100.172 -30.8158
375.880856 100.129 -30.9673
378.604644 100.087 -31.1188
