* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -55,8 dBFS, measurement signal peak level -24,0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 25.07.2024 13:07:40
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0,0912 ms (31 mm, 1,23 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: kevl v1 300
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 89.958 127.5712
20.333664 89.994 127.6478
20.481010 90.047 127.7547
20.629424 90.111 127.8674
20.778913 90.182 127.9612
20.929486 90.253 128.0146
21.081150 90.323 128.0126
21.233912 90.386 127.9472
21.387782 90.441 127.8180
21.542767 90.487 127.6320
21.698874 90.524 127.4012
21.856113 90.553 127.1408
22.014492 90.576 126.8668
22.174018 90.599 126.5928
22.334700 90.624 126.3278
22.496546 90.656 126.0743
22.659566 90.701 125.8279
22.823766 90.759 125.5779
22.989157 90.834 125.3093
23.155745 90.925 125.0067
23.323542 91.029 124.6568
23.492554 91.143 124.2525
23.662790 91.261 123.7943
23.834261 91.381 123.2912
24.006973 91.497 122.7593
24.180938 91.606 122.2196
24.356163 91.708 121.6950
24.532658 91.802 121.2066
24.710431 91.889 120.7707
24.889493 91.972 120.3955
25.069853 92.055 120.0799
25.251519 92.139 119.8135
25.434502 92.226 119.5778
25.618811 92.318 119.3496
25.804456 92.414 119.1052
25.991445 92.513 118.8244
26.179790 92.611 118.4936
26.369500 92.706 118.1085
26.560584 92.795 117.6735
26.753053 92.876 117.2008
26.946917 92.949 116.7074
27.142185 93.014 116.2126
27.338869 93.073 115.7345
27.536977 93.128 115.2872
27.736522 93.181 114.8795
27.937512 93.237 114.5141
28.139959 93.296 114.1882
28.343872 93.361 113.8947
28.549264 93.433 113.6247
28.756143 93.512 113.3693
28.964522 93.596 113.1209
29.174411 93.686 112.8741
29.385821 93.779 112.6260
29.598763 93.875 112.3745
29.813248 93.973 112.1187
30.029287 94.071 111.8571
30.246891 94.169 111.5876
30.466073 94.267 111.3079
30.686842 94.363 111.0158
30.909212 94.458 110.7102
31.133193 94.550 110.3912
31.358797 94.640 110.0611
31.586035 94.727 109.7233
31.814921 94.813 109.3819
32.045465 94.898 109.0403
32.277680 94.983 108.7007
32.511577 95.069 108.3630
32.747169 95.156 108.0252
32.984469 95.242 107.6848
33.223488 95.329 107.3396
33.464239 95.413 106.9894
33.706735 95.494 106.6363
33.950987 95.571 106.2844
34.197010 95.643 105.9382
34.444816 95.711 105.6003
34.694417 95.777 105.2693
34.945827 95.842 104.9392
35.199059 95.907 104.6002
35.454126 95.974 104.2420
35.711041 96.042 103.8579
35.969818 96.111 103.4486
36.230470 96.178 103.0236
36.493011 96.245 102.6005
36.757455 96.312 102.2000
37.023814 96.381 101.8397
37.292104 96.453 101.5283
37.562338 96.531 101.2624
37.834530 96.616 101.0266
38.108695 96.707 100.7994
38.384846 96.801 100.5595
38.662999 96.895 100.2925
38.943167 96.985 99.9940
39.225365 97.069 99.6686
39.509608 97.147 99.3258
39.795911 97.220 98.9752
40.084289 97.289 98.6234
40.374756 97.359 98.2731
40.667328 97.428 97.9259
40.962020 97.499 97.5840
41.258848 97.571 97.2524
41.557827 97.645 96.9375
41.858972 97.720 96.6427
42.162299 97.798 96.3654
42.467824 97.878 96.0946
42.775564 97.960 95.8122
43.085533 98.043 95.4981
43.397749 98.125 95.1360
43.712227 98.204 94.7191
44.028983 98.279 94.2529
44.348036 98.350 93.7532
44.669400 98.418 93.2430
44.993093 98.486 92.7458
45.319131 98.556 92.2807
45.647532 98.632 91.8589
45.978313 98.713 91.4842
46.311491 98.798 91.1566
46.647083 98.884 90.8781
46.985107 98.967 90.6545
47.325581 99.048 90.4926
47.668521 99.128 90.3906
48.013947 99.210 90.3266
48.361876 99.298 90.2543
48.712326 99.395 90.1098
49.065315 99.496 89.8324
49.420863 99.595 89.3894
49.778987 99.683 88.7917
50.139706 99.755 88.0909
50.503039 99.810 87.3608
50.869005 99.853 86.6701
51.237623 99.892 86.0604
51.608912 99.935 85.5377
51.982891 99.984 85.0807
52.359580 100.039 84.6591
52.739000 100.099 84.2490
53.121168 100.160 83.8392
53.506106 100.220 83.4268
53.893833 100.280 83.0112
54.284370 100.341 82.5917
54.677737 100.403 82.1709
55.073955 100.467 81.7569
55.473043 100.534 81.3620
55.875024 100.605 80.9955
56.279917 100.682 80.6572
56.687745 100.766 80.3366
57.098527 100.854 80.0185
57.512287 100.946 79.6918
57.929045 101.039 79.3535
58.348822 101.131 79.0063
58.771642 101.223 78.6527
59.197525 101.313 78.2911
59.626495 101.399 77.9172
60.058573 101.478 77.5287
60.493782 101.548 77.1285
60.932145 101.609 76.7245
61.373685 101.661 76.3257
61.818424 101.709 75.9381
62.266386 101.756 75.5633
62.717593 101.805 75.1987
63.172071 101.858 74.8385
63.629842 101.915 74.4747
64.090930 101.974 74.0995
64.555359 102.035 73.7069
65.023154 102.094 73.2949
65.494339 102.152 72.8643
65.968938 102.210 72.4181
66.446976 102.269 71.9606
66.928478 102.330 71.4977
67.413469 102.393 71.0361
67.901975 102.457 70.5824
68.394021 102.521 70.1394
68.889632 102.586 69.7059
69.388835 102.650 69.2778
69.891655 102.713 68.8510
70.398118 102.775 68.4223
70.908252 102.836 67.9889
71.422083 102.897 67.5478
71.939636 102.958 67.0952
72.460941 103.018 66.6296
72.986023 103.078 66.1525
73.514909 103.137 65.6691
74.047629 103.195 65.1860
74.584208 103.252 64.7081
75.124676 103.309 64.2366
75.669061 103.366 63.7701
76.217390 103.422 63.3061
76.769692 103.477 62.8428
77.325997 103.533 62.3782
77.886333 103.588 61.9098
78.450730 103.644 61.4348
79.019216 103.700 60.9518
79.591822 103.756 60.4619
80.168577 103.812 59.9684
80.749512 103.869 59.4744
81.334656 103.927 58.9814
81.924040 103.987 58.4882
82.517696 104.046 57.9917
83.115653 104.104 57.4874
83.717943 104.159 56.9707
84.324598 104.210 56.4395
84.935649 104.256 55.8958
85.551128 104.301 55.3455
86.171066 104.344 54.7954
86.795497 104.389 54.2520
87.424453 104.435 53.7197
88.057967 104.483 53.2002
88.696071 104.531 52.6903
89.338800 104.578 52.1828
89.986185 104.625 51.6696
90.638262 104.671 51.1468
91.295065 104.718 50.6159
91.956626 104.766 50.0819
92.622982 104.815 49.5499
93.294166 104.865 49.0222
93.970214 104.914 48.4991
94.651161 104.962 47.9790
95.337042 105.008 47.4595
96.027894 105.052 46.9369
96.723752 105.095 46.4073
97.424652 105.136 45.8674
98.130631 105.176 45.3152
98.841726 105.216 44.7514
99.557974 105.256 44.1786
100.279412 105.295 43.6004
101.006078 105.333 43.0191
101.738010 105.370 42.4352
102.475245 105.406 41.8495
103.217823 105.440 41.2648
103.965782 105.473 40.6858
104.719161 105.505 40.1162
105.477999 105.537 39.5547
106.242336 105.569 38.9944
107.012212 105.602 38.4276
107.787666 105.636 37.8501
108.568740 105.669 37.2625
109.355474 105.700 36.6684
110.147909 105.729 36.0727
110.946086 105.755 35.4797
111.750047 105.779 34.8926
112.559834 105.800 34.3123
113.375489 105.819 33.7363
114.197055 105.839 33.1582
115.024574 105.859 32.5730
115.858089 105.882 31.9824
116.697645 105.906 31.3928
117.543284 105.930 30.8072
118.395051 105.952 30.2218
119.252990 105.971 29.6287
120.117147 105.988 29.0220
120.987565 106.004 28.4030
121.864291 106.020 27.7800
122.747370 106.038 27.1632
123.636848 106.056 26.5596
124.532771 106.074 25.9712
125.435187 106.090 25.3959
126.344142 106.106 24.8291
127.259684 106.120 24.2650
128.181860 106.133 23.6968
129.110718 106.145 23.1188
130.046308 106.154 22.5291
130.988677 106.161 21.9308
131.937875 106.165 21.3302
132.893951 106.168 20.7304
133.856956 106.172 20.1297
134.826938 106.175 19.5262
135.803950 106.178 18.9209
136.788041 106.180 18.3165
137.779264 106.181 17.7150
138.777669 106.181 17.1161
139.783309 106.181 16.5186
140.796237 106.181 15.9245
141.816504 106.181 15.3400
142.844165 106.181 14.7706
143.879273 106.180 14.2143
144.921881 106.177 13.6622
145.972045 106.173 13.1045
147.029819 106.167 12.5356
148.095257 106.159 11.9540
149.168417 106.150 11.3606
150.249353 106.139 10.7590
151.338121 106.127 10.1577
152.434780 106.114 9.5703
153.539385 106.102 9.0102
154.651995 106.090 8.4788
155.772667 106.078 7.9635
156.901460 106.066 7.4495
158.038432 106.054 6.9294
159.183644 106.041 6.4029
160.337154 106.027 5.8720
161.499023 106.013 5.3384
162.669312 105.997 4.8029
163.848081 105.980 4.2669
165.035392 105.962 3.7325
166.231306 105.943 3.2022
167.435887 105.922 2.6777
168.649196 105.900 2.1585
169.871298 105.878 1.6426
171.102255 105.855 1.1278
172.342133 105.832 0.6132
173.590995 105.809 0.0991
174.848907 105.786 -0.4140
176.115934 105.761 -0.9258
177.392143 105.736 -1.4359
178.677599 105.709 -1.9435
179.972371 105.682 -2.4477
181.276525 105.653 -2.9485
182.590129 105.623 -3.4457
183.913252 105.591 -3.9392
185.245964 105.558 -4.4280
186.588332 105.523 -4.9112
187.940428 105.488 -5.3874
189.302322 105.451 -5.8556
190.674085 105.413 -6.3153
192.055788 105.375 -6.7662
193.447503 105.336 -7.2090
194.849303 105.296 -7.6444
196.261262 105.255 -8.0723
197.683452 105.214 -8.4917
199.115948 105.173 -8.9001
200.558824 105.131 -9.2965
202.012156 105.090 -9.6811
203.476019 105.048 -10.0553
204.950490 105.005 -10.4206
206.435646 104.962 -10.7780
207.931564 104.920 -11.1284
209.438322 104.878 -11.4720
210.955998 104.837 -11.8087
212.484672 104.796 -12.1383
214.024424 104.756 -12.4608
215.575333 104.717 -12.7765
217.137481 104.679 -13.0861
218.710948 104.641 -13.3905
220.295818 104.604 -13.6910
221.892172 104.567 -13.9888
223.500094 104.531 -14.2851
225.119668 104.496 -14.5812
226.750978 104.461 -14.8781
228.394109 104.425 -15.1767
230.049147 104.390 -15.4775
231.716178 104.354 -15.7806
233.395289 104.319 -16.0850
235.086567 104.283 -16.3881
236.790102 104.247 -16.6878
238.505980 104.211 -16.9840
240.234293 104.175 -17.2781
241.975130 104.138 -17.5706
243.728581 104.100 -17.8604
245.494739 104.062 -18.1461
247.273695 104.023 -18.4283
249.065542 103.985 -18.7102
250.870374 103.947 -18.9945
252.688284 103.910 -19.2816
254.519367 103.873 -19.5699
256.363720 103.835 -19.8570
258.221437 103.796 -20.1410
260.092616 103.756 -20.4216
261.977354 103.715 -20.6999
263.875750 103.674 -20.9777
265.787903 103.633 -21.2554
267.713911 103.591 -21.5313
269.653877 103.549 -21.8043
271.607900 103.506 -22.0739
273.576083 103.462 -22.3385
275.558528 103.417 -22.5960
277.555338 103.371 -22.8442
279.566619 103.325 -23.0811
281.592474 103.277 -23.3043
283.633009 103.228 -23.5123
285.688331 103.179 -23.7040
287.758546 103.127 -23.8785
289.843763 103.075 -24.0351
291.944090 103.022 -24.1745
294.059638 102.970 -24.2976
296.190515 102.918 -24.4056
298.336833 102.867 -24.4994
300.498705 102.819 -24.5794
302.676243 102.772 -24.6445
304.869559 102.728 -24.6922
307.078770 102.687 -24.7203
309.303989 102.650 -24.7309
311.545334 102.616 -24.7314
313.802919 102.585 -24.7318
316.076865 102.558 -24.7400
318.367288 102.534 -24.7596
320.674309 102.514 -24.7904
322.998047 102.497 -24.8306
325.338624 102.484 -24.8790
327.696162 102.473 -24.9361
330.070783 102.465 -25.0043
332.462612 102.459 -25.0874
334.871773 102.454 -25.1889
337.298392 102.451 -25.3094
339.742595 102.446 -25.4478
342.204510 102.441 -25.6028
344.684265 102.434 -25.7740
347.181989 102.425 -25.9606
349.697813 102.413 -26.1597
352.231868 102.401 -26.3681
354.784285 102.387 -26.5834
357.355198 102.373 -26.8041
359.944741 102.358 -27.0291
362.553049 102.342 -27.2566
365.180258 102.325 -27.4828
367.826505 102.307 -27.7033
370.491927 102.288 -27.9157
373.176665 102.268 -28.1227
375.880856 102.249 -28.3311
