* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -19,5 dBFS, measurement signal peak level -19,5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 13.02.2024 22:38:24
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,1650 ms (-57 mm, -2,23 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: LCP
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 88.590 -51.0325
20.333664 88.616 -51.2842
20.481010 88.654 -51.6492
20.629424 88.700 -52.0808
20.778913 88.752 -52.5397
20.929486 88.806 -52.9983
21.081150 88.862 -53.4400
21.233912 88.919 -53.8570
21.387782 88.979 -54.2469
21.542767 89.040 -54.6107
21.698874 89.104 -54.9507
21.856113 89.170 -55.2695
22.014492 89.238 -55.5688
22.174018 89.308 -55.8493
22.334700 89.380 -56.1109
22.496546 89.455 -56.3533
22.659566 89.533 -56.5763
22.823766 89.614 -56.7806
22.989157 89.701 -56.9686
23.155745 89.792 -57.1441
23.323542 89.890 -57.3124
23.492554 89.995 -57.4794
23.662790 90.106 -57.6514
23.834261 90.222 -57.8334
24.006973 90.344 -58.0292
24.180938 90.470 -58.2403
24.356163 90.599 -58.4663
24.532658 90.730 -58.7057
24.710431 90.862 -58.9569
24.889493 90.994 -59.2191
25.069853 91.127 -59.4938
25.251519 91.260 -59.7851
25.434502 91.392 -60.0999
25.618811 91.522 -60.4466
25.804456 91.649 -60.8342
25.991445 91.770 -61.2696
26.179790 91.883 -61.7562
26.369500 91.987 -62.2917
26.560584 92.080 -62.8677
26.753053 92.161 -63.4698
26.946917 92.229 -64.0791
27.142185 92.287 -64.6743
27.338869 92.337 -65.2349
27.536977 92.383 -65.7449
27.736522 92.431 -66.1954
27.937512 92.483 -66.5871
28.139959 92.545 -66.9304
28.343872 92.619 -67.2435
28.549264 92.703 -67.5489
28.756143 92.797 -67.8686
28.964522 92.896 -68.2191
29.174411 92.995 -68.6083
29.385821 93.091 -69.0345
29.598763 93.180 -69.4870
29.813248 93.258 -69.9491
30.029287 93.327 -70.4019
30.246891 93.388 -70.8291
30.466073 93.443 -71.2198
30.686842 93.497 -71.5718
30.909212 93.553 -71.8916
31.133193 93.615 -72.1931
31.358797 93.684 -72.4935
31.586035 93.760 -72.8095
31.814921 93.841 -73.1523
32.045465 93.924 -73.5253
32.277680 94.007 -73.9231
32.511577 94.085 -74.3335
32.747169 94.158 -74.7410
32.984469 94.226 -75.1310
33.223488 94.289 -75.4947
33.464239 94.351 -75.8314
33.706735 94.413 -76.1488
33.950987 94.477 -76.4612
34.197010 94.545 -76.7848
34.444816 94.616 -77.1321
34.694417 94.692 -77.5072
34.945827 94.770 -77.9048
35.199059 94.852 -78.3114
35.454126 94.939 -78.7114
35.711041 95.032 -79.0933
35.969818 95.134 -79.4559
36.230470 95.245 -79.8107
36.493011 95.363 -80.1793
36.757455 95.485 -80.5856
37.023814 95.605 -81.0472
37.292104 95.717 -81.5667
37.562338 95.813 -82.1295
37.834530 95.892 -82.7059
38.108695 95.953 -83.2602
38.384846 96.000 -83.7616
38.662999 96.040 -84.1947
38.943167 96.081 -84.5666
39.225365 96.127 -84.9059
39.509608 96.183 -85.2545
39.795911 96.246 -85.6541
40.084289 96.314 -86.1333
40.374756 96.382 -86.6991
40.667328 96.447 -87.3362
40.962020 96.510 -88.0124
41.258848 96.571 -88.6887
41.557827 96.635 -89.3284
41.858972 96.707 -89.9051
42.162299 96.790 -90.4061
42.467824 96.884 -90.8322
42.775564 96.987 -91.1948
43.085533 97.093 -91.5114
43.397749 97.198 -91.8016
43.712227 97.294 -92.0849
44.028983 97.376 -92.3784
44.348036 97.444 -92.6962
44.669400 97.498 -93.0471
44.993093 97.540 -93.4335
45.319131 97.578 -93.8497
45.647532 97.617 -94.2825
45.978313 97.665 -94.7146
46.311491 97.728 -95.1312
46.647083 97.808 -95.5259
46.985107 97.906 -95.9043
47.325581 98.014 -96.2811
47.668521 98.123 -96.6721
48.013947 98.221 -97.0848
48.361876 98.301 -97.5133
48.712326 98.356 -97.9401
49.065315 98.389 -98.3451
49.420863 98.407 -98.7163
49.778987 98.418 -99.0571
50.139706 98.434 -99.3848
50.503039 98.461 -99.7213
50.869005 98.502 -100.0810
51.237623 98.556 -100.4638
51.608912 98.621 -100.8582
51.982891 98.692 -101.2493
52.359580 98.766 -101.6280
52.739000 98.837 -101.9936
53.121168 98.902 -102.3518
53.506106 98.961 -102.7112
53.893833 99.013 -103.0824
54.284370 99.062 -103.4785
54.677737 99.110 -103.9136
55.073955 99.159 -104.3970
55.473043 99.209 -104.9258
55.875024 99.258 -105.4826
56.279917 99.305 -106.0417
56.687745 99.352 -106.5823
57.098527 99.399 -107.0990
57.512287 99.448 -107.6021
57.929045 99.502 -108.1076
58.348822 99.561 -108.6232
58.771642 99.623 -109.1423
59.197525 99.689 -109.6482
59.626495 99.756 -110.1251
60.058573 99.822 -110.5675
60.493782 99.883 -110.9827
60.932145 99.932 -111.3865
61.373685 99.970 -111.7980
61.818424 99.996 -112.2349
62.266386 100.017 -112.7105
62.717593 100.037 -113.2302
63.172071 100.063 -113.7885
63.629842 100.099 -114.3685
64.090930 100.145 -114.9468
64.555359 100.198 -115.5018
65.023154 100.254 -116.0220
65.494339 100.310 -116.5085
65.968938 100.363 -116.9715
66.446976 100.410 -117.4221
66.928478 100.452 -117.8674
67.413469 100.488 -118.3102
67.901975 100.520 -118.7532
68.394021 100.550 -119.2021
68.889632 100.577 -119.6639
69.388835 100.602 -120.1419
69.891655 100.627 -120.6338
70.398118 100.653 -121.1336
70.908252 100.682 -121.6368
71.422083 100.716 -122.1427
71.939636 100.753 -122.6533
72.460941 100.793 -123.1691
72.986023 100.831 -123.6865
73.514909 100.866 -124.1987
74.047629 100.899 -124.7008
74.584208 100.929 -125.1932
75.124676 100.958 -125.6821
75.669061 100.987 -126.1747
76.217390 101.016 -126.6746
76.769692 101.046 -127.1800
77.325997 101.077 -127.6852
77.886333 101.112 -128.1836
78.450730 101.148 -128.6708
79.019216 101.186 -129.1463
79.591822 101.222 -129.6144
80.168577 101.255 -130.0832
80.749512 101.284 -130.5604
81.334656 101.309 -131.0488
81.924040 101.334 -131.5442
82.517696 101.357 -132.0378
83.115653 101.381 -132.5214
83.717943 101.402 -132.9908
84.324598 101.419 -133.4463
84.935649 101.432 -133.8925
85.551128 101.441 -134.3364
86.171066 101.447 -134.7820
86.795497 101.453 -135.2276
87.424453 101.457 -135.6671
88.057967 101.460 -136.0968
88.696071 101.465 -136.5205
89.338800 101.473 -136.9507
89.986185 101.486 -137.4040
90.638262 101.504 -137.8906
91.295065 101.525 -138.4060
91.956626 101.546 -138.9340
92.622982 101.564 -139.4593
93.294166 101.580 -139.9746
93.970214 101.594 -140.4777
94.651161 101.607 -140.9666
95.337042 101.618 -141.4378
96.027894 101.626 -141.8898
96.723752 101.632 -142.3233
97.424652 101.637 -142.7417
98.130631 101.642 -143.1497
98.841726 101.648 -143.5544
99.557974 101.655 -143.9636
100.279412 101.663 -144.3791
101.006078 101.669 -144.7957
101.738010 101.676 -145.2074
102.475245 101.686 -145.6136
103.217823 101.697 -146.0179
103.965782 101.709 -146.4267
104.719161 101.719 -146.8488
105.477999 101.723 -147.2905
106.242336 101.719 -147.7494
107.012212 101.708 -148.2166
107.787666 101.689 -148.6758
108.568740 101.664 -149.1018
109.355474 101.634 -149.4750
110.147909 101.601 -149.8092
110.946086 101.572 -150.1543
111.750047 101.554 -150.5619
112.559834 101.552 -151.0458
113.375489 101.562 -151.5776
114.197055 101.580 -152.1149
115.024574 101.596 -152.6296
115.858089 101.607 -153.1159
116.697645 101.612 -153.5780
117.543284 101.610 -154.0161
118.395051 101.604 -154.4251
119.252990 101.595 -154.8002
120.117147 101.584 -155.1425
120.987565 101.573 -155.4612
121.864291 101.562 -155.7726
122.747370 101.551 -156.0941
123.636848 101.540 -156.4372
124.532771 101.528 -156.8029
125.435187 101.515 -157.1815
126.344142 101.501 -157.5584
127.259684 101.484 -157.9246
128.181860 101.464 -158.2798
129.110718 101.442 -158.6293
130.046308 101.419 -158.9806
130.988677 101.397 -159.3386
131.937875 101.376 -159.7005
132.893951 101.356 -160.0563
133.856956 101.337 -160.3959
134.826938 101.319 -160.7173
135.803950 101.301 -161.0306
136.788041 101.284 -161.3509
137.779264 101.269 -161.6847
138.777669 101.255 -162.0262
139.783309 101.239 -162.3672
140.796237 101.221 -162.7038
141.816504 101.200 -163.0347
142.844165 101.175 -163.3590
143.879273 101.149 -163.6757
144.921881 101.122 -163.9836
145.972045 101.094 -164.2824
147.029819 101.066 -164.5740
148.095257 101.039 -164.8627
149.168417 101.013 -165.1526
150.249353 100.991 -165.4449
151.338121 100.970 -165.7373
152.434780 100.951 -166.0272
153.539385 100.931 -166.3127
154.651995 100.909 -166.5913
155.772667 100.886 -166.8596
156.901460 100.861 -167.1142
158.038432 100.834 -167.3554
159.183644 100.807 -167.5883
160.337154 100.779 -167.8191
161.499023 100.750 -168.0521
162.669312 100.721 -168.2885
163.848081 100.692 -168.5266
165.035392 100.661 -168.7642
166.231306 100.631 -168.9995
167.435887 100.599 -169.2330
168.649196 100.567 -169.4659
169.871298 100.533 -169.6974
171.102255 100.497 -169.9245
172.342133 100.460 -170.1419
173.590995 100.422 -170.3461
174.848907 100.384 -170.5386
176.115934 100.348 -170.7242
177.392143 100.313 -170.9077
178.677599 100.279 -171.0908
179.972371 100.246 -171.2711
181.276525 100.214 -171.4433
182.590129 100.181 -171.6022
183.913252 100.149 -171.7465
185.245964 100.117 -171.8783
186.588332 100.084 -172.0036
187.940428 100.052 -172.1307
189.302322 100.019 -172.2646
190.674085 99.987 -172.4063
192.055788 99.953 -172.5542
193.447503 99.919 -172.7050
194.849303 99.885 -172.8521
196.261262 99.849 -172.9880
197.683452 99.811 -173.1087
199.115948 99.772 -173.2171
200.558824 99.732 -173.3198
202.012156 99.693 -173.4202
203.476019 99.653 -173.5180
204.950490 99.615 -173.6113
206.435646 99.578 -173.6982
207.931564 99.541 -173.7773
209.438322 99.503 -173.8510
210.955998 99.465 -173.9238
212.484672 99.425 -173.9970
214.024424 99.384 -174.0688
215.575333 99.342 -174.1393
217.137481 99.301 -174.2104
218.710948 99.260 -174.2818
220.295818 99.219 -174.3483
221.892172 99.178 -174.3997
223.500094 99.137 -174.4289
225.119668 99.095 -174.4415
226.750978 99.055 -174.4472
228.394109 99.016 -174.4502
230.049147 98.978 -174.4497
231.716178 98.941 -174.4427
233.395289 98.905 -174.4270
235.086567 98.869 -174.4026
236.790102 98.833 -174.3735
238.505980 98.795 -174.3480
240.234293 98.754 -174.3341
241.975130 98.712 -174.3344
243.728581 98.668 -174.3453
245.494739 98.624 -174.3606
247.273695 98.578 -174.3725
249.065542 98.531 -174.3729
250.870374 98.484 -174.3546
252.688284 98.437 -174.3137
254.519367 98.392 -174.2548
256.363720 98.349 -174.1900
258.221437 98.309 -174.1304
260.092616 98.272 -174.0799
261.977354 98.235 -174.0349
263.875750 98.198 -173.9870
265.787903 98.157 -173.9299
267.713911 98.112 -173.8621
269.653877 98.064 -173.7830
271.607900 98.013 -173.6885
273.576083 97.963 -173.5747
275.558528 97.914 -173.4415
277.555338 97.869 -173.2938
279.566619 97.826 -173.1396
281.592474 97.782 -172.9854
283.633009 97.737 -172.8345
285.688331 97.690 -172.6874
287.758546 97.642 -172.5397
289.843763 97.592 -172.3822
291.944090 97.543 -172.2042
294.059638 97.493 -171.9984
296.190515 97.443 -171.7674
298.336833 97.393 -171.5226
300.498705 97.343 -171.2739
302.676243 97.293 -171.0186
304.869559 97.242 -170.7426
307.078770 97.192 -170.4315
309.303989 97.142 -170.0824
311.545334 97.093 -169.7054
313.802919 97.045 -169.3124
316.076865 96.999 -168.9038
318.367288 96.955 -168.4670
320.674309 96.915 -167.9902
322.998047 96.878 -167.4736
325.338624 96.844 -166.9283
