* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -16,5 dBFS, measurement signal peak level -15,4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 13.02.2024 22:39:25
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0,0199 ms (-6,8 mm, -0,27 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: LM
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.187378 87.096 -44.4158
20.333664 87.157 -44.6552
20.481010 87.244 -45.0134
20.629424 87.346 -45.4621
20.778913 87.450 -45.9732
20.929486 87.549 -46.5212
21.081150 87.638 -47.0834
21.233912 87.713 -47.6395
21.387782 87.773 -48.1705
21.542767 87.818 -48.6593
21.698874 87.849 -49.0898
21.856113 87.869 -49.4484
22.014492 87.881 -49.7239
22.174018 87.887 -49.9097
22.334700 87.894 -50.0040
22.496546 87.905 -50.0116
22.659566 87.925 -49.9445
22.823766 87.958 -49.8214
22.989157 88.007 -49.6670
23.155745 88.073 -49.5091
23.323542 88.158 -49.3757
23.492554 88.258 -49.2913
23.662790 88.370 -49.2737
23.834261 88.492 -49.3320
24.006973 88.617 -49.4661
24.180938 88.744 -49.6677
24.356163 88.867 -49.9223
24.532658 88.986 -50.2124
24.710431 89.098 -50.5208
24.889493 89.204 -50.8343
25.069853 89.305 -51.1449
25.251519 89.402 -51.4522
25.434502 89.496 -51.7620
25.618811 89.586 -52.0851
25.804456 89.673 -52.4335
25.991445 89.755 -52.8171
26.179790 89.831 -53.2402
26.369500 89.900 -53.6987
26.560584 89.961 -54.1797
26.753053 90.014 -54.6626
26.946917 90.063 -55.1223
27.142185 90.109 -55.5342
27.338869 90.160 -55.8790
27.536977 90.222 -56.1489
27.736522 90.300 -56.3502
27.937512 90.399 -56.5044
28.139959 90.520 -56.6447
28.343872 90.661 -56.8093
28.549264 90.818 -57.0331
28.756143 90.982 -57.3406
28.964522 91.145 -57.7402
29.174411 91.298 -58.2236
29.385821 91.436 -58.7678
29.598763 91.554 -59.3402
29.813248 91.651 -59.9044
30.029287 91.730 -60.4266
30.246891 91.795 -60.8814
30.466073 91.851 -61.2559
30.686842 91.906 -61.5512
30.909212 91.966 -61.7816
31.133193 92.033 -61.9702
31.358797 92.110 -62.1431
31.586035 92.195 -62.3229
31.814921 92.287 -62.5240
32.045465 92.381 -62.7507
32.277680 92.474 -62.9980
32.511577 92.564 -63.2551
32.747169 92.648 -63.5098
32.984469 92.727 -63.7527
33.223488 92.801 -63.9805
33.464239 92.871 -64.1963
33.706735 92.939 -64.4082
33.950987 93.006 -64.6271
34.197010 93.072 -64.8626
34.444816 93.138 -65.1201
34.694417 93.204 -65.3997
34.945827 93.271 -65.6967
35.199059 93.340 -66.0031
35.454126 93.412 -66.3116
35.711041 93.488 -66.6175
35.969818 93.568 -66.9202
36.230470 93.651 -67.2227
36.493011 93.736 -67.5293
36.757455 93.821 -67.8426
37.023814 93.902 -68.1611
37.292104 93.978 -68.4789
37.562338 94.048 -68.7866
37.834530 94.114 -69.0752
38.108695 94.177 -69.3397
38.384846 94.240 -69.5814
38.662999 94.305 -69.8086
38.943167 94.374 -70.0330
39.225365 94.445 -70.2658
39.509608 94.518 -70.5128
39.795911 94.591 -70.7732
40.084289 94.662 -71.0410
40.374756 94.733 -71.3099
40.667328 94.803 -71.5775
40.962020 94.875 -71.8480
41.258848 94.947 -72.1299
41.557827 95.021 -72.4312
41.858972 95.095 -72.7532
42.162299 95.167 -73.0879
42.467824 95.236 -73.4202
42.775564 95.305 -73.7346
43.085533 95.377 -74.0227
43.397749 95.453 -74.2876
43.712227 95.535 -74.5415
44.028983 95.622 -74.7980
44.348036 95.713 -75.0621
44.669400 95.803 -75.3259
44.993093 95.890 -75.5700
45.319131 95.973 -75.7709
45.647532 96.049 -75.9091
45.978313 96.118 -75.9730
46.311491 96.178 -75.9580
46.647083 96.230 -75.8639
46.985107 96.275 -75.6976
47.325581 96.318 -75.4803
47.668521 96.369 -75.2576
48.013947 96.433 -75.1010
48.361876 96.517 -75.0935
48.712326 96.616 -75.3002
49.065315 96.723 -75.7397
49.420863 96.829 -76.3720
49.778987 96.925 -77.1117
50.139706 97.010 -77.8593
50.503039 97.086 -78.5351
50.869005 97.155 -79.1004
51.237623 97.223 -79.5589
51.608912 97.290 -79.9385
51.982891 97.355 -80.2695
52.359580 97.419 -80.5708
52.739000 97.482 -80.8489
53.121168 97.549 -81.1058
53.506106 97.620 -81.3462
53.893833 97.697 -81.5785
54.284370 97.777 -81.8119
54.677737 97.859 -82.0537
55.073955 97.939 -82.3106
55.473043 98.016 -82.5900
55.875024 98.089 -82.8974
56.279917 98.157 -83.2296
56.687745 98.218 -83.5692
57.098527 98.274 -83.8877
57.512287 98.327 -84.1571
57.929045 98.380 -84.3654
58.348822 98.436 -84.5247
58.771642 98.498 -84.6663
59.197525 98.567 -84.8258
59.626495 98.639 -85.0273
60.058573 98.716 -85.2748
60.493782 98.794 -85.5529
60.932145 98.873 -85.8349
61.373685 98.952 -86.0939
61.818424 99.030 -86.3132
62.266386 99.106 -86.4935
62.717593 99.180 -86.6531
63.172071 99.252 -86.8212
63.629842 99.323 -87.0245
64.090930 99.394 -87.2770
64.555359 99.465 -87.5753
65.023154 99.536 -87.9035
65.494339 99.608 -88.2415
65.968938 99.680 -88.5723
66.446976 99.751 -88.8864
66.928478 99.818 -89.1822
67.413469 99.883 -89.4639
67.901975 99.946 -89.7371
68.394021 100.007 -90.0065
68.889632 100.068 -90.2740
69.388835 100.129 -90.5397
69.891655 100.192 -90.8034
70.398118 100.256 -91.0661
70.908252 100.320 -91.3300
71.422083 100.384 -91.5989
71.939636 100.450 -91.8776
72.460941 100.516 -92.1695
72.986023 100.585 -92.4742
73.514909 100.656 -92.7867
74.047629 100.729 -93.0982
74.584208 100.802 -93.3994
75.124676 100.876 -93.6853
75.669061 100.949 -93.9585
76.217390 101.019 -94.2277
76.769692 101.087 -94.5015
77.325997 101.152 -94.7826
77.886333 101.215 -95.0667
78.450730 101.279 -95.3480
79.019216 101.344 -95.6250
79.591822 101.412 -95.9019
80.168577 101.483 -96.1852
80.749512 101.555 -96.4794
81.334656 101.627 -96.7822
81.924040 101.698 -97.0834
82.517696 101.767 -97.3702
83.115653 101.835 -97.6357
83.717943 101.902 -97.8863
84.324598 101.969 -98.1388
84.935649 102.038 -98.4097
85.551128 102.106 -98.7044
86.171066 102.172 -99.0175
86.795497 102.236 -99.3406
87.424453 102.298 -99.6681
88.057967 102.356 -99.9975
88.696071 102.412 -100.3288
89.338800 102.468 -100.6639
89.986185 102.526 -101.0047
90.638262 102.586 -101.3483
91.295065 102.646 -101.6871
91.956626 102.709 -102.0152
92.622982 102.773 -102.3333
93.294166 102.839 -102.6459
93.970214 102.907 -102.9562
94.651161 102.976 -103.2644
95.337042 103.043 -103.5710
96.027894 103.109 -103.8796
96.723752 103.174 -104.1939
97.424652 103.237 -104.5155
98.130631 103.299 -104.8439
98.841726 103.362 -105.1793
99.557974 103.425 -105.5235
100.279412 103.488 -105.8790
101.006078 103.552 -106.2443
101.738010 103.616 -106.6110
102.475245 103.680 -106.9656
103.217823 103.742 -107.2989
103.965782 103.802 -107.6134
104.719161 103.863 -107.9196
105.477999 103.924 -108.2267
106.242336 103.985 -108.5359
107.012212 104.046 -108.8428
107.787666 104.105 -109.1457
108.568740 104.162 -109.4518
109.355474 104.217 -109.7767
110.147909 104.273 -110.1335
110.946086 104.330 -110.5216
111.750047 104.390 -110.9283
112.559834 104.453 -111.3390
113.375489 104.515 -111.7448
114.197055 104.577 -112.1446
115.024574 104.637 -112.5416
115.858089 104.696 -112.9381
116.697645 104.756 -113.3331
117.543284 104.817 -113.7252
118.395051 104.878 -114.1143
119.252990 104.938 -114.4994
120.117147 104.996 -114.8773
120.987565 105.054 -115.2456
121.864291 105.111 -115.6057
122.747370 105.168 -115.9639
123.636848 105.223 -116.3279
124.532771 105.278 -116.7035
125.435187 105.331 -117.0921
126.344142 105.382 -117.4929
127.259684 105.434 -117.9060
128.181860 105.487 -118.3300
129.110718 105.543 -118.7596
130.046308 105.601 -119.1880
130.988677 105.660 -119.6116
131.937875 105.718 -120.0305
132.893951 105.774 -120.4478
133.856956 105.828 -120.8687
134.826938 105.880 -121.2974
135.803950 105.929 -121.7348
136.788041 105.974 -122.1794
137.779264 106.017 -122.6292
138.777669 106.059 -123.0820
139.783309 106.100 -123.5356
140.796237 106.143 -123.9885
141.816504 106.186 -124.4414
142.844165 106.230 -124.8967
143.879273 106.273 -125.3562
144.921881 106.317 -125.8200
145.972045 106.360 -126.2863
147.029819 106.403 -126.7521
148.095257 106.445 -127.2148
149.168417 106.488 -127.6728
150.249353 106.530 -128.1257
151.338121 106.572 -128.5744
152.434780 106.613 -129.0222
153.539385 106.653 -129.4736
154.651995 106.692 -129.9327
155.772667 106.729 -130.4014
156.901460 106.765 -130.8783
158.038432 106.800 -131.3598
159.183644 106.835 -131.8421
160.337154 106.868 -132.3234
161.499023 106.902 -132.8029
162.669312 106.934 -133.2811
163.848081 106.965 -133.7598
165.035392 106.996 -134.2411
166.231306 107.025 -134.7258
167.435887 107.054 -135.2133
168.649196 107.082 -135.7022
169.871298 107.109 -136.1919
171.102255 107.135 -136.6822
172.342133 107.161 -137.1721
173.590995 107.186 -137.6596
174.848907 107.210 -138.1433
176.115934 107.234 -138.6230
177.392143 107.257 -139.1003
178.677599 107.280 -139.5775
179.972371 107.302 -140.0574
181.276525 107.323 -140.5416
182.590129 107.343 -141.0300
183.913252 107.363 -141.5208
185.245964 107.381 -142.0120
186.588332 107.399 -142.5014
187.940428 107.416 -142.9872
189.302322 107.433 -143.4681
190.674085 107.449 -143.9434
192.055788 107.465 -144.4130
193.447503 107.479 -144.8778
194.849303 107.491 -145.3399
196.261262 107.502 -145.8020
197.683452 107.511 -146.2658
199.115948 107.519 -146.7327
200.558824 107.527 -147.2037
202.012156 107.534 -147.6778
203.476019 107.540 -148.1522
204.950490 107.546 -148.6236
206.435646 107.551 -149.0902
207.931564 107.556 -149.5516
209.438322 107.561 -150.0085
210.955998 107.564 -150.4620
212.484672 107.567 -150.9129
214.024424 107.569 -151.3621
215.575333 107.569 -151.8110
217.137481 107.568 -152.2604
218.710948 107.567 -152.7100
220.295818 107.565 -153.1579
221.892172 107.563 -153.6015
223.500094 107.560 -154.0396
225.119668 107.558 -154.4729
226.750978 107.554 -154.9029
228.394109 107.549 -155.3296
230.049147 107.544 -155.7519
231.716178 107.537 -156.1681
233.395289 107.530 -156.5775
235.086567 107.522 -156.9806
236.790102 107.513 -157.3791
238.505980 107.504 -157.7742
240.234293 107.494 -158.1665
241.975130 107.484 -158.5557
243.728581 107.473 -158.9411
245.494739 107.462 -159.3233
247.273695 107.449 -159.7038
249.065542 107.436 -160.0853
250.870374 107.422 -160.4687
252.688284 107.407 -160.8523
254.519367 107.391 -161.2334
256.363720 107.376 -161.6105
258.221437 107.361 -161.9844
260.092616 107.346 -162.3559
261.977354 107.332 -162.7231
263.875750 107.317 -163.0820
265.787903 107.301 -163.4289
267.713911 107.284 -163.7645
269.653877 107.265 -164.0923
271.607900 107.246 -164.4159
273.576083 107.226 -164.7377
275.558528 107.206 -165.0590
277.555338 107.186 -165.3803
279.566619 107.166 -165.7019
281.592474 107.145 -166.0241
283.633009 107.125 -166.3468
285.688331 107.104 -166.6676
287.758546 107.083 -166.9821
289.843763 107.062 -167.2862
291.944090 107.041 -167.5786
294.059638 107.020 -167.8610
296.190515 106.999 -168.1370
298.336833 106.976 -168.4090
300.498705 106.953 -168.6786
302.676243 106.930 -168.9474
304.869559 106.907 -169.2167
307.078770 106.884 -169.4860
309.303989 106.861 -169.7513
311.545334 106.837 -170.0069
313.802919 106.812 -170.2512
316.076865 106.787 -170.4879
318.367288 106.762 -170.7213
320.674309 106.737 -170.9528
322.998047 106.713 -171.1800
325.338624 106.689 -171.4003
